NUMERATEUR,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE,POURC_OBSTETRIQUE,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
20,Soins en chirurgie d'un jour ,03       Capitale-Nationale,1263,3.33,320,0.84,36354,95.83,37937,99.75,0,0.00,95,0.25,38032,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
21,Soins en chirurgie d'un jour ,04       Mauricie et Centre-du- Québec,561,2.14,5,0.02,25642,97.84,26208,100.00,0,0.00,1,0.00,26209,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
22,Soins en chirurgie d'un jour ,05       Estrie,325,2.07,35,0.22,15315,97.70,15675,99.99,0,0.00,2,0.01,15677,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
23,Soins en chirurgie d'un jour ,06       Montréal,1285,1.19,6076,5.64,100373,93.17,107734,99.97,0,0.00,31,0.03,107765,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
24,Soins en chirurgie d'un jour ,07       Outaouais,719,3.73,430,2.23,18124,94.04,19273,100.00,0,0.00,0,0.00,19273,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
25,Soins en chirurgie d'un jour ,08       Abitibi-Témiscamingue,535,6.27,10,0.12,7993,93.62,8538,99.99,0,0.00,1,0.01,8539,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
26,Soins en chirurgie d'un jour ,09       Côte-Nord,12,0.26,0,0.00,4583,99.74,4595,99.76,0,0.00,11,0.24,4606,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
27,Soins en chirurgie d'un jour ,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,3,0.40,0,0.00,740,99.60,743,100.00,0,0.00,0,0.00,743,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
28,Soins en chirurgie d'un jour ,11        Gaspésie - Îles-de-la- Madeleine,13,0.36,4,0.11,3624,99.53,3641,100.00,0,0.00,0,0.00,3641,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
29,Soins en chirurgie d'un jour ,12        Chaudière-Appalaches,276,1.40,473,2.40,18946,96.20,19695,100.00,0,0.00,0,0.00,19695,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
30,Soins en chirurgie d'un jour ,13        Laval,499,5.17,2020,20.93,7131,73.90,9650,99.97,0,0.00,3,0.03,9653,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
31,Soins en chirurgie d'un jour ,14        Lanaudière,47,0.32,5,0.03,14616,99.65,14668,100.00,0,0.00,0,0.00,14668,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
32,Soins en chirurgie d'un jour ,15        Laurentides,266,1.54,3564,20.60,13473,77.87,17303,99.99,0,0.00,1,0.01,17304,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
33,Soins en chirurgie d'un jour ,16        Montérégie,4404,8.19,4732,8.80,44645,83.01,53781,99.98,0,0.00,10,0.02,53791,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
34,Soins en chirurgie d'un jour ,TOTAL : Soins en chirurgie d'un jour ,10916,2.96,17827,4.83,340518,92.22,369261,99.96,0,0.00,156,0.04,369417,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
35,Soins post-mortem,03       Capitale-Nationale,25,100.00,0,0.00,0,0.00,25,100.00,0,0.00,0,0.00,25,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
36,Soins post-mortem,05       Estrie,1,100.00,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00,1,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
37,Soins post-mortem,06       Montréal,33,53.23,12,19.35,17,27.42,62,100.00,0,0.00,0,0.00,62,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
38,Soins post-mortem,TOTAL : Soins post-mortem,59,67.05,12,13.64,17,19.32,88,100.00,0,0.00,0,0.00,88,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
