NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE, POURC_OBSTETRIQUE ,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,Soins physiques et psychiatriques de courte durée,11        Gaspésie - Îles-de-la- Madeleine,6935,78.97,389,4.43,1458,16.60,8782,88.39,551,5.55,603,6.07,9936,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
12,Soins physiques et psychiatriques de courte durée,12        Chaudière-Appalaches,20103,78.09,958,3.72,4684,18.19,25745,78.82,3382,10.35,3536,10.83,32663,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
13,Soins physiques et psychiatriques de courte durée,13        Laval,17279,80.41,1405,6.54,2805,13.05,21489,71.54,4040,13.45,4509,15.01,30038,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
14,Soins physiques et psychiatriques de courte durée,14        Lanaudière,22025,80.08,700,2.55,4778,17.37,27503,76.07,4226,11.69,4428,12.25,36157,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
15,Soins physiques et psychiatriques de courte durée,15        Laurentides,28299,78.22,2119,5.86,5762,15.93,36180,80.41,4268,9.49,4549,10.11,44997,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
16,Soins physiques et psychiatriques de courte durée,16        Montérégie,64702,83.18,3306,4.25,9779,12.57,77787,77.68,10820,10.81,11526,11.51,100133,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
17,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,477656,75.53,31201,4.93,123535,19.53,632392,78.80,81401,10.14,88765,11.06,802558,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
18,Soins en chirurgie d'un jour,01       Bas-Saint-Laurent,0,0.00,0,0.00,10651,100.00,10651,100.00,0,0.00,0,0.00,10651,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
19,Soins en chirurgie d'un jour,02       Saguenay - Lac-Saint-Jean,492,2.87,98,0.57,16540,96.56,17130,99.98,0,0.00,3,0.02,17133,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
20,Soins en chirurgie d'un jour,03       Capitale-Nationale,1090,2.83,463,1.20,37031,95.98,38584,99.76,0,0.00,94,0.24,38678,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
21,Soins en chirurgie d'un jour,04       Mauricie et Centre-du- Québec,599,2.23,2,0.01,26236,97.76,26837,100.00,0,0.00,0,0.00,26837,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
22,Soins en chirurgie d'un jour,05       Estrie,1641,6.58,715,2.86,22602,90.56,24958,99.99,0,0.00,2,0.01,24960,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
23,Soins en chirurgie d'un jour,06       Montréal,1776,1.63,5369,4.92,101952,93.45,109097,99.98,0,0.00,21,0.02,109118,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
24,Soins en chirurgie d'un jour,07       Outaouais,553,3.05,438,2.42,17139,94.53,18130,99.99,0,0.00,1,0.01,18131,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
25,Soins en chirurgie d'un jour,08       Abitibi-Témiscamingue,447,5.46,92,1.12,7641,93.41,8180,99.99,0,0.00,1,0.01,8181,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
26,Soins en chirurgie d'un jour,09       Côte-Nord,8,0.18,48,1.06,4492,98.77,4548,99.69,0,0.00,14,0.31,4562,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
27,Soins en chirurgie d'un jour,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,8,1.00,1,0.12,795,98.88,804,100.00,0,0.00,0,0.00,804,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
28,Soins en chirurgie d'un jour,11        Gaspésie - Îles-de-la- Madeleine,19,0.45,7,0.17,4173,99.38,4199,100.00,0,0.00,0,0.00,4199,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
29,Soins en chirurgie d'un jour,12        Chaudière-Appalaches,329,1.68,528,2.69,18768,95.63,19625,99.99,0,0.00,2,0.01,19627,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
30,Soins en chirurgie d'un jour,13        Laval,61,0.64,1903,19.91,7595,79.45,9559,99.84,0,0.00,15,0.16,9574,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
31,Soins en chirurgie d'un jour,14        Lanaudière,133,0.82,74,0.46,16019,98.72,16226,99.96,0,0.00,6,0.04,16232,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
32,Soins en chirurgie d'un jour,15        Laurentides,315,1.69,3130,16.76,15230,81.55,18675,100.00,0,0.00,0,0.00,18675,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
33,Soins en chirurgie d'un jour,16        Montérégie,9532,20.14,3820,8.07,33966,71.78,47318,100.00,0,0.00,1,0.00,47319,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
34,Soins en chirurgie d'un jour,TOTAL : Soins en chirurgie d'un jour,17003,4.54,16688,4.46,340830,91.00,374521,99.96,0,0.00,160,0.04,374681,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
35,Soins post-mortem,02       Saguenay - Lac-Saint-Jean,8,100.00,0,0.00,0,0.00,8,100.00,0,0.00,0,0.00,8,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
36,Soins post-mortem,03       Capitale-Nationale,29,90.62,0,0.00,3,9.38,32,100.00,0,0.00,0,0.00,32,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
37,Soins post-mortem,06       Montréal,67,72.83,15,16.30,10,10.87,92,100.00,0,0.00,0,0.00,92,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
38,Soins post-mortem,TOTAL : Soins post-mortem,104,78.79,15,11.36,13,9.85,132,100.00,0,0.00,0,0.00,132,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
