Numero_projet_temporaire,Titre,Descriptif,Verdict,Arrondissements_services_analyse_favorable,Principale_raison_non_faisabilite,Projet_approuve_conseils_arrondissements,Theme_associe,Titre_bulletin_vote
12,Du beau et de l'utile : Revitalisation d'un secteur clé du Plateau Est,"Création d'îlots de fraîcheur sur les rues d'Iberville et Frontenac entre Mont-Royal et Sherbrooke grâce à l'élargissement des trottoirs, la plantation d'arbres, l'aménagement de saillies de trottoirs, l'ajout de mobilier urbain, etc.).",Non faisable,n/a,Projet incompatible en totalité ou en partie avec la planification de la Ville ou localisé sur un site faisant déjà l'objet d'une planification de la Ville ou similaire à un projet de la Ville planifié ou existant et qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans suivant le dévoilement des projets lauréats.,n/a,n/a,n/a
13,Des stationnements rafraîchis et embellis,"Transformation de 5 stationnements municipaux en îlots de fraîcheur grâce à plusieurs interventions : désasphaltage, plantation d'arbres, création de pergolas végétalisées, mise en place de systèmes écologiques d'irrigation et de drainage.",Faisable,"Service de la gestion et de la planification immobilière
LaSalle 
Le Plateau-Mont-Royal 
Outremont ",n/a,oui,Verdissement et biodiversité,15 - Vent de fraîcheur sur les stationnements
14,Les jardins verticaux de la fraîcheur,"Mise en place d'un programme de végétalisation des murs extérieurs pour des bâtiments de la Ville. Combinant plantes et art mural, ce projet fera naître des jardins verticaux à la fois beaux, rafraîchissants et nourrissants!",Faisable,"Service de la gestion et de la planification immobilière
Outremont 
Ville-Marie ",n/a,oui,Verdissement et biodiversité,10 - Les jardins verticaux de la fraîcheur
15,Toits verts,"Aménagement de toitures végétalisées sur des édifices municipaux existants idéalement accessibles au public, sinon visibles du voisinage, avec outils didactiques expliquant l'impact écologique des toits verts (biodiversité, gestion des eaux de plui, etc.) et comment en un chez soi.",Non faisable,n/a,Projet qui présente des limites fonctionnelles ou réglementaires pour la Ville.,n/a,n/a,n/a
16,Espace résilient pour la cuvette Mercier-Ouest,Création d'une place publique verdie dotée d’infrastructures innovantes qui permettront de capter et réutiliser un maximum d'eau de pluie à des fins ludiques et rafraîchissantes dans un secteur propice aux inondations.,Faisable ,Mercier-Hochelaga-Maisonneuve,n/a,oui,Verdissement et biodiversité,7 - Un espace résilient pour la cuvette Mercier-Ouest
17,"Espaces de drainage, de verdissement et d’accessibilité universelle 
","Aménagement de saillies de trottoir végétalisées aux intersections de rues, de fosses de plantation au milieu de boulevards et de nouveaux espaces permettant le drainage écologique des eaux de pluie.",Faisable,"Le Sud-Ouest 
Rosemont–La Petite-Patrie
Saint-Léonard ",n/a,oui,Verdissement et biodiversité,8 - Capteurs de pluie
18,Points d'eau pour tous (Nom d'origine : Accès équitable à l'eau et aux sanitaires),Ajout de plus de 125 fontaines d'eau et de dispositifs permettant le remplissage de bouteilles réutilisables dans des lieux fortement achalandés et actuellement mal desservis.,Faisable,"Côte-des-Neiges-Notre-Dame-de-Grâce
L'Île-Bizard-Saint-Geneviève
Mercier-Hochelaga-Maisonneuve
Outremont
Saint-Léonard
Ville-Marie",n/a,oui,Milieux de vie inclusifs,25 - De l'eau dans ta gourde!
19,La nature en ville dans Peter-McGill,"Création d'espaces de rencontres et de verdure dans des secteurs très minéralisés du centre-ville grâce à l'ajout de bancs, de tables, d'arbres, de végétaux, de mini-vergers et de bacs d'agriculture urbaine.",Faisable,Ville-Marie,n/a,oui,Verdissement et biodiversité,11 - La nature en ville dans Peter-McGill
20,Les paysages du quotidien - Aménagement convivial de 3 édicules de métro délaissés,"Aménagement convivial des terrains des édicules de métro des stations Saint-Laurent, Lionel-Groulx et Namur afin d'en faire des lieux de vie inclusifs (mini placette multi-usages).",Non faisable,n/a,"Projet qui vise un ou des lieux qui n'appartiennent pas, en partie ou en totalité, à la Ville de Montréal ou qui ne sont pas propices à son implantation. 
",n/a,n/a,n/a
21,Prairies flottantes,Création de « champs flottants » sur les canaux de Montréal et autres plans d'eau stagnante où la qualité de l'eau est la plus problématique ou sujets aux surverses (herbiers construits comme des radeaux et contenant des plantes pouvant nettoyer l'eau des toxines nocives et des métaux lourds abondants dans l'eau à proximité des villes).,Non faisable,n/a,Projet avec un coût estimé au-delà de la valeur maximale de 3 M$.,n/a,n/a,n/a
22,Les mini forêts de Montréal - La ville aux milles forêts,"Transformation de 5 stationnements municipaux en îlots de fraîcheur grâce à plusieurs interventions : désasphaltage, plantation d'arbres, création de pergolas végétalisées, mise en place de systèmes écologiques d'irrigation et de drainage.",Faisable,"Montréal-Nord
Outremont
Pierrefonds-Roxboro
Rosemont–La Petite-Patrie
Verdun",n/a,oui,Verdissement et biodiversité,12 - Les mini forêts de Montréal 
23,Accès aux berges - Fenêtres sur l'eau,"Aménagement de points d'accès à l'eau hors des parcs riverains existants, implantés en bout de rues et bout de lots municipaux, offrant aux citoyens des lieux de détente et d'observation de la nature accessibles au quotidien.",Non faisable,n/a,"Projet qui présente des limites fonctionnelles ou réglementaires pour la Ville et qui vise des lieux qui n'appartiennent pas, en partie ou en totalité, à la Ville de Montréal.",n/a,n/a,n/a
24,Quai 34,"Réaménagement d'un quai et verdissement d'espaces minéralisés en bordure du fleuve Saint-Laurent pour en faire un espace sécuritaire, accueillant et propice à la socialisation et à la pratique d'activités variées comme l'observation ou la pêche.",Faisable,Lachine,n/a,oui,Milieux de vie inclusifs,33 - Quai34
25,Coup d'oeil sur la rivière,Installation de nouveaux équipements pour valoriser les multiples points de vue sur la rivières des Prairies à Montréal-Nord et pour permettre son observation durant les quatre saisons.,Faisable,Montréal-Nord,n/a,oui,Verdissement et biodiversité,13 - Coup d'oeil sur la rivière
26,Décanaliser les cours d'eau - ruisseau Molson section boisée Jean-Millot,"Décanalisation, remise à l'air libre et aménagement des abords du ruisseau Molson, dans la section du boisé Jean-Milot, afin d'en faire un lieu de filtration naturelle de l'eau et d'observation de la faune et la flore accessible à la population.",Non faisable,n/a,Projet estimé au-delà de la valeur maximale de 3 M$ et qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans .,n/a,n/a,n/a
27,Protéger la Faune et la Flore de l'Est,"Mise en valeur du ruisseau de la Roche, du ruisseau Pinel et du Marais Pointe-aux-Prairies par la protection des creux marécageux, la création de zones et d'abris propices au développement d'espèces animales et végétales, l'agrandissement du Parc-nature de la Pointe-aux-Prairies et la mise en place d'ateliers de découvertes et de sensibilisation de la population.",Non faisable,n/a,"Projet estimé au-delà de la valeur maximale de 3 M$, qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans suivant le dévoilement des résultats et qui vise des lieux qui n'appartiennent pas, en partie ou en totalité, à la Ville de Montréal.",n/a,n/a,n/a
28,Îlot de biodiversité au Parc Maisonneuve,"Renaturalisation du Parc Maisonneuve par des plantations forestières denses et l'implantation de milieux hydriques (lacs, étangs, marais et cours d'eau) connectés avec ceux du Jardin botanique et avec le ruisseau Fleuri (ou Morgan), le tout dans le but d'augmenter la capacité de captage d'émission carbone, la qualité d'accueil de visiteurs, le maintien de la diversité biologique et une atténuation des risques d'inondation des zones d'habitation et économiques situées dans le bassin versant y attenant.",Non faisable,n/a,Projet estimé au-delà de la valeur maximale de 3 M$.,n/a,n/a,n/a
29,Corridor de biodiversité du bassin versant du ruisseau des Roches,"Création d'un corridor de biodiversité dans l'Est de l'Île à proximité du parc linéaire de la Coulée-Grou visant le dégagement et l'assainissement du ruisseau des Roches, l'accentuation des bassins d'absorption de l'eau,  la bonification du couvert végétal, la mise en valeur de la faune et l'observation de celle-ci, l'ajout de mobilier, de panneaux explicatifs et l'aménagement de sentiers.",Non faisable,n/a,Projet estimé au-delà de la valeur maximale de 3 M$.,n/a,,
30,Corridor de biodiversité  de l'Est,Préservation et amélioration du boisé Vimont situé dans le quartier Hochelaga-Maisonneuve par des aménagements et de la plantation de végétaux bonifiant ainsi la connectivité des milieux naturels du secteur. ,Non faisable,n/a,Projet localisé sur un site faisant déjà l'objet d'une planification de la Ville ou similaire à un projet de la Ville planifié ou existant.,n/a,,
31,Corridor écologique du grand Sud-Ouest,"Création de connexions entre d'importants noyaux de biodiversité déjà existants par la mise en valeur de ruelles vertes et l'implantation de nouveaux îlots de plantation d'arbres, d'arbustes et de jardins pollinisateurs.",Faisable,"Le Sud-Ouest
Lasalle",n/a,oui,Verdissement et biodiversité,14 - Corridor écologique du grand Sud-Ouest
32,Zones nourricières écologiques (forêts nourricières et jardins pollinisateurs),"Mise en place, sur le domaine public, d'espaces compacts pour la culture d'arbres et de végétaux comestibles et nectarifères (exemples : jardins floraux pollinisateurs, murs de production champignonnières, vergers), selon une approche de permaculture privilégiant des plantes indigènes.",Faisable,"Ahuntsic-Cartierville
LaSalle 
Outremont
Rivière-des-Prairies–Pointe-aux-Trembles
Saint-Laurent ",n/a,oui,Agriculture urbaine et alimentation,16 - Zones nourricières écologiques
33,Développement de serres pour assurer la sécurité alimentaire des Montréalais et des Montréalaises,"Implantation de 3 serres d'assez grande capacité au sein de déserts alimentaires, afin d'en faire des maillons clés de systèmes alimentaires locaux basés sur une approche combinant la distribution gratuite aux plus démunis des fruits et légumes produits et l'appropriation citoyenne (grâce à la présence de lieux d'accueil pour des ateliers ouverts au public.",Non faisable,n/a,Projet qui présente des limites fonctionnelles ou réglementaires pour la Ville.,n/a,n/a,n/a
34,Le goût de chez nous : Serre dans Mtl-Nord,"Aménagement d'une serre communautaire 4 saisons dans l'arrondissement de Montréal-Nord, comprenant des salles de production (certaines gérées en économie sociale, d'autres ouvertes aux groupes communautaires et citoyens), un espace de détente et d'éducation populaires et l'aménagement extérieur selon un modèle de jardin forêt.",Non faisable,n/a,Projet qui vise un ou des lieux qui ne sont pas propices à son implantation. ,n/a,n/a,n/a
35,Jardins communautaires renouvelés pour Montréal,"Bonification du réseau des jardins communautaires et collectifs de Montréal grâce à la mise aux normes et à la rénovation des jardins existants (exemples : points d'eau, chalets, irrigation, etc.) ou à la création de nouvelles surfaces cultivables en terre ou en bacs.",Faisable,"Ahuntsic-Cartierville
L'Île-Bizard-Sainte-Geneviève
Le Sud-Ouest
Outremont
Saint-Léonard
Ville-Marie",n/a,oui,Agriculture urbaine et alimentation,17 - Des jardins renouvelés pour Montréal
36,Convertir la moitié de la rue Millen en jardins communautaires/parc,"Transformation de la moitié Est de la rue Millen, entre Sauriol et Sauvé, en un parc linéaire et en jardins cultivables, pour la population locale, et ce, sans affecter la circulation.",Faisable,Ahuntsic-Cartierville,n/a,oui,Agriculture urbaine et alimentation,18 - Des jardins pour la rue Millen
37,Des fermes urbaines solidaires pour Montréal,"Mise en place de 3 à 5 sites exemplaires de fermes maraîchères urbaines permettant une production d'aliments frais pour les personnes vulnérables et des conditions propices à l'engagement citoyen et l'expérimentation agricole grâce à un modèle de cogestion dans lequel la Ville développe les infrastructures, un regroupement de groupes communautaires en sécurité alimentaire locaux opèrent les sites et s'occupent de la distribution alimentaire et les citoyens s'impliquent de façon bénévole. La fiducie d'utilité sociale agroécologique (FUSA) pourrait être envisagée comme modèle de gouvernance puisqu'elle vise à préserver à perpétuité une ou des terres agricoles au bénéfice de la communauté.",Non faisable,n/a,Projet qui présente des limites fonctionnelles ou réglementaires pour la Ville.,n/a,n/a,n/a
38,Des cheminés aux potagers,"Construction d'une serre agricole multifonctionnelle éco responsable connectée au milieu communautaire, aux banques alimentaires et aux marchés publics du secteur.",Faisable,Rivière-des-Prairies–Pointe-aux-Trembles,n/a,oui,Agriculture urbaine et alimentation,19 - Une serre communautaire pour la communauté de Rivière-des-Prairies-Pointe-aux-Trembles
39,Serre Verdun,"Réaménagement extérieur et rénovation du bâtiment des serres municipales de Verdun avec l'ajout de mobiliers et d'équipements destinés à améliorer l'expérience de jardinage et l'accueil de groupes (exemples : bouches d'arrosage, outils de menuiserie, fontaines, tables de pique-nique, bancs, compostière, bacs de plantation, etc.).",Faisable ,Verdun,n/a,oui,Agriculture urbaine et alimentation,20 - Réaménageons les serres de Verdun
40,Marchés mobiles - camions réfrigérés et kiosques de mini-marchés de quartier,"Acquisition et aménagement de camions-conteneurs mobiles réfrigérés et de mobilier flexible permettant la distribution alimentaire dans les quartiers où l'offre alimentaire existante est déficiente. Ces camions de propriété Ville, pourraient être mis à la disposition de divers organismes en sécurité alimentaire et entreprises d'économie sociale sous un modèle de location géré par arrondissement, ou confié en gestion à un organisme tiers mandaté à cet effet.",Non faisable,n/a,"Projet qui présente des limites fonctionnelles ou réglementaires pour la Ville et estimé comme générant de frais de fonctionnement supérieurs à 5 % par année du montant investi.
",n/a,n/a,n/a
41,Rénovation-aménagement de cuisines collectives,"Aménagement, dans les quartiers Saint-Michel et Parc-Extension, de deux cuisines collectives de grande capacité, équipées pour cuisiner, transformer, conserver, et entreposer une quantité importante d'aliments, et optimiser la gestion des matières résiduelles grâce à un système de tri et de récupération.",Faisable,Villeray-Saint-Michel-Parc-Extension,n/a,oui,Agriculture urbaine et alimentation,21 - Cuisinons ensemble!
42,Système alimentaire durable dans Milton-Parc,"Aménagement de 4 saillies de trottoir, sur la rue Prince-Arthur au coin de l'avenue du Parc, en zone d'agriculture urbaine accessible à la population et dotée de bacs de plantation avec branchement pour l'arrosage.",Faisable,Le Plateau-Mont-Royal,n/a,oui,Agriculture urbaine et alimentation,23 - Jardinons dans Milton-Parc
43,Système alimentaire intégré dans Montréal-Nord,"Création d'un pôle alimentaire local intégré dans  dans le secteur ouest ou nord-est de Montréal-Nord, par l'aménagement d'un site et l'achat d'équipements partagés de production (ex: serres urbaines collectives et communautaires), transformation (ex: cuisine collective) et distribution (ex: boutique de vente) alimentaire, incluant des espaces d'accueil du public.",Non faisable,n/a,Projet estimé au-delà de la valeur maximale de 3 M$ et comme générant de frais de fonctionnement supérieurs à 5 % par année du montant investi.,n/a,n/a,n/a
44,Micro point de dépôt (pour la valorisation des matières),"Création d'un point de dépôt (semi-enfoui ou hors-terre) pour la valorisation des matières à proximité des citoyens, à l'échelle d'un lotissement pouvant devenir un îlot de récupération facilement accessible pour la population désirant disposer écologiquement de certaines matières.",Non faisable,n/a,Projet incompatible en totalité ou en partie avec la planification de la Ville et qui vise des lieux qui ne sont pas propices à son implantation.  ,n/a,n/a,n/a
45,Réseau de points de dépôts pour les contenants consignés,"Implantation, sur le domaine public ou des terrains appartenant à la Ville, de points de cueillette de cannettes et de bouteilles vides, dans tous les quartiers, visant à favoriser l'inclusion sociale de personnes marginalisées et à accroître le recyclage des contenants consignables qui se retrouverait autrement dans les sites d'enfouissement.",Non faisable,n/a,Projet qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans suivant le dévoilement des projets lauréats.,n/a,n/a,n/a
46,Micro-infrastructures pour le partage et la réparation d'objets,Création d'un lieu équipé d'outils variés mis à la disposition de la population afin que chacun et chacune puisse effectuer des réparations mineures d’objets.,Faisable,Outremont,n/a,oui,Milieux de vie inclusifs,24 - Répare-moi
47,Notre serre 4 saisons : produisons toute l’année à Saint-Michel !,"Construction d'une serre, doublée d'un jardin extérieur, permettant de produire tout au long de l'année des fruits et légumes frais sans pesticides, d'accueillir des groupes d'élèves et de citoyen-nes et de distribuer à prix abordable les récoltes dans le quartier. ",Faisable,Villeray-Saint-Michel-Parc-Extension,n/a,oui,Agriculture urbaine et alimentation,22 - Notre serre 4 saisons : produisons toute l’année à Saint-Michel
48,"Haltes de coworking, d'apprentissage et de rencontres, intégrant de l'accès à du WiFi en extérieur (anciennement 'Agoras de quartier')","Création de plusieurs haltes extérieures d'apprentissage et de travail connectées au WiFi public et dotées d'aménagements modulables capables d’accueillir divers types d'activités (exemples : conférences, cotravail, rencontres intergénérationnelles, ateliers de participation citoyenne, etc.).",Faisable,"Côte-des-Neiges-Notre-Dame-de-Grâce 
Outremont
Ville-Marie",n/a,oui,Milieux de vie inclusifs,27 - Apprendre et travailler ensemble en plein air
49,Le Jardin Éthel,"Transformation du dernier étage du stationnement Éthel à Verdun pour en faire une place publique dédiée à l'agriculture urbaine, au verdissement, à l'art et la culture, tout en offrant une vue spectaculaire sur Montréal.",Faisable,"Service de la gestion et de la planification immobilière
Verdun",n/a,oui,Milieux de vie inclusifs,28 - Le Jardin Éthel
50,Des parcs pour tous à St-Léonard,"Création d'un espace citoyen sous la forme d'un mini-parc sur la rue Jarry, au coin de la rue Madère, comprenant des aménagements inclusifs et écologiques (jardins collectifs, espace aînés, jeux d'hébertisme pour enfants et piano urbain).",Faisable,Saint-Léonard,n/a,oui,Milieux de vie inclusifs,29 - Un mini-parc pour Saint-Léonard
51,"Un square Dézéry vert, ludique et solidaire","Création d'un espace intergénérationnel et accessible universellement, en rénovant le parc Dézéry et en ajoutant diverses installations pour bonifier l'offre d'activités (exemples : bancs, tables de pique-nique, modules de jeux, etc.).",Faisable, Mercier-Hochelaga-Maisonneuve,n/a,oui,Milieux de vie inclusifs,31 - Réapproprions-nous le Square Dézéry
52,L'Espace Meilleur : valorisation d'un espace urbain dans Ahuntsic,"Valorisation d'un espace urbain vacant, situé à l'extrémité de la Place Meilleur dans le secteur Fleury-Ouest, en y ajoutant des aménagements qui favorisent les rencontres citoyennes (exemples : placottoirs, bacs d'agriculture urbaine, aire de jeux, etc.).",Faisable,Ahuntsic-Cartierville,n/a,oui,Milieux de vie inclusifs,30 - L'espace Meilleur
53,La Maison communautaire multiservices du Parc Poirier,"Agrandissement du chalet du parc Poirier de manière à y aménager de nouveaux locaux et salles multifonctionnelles capables d'accueillir des services communautaires (aide au devoir, halte garderie, pédiatrie sociale, dépannage alimentaire, rencontres citoyennes, etc.).",Non faisable,n/a,"Projet qui vise un lieu qui n'est pas propice à son implantation.  
",n/a,n/a,n/a
54,Chemin de glace Bellerive,Aménagement d'un sentier de glace illuminé et d'une grande halte chauffée incluant des toilettes à proximité de la promenade Bellerive afin de permettre à la population de bénéficier d'une activité de plein air pendant la période hivernale.,Non faisable,n/a,"Projet estimé comme générant de frais de fonctionnement supérieurs à 5 % par année
du montant investi.",n/a,n/a,n/a
55,Ruelles blanches,"Installation d'aménagements dédiés aux activités hivernales dans les ruelles pour tous les âges (exemples : patinoires, buttes, glissoires, jeux, bancs chauffants, petits abris).",Faisable,Outremont,n/a,oui,Milieux de vie inclusifs,32 - Des ruelles blanches pour Outremont
56,Jardins d'éducation cycliste,Installation de 4 parcs d'éducation cycliste offrant aux enfants et aux adolescents un endroit protégé et ludique où ils peuvent développer leurs compétences à vélo et apprendre les bases des comportements sécuritaires sur la route.,Faisable,"Ahuntsic-Cartierville
Côte-des-Neiges–Notre-Dame-de-Grâce
Montréal-Nord
Villeray–Saint-Michel–Parc-Extension",n/a,oui,Mobilité durable et active,2 - Jardins d'éducation cycliste
57,"Nouveaux lieux intérieurs d'accès à du Wifi avec espaces de télétravail, de coworking, d'apprentissages et de rencontres (Nom d'origine : Wifi pour tous)","Implantation de 5 nouvelles haltes de connexion, pouvant accueillir plusieurs personnes à la fois, et dotées d'une connexion Internet, de postes d'ordinateurs, d'espaces de travail versatiles visant à offrir des lieux intérieurs supplémentaires de travail, d'étude, de cotravail ou de rencontres virtuelles.",Non faisable,n/a,"Projet estimé comme générant de frais de fonctionnement supérieurs à 5 % par année
du montant investi.",n/a,n/a,n/a
58,"Équipements sanitaires pour tous
(Nom d'origine : Point d'eau et toilettes publiques)",Ajout des nouvelles infrastructures sanitaires autonettoyantes accessibles avec l'ajout de toilettes publiques gratuites et de points de lavage de mains (eau non potable possible)et des tables pour changer les enfants.,Non faisable,n/a,"Projet estimé comme générant de frais de fonctionnement supérieurs à 5 % par année
du montant investi.",n/a,n/a,n/a
59,"Mobilier versatile, inclusif, sécuritaire et disponible pour toute festivité","Bonification de l'offre d’équipements municipaux accessibles universellement et disponibles pour l'organisation de petits évènements sur le domaine public (exemples : rampes inclinées amovibles, système d'aide à l'audition sur scène, tapis en caillebotis adaptés aux personnes à mobilité réduite, etc.).",Faisable,Mercier-Hochelaga-Maisonneuve (qui dessert tous les arrondissements pour ce genre d'équipements municipaux),n/a,oui,Milieux de vie inclusifs,34 - Mobilier festif inclusif et sécuritaire
60,Recouvrement en bois des gymnases,"Ajout de revêtement de sol en plancher de bois franc dans certains gymnases des bâtiments municipaux, afin de permettre à toutes les équipes sportives, y compris aux équipes de sports adaptés (athlètes ayant une déficience visuelle ou qui utilisent un fauteuil roulant) de les utiliser.",Non faisable,n/a,Projet qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans suivant le dévoilement des projets lauréats afin de que ce type d'intervention soit intégré à planification intégrée en matière d'accessibilité.,n/a,n/a,n/a
61,Montréal et ses lieux clés au bout des doigts,"Intégration de maquettes tactiles dans les quartiers et à proximité de lieux clés, par exemple près des stations de métro, des écoles et des bâtiments historiques, pour permettre à toute la population, particulièrement les personnes ayant une déficience visuelle, aux enfants et aux touristes, de mieux visualiser et comprendre les attraits montréalais devant eux ou de mieux cerner le secteur dans lequel ils se trouvent.",Non faisable,n/a,Projet qui présente des limites fonctionnelles ou réglementaires pour la Ville.,n/a,n/a,n/a
62,L’audiodescription et l’accessibilité universelle à la culture,"Création d'une nouvelle application mobile qui viserait à donner accès à des visites ""audio-guidées"" pour la découverte de murales, de bâtiments historiques et institutionnels à valeur architecturale ainsi que des contenus dans les institutions culturelles municipales, comme les bibliothèques ou les maisons de la culture.",Non faisable,n/a,Projet qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans en raison des partenariats à établir.,n/a,n/a,n/a
63,Les maisons de la famille et de la nature,"Rénovation, aménagement et équipement d'un bâtiment municipal afin de créer un lieu de rencontre et de partage destiné aux parents et à leurs enfants qui souhaitent s'initier à la transition écologique et sociale (exemples : initiation à l'agriculture urbaine, à la récupération alimentaire, à l'art public, etc.).",Faisable,Outremont,n/a,oui,Milieux de vie inclusifs,35 - La Maison de la famille et de la nature d’Outremont
