NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHIQUE,VALEUR TOTALE
COMITE D'ADAPTATION DE LA MAIN-D'ŒUVRE - C.A.M.O. - PERSONNES IMMIGRANTES,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1560
COMITE LOGEMENT DU PLATEAU MONT-ROYAL INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,520
COOPERATIVE DE SOLIDARITE ECTO,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1813
LA MAISON DES FEMMES SOURDES DE MONTREAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1704
LE CENTRE D'APPRENTISSAGE PARALLELE DE MONTREAL C.A.P.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1803
"L'HIRONDELLE, SERVICE D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS",100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1014
"L'HIRONDELLE, SERVICE D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS",100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,835
OPTION : UNE ALTERNATIVE A LA VIOLENCE CONJUGALE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1010
REGROUPEMENT DES AIDANTS-NATURELS DE MONTREAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,562
SERVICE D'INTERPRETATION VISUELLE ET TACTILE DU MONTREAL-METROPOLITAIN,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1861
SOUTIEN A LA PERSONNE HANDICAPEE EN ROUTE VERS L'EMPLOI AU QUEBEC (SPHERE-QUEBEC),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,945
SUIVI COMMUNAUTAIRE LE FIL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1351
ASSOCIATION ZEN DE MONTREAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1012
C.D.A.T. «MATERIEL ET EQUIPEMENT» POUR PERSONNES PATHOLOGIQUEMENT OBESES DU QUEBEC INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,911
INDUSTRIES GOODWILL RENAISSANCE MONTREAL INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,5000
SOCIETE ST-VINCENT DE PAUL DE MONTREAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,873
SOCIETE ST-VINCENT DE PAUL DE MONTREAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,563
LES PRODUCTIONS DROLE DE MONDE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1260
ALTERNATIVE NAISSANCE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,266
"CENTRE D'EDUCATION, DE RECHERCHE, D'INNOVATION ET D'ENTREPRENEURIAT COLLECTIF (CERIDEC)",100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1713
CONSEIL DE DIRECTION DE L'ARMEE DU SALUT,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,3848
FEM INTERNATIONAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1337
GROUPE PLEIN EMPLOI INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1441
INDUSTRIES GOODWILL RENAISSANCE MONTREAL INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,5000
JEUNESSE AU SOLEIL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,4601
