Gentile_no;Toponyme;Type_entite;Gentile;Prononciation;Variante;Commentaire;bibliographie;Toponyme_red
17;Ange-Gardien;Municipalité (de la région de la Montérégie);Gardangeois, Gardangeoise (1986*);;;Commentaire : La municipalité d'Ange-Gardien est issue du regroupement de la municipalité du village de L'Ange-Gardien et de la municipalité de la paroisse de Saint-Ange-Gardien, le 31 décembre 1997. Une partie du second constituant du nom de lieu a été conservé et permuté avec le premier pour établir le gentilé. ;;AngeGardien
18;Angliers;Secteur (de la municipalité de Laverlochère-Angliers);Anglier, Anglière (1986*);;;"Commentaire : Dérivé à partir du modèle de Nord-Côtier, ière, gentilé des habitants de la Côte-Nord. La municipalité du village d'Angliers n'existe plus depuis le 27 décembre 2017, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Laverlochère-Angliers. Le nom « Angliers » a toutefois été préservé; il identifie un secteur de cette municipalité.";;ANGLIERS
20;Anjou;Arrondissement (de la ville de Montréal);Angevin, Angevine (1977*);;;"Commentaire : La ville d'Anjou n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Montréal. Le nom « Anjou » a toutefois été préservé; il identifie une agglomération de cette ville. On ne peut s'empêcher de songer au célèbre vers de Joachim Du Bellay : « Et plus que l'air marin la douceur angevine » (« Heureux, qui comme Ulysse,... »). Il s'agit du gentilé identique porté par les habitants d'Angers et de l'Anjou française. Ce dernier provient de la dérivation latine : du bas latin Andecavinus ou Andegavinus, remontant à Andecavi ou Andegavi, « les Andégaves », peuple de la Gaule romaine. ";;Anjou
19;Anjou, Circonscription électorale d';Circonscription électorale provinciale;Angevin, Angevine (1988);;;;;Anjou
1727;Annaville;Municipalité de village;Voir Saint-Célestin (Municipalité de village);;;;;Annaville
21;Anticosti, Île d';Île;Anticostien, Anticostienne (1897);;;;;AnticostiIled
22;Anticosti-Minganie;Région;Anticostien-Minganien, Anticostien-Minganienne (1981);;;Commentaire : Le fait qu'on ait fait dériver le constituant Anticosti, alors que règle générale seul le dernier élément d'un nom de lieu composé se voit adjoindre la finale gentiléenne, témoigne selon nous que l'on considère encore les deux régions géographiques constitutives comme formant des entités séparées, non encore entièrement intégrées. L'appellation « Anticosti-Minganie » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.;;AnticostiMinganie
23;Antoine-Labelle;MRC;Antoine-Labellois, Antoine-Labelloise (1986*);;Variante (s) : Labellois.;;Bibliographie : THIBAULT, J.-René (1986), « Une conscience régionale, est-ce possible? » dans La Gazette, Maniwaki, 24 mars, p. 8.;AntoineLabelle
24;Argentenay, Pointe;Pointe;Argentenayen, Argentenayenne (1890);;;Commentaire : La pointe Argentenay est située dans la municipalité de Saint-François-de-lÎle-dOrléans.;;Argentenay
25;Argenteuil;MRC;Argenteuillois, Argenteuilloise (1986*);;;Commentaire : On a estimé que même si le gentilé Argentelain était en usage pour désigner le citoyen de la circonscription électorale d'Argenteuil dont le territoire correspond à celui de l'actuelle municipalité régionale de comté « Argenteuillois(e) est susceptible d'être mieux accepté par la population. »;Bibliographie : DUPUIS, Pierre (1986a), « Un gentilé pour une région. Argenteuilloise, Argenteuillien, Argenteuillaise ou Argentelain? », dans L'Argenteuil, Lachute, 25 mars, p. A-3. DUPUIS, Pierre (1986b), « Argenteuillois! », dans L'Argenteuil, Lachute, 15 avril, p. A-5.;Argenteuil
26;Argenteuil, Circonscription électorale d';Circonscription électorale provinciale;Argentelain, Argentelaine (1969);;;Commentaire : Le gentilé des citoyens d'Argenteuil dans le Val-d'Oise français est Argentolien ou Argenteuillais. Ainsi, on a pu s'inspirer de la première dénomination qui remonte à une possible forme latine Argentolianus, dérivée d'Argentolium.;Bibliographie : FERBER ET COMPAGNIE (1982), « Dans la grand-rue... et ailleurs... », dans L'Argenteuil, Lachute, 28 avril, p. 1.;Argenteuil 
27;Armagh;Municipalité;Armageois, Armageoise (1986*);;;Commentaire : La municipalité d'Armagh est issue du regroupement de la municipalité du village d'Armagh et de la municipalité de la paroisse de Saint-Cajetan-d'Armagh, le 29 décembre 1993.;;Armagh
1816;Armagh;Ancienne municipalité de village;Voir Armagh (Municipalité);;;;;Armagh
28;Arntfield;Secteur (de la ville de Rouyn-Noranda);Arntfieldois, Arntfieldoise (1986*);[ARNT-FIL-DOI/DOIZ];;"Commentaire : La municipalité d'Arntfield n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rouyn-Noranda. Le nom « Arntfield » a toutefois été préservé; il identifie un secteur de cette ville.";;Arntfield
29;Arthabaska;MRC;Arthabaskien, Arthabaskienne (1986*);;;;;Arthabaska
30;Arthabaska;Secteur (de la ville de Victoriaville);Arthabaskien, Arthabaskienne (1979*);;;"Commentaire : La ville d'Arthabaska n'existe plus depuis le 23 juin 1993, par suite d'un regroupement municipal, son territoire fait maintenant partie de la ville de Victoriaville. Le nom « Arthabaska » a toutefois été préservé; il identifie un secteur de cette ville.";;Arthabaska
31;Arundel;Municipalité de canton;Arundelite (1980) (forme anglaise);;;;;Arundel
32;Arvida;Secteur (de la ville de Saguenay);"Arvidien, Arvidienne (1949); Arvidian (1926) (forme anglaise) ";;;Commentaire : Le journal The Arvidian fut publié du 18 août 1927 à la fin de 1928.;;Arvida
33;Asbestos;Ville (ancien nom);Asbestrien, Asbestrienne (1980*);;;Commentaire : Le nom Asbestos a été remplacé par celui Val-des-Sources en 2021. Provient du terme asbest(e) qui signifie « amiante » auquel on a accolé Estrien qui marque l'appartenance de cette entité municipale à la région de l'Estrie.;Bibliographie : L., J.-P. (1980), « Les gens d'Asbestos sont des Asbestriens », dans Le Citoyen, Asbestos, 11 novembre.;ASBESTOS
34;Ascot;Secteur (de la ville de Sherbrooke);Ascotois, Ascotoise (1986*);;;"Commentaire : La municipalité d'Ascot n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Sherbrooke. Le nom « Ascot » a toutefois été préservé; il identifie un secteur de cette ville.";;Ascot
2900;Ascot Corner;Municipalité;Ascotois, Ascotoise (2015*);;;;;AscotCorner
35;Aston-Jonction;Municipalité;Astonnais, Astonnaise (1986*);;;Commentaire : La municipalité d'Aston-Jonction est issue du regroupement de la municipalité de la paroisse de Saint-Raphaël-Partie-Sud et de la municipalité du village d'Aston-Jonction, le 26 mars 1997.;;AstonJonction
36;Aubert-Gallion;Secteur (de la ville de Saint-Georges);Aubert-Gallionnais, Aubert-Gallionnaise (1986*);;;"Commentaire : La municipalité d'Aubert-Gallion n'existe plus depuis le 26 septembre 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Saint-Georges. Le nom « Aubert-Gallion » a toutefois été préservé; il identifie un secteur de cette ville.";;AubertGallion
1700;Auclair ;Municipalité;Auclairois, Auclairoise (2006*);;;;;Auclair
37;Audet;Municipalité;Audettois, Audettoise (1985);;;;;Audet
38;Aumond;Municipalité de canton;Aumondois, Aumondoise (1986*);;;;;Aumond
39;Aupaluk;Municipalité de village nordique;Aupalummiuq (1980) (forme inuite);[AU-PA-LOU-MI-YOUK] ;Variante (s) : Aupalumiuq.;;;Aupaluk
2888;Austin;Municipalité;Austinois, Austinoise (2014*);;;;;AUSTIN
40;Authier;Municipalité;Authiérois, Authiéroise (1986*);;;;;Authier
41;Authier-Nord;Municipalité;Authiernordois, Authiernordoise (1986*);;;;;AuthierNord
42;Avignon;MRC;Avignonnais, Avignonnaise (1986*);;;Commentaire : Gentilé identique à celui des résidents d'Avignon dans le Vaucluse français.;;Avignon
43;Ayer's Cliff;Municipalité de village;"Ayer's-Cliffois, Ayer's-Cliffoise (1978); ";[A-YEURS-KLI-FOI/FOIZ];Variante (s) : Ayer's Cliffer (1984) (forme anglaise);;;AyersCliff
44;Aylmer;Secteur (de la ville de Gatineau);"Aylmerois, Aylmeroise (1989*); Aylmerite (1985) (forme anglaise)";;;"Commentaire : La ville d'Aylmer n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Gatineau. Le nom « Aylmer » a toutefois été préservé; il identifie un secteur de cette ville. Comme on estimait que la finale -rien pouvait être perçue de manière négative en raison de son rapprochement avec le mot qui évoque l'absence, l'insignifiance, le peu d'importance, les autorités municipales ont décidé, en 1989, de procéder à la modification du gentilé Aylmerien à la faveur d'Aylmerois, estimé plus neutre et tout aussi correct. ";;Aylmer
45;Bagotville;Secteur (de la ville de Saguenay);Bagotvillois, Bagotvilloise (1957);;Variante (s) : Belgovalois.;"Commentaire : La forme Belgovalois n'a pas connu un grand succès, compte tenu de son allure peu orthodoxe en regard du toponyme dont elle provient; gentilé à connotation savante démontrant le tiède enthousiasme que suscite ce genre de dérivé auprès des intéressés eux-mêmes.";;Bagotville
46;Baie-Comeau;Ville;Baie-Comois, Baie-Comoise (1994*);;"Variante (s) : Baie-Comelien (1983); Baiecomélien (1984); Baie-Comellien (1981); Baiecomien (1984); Baie-Comien (1979).";Commentaire : Les difficultés que soulève la dérivation d'un toponyme formé d'un terme géographique et d'un anthroponyme à finale vocalique justifient sans doute le recours à plusieurs variantes. Bien que Baie-Comellien ait connu son heure de gloire en 1981 et 1982, il n'est plus usité. Quant à Baie-Comien, relevé jusqu'à la fin des années 1980, il a graduellement cédé la place à Baie-Comois, plus agréable à l'oreille et moins susceptible d'entraîner la création de jeux de mots ou de rapprochements lexicaux non désirés. Largement en usage depuis 1988, ce dernier a recueilli la faveur populaire et incité les autorités municipales à l'adopter officiellement par voie de résolution municipale en septembre 1994. Au fil des ans, nous avons également recueilli l'appellation Papalugrain, tirée de papier, aluminium et grain, trois produits historiquement importants pour l'économie baie-comoise. Il s'agit, cependant, d'un blason populaire ou surnom collectif que certaines sources présentent comme un gentilé.;Bibliographie : ANONYME (1981), « Beau comme moi! », dans La francisation en marche sur la Côte-Nord, Hauterive, Office de la langue française, octobre, p. 3. HOVINGTON, Raphaël (1984), « Chacun son tour », dans Plein Jour sur la Manicouagan, Baie-Comeau, 18 avril, p. 15. HOVINGTON, Raphaël (1987), « Paul-Émile Jean lance son répertoire des noms de rues de Baie-Comeau », dans Plein Jour sur la Manicouagan, Baie-Comeau, 5 mai, p. 8.;BaieComeau
47;Baie-de-Shawinigan;Secteur (de la ville de Shawinigan);Shawiniganais, Shawiniganaise (1983);;;"Commentaire : La municipalité du village de Baie-de-Shawinigan n'existe plus depuis le 2 septembre 1998, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Shawinigan. Le nom « Baie-de-Shawinigan » a toutefois été préservé; il identifie un secteur de cette ville.";;BaiedeShawinigan
48;Baie-des-Sables;Municipalité;Baie-des-Sablien, Baie-des-Sablienne (1978*);;Variante (s) : Sabléen.;Commentaire : En dépit de la présence de l'article pluriel des, il convient de prendre soin de ne pas adjoindre un -s final à Sablien au singulier, car c'est l'ensemble du gentilé qu'il faut considérer et non pas chacun de ses constituants individuellement.;;BaiedesSables
2898;Baie-du-Febvre;Municipalité;Baievillois, Baievilloise (2015*);;;Commentaire : La municipalité de Baie-du-Febvre est issue du regroupement de 1983 des municipalité de Baieville, de Saint-Antoine-de-la-Baie-du-Febvre et de Saint-Joseph-de-la-Baie-du-Febvre.;;BaieduFebvre
49;Baie-D'Urfé;Ville;Baie d'Urfeite (1984) (forme anglaise);;;Commentaire : Comme «  D'Urfé  » est un patronyme, la particule doit s'écrire avec la majuscule.;;BaiedUrfé
50;Baie-James;Ancienne municipalité;Jamésien, Jamésienne (1981*);Variante (s) : Jamesien (1976).;La Municipalité de Baie-James a cessé d'exister le 1er janvier 2014. Une nouvelle autorité politique, le Gouvernement régional d'Eeyou Istchee Baie-James, l'a remplacée.;"Commentaire : Lors de la création d'un journal devant desservir la population de la Baie-James, les responsables de la Société de développement de la Baie James ont lancé un concours qui a généré pas moins de 260 suggestions parmi lesquelles Le Jamésien a été retenu, parce que « Le Jamésien c'est aussi l'être neuf, entreprenant, volontaire; celui qui met tout son talent au service d'un coin de terre déshéritée, ... » (Françoise Gilbert).";Bibliographie : GILBERT, Françoise (1981), « Pourquoi le Jamésien? », dans Le Jamésien, Baie-James, vol. 1, no 1, avril, p. 2;BaieJames
2923;Baie-Johan-Beetz;Municipalité;Baie-Johannais, Baie-Johannaise (2011*);;;;;BaieJohanBeetz
51;Baie-Jolie;Secteur (de la ville de Trois-Rivières);Baie-Jolien, Baie-Jolienne (1985);;;;;BaieJolie
52;Baie-Sainte-Catherine;Municipalité;Baie-Catherinois, Baie-Catherinoise (1986*);;;;;BaieSainteCatherine
53;Baie-Saint-Paul;Ville;Baie-Saint-Paulois, Baie-Saint-Pauloise (1978*);;"Variante (s) : Saint-Paulien (époque inconnue); Saint-Paulois (1969).";;;BaieSaintPaul
1707;Baie-Saint-Paul;Ancienne municipalité de paroisse;Montagnorois, Montagnoroise (1986*);;;Commentaire : La municipalité de la paroisse de Baie-Saint-Paul n'existe plus depuis le 3 janvier 1996, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Baie-Saint-Paul. L'appellation « Baie-Saint-Paul » (Municipalité de paroisse) n'a plus de statut officiel à la Commission de toponymie. En raison de l'importante présence de la montagne dans le paysage de la municipalité de la paroisse de Baie-Saint-Paul dont plus de 90% du territoire se situe en terrain montagneux, on a voulu signaler cet aspect majeur via le gentilé. Montagnois a été écarté en vertu de sa proximité lexicale avec Montagnais. ;;BAIESAINTPAUL
54;Baie-Trinité;Municipalité de village;Baie-Trinitois, Baie-Trinitoise (1986*);;;;;BaieTrinité
55;Baieville;Ancienne municipalité de village;Baievillien, Baievillienne (1978);;Variante (s) : Baievillois.;Commentaire : Avec Saint-Antoine-de-la-Baie-du-Febvre et Saint-Joseph-de-la-Baie-du-Febvre, Baieville a contribué à former, il y a quelques années, la municipalité de Baie-du-Febvre. Par ailleurs, anciennement Baieville portait précisément le nom de Baie-du-Febvre. L'appellation « Baieville » (Municipalité de village) n'a plus de statut officiel à la Commission de toponymie.;;Baieville
56;Baleine, Grande rivière de la ;Rivière;"Uapemekustukunnu (1980*) (forme innue); Waapimaakustuw-iiyuw (1994) (forme naskapie)";;Variante (s) : Uapamekutunnu (1984) (forme innue).;Commentaire : Dans le journal du poste d'Eastmain tenu par Joseph Ibister, on retrouve, pour l'année 1740, l'appellation Wapameg-Us-Sohs, « White Wale River », qui, malgré les différences orthographiques, a pu inspirer ce gentilé. D'autre part, les Cris désignent ce cours d'eau comme Whapmagoostui. En naskapi, le gentilé est identique à celui qui identifie les résidents du village cri de Whapmagoostui.;;Baleine
57;Barford;Village (de la ville de Coaticook);Barfordois, Barfordoise (1986*);[BAR-FOEUR-DOI/DOIZ] ;;"Commentaire : La municipalité du canton de Barford n'existe plus depuis le 30 décembre 1998, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Coaticook. Le nom « Barford » a toutefois été préservé; il identifie un village de cette municipalité.";;Barford
58;Barkmere;Ville;Bark Laker (1983) (forme anglaise);;;Commentaire : Le gentilé doit sans doute sa forme au fait que Barkmere est située sur le bord du lac des Écorces, dénommé Bark Lake en anglais, bark ayant pour sens « écorce ».;;Barkmere
59;Barnston;Village (de la ville de Coaticook);Barnstonnien, Barnstonnienne (1986*);;;"Commentaire : La municipalité du canton de Barnston n'existe plus depuis le 30 décembre 1998, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Coaticook. Le nom « Barnston » a toutefois été préservé; il identifie un village de cette municipalité.";;Barnston
60;Barraute;Municipalité;Barrautois, Barrautoise (1980*);;;Commentaire : La municipalité de Barraute est issue du regroupement de la municipalité du village de Barraute et de la municipalité de Fiedmont-et-Barraute, le 5 janvier 1994. Une suggestion pour dénommer Nataganois les citoyens de Barraute a déjà été effectuée, en raison de l'ancien nom du village Natagan, mais n'a vraisemblablement jamais connu de suite concrète. ;Bibliographie : BÉDARD, Jean-Jacques (1979), « Parlons de toponymie en AbitibiTémiscamingue », dans L'Écho d'Amos, Amos, 14 novembre, p. 66.;Barraute
1814;Barraute;Ancienne municipalité de village;Voir Barraute (Municipalité);;;;;Barraute
61;Bas-de-Québec;Région;Bas-Québécois, Bas-Québécoise (1920);;Variante (s) : Bas-Kébecois (1935).;Commentaire : L'appellation « Bas-de-Québec » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.;;BasdeQuébec
62;Bas-du-Fleuve;Région;Bas-du-Fleuvien, Bas-du-Fleuvienne (1972);;Variante (s) : Basdufleuvien.;;;BasduFleuve
63;Bas-Saguenay;Région;Bas-Saguenayen, Bas-Saguenayenne (1953);;;Commentaire : L'appellation « Bas-Saguenay » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.;;BasSaguenay
64;Bas-Saint-Laurent;Région administrative;Bas-Laurentien, Bas-Laurentienne (1915);;"Variante (s) : Baslaurentien; Bas St-Laurentien.";;;BasSaintLaurent
65;Basse-Côte-Nord;Territoire équivalent à une MRC;Bas-Côtier, Bas-Côtière (1980);;;Commentaire : Territoire qui couvre tout le littoral labradorien depuis la localité de Kegaska jusqu'à Blanc-Sablon. Ce gentilé module avec plus de précision Nord-Côtier qui coiffe la population de toute la région de la Côte-Nord.;;BasseCôteNord
66;Basse-Ville;Secteur (de la ville de Québec);Basse-Vilain, Basse-Vilaine (1935);;;Commentaire : Peut-être se profile-t-il derrière cette dénomination une intention flétrissante que Basse-Villois ou Basse-Villien écarterait? Par ailleurs, la présence d'un l unique paraît révélatrice à cet égard. Cette dénomination se situe à la frontière du gentilé et du blason populaire.;Bibliographie : MASSÉ, Oscar. « À vau-le-nordet. Montréal » : Librairie Beauchemin, 1935. 196 p.;BasseVille
67;Bassin;Village (de la municipalité des Îles-de-la-Madeleine);Bassinier, Bassinière (1920);;;Commentaire : Il semblerait qu'un bateau ait également porté le nom de Le Bassinier à une certaine époque.;;Bassin
68;Batiscan;Municipalité;Batiscanais, Batiscanaise (1969*);;Variante (s) : Batiscannais (1933).;Commentaire : La municipalité de la paroisse de Saint-François-Xavier-de-Batiscan est devenue la municipalité de Batiscan en 1986.;;Batiscan
69;Beaconsfield;Ville;Beaconsfielder (1984) (forme anglaise);;Variante (s) : B'fielder.;Commentaire : La langue anglaise demeure parsemée de formes abréviatives relatives à certains noms de lieux comme NDG (Notre-Dame-de-Grâce), TMR (Town of Mount Royal), DDO (Dollard-des-Ormeaux), CSL (Côte-Saint-Luc), etc. ;;Beaconsfield
70;Béarn;Municipalité;Béarnais, Béarnaise (1980*);;Variante (s) : Béarnois.;Commentaire : Gentilé identique à celui des habitants de la région du Béarn, en France.;;Béarn
71;Beauce;Région;Beauceron, Beauceronne (1897);;Variante (s) : Beauçois (date indéterminée).;Commentaire : La Beauce française a suscité le gentilé Beauceron, sans aucun doute transplanté en terre québécoise lors du transfert dénominatif, mais relevé tardivement dans les sources écrites.;;Beauce
72;Beauce-Sartigan;MRC;Beauceron, Beauceronne (1986*);;;;Bibliographie : ROY, Michel (1986), « Beauceron point à la ligne », dans L'Éclaireur-Progrès, Sainte-Marie, 5 mars, p. A6.;BeauceSartigan
73;Beauce-Sud, Circonscription électorale de;Circonscription électorale provinciale;Beauceron du Sud, Beauceronne du Sud (1993);;;;;BeauceSud
74;Beauceville;Ville;Beaucevillois, Beaucevilloise (1978*);;;;;Beauceville
75;Beaudry;Secteur (de la ville de Rouyn-Noranda);Beaudryen, Beaudryenne (1986*);;;"Commentaire : La municipalité de Beaudry n'existe plus depuis le 9 février 2000, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rouyn-Noranda. Le nom « Beaudry » a toutefois été préservé; il identifie un secteur de cette ville.";;Beaudry'
76;Beauharnois;Ville;Beauharlinois, Beauharlinoise (2014*, 1978);;"Variante (s) : Beauharnaisien (1976); Béharnais.";Commentaire : Il demeure possible que la présence du -li- intercalaire vise à éviter la non-distinction, au masculin, entre le gentilé et le nom de la ville.;;Beauharnois
77;Beaulac;Ancienne municipalité de village;Beaulacquois, Beaulacquoise (1986*);;;Commentaire : La municipalité du village de Beaulac n'existe plus depuis le 15 mars 2000, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Beaulac-Garthby. L'appellation « Beaulac » (Municipalité de village) n'a plus de statut officiel à la Commission de toponymie.;Bibliographie : R(OYER), M(ario) (1986), « Les Beaulacquois inscrits au répertoire des gentilés », dans Courrier Frontenac, Thetford Mines, 10 février, p. B9.;Beaulac
2881;Beaulac-Garthby;Municipalité;Beaugarthois, Beaugarthoise (2004*);;;;;BEAULACGARTHBY
78;Beaumont;Municipalité;Beaumontois, Beaumontoise (1898);;;Commentaire : La municipalité de la paroisse de Saint-Étienne-de-Beaumont est devenue la municipalité de Beaumont, le 31 janvier 1998.;;Beaumont
79;Beauport;Arrondissement (de la ville de Québec);Beauportois, Beauportoise (1934);;;"Commentaire : La ville de Beauport n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Québec. Le nom « Beauport » a toutefois été préservé; il identifie un arrondissement de cette ville.";;Beauport
80;Beaupré;Ville;Beaupréen, Beaupréenne (vers 1880*);;;;;Beaupré
81;Beauval, Lac;Lac;Beauvallois, Beauvalloise (1921);;;Commentaire : Même s'il s'agit d'un lac, le gentilé s'applique aux gens installés de façon temporaire sur ses rives.;;Beauval
82;Beaux-Rivages;Secteur (de la municipalité de Lac-des-Écorces);Beaux-Rivageois, Beaux-Rivageoise (1986*);;;"Commentaire : La municipalité de Beaux-Rivages n'existe plus depuis le 10 octobre 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Lac-des-Écorces. Le nom « Beaux-Rivages » a toutefois été préservé; il identifie un secteur de cette municipalité.";;BeauxRivages
83;Bécancour;Ville;Bécancourois, Bécancouroise (1984*);;"Variante (s) : Bécancourais; Bécancourien (1977).";Commentaire : On a même avancé la dénomination Bécancoureur, laquelle véhicule un certain relent sportif!;Bibliographie : ANONYME (1984), « Les Bécancoureurs », dans Le Nouvelliste, Trois-Rivières, 6 octobre, p. 24. LEVASSEUR, Roger (1986) « Affaires municipales. Bécancour », dans Le Nouvelliste, Trois-Rivières, 17 mai, p. 44.;Bécancour
84;Bedford;Ville;"Bedfordois, Bedfordoise (1984*); Bedfordite (forme anglaise)";;;;;Bedford
85;Bégin;Municipalité;Béginois, Béginoise (1978*);;;;;Bégin
86;Bégin, Rue;Rue (de la ville de Longueuil);Béginois, Béginoise (1987);;;;;Bégin
87;Bélair;Secteur (de la ville de Québec);Bélairien, Bélairienne (1974);;;;;Bélair
88;Belcourt;Municipalité;Belcourtois, Belcourtoise (1986*);;;;;Belcourt
89;Belle-Anse;Hameau (de la ville de Percé);Belle-Ansois, Belle-Ansoise (1957);;;;;BelleAnse
91;Bellechasse;MRC;Bellechassois, Bellechassoise (1986);;;;Bibliographie : LEDUC, Gilbert (1986), « C'est la fin du chacun pour soi  », dans Le Soleil, Québec, 27 octobre, p. B-1.;Bellechasse
92;Bellechasse;Région;Bellechassois, Bellechassoise (1990);;;Commentaire : L'appellation « Bellechasse » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.;;Bellechasse
90;Bellechasse, Circonscription électorale de;Circonscription électorale provinciale;Beauchasseur, Bellechasseresse (1975);;Variante (s) : Belchassan (1969).;Commentaire : Deux seules occurrences du gentilé Beauchasseur ont été relevées à ce jour, ce qui manifeste son peu d'implantation dans l'usage. Peut-être que le rapprochement avec le sens général a joué un rôle non négligeable sous cet angle. Le recours à des dénominations plus classiques comme Bellechassois ou Bellechassien pourrait possiblement pallier ce manque d'enthousiasme.;;Bellechasse
