ï»¿OBJECTID,NUMERO_SCENARIO,LABEL,DIAMETER,START_NODE,STOP_NODE,LENGTH__SCALED_,MATERIAL,ANNEEINSTALLATION,CLASSIFICATIONFONCTIONNELLE,TYPEEGOUT,SECTION_TYPE,RISE,SPAN,PROPRIETAIRE
4247476,1,ES-36736,200,124-1120,124-1119,42.2,Chlorure de polyvinyle,2021,Locale,Sanitaire,Circle,0,0,Ville
4247477,1,ES-33278,200,123-268,123-161,14.9,Chlorure de polyvinyle,2000,Locale,Combinee,Circle,0,0,Ville
4247478,1,EP-32815,300,203-576,203-574,65.4,Beton arme,2012,Locale,Pluviale total,Circle,0,0,Ville
4247479,1,ES-35954,375,204-1599,N-1788,7.2,Chlorure de polyvinyle,2020,Locale,Sanitaire,Circle,0,0,Ville
4247481,1,ES-30414,200,406-596,406-594,32.2,Chlorure de polyvinyle,2008,Locale,Sanitaire,Circle,0,0,Ville
4247482,1,EP-35803,300,120-740,120-739,20.3,Beton arme,2015,Locale,Pluviale total,Circle,0,0,Ville
4247483,1,ES-34397,150,N-1291,120-110A,8,None,1940,Branchement de service,Combinee,Circle,0,0,Ville
4247484,1,ES-33127,200,125-1177,125-1180,40.1,Chlorure de polyvinyle,2012,Locale,Sanitaire,Circle,0,0,Ville
4247486,1,ES-34826,200,301-1251,301-1250,80,Chlorure de polyvinyle,2018,Locale,Sanitaire,Circle,0,0,Ville
4247487,1,ES-31015,200,132-175,132-173,88.4,Chlorure de polyvinyle,2008,Locale,Sanitaire,Circle,0,0,Ville
4247488,1,EP-34351,450,23408,23409,18.9,PEHD,2015,Drain perfore,Drain,Circle,0,0,Ville
4247489,1,EP-30469,300,132-165,133-381,73.2,Beton arme,2009,Locale,Pluviale total,Circle,0,0,Ville
4247490,1,EP-35491,150,10161,133-401,22.1,Beton arme,,Branchement de puisard,Pluviale de rue,Circle,0,0,Ville
4247491,1,EP-34042,600,301-995,301-993,67.2,Beton arme,2014,Locale,Pluviale total,Circle,0,0,Ville
4247492,1,ES-32799,250,N-2203,203-526,10.3,Chlorure de polyvinyle,2012,Locale,Sanitaire,Circle,0,0,Ville
4247495,1,ES-25398,350,ChaVan-007,ChaVan-017,1690.6,Ciment-amiante,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247496,1,ES-26542,200,PosPom-040,132-026,1325.4,Chlorure de polyvinyle,1985,Refoulement,Refoulement,Circle,0,0,Ville
4247497,1,ES-25391,1500,ChaVan-019,ChaVan-021,999.1,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247498,1,ES-25444,200,N-815,602-187,1133.2,Ciment-amiante,1974,Refoulement,Refoulement,Circle,0,0,Ville
4247499,1,ES-26555,250,PosPom-049,301-842,939.3,Chlorure de polyvinyle,1988,Refoulement,Refoulement,Circle,0,0,Ville
4247500,1,ES-25395,600,ChaVan-024,501-456,863.6,Beton arme,1990,Refoulement,Trop-Plein,Circle,0,0,Ville
4247501,1,ES-26720,1500,N-478,N-425,825.8,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247502,1,ES-26698,75,PosPom-002,N-478,793.7,Chlorure de polyvinyle,1995,Refoulement,Refoulement,Circle,0,0,Ville
4247503,1,ES-25388,1500,ChaVan-015,501-479,933.2,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247504,1,ES-25392,1500,ChaVan-021,ChaVan-023,735.6,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247505,1,ES-26609,500,ChaVan-022,N-708,998.2,Hyprescon,1989,Refoulement,Refoulement,Circle,0,0,Ville
4247506,1,ES-26640,1050,ChaVan-011,ChaDeg-001,928.9,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247508,1,EP-34334,375,23393,201-693,43.5,PEHD,2015,Drain perfore,Drain,Circle,0,0,Ville
4247509,1,ES-36576,250,501-685,501-657,45,Chlorure de polyvinyle,2022,Locale,Sanitaire,Circle,0,0,Ville
4247510,1,ES-26552,900,ChaDeg-001,123-253A,660.8,Hyprescon,1990,Intercepteur,Combinee,Circle,0,0,Ville
4247511,1,ES-24723,500,404-473,N-307,656.6,Hyprescon,1987,Refoulement,Refoulement,Circle,0,0,Ville
4247513,1,ES-21684,400,301-385,E-442,618,PEHD,1996,Emissaire,Trop-Plein,Circle,0,0,Ville
4247514,1,ES-25681,400,ChaVan-001,ChaVan-045,600.8,Ciment-amiante,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247516,1,ES-21487,1050,ChaVan-004,ChaVan-011,673.8,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247517,1,ES-26507,150,PosPom-023,301-049,650,Ciment-amiante,1987,Refoulement,Refoulement,Circle,0,0,Ville
4247518,1,ES-20732,500,ChaVan-002,ChaVan-009,492.3,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247520,1,ES-20733,500,PosPom-029,ChaVan-002,529.6,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247521,1,ES-24893,200,PosPom-033,N-815,533.5,Ciment-amiante,1974,Refoulement,Refoulement,Circle,0,0,Ville
4247522,1,ES-26513,250,PosPom-008,N-709,558.4,Beton arme,1989,Refoulement,Refoulement,Circle,0,0,Ville
4247523,1,ES-33864,200,FosSep-001B,FosSep-001C,3.9,Chlorure de polyvinyle,1996,Collecteur,Combinee,Circle,0,0,Ville
4247524,1,ES-20751,250,N-710,N-576,473,Beton arme,1960,Refoulement,Refoulement,Circle,0,0,Ville
4247525,1,ES-25393,1500,ChaVan-023,N-478,450.2,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247526,1,ES-26485,450,N-1705,ChaVan-005,409.3,Hyprescon,1996,Refoulement,Refoulement,Circle,0,0,Ville
4247527,1,ES-26626,150,PosPom-019,137-023,601.2,Chlorure de polyvinyle,1988,Refoulement,Refoulement,Circle,0,0,Ville
4247528,1,ES-26689,450,ChaVan-014,N-33,373.4,Hyprescon,1987,Refoulement,Refoulement,Circle,0,0,Ville
4247529,1,ES-25003,100,PosPom-054,604-165,563,Chlorure de polyvinyle,1991,Refoulement,Refoulement,Circle,0,0,Ville
4247530,1,ES-26486,200,PosPom-014,ChaVan-025,371.5,Fonte ductile,1991,Refoulement,Refoulement,Circle,0,0,Ville
4247531,1,ES-24484,450,ChaVan-008,401-371,376.7,Ciment-amiante,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247532,1,ES-21035,500,ChaVan-020,ChaVan-022,354.3,Hyprescon,1987,Refoulement,Refoulement,Circle,0,0,Ville
4247533,1,ES-21851,900,ChaDeg-002,402-101D,336.1,Hyprescon,1990,Intercepteur,Combinee,Circle,0,0,Ville
4247540,1,ES-33177,200,301-1126,301-1125,50.3,Chlorure de polyvinyle,2013,Locale,Sanitaire,Circle,0,0,Ville
4247542,1,EP-26462,1050,110-078,E-910,321.5,Beton arme,1970,Collecteur,Pluviale total,Circle,0,0,Ville
4247543,1,ES-25055,75,PosPom-032,501-474,554.4,PEHD,1996,Refoulement,Refoulement,Circle,0,0,Ville
4247545,1,ES-26605,1050,N-542,125-132,279.8,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247546,1,ES-21802,1050,N-720,ChaVan-004,310.9,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247550,1,ES-34259,2400,109-187,E-618,93.3,Beton arme,1998,Emissaire,Trop-Plein,Circle,0,0,Ville
4247552,1,ES-21156,900,126-083,126-085,305.3,Beton arme,1976,Collecteur,Sanitaire,Circle,0,0,Ville
4247555,1,ES-03089,750,132-042,132-043,295.2,Beton arme,1970,Locale,Sanitaire,Circle,0,0,Ville
4247556,1,ES-24039,75,B-242,202-693,302,Chlorure de polyvinyle,2004,Refoulement,Refoulement,Circle,0,0,Ville
4247557,1,ES-26553,500,ChaVan-009,ChaDeg-001,330.9,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247558,1,ES-26549,100,PosPom-020,301-176,344.5,Chlorure de polyvinyle,1996,Refoulement,Refoulement,Circle,0,0,Ville
4247559,1,ES-25004,75,PosPom-038,602-122,296.3,Chlorure de polyvinyle,1995,Refoulement,Refoulement,Circle,0,0,Ville
4247560,1,EP-36377,750,N-1966,Ponc-157,12.2,PEHD,2020,Ponceau,Pluviale de rue,Circle,0,0,Ville
4247562,1,ES-20773,1050,125-782,118-200,270.8,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247563,1,ES-25854,450,ChaVan-045,ChaVan-008,268.9,Ciment-amiante,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247565,1,ES-01987,1500,120-418,120-419,263.5,Beton arme,1920,Collecteur,Combinee,Circle,0,0,Ville
4247566,1,EP-21223,150,133-120,133-326,300.4,PEHD,1984,Locale,Pluviale-domestique,Circle,0,0,Ville
4247567,1,ES-21039,450,ChaVan-005,ChaVan-012,261.4,Hyprescon,1996,Refoulement,Refoulement,Circle,0,0,Ville
4247568,1,EP-20483,1500,120-794,120-360C,253.3,Beton arme,1995,Emissaire,Pluviale total,Circle,0,0,Ville
4247570,1,ES-21155,900,126-085,125-129A,240.6,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247572,1,ES-25387,150,ChaVan-015,403-438,254.1,Chlorure de polyvinyle,1990,Locale,Sanitaire,Circle,0,0,Ville
4247573,1,ES-20799,1050,125-129A,125-129,242,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247575,1,ES-20765,150,N-713,125-486A,233.6,Ciment-amiante,1972,Refoulement,Refoulement,Circle,0,0,Ville
4247576,1,EP-36691,200,401-829,401-853,4.1,Chlorure de polyvinyle,2021,Locale,Pluviale total,Circle,0,0,Ville
4247577,1,ES-20770,1050,125-778,125-782,233.5,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247578,1,ES-03839,375,123-105A,120-011,236.8,Beton arme,1995,Locale,Combinee,Circle,0,0,Ville
4247580,1,ES-25385,1500,ChaVan-013,ChaVan-015,237.2,Hyprescon,1990,Refoulement,Refoulement,Circle,0,0,Ville
4247581,1,EP-26402,600,201-516,201-514,229,Beton arme,1961,Collecteur,Pluviale total,Circle,0,0,Ville
4247582,1,ES-20769,1050,125-510,125-778,228.6,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247583,1,ES-20818,900,132-126,126-082,233.1,Beton arme,1976,Collecteur,Sanitaire,Circle,0,0,Ville
4247586,1,ES-20797,1050,125-132,N-1126,225.5,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247587,1,EP-31833,600,201-594,201-522,6.9,Beton arme,1966,Collecteur,Pluviale total,Circle,0,0,Ville
4247588,1,ES-21154,900,126-082,126-083,225.5,Beton arme,1976,Collecteur,Sanitaire,Circle,0,0,Ville
4247589,1,ES-04080,750,126-001,132-046,205.5,Beton,1978,Collecteur,Sanitaire,Circle,0,0,Ville
4247590,1,ES-26291,1800,404-141,404-140,222.8,Beton arme,1980,Collecteur,Combinee,Circle,0,0,Ville
4247591,1,ES-20817,900,132-127,132-126,201.3,Beton arme,1976,Collecteur,Sanitaire,Circle,0,0,Ville
4247593,1,ES-01430,750,124-068,124-1042,218,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247594,1,EP-20706,1350,125-423,125-421,211.5,Beton arme,1996,Collecteur,Pluviale total,Circle,0,0,Ville
4247595,1,EP-31294,600,401-641,401-640,78.5,Beton arme,2003,Locale,Pluviale total,Circle,0,0,Ville
4247598,1,ES-20040,300,B-397,109-010A,221.3,Beton,1930,Locale,Combinee,Circle,0,0,Ville
4247601,1,EP-35932,150,N-1784,201-535,7.5,None,1971,Branchement de puisard,Pluviale de rue,Circle,0,0,Ville
4247602,1,ES-35686,600,401-323,401-324,6.5,Beton arme,1950,Collecteur,Trop-Plein,Circle,0,0,Ville
4247603,1,ES-26601,75,PosPom-028,405-578,228.6,PEHD,2004,Refoulement,Refoulement,Circle,0,0,Ville
4247604,1,ES-00879,300,124-013,124-014,213.3,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247605,1,ES-09554,300,403-357,403-475,179.2,Gres,1950,Locale,Combinee,Circle,0,0,Ville
4247606,1,ES-20798,1050,125-245A,125-478,204.4,Beton arme,1970,Collecteur,Sanitaire,Circle,0,0,Ville
4247607,1,ES-09591,300,401-019,401-018,208.1,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247608,1,ES-01178,300,119-510,119-511,207.1,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247609,1,ES-03856,1800,123-063,123-044,156.3,Beton arme,1940,Collecteur,Combinee,Circle,0,0,Ville
4247610,1,ES-05191,900,401-097,401-094,205.9,Beton arme,1970,Locale,Combinee,Circle,0,0,Ville
4247611,1,EP-20772,1350,125-780,E-443,200.3,Beton arme,1970,Collecteur,Pluviale total,Circle,0,0,Ville
4247612,1,ES-34951,200,N-1427,N-1428,16.6,Chlorure de polyvinyle,2013,Branchement de service,Sanitaire,Circle,0,0,Ville
4247613,1,ES-00883,300,124-018,124-019,203,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247614,1,ES-03924,1200,123-233,120-339,200.5,Beton arme,1920,Collecteur,Combinee,Circle,0,0,Ville
4247615,1,ES-01030,450,123-125,123-128,198.7,Beton arme,1960,Locale,Combinee,Circle,0,0,Ville
4247617,1,ES-01031,600,123-128,123-149,197.7,Beton arme,1960,Collecteur,Combinee,Circle,0,0,Ville
4247618,1,ES-01179,300,119-511,119-538,197.6,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247619,1,ES-09564,600,401-024,401-024A,196.4,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247620,1,ES-04009,450,120-374,120-377,145,Gres,1920,Locale,Combinee,Circle,0,0,Ville
4247621,1,ES-02886,1050,119-666B,119-1014,185.9,Beton arme,1952,Collecteur,Combinee,Circle,0,0,Ville
4247622,1,ES-26295,1200,N-300,404-147,191.3,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247623,1,ES-09051,300,405-267A,405-267,190.3,Beton arme,1970,Locale,Combinee,Circle,0,0,Ville
4247624,1,ES-01466,300,123-157,123-158,192.3,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247625,1,EP-33876,900,201-619,201-620,128,Beton arme,2014,Locale,Pluviale de rue,Circle,0,0,Ville
4247626,1,ES-20092,300,119-670A,119-671A,188.7,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247627,1,EP-20614,450,119-463,119-469,176,Beton arme,1970,Locale,Pluviale total,Circle,0,0,Ville
4247628,1,ES-26307,1800,403-165,404-141A,175.3,Beton arme,1980,Collecteur,Combinee,Circle,0,0,Ville
4247629,1,ES-26306,1500,404-140,404-139,187.4,Beton arme,1980,Collecteur,Combinee,Circle,0,0,Ville
4247630,1,ES-20083,2400,110-313,109-109,187.4,TTO,1950,Collecteur,Combinee,Circle,0,0,Ville
4247631,1,EP-35762,1050,404-525,404-526,83.2,Beton arme,2019,Collecteur,Pluviale total,Circle,0,0,Ville
4247632,1,ES-23490,1050,201-039,E-534,186.8,TTO,1959,Emissaire,Trop-Plein,Circle,0,0,Ville
4247633,1,EP-20667,900,124-285,124-618,176.3,Beton arme,1960,Collecteur,Pluviale total,Circle,0,0,Ville
4247634,1,EP-21191,600,133-194,133-339,167.2,Beton arme,1960,Collecteur,Pluviale total,Circle,0,0,Ville
4247635,1,ES-03288,225,120-687,120-689,185.3,Gres,1920,Locale,Combinee,Circle,0,0,Ville
4247636,1,ES-21318,350,N-716,133-010,204,Beton arme,1960,Refoulement,Refoulement,Circle,0,0,Ville
4247637,1,ES-03154,1800,119-629,119-637,185.3,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247638,1,ES-10090,300,402-022,402-038A,184.8,Gres,1950,Locale,Combinee,Circle,0,0,Ville
4247639,1,ES-04138,300,124-284,124-617,176.6,Beton arme,1960,Locale,Sanitaire,Circle,0,0,Ville
4247640,1,ES-26499,150,PosPom-036,202-121,183.8,Fonte ductile,1976,Refoulement,Refoulement,Circle,0,0,Ville
4247641,1,ES-09779,750,404-297,404-372,183.6,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247642,1,ES-01491,750,120-036,120-004,182.8,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247643,1,EP-26634,450,B-412,203-345,182.8,Beton arme,1992,Locale,Pluviale total,Circle,0,0,Ville
4247644,1,EP-00613,450,119-093,119-094,182.9,Beton arme,1950,Locale,Pluviale total,Circle,0,0,Ville
4247645,1,ES-02858,450,123-169,123-164,182.4,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247646,1,ES-03086,600,132-040,132-041,182.5,Beton arme,1970,Locale,Sanitaire,Circle,0,0,Ville
4247647,1,ES-02137,450,123-167,123-163,181.9,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247648,1,ES-01037,450,123-166,123-162,181.6,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247649,1,ES-26607,2400,109-109,109-139,181.1,TTO,1950,Collecteur,Combinee,Circle,0,0,Ville
4247650,1,ES-03838,375,120-011,120-044,157.2,Chlorure de polyvinyle,1995,Locale,Combinee,Circle,0,0,Ville
4247651,1,ES-26045,300,403-210,404-448,179.8,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247652,1,ES-02322,300,123-099A,123-099,172.4,Beton,1930,Locale,Combinee,Circle,0,0,Ville
4247653,1,ES-03085,600,127-003,132-040,180.2,Beton arme,1970,Locale,Sanitaire,Circle,0,0,Ville
4247654,1,ES-33677,250,117-112,117-111,62.7,Chlorure de polyvinyle,2014,Locale,Sanitaire,Circle,0,0,Ville
4247655,1,ES-03923,1200,120-761,120-337,156.6,Beton arme,1920,Collecteur,Combinee,Circle,0,0,Ville
4247658,1,ES-23478,1500,201-271,201-270,178.4,Beton arme,1995,Collecteur,Sanitaire,Circle,0,0,Ville
4247659,1,ES-01190,300,120-128,120-129,175.3,Beton,1940,Locale,Combinee,Circle,0,0,Ville
4247660,1,EP-36759,300,124-1145,124-1144,45.4,Chlorure de polyvinyle,2021,Locale,Pluviale total,Circle,0,0,Ville
4247661,1,EP-23729,300,404-165,404-164,182.2,Beton arme,1980,Locale,Pluviale total,Circle,0,0,Ville
4247662,1,ES-09181,300,404-130,404-129,178,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247663,1,EP-20792,1350,125-426,125-423,190.4,Beton arme,1996,Collecteur,Pluviale total,Circle,0,0,Ville
4247664,1,ES-01986,1500,120-383,120-418,172.3,Beton arme,1920,Collecteur,Combinee,Circle,0,0,Ville
4247666,1,ES-02737,300,124-024,124-022,184.3,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247667,1,EP-33751,750,126-162,N-1327,29.3,Beton arme,2016,Locale,Pluviale total,Circle,0,0,Ville
4247668,1,ES-02859,300,123-178A,123-169,176.6,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247669,1,ES-03853,1800,123-033,123-023,176,Beton arme,1940,Collecteur,Combinee,Circle,0,0,Ville
4247670,1,ES-30438,200,406-608,406-606,77.7,Chlorure de polyvinyle,2008,Locale,Sanitaire,Circle,0,0,Ville
4247671,1,ES-02738,600,124-023,124-025,181,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247672,1,ES-09560,450,401-028,401-023,174.7,Beton arme,1970,Locale,Combinee,Circle,0,0,Ville
4247674,1,EP-30960,375,N-2177,120-588,35.9,Beton arme,2009,Locale,Pluviale total,Circle,0,0,Ville
4247675,1,ES-06903,450,201-073,201-064,173.9,Beton arme,1974,Locale,Sanitaire,Circle,0,0,Ville
4247676,1,ES-01180,300,119-538,119-539,175.4,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247677,1,ES-20784,1800,118-139A,119-354,170.2,Beton arme,1970,Collecteur,Sanitaire,Ellipse,1.8,1.2,Ville
4247678,1,ES-00631,450,119-514,119-541,173.6,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247679,1,ES-02966,900,124-112,124-110,172.7,Beton arme,1950,Collecteur,Combinee,Circle,0,0,Ville
4247680,1,ES-02141,450,123-176,123-168,172.8,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247681,1,ES-01368,450,124-113,124-108,172.8,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247682,1,ES-09112,300,404-143A,404-142,116.8,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247683,1,EP-25978,900,405-215,405-216,171.1,Beton arme,1970,Collecteur,Pluviale total,Circle,0,0,Ville
4247684,1,ES-03663,450,120-366,120-370,149.6,Beton,1920,Locale,Combinee,Circle,0,0,Ville
4247685,1,ES-24450,450,402-025,402-055,117.8,Beton arme,1960,Locale,Combinee,Circle,0,0,Ville
4247686,1,ES-07181,300,401-537,401-522,170.8,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247687,1,ES-09773,300,404-293,404-294,170.5,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247688,1,EP-21221,150,133-123,N-631,170.2,PEHD,1984,Locale,Pluviale-domestique,Circle,0,0,Ville
4247689,1,EP-34976,200,N-1468,N-1469,13.7,Chlorure de polyvinyle,2013,Branchement de service,Pluviale total,Circle,0,0,Ville
4247690,1,ES-20097,300,119-648,119-649A,169.6,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247691,1,EP-34738,300,45011,404-514,8.3,Fonte ductile,2015,Branchement de puisard,Pluviale total,Circle,0,0,Ville
4247692,1,ES-33817,250,125-1209,118-190,89.6,Chlorure de polyvinyle,2014,Collecteur,Sanitaire,Circle,0,0,Ville
4247693,1,EP-26481,600,201-518,201-516,169.9,Beton arme,1961,Collecteur,Pluviale total,Circle,0,0,Ville
4247694,1,EP-01731,450,118-144,118-140,169.5,Ciment-amiante,1970,Locale,Pluviale total,Circle,0,0,Ville
4247695,1,ES-09341,300,401-108,401-127,168.7,Beton arme,1970,Locale,Combinee,Circle,0,0,Ville
4247697,1,ES-23201,900,202-081,202-085,167.9,Beton arme,1978,Collecteur,Pseudo-separe,Circle,0,0,Ville
4247698,1,ES-36858,200,501-704,501-684,39,Chlorure de polyvinyle,2022,Locale,Sanitaire,Circle,0,0,Ville
4247699,1,ES-03088,600,132-005,132-042,168,Beton arme,1970,Locale,Sanitaire,Circle,0,0,Ville
4247700,1,ES-33465,250,119-1027,119-497,41,Ciment-amiante,1970,Locale,Sanitaire,Circle,0,0,Ville
4247701,1,EP-03706,450,119-466,119-470,167.9,Beton arme,1970,Locale,Pluviale total,Circle,0,0,Ville
4247702,1,EP-20521,600,110-044,110-038,152.6,Beton arme,1970,Collecteur,Pluviale total,Circle,0,0,Ville
4247703,1,ES-07165,450,401-250,401-491,166.9,Beton arme,1961,Locale,Combinee,Circle,0,0,Ville
4247704,1,ES-02237,1050,123-198,123-201,160.9,Beton arme,1952,Collecteur,Combinee,Circle,0,0,Ville
4247705,1,ES-09753,300,403-210,403-314,170.5,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247706,1,ES-10017,300,403-178,403-206,167.4,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247708,1,ES-02860,300,123-183,123-178A,165.7,Beton arme,1949,Locale,Combinee,Circle,0,0,Ville
4247710,1,ES-25691,150,401-472,401-469,198.2,PEHD,1993,Refoulement,Refoulement,Circle,0,0,Ville
4247711,1,ES-09997,300,403-200,403-216,165.3,Gres,1950,Locale,Combinee,Circle,0,0,Ville
4247712,1,ES-01246,300,125-435,125-439,165.3,Ciment-amiante,1976,Collecteur,Sanitaire,Circle,0,0,Ville
4247713,1,ES-00355,300,N-612,120-315,161.1,Gres,1920,Locale,Combinee,Circle,0,0,Ville
4247714,1,ES-00925,300,123-048,123-035,164.9,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247715,1,ES-01840,900,110-043,110-036,150.1,Beton arme,1970,Collecteur,Combinee,Circle,0,0,Ville
4247716,1,ES-09334,300,401-307,401-454,163.4,Chlorure de polyvinyle,2002,Locale,Sanitaire,Circle,0,0,Ville
4247717,1,ES-20781,1800,118-205,118-139B,152.9,Beton arme,1970,Collecteur,Sanitaire,Ellipse,1.8,1.2,Ville
4247718,1,ES-03928,450,120-361,120-369C,162.3,Beton,1920,Locale,Combinee,Circle,0,0,Ville
