point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"LSL-9","Lac Saint-Louis","Pointe-Claire","Parc Stewart","parc Stewart, ch. du Bord-du-Lac, à l'ouest de la rue Stewart","Q","Q","LSL-9   Parc Stewart",2024-06-04T11:52:12,,"         20.5",234,8.4,"=",2,1,0,1.7,2.7,0,4,"45.433971140631","-73.8073810149152",280750.0373,5032716.846
"BLAP-11","Bassin de Laprairie","Verdun","parc Adian-D.-Archambault","Île-des-Soeurs, au bout du boul. de la Forêt, au sud du parc Adian-D.-Archambault","Q","Q","BLAP-11   parc Adian-D.-Archambault",2024-06-05T12:58:04,,"         20.9",256,8.5,"=",7,0,1.2,0,1.2,-1,4,"45.45479000000","-73.55954000000",300143.416,5034986.0837
"BLAP-2.2","Bassin de Laprairie","LaSalle","Parc des Rapides (vague à Guy)","parc des Rapides, vague à Guy, près de la place René-Lévesque","Q","Q","BLAP-2.2   Parc des Rapides (vague à Guy)",2024-06-05T14:47:28,,"         21.1",257,8.3,"<",2,0,1.2,0,1.2,-1,4,"45.4193878874845","-73.6032027823536",296723.1759,5031055.4436
"BLAP-2.7","Bassin de Laprairie","Verdun","Parc O'Reilley","parc de l'Honorable-Georges-O'Reilley, future plage, boul. Lasalle","Q","Q","BLAP-2.7   Parc O'Reilley",2024-06-05T14:29:44,,"         22.5",259,8.3,"=",13,0,1.2,0,1.2,-1,4,"45.4407498635668","-73.5770394732579",298773.0346,5033427.0861
"BLAP-2.8","Bassin de Laprairie","Verdun","Parc O'Reilley (Natatorium)","parc de l'Honorable-George-O'Reilley, quai du Natatorium, inters. boul. Lasalle et rue Stephens","Q","Q","BLAP-2.8   Parc O'Reilley (Natatorium)",2024-06-05T14:22:42,,"         21.9",253,8.4,"=",31,0,1.2,0,1.2,-1,4,"45.4426502897828","-73.5743408181754",298984.3515,5033638.0804
"BLAP-4","Bassin de Laprairie","Verdun","Parc Desmarchais (marina)","parc Desmarchais, marina de Verdun, inters. boul. Lasalle et boul. Desmarchais ","Q","Q","BLAP-4   Parc Desmarchais (marina)",2024-06-05T14:07:48,,"         21.9",250,8.4,"=",15,0,1.2,0,1.2,-1,4,"45.4539704516771","-73.5637815233017",299811.3983,5034895.374
"BLAP-6","Bassin de Laprairie","Verdun","Parc Gewurz-Remer","Île-des-Soeurs, parc Gewurz-Remer, extrémité de la rue Jacques-Le Ber","Q","Q","BLAP-6   Parc Gewurz-Remer",2024-06-05T13:35:24,,"         21.2",253,8.4,"=",15,0,1.2,0,1.2,-1,4,"45.4743487246048","-73.5413874866243",301564.0893,5037158.8604
"BLAP-8.5","Bassin de Laprairie","Ville-Marie","Parc Cité-du-Havre (Habitat 67)","parc Cité-du-Havre, la vague éternelle derrière Habitat 67, av. Pierre-Dupuy","Q","Q","BLAP-8.5   Parc Cité-du-Havre (Habitat 67)",2024-06-05T12:41:43,,"         20.6",259,8.4,"=",7,0,1.2,0,1.2,-1,4,"45.5005281770633","-73.5428231616079",301453.3906,5040068.2467
"FSL-190","Fleuve Saint-Laurent","Ville-Marie","Parc J.-Drapeau (pl Nations)","île Ste-Hélène, parc Jean-Drapeau, place des Nations, ch. du Tour de l'isle","Q","Q","FSL-190   Parc J.-Drapeau (pl Nations)",2024-06-05T11:50:38,,"         19.5",290,8.5,"=",7,0,1.2,0,1.2,-1,4,"45.5063520398077","-73.5339008652459",302150.9369,5040715.1225
"FSL-205","Fleuve Saint-Laurent","Ville-Marie","Plage de l'Horloge","Vieux-Montréal, plage de l'Horloge, rue Quai de l'Horloge","Q","Q","FSL-205   Plage de l'Horloge",2024-06-05T11:14:47,,"         21.6",259,8.3,"=",11,0,1.2,0,1.2,-1,4,"45.512792691621","-73.5461343061635",301195.4091,5041431.3524
"FSL-310","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (aval)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Gonthier","Q","Q","FSL-310   Parc de la Prom.-Bellerive (aval)",2024-06-05T09:36:39,,"         19.8",270,8.3,"=",11,0,1.2,0,1.2,-1,4,"45.6098631972965","-73.5072679126395",304233.1165,5052217.9466
"FSL-340","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Fort-de-Pointe-aux-Trembles","parc du Fort-de-Pointe-aux-Trembles, inters. rue Bellerive et boul. Saint-Jean-Batiste","Q","Q","FSL-340   Parc du Fort-de-Pointe-aux-Trembles",2024-06-05T09:13:25,,"         19.7",272,8.3,"=",16,0,1.2,0,1.2,-1,4,"45.6398647214273","-73.4872893907283",305790.8749,5055552.1551
"FSL-400","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc C.-De La Rousselière","Parc Clémentine-De La Rousselière, inters. rue Notre-Dame E. et boul. de la Rousselière","Q","Q","FSL-400   Parc C.-De La Rousselière",2024-06-05T08:49:15,,"         19.9",292,8.3,"=",320,0,1.2,0,1.2,-1,4,"45.6674646711584","-73.491396402065",305470.3772,5058619.3898
"FSL-430","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","P-n de la Pointe-aux-Prairies (fleuve)","p-n de la Pointe-aux-Prairie (secteur du Fleuve), rue Notre-Dame E., à l'est de la 67e av.","Q","Q","FSL-430   P-n de la Pointe-aux-Prairies (fleuve)",2024-06-05T08:33:43,,"         19.8",276,8.2,"=",400,0,1.2,0,1.2,-1,4,"45.6798315529772","-73.4899432381485",305583.4326,5059993.7819
"FSL-480","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Pierre-Payet (rampe de mise à l'eau)","parc Pierre-Payet, rampe de mise à l'eau, inters. rue Bellerive et rue Pauline-Donalda","Q","Q","FSL-480   Parc Pierre-Payet (rampe de mise à l'eau)",2024-06-05T08:15:10,,"         19.6",274,8.2,"=",140,0,1.2,0,1.2,-1,4,"45.6922942180654","-73.4821772369623",306188.1042,5061378.9139
"LSL-3","Lac Saint-Louis","Lachine","Parc Stoney Point","parc Stoney Point, inters. boul. Saint-Joseph et de la 46e av.","Q","Q","LSL-3   Parc Stoney Point",2024-06-04T10:36:39,,"         21.0",239,8.3,"=",25,0,0,1.7,1.7,-2,4,"45.4356465420778","-73.7070809995692",288598.1434,5032877.9309
"LSL-4","Lac Saint-Louis","Lachine","Parc Summerlea","parc Summerlea, inters. du boul. St-Joseph et de la 53e av.","Q","Q","LSL-4   Parc Summerlea",2024-06-04T10:46:10,,"         21.7",269,8.4,"=",40,0,0,1.7,1.7,-2,4,"45.4376194743099","-73.7156650077066",287927.1253,5033098.9465
"FSL-360","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Marina Pointe-aux-Trembles","marina Pointe-aux-Trembles, inters. rue Notre-Dame E. et boul. du Tricentenaire","Q","Q","FSL-360   Marina Pointe-aux-Trembles",2024-06-05T09:03:24,,"         20.0",273,8.3,"=",48,0,1.2,0,1.2,-1,4,"45.6493140952923","-73.4862348350444",305872.904,5056602.3084
"FSL-380","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Rampe de mise à l'eau (36e av.)","rampe de mise à l'eau, rue Notre-Dame E., entre la 36e av. et la 39e av.","Q","Q","FSL-380   Rampe de mise à l'eau (36e av.)",2024-06-05T08:56:24,,"         19.9",276,8.1,"=",130,0,1.2,0,1.2,-1,4,"45.6587322474231","-73.4889325229544",305662.4924,5057648.9475
"LSL-20","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Écluse de Sainte-Anne","écluse de Sainte-Anne, rue Sainte-Anne, à l'est du pont Galipeault (aut. 20)","Q","Q","LSL-20   Écluse de Sainte-Anne",2024-05-29T08:39:45,,"         18.1",111,7.9,"=",58,0,0,22.9,22.9,-2,3,"45.4040640665963","-73.954474000356",269222.4816,5029447.8222
"LSL-21","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Parc Godin","parc Godin, extrémité de la rue Grier","Q","Q","LSL-21   Parc Godin",2024-05-29T08:32:37,,"         16.4",160,8,"=",450,0,0,22.9,22.9,-2,3,"45.4076323134425","-73.9569430438561",269031.4499,5029845.451
"LSL-2.5","Lac Saint-Louis","Lachine","Parc St-Louis (quai fédéral)","parc st-Louis, quai Fédéral, inters. boul. Saint-Joseph et 34e av.","Q","Q","LSL-2.5   Parc St-Louis (quai fédéral)",2024-05-29T11:57:53,,"         18.2",194,8.2,"=",28,0,0,22.9,22.9,-2,3,"45.4324605506382","-73.6942866662225",289598.3067,5032521.3764
"LSL-4","Lac Saint-Louis","Lachine","Parc Summerlea","parc Summerlea, inters. du boul. St-Joseph et de la 53e av.","Q","Q","LSL-4   Parc Summerlea",2024-05-29T11:34:59,,"         20.2",231,8.5,"=",60,0,0,22.9,22.9,-2,3,"45.4376194743099","-73.7156650077066",287927.1253,5033098.9465
"LSL-4.5","Lac Saint-Louis","Dorval","Pointe Picard","pointe Picard, extrémité de l'av. St-Charles","Q","Q","LSL-4.5   Pointe Picard",2024-05-29T11:19:27,,"         19.5",183,8.4,"=",31,0,0,22.9,22.9,-2,3,"45.4369620072601","-73.727909601146",286968.9442,5033028.5248
"LSL-7","Lac Saint-Louis","Dorval","Parc Baie de Valois","parc Baie de Valois, inters. ch. du Bord-du-Lac et av. Canary","Q","Q","LSL-7   Parc Baie de Valois",2024-05-29T10:44:14,,"         19.2",205,8.5,"=",110,0,0,22.9,22.9,-2,3,"45.4422366753032","-73.7752338657564",283268.4232,5033626.2774
"LSL-9","Lac Saint-Louis","Pointe-Claire","Parc Stewart","parc Stewart, ch. du Bord-du-Lac, à l'ouest de la rue Stewart","Q","Q","LSL-9   Parc Stewart",2024-05-29T10:26:55,,"         18.4",155,8.1,"=",28,0,0,22.9,22.9,-2,3,"45.433971140631","-73.8073810149152",280750.0373,5032716.846
"BLAP-0.5","Bassin de Laprairie","LaSalle","Parc Ranger","parc Ranger, inters. du boul. Lasalle et de la rue Lyette","Q","Q","BLAP-0.5   Parc Ranger",2024-05-27T08:30:31,,"         18.0",232,8.2,"=",64,0.7,0,0,0.7,0,3,"45.4283890155487","-73.6658646001039",291821.219,5032063.9311
"BLAP-1","Bassin de Laprairie","LaSalle","Parc de l'Aqueduc (La Bécane)","parc de l'Aqueduc (La Bécane), boul. Lasalle et 68e av. ","Q","Q","BLAP-1   Parc de l'Aqueduc (La Bécane)",2024-05-27T08:41:05,,"         18.0",234,8.2,"=",11,0.7,0,0,0.7,0,3,"45.4149906733371","-73.628600700233",294734.7108,5030569.6503
"BLAP-10.5","Bassin de Laprairie","Verdun","Pointe sud-ouest de Î.-D.-S.","Île-des-Soeurs, piste cyclable, inters. rue André-Prévost et ch. de la Pointe-Sud","Q","Q","BLAP-10.5   Pointe sud-ouest de Î.-D.-S.",2024-05-27T10:21:08,,"         17.7",249,8.3,"=",7,3.3,0,0,3.3,0,3,"45.4465963112693","-73.561131176078",300018.0692,5034075.7287
"BLAP-11","Bassin de Laprairie","Verdun","parc Adian-D.-Archambault","Île-des-Soeurs, au bout du boul. de la Forêt, au sud du parc Adian-D.-Archambault","Q","Q","BLAP-11   parc Adian-D.-Archambault",2024-05-27T10:12:27,,"         17.8",249,8.3,"=",18,3.3,0,0,3.3,0,3,"45.45479000000","-73.55954000000",300143.416,5034986.0837
"BLAP-2.2","Bassin de Laprairie","LaSalle","Parc des Rapides (vague à Guy)","parc des Rapides, vague à Guy, près de la place René-Lévesque","Q","Q","BLAP-2.2   Parc des Rapides (vague à Guy)",2024-05-27T08:52:33,,"         17.8",236,8.2,"=",13,0.7,0,0,0.7,0,3,"45.4193878874845","-73.6032027823536",296723.1759,5031055.4436
"BLAP-2.5","Bassin de Laprairie","LaSalle","Parc des Rapides (Tsse Serre)","parc des Rapides - Tsse Serre, inters. boul. Lasalle et boul. Bishop-Power","Q","Q","BLAP-2.5   Parc des Rapides (Tsse Serre)",2024-05-27T09:01:21,,"         18.0",237,8.2,"=",44,1.8,0,0,1.8,0,3,"45.4265587527464","-73.5951266254355",297356.172,5031851.555
"BLAP-2.7","Bassin de Laprairie","Verdun","Parc O'Reilley","parc de l'Honorable-Georges-O'Reilley, future plage, boul. Lasalle","Q","Q","BLAP-2.7   Parc O'Reilley",2024-05-27T09:14:52,,"         18.0",249,8.1,"=",900,1.8,0,0,1.8,0,3,"45.4407498635668","-73.5770394732579",298773.0346,5033427.0861
"BLAP-2.8","Bassin de Laprairie","Verdun","Parc O'Reilley (Natatorium)","parc de l'Honorable-George-O'Reilley, quai du Natatorium, inters. boul. Lasalle et rue Stephens","Q","Q","BLAP-2.8   Parc O'Reilley (Natatorium)",2024-05-27T09:22:51,,"         18.0",241,8.2,"=",52,1.8,0,0,1.8,0,3,"45.4426502897828","-73.5743408181754",298984.3515,5033638.0804
"BLAP-3","Bassin de Laprairie","Verdun","Parc du Quai-de-La Tortue ","parc de Quai-de-La Tortue, quai de la Tortue, inters. boul. Lasalle et rue Brault","Q","Q","BLAP-3   Parc du Quai-de-La Tortue ",2024-05-27T09:29:47,,"         18.0",245,8.1,"=",180,1.8,0,0,1.8,0,3,"45.4473928175576","-73.5687721264747",299420.4385,5034164.7268
"BLAP-4","Bassin de Laprairie","Verdun","Parc Desmarchais (marina)","parc Desmarchais, marina de Verdun, inters. boul. Lasalle et boul. Desmarchais ","Q","Q","BLAP-4   Parc Desmarchais (marina)",2024-05-27T09:36:58,,"         18.0",243,8.2,"=",140,1.8,0,0,1.8,0,3,"45.4539704516771","-73.5637815233017",299811.3983,5034895.374
"BLAP-4.4","Bassin de Laprairie","Le Sud-Ouest","Canal du collecteur St-Pierre","Sur la pointe en amont du canal du collecteur St-Pierre","Q","Q","BLAP-4.4   Canal du collecteur St-Pierre",2024-05-27T09:56:26,,"         19.0",246,8.2,"=",54,1.8,0,0,1.8,0,3,"45.4698230843647","-73.5562848603583",300398.9751,5036656.6343
"BLAP-6","Bassin de Laprairie","Verdun","Parc Gewurz-Remer","Île-des-Soeurs, parc Gewurz-Remer, extrémité de la rue Jacques-Le Ber","Q","Q","BLAP-6   Parc Gewurz-Remer",2024-05-27T10:53:36,,"         17.8",245,8.3,"=",76,3.3,0,0,3.3,0,3,"45.4743487246048","-73.5413874866243",301564.0893,5037158.8604
"BLAP-9","Bassin de Laprairie","Verdun","Parc de West Vancouver","Île-des-Soeurs, parc de West Vancouver, inters. boul. de l'Île-des-Soeurs et rue Darwin","Q","Q","BLAP-9   Parc de West Vancouver",2024-05-27T10:30:52,,"         17.8",256,8.3,"=",390,3.3,0,0,3.3,0,3,"45.4566057761771","-73.5417950855433",301531.1956,5035187.1073
"FSL-190","Fleuve Saint-Laurent","Ville-Marie","Parc J.-Drapeau (pl Nations)","île Ste-Hélène, parc Jean-Drapeau, place des Nations, ch. du Tour de l'isle","Q","Q","FSL-190   Parc J.-Drapeau (pl Nations)",2024-05-27T11:17:34,,"         16.6",290,8.4,"=",3,3.3,0,0,3.3,0,3,"45.5063520398077","-73.5339008652459",302150.9369,5040715.1225
"FSL-200","Fleuve Saint-Laurent","Ville-Marie","Marina du Vieux-Port","marina du Vieux-Port, rue Jacques-Cartier","Q","Q","FSL-200   Marina du Vieux-Port",2024-05-27T11:56:03,,"         18.5",255,8.2,"=",50,3.3,0,0,3.3,0,3,"45.5058652069461","-73.5506895324238",300839.0118,5040661.7113
"FSL-205","Fleuve Saint-Laurent","Ville-Marie","Plage de l'Horloge","Vieux-Montréal, plage de l'Horloge, rue Quai de l'Horloge","Q","Q","FSL-205   Plage de l'Horloge",2024-05-27T12:15:28,,"         18.8",257,8.3,"=",7,3.5,0,0,3.5,0,3,"45.512792691621","-73.5461343061635",301195.4091,5041431.3524
"FSL-300","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (amont)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Mercier","Q","Q","FSL-300   Parc de la Prom.-Bellerive (amont)",2024-05-27T13:38:19,,"         17.5",269,8.3,"=",7,3.5,0,0,3.5,0,3,"45.5953023914654","-73.5079133271151",304182.6157,5050599.7735
"FSL-310","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (aval)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Gonthier","Q","Q","FSL-310   Parc de la Prom.-Bellerive (aval)",2024-05-27T13:53:24,,"         17.9",268,8.3,"=",1000,3.5,0,0,3.5,0,3,"45.6098631972965","-73.5072679126395",304233.1165,5052217.9466
"FSL-330","Fleuve Saint-Laurent","Montréal-Est","Parc de l'Hôtel-de-Ville","parc de l'Hôtel-de-Ville, inters. Avenue Broadway et rue Sainte-Julie","Q","Q","FSL-330   Parc de l'Hôtel-de-Ville",2024-05-27T14:04:38,,"         18.1",272,8.4,"=",600,3.5,0,0,3.5,0,3,"45.6293052105372","-73.4949136748119",305196.5867,5054378.5783
"FSL-340","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Fort-de-Pointe-aux-Trembles","parc du Fort-de-Pointe-aux-Trembles, inters. rue Bellerive et boul. Saint-Jean-Batiste","Q","Q","FSL-340   Parc du Fort-de-Pointe-aux-Trembles",2024-05-27T14:13:50,,"         18.6",275,8.7,"=",54,3.5,0,0,3.5,0,3,"45.6398647214273","-73.4872893907283",305790.8749,5055552.1551
"FSL-360","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Marina Pointe-aux-Trembles","marina Pointe-aux-Trembles, inters. rue Notre-Dame E. et boul. du Tricentenaire","Q","Q","FSL-360   Marina Pointe-aux-Trembles",2024-05-27T14:22:20,,"         20.3",276,7.9,"=",3000,3.5,0,0,3.5,0,3,"45.6493140952923","-73.4862348350444",305872.904,5056602.3084
"FSL-380","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Rampe de mise à l'eau (36e av.)","rampe de mise à l'eau, rue Notre-Dame E., entre la 36e av. et la 39e av.","Q","Q","FSL-380   Rampe de mise à l'eau (36e av.)",2024-05-27T14:32:05,,"         19.2",283,8.1,"=",300,3.5,0,0,3.5,0,3,"45.6587322474231","-73.4889325229544",305662.4924,5057648.9475
"FSL-400","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc C.-De La Rousselière","Parc Clémentine-De La Rousselière, inters. rue Notre-Dame E. et boul. de la Rousselière","Q","Q","FSL-400   Parc C.-De La Rousselière",2024-05-27T14:40:18,,"         19.3",287,8.1,"=",4300,3.5,0,0,3.5,0,3,"45.6674646711584","-73.491396402065",305470.3772,5058619.3898
"FSL-425","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Marcel-Léger","parc Marcel-Léger, extrémité de la rue Françoise-Langlois","Q","Q","FSL-425   Parc Marcel-Léger",2024-05-27T14:47:33,,"         18.9",288,8.2,"=",1500,3.5,0,0,3.5,0,3,"45.6769888816945","-73.4901806845972",305564.974,5059677.8624
"FSL-430","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","P-n de la Pointe-aux-Prairies (fleuve)","p-n de la Pointe-aux-Prairie (secteur du Fleuve), rue Notre-Dame E., à l'est de la 67e av.","Q","Q","FSL-430   P-n de la Pointe-aux-Prairies (fleuve)",2024-05-27T14:53:43,,"         19.2",286,8.1,">",6000,3.5,0,0,3.5,0,3,"45.6798315529772","-73.4899432381485",305583.4326,5059993.7819
"FSL-460","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Pierre-Payet (82 av.)","parc Pierre-Payet, inters. rue Bellerive et 82e av.","Q","Q","FSL-460   Parc Pierre-Payet (82 av.)",2024-05-27T15:02:15,,"         18.3",284,8.2,"=",1700,3.5,0,0,3.5,0,3,"45.6886641772625","-73.4854110565968",305936.3156,5060975.4414
"FSL-480","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Pierre-Payet (rampe de mise à l'eau)","parc Pierre-Payet, rampe de mise à l'eau, inters. rue Bellerive et rue Pauline-Donalda","Q","Q","FSL-480   Parc Pierre-Payet (rampe de mise à l'eau)",2024-05-27T15:09:46,,"         18.8",284,8.2,"=",2000,3.5,0,0,3.5,0,3,"45.6922942180654","-73.4821772369623",306188.1042,5061378.9139
"FSL-490","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Future plage de l'Est","future plage de l'Est, inters. rue Bellerive et 94e av.","Q","Q","FSL-490   Future plage de l'Est",2024-05-27T15:15:49,,"         18.5",286,8.3,"=",800,3.5,0,0,3.5,0,3,"45.6974160812708","-73.4798329057915",306370.5462,5061948.1716
"FSL-500","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Bout-de-l'île (fleuve)","parc du Bout-de-l'Île (côté fleuve), extrémité N. de la rue Bureau","Q","Q","FSL-500   Parc du Bout-de-l'île (fleuve)",2024-05-27T15:23:06,,"         18.5",283,8.3,"=",2400,3.5,0,0,3.5,0,3,"45.700650225823","-73.4782186947061",306496.1578,5062307.629
"RDP-100","rivière des Prairies - côté Montréal","L'Île-Bizard-Sainte-Geneviève","Rue Beaulieu","extrémité de la rue Beaulieu","Q","Q","RDP-100   Rue Beaulieu",2024-05-28T09:40:52,,"         18.5",102,7.7,"=",1400,0,22.9,0,22.9,-1,3,"45.4727244286616","-73.8776469355865",275272.555,5037046.894
"RDP-110","rivière des Prairies - côté Montréal","L'Île-Bizard-Sainte-Geneviève","Parc Antoine-Faucon","parc Antoine-Faucon, extrémité de la rue du Pont","Q","Q","RDP-110   Parc Antoine-Faucon",2024-05-28T09:52:50,,"         18.2",95,7.7,"=",120,0,22.9,0,22.9,-1,3,"45.4858662338675","-73.8690574603324",275950.8558,5038504.2228
"RDP-120","rivière des Prairies - côté Montréal","L'Île-Bizard-Sainte-Geneviève","Parc du Portage","parc du Portage, extrémité de la rue Bourget","Q","Q","RDP-120   Parc du Portage",2024-05-28T10:03:19,,"         18.6",97,7.7,"=",1200,0,22.9,0,22.9,-1,3,"45.4877722408811","-73.8633425794652",276398.5446,5038714.0016
"RDP-140","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc de la Rive-Boisée","parc de la Rive-Boisée, ch. Rive-Boisée, au sud de la rue David","Q","Q","RDP-140   Parc de la Rive-Boisée",2024-05-28T10:14:32,,"         17.9",157,7.7,"=",56000,0,22.9,0,22.9,-1,3,"45.498715312948","-73.8549270265629",277061.7369,5039927.1678
"RDP-150","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Rue du Bocage","extrémité de la rue du Bocage","Q","Q","RDP-150   Rue du Bocage",2024-05-28T10:22:07,,"         18.5",98,7.7,"=",900,0,22.9,0,22.9,-1,3,"45.4995266862813","-73.8582499475153",276802.4461,5040018.4888
"RDP-190","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc de l'Île de Roxboro","parc de l'Île de Roxboro, extrémité de la 5e av. N. ","Q","Q","RDP-190   Parc de l'Île de Roxboro",2024-05-28T11:03:46,,"         18.6",95,7.8,"=",120,0,22.9,0,22.9,-1,3,"45.5139898976476","-73.8210775595973",279713.9261,5041613.5097
