groupe,poste,DESCRIPTION
MUNICI,PRC2900,Transferts de fonctionnement / Revenus de fonctionnement
MUNICI,PRC3000,Endettement total net a long terme par unite d'evaluation (municipalites standards et reconstituees, centrales : parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,PRC3001,Endettement total net a long terme par unite d'evaluation (total municipalites liees dont l'agglomeration taxe)
MUNICI,PRC3002,Endettement total net a long terme par unite d'evaluation (en proportion de la RFU de la municipalite) (partie agglomeration des municipalites liees dont l'agglomeration taxe)
MUNICI,PRC3003,Endettement total net a long terme par unite d'evaluation (agglomerations qui taxent)
MUNICI,PRC3100,Charges nettes par unite d'evaluation (municipalites standards et reconstituees, centrales : parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,PRC3101,Charges nettes par unite d'evaluation (total municipalites liees dont l'agglomeration taxe)
MUNICI,PRC3102,Charges nettes par unite d'evaluation (en proportion de la RFU de la municipalite) (partie agglomeration des municipalites liees dont l'agglomeration taxe)
MUNICI,PRC3103,Charges nettes par unite d'evaluation (agglomerations qui taxent)
MUNICI,PRC3200,Taxes par unite d'evaluation imposable (municipalites standards et reconstituees, centrales : parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,PRC3201,Taxes par unite d'evaluation imposable (total municipalites liees dont l'agglomeration taxe)
MUNICI,PRC3202,Taxes par unite d'evaluation imposable (en proportion de la RFU de la municipalite) (partie agglomeration des municipalites liees dont l'agglomeration taxe)
MUNICI,PRC3203,Taxes par unite d'evaluation imposable (agglomerations qui taxent)
MUNICI,PRC3500,Taxes de fonctionnement sur la valeur fonciere / Revenus de fonctionnement
MUNICI,PRC3600,Taxes de fonctionnement sur une autre base / Revenus de fonctionnement
MUNICI,PRC3700,Autres revenus de fonctionnement / Revenus de fonctionnement
MUNICI,PRC3800,Acquisition d'immobilisations / Cout des immobilisations
MUNICI,PRC3900,Dette a long terme / Actifs
MUNICI,PRC4000,Taux global de taxation uniformise
MUNICI,PRC4001,T.G.T. uniformise (municipalites liees)
MUNICI,PRC4200,Charge fiscale moyenne des logements (municipalites standards, reconstituees, partie locale municipalites centrales)
MUNICI,PRC4201,Charge fiscale moyenne des logements (total municipalites liees)
MUNICI,PRC4202,Charge fiscale moyenne des logements (partie agglomeration municipalites liees)
MUNICI,PRC4300,Charges nettes par logement et local (municipalites standards et reconstituees, centrales : parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,PRC4301,Charges nettes par logement et local (total municipalites liees dont l'agglomeration taxe)
MUNICI,PRC4302,Charges nettes par logement et local (en proportion de la RFU de la municipalite) (partie agglomeration des municipalites liees dont l'agglomeration taxe)
MUNICI,PRC4400,Taxes par logement et local (municipalites standards et reconstituees, centrales : parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,PRC4401,Taxes par logement et local (total municipalites liees dont l'agglomeration taxe)
MUNICI,PRC4402,Taxes par logement et local (en proportion de la RFU de la municipalite) (partie agglomeration des municipalites liees dont l'agglomeration taxe)
MUNICI,PRC4500,Endettement total net a long terme par logement et local (municipalites standards et reconstituees, centrales : parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,PRC4501,Endettement total net a long terme par logement et local (total municipalites liees dont l'agglomeration taxe)
MUNICI,PRC4502,Endettement total net a long terme par logement et local (en proportion de la RFU de la municipalite) (partie agglomeration des municipalites liees dont l'agglomeration taxe)
MUNICI,PRN0100,Endettement total net a long terme (reseau d'electricite)
MUNICI,PRN0200,Service de la dette (reseau d'electricite)
MUNICI,PRN0300,Services rendus aux organismes municipaux (reseau d'electricite)
MUNICI,RF01010103,Taxes de fonctionnement sur la valeur fonciere
MUNICI,RF01010104,Taxes de fonctionnement sur une autre base
MUNICI,RF01010201,Compensations tenant lieu de taxes
MUNICI,RF01010525,Transferts de fonctionnement
MUNICI,RF01010601,Revenus de fonctionnement
MUNICI,RF05021002,Service de la dette
MUNICI,RF06010101,Actifs
MUNICI,RF12010101,Excedent (deficit) de fonctionnement accumule
MUNICI,RF31010101,Taxes de fonctionnement sur la valeur fonciere (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RF31010102,Taxes de fonctionnement sur une autre base (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RF31010402,Services rendus aux organismes municipaux (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RF31010501,Transferts de fonctionnement (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RF31010601,Revenus de fonctionnement (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RF35010601,Revenus (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RF35021001,Charges (parties locale et agglomeration dont l'agglomeration taxe)
MUNICI,RFU3000,Richesse fonciere uniformisee (RFU)
MUNICI,RFU3001,Richesse fonciere uniformisee (RFU) - agglomeration
PROV,PRC0150,Endettement total net a long terme par RFU
PROV,PRC0250,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette a long terme + variation du fonds d'amortissement)
PROV,PRC0350,Charges nettes par RFU
PROV,PRC2150,Valeur comptable nette / Cout des immobilisations
PROV,PRC2550,Excedent (deficit) de fonctionnement accumule / Revenus de fonctionnement
PROV,PRC2750,Taxes de fonctionnement / Revenus de fonctionnement
PROV,PRC2850,Compensations tenant lieu de taxes / Revenus de fonctionnement
PROV,PRC2950,Transferts de fonctionnement / Revenus de fonctionnement
PROV,PRC3050,Endettement total net a long terme par unite d'evaluation
PROV,PRC3150,Charges nettes par unite d'evaluation
PROV,PRC3250,Taxes par unite d'evaluation imposable
PROV,PRC3550,Taxes de fonctionnement sur la valeur fonciere / Revenus de fonctionnement
PROV,PRC3650,Taxes de fonctionnement sur une autre base / Revenus de fonctionnement
PROV,PRC3750,Autres revenus de fonctionnement / Revenus de fonctionnement
PROV,PRC3850,Acquisition d'immobilisations / Cout des immobilisations
PROV,PRC3950,Dette a long terme / Actifs
PROV,PRC4050,T.G.T. uniformise
PROV,PRC4250,Charge fiscale moyenne des logements
PROV,PRC4350,Charges nettes par logement et local
PROV,PRC4450,Taxes par logement et local
PROV,PRC4550,Endettement total net a long terme par logement et local
RAD,PRC0170,Endettement total net a long terme par RFU
RAD,PRC0270,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette a long terme + variation du fonds d'amortissement)
RAD,PRC0370,Charges nettes par RFU
RAD,PRC2170,Valeur comptable nette / Cout des immobilisations
RAD,PRC2570,Excedent (deficit) de fonctionnement accumule / Revenus de fonctionnement
RAD,PRC2770,Taxes de fonctionnement / Revenus de fonctionnement
RAD,PRC2870,Compensations tenant lieu de taxes / Revenus de fonctionnement
RAD,PRC2970,Transferts de fonctionnement / Revenus de fonctionnement
RAD,PRC3070,Endettement total net a long terme par unite d'evaluation
RAD,PRC3170,Charges nettes par unite d'evaluation
RAD,PRC3270,Taxes par unite d'evaluation imposable
RAD,PRC3570,Taxes de fonctionnement sur la valeur fonciere / Revenus de fonctionnement
RAD,PRC3670,Taxes de fonctionnement sur une autre base / Revenus de fonctionnement
RAD,PRC3770,Autres revenus de fonctionnement / Revenus de fonctionnement
RAD,PRC3870,Acquisition d'immobilisations / Cout des immobilisations
RAD,PRC3970,Dette a long terme / Actifs
RAD,PRC4070,T.G.T. uniformise
RAD,PRC4270,Charge fiscale moyenne des logements
RAD,PRC4370,Charges nettes par logement et local
RAD,PRC4470,Taxes par logement et local
RAD,PRC4570,Endettement total net a long terme par logement et local
