GROUPE,POSTE,DESCRIPTION
PROV,PRC3750,Autres revenus de fonctionnement / Revenus de fonctionnement
RAD,PRC3770,Autres revenus de fonctionnement / Revenus de fonctionnement
MUNICI,PRC3800,Acquisition d'immobilisations / Coût des immobilisations
CP,PRC3810,Acquisition d'immobilisations / Coût des immobilisations
MAR,PRC3820,Acquisition d'immobilisations / Coût des immobilisations
PROV,PRC3850,Acquisition d'immobilisations / Coût des immobilisations
RAD,PRC3870,Acquisition d'immobilisations / Coût des immobilisations
MUNICI,PRC3900,Dette à long terme / Actifs
CP,PRC3910,Dette à long terme / Actifs
MAR,PRC3920,Dette à long terme / Actifs
PROV,PRC3950,Dette à long terme / Actifs
RAD,PRC3970,Dette à long terme / Actifs
MUNICI,PRC4000,Taux global de taxation uniformisé
MUNICI,PRC4001,T.G.T. uniformisé (municipalités liées)
CP,PRC4010,T.G.T. uniformisé
MAR,PRC4020,T.G.T. uniformisé
PROV,PRC4050,T.G.T. uniformisé
RAD,PRC4070,T.G.T. uniformisé
MUNICI,PRC4100,"Charge fiscale moyenne des résidences d'un logement (incluant condominiums) (municipalités standards, reconstituées, partie locale municipalités centrales"
MUNICI,PRC4101,Charge fiscale moyenne des résidences d'un logement (incluant condominiums) (total municipalités liées)
MUNICI,PRC4102,Charge fiscale moyenne des résidences d'un logement (incluant condominiums) (partie agglomération municipalités liées)
CP,PRC4110,Charge fiscale moyenne des résidences d'un logement (incluant condominiums)
MAR,PRC4120,Charge fiscale moyenne des résidences d'un logement (incluant condominiums)
PROV,PRC4150,Charge fiscale moyenne des résidences d'un logement (incluant condominiums)
RAD,PRC4170,Charge fiscale moyenne des résidences d'un logement (incluant condominiums)
MUNICI,PRC4200,"Charge fiscale moyenne des logements (municipalités standards, reconstituées, partie locale municipalités centrales)"
MUNICI,PRC4201,Charge fiscale moyenne des logements (total municipalités liées)
MUNICI,PRC4202,Charge fiscale moyenne des logements (partie agglomération municipalités liées)
CP,PRC4210,Charge fiscale moyenne des logements
MAR,PRC4220,Charge fiscale moyenne des logements
PROV,PRC4250,Charge fiscale moyenne des logements
RAD,PRC4270,Charge fiscale moyenne des logements
MUNICI,PRC4300,"Charges nettes par logement et local (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
MUNICI,PRC4301,Charges nettes par logement et local (total municipalités liées dont l'agglomération taxe)
MUNICI,PRC4302,Charges nettes par logement et local (en proportion de la RFU de la municipalité) (partie agglomération des municipalités liées dont l'agglomération taxe)
CP,PRC4310,Charges nettes par logement et local
MAR,PRC4320,Charges nettes par logement et local
PROV,PRC4350,Charges nettes par logement et local
RAD,PRC4370,Charges nettes par logement et local
MUNICI,PRC4400,"Taxes par logement et local (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
MUNICI,PRC4401,Taxes par logement et local (total municipalités liées dont l'agglomération taxe)
MUNICI,PRC4402,Taxes par logement et local (en proportion de la RFU de la municipalité) (partie agglomération des municipalités liées dont l'agglomération taxe)
CP,PRC4410,Taxes par logement et local
MAR,PRC4420,Taxes par logement et local
PROV,PRC4450,Taxes par logement et local
RAD,PRC4470,Taxes par logement et local
MUNICI,PRC4500,"Endettement total net à long terme par logement et local (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
MUNICI,PRC4501,Endettement total net à long terme par logement et local (total municipalités liées dont l'agglomération taxe)
MUNICI,PRC4502,Endettement total net à long terme par logement et local (en proportion de la RFU de la municipalité) (partie agglomération des municipalités liées dont l'agglomération taxe)
CP,PRC4510,Endettement total net à long terme par logement et local
MAR,PRC4520,Endettement total net à long terme par logement et local
PROV,PRC4550,Endettement total net à long terme par logement et local
RAD,PRC4570,Endettement total net à long terme par logement et local
