ï»¿NOM_MUN_COMPO,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,CODE_REGION_COMPO,INTERNET,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV,telephone1,TELECOPIEUR1
Rimouski,G5L 4E1,10,78,1,enfantdufleuve@globetrotter.net,QC,L'ENFANT DU FLEUVE INC.,CPE,1 - Bas-Saint-Laurent,"61, rue Sainte-Marie",CR,"(418) 722-6717, poste 1",(418) 732-3155
Rimouski,G5L 2Z9,10,78,1,direction@luniversdescopains.ca,QC,L'UNIVERS DES COPAINS,CPE,1 - Bas-Saint-Laurent,"290, allÃ©e des Ursulines",CR,(418) 722-4644,(418) 722-4656
Rimouski,G5L 2Z9,10,78,1,direction@luniversdescopains.ca,QC,L'UNIVERS DES COPAINS 2,CPE,1 - Bas-Saint-Laurent,"290, allÃ©e des Ursulines",CR,(418) 722-4644,(418) 722-4656
Rimouski,G5L 8B4,10,78,1,direction.eveil@gmail.com,QC,L'ÃVEIL DES CHÃRUBINS,CPE,1 - Bas-Saint-Laurent,"30, rue Saint-Laurent Ouest",CR,(418) 725-4332,(418) 725-4377
Rimouski,G5L 3E3,0,26,1,direction.eveil@gmail.com,QC,L'ÃVEIL DES CHÃRUBINS INSTALLATION NATURE,CPE,1 - Bas-Saint-Laurent,"300, allÃ©e du Rosaire",CR,(418) 725-4332,(418) 725-4377
Rimouski,G5M 0C6,20,80,1,sdube@latralee.ca,QC,LA TRÃLÃE DES PRÃS,CPE,1 - Bas-Saint-Laurent,"350, rue Arthur-Buies Est",CR,(418) 723-4004,(418) 725-5645
Rimouski,G5L 8X9,10,80,1,sdube@latralee.ca,QC,LA TRÃLÃE DU PARC,CPE,1 - Bas-Saint-Laurent,"209, rue Tessier",CR,(418) 723-4004,(418) 725-5645
Rimouski,G5M 1J2,10,60,1,farfadets@cgocable.ca,QC,LES FARFADETS D'Ã CÃTÃ,CPE,1 - Bas-Saint-Laurent,"371, avenue de la Jeunesse",CR,(418) 722-8311,(418) 721-6282
Rimouski,G5M 1J2,10,80,1,farfadets@cgocable.ca,QC,LES FARFADETS DE LA POINTE INC.,CPE,1 - Bas-Saint-Laurent,"365, avenue de la Jeunesse",CR,(418) 722-8311,(418) 721-6282
Rimouski,G5L 3S4,20,78,1,surlechemindelecole@gmail.com,QC,SUR LE CHEMIN DE L'ÃCOLE,GARD,1 - Bas-Saint-Laurent,"714, boulevard Saint-Germain O.",,(514) 670-3370,
Rimouski,G5M 0W6,20,78,1,aurelie@achacunsonhistoire.com,QC,Ã CHACUN SON HISTOIRE - RIMOUSKI,GARD,1 - Bas-Saint-Laurent,"352, rue Alcide-C.-Horth, bureau 101",CR,(438) 863-8843,
RiviÃ¨re-Bleue,G0L 2B0,5,29,1,cperdl@cperdl.com,QC,LA RIBAMBELLE,CPE,1 - Bas-Saint-Laurent,"33, rue des Pins Est",CR,(418) 893-7276,
RiviÃ¨re-du-Loup,G5R 6E3,10,70,1,maryeve.gauvin@cpejardinsjolis.com,QC,LA CLÃ DES BOIS,CPE,1 - Bas-Saint-Laurent,"135, rue Frontenac",CR,(418) 862-1117,(418) 862-6900
RiviÃ¨re-du-Loup,G5R 2W4,0,26,1,cperdl@cperdl.com,QC,LA LICORNE,CPE,1 - Bas-Saint-Laurent,"61, rue Alexandre",CR,(418) 862-7553,
RiviÃ¨re-du-Loup,G5R 0J5,10,44,1,maryeve.gauvin@cpejardinsjolis.com,QC,LA PASSERELLE DES P'TITS MOUSSES,CPE,1 - Bas-Saint-Laurent,"121, rue Thomas-Jones",CR,(418) 862-1117,(418) 862-6900
RiviÃ¨re-du-Loup,G5R 2R2,0,30,1,directionpedm@hotmail.com,QC,LA PETITE ÃCOLE DES MOUSSES,GARD,1 - Bas-Saint-Laurent,"27, rue de LÃ©vis",,(418) 867-3343,
RiviÃ¨re-du-Loup,G5R 6C1,10,44,1,maryeve.gauvin@cpejardinsjolis.com,QC,LA RELÃVE DES MOUSSES,CPE,1 - Bas-Saint-Laurent,"9, avenue Premier",CR,(418) 862-1117,(418) 862-6900
RiviÃ¨re-du-Loup,G5R 1R1,0,16,1,cperdl@cperdl.com,QC,LE JARDIN,CPE,1 - Bas-Saint-Laurent,"80, rue Frontenac",CR,(418) 862-7553,
RiviÃ¨re-du-Loup,G5R 1H6,15,76,1,cperdl@cperdl.com,QC,MI-LOUP,CPE,1 - Bas-Saint-Laurent,"57, rue Beaubien",CR,(418) 862-7553,
RiviÃ¨re-du-Loup,G5R 0J5,10,44,1,cperdl@cperdl.com,QC,QUENOUILLES ET GRENOUILLES,CPE,1 - Bas-Saint-Laurent,"119, rue Thomas-Jones",CR,(418) 605-1483,
Saint-Alexandre-de-Kamouraska,G0L 2G0,5,55,1,direction@cpepitatou.com,QC,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,1 - Bas-Saint-Laurent,"499, rue des MÃ©lÃ¨zes",CR,(418) 495-5378,
Saint-Anaclet-de-Lessard,G0K 1H0,5,30,1,cpesoleils@globetrotter.net,QC,CENTRE DE LA PETITE ENFANCE LES PETITES ÃTOILES MAGIQUES,CPE,1 - Bas-Saint-Laurent,"150, rue Proulx",CR,(418) 723-4977,(418) 721-3177
Saint-Anaclet-de-Lessard,G0K 1H0,10,62,1,cpesoleils@globetrotter.net,QC,CENTRE DE LA PETITE ENFANCE LES PETITS SOLEILS MAGIQUES,CPE,1 - Bas-Saint-Laurent,"147, rue Lavoie",CR,(418) 723-4977,(418) 721-3177
Saint-Antonin,G0L 2J0,15,80,1,cperdl@cperdl.com,QC,LA VILLA D'ANTONIN,CPE,1 - Bas-Saint-Laurent,"218, rue Principale",CR,"(418) 862-7553, poste 102",
Saint-ArsÃ¨ne,G0L 2K0,5,21,1,cpedescantons@gmail.com,QC,LES PETITS POTS DE CONFITURE,CPE,1 - Bas-Saint-Laurent,"65-A, rue de l'Ãglise",CR,(418) 898-2227,(418) 898-2226
Saint-Cyprien,G0L 2P0,5,29,1,cperdl@cperdl.com,QC,LA ROSE DES VENTS,CPE,1 - Bas-Saint-Laurent,"99, rue Claude",CR,(418) 963-3636,
Saint-Denis-De La Bouteillerie,G0L 2R0,5,21,1,servicesalafamille@videotron.ca,QC,GARDERIE LES PETITS BOURDONS,GARD,1 - Bas-Saint-Laurent,"5, route 132 Est",CR,(418) 498-3541,
Saint-Donat,G0K 1L0,0,16,1,directiongenerale@cpelespinsons.com,QC,INSTALLATION DE SAINT-DONAT,CPE,1 - Bas-Saint-Laurent,"102, rue des Loisirs",CR,(418) 739-1223,(418) 739-5109
Saint-Fabien,G0L 2Z0,10,50,1,auxpommettesrouges@gmail.com,QC,GARDERIE AUX POMMETTES ROUGES,GARD,1 - Bas-Saint-Laurent,"50-A, 1re Rue",,(418) 730-4538,
Saint-Hubert-de-RiviÃ¨re-du-Loup,G0L 3L0,5,21,1,cpedescantons@gmail.com,QC,RACONTE-MOI UN MOULIN,CPE,1 - Bas-Saint-Laurent,"1, rue du Saint-Rosaire",CR,(418) 898-2227,
Saint-Modeste,G0L 3W0,10,26,1,maryeve.gauvin@cpejardinsjolis.com,QC,LES AMIS DE LA FORÃT,CPE,1 - Bas-Saint-Laurent,"141, 1er Rang",CR,(418) 862-1117,
Saint-MoÃ¯se,G0J 2Z0,5,21,1,cpelenfantjoue@globetrotter.net,QC,SERVICES DE GARDE L'ENFANT JOUE,CPE,1 - Bas-Saint-Laurent,"55, rue Principale",CR,(418) 776-2903,(418) 776-5412
Saint-Pascal,G0L 3Y0,5,57,1,direction@cpepitatou.com,QC,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,1 - Bas-Saint-Laurent,"555, rue Hudon C.P. 3",CR,(418) 492-1378,
Saint-ValÃ©rien,G0L 4E0,5,21,1,da.inst@cpeauroreboreale.com,QC,CENTRE DE LA PETITE ENFANCE LA FORÃT BORÃALE,CPE,1 - Bas-Saint-Laurent,"7, avenue de Versant",CR,(581) 805-1600,(418) 725-4706
Saint-Ãpiphane,G0L 2X0,0,8,1,maryeve.gauvin@cpejardinsjolis.com,QC,DES P'TITS SOURIRES,CPE,1 - Bas-Saint-Laurent,"280, rue Sirois",CR,(418) 862-1117,(418) 862-6900
Sainte-Luce-Luceville,G0K 1P0,5,31,1,directiongenerale@cpelespinsons.com,QC,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,CPE,1 - Bas-Saint-Laurent,"20, rue des Coquillages",CR,(418) 739-5080,(418) 739-5109
Sayabec,G0J 3K0,5,31,1,cpelenfantjoue@globetrotter.net,QC,INSTALLATION SAYABEC,CPE,1 - Bas-Saint-Laurent,"6C, rue Keable",CR,(418) 536-2006,(418) 536-1818
Trois-Pistoles,G0L 4K0,5,41,1,direction@baleinebricoleuse.ca,QC,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,CPE,1 - Bas-Saint-Laurent,"566, rue Jean-Rioux",CR,(418) 851-2795,(418) 851-4385
TÃ©miscouata-sur-le-Lac,G0L 1E0,10,50,1,cpe@cpebccalinours.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",CPE,1 - Bas-Saint-Laurent,"795, rue Commerciale Nord",CR,"(418) 854-0255, poste 500",(418) 854-1077
TÃ©miscouata-sur-le-Lac,G0L 1X0,10,50,1,cpe@cpebccalinours.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" - INSTALLATION NOTRE-DAME",CPE,1 - Bas-Saint-Laurent,"684, rue BÃ©langer",CR,"(418) 854-0255, poste 501",(418) 940-0688
Alma,G8C 1N1,5,39,2,cpe.info@troispetitspas.net,QC,AU PAYS DES BOTTINES,CPE,2 - Saguenay - Lac-Saint-Jean,"501, rue LalibertÃ© Est",CR,(418) 343-2588,(471) 343-2471
Alma,G8B 5S5,0,62,2,info@cpelabambinerie.com,QC,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,2 - Saguenay - Lac-Saint-Jean,"200, avenue McNaughton Nord",CR,(418) 662-3649,(418) 662-2379
Alma,G8B 0G1,20,36,2,info@cpelabambinerie.com,QC,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,2 - Saguenay - Lac-Saint-Jean,"1065, rue Price Ouest",CR,(418) 662-3649,(418) 662-2379
Alma,G8E 2J1,10,70,2,cynthia.paquet@cpepicassos.com,QC,CENTRE DE LA PETITE ENFANCE LES PICASSOS DE L'ÃLE,CPE,2 - Saguenay - Lac-Saint-Jean,"121, rue Mistouk",CR,(418) 347-5826,(418) 347-1507
Alma,G8B 1M4,5,21,2,lise.savard@centremamik.com,QC,CENTRE DE LA PETITE ENFANCE MAMIK,CPE,2 - Saguenay - Lac-Saint-Jean,"483, rue SacrÃ©-Coeur Ouest",CR,"(418) 765-1202, poste 225",
Alma,G8B 4S4,10,80,2,cpepleinsoleil@outlook.com,QC,CENTRE DE LA PETITE ENFANCE PLEIN SOLEIL,CPE,2 - Saguenay - Lac-Saint-Jean,"200, rue Price Ouest",CR,(418) 668-7658,(418) 668-7085
Alma,G8B 7G1,10,68,2,cpe@lenfantheque.qc.ca,QC,CPE L'ENFANTHÃQUE,CPE,2 - Saguenay - Lac-Saint-Jean,"200, rue Alarie Est",CR,(418) 668-6742,(418) 668-0732
Alma,G8E 1J9,15,89,2,caroline.theriault@garderiebabilou.com,QC,GARDERIE BABILOU,GARD,2 - Saguenay - Lac-Saint-Jean,"221, rue des BruyÃ¨res",CR,(418) 817-4122,
Alma,G8B 0L4,15,80,2,vcleary@garderieslesetoiles.com,QC,GARDERIE LES ÃTOILES DU LAC,GARD,2 - Saguenay - Lac-Saint-Jean,"322, rue Archambeault",CR,(581) 235-6635,
Alma,G8B 6V4,15,55,2,,QC,LES GAMINS URBAINS,GARD,2 - Saguenay - Lac-Saint-Jean,"65, rue St-Joseph",,,
Alma,G8B 4L4,0,24,2,mariefrance.cote@hotmail.com,QC,ÃCOLE MONTESSORI DU LAC-ST-JEAN,GARD,2 - Saguenay - Lac-Saint-Jean,"625, rue de la Gare Ouest",,(418) 720-7763,
BÃ©gin,G0V 1B0,5,21,2,lespetitscailloux@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION BÃGIN,CPE,2 - Saguenay - Lac-Saint-Jean,"130A, rue Brassard",CR,(418) 549-7875,(418) 698-0824
Chambord,G0W 1G0,5,73,2,cpepetitstresors@cgocable.ca,QC,"CENTRE DE LA PETITE ENFANCE ""AUX PETITS TRESORS""",CPE,2 - Saguenay - Lac-Saint-Jean,"139, rue de la Plaine",CR,(418) 342-8185,(418) 342-1146
Chicoutimi,G7H 4E7,10,78,2,chicoutimi@achacunsonhistoire.com,QC,A chacun son histoire - Chicoutimi ! inc.,GARD,2 - Saguenay - Lac-Saint-Jean,"765, rue d'Alma",,(581) 882-0480,
Chicoutimi,G7J 0C5,15,57,2,raphaelle.allard@gmail.com,QC,ACADÃMIE DES MINI-AMOURS,GARD,2 - Saguenay - Lac-Saint-Jean,"1411, chemin de la RÃ©serve",,(418) 973-9815,(418) 696-2898
Chicoutimi,G7H 4J3,0,62,2,cpepj@cpeauxpetitesjoies.com,QC,CENTRE DE LA PETITE ENFANCE AUX PETITES JOIES INC.,CPE,2 - Saguenay - Lac-Saint-Jean,"290, rue du SÃ©minaire",CR,(418) 543-0001,(418) 543-1002
Chicoutimi,G7G 1L7,10,80,2,cpelacachecacheab@gmail.com,QC,CENTRE DE LA PETITE ENFANCE LA CACHE-CACHE,CPE,2 - Saguenay - Lac-Saint-Jean,"250, rue Colbert",CR,(418) 545-8169,(418) 545-2932
Chicoutimi,G7H 8E5,10,68,2,cpelesdegourdis@bellnet.ca,QC,CENTRE DE LA PETITE ENFANCE LES DÃGOURDIS,CPE,2 - Saguenay - Lac-Saint-Jean,"774, rue des SaguenÃ©ens",CR,(418) 690-0040,(418) 690-0050
Chicoutimi,G7H 6M3,10,80,2,direction@cpeminimousses.ca,QC,CENTRE DE LA PETITE ENFANCE LES MINIMOUSSES,CPE,2 - Saguenay - Lac-Saint-Jean,"789, rue des Ãtudiants",CR,(418) 545-8681,(418) 545-8121
Chicoutimi,G7G 1J5,20,80,2,lespetitscailloux@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION CHICOUTIMI,CPE,2 - Saguenay - Lac-Saint-Jean,"210, rue MÃ©zy",CR,(418) 698-4663,(418) 698-0824
Chicoutimi,G7H 4M1,10,34,2,lespetitscailloux@videotron.ca,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION MILIEU ÃTUDIANT,CPE,2 - Saguenay - Lac-Saint-Jean,"847, rue Georges-Vanier",CR,(418) 549-7875,(418) 549-7875
Chicoutimi,G7J 0A9,5,47,2,stephane.claveau@cpecailloux.com,QC,"CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX Â« CPE LA CAJOLERIE, INSTALLATION CÃTE RÃSERVE Â»",CPE,2 - Saguenay - Lac-Saint-Jean,"1165, rue des Carcajous",CR,(418) 545-8183,(418) 545-6483
Chicoutimi,G7H 2G9,20,98,2,stephane.claveau@cpecailloux.com,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX Â« CPE LES TROTTINEURS Â»,CPE,2 - Saguenay - Lac-Saint-Jean,"889, chemin Sydenham",CR,(418) 543-7222,(418) 543-3242
Chicoutimi,G7H 1Z9,5,45,2,info@cpemikueniss.ca,QC,CENTRE DE LA PETITE ENFANCE MIKUENISS,CPE,2 - Saguenay - Lac-Saint-Jean,"491, rue Jacques-Cartier Est",CR,(581) 532-0727,
Chicoutimi,G7H 2Z7,5,73,2,info@cpebcdeslutins.com,QC,CPE AU PAYS DES LUTINS,CPE,2 - Saguenay - Lac-Saint-Jean,"100, rue Don-Bosco",CR,(418) 698-2500,(418) 698-4483
Chicoutimi,G7H 7J5,5,29,2,info@cpebcdeslutins.com,QC,CPE LA GRANGE AUX LUTINS,CPE,2 - Saguenay - Lac-Saint-Jean,"1480, rang Saint-Martin",CR,(418) 543-4200,(418) 543-1903
Chicoutimi,G7H 2Z7,20,28,2,communications@cpebcdeslutins.com,QC,CPE LE BERCEAU DES LUTINS,CPE,2 - Saguenay - Lac-Saint-Jean,"106, rue Don-Bosco",CR,(418) 543-5984,(418) 543-1246
Chicoutimi,G7J 1C9,10,80,2,direction@cpejardindelariviere.com,QC,CPE LE JARDIN DE LA RIVIÃRE,CPE,2 - Saguenay - Lac-Saint-Jean,"75, rue Smith Ouest",CR,(418) 690-2072,(418) 690-5126
Chicoutimi,G7G 4E5,10,56,2,bebelougas@videotron.ca,QC,GARDERIE BÃBÃLOUGAS,GARD,2 - Saguenay - Lac-Saint-Jean,"101, rue BeauprÃ©",CR,(418) 543-0969,(418) 543-3752
Chicoutimi,G7J 0G6,25,65,2,vcleary@garderieslesetoiles.com,QC,GARDERIE LA MAISON DES ÃTOILES INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"129, rue Cossette",CR,(581) 235-6635,
Chicoutimi,G7J 3P7,45,87,2,garderiema@videotron.ca,QC,GARDERIE LES MINIS AMOURS INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"1340, chemin de la RÃ©serve",CR,(418) 696-9815,(418) 696-2898
Chicoutimi,G7J 0G6,15,80,2,vcleary@garderieslesetoiles.com,QC,GARDERIE LES ÃTOILES DU PARC,GARD,2 - Saguenay - Lac-Saint-Jean,"129, rue Cossette",CR,(418) 973-6033,
Chicoutimi,G7G 3N7,10,78,2,info@garderienature.ca,QC,GARDERIE NATURE,GARD,2 - Saguenay - Lac-Saint-Jean,"281, rue Pinel",,(514) 712-1139,
Chicoutimi,G7H 7K9,0,80,2,saguenay@petiteecolevision.com,QC,LA PETITE ÃCOLE VISION SAGUENAY,GARD,2 - Saguenay - Lac-Saint-Jean,"930, rue Jacques-Cartier Est C.P. 30",,(418) 973-0883,(418) 973-6783
Chicoutimi,G7J 3P7,0,15,2,raphaelle.allard@gmail.com,QC,LA PRÃ-MATERNELLE DES MINIS AMOURS,GARD,2 - Saguenay - Lac-Saint-Jean,"1340, chemin de la RÃ©serve",,(418) 696-9815,(418) 696-2898
Chicoutimi,G7H 0P2,20,79,2,anastasia@achacunsonhistoire.com,QC,Ã CHACUN SON HISTOIRE - LUXUOR,GARD,2 - Saguenay - Lac-Saint-Jean,"3000, rue du Plein-Air",,(581) 882-0480,
Chicoutimi,G7H 1V2,0,36,2,emsaguenay@hotmail.com,QC,ÃCOLE MONTESSORI DU SAGUENAY INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"700, rue Racine Est",,(418) 690-1661,
Desbiens,G0W 1N0,5,29,2,cpepetitstresors@cgocable.ca,QC,CENTRE DE LA PETITE ENFANCE ÃLE AUX TRÃSORS,CPE,2 - Saguenay - Lac-Saint-Jean,"188, rue de Quen",CR,(418) 342-8185,
Dolbeau-Mistassini,G8L 4J8,5,21,2,jlalancette@cpecroquelavie.ca,QC,CENTRE DE LA PETITE ENFANCE CROQUE LA VIE (INST. DOLBEAU-MISTASSINI),CPE,2 - Saguenay - Lac-Saint-Jean,"56-A, rue de Quen",CR,(418) 274-2762,(418) 274-2227
Dolbeau-Mistassini,G8L 6A9,5,60,2,cstpierre@croquelune.ca,QC,CENTRE DE LA PETITE ENFANCE CROQUE-LUNE,CPE,2 - Saguenay - Lac-Saint-Jean,"175, avenue de la Fabrique",CR,(418) 276-6679,(418) 276-8022
Dolbeau-Mistassini,G8L 3X7,10,52,2,cpelesrenardeaux@hotmail.com,QC,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,CPE,2 - Saguenay - Lac-Saint-Jean,"124, avenue des Chutes",CR,(418) 276-8818,(418) 276-9900
Dolbeau-Mistassini,G8L 3J6,15,88,2,maryse@petitsboutsdechoux.ca,QC,GARDERIE LES PETITS BOUTS DE CHOUX,GARD,2 - Saguenay - Lac-Saint-Jean,"194, avenue Jean-Dolbeau",CR,(418) 276-7636,(418) 276-5465
Girardville,G0W 1R0,10,41,2,jenny_lap@msn.com,QC,GARDERIE LA PETITE FABRIQUE INC.,GARD,2 - Saguenay - Lac-Saint-Jean,"165, rue Principale",,(581) 651-8181,
HÃ©bertville,G8N 1T1,5,29,2,stramgram@cgocable.ca,QC,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000 INSTALLATION HÃBERTVILLE,CPE,2 - Saguenay - Lac-Saint-Jean,"415, rue Turgeon",CR,(418) 349-8190,(418) 349-8026
JonquiÃ¨re,G7X 2T3,10,80,2,direction@cpejardinensante.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LE JARDIN ENSANTÃ""",CPE,2 - Saguenay - Lac-Saint-Jean,"3641, rue Saint-Bernard",CR,(418) 542-9464,(418) 542-0564
JonquiÃ¨re,G7X 5Z2,10,42,2,direction@garigatou.com,QC,CENTRE DE LA PETITE ENFANCE GARI-GATOU GRANDEUR NATURE,CPE,2 - Saguenay - Lac-Saint-Jean,"207-2303, rue Sir-Wilfrid-Laurier",CR,(418) 548-6573,(418) 548-8882
JonquiÃ¨re,G7S 2X6,5,78,2,direction@garigatou.com,QC,CENTRE DE LA PETITE ENFANCE GARI-GATOU INC.,CPE,2 - Saguenay - Lac-Saint-Jean,"2126, rue Burma",CR,"(418) 548-6573, poste 201",(418) 548-8882
JonquiÃ¨re,G7S 5Y2,20,98,2,direction@cpelapirouette.ca,QC,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,CPE,2 - Saguenay - Lac-Saint-Jean,"3200, rue Sainte-Ãmilie",CR,(418) 548-3003,(418) 548-9908
JonquiÃ¨re,G7S 5M9,10,70,2,lauriefrigon@cpesourisverte.com,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE,CPE,2 - Saguenay - Lac-Saint-Jean,"3240, rue du Roi-Georges",CR,(418) 548-0809,(418) 548-7163
JonquiÃ¨re,G7S 4B2,5,21,2,Lauriefrigon@cpesourisverte.com,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE CENTRE MULTISERVICES ST-JEAN-EUDES,CPE,2 - Saguenay - Lac-Saint-Jean,"2182, rue Bonneau",CR,(418) 548-0809,(418) 548-7163
JonquiÃ¨re,G7X 6H3,5,21,2,lauriefrigon@cpesourisverte.com,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE- INSTALLATION ST-LAURENT,CPE,2 - Saguenay - Lac-Saint-Jean,"2122, rue du PÃ¨re-Lalemant",CR,(418) 548-0809,(418) 548-7163
JonquiÃ¨re,G7S 3N6,10,80,2,cpepetitspoussins@qc.aira.com,QC,CENTRE DE LA PETITE ENFANCE LES PETITS POUSSINS,CPE,2 - Saguenay - Lac-Saint-Jean,"2120, rue Gilbert",CR,(418) 548-2247,(418) 548-5520
