#accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_depuis_debut,
AM10007561,Centre communautaire juridique de Montreal,425. boulevard De Maisonneuve Ouest. bureau 600.  Montreal H3A3K5,Syndicat des avocats de l'Aide Juridique de Montreal,CSN,Greve,Public,Services aux entreprises,7761,Montreal,116,116,2022-05-24,2023-04-25,2019-12-31,986,9,
AM10009197,Ville de Sainte-Marthe-sur-le-Lac,3000. chemin d'Oka.  Sainte-Marthe-sur-le-Lac J0N1P0,Syndicat canadien de la fonction publique Section locale 2804,FTQ,Greve,Public,Services des administrations locales,8351,Laurentides,28,672,2023-11-28,,2019-12-31,672,24,
AM10009199,Ville de Sainte-Marthe-sur-le-Lac,3000. chemin d'Oka.  Sainte-Marthe-sur-le-Lac J0N1P0,Syndicat canadien de la fonction publique. section locale 1962 (FTQ),FTQ,Greve,Public,Services des administrations locales,8351,Laurentides,12,288,2023-11-28,,2019-12-31,288,24,
AM10009217,Ville de Sainte-Julie,1580A Chemin du Fer-a-Cheval case postale 60   J3E1X5,Syndicat canadien de la fonction publique. section locale 1690,FTQ,Greve,Public,Services des administrations locales,8351,Monteregie,159,,2022-12-06,2023-04-18,2021-12-31,159,1,
AM10010234,Centre de la Petite Enfance l'Enfanterelle,8040. avenue Mylene.  Laval H7A1G3,Syndicat des travailleuses(eurs) des centres de la petite enfance de Montreal et Laval - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Laval,13,567,2023-04-04,2023-07-21,2020-03-31,567,44,
AM10010333,Fonds de solidarite des travailleurs du Quebec (F.T.Q.),545. boulevard Cremazie Est. bureau 200.  Montreal H2M2W4,Union des employes et employees de service. section locale 800,FTQ,Greve,Prive,Societes d'investissement,7214,Montreal,672,14112,2023-05-24,2023-06-29,2022-12-31,14112,21,
AM10010395,Centre communautaire juridique de la Rive-Sud,101. BOUL Roland-Therrien.  301 Longueuil J4H4B9,Syndicat des avocats et avocates de l'aide juridique de la Rive-Sud - CSN,IND PRO,Greve,Public,Services aux entreprises,7761,Monteregie,51,255,2022-06-08,2023-04-25,2019-12-31,331,7,
AM10010398,Centre communautaire juridique Laurentides-Lanaudiere,300. rue Sicard. bureau 210.  Sainte-Therese J7E3X5,Syndicat des avocats et avocates de l'aide juridique Laurentides-Lanaudiere,CSN,Greve,Public,Services aux entreprises,7761,Laurentides,38,190,2022-05-24,2023-04-25,2019-12-31,361,10,
AM10012223,Reseau de transport de Longueuil,1150. boulevard Marie-Victorin.  Longueuil J4G2M4,Syndicat canadien de la fonction publique. section locale 3332,FTQ,Greve,Public,Transports,4571,Monteregie,85,1445,2023-04-04,2023-04-26,2021-12-31,1445,17,
AM10013959,ecole de technologie superieure,1100. rue Notre-Dame Ouest.  Montreal H3C1K3,Association des professeurs de l'ecole de technologie superieure,CSQ,Greve,Public,Services d'enseignement,8531,Montreal,158,79,2023-11-06,,2019-05-31,79,1,
AM10013983,College Saint-Paul,235. rue Sainte-Anne.  Varennes J3X1R6,Syndicat canadien de la fonction publique. section locale 1707,FTQ,Greve,Prive,Services d'enseignement,8511,Monteregie,45,23,2023-11-06,,2021-08-23,22,1,
AM10014009,College Saint-Sacrement inc.,901. rue Saint-Louis.  Terrebonne J6W1K1,Syndicat des enseignantes et enseignants du College Saint-Sacrement (FNEEQ-CSN),CSN,Greve,Prive,Services d'enseignement,8511,Lanaudiere,120,60,2023-11-06,,2024-06-30,60,1,
AM10014146,Commission scolaire Crie Crie school board,203. Main Street.  Mistissini G0W1C0,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Nord-du-Quebec,1328,4670,2023-11-06,,2023-03-31,4670,8,
AM10014148,Commission scolaire Crie Crie school board,203. Main Street.  Mistissini G0W1C0,Syndicat des professionnelles et professionnels en milieu scolaire du Nord-Ouest (SPPMSNO-CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Nord-du-Quebec,112,538,2023-11-06,,2023-03-31,537,8,
AM10014156,Commission scolaire Kativik,9800. boulevard Cavendish. bureau 400.  Montreal H4M2V9,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Montreal,565,4746,2023-11-06,,2023-03-31,4746,8,
AM10019240,Corporation d'Urgences-sante,6700. rue Jarry Est.  Montreal H1P0A4,Syndicat des employe-e-s d'Urgences-sante (CSN),CSN,Greve,Public,Services de sante et services sociaux,8689,Montreal,0,0,2022-06-17,2023-05-30,2020-03-31,0,325,
AM10020882,A. Lassonde inc.,170. 5e Avenue.  Rougemont J0L1M0,Syndicat des travailleurs et des travailleuses de A. Lassonde (CSN),CSN,Greve,Prive,Industries des aliments,1031,Monteregie,251,251,2023-10-03,2023-10-03,2023-04-30,251,1,
AM10022296,Commission scolaire Crie Crie school board,203. Main Street.  Mistissini G0W1C0,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Nord-du-Quebec,549,4612,2023-11-06,,2023-03-31,4611,8,
AM10007561,Centre communautaire juridique de Montreal,425. boulevard De Maisonneuve Ouest. bureau 600.  Montreal H3A3K5,Syndicat des avocats de l'Aide Juridique de Montreal,CSN,Greve,Public,Services aux entreprises,7761,Montreal,116,116,2022-05-24,2023-04-25,2019-12-31,986,9,
AM10010398,Centre communautaire juridique Laurentides-Lanaudiere,300. rue Sicard. bureau 210.  Sainte-Therese J7E3X5,Syndicat des avocats et avocates de l'aide juridique Laurentides-Lanaudiere,CSN,Greve,Public,Services aux entreprises,7761,Laurentides,38,190,2022-05-24,2023-04-25,2019-12-31,361,10,
AM10024671,Commission des services juridiques,2. Complexe Desjardins. Tour de l'Est. bureau 1404 Montreal H5B1B3,Syndicat des avocats de l'Aide Juridique de Montreal,CSN,Greve,Public,Services aux entreprises,7761,Montreal,8,40,2022-05-24,2023-04-25,2019-12-31,76,10,
AM10046504,Services juridiques communautaires de Pointe St-Charles et Petite Bourgogne inc.,2533. rue du Centre. bureau 101.  Montreal H3K1J9,Syndicat des avocats de l'Aide Juridique de Montreal,CSN,Greve,Public,Services aux entreprises,7761,Montreal,4,20,2022-05-24,2023-04-25,2021-03-31,34,9,
AQ10037414,Centre communautaire juridique du Bas St-Laurent Gaspesie,320. rue Saint-Germain Est 6e etage Rimouski (Quebec) G5L1C2,Syndicat des Avocats de l'Aide Juridique du Bas St-Laurent/ Gaspesie,CSN,Greve,Public,Services aux entreprises,7761,Gaspesie--iles-de-la-Madeleine,17,85,2022-05-24,2023-04-25,2019-12-31,161,10,
AM10019240,Corporation d'Urgences-sante,6700. rue Jarry Est.  Montreal H1P0A4,Syndicat des employe-e-s d'Urgences-sante (CSN),CSN,Greve,Public,Services de sante et services sociaux,8689,Montreal,0,0,2022-06-07,2023-05-30,2020-03-31,0,325,
AM10010395,Centre communautaire juridique de la Rive Sud,Place Monteregie 101. boulevard Roland-Therrien. bureau 301 Longueuil (Quebec) J4H4B9,Syndicat des Avocats du Centre Communautaire Juridique de la Rive-Sud Ou Synd. des Avocats du C.C.J.R.S.,IND PRO,Greve,Public,Services aux entreprises,7761,Monteregie,51,255,2022-06-08,2023-04-25,2019-12-31,331,7,
AM10022819,Corporation internationale Masonite,4180. rue Villeneuve.  Lac-Megantic G6B2C3,Syndicat Unis-Portes Megantic (CSD),CSD,Greve et lock-out,Prive,Industries du bois,2543,Estrie,192,17834,2023-02-17,2023-06-27,2022-12-31,17834,93,
AM10023226,Commission scolaire Kativik,9800. boulevard Cavendish. bureau 400.  Montreal H4M2V9,Syndicat du personnel professionnel de l'education du Nunavik et de l'Ouest de Montreal,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,144,1210,2023-11-06,,2023-03-31,1209,8,
AM20017400,Solutions Oldcastle Enclosure,2. avenue d'Inverness.  Candiac J5R4W5,Syndicat des travailleuses et travailleurs de Oldcastle Solutions Enclosure - CSN,CSN,Greve et lock-out,Prive,Industries des produits mineraux non metalliques,3549,Monteregie,33,0,2022-06-20,2022-06-27,2021-11-30,198,6,
AC30001164,Dessercom inc.,5600. rue J.-B.-Michaud.  Levis G6V0N9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,0,0,2022-07-01,2023-06-19,,0,243,
AM20011044,Ambulances Drummondville. une division de Dessercom inc.,592. avenue Sainte-Marie.  Saint-Hyacinthe J2S4R5,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Centre-du-Quebec,101,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM10024104,Ferme St-Zotique inc.,200. chemin Saint-Thomas.  Saint-Zotique J0P1Z0,Syndicat des chauffeurs de camion de la Ferme St-Zotique - CSN,CSN,Greve,Prive,Commerces de gros de produits alimentaires. de boissons. de medicaments et de tabac,5214,Monteregie,29,114,2023-05-26,,2020-04-19,114,4,
AM10024235,Les Materiaux de construction Oldcastle Canada inc.,500. rue Saint-Eustache.  Saint-Eustache J7R7E7,Teamsters Quebec. local 1999,FTQ,Greve,Prive,Industries des produits mineraux non metalliques,3549,Laurentides,45,720,2023-06-07,2023-06-28,2022-12-31,720,16,
AM20020426,Ambulances Berthierville. une division de Dessercom inc.,592. avenue Sainte-Marie.  Saint-Hyacinthe J2S4R5,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,51,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20020452,Ambulances Rawdon. une division de Dessercom inc.,592. avenue Sainte-Marie.  Saint-Hyacinthe J2S4R5,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Lanaudiere,55,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20020456,Ambulances du Bas-St-Francois. une division de Dessercom inc.,592. avenue Sainte-Marie.  Saint-Hyacinthe J2S4R5,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Centre-du-Quebec,33,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20021152,HRH Services Prehospitaliers inc.,751. rue Samuel-Racine.  Joliette J6E0E8,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Lanaudiere,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20021343,Corporation ambulanciere de Beauce inc. (CAMBI) - Ambulance Michel Crevier inc.,485. boulevard Renault Case postale 5128 Beauceville (Quebec)  G5X 3P5 ,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Lanaudiere,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20021883,Les ambulances Gilles Thibault inc.,1540. route 117.  Val-David J0T2N0,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Laurentides,26,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM10024620,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employees et employes de la Societe des casinos du Quebec - CSN,CSN,Greve,Public,Services de divertissements et de loisirs,9661,Montreal,624,46176,2023-06-15,2023-09-26,2022-03-31,46176,74,
AQ20011075,Ambulances Kamouraska Est enr.. une division de Dessercom inc.,5600. rue J.-B.-Michaud.  Levis G6V0N9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Bas-Saint-Laurent,59,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM10024629,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employees et employes de resto Casino de Montreal - CSN,CSN,Greve,Public,Restauration,9211,Montreal,314,23236,2023-06-15,2023-09-26,2022-03-31,23236,74,
AM10024671,Commission des services juridiques,2. Complexe Desjardins. Tour de l'Est. bureau 1404 Montreal H5B1B3,Federation des employees et employes de services publics - (FEESP - CSN),CSN,Greve,Public,Services aux entreprises,7761,Montreal,8,40,2022-05-24,2023-04-25,2019-12-31,76,10,
AQ20020454,Ambulances Louiseville. une division de Dessercom inc.,592. avenue Sainte-Marie.  Saint-Hyacinthe J2S4R5,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Mauricie,69,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AQ20021564,Services Prehospitaliers Paraxion inc.,309. rue des Entrepreneurs.  Montmagny G5V4S9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Cote-Nord,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM10024852,Fabrique de la paroisse Notre-Dame de Montreal (Cimetiere Notre-Dame-des-Neiges),4601. chemin de la Cote-des-Neiges.  Montreal H3V1E7,Syndicat des travailleuses et travailleurs du Cimetiere Notre-Dame-des-Neiges - CSN,CSN,Greve,Prive,Services personnels et domestiques,9732,Montreal,75,9825,2023-01-12,2023-07-13,2018-12-31,9825,131,
AM20013168,Hema-Quebec,4045. boulevard de la Cote-Vertu.  Montreal H4R2W7,Syndicat du personnel infirmier d'Hema-Quebec (SPI - CSQ),CSQ,Greve,Public,Services de sante et services sociaux,8685,Laval,80,240,2022-07-06,2023-07-09,2019-03-31,560,7,
AM10024854,Fabrique de la paroisse Notre-Dame de Montreal (Cimetiere Notre-Dame-des-Neiges),4601. chemin de la Cote-des-Neiges.  Montreal H3V1E7,Syndicat des employe-e-s de bureau du Cimetiere Notre-Dame-des-Neiges - CSN,CSN,Greve,Prive,Services personnels et domestiques,9732,Montreal,19,4769,2022-07-19,,2019-12-31,6213,327,
AM10024912,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employees et employes de la securite physique du Casino de Montreal - CSN,CSN,Greve,Public,Services aux entreprises,7791,Montreal,79,5846,2023-06-15,2023-09-26,2022-03-31,5846,74,
AM10025455,energir. s.e.c.,1717. rue du Havre.  Montreal H2K2X3,Syndicat des employes(es) professionnels(les) et de bureau. section locale 463 (SEPB) CTC-FTQ,FTQ,Greve,Prive,Autres services publics,4921,Montreal,370,370,2023-06-14,2023-08-31,2021-09-30,370,1,
AQ10034056,Societe de transport de Levis,229. rue Saint-Omer Levis (Quebec)  ,Federation des employees et employes de services publics - (FEESP - CSN),CSN,Greve,Public,Transports,4571,Chaudiere-Appalaches,113,1695,2022-11-14,2023-02-24,2021-12-31,1808,16,
AM10012221,Municipalite regionale de Comte de Pontiac,Case postale 460 Campbell's Bay QC  ,Syndicat de la fonction publique du Quebec - ORG.,IND PRO,Greve,Public,Services des administrations locales,8351,Outaouais,21,0,2022-11-23,2022-11-23,2021-12-31,21,1,
AQ10047248,Distributions 20-20 inc.,4500. boulevard Hamel.  Quebec G1P2J9,Federation du commerce (FC - CSN),CSN,Greve,Prive,Commerces de gros des articles de quincaillerie. de materiel de plomberie et de chauffage et des mat,5621,Capitale-Nationale,50,0,2022-11-23,2022-11-23,2021-11-01,50,1,
AM10052524,Les Aliments Dare ltee,4945. rue Ontario Est.  Montreal H1V0A8,Syndicat  des employees et employes professionnel(le)s et de bureau - (SEPB - FTQ),FTQ,Greve,Prive,Industries des aliments,1071,Monteregie,90,0,2022-11-27,2022-12-02,2021-04-30,360,4,
AM20012189,Industries Dettson inc.,3400. boulevard Industriel.  Sherbrooke J1L1V8,Association internationale des machinistes et des travailleurs et travailleuses de l'aerospatiale - Section locale 922. District 11,FTQ,Greve,Prive,Industries de la fabrication des produits metalliques (sauf les industries de la machinerie et du ma,3071,Estrie,70,0,2022-12-01,2022-12-01,2022-10-31,70,1,
AM10009217,Ville de Sainte-Julie,1580A Chemin du Fer-a-Cheval case postale 60   J3E1X5,Syndicat canadien de la fonction publique. section locale 1690,FTQ,Greve,Public,Services des administrations locales,8351,Monteregie,159,0,2022-12-06,2023-04-18,2021-12-31,159,1,
AM10025682,La societe Emballages Hood (Division Glopak),4755. boulevard des Grandes-Prairies.  Montreal H1R1A6,Syndicat des Metallos. section locale 7625,FTQ,Lock-out,Prive,Industries des produits en matiere plastique,1691,Montreal,95,3040,2023-05-23,2023-07-05,2023-05-22,3040,32,
AM20012270,Centre de la petite enfance La grande Ourse,2600. rue Principale.  Sainte-Julie J3E2H6,Syndicat des intervenantes en petite enfance de Montreal (SIPEM-CSQ),CSQ,Greve,Prive,Services de sante et services sociaux,8641,Monteregie,60,0,2022-12-07,2022-12-07,2020-03-31,60,1,
AQ20014102,Societe en commandite Villa d'Alma,795. avenue des Noisetiers.  Alma G8B7W3,Syndicat des travailleuses et travailleurs des centres d'hebergement prives de la region Saguenay - Lac-Saint-Jean (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8628,Saguenay--Lac-Saint-Jean,48,3504,2022-12-07,2023-04-12,2022-06-30,4368,91,
AM10026471,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des travailleuses et travailleurs de Resto-Casino de Hull (CSN),CSN,Greve,Public,Services de divertissements et de loisirs,9661,Outaouais,303,22422,2023-06-15,2023-09-26,2022-03-31,22422,74,
AQ20002848,Ecole nationale de police du Quebec,350 rue Marguerite-d'Youville Case postale 1120   J3T1X4,Syndicat de la fonction publique et parapublique du Quebec inc.,IND PRO,Greve,Public,Services d'enseignement,8521,Centre-du-Quebec,172,0,2022-12-15,2023-02-15,2020-03-31,344,2,
AM10048903,Chemtrade Chemicals Canada Ltd,155 Gordon Baker Road Suite 300 North York (Ontario)  M2H3N5,Syndicat des travailleuses et des travailleurs des Produits performants General Chemical - CSN,CSN,Greve,Prive,Industries chimiques,3711,Monteregie,9,27,2023-01-05,2023-01-09,2022-10-15,27,3,
AM10024852,Fabrique de la paroisse Notre-Dame de Montreal (Cimetiere Notre-Dame-des-Neiges),4601. chemin de la Cote-des-Neiges.  Montreal H3V1E7,Syndicat des travailleuses et travailleurs du Cimetiere Notre-Dame-des-Neiges - CSN,CSN,Greve,Prive,Services personnels et domestiques,9732,Montreal,75,9825,2023-01-12,2023-07-13,2018-12-31,9825,131,
AC30000441,College Notre-Dame,3791. chemin Queen-Mary.  Montreal H3V1A8,Syndicat des employees et employes professionnels-les et de bureau. section locale 574 SEPB CTC-FTQ,FTQ,Greve,Prive,Services d'enseignement,8511,Montreal,90,90,2023-01-13,2023-06-01,,90,1,
AM20021654,Institut de tourisme et d'hotellerie du Quebec,3535. rue Saint-Denis.  Montreal H2X3P1,Syndicat des enseignates et enseignants de l'ITHQ - CSN,CSN,Greve,Public,Services d'enseignement,8591,Montreal,140,420,2023-01-16,2023-06-05,,420,3,
AM10028403,Autobus Campeau inc.,60. rue Renaud.  Brownsburg-Chatham J8G2E6,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Laurentides,10,170,2023-05-08,2023-05-30,2022-06-27,170,17,
AQ10035421,Autobus Tremblay & Paradis inc.,2625. rue Watt.  Quebec G1P3T2,Syndicat des employes du transport scolaire Tremblay et Paradis (CSN),CSN,Greve,Prive,Transports,4573,Capitale-Nationale,63,1386,2023-01-30,2023-03-12,2022-06-30,1386,22,
AQ20007315,Autobus B.R. inc.,2625. rue Watt.  Quebec G1P3T2,Syndicat des employe-es de transport Autobus B.R. (CSN),CSN,Greve,Prive,Transports,4573,Capitale-Nationale,20,440,2023-01-30,2023-03-12,2022-06-30,440,22,
AQ20014840,Societe quebecoise des infrastructures,1075. rue de l'Amerique-Francaise.  Quebec G1R5P8,Syndicat des employees et employes de la Societe quebecoise des infrastructures. section locale 2929 du SCFP,FTQ,Greve,Public,Services de l'administration provinciale,8259,Capitale-Nationale,375,3000,2023-02-08,2023-06-22,2020-03-31,3000,6,
AM20021659,Bibliotheque et Archives nationales du Quebec,475. boulevard De Maisonneuve Est.  Montreal H2L5C4,Syndicat des travailleuses et travailleurs uni-es de BAnQ - CSN,CSN,Greve,Public,Services d'enseignement,8561,Toutes les regions,350,2100,2023-02-14,2023-05-14,,2100,6,
AM20014050,Autobus R. M. inc.,4230. montee Gagnon.  Terrebonne J6Y1K9,Syndicat des travailleuses et travailleurs des autobus R. M. - CSN,CSN,Greve,Prive,Transports,4574,Lanaudiere,55,715,2023-02-15,2023-03-03,2021-08-31,715,13,
AQ20013472,Soucy Belgen inc.,4475. boulevard Saint-Joseph.  Drummondville J2B8B3,Syndicat des travailleuses et travailleurs de la Fonderie Belgen (CSN),CSN,Greve,Prive,Industries de premiere transformation des metaux,2941,Centre-du-Quebec,90,90,2023-02-15,2023-03-06,2023-02-05,90,1,
AM10022819,Corporation internationale Masonite,4180. rue Villeneuve.  Lac-Megantic G6B2C3,Syndicat Unis-Portes Megantic (CSD),CSD,Greve,Prive,Industries du bois,2543,Estrie,190,17834,2023-02-17,2023-06-27,2022-12-31,17834,93,
AQ10038293,Universite Laval,Cite Universitaire Quebec QC  ,Syndicat des professeurs et professeures de l'Universite Laval,IND LOC,Greve,Public,Services d'enseignement,8531,Capitale-Nationale,1300,29900,2023-02-20,2023-03-29,2022-12-01,29900,23,
AM10028651,Placements M.G.O. inc.,5855. rue Boulard.  Laval H7B1A3,Syndicat quebecois des employees et employes de service. section locale 298 (FTQ),FTQ,Greve,Prive,Services de sante et services sociaux,8628,Laval,4,4,2023-11-06,,2020-03-31,4,1,
AQ20020388,Caisse Desjardins de Port-Cartier,Les Galeries des iles 8. boulevard des iles Port-Cartier (Quebec)  G5B 2J4 ,Syndicat des Metallos. section locale 7065,FTQ,Greve,Prive,Intermediaires financiers de depots,7051,Cote-Nord,15,45,2023-03-08,2023-05-09,2022-03-15,45,3,
AQ10044848,Autobus Matanais inc.,55. rue Durette.  Matane G4W0J5,Association des chauffeurs d'autobus scolaires Matanais inc.,CSN,Greve,Prive,Transports,4573,Bas-Saint-Laurent,45,3600,2023-03-13,2023-06-29,2022-06-30,3600,80,
AQ20009272,Autobus de l'energie inc.,311. avenue de Saint-Georges.  Shawinigan G9T3M8,Syndicat des travailleuses et travailleurs du transport scolaire de l'energie - CSN,CSN,Greve,Prive,Transports,4573,Mauricie,15,780,2023-03-20,2023-06-20,2021-06-30,780,52,
AM20009336,Autobus Longueuil inc.,1325. boulevard Jacques-Cartier Ouest.  Longueuil J4K0A9,Unifor,FTQ,Greve,Prive,Transports,4573,Monteregie,73,3942,2023-03-21,2023-06-04,2022-06-30,3942,54,
AQ20008240,Autobus du Fer inc.,126. rue Monseigneur Blanche.  Sept-iles G4R3G8,Syndicat des Metallos. section locale 7065,FTQ,Greve,Prive,Transports,4573,Cote-Nord,35,840,2023-03-21,2023-04-22,2022-06-30,840,24,
AM20008545,Transdev Quebec inc.. Division Saint-Jean-sur-Richelieu. transport scolaire,720. RUE Trotter.  Saint-Jean-sur-Richelieu J3B8T2,Syndicat des Metallos. section locale 9414,FTQ,Greve,Prive,Transports,4573,Monteregie,38,2774,2023-03-22,2023-03-30,2022-08-31,2774,73,
AM10030250,Eastern Townships School Board,340. rue Saint-Jean-Bosco.  Magog J1X1K9,Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ),CSQ,Greve,Public,Transports,4573,Estrie,80,672,2023-11-06,,2023-03-31,672,8,
AM20005183,Les Autobus Venise ltee,50. rue McArthur.  Salaberry-de-Valleyfield J6S4M5,Unifor,FTQ,Greve,Prive,Transports,4573,Monteregie,46,3956,2023-04-03,2023-08-29,2022-08-14,3956,86,
AM20009489,Municipalite Regionale de Comte des Collines-de-l'Outaouais,216. chemin d'Old Chelsea Chelsea QC  J4B 1J4  ,Syndicat des travailleuses et travailleurs de la MRC des Collines-de-l'Outaouais - CSN,CSN,Greve,Public,Services des administrations locales,8351,Outaouais,43,129,2023-04-03,2023-06-14,2021-12-31,129,3,
