Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_2021,
AR10046993,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Federation du personnel de soutien scolaire (FPSS-CSQ),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,29347,29223,2021-05-04,2021-05-04,2020-03-31,29223,1,,
AQ20015361,Commission scolaire Eastern Shores (Eastern Shores School Board),40 rue Mount-sorrel New Carlisle G0C1Z0,Eastern Shores Union Support Staff (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Gaspesie--iles-de-la-Madeleine,167,167,2021-05-04,2021-05-04,2020-03-31,167,1,,
AM10030251,Eastern Townships School Board,340 rue Saint-Jean-Bosco Magog J1X1K9,Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Estrie,385,385,2021-05-04,2021-05-04,2020-03-31,385,1,,
AM10030250,Eastern Townships School Board,340 rue Saint-Jean-Bosco Magog J1X1K9,Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ),CSQ,Greve,Public,Transports,4573,Estrie,73,110,2021-05-04,2021-06-02,2020-03-31,110,2,,
AM10006215,Patisserie Gaudet inc.,1048 rue MacDonald Acton Vale J0H1A0,Union des employes et employees de service section locale 800,FTQ,Greve,Prive,Industries des aliments,1072,Monteregie,94,94,2021-05-05,2021-05-05,2020-11-30,94,1,,
AQ20014338,ArcelorMittal Exploitation Miniere Canada s.e.n.c. et ArcelorMittal Infrastructure Canada s.e.n.c.,24 boulevard des iles bureau 201 Port-Cartier G5B2M9,Syndicat des Metallos section locale 5778/6869,FTQ,Greve,Prive,Mines,617,Cote-Nord,1693,35553,2021-05-10,2021-06-08,2021-02-28,35553,21,,
AQ20014336,ArcelorMittal Exploitation Miniere Canada s.e.n.c. et ArcelorMittal Infrastructure Canada s.e.n.c.,24 boulevard des iles bureau 201 Port-Cartier G5B2M9,Syndicat des Metallos section locale 7401,FTQ,Greve,Prive,Mines,617,Cote-Nord,22,462,2021-05-10,2021-06-08,2021-02-28,462,21,,
AQ20014337,ArcelorMittal Exploitation Miniere Canada s.e.n.c. et ArcelorMittal Infrastructure Canada s.e.n.c.,24 boulevard des iles bureau 201 Port-Cartier G5B2M9,Syndicat des Metallos section locale 7401,FTQ,Greve,Prive,Mines,617,Cote-Nord,146,3066,2021-05-10,2021-06-08,2021-02-28,3066,21,,
AQ20014335,ArcelorMittal Exploitation Miniere Canada s.e.n.c. et ArcelorMittal Infrastructure Canada s.e.n.c.,24 boulevard des iles bureau 201 Port-Cartier G5B2M9,Syndicat des Metallos section locale 8664,FTQ,Greve,Prive,Mines,617,Cote-Nord,183,3843,2021-05-10,2021-06-08,2021-02-28,3843,21,,
AR20008372,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Syndicat des employees et employes professionnels-les et de bureau section locale 577 SIEPB CTC-FTQ,FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,1247,1247,2021-05-11,2021-05-13,2020-03-31,1247,2,,
AR20000515,Commission scolaire Marguerite-Bourgeoys,1100 boulevard de la Cote-Vertu Montreal H4L4V1,Syndicat des employees et employes professionnels-les et de bureau section locale 57 (SIEPB) CTC-FTQ,FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,5480,5480,2021-05-11,2021-05-13,2020-03-31,5480,2,,
AR10046982,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation nationale des enseignantes et enseignants du Quebec (FNEEQ-CSN),CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,17274,51199,2021-05-11,2021-06-11,2020-03-31,51199,3,,
AR10046985,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Syndicat canadien de la fonction publique (SCFP-FTQ),FTQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,4149,2075,2021-05-19,2021-05-28,2020-03-31,2075,2,,
AR10046981,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation des employees et employes de services publics inc. (FEESP-CSN),CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,5092,15276,2021-05-19,2021-05-21,2020-03-31,15276,3,,
AR10046990,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Syndicat canadien de la fonction publique (SCFP-FTQ),FTQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,748,374,2021-05-20,2021-05-27,2020-03-31,374,2,,
AQ20014130,Exceldor cooperative,5700 rue J.-B.-Michaud bureau 500 Levis G6V0B1,Union internationale des travailleurs et travailleuses unis de l'alimentation et de commerce FAT-COI-CTC-TUAC Canada Section locale 1991-P,FTQ,Greve,Prive,Industries des aliments,1012,Chaudiere-Appalaches,364,12386,2021-05-23,2021-06-26,2020-07-31,12386,34,,
AR10046980,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Federation des employees et employes de services publics inc. (FEESP-CSN),CSN,Greve,Public,Services d'enseignement,8511,Plus d'une region,29888,29888,2021-05-26,2021-05-27,2020-03-31,29888,2,,
AR10051627,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Federation des employees et employes de services publics inc.,CSN,Greve,Public,Services d'enseignement,8521,Plus d'une region,1650,1650,2021-05-26,2021-05-27,2020-03-31,1650,1,,
AM10052135,Ville de Montreal,3711 rue Saint-Antoine Ouest Montreal H4C 0C1,Syndicat professionnel des scientifiques a pratique exclusive de Montreal,Independant,Greve,Public,Services des administrations locales,8351,Montreal,536,9112,2021-06-02,2021-06-27,2017-12-31,9112,17,,
AM20002110,Nellson Nutraceutical Canada inc.,1125 50e Avenue Montreal H8T3P3,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501,FTQ,Greve,Prive,Industries des aliments,1099,Montreal,19,2831,2021-06-02,,2020-10-14,2831,149,,
AM20016884,Groupe CRH Canada inc.,966 chemin des Prairies Joliette J6E0L4,Unifor section locale 177,FTQ,Lock-out,Prive,Industries des produits mineraux non metalliques,3521,Lanaudiere,142,20874,2021-06-04,,2021-05-28,20874,147,,
AM20016882,Groupe CRH Canada inc. / bureau,966 chemin des Prairies Joliette J6E0L4,Unifor section locale 177,FTQ,Lock-out,Prive,Industries des produits mineraux non metalliques,3521,Lanaudiere,14,2058,2021-06-04,,2021-05-28,2058,147,,
AR20007493,Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS),3700 rue Berri bureau 300 Montreal,L'Alliance du personnel professionnel et technique de la sante et des services sociaux (APTS),CSN,Greve,Public,Services de sante et services sociaux,8600,Plus d'une region,52563,210228,2021-06-07,2021-06-22,2020-03-31,210228,4,,
AM20008387,Corporation d'Urgences-sante,6700 rue Jarry Est Montreal H1P0A4,Syndicat du prehospitalier - CSN,CSN,Greve,Public,Services de sante et services sociaux,8689,Montreal,932,0,2021-06-14,,2020-03-31,0,201,,
AR20007847,Regie des installations olympiques,4545 AV Pierre-De Coubertin Montreal H1V0B2,Syndicat des travailleuses et travailleurs du stationnement de la Rio - CSN,CSN,Greve,Public,Services immobiliers (sauf les lotisseurs),7512,Montreal,65,65,2021-06-30,2021-06-30,2020-03-31,65,1,,
AM10013139,Parc Olympique,4545 AV Pierre-De Coubertin Montreal H1V0B2,Syndicat des employes-es des piscines de la Regie des Installations Olympiques (CSN),CSN,Greve,Public,Services immobiliers (sauf les lotisseurs),7512,Montreal,60,60,2021-06-30,2021-06-30,2020-03-31,60,1,,
AM10012343,Parc Olympique,4545 AV Pierre-De Coubertin Montreal H1V0B2,Syndicat des professionnels de la Rio (CSN),CSN,Greve,Public,Services immobiliers (sauf les lotisseurs),7512,Montreal,39,156,2021-06-30,2021-09-09,2020-03-31,156,4,,
AM20003914,Parc Olympique,4545 AV Pierre-De Coubertin Montreal H1V0B2,Syndicat des travailleuses et travailleurs de la RIO (CSN),CSN,Greve,Public,Services immobiliers (sauf les lotisseurs),7512,Montreal,65,260,2021-06-30,2021-09-09,2020-03-31,260,4,,
AM20003198,Parc Olympique,4545 AV Pierre-De Coubertin Montreal H1V0B2,Syndicat des travailleuses et travailleurs de metiers et de services de la RIO - CSN,CSN,Greve,Public,Services immobiliers (sauf les lotisseurs),7512,Montreal,73,292,2021-06-30,2021-09-09,2020-03-31,292,4,,
AQ10051606,Plantago inc.,364-E route du President-Kennedy Beauceville G5X1N9,Fraternite provinciale des ouvriers en electricite - Local 1676,FTQ,Greve,Prive,Services forestiers,511,Capitale-Nationale,25,125,2021-07-04,2021-07-11,2020-12-31,125,5,,
AQ20021012,7762763 Canada inc. (Les Entreprises Kepasc),580 91e Rue Saint-Georges G5Y3K6,Fraternite provinciale des ouvriers en electricite - section locale 1676,FTQ,Greve,Prive,Services forestiers,511,Chaudiere-Appalaches,24,120,2021-07-04,2021-07-11,2020-12-31,120,5,,
AQ20015906,Construction Valard (Quebec) Inc.,111 rue Archibald-Campbell Victoriaville G6T2W2,Fraternite provinciale des ouvriers en electricite - section locale 1676,FTQ,Greve,Prive,Services forestiers,511,Toutes les regions,60,300,2021-07-04,2021-07-11,2020-12-31,300,5,,
AM20018378,emondage & abattage Dionne inc.,447 route 201 Saint-Clet J0P1S0,Fraternite provinciale des ouvriers en electricite - section locale 1676,FTQ,Greve,Prive,Exploitation forestiere,411,Toutes les regions,5,25,2021-07-04,2021-07-11,2020-12-31,25,5,,
AQ20015497,emondage Plus Inc.,495 rue Hart Trois-Rivieres G9A4R3,Fraternite provinciale des ouvriers en electricite - section locale 1676,FTQ,Greve,Prive,Services forestiers,511,Mauricie,5,25,2021-07-04,2021-07-11,2020-12-31,25,5,,
AC20022326,Lanauco Foresterie inc.,43 rue Landry Saint-Alexis J0K1T0,Fraternite provinciale des ouvriers en electricite - section locale 1676,FTQ,Greve,Prive,Services forestiers,511,Capitale-Nationale,10,50,2021-07-04,2021-07-11,,50,5,,
AQ20004440,Les Entreprises horticoles C.C.S. inc.,3220 chemin Sainte-Anne Levis G6J1H5,Fraternite provinciale des ouvriers en electricite - Section locale 1676,FTQ,Greve,Prive,Services forestiers,511,Plus d'une region,10,50,2021-07-04,2021-07-11,2020-12-31,50,5,,
AQ20015496,Serviforet inc.,2-1365 rue Principale Saint-Stanislas G0X3E0,Fraternite provinciale des ouvriers en electricite - Section locale 1676,FTQ,Greve,Prive,Services forestiers,511,Quebec plus autre(s) province(s),10,50,2021-07-04,2021-07-11,2020-12-31,50,5,,
AQ10043781,Arboriculture de Beauce inc.,364-E route du President-Kennedy G5X1N9,Fraternite provinciale des ouvriers en electricite local 1676,FTQ,Greve,Prive,Services forestiers,511,Chaudiere-Appalaches,300,1500,2021-07-04,2021-07-11,2020-12-31,1500,5,,
AM10017949,Asplundh Canada ULC,3366 rue Jacob-Jordan Terrebonne J6X4J6,Fraternite provinciale des ouvriers en electricite local 1676,FTQ,Greve,Prive,Services forestiers,511,Lanaudiere,300,1500,2021-07-04,2021-07-11,2020-12-31,1500,5,,
AQ10051829,Les Entreprises d'emondage L.D.L. inc.,2300 boulevard des Recollets Trois-Rivieres G8Z3X5,Fraternite provinciale des ouvriers en electricite local 1676,FTQ,Greve,Prive,Services forestiers,511,Plus d'une region,75,375,2021-07-04,2021-07-11,2020-12-31,375,5,,
AQ10046148,Plantago inc.,364-E route du President-Kennedy Beauceville G5X1N9,Fraternite provinciale des ouvriers en electricite local 1676,FTQ,Greve,Prive,Services forestiers,511,Capitale-Nationale,25,125,2021-07-04,2021-07-11,2004-12-31,125,5,,
AM10015849,Ville de Mercier,869 boulevard Saint-Jean-Baptiste Mercier J6R2L3,Syndicat canadien de la fonction publique section locale 3153,FTQ,Greve,Public,Services des administrations locales,8351,Monteregie,47,47,2021-07-09,2021-07-09,2018-12-31,47,1,,
AQ20013041,Ambulance 22-22 inc.,2591 5e Avenue Shawinigan G9T2P5,Fraternite des travailleurs et travailleuses du prehospitalier du Quebec - SCFP 7300,FTQ,Greve,Prive,Services de sante et services sociaux,8689,Mauricie,14,0,2021-07-14,,2020-03-31,0,170,,
AQ20020406,Services Prehospitaliers Paraxion inc.,309 rue des Entrepreneurs Montmagny G5V4S9,Syndicat des paramedics de la Moyenne et Basse Cote-Nord - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Cote-Nord,,0,2021-07-14,,2020-03-31,0,171,,
AM20021909,Ambulances Demers inc.,727 rue Laurier Beloeil J3G4J7,Syndicat des paramedics et du prehospitalier de la Monteregie - CSN,CSN,Greve,Prive,Societes d'investissement,7299,Monteregie,,0,2021-07-14,,,0,171,,
AM20021907,Services Prehospitaliers Paraxion inc.,309 rue des Entrepreneurs Montmagny G5V4S9,Syndicat des paramedics et du prehospitalier de la Monteregie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Monteregie,,0,2021-07-14,,,0,171,,
AR20014550,Corporation des services d'ambulance du Quebec,455 rue du Marais bureau 205 Quebec G1M3A2,Federation de la sante et des services sociaux (FSSS-CSN),CSN,Greve,Prive,Services de sante et services sociaux,8689,Capitale-Nationale,668,0,2021-07-16,,2020-03-31,0,169,,
AM20015757,Ambulance Weedon & Region inc.,241 2e Avenue Weedon J0B3J0,Syndicat des Paramedics de l'Estrie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Estrie,17,0,2021-07-16,,2020-03-31,0,169,,
AM20020336,Ambulance Coaticook une division de Dessercom inc.,592 avenue Sainte-Marie Saint-Hyacinthe J2S4R5,Syndicat des Paramedics de l'Estrie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Estrie,,0,2021-07-16,,2020-03-31,0,169,,
AQ20021910,Ambulances Asbestos une division de Dessercom inc.,5636 rue des Aulnaies Levis G6V5B4,Syndicat des Paramedics de l'Estrie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Estrie,,0,2021-07-16,,,0,169,,
AQ20021911,Ambulances Windsor une division de Dessercom inc.,5600 rue J.-B.-Michaud Levis G6V0N9,Syndicat des Paramedics de l'Estrie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Estrie,,0,2021-07-16,,,0,169,,
AM20020575,Ambulances Michel Crevier inc.,485 boulevard Renault Case Postale 5128 Beauceville G5X3P5,Syndicat des paramedics et du prehospitalier de la Monteregie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Estrie,,0,2021-07-16,,2020-03-31,0,169,,
AM20015710,Services prehospitaliers Laurentides-Lanaudiere ltee,13025 rue du Parc Boisbriand J7J1P3,Syndicat des paramedics Laurentides-Lanaudiere - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Laurentides,,0,2021-07-16,,,0,169,,
AQ20019332,Cooperative funeraire des Deux Rives,465 avenue Godin Quebec G1M3G7,Syndicat des travailleuses et travailleurs de la Cooperative funeraire des Deux Rives - CSN,CSN,Greve et lock-out,Prive,Services personnels et domestiques,9731,Capitale-Nationale,95,3990,2021-07-21,2021-10-05,2020-06-30,3990,42,,
AM10029125,Societe des traversiers du Quebec,250 rue St-Paul Quebec G1K9K9,Syndicat des employe (es) de la Societe des traversiers Sorel/ St-Ignace-de-Loyola (CSN),CSN,Greve,Public,Transports,4542,Monteregie,25,100,2021-08-12,2021-09-05,2020-03-31,100,4,,
AQ20020142,DQC L.P. (Delta Quebec),690 boulevard Rene-Levesque Est G1R 5A8,Syndicat des employe-es de l'Hotel Delta Quebec - CSN,CSN,Greve,Prive,Services immobiliers (sauf les lotisseurs),7599,Capitale-Nationale,64,900,2021-08-13,2021-10-05,2020-07-31,900,14,,
AQ10033417,Societe des traversiers du Quebec,250 rue Saint-Paul Quebec G1K9K9,Syndicat des employes de la Societe des Traversiers Quebec-Levis (CSN),CSN,Greve,Public,Transports,4542,Capitale-Nationale,49,243,2021-08-13,2021-09-06,2020-03-31,243,5,,
AQ10032433,Societe des traversiers du Quebec,250 rue Saint-Paul Quebec G1K9K9,Syndicat des employes de la Traverse Matane-Baie-Comeau-Godbout,CSN,Greve,Public,Transports,4542,Bas-Saint-Laurent,29,143,2021-08-13,2021-09-06,2020-03-31,143,5,,
AM10048748,Groupe hotelier Grand Chateau inc.,8000 boulevard Langelier bureau 200 Montreal H1P3K2,Syndicat des travailleuses et travailleurs de Hilton Laval - (CSN),CSN,Greve,Prive,Hebergement,9111,Laval,15,15,2021-08-13,2021-08-13,2020-06-30,15,1,,
AM20020586,La Coop Novago,839 rue Papineau Joliette J6E2L6,Syndicat des travailleuses et travailleurs de la Coop Lanaudiere CSN,CSN,Greve,Prive,Industries des aliments,1061,Lanaudiere,22,2019,2021-08-13,,2019-09-30,2019,91,,
AQ20008584,InnVest REIT Royal Bank Plaza South Tower,1100 boulevard Rene-Levesque Est Quebec G1R 5V2,Syndicat des travailleuses et des travailleurs de Hilton Quebec (CSN),CSN,Greve,Prive,Hebergement,9111,Capitale-Nationale,214,26089,2021-08-15,,2020-07-31,26089,122,,
AM20018184,Highland Park Hotels inc.,2685 rue King Ouest Sherbrooke J1L 1C1,Syndicat des travailleuses et travailleurs de l'Hotel Delta de Sherbrooke (CSN),CSN,Greve,Prive,Hebergement,9111,Estrie,26,2722,2021-08-20,,2020-06-30,2722,103,,
AM20012405,HYCanada Inc.,1255 rue Jeanne-Mance Montreal H5B 1E5,Syndicat des travailleuses et travailleurs de l'Hotel Meridien de Montreal (CSN),CSN,Greve,Prive,Hebergement,9111,Montreal,154,353,2021-08-27,2021-09-02,2020-06-30,353,2,,
AQ10032439,Societe des traversiers du Quebec,250 rue Saint-Paul Quebec G1K9K9,Syndicat des Metallos section locale 9599,FTQ,Greve,Public,Transports,4542,Capitale-Nationale,107,321,2021-09-03,2021-09-05,2020-03-31,321,3,,
AM20021452,Societe en Commandite Chateau Champlain,666 rue Sherbrooke Ouest bureau 2300 Montreal H3A1E7,Syndicat des travailleuses et travailleurs du Marriott Chateau Champlain - CSN,CSN,Greve,Prive,Hebergement,9111,Montreal,107,429,2021-09-03,2021-10-09,2020-06-30,429,4,,
AM20013074,Residence Laval Ouest inc.,2297 rue Goyer Montreal H3S1H1,Syndicat quebecois des employees et employes de service section locale 298 (FTQ),FTQ,Greve,Prive,Services de sante et services sociaux,8627,Laval,4,382,2021-09-16,,2019-12-31,382,107,,
AM20017540,Societe en commandite Village Harmonie 1,5650 rue de l'Harmonie bureau 375 Lac-Megantic G6B0A1,Syndicat des salaries de services d'aide aux personnes en residence de la MRC du Granit (CSD),CSD,Greve,Prive,Services de sante et services sociaux,8627,Estrie,3,300,2021-09-18,,2020-12-17,300,105,,
AM20016078,9312-5581 Quebec inc.,5250 rue Jarry Est Saint-Leonard H1R3A9,Syndicat des travailleurs(euses) du Bonaventure (CSN),CSN,Lock-out,Prive,Hebergement,9111,Montreal,125,250,2021-09-18,2021-09-19,2020-06-30,250,2,,
AQ20007962,Groupe Colabor inc. - Division Saint-Nicolas,820 rue Alphonse-Desrochers Saint-Nicolas G7A5H9,Syndicat des travailleuses et travailleurs de Colabor Levis (CSN),CSN,Greve,Prive,Commerces de gros de produits alimentaires de boissons de medicaments et de tabac,5219,Capitale-Nationale,156,780,2021-09-19,2021-09-25,2020-12-31,780,5,,
AM20022280,Intertek Testing Services (ITS) Canada LTD.,2561 avenue Georges-V Montreal-Est H1L6S4,Teamsters Quebec Local 1999,FTQ,Greve,Prive,Services aux entreprises,7759,Montreal,27,1998,2021-09-20,,,1998,74,,
