Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Sigle_du_syndicat,Statut_arret_de_travail,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_jours_personnes_perdus_depuis_debut_arret_travail,Date_de_debut_arret_de_travail,Date_de_fin_arret_de_travail,Date_expiration_derniere_convention_collective,Duree_en_jours_civils
AQ10033649,Lamontagne Auto ltée,514 boulevard Saint-Germain Ouest  Rimouski G5L3P8,Syndicat national des employés de garages de Rimouski inc. ,CSN,Grève et lock-out,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Bas-Saint-Laurent,9,1584,1998-09-14,1999-05-30,1998-07-31,259
AQ10032961,Les ventes Médaillon Ford ltée,195 rue Léonidas  Rimouski G5L2T5,Syndicat national des employés de garages de Rimouski inc. ,CSN,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Bas-Saint-Laurent,11,1881,1998-09-21,1999-05-30,1998-07-31,252
AQ10035165,Bernier Pontiac Buick (1990) inc.,396 boulevard Jessop  Rimouski G5L1N1,Syndicat national des employés de garages de Rimouski inc. ,CSN,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Bas-Saint-Laurent,20,3640,1998-09-24,1999-06-09,1998-07-31,259
AQ10044747,Spécialité d'Bois Linière inc.,2518 route Kennedy Saint-Côme QC  G0M1J0,Syndicat des travailleuses et travailleurs de Spécialité d'Bois Linière ,CSN,Grève et lock-out,Industries du bois,2549,Chaudière-Appalaches,100,13000,1998-09-28,1999-04-06,,191
AM10009756,Ville de Verdun,Hôtel-de-Ville 4555 avenue Verdun Verdun (Québec) H4G1M4,Syndicat canadien de la fonction publique Section locale 302,FTQ,Grève,Services des administrations locales,8351,Montréal,134,45828,1998-10-01,2000-02-19,1994-12-31,507
AQ10044316,Caisse populaire Desjardins de Saint-Agapit,1076 avenue Bergeron  Saint-Agapit G0S1Z0,Syndicat des employées et employés  professionnels-les et de bureau  section locale 57 (SIEPB) CTC-FTQ,FTQ,Grève,Intermédiaires financiers de dépôts,7051,Chaudière-Appalaches,18,1458,1998-10-02,1999-02-09,,131
AM10012272,Aliments Flamingo Division de la Coopérative fédérée de Québec,9001 boulevard de l'Acadie bureau 200  Montréal H4N3H7,Syndicat des employés de l'abattoir de Berthierville ,CSN,Grève,Industries des aliments,1012,Lanaudière,275,27087,1998-10-28,1999-03-23,1998-02-28,147
AM10022923,Aliments Flamingo (une division de la Coopérative fédérée de Québec),1665 rue Lépine  Joliette J6E3Z3,Syndicat des employés-es des Aliments Flamingo Joliette ,CSN,Grève,Industries des aliments,1012,Lanaudière,284,27974,1998-10-28,1999-03-23,1995-10-31,147
AQ10034838,Caisse Desjardins du Centre de la Haute-Côte-Nord,53 2e Avenue Case postale 308 Forestville G0T1E0,Syndicat régional des salariées des Caisses Desjardins de la Côte-Nord ,CSN,Grève,Intermédiaires financiers de dépôts,7051,Côte-Nord,13,3653,1998-10-28,1999-12-12,1996-07-31,411
AQ10034878,Caisse populaire Desjardins de l'Ancienne-Lorette,1638 rue Notre-Dame  L'Ancienne-Lorette G2E3B6,Syndicat des travailleuses(eurs) de la Caisse  populaire Ancienne-Lorette ,CSN,Grève,Intermédiaires financiers de dépôts,7051,Capitale-Nationale,58,16858,1998-10-29,1999-08-22,1997-12-31,298
AQ10033394,Fonderie Grand-Mère  division of Canada Pipe compagny limited,888 7e Avenue Sud  Grand-Mère G9T5L1,Syndicat démocratique des salariés  de la Fonderie de Grand-Mère ,CSD,Lock-out,Industries de première transformation des métaux,2941,Mauricie,56,8428,1998-10-30,1999-06-13,1998-10-31,227
AM10026787,Romeco inc.,178 Boul. St-Elzear  Laval H7L2N3,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,Transports,4532,Laval,6,1057,1998-11-20,1999-05-23,,185
AM10025944,9022-4122 Québec inc.,10520 rue Lajeunesse  Montréal H3L2E6,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,Restauration,9211,Montréal,57,5342,1998-12-10,1999-03-13,1998-05-02,94
AM10027044,9042-0100 Québec inc.,6225 rue Sherbrooke Est  Montréal H1N1C3,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,Restauration,9211,Montréal,52,5005,1998-12-11,1999-03-16,,96
AM10028520,Laliberté et Associés inc.,8790 rue Lajeunesse  Montréal H2M1R6,Syndicat des travailleurs(euses) de Bridgestone/Firestone de Joliette ,CSN,Lock-out,Restauration,9212,Lanaudière,6,443,1998-12-11,1999-02-17,,69
AM10010250,J.E. Tremblay ltée (Bmr),2291 rue des Ormeaux  Montréal H1L4X2,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501 ,FTQ,Lock-out,Autres commerces de détail,6531,Montréal,13,1774,1998-12-14,1999-04-30,1998-11-13,138
AM10026982,C.O.P.A.I.N.S. - M.M. inc.,2475 rue Saint-Patrick  Montréal H3K1B3,Syndicat du Centre C.O.P.A.I.N.S.-M.M.,CSD,Grève,Autres services,9999,Montréal,36,4626,1998-12-23,1999-04-28,,127
AM10030430,Renyco inc.,425 rue Galipeau rang 5  Thurso J0X3B0,Fraternité nationale des forestiers et travailleurs d'usines (Section locale 299),FTQ,Lock-out,Industries du bois,2599,Outaouais,16,128,1998-12-23,1999-01-07,1997-12-31,16
AM10029430,Entreprise Paul Maranda inc.,1475 de l'Industrie Beloeil (Québec)  J3B4S5,Syndicat des travailleuses et travailleurs des Entreprises Paul Maranda,CSN,Grève et lock-out,Industries du matériel de transport,3256,Montérégie,11,302,1999-01-07,1999-02-15,,40
AM10010226,Sydicat des employés en radio-télédiffusion de Télé-Québec (S.E.R.T.),1000 rue Fullum  Montréal H2K3L7,Syndicat des employées et employés de syndicats et des organismes collectifs du Québec (SEESOCQ),Indépendant,Lock-out,Associations,9841,Montréal,1,180,1999-01-13,1999-10-01,1993-12-31,262
AM10029798,Manufacturier de bas Iris inc.,6767 boulevard Léger  Montréal-Nord H1G1L6,Conseil conjoint du Québec syndicat du vêtement du textile et autres industries (FAT-COI-CTC-FTQ),FTQ,Grève,Industries de l'habillement,2494,Montréal,1000,25000,1999-01-21,1999-02-14,,25
,Gouvernement du Canada  Commission de la Fonction publique du Canada (juridiction fédérale),1122 Chemin St-Louis  Sillery G1S1E5,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8159,Québec plus autre(s) province(s),802,5615,1999-01-22,1999-03-23,,61
AQ10041068,Autobus de l'Énergie inc.,311 108e Avenue  Saint-Georges G9T3M8,Syndicat des travailleurs du Transport Shawinigan ,CSN,Grève,Transports,4573,Mauricie,17,17,1999-01-26,1999-01-26,1997-12-22,1
AM10020473,Ville Mont-Royal,90 rue Roosevelt  Mont-Royal H3R1Z5,Syndicat canadien de la fonction publique Section locale 3489,FTQ,Grève,Services des administrations locales,8351,Montréal,58,3207,1999-02-03,2000-02-09,1994-12-31,372
AM10029207,Caisse populaire Desjardins de Sutton,47 rue Principale Nord  Sutton J0E2K0,Syndicat des employées et employés  professionnels-les et de bureau  section locale 57 (SIEPB) CTC-FTQ,FTQ,Grève,Intermédiaires financiers de dépôts,7051,Montérégie,13,1989,1999-02-08,1999-09-26,,231
AQ10038839,Taxis Coop Québec 525-5191,496 2e Avenue  Québec G1L3B1,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,Transports,4581,Capitale-Nationale,11,57,1999-02-08,1999-02-13,1998-10-24,6
AQ10040359,Ville de Rimouski,205 avenue de la Cathédrale case postale 710 Rimouski G5L7C7,Syndicat des employées et employés de bureau  de la ville de Rimouski ,CSN,Grève,Services des administrations locales,8351,Bas-Saint-Laurent,3,978,1999-02-08,2000-05-31,1994-12-31,479
AM10025865,Les boulangeries René,375 avenue Lee  Baie-D'Urfé H9X3S3,Teamsters Québec section locale 1999,FTQ,Grève,Industries des aliments,1072,Montréal,21,333,1999-02-20,1999-03-07,,16
AQ10039050,Les Serres Sagami,2020 chemin de la Réserve Case postale 1750 Chicoutimi QC G7H6Z6,Syndicat des Métallos section locale 7287,FTQ,Grève,Agriculture,162,Saguenay--Lac-Saint-Jean,11,66,1999-02-24,1999-03-03,1999-01-22,8
AQ10042872,Prelco inc.,94 boulevard Cartier  Rivière-du-Loup G5R2M9,Unifor,FTQ,Grève,Industries des produits minéraux non métalliques,3562,Bas-Saint-Laurent,155,465,1999-02-24,1999-02-28,1999-01-31,5
AM10029477,Les Produits Easterntube Montréal inc.,3750 rue François-Bricault Pointe-aux-Trembles (Québec)  H1B5X3,Union des chauffeurs de camions hommes d'entrepôts et autres ouvriers Teamsters Québec section locale 106 ,FTQ,Lock-out,Industries du papier et des produits en papier,2799,Montérégie,19,285,1999-03-01,1999-03-21,,21
AM10025780,Progistix-Solutions inc.,5860 rue Maurice-Cullen  Laval H7C2V1,Syndicat canadien des communications de l'énergie et du papier (SCEP),FTQ,Grève,Services aux entreprises,7771,Plus d'une région,79,1583,1999-03-02,1999-03-21,1998-12-31,20
AQ10044387,Comité inter-municipal de gestion des déchets du comté de Champlain,819 rue Notre-Dame  Champlain G0X1C0,Syndicat régional des employés(es) municipaux de la Mauricie ,CSN,Grève,Autres services publics,4999,Mauricie,6,180,1999-03-04,1999-05-18,,76
AQ10035427,"Lab, Societé en commandite, Opérations Black Lake",Route 112 Black Lake QC  G6H2M9,Syndicat des Métallos section locale 7649,FTQ,Grève,Mines,629,Chaudière-Appalaches,417,416,1999-03-05,1999-03-07,1999-02-28,3
AM10029317,Manifor inc.,170 rue Principale Sud  Maniwaki J9E1Z6,Syndicat des travailleurs et travailleuses de la Scierie Maniwaki ,CSN,Lock-out,Industries du bois,2512,Outaouais,3,3,1999-03-08,1999-03-08,,1
AM10022405,Pages Jaunes Solutions numériques et médias limitée,16 place du Commerce  Verdun H3E2A5,Syndicat des employées et employés professionnels-les et de bureau section locale 574 SEPB CTC-FTQ,FTQ,Lock-out,"Imprimerie, édition et industries connexes",2831,Montréal,350,47950,1999-03-11,1999-09-26,1998-09-30,200
AQ10036521,Gouvernement du Québec Ministère de la Sécurité publique,Division des relations professionnelles Tour du Saint-Laurent 2525 boulevard Laurier 6e étage Québec QC G1V2L2,Syndicat des agents de la paix en services correctionnels du Québec ,CSN,Grève,Services de l'administration provinciale,8222,Toutes les régions,179,178,1999-03-13,1999-03-14,1998-12-31,2
AQ10042937,Tiru (Canada) inc.,1220 boulevard Montmorency  Québec G1J3V9,Syndicat canadien de la fonction publique  section locale 3595,FTQ,Grève,Autres services publics,4999,Capitale-Nationale,36,4642,1999-03-16,1999-07-23,1998-12-31,130
AQ10039198,Fédération interprofessionnelle de la santé du Québec-FIQ,1234 avenue Papineau  Montréal H2K0A4,Syndicat des employé(e)s de la Fédération interprofessionnelle de la santé du Québec (SEFIQ),Indépendant,Grève,Associations,9841,Plus d'une région,136,680,1999-03-18,1999-05-05,1998-12-31,49
AQ10042468,Les Industries Guy Tardif inc.,575 rue Newton  Québec G1P4C4,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,Industries de la machinerie (sauf électrique),3192,Capitale-Nationale,31,8029,1999-03-19,2000-03-31,1998-06-27,379
,Gouvernement du Canada Services correctionnels (Juridiction fédérale),825 Kirouac  Québec G1N2J7,Alliance de la Fonction publique du Canada,FTQ,Grève,Services de l'administration fédérale,8122,Québec plus autre(s) province(s),100,400,1999-03-27,1999-03-30,,4
AM10008021,Schneider Canada inc.,580 avenue Lépine  Dorval H9P1G2,Métallurgistes unis d'Amérique section locale 6750,FTQ,Grève,Industries des produits électriques et électroniques,3372,Montérégie,20,4200,1999-03-29,2000-01-25,1995-03-31,303
AR10047826,Garderie de la Province de Québec,200 Chemin Ste-Foy  Québec G1R5S1,Syndicat des travailleuses(eurs) en garderie de Montréal ,CSN,Grève,Services de santé et services sociaux,8641,Toutes les régions,2800,5600,1999-04-01,1999-04-08,,8
AM10029649,Autobus Drummondville Ltée,330 rue Hériot Drummondville (Québec)  J2B1A8,Unifor,FTQ,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6351,Centre-du-Québec,4,200,1999-04-02,1999-06-11,,71
,Bell Canada (Juridiction fédérale),2000 boulevard du Lac  Val-Bélair G3J1N4,Syndicat canadien des communications de l'énergie et du papier section locale 75.,FTQ,Grève et lock-out,Communications,4822,Plus d'une région,436,11336,1999-04-09,1999-05-17,,39
AM10022206,T.W. Distribution (Division de UAP Inc),400 rue Jean-Neveu  Longueuil J4G1N8,Unifor,FTQ,Grève,"Commerces de gros de véhicules automobiles, pièces et accessoires",5529,Montérégie,35,35,1999-04-13,1999-04-13,1998-11-30,1
AQ10044400,Maisonneuve Automobiles inc.,138 rue Maisonneuve  Québec G1R2C3,Syndicat national des employés de garage du  Québec inc.,CSD,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Capitale-Nationale,15,1080,1999-04-20,1999-07-30,,102
AM10014768,Produits Cari All inc.,171 rue Marien Montréal-Est QC  H1B5V1,Syndicat des Métallos section locale 7625,FTQ,Grève,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3059,Montréal,211,4009,1999-04-21,1999-05-17,1999-02-28,27
AM10028744,Les services alimentaires C.V.C. inc.,115-A rue de Vaudreuil  Boucherville J4B1K7,Syndicat des employés de soutien du Cegep Joliette de Lanaudière ,CSN,Grève,Restauration,9214,Lanaudière,11,1496,1999-04-22,1999-11-03,,196
AR10047824,Garderie de la Province de Québec,200 Chemin Ste-Foy  Québec G1R5S1,Syndicat des intervenantes en petite enfance de Québec ,CSQ,Grève,Services de santé et services sociaux,8641,Toutes les régions,750,750,1999-04-22,1999-04-22,,1
AM10010612,Société de transport de Laval,2250 avenue Francis-Hughes  Laval H7S2C3,Syndicat des chauffeurs de la Société de transport de Laval ,CSN,Grève,Transports,4571,Laval,286,285,1999-04-27,1999-04-28,1999-07-31,2
AM10008099,Chaussures H.H. Brown (Canada) ltée,375 7e Avenue Sud  Richmond J0B2H0,Syndicat démocratique des employés de la Chaussure ,CSD,Grève,Industries du cuir et des produits connexes,1712,Estrie,390,585,1999-05-03,1999-05-04,2000-11-30,2
AM10012246,Commission des écoles catholiques de Montréal,Secteur relations professionnelles 3737 rue Sherbrooke Est Montréal (Québec) H1X3B3,Alliance des professeures et professeurs de Montréal,Indépendant,Grève,Services d'enseignement,8511,Montréal,81,81,1999-05-03,1999-05-03,1998-06-30,1
AM10014784,Zellers inc.,2 15e Rue  Rouyn-Noranda J9X2J7,Syndicat des Métallos section locale 9019,FTQ,Grève,Commerces de détail de marchandises diverses,6411,Abitibi-Témiscamingue,64,12278,1999-05-03,1999-11-09,1998-12-31,191
AM10029553,Simon Lussier ltée,Scierie St-Côme Simon Lussier ltée 3520 chemin de la Ferme Saint-Côme (Québec) J0K2B0,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501 ,FTQ,Grève,Industries du bois,2512,Lanaudière,28,3500,1999-05-03,1999-10-31,,182
AM10011852,Corporation de la bibliothèque municipale de Rouyn-Noranda,201 avenue Dallaire  Rouyn-Noranda J9X4T5,Syndicat canadien de la fonction publique section locale 3217 ,FTQ,Grève,Services d'enseignement,8561,Abitibi-Témiscamingue,8,1145,1999-05-05,1999-09-22,1999-12-31,141
AM10014009,Collège Saint-Sacrement inc.,901 rue Saint-Louis  Terrebonne J6W1K1,Syndicat des enseignantes et enseignants du Collège Saint-Sacrement (FNEEQ-CSN),CSN,Lock-out,Services d'enseignement,8511,Lanaudière,65,845,1999-05-05,1999-05-24,1998-08-31,20
AM10015694,Hydro-Québec,Direction qualité de vie au travail 75 boulevard René-Lévesque Ouest 14e étage Montréal QC H2Z1A4,Syndicat des employé-e-s de techniques professionnelles et de bureau d'Hydro-Québec section locale 2000  Syndicat canadien de la fonction publique,FTQ,Grève,Autres services publics,4911,Toutes les régions,357,52142,1999-05-05,1999-09-27,2000-12-17,146
AM10016101,Hydro-Québec,Direction qualité de vie au travail 75 boulevard René-Lévesque Ouest 14e étage Montréal QC H2Z1A4,Syndicat des technologues d'Hydro-Québec section locale 957 du SCFP-FTQ,FTQ,Grève,Autres services publics,4911,Plus d'une région,357,52142,1999-05-05,1999-09-27,2000-12-17,146
AM10046457,Hydro-Québec,Direction qualité de vie au travail 75 boulevard René-Lévesque Ouest 14e étage Montréal QC H2Z1A4,Syndicat des employé-es de métiers d'Hydro-Québec section locale 1500 SCFP (F.T.Q.),FTQ,Grève,Autres services publics,4911,Toutes les régions,357,52142,1999-05-05,1999-09-27,2000-12-17,146
AQ10041125,Eau de Source Boischatel inc.,2165 rue Lavoisier  Sainte-Foy G1N4B2,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,Industries des boissons,1111,Capitale-Nationale,61,2104,1999-05-07,1999-06-28,,53
AC10044524,Association de la construction du Québec (ACQ),9200 boulevard Métropolitain Est  Anjou H1K4L2,CSN-Construction le Conseil provincial du Québec des métiers de la construction (International) CSD-Construction FTQ-Construction et le Syndicat Québécois de la Construction (SQC).,Indépendant,Grève,Associations,9841,Saguenay--Lac-Saint-Jean,200,4800,1999-05-10,1999-06-13,,35
AM10030443,Madvac International inc.,677 rue Giffard  Longueuil J4G1Y3,Union internationale des opérateurs-ingénieurs - section locale 484,FCT,Grève,Industries des produits électriques et électroniques,3311,Montérégie,43,430,1999-05-10,1999-05-24,,15
AM10023681,Supermarché Létang ltée,1411 rue Kipawa Létang  J0Z3R0,Syndicat des employé(es) du Métro-Richelieu  de Témiscamingue ,CSN,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6012,Abitibi-Témiscamingue,13,3111,1999-05-11,2000-01-07,1997-12-31,242
AQ10044233,Corbec inc.,400 avenue George-V  Lachine H8S2R7,Unifor section locale 720,FTQ,Grève,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3041,Capitale-Nationale,57,4930,1999-05-14,1999-09-20,1999-01-31,130
AM10023104,Mecar Metal Inc.,1560 rue Marie-Victorin  Saint-Bruno-de-Montarville J3V6B9,Métallurgistes unis d'Amérique section locale 9414,FTQ,Grève,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3071,Montérégie,32,256,1999-05-17,1999-05-27,1999-05-10,11
AM10011644,Héroux-Devtek inc.,710755 rue Thurber  Longueuil J4H3M9,Unifor,FTQ,Lock-out,Industries du matériel de transport,3211,Montérégie,330,7425,1999-05-28,1999-06-30,1999-05-31,34
AQ10042949,Municipalité de la Paroisse de Saint-Barnabé,70 rue Duguay Case postale 100 Saint-Barnabé QC G0X2K0,Syndicat régional des employés(es) municipaux de la Mauricie ,CSN,Grève,Services des administrations locales,8351,Mauricie,3,702,1999-05-31,2000-07-10,1998-12-31,407
AQ10046200,Coopérative de quilleurs et de quilleuses Le Dallo,770 rue Jolliet Case postale 111 Chicoutimi QC G7J2P8,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501,FTQ,Lock-out,Services de divertissements et de loisirs,9691,Saguenay--Lac-Saint-Jean,13,900,1999-05-31,1999-08-08,,70
AM10014753,UAP inc.,7025 rue Ontario Est  Montréal H1N2B3,Unifor,FTQ,Grève,"Commerces de gros de véhicules automobiles, pièces et accessoires",5529,Montréal,80,360,1999-06-08,1999-06-14,1999-01-31,7
AQ10034101,UAP inc.,7025 rue Ontario Est  Montréal H1N2B3,Unifor,FTQ,Grève,"Commerces de gros de véhicules automobiles, pièces et accessoires",5529,Capitale-Nationale,40,180,1999-06-08,1999-06-14,1999-01-31,7
AR10046947,CPNSSS - Centres hospitaliers publics,3700 rue Berri bureau 300 (8611) Montréal H2L4G9,Fédération des infirmières et infirmiers du Québec,Indépendant,Grève,Services de santé et services sociaux,8611,Toutes les régions,2518,57910,1999-06-15,1999-07-18,,34
AR10046955,CPNSSS - Centres d'hébergement et de soins de longue durée (CHP),3700 rue Berri bureau 300 (8614) Montréal H2L4G9,Fédération des infirmières et infirmiers du Québec,Indépendant,Grève,Services de santé et services sociaux,8627,Toutes les régions,143,3285,1999-06-15,1999-07-18,1998-06-30,34
AR10046960,CPNSSS - Centres locaux de services communautaires (CLSC),3700 rue Berri bureau 300 (8631) Montréal H2L4G9,Fédération des infirmières et infirmiers du Québec,Indépendant,Grève,Services de santé et services sociaux,8631,Toutes les régions,675,15525,1999-06-15,1999-07-18,,34
AR10046971,CPNSSS - Centres de réadaptation,3700 rue Berri bureau 300 (8622) Montréal H2L4G9,Fédération des infirmières et infirmiers du Québec,Indépendant,Grève,Services de santé et services sociaux,8622,Toutes les régions,8,180,1999-06-15,1999-07-18,1998-06-30,34
AR10046974,CPNSSS - Établissements privés conventionnés,3700 rue Berri bureau 300 (8627) Montréal H2L4G9,Fédération des infirmières et infirmiers du Québec,Indépendant,Grève,Services de santé et services sociaux,8627,Toutes les régions,46,1067,1999-06-15,1999-07-18,1998-06-30,34
AR10046978,CPNSSS - Centres de protection de l'enfance et de la jeunesse,3700 rue Berri bureau 300 (8229) Montréal H2L4G9,Fédération des infirmières et infirmiers du Québec,Indépendant,Grève,Services de santé et services sociaux,8625,Toutes les régions,3,65,1999-06-15,1999-07-18,1998-06-30,34
AQ10041354,Provigo (Maxi),400 avenue Sainte-Croix  Saint-Laurent H4N3L4,Syndicat des travailleuses et travailleurs en alimentation de Mont-Joli ,CSN,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Bas-Saint-Laurent,26,13782,1999-06-17,2000-12-03,1998-09-01,536
AM10024450,"Coopexcel, coopérative agricole",61 rue Sainte-Thérèse Granby QC  J2G7K2,Syndicat national des employés de bureau Coopexcel ,CSN,Grève,"Commerces de gros des articles de quincaillerie, de matériel de plomberie et de chauffage et des matériaux de construction",5621,Montérégie,6,3,1999-06-18,1999-06-20,1998-08-28,3
AM10030718,Alimentation Picard inc.,5415 Boulevard Laurier  Saint-Hyacinthe J2S3V6,Syndicat des employés en alimentation de Saint-Hyacinthe ,CSN,Lock-out,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Montérégie,35,35525,1999-06-21,2002-03-31,,1015
AQ10034835,La Caisse Populaire de Cabano,103 rue Commerciale  Cabano G0L1E0,Syndicat des travailleuses et travailleurs des  caisses populaires du Témiscouata ,CSN,Grève,Intermédiaires financiers de dépôts,7051,Bas-Saint-Laurent,12,348,1999-06-21,1999-08-02,1998-04-30,43
AM10015738,Société de la Place des Arts de Montréal,175 rue Sainte-Catherine Ouest  Montréal H2X1Z9,Alliance internationale des employés de scène de théâtre et des opérateurs de machines à vues animées des États-Unis et du Canada section locale 56 ,FTQ,Grève,Services de divertissements et de loisirs,9631,Montréal,94,55628,1999-06-22,2001-01-31,1999-02-28,590
AM10013487,Ville de Beloeil,777 rue Laurier  Beloeil J3G4S9,Syndicat des employé(e)s municipaux de Beloeil,CSN,Grève,Services des administrations locales,8351,Montérégie,81,81,1999-06-23,1999-06-23,1995-12-31,1
AM10009679,Ville de Malartic,Case postale 3090 Malartic (Québec)  J0Y1Z0,Syndicat canadien de la fonction publique section locale 335,FTQ,Grève,Services des administrations locales,8351,Abitibi-Témiscamingue,5,500,1999-06-28,1999-11-16,1999-03-01,142
AM10028905,Ville de Hampstead,5569 chemin Queen-Mary  Hampstead H3X2W7,Union des chauffeurs de camions hommes d'entrepôts et autres ouvriers Teamsters Québec section locale 106 ,FTQ,Grève,Services des administrations locales,8351,Montréal,12,24,1999-06-28,1999-06-29,,2
