NUMEROTATION,VARIABLES,REGION,2019_TOTAL_EFFECTIF,2018_TOTAL_EFFECTIF,2017_TOTAL_EFFECTIF,2016_TOTAL_EFFECTIF,2015_TOTAL_EFFECTIF,2014_TOTAL_EFFECTIF,2013_TOTAL_EFFECTIF,2012_TOTAL_EFFECTIF,2011_TOTAL_EFFECTIF,2010_TOTAL_EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
11,Nombre de personnes au 31 mars,11 - Gaspésie et Îles-de-la-Madeleine,3 674,3 758,3 820,3 939,4 036,4 074,4 051,4 042,4 067,3 987,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
12,Nombre de personnes au 31 mars,12 - Chaudière-Appalaches,12 002,11 768,11 515,11 473,11 585,11 600,11 621,11 495,11 432,11 400,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
13,Nombre de personnes au 31 mars,13 - Laval,10 261,9 995,9 425,9 338,9 124,9 041,8 864,8 849,8 747,8 644,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
14,Nombre de personnes au 31 mars,14 - Lanaudière,11 141,10 940,10 415,10 429,10 731,10 585,10 428,10 301,10 142,9 919,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
15,Nombre de personnes au 31 mars,15 - Laurentides,13 912,13 606,13 405,13 224,12 979,12 884,12 455,12 111,11 825,11 548,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
16,Nombre de personnes au 31 mars,16 - Montérégie,32 244,31 378,29 957,29 518,32 981,33 185,32 508,31 670,31 088,30 334,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
17,Nombre de personnes au 31 mars,17 - Nunavik,1 633,1 672,1 650,1 639,1 536,1 495,1 425,1 407,1 505,1 469,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
18,Nombre de personnes au 31 mars,18 - Terres-Cries-de-la-Baie-James,1 914,1 876,1 828,1 764,1 729,1 687,1 587,1 547,1 603,1 545,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
19,Nombre de personnes au 31 mars,Total,280 636,275 352,267 971,266 337,267 602,268 127,265 143,262 006,258 323,254 864,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
20,Nombre d'emploi au 31 mars,01 - Bas-Saint-Laurent,7 405,7 309,7 413,7 435,7 508,7 596,7 603,7 573,7 535,7 471,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
21,Nombre d'emploi au 31 mars,02 - Saguenay - Lac-Saint-Jean,10 254,10 184,10 053,10 023,10 088,10 101,10 062,10 059,9 910,9 842,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
22,Nombre d'emploi au 31 mars,03 - Capitale-Nationale,31 315,30 986,30 749,30 609,30 829,30 985,30 694,30 208,30 037,29 985,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
23,Nombre d'emploi au 31 mars,04 - Mauricie et Centre-du-Québec,17 328,16 797,16 693,16 547,16 557,16 684,16 431,16 092,15 807,15 509,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
24,Nombre d'emploi au 31 mars,05 - Estrie,16 838,16 468,16 235,16 062,12 862,12 837,12 445,12 189,11 958,11 759,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
25,Nombre d'emploi au 31 mars,06 - Montréal,94 301,92 333,89 862,88 776,89 073,89 588,89 757,89 834,88 335,87 578,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
26,Nombre d'emploi au 31 mars,07 - Outaouais,9 738,9 615,9 470,9 424,9 569,9 538,9 411,9 234,9 108,8 912,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
27,Nombre d'emploi au 31 mars,08 - Abitibi-Témiscamingue,5 506,5 532,5 750,5 672,5 736,5 752,5 683,5 628,5 606,5 503,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
28,Nombre d'emploi au 31 mars,09 - Côte-Nord,3 438,3 477,3 559,3 553,3 583,3 544,3 523,3 464,3 495,3 509,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
29,Nombre d'emploi au 31 mars,10 - Nord-du-Québec,605,603,645,652,647,642,645,639,615,621,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
30,Nombre d'emploi au 31 mars,11 - Gaspésie et Îles-de-la-Madeleine,3 681,3 801,3 881,3 988,4 072,4 120,4 088,4 079,4 111,4 036,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
31,Nombre d'emploi au 31 mars,12 - Chaudière-Appalaches,12 119,11 907,11 792,11 687,11 771,11 775,11 849,11 748,11 694,11 680,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
32,Nombre d'emploi au 31 mars,13 - Laval,10 506,10 218,9 701,9 594,9 361,9 280,9 105,9 132,9 034,8 918,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
33,Nombre d'emploi au 31 mars,14 - Lanaudière,11 290,11 136,10 545,10 570,10 860,10 733,10 558,10 480,10 341,10 166,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
34,Nombre d'emploi au 31 mars,15 - Laurentides,14 079,13 764,13 783,13 493,13 212,13 093,12 675,12 359,12 113,11 849,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
35,Nombre d'emploi au 31 mars,16 - Montérégie,32 789,31 907,30 595,30 084,33 494,33 741,33 070,32 275,31 731,30 997,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
36,Nombre d'emploi au 31 mars,17 - Nunavik,1 739,1 789,1 737,1 731,1 617,1 582,1 511,1 484,1 590,1 567,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
37,Nombre d'emploi au 31 mars,18 - Terres-Cries-de-la-Baie-James,1 935,1 900,1 858,1 785,1 742,1 710,1 610,1 567,1 621,1 563,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
38,Nombre d'emploi au 31 mars,Total,284 866,279 726,274 321,271 685,272 581,273 301,270 720,268 044,264 641,261 465,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
39,Nombre d'ETC par année financière,01 - Bas-Saint-Laurent,6 241,6 144,6 062,6 157,6 315,6 300,6 323,6 327,6 260,6 245,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
40,Nombre d'ETC par année financière,02 - Saguenay - Lac-Saint-Jean,8 739,8 511,8 313,8 311,8 489,8 468,8 393,8 430,8 293,8 215,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
41,Nombre d'ETC par année financière,03 - Capitale-Nationale,26 140,25 921,25 344,25 193,25 611,25 517,25 330,25 267,24 873,24 924,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
42,Nombre d'ETC par année financière,04 - Mauricie et Centre-du-Québec,14 230,13 840,13 481,13 499,13 703,13 667,13 473,13 385,13 117,12 997,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
43,Nombre d'ETC par année financière,05 - Estrie,13 868,13 545,13 273,13 252,10 708,10 554,10 289,10 134,9 820,9 768,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
44,Nombre d'ETC par année financière,06 - Montréal,76 142,74 314,72 516,72 074,72 619,72 551,72 643,72 770,71 369,70 742,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
45,Nombre d'ETC par année financière,07 - Outaouais,8 018,7 885,7 689,7 761,7 898,7 792,7 682,7 623,7 484,7 324,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
46,Nombre d'ETC par année financière,08 - Abitibi-Témiscamingue,4 542,4 600,4 646,4 650,4 764,4 729,4 677,4 743,4 663,4 591,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
47,Nombre d'ETC par année financière,09 - Côte-Nord,2 964,3 034,2 990,3 006,3 026,3 024,3 009,3 011,3 006,3 021,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
48,Nombre d'ETC par année financière,10 - Nord-du-Québec,519,543,558,557,555,557,566,553,533,538,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
49,Nombre d'ETC par année financière,11 - Gaspésie et Îles-de-la-Madeleine,3 144,3 202,3 251,3 325,3 432,3 410,3 437,3 481,3 419,3 393,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
50,Nombre d'ETC par année financière,12 - Chaudière-Appalaches,10 060,9 716,9 495,9 519,9 651,9 661,9 697,9 666,9 593,9 543,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
51,Nombre d'ETC par année financière,13 - Laval,8 357,8 150,7 600,7 500,7 457,7 328,7 283,7 298,7 106,7 016,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
52,Nombre d'ETC par année financière,14 - Lanaudière,9 219,8 774,8 539,8 746,8 907,8 773,8 615,8 603,8 407,8 222,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
53,Nombre d'ETC par année financière,15 - Laurentides,11 330,11 059,11 070,10 717,10 795,10 591,10 258,10 027,9 757,9 531,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
54,Nombre d'ETC par année financière,16 - Montérégie,26 465,25 559,24 534,24 360,27 453,27 184,26 636,26 372,25 764,25 212,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
55,Nombre d'ETC par année financière,17 - Nunavik,1 179,1 139,1 102,1 061,1 036,990,957,934,881,833,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
56,Nombre d'ETC par année financière,18 - Terres-Cries-de-la-Baie-James,1 513,1 409,1 332,1 259,1 250,1 180,1 144,1 122,1 092,1 011,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
57,Nombre d'ETC par année financière,Total,232 671,227 346,221 795,220 950,223 670,222 275,220 413,219 747,215 437,213 127,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
