NUMEROTATION,VARIABLES,CATEGORIE_SOUS-CATEGIE_PERSONNEL,2019_TOTAL_EFFECTIF,2018_TOTAL_EFFECTIF,2017_TOTAL_EFFECTIF,2016_TOTAL_EFFECTIF,2015_TOTAL_EFFECTIF,2014_TOTAL_EFFECTIF,2013_TOTAL_EFFECTIF,2012_TOTAL_EFFECTIF,2011_TOTAL_EFFECTIF,2010_TOTAL_EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
17,Nombre de personnes en emploi au 31 mars de l'année,33 - Professionnel de l'administration,3 963,3 759,3 427,3 101,3 099,2 997,2 833,2 705,2 633,2 531,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
18,Nombre de personnes en emploi au 31 mars de l'année,30 - Personnel de bureau  techniciens et professionnels de l'administration,40 358,39 358,37 835,37 181,37 948,38 227,38 221,37 872,37 716,37 302,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
19,Nombre de personnes en emploi au 31 mars de l'année,41 - Technicien de la santé,16 529,16 266,15 967,15 871,15 790,15 630,15 377,15 032,14 679,14 427,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
20,Nombre de personnes en emploi au 31 mars de l'année,42 - Professionnel de la santé,13 223,12 762,12 317,12 013,11 961,11 875,11 497,11 129,10 805,10 521,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
21,Nombre de personnes en emploi au 31 mars de l'année,43 - Technicien des services sociaux,15 233,14 827,14 330,14 338,14 421,14 444,14 275,14 170,14 057,13 870,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
22,Nombre de personnes en emploi au 31 mars de l'année,44 - Professionnel des services sociaux,17 921,17 429,16 945,16 638,16 540,16 338,16 110,15 867,15 455,15 073,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
23,Nombre de personnes en emploi au 31 mars de l'année,45 - Externe en technologie médicale,48,32,48,28,53,54,45,51,46,50,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
24,Nombre de personnes en emploi au 31 mars de l'année,40 - Techniciens et professionnels de la santé et des services sociaux,62 954,61 316,59 607,58 888,58 765,58 341,57 304,56 249,55 042,53 941,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
25,Nombre de personnes en emploi au 31 mars de l'année,51 - Pharmacien,1 693,1 649,1 613,1 607,1 576,1 512,1 461,1 455,1 414,1 372,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
26,Nombre de personnes en emploi au 31 mars de l'année,52 - Biochimiste clinique,66,63,65,66,59,61,57,59,78,89,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
27,Nombre de personnes en emploi au 31 mars de l'année,53 - Physicien,170,172,168,159,164,162,155,141,132,123,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
28,Nombre de personnes en emploi au 31 mars de l'année,54 - Sage-femme,211,212,208,204,184,172,160,144,132,102,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
29,Nombre de personnes en emploi au 31 mars de l'année,55 - Autres,0,0,0,0,0,0,0,0,0,0,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
30,Nombre de personnes en emploi au 31 mars de l'année,56 - Étudiant,78,50,36,47,57,89,94,133,138,144,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
31,Nombre de personnes en emploi au 31 mars de l'année,50 - Personnel non visé par la Loi 30,2 218,2 146,2 090,2 083,2 040,1 996,1 927,1 932,1 894,1 830,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
32,Nombre de personnes en emploi au 31 mars de l'année,61 - hors-cadre,124,125,150,191,258,320,330,321,342,343,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
33,Nombre de personnes en emploi au 31 mars de l'année,62 - Cadre supérieur,1 026,1 028,1 075,1 349,1 440,1 607,1 581,1 613,1 598,1 586,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
34,Nombre de personnes en emploi au 31 mars de l'année,63 - Cadre médecin,80,92,99,110,126,113,110,123,137,135,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
35,Nombre de personnes en emploi au 31 mars de l'année,64 - Cadre intermédiaire,8 054,8 082,8 142,8 582,9 223,9 921,9 952,9 825,9 751,9 548,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
36,Nombre de personnes en emploi au 31 mars de l'année,65 - Temporaire en situation de gestion,0,0,0,0,0,0,0,233,212,291,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
37,Nombre de personnes en emploi au 31 mars de l'année,60 - Personnel d'encadrement,9 284,9 327,9 466,10 232,11 047,11 961,11 973,12 115,12 040,11 903,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
38,Nombre de personnes en emploi au 31 mars de l'année,Total de personnes,280 636,275 352,267 971,266 337,267 602,268 127,265 143,262 006,258 323,254 864,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
41,Nombre d'emploi au 31 mars de l'année,11 - Infirmière,31 657,32 158,32 847,33 899,34 260,35 504,35 629,35 806,36 224,36 669,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
42,Nombre d'emploi au 31 mars de l'année,12 - Infirmière clinicienne et praticienne,27 993,26 137,24 520,22 732,21 835,19 908,18 759,17 971,16 874,16 147,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
43,Nombre d'emploi au 31 mars de l'année,13 - Inhalothérapeute,3 601,3 594,3 625,3 589,3 530,3 444,3 414,3 317,3 209,3 131,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
44,Nombre d'emploi au 31 mars de l'année,14 - Perfusionniste,77,75,75,73,72,63,70,60,57,57,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
45,Nombre d'emploi au 31 mars de l'année,15 - Infirmière auxiliaire,19 210,18 889,18 516,18 758,18 971,19 018,18 663,18 012,17 281,16 545,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
46,Nombre d'emploi au 31 mars de l'année,16 - Externe en soins infirmiers,89,113,72,67,109,115,134,89,140,148,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
47,Nombre d'emploi au 31 mars de l'année,17 - Externe en inhalothérapie,48,44,17,28,49,56,61,91,82,102,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
48,Nombre d'emploi au 31 mars de l'année,10 - Personnel en soins infirmiers et cardio-respiratoires,82 675,81 010,79 672,79 146,78 826,78 108,76 730,75 346,73 867,72 799,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
49,Nombre d'emploi au 31 mars de l'année,21 - Préposé aux bénéficiaires,42 340,42 363,40 912,40 259,40 242,40 630,40 369,39 999,39 573,39 186,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
50,Nombre d'emploi au 31 mars de l'année,22 - Auxiliaire familiale,6 275,6 287,6 296,6 307,6 410,6 346,6 114,6 006,5 837,5 822,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
51,Nombre d'emploi au 31 mars de l'année,23 - Autres paratechniques,9 761,8 856,8 494,8 496,8 411,8 304,8 179,8 098,7 904,7 691,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
52,Nombre d'emploi au 31 mars de l'année,24 - Services auxiliaires,25 782,25 744,25 480,25 127,25 162,25 608,25 939,26 033,26 176,26 293,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
53,Nombre d'emploi au 31 mars de l'année,25 - Métiers,1 510,1 465,1 427,1 367,1 407,1 405,1 424,1 426,1 426,1 450,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
54,Nombre d'emploi au 31 mars de l'année,20 - Personnel paratechnique  services auxiliaires et métiers,85 668,84 715,82 609,81 556,81 632,82 293,82 025,81 562,80 916,80 442,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
55,Nombre d'emploi au 31 mars de l'année,31 - Employé de bureau,30 059,29 440,28 626,28 284,28 823,29 159,29 430,29 372,29 384,29 230,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
56,Nombre d'emploi au 31 mars de l'année,32 - Technicien de l'administration,6 546,6 388,6 274,6 123,6 312,6 381,6 338,6 226,6 148,6 031,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
57,Nombre d'emploi au 31 mars de l'année,33 - Professionnel de l'administration,3 983,3 780,3 468,3 145,3 127,3 026,2 871,2 730,2 671,2 560,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
58,Nombre d'emploi au 31 mars de l'année,30 - Personnel de bureau  techniciens et professionnels de l'administration,40 588,39 608,38 368,37 552,38 262,38 566,38 639,38 328,38 203,37 821,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
59,Nombre d'emploi au 31 mars de l'année,41 - Technicien de la santé,16 936,16 793,16 740,16 495,16 382,16 237,16 041,15 702,15 355,15 134,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
60,Nombre d'emploi au 31 mars de l'année,42 - Professionnel de la santé,13 556,13 094,12 860,12 473,12 399,12 306,11 928,11 535,11 239,10 950,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
61,Nombre d'emploi au 31 mars de l'année,43 - Technicien des services sociaux,15 442,15 019,14 684,14 632,14 732,14 735,14 557,14 493,14 407,14 229,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
62,Nombre d'emploi au 31 mars de l'année,44 - Professionnel des services sociaux,18 227,17 738,17 516,17 051,16 960,16 757,16 546,16 278,15 979,15 598,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
63,Nombre d'emploi au 31 mars de l'année,45 - Externe en technologie médicale,48,33,54,28,53,54,46,53,46,52,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
64,Nombre d'emploi au 31 mars de l'année,40 - Techniciens et professionnels de la santé et des services sociaux,64 209,62 677,61 854,60 679,60 526,60 089,59 118,58 061,57 026,55 963,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
65,Nombre d'emploi au 31 mars de l'année,51 - Pharmacien,1 738,1 716,1 689,1 670,1 638,1 578,1 513,1 520,1 482,1 453,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
66,Nombre d'emploi au 31 mars de l'année,52 - Biochimiste clinique,66,63,66,70,63,62,58,60,81,91,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
67,Nombre d'emploi au 31 mars de l'année,53 - Physicien,172,173,170,160,165,163,156,142,133,124,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
68,Nombre d'emploi au 31 mars de l'année,54 - Sage-femme,218,221,215,210,197,178,167,150,141,106,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
69,Nombre d'emploi au 31 mars de l'année,55 - Autres,0,0,0,0,0,0,0,0,0,0,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
70,Nombre d'emploi au 31 mars de l'année,56 - Étudiant,79,51,36,48,58,90,96,140,142,155,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
71,Nombre d'emploi au 31 mars de l'année,50 - Personnel non visé par la Loi 30,2 273,2 224,2 176,2 158,2 121,2 071,1 990,2 012,1 979,1 929,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
72,Nombre d'emploi au 31 mars de l'année,61 - hors-cadre,125,126,151,200,258,321,333,325,347,348,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
73,Nombre d'emploi au 31 mars de l'année,62 - Cadre supérieur,1 035,1 032,1 085,1 405,1 450,1 622,1 600,1 631,1 621,1 612,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
74,Nombre d'emploi au 31 mars de l'année,63 - Cadre médecin,83,94,100,115,128,114,111,124,140,139,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
75,Nombre d'emploi au 31 mars de l'année,64 - Cadre intermédiaire,8 210,8 240,8 306,8 874,9 378,10 117,10 174,10 058,9 994,9 792,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
76,Nombre d'emploi au 31 mars de l'année,65 - Temporaire en situation de gestion,0,0,0,0,0,0,0,597,548,620,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
77,Nombre d'emploi au 31 mars de l'année,60 - Personnel d'encadrement,9 453,9 492,9 642,10 594,11 214,12 174,12 218,12 735,12 650,12 511,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
78,Nombre d'emploi au 31 mars de l'année,Total d'emploi,284 866,279 726,274 321,271 685,272 581,273 301,270 720,268 044,264 641,261 465,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
82,Nombre d'ETC lors de l'année financière se terminant ,11 - Infirmière,24 965,25 376,25 861,26 769,27 164,28 077,28 322,28 790,28 878,29 862,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
83,Nombre d'ETC lors de l'année financière se terminant ,12 - Infirmière clinicienne et praticienne,23 181,21 712,20 269,18 816,18 059,16 354,15 398,14 915,13 932,13 489,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
84,Nombre d'ETC lors de l'année financière se terminant ,13 - Inhalothérapeute,3 039,3 018,2 953,2 914,2 892,2 835,2 793,2 739,2 624,2 578,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
85,Nombre d'ETC lors de l'année financière se terminant ,14 - Perfusionniste,68,67,68,64,66,59,59,49,46,46,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
86,Nombre d'ETC lors de l'année financière se terminant ,15 - Infirmière auxiliaire,15 080,14 732,14 354,14 546,14 840,14 814,14 551,14 218,13 623,13 155,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
87,Nombre d'ETC lors de l'année financière se terminant ,16 - Externe en soins infirmiers,86,85,84,83,112,126,151,171,167,158,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
