NUMEROTATION,VARIABLES,CATEGORIE_SOUS-CATEGORIE_PERSONNEL,2019_TOTAL_EFFECTIF_TCR,2019_TOTAL_EFFECTIF_TPR,2019_TOTAL_EFFECTIF_TPO,2019_TOTAL EFFECTIF,2018_TOTAL_EFFECTIF_TCR,2018_TOTAL_EFFECTIF_TPR,2018_TOTAL_EFFECTIF_TPO,2018_TOTAL EFFECTIF,2017_TOTAL_EFFECTIF_TCR,2017_TOTAL_EFFECTIF_TPR,2017_TOTAL_EFFECTIF_TPO,2017_TOTAL EFFECTIF,2016_TOTAL_EFFECTIF_TCR,2016_TOTAL_EFFECTIF_TPR,2016_TOTAL_EFFECTIF_TPO,2016_TOTAL EFFECTIF,2015_TOTAL_EFFECTIF_TCR,2015_TOTAL_EFFECTIF_TPR,2015_TOTAL_EFFECTIF_TPO,2015_TOTAL EFFECTIF,2014_TOTAL_EFFECTIF_TCR,2014_TOTAL_EFFECTIF_TPR,2014_TOTAL_EFFECTIF_TPO,2014_TOTAL EFFECTIF,2013_TOTAL_EFFECTIF_TCR,2013_TOTAL_EFFECTIF_TPR,2013_TOTAL_EFFECTIF_TPO,2013_TOTAL EFFECTIF,2012_TOTAL_EFFECTIF_TCR,2012_TOTAL_EFFECTIF_TPR,2012_TOTAL_EFFECTIF_TPO,2012_TOTAL EFFECTIF,2011_TOTAL_EFFECTIF_TCR,2011_TOTAL_EFFECTIF_TPR,2011_TOTAL_EFFECTIF_TPO,2011_TOTAL EFFECTIF,2010_TOTAL_EFFECTIF_TCR,2010_TOTAL_EFFECTIF_TPR,2010_TOTAL_EFFECTIF_TPO,2010_TOTAL EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
11,Nombre d'emplois au 31 mars,23 - Autres paratechniques,4 450,1 809,3 502,9 761,4 196,1 722,2 938,8 856,4 207,1 757,2 530,8 494,4 212,1 822,2 462,8 496,4 165,1 759,2 487,8 411,4 107,1 709,2 488,8 304,3 926,1 704,2 549,8 179,3 667,1 514,2 917,8 098,3 553,1 547,2 804,7 904,3 512,1 453,2 726,7 691,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
12,Nombre d'emplois au 31 mars,24 - Services auxiliaires,10 645,6 480,8 657,25 782,10 433,6 491,8 820,25 744,10 577,6 790,8 113,25 480,10 586,7 103,7 438,25 127,10 688,7 072,7 402,25 162,10 677,7 150,7 781,25 608,10 697,7 143,8 099,25 939,10 467,6 655,8 911,26 033,10 411,6 661,9 104,26 176,10 403,6 652,9 238,26 293,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
13,Nombre d'emplois au 31 mars,25 - Métiers,1 352,52,106,1 510,1 315,51,99,1 465,1 282,53,92,1 427,1 239,47,81,1 367,1 255,53,99,1 407,1 246,56,103,1 405,1 266,60,98,1 424,1 231,25,170,1 426,1 232,23,171,1 426,1 239,28,183,1 450,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
14,Nombre d'emplois au 31 mars,20 - Personnel paratechnique  services auxiliaires et métiers,33 071,26 336,26 261,85 668,31 799,26 375,26 541,84 715,31 578,26 822,24 209,82 609,31 711,27 561,22 284,81 556,31 696,27 427,22 509,81 632,31 513,26 969,23 811,82 293,31 184,26 716,24 125,82 025,29 951,24 800,26 811,81 562,29 395,24 350,27 171,80 916,28 992,23 974,27 476,80 442,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
15,Nombre d'emplois au 31 mars,31 - Employé de bureau,16 962,4 168,8 929,30 059,16 359,4 045,9 036,29 440,15 775,4 285,8 566,28 626,15 965,4 506,7 813,28 284,16 259,4 728,7 836,28 823,16 441,4 851,7 867,29 159,16 152,4 838,8 440,29 430,15 051,4 280,10 041,29 372,14 982,4 323,10 079,29 384,14 806,4 324,10 100,29 230,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
16,Nombre d'emplois au 31 mars,32 - Technicien de l'administration,5 751,305,490,6 546,5 614,305,469,6 388,5 462,327,485,6 274,5 372,329,422,6 123,5 545,338,429,6 312,5 587,378,416,6 381,5 519,372,447,6 338,5 034,246,946,6 226,4 954,224,970,6 148,4 861,222,948,6 031,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
17,Nombre d'emplois au 31 mars,33 - Professionnel de l'administration,3 717,107,159,3 983,3 514,106,160,3 780,3 204,109,155,3 468,2 873,129,143,3 145,2 842,132,153,3 127,2 779,111,136,3 026,2 590,125,156,2 871,2 161,87,482,2 730,2 132,84,455,2 671,2 037,84,439,2 560,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
18,Nombre d'emplois au 31 mars,30 - Personnel de bureau  techniciens et professionnels de l'administration,26 430,4 580,9 578,40 588,25 487,4 456,9 665,39 608,24 441,4 721,9 206,38 368,24 210,4 964,8 378,37 552,24 646,5 198,8 418,38 262,24 807,5 340,8 419,38 566,24 261,5 335,9 043,38 639,22 246,4 613,11 469,38 328,22 068,4 631,11 504,38 203,21 704,4 630,11 487,37 821,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
19,Nombre d'emplois au 31 mars,41 - Technicien de la santé,10 442,2 904,3 590,16 936,10 228,2 808,3 757,16 793,10 039,2 852,3 849,16 740,10 029,2 881,3 585,16 495,10 022,2 900,3 460,16 382,9 912,2 889,3 436,16 237,9 646,2 900,3 495,16 041,8 815,2 621,4 266,15 702,8 611,2 626,4 118,15 355,8 418,2 610,4 106,15 134,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
20,Nombre d'emplois au 31 mars,42 - Professionnel de la santé,9 112,2 672,1 772,13 556,8 734,2 464,1 896,13 094,8 420,2 534,1 906,12 860,8 326,2 562,1 585,12 473,8 377,2 516,1 506,12 399,8 312,2 456,1 538,12 306,8 083,2 389,1 456,11 928,6 704,2 028,2 803,11 535,6 518,1 984,2 737,11 239,6 279,1 948,2 723,10 950,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
21,Nombre d'emplois au 31 mars,43 - Technicien des services sociaux,8 639,2 165,4 638,15 442,8 331,2 078,4 610,15 019,8 190,2 088,4 406,14 684,8 398,2 154,4 080,14 632,8 485,2 143,4 104,14 732,8 555,2 086,4 094,14 735,8 439,2 091,4 027,14 557,7 420,1 876,5 197,14 493,7 334,1 932,5 141,14 407,7 159,1 897,5 173,14 229,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
22,Nombre d'emplois au 31 mars,44 - Professionnel des services sociaux,12 535,2 821,2 871,18 227,12 033,2 734,2 971,17 738,11 757,2 844,2 915,17 516,11 775,2 789,2 487,17 051,11 775,2 742,2 443,16 960,11 593,2 781,2 383,16 757,11 425,2 695,2 426,16 546,9 482,2 264,4 532,16 278,9 204,2 283,4 492,15 979,8 968,2 255,4 375,15 598,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
23,Nombre d'emplois au 31 mars,45 - Externe en technologie médicale,       ,       ,48,48,       ,       ,33,33,       ,       ,54,54,       ,       ,28,28,       ,1,52,53,       ,       ,54,54,       ,       ,46,46,       ,       ,53,53,       ,       ,46,46,       ,       ,52,52,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
24,Nombre d'emplois au 31 mars,40 - Techniciens et professionnels de la santé et des services sociaux,40 728,10 562,12 919,64 209,39 326,10 084,13 267,62 677,38 406,10 318,13 130,61 854,38 528,10 386,11 765,60 679,38 659,10 302,11 565,60 526,38 372,10 212,11 505,60 089,37 593,10 075,11 450,59 118,32 421,8 789,16 851,58 061,31 667,8 825,16 534,57 026,30 824,8 710,16 429,55 963,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
25,Nombre d'emplois au 31 mars,51 - Pharmacien,1 240,348,150,1 738,1 173,367,176,1 716,1 154,371,164,1 689,1 144,344,182,1 670,1 119,345,174,1 638,1 059,341,178,1 578,1 013,325,175,1 513,926,249,345,1 520,895,237,350,1 482,888,236,329,1 453,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
26,Nombre d'emplois au 31 mars,52 - Biochimiste clinique,64,1,1,66,63,       ,       ,63,65,       ,1,66,64,1,5,70,58,1,4,63,61,       ,1,62,56,       ,2,58,56,       ,4,60,65,1,15,81,73,1,17,91,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
27,Nombre d'emplois au 31 mars,53 - Physicien,162,6,4,172,161,7,5,173,161,6,3,170,153,5,2,160,153,11,1,165,156,7,       ,163,149,7,       ,156,136,3,3,142,128,3,2,133,116,2,6,124,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
28,Nombre d'emplois au 31 mars,54 - Sage-femme,53,84,81,218,54,73,94,221,49,80,86,215,52,71,87,210,51,73,73,197,46,66,66,178,43,58,66,167,26,32,92,150,21,26,94,141,18,20,68,106,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
29,Nombre d'emplois au 31 mars,55 - Autres,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
30,Nombre d'emplois au 31 mars,56 - Étudiant,       ,       ,79,79,       ,       ,51,51,       ,       ,36,36,1,       ,47,48,       ,       ,58,58,       ,       ,90,90,3,       ,93,96,       ,1,139,140,       ,       ,142,142,1,       ,154,155,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
31,Nombre d'emplois au 31 mars,50 - Personnel non visé par la Loi 30,1 519,439,315,2 273,1 451,447,326,2 224,1 429,457,290,2 176,1 414,421,323,2 158,1 381,430,310,2 121,1 322,414,335,2 071,1 264,390,336,1 990,1 144,285,583,2 012,1 109,267,603,1 979,1 096,259,574,1 929,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
32,Nombre d'emplois au 31 mars,61 - hors-cadre,124,1,       ,125,125,1,       ,126,148,3,       ,151,199,1,       ,200,256,1,1,258,317,4,       ,321,326,5,2,333,316,5,4,325,338,3,6,347,339,3,6,348,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
33,Nombre d'emplois au 31 mars,62 - Cadre supérieur,998,29,8,1 035,1 003,26,3,1 032,1 046,33,6,1 085,1 345,38,22,1 405,1 380,57,13,1 450,1 534,71,17,1 622,1 496,84,20,1 600,1 536,70,25,1 631,1 521,70,30,1 621,1 535,50,27,1 612,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
34,Nombre d'emplois au 31 mars,63 - Cadre médecin,39,37,7,83,38,46,10,94,39,53,8,100,49,49,17,115,61,53,14,128,67,41,6,114,70,39,2,111,70,46,8,124,76,51,13,140,75,53,11,139,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
35,Nombre d'emplois au 31 mars,64 - Cadre intermédiaire,7 611,446,153,8 210,7 636,438,166,8 240,7 671,464,171,8 306,8 106,513,255,8 874,8 517,612,249,9 378,9 138,708,271,10 117,9 051,748,375,10 174,8 866,729,463,10 058,8 810,718,466,9 994,8 651,719,422,9 792,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
36,Nombre d'emplois au 31 mars,65 - Temporaire en situation de gestion,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,458,34,105,597,403,38,107,548,454,31,135,620,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
37,Nombre d'emplois au 31 mars,60 - Personnel d'encadrement,8 772,513,168,9 453,8 802,511,179,9 492,8 904,553,185,9 642,9 699,601,294,10 594,10 214,723,277,11 214,11 056,824,294,12 174,10 943,876,399,12 218,11 246,884,605,12 735,11 148,880,622,12 650,11 054,856,601,12 511,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
38,Nombre d'emplois au 31 mars,Nombre total d'emploi au 31 mars de l'année ,151 848,79 401,53 617,284 866,146 661,78 400,54 665,279 726,143 800,78 691,51 830,274 321,144 851,79 093,47 741,271 685,145 638,78 696,48 247,272 581,145 406,78 165,49 730,273 301,142 280,77 444,50 996,270 720,131 609,70 775,65 660,268 044,129 042,70 011,65 588,264 641,126 451,68 333,66 681,261 465,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
40,Nombre d'ETC dans l'année financière,11 - Infirmière,13 767,10 086,1 113,24 965,13 960,10 213,1 202,25 376,14 447,10 257,1 157,25 861,15 169,10 442,1 158,26 769,15 414,10 409,1 341,27 164,15 873,10 765,1 438,28 077,15 840,10 958,1 525,28 322,15 121,10 490,3 179,28 790,14 936,10 811,3 131,28 878,15 351,10 974,3 536,29 862,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
41,Nombre d'ETC dans l'année financière,12 - Infirmière clinicienne et praticienne,15 687,6 997,497,23 181,14 546,6 667,500,21 712,13 619,6 196,454,20 269,12 977,5 393,446,18 816,12 599,5 006,454,18 059,11 487,4 428,439,16 354,10 658,4 242,498,15 398,9 853,3 826,1 237,14 915,9 234,3 546,1 152,13 932,8 906,3 357,1 227,13 489,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
42,Nombre d'ETC dans l'année financière,13 - Inhalothérapeute,1 735,1 223,81,3 039,1 672,1 239,106,3 018,1 607,1 243,103,2 953,1 579,1 254,81,2 914,1 563,1 241,88,2 892,1 513,1 215,107,2 835,1 480,1 190,123,2 793,1 388,1 126,225,2 739,1 287,1 120,216,2 624,1 241,1 101,236,2 578,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
43,Nombre d'ETC dans l'année financière,14 - Perfusionniste,63,2,2,68,64,3,1,67,65,3,1,68,58,5,1,64,61,3,2,66,53,4,2,59,52,5,2,59,43,2,3,49,41,2,4,46,40,2,4,46,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
44,Nombre d'ETC dans l'année financière,15 - Infirmière auxiliaire,6 519,8 170,390,15 080,6 221,8 128,384,14 732,6 073,7 916,365,14 354,6 162,8 012,372,14 546,6 334,8 059,447,14 840,6 206,8 104,504,14 814,6 015,8 038,497,14 551,5 564,7 471,1 182,14 218,5 294,7 109,1 220,13 623,5 040,6 554,1 561,13 155,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
45,Nombre d'ETC dans l'année financière,16 - Externe en soins infirmiers,       ,2,85,86,       ,       ,84,85,       ,0,84,84,       ,0,83,83,       ,       ,112,112,1,       ,125,126,3,       ,148,151,       ,       ,171,171,       ,       ,167,167,       ,0,158,158,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
46,Nombre d'ETC dans l'année financière,17 - Externe en inhalothérapie,0,0,17,18,       ,       ,11,11,       ,       ,7,7,       ,       ,10,10,       ,       ,15,15,       ,       ,21,21,       ,0,19,20,       ,       ,30,30,       ,0,31,31,       ,       ,44,44,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
47,Nombre d'ETC dans l'année financière,10 - Personnel en soins infirmiers et cardio-respiratoires,37 771,26 480,2 186,66 437,36 463,26 250,2 287,65 001,35 811,25 615,2 170,63 596,35 945,25 106,2 150,63 202,35 972,24 718,2 459,63 148,35 132,24 517,2 635,62 285,34 047,24 433,2 812,61 292,31 969,22 916,6 027,60 912,30 792,22 588,5 921,59 301,30 577,21 988,6 766,59 332,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
