"Numéro d'appel d'offres","Production du Décompte final","Nature principale","Description","Date d'octroi","Valeur Contrat","Décomptes finals","Pourcentage dépensé","Quantités excédentaires","Pourcentage sur le total des contingences (Quantités excédentaires)","Items supplémentaires","Pourcentage sur le total des contingences (Item supplémentaires)","Contingences totales","Pourcentage de contingences"
210901,2013-10-07,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE SUR LA RUE HOCHELAGA, ENTRE LES RUES PARTHENAIS ET FULLUM.  ARRONDISSEMENT: MERCIER-HOCHELAGA-MAISONNEUVE.																		
",2012-09-10,"28 750,00","24 928,00","0,867061","-","0,000000","1 870,00","1,000000","1 870,00","0,075016"
257602,2013-10-09,"CHAU","PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, SUR LE BOULEVARD RAY LAWSON ENTRE LE BOULEVARD HENRI-BOURASSA EST ET LE 4E CROISSANT.  ARRONDISSEMENT: ANJOU.  (P.R.R. 2012 - ARTÉRIEL).",2012-09-24,"694 556,50","565 878,85","0,814734","9 745,00","0,736901","3 479,30","0,263099","13 224,30","0,023369"
230401,2013-10-15,"DIVR","CONSTRUCTION DE TROTTOIRS, DE BORDURES, D'UN MAIL CENTRAL, D'ÉGOUTS PLUVIAL ET SANITAIRE, D'UN AQUEDUC, DE LA CHAUSSÉE, FOURNITURE ET INSTALLATION D'UN SYSTÈME D'ÉCLAIRAGE DANS LE PROLONGEMENT DE LA 56E RUE, À L'OUEST DU BOULEVARD PIE-IX.ARRONDISSEMENT: V",2012-01-23,"1 195 896,35","1 063 534,89","0,889320","18 199,12","0,434365","23 699,07","0,565635","41 898,19","0,039395"
252302,2013-10-15,"EGOU","CONSTRUCTION D'UN ÉGOUT UNITAIRE DANS LA RUE VILLENEUVE, DE LA RUE HUTCHISON À L'AVENUE DU PARC.  ARRONDISSEMENT: LE PLATEAU-MONT-ROYAL.",2012-06-06,"234 685,00","196 368,01","0,836730","-","0,000000","9 577,61","1,000000","9 577,61","0,048774"
1152,2013-10-17,"EGOU","RECONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS LA 24E AVENUE, DE LA 45E RUE À LA 48E RUE. ARRONDISSEMENT: VILLERAY-SAINT-MICHEL-PARC-EXTENSION.",2011-08-22,"628 850,00","569 299,07","0,905302","14 476,80","0,363457","25 354,06","0,636543","39 830,86","0,069965"
1202,2013-10-28,"DIVR","RÉAMÉNAGEMENT DE L'AUTOROUTE BONAVENTURE À L'ENTRÉE DU CENTRE VILLE, LÀ OÙ REQUIS, DANS LES RUE DUKE ET NAZARETH, DE LA RUE WELLINGTON À LA RUE SAINT-PAUL.  ARRONDISSEMENTS : VILLE-MARIE ET LE SUD-OUEST.
",2011-09-28,"2 204 769,73","1 891 416,25","0,857875","283 896,56","0,422252","388 443,41","0,577748","672 339,97","0,355469"
210001,2013-11-19,"DIVR","RÉAMÉNAGEMENT GÉOMÉTRIQUE DE L'INTERSECTION DE LA RUE SAINT-JACQUES ET LE CHEMIN  UPPER-LACHINE, INCLUANT LA DÉMOLITION DE LA STRUCTURE ÉTAGÉE, LA CONSTRUCTION DE TROTTOIRS, DE BORDURES, DE CHAUSSÉE, INSTALLATION DE FEUX DE CIRCULATION ET DÉPLACEMENT DE L",2012-08-21,"1 353 517,60","931 221,79","0,688001","161 614,83","0,810417","37 807,04","0,189583","199 421,87","0,214151"
252501,2013-11-20,"TROT","RECONSTRUCTION DES TROTTOIRS, BORDURES ET MAIL CENTRAUX, LÀ OÙ REQUIS, DANS LE CHEMIN DE LA CÔTE-DE-LIESSE ET LA 32E AVENUE, DANS LES LIMITES DÉCRITES AUX BORDEREAUX DE SOUMISSION.  ARRONDISSEMENT: LACHINE.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-06-06,"268 482,50","252 599,80","0,940843","23 911,80","0,721539","9 228,20","0,278461","33 140,00","0,131196"
1220,2013-11-21,"SIGN","RÉFECTION DE FEUX DE CIRCULATION EXISTANTS ET L'IMPLANTATION DE NOUVEAUX FEUX DE CIRCULATION AUX INTERSECTIONS DU BOULEVARD CAVENDISH, ENTRE LE BOULEVARD THIMENS ET LA RUE DES OUTARDES.  ARRONDISSEMENT: SAINT-LAURENT.",2011-12-07,"172 335,46","163 978,60","0,951508","13 671,20","0,899362","1 529,80","0,100638","15 201,00","0,092701"
1181,2013-11-26,"TROT","RECONSTRUCTION DES TROTTOIRS, LÀ OÙ REQUIS, DANS L'AVENUE PAPINEAU, DE LA RUE DE BELLECHASSE À LA RUE SAINT-ZOTIQUE.
ARRONDISSEMENT: ROSEMONT-LA PETITE-PATRIE.  CONTRAT XXI (P.R.R. 2011 - RÉSEAU ARTÉRIEL).",2011-08-22,"630 943,00","537 235,03","0,851479","12 883,64","0,693916","5 682,92","0,306084","18 566,56","0,034559"
223401,2013-11-27,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE POUR LA RUE BEAUBIEN ENTRE LE BOULEVARD GALERIES D'ANJOU ET LA RUE DES ROSERAIES INCLUANT LA CONSTRUCTION DE BASES ET CONDUITS.  ARRONDISSEMENT: ANJOU.",2012-07-20,"68 664,78","56 626,85","0,824686","3 906,75","0,652773","2 078,10","0,347227","5 984,85","0,105689"
1203,2013-11-29,"CONS","CONSTRUCTION D'UNE SURFACE DE ROULEMENT EN BÉTON COMPACTÉ AU ROULEAU (B.C.R.) SUR LE SITE DU DÉPÔT À NEIGE THIMENS ET CONSTRUCTION D'UNE SURFACE DE ROULEMENT EN ENROBÉS BITUMINEUX SUR LE SITE DE LA CHUTE À NEIGE SUR LA RUE DE LA SALLE. ARRONDISSEMENTS: SA",2011-09-26,"1 327 250,10","1 168 485,31","0,880381","2 638,97","1,666745","-1 055,66","-0,666745","1 583,31","0,001355"
1232,2013-12-03,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA 8E AVENUE, ENTRE LA RUE DENIS-PAPIN ET L'AVENUE ÉMILE-JOURNEAULT.  ARRONDISSEMENT: VILLERAY-SAINT-MICHEL-PARC EXTENSION.",2012-05-14,"1 022 488,50","967 853,06","0,946566","14 518,81","0,225613","49 833,98","0,774387","64 352,79","0,066490"
1226,2013-12-06,"CHAU","RECONSTRUCTION DE TROTTOIRS, LÀ OÙ REQUIS, SUR DIFFÉRENTES RUES DE LA VILLE DE MONTRÉAL.  ARRONDISSEMENTS: OUTREMONT, LASALLE, VILLERAY-SAINT-MICHEL-PARC-EXTENSION, LE SUD-OUEST, PIERREFONDS-ROXBORO, SAINT-LAURENT ET LACHINE.  CONTRAT TGC-02 (P.R.R. 2011 ",2012-03-28,"428 681,00","329 278,20","0,768119","34 267,20","0,989661","358,00","0,010339","34 625,20","0,105155"
232702,2013-12-06,"PAVA","PLANAGE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LE BOULEVARD VIAU DU BOULEVARD DES GRANDES-PRAIRIES À 210 MÈTRES AU NORD DU BOULEVARD DES GRANDES-PRAIRIES.  ARRONDISSEMENT: SAINT-LÉONARD.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-08-15,"116 347,00","102 721,05","0,882885","9 231,05","0,941843","570,00","0,058157","9 801,05","0,095414"
1182,2013-12-10,"PAVA","PLANAGE DE CHAUSSÉE D'ASPHALTE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS L'AVENUE PAPINEAU, DE LA RUE DE BELLECHASSE À LA RUE SAINT-ZOTIQUE.  ARRONDISSEMENT: ROSEMONT-LA PETITE-PATRIE. CONTRAT XXI.  (P.R.R. 2011 - RÉSEAU ARTÉRIEL).",2012-03-19,"503 558,00","459 262,36","0,912035","-","0,000000","30 291,20","1,000000","30 291,20","0,065956"
255401,2013-12-10,"PAVA","PULVÉRISATION/STABILISATION AU BITUME-CIMENT ET REVÊTEMENT BITUMINEUX, DANS LE CHEMIN DE L'ANSE À L'ORME, DANS LES LIMITES DE L'ARRONDISSEMENT.  ARRONDISSEMENT: PIERREFONDS-ROXBORO.  (P.R.R. 2012 - COLLECTRICES).",2012-08-21,"633 804,71","492 172,92","0,776537","-","0,000000","5 098,60","1,000000","5 098,60","0,010359"
264407,2013-12-12,"PAVA","PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LE BOULEVARD DE LA ROUSSELIÈRE, CÔTÉ OUEST, DE LA RUE VICTORIA À LA RUE FORSYTH.  ARRONDISSEMENT: RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES. (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-08-15,"230 285,00","155 845,61","0,676751","2 200,00","0,624271","1 324,11","0,375729","3 524,11","0,022613"
101502,2013-12-13,"LAMP","FOURNITURE DE LUMINAIRES. VILLE: MONTRÉAL.",2013-07-19,"1 860,00","1 860,00","1,000000","-","-","-","-","0,00","0,000000"
232701,2014-01-07,"TROT","RECONSTRUCTION DES TROTTOIRS, BORDURES, MAIL CENTRAL ET MISE AUX NORMES DES FEUX DE CIRCULATION. LÀ OÙ REQUIS, DANS LE BOULEVARD VIAU DU BOULEVARD DES GRANDES-PRAIRIES À 210 MÈTRES AU NORD DU BOULEVARD DES GRANDES-PRAIRIES.  ARRONDISSEMENT: SAINT-LÉONARD ",2012-08-08,"135 893,50","86 150,00","0,633952","-","0,000000","4 381,95","1,000000","4 381,95","0,050864"
277401,2014-01-08,"PAVA","PLANAGE DE RIVE EN ANGLE ET REHAUSSEMENT DE CHAUSSÉE (50 MM), LÀ OÙ REQUIS, DANS LA RUE SAINT-PATRICK, D'UN POINT À L'OUEST DE LA RUE LÉGER À LA RUE LÉGER.  ARRONDISSEMENT: LASALLE.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-09-12,"343 846,25","292 521,63","0,850734","33 738,51","0,786226","9 173,45","0,213774","42 911,96","0,146697"
264801,2014-01-13,"LAMP","FOURNITURE, INSTALLATION ET ENLÈVEMENT DE MOBILIER D'ÉCLAIRAGE DE RUE AU CARREFOUR GIRATOIRE DES RUES NOTRE-DAME ET SHERBROOKE.  ARRONDISSEMENT: RIVIÈRES-DES-PRAIRIES-POINTE-AUX-TREMBLES.",2012-09-25,"33 988,25","30 200,00","0,888542","-","-","1 470,00","1,000000","1 470,00","0,048675"
227203,2014-01-15,"PAVA","FOURNITURE DE CONSOLES.",2012-07-04,"61 512,00","55 920,00","0,909091","-","-","-","-","0,00","0,000000"
1230,2014-01-20,"TROT","RECONSTRUCTION DE TROTTOIRS, LÀ OÙ REQUIS, DANS LE BOULEVARD RENÉ-LÉVESQUE, DE L'AVENUE DE LORIMIER À LA RUE PARTHENAIS.
CONTRAT TGA-01 (P.R.R. 2011 - CENTRE-VILLE).",2011-12-07,"96 079,50","88 289,04","0,918917","1 882,50","0,191231","7 961,60","0,808769","9 844,10","0,111499"
218701,2014-01-20,"ACQU","INSTALLATION DES COMPTEURS POUR VÉLOS.  ARRONDISSEMENTS: ROSEMONT-LA PETITE-PATRIE, VILLE-MARIE ET LE PLATEAU MONT-ROYAL.",2012-04-25,"46 320,00","39 800,00","0,859240","200,00","0,166667","1 000,00","0,833333","1 200,00","0,030151"
1148,2014-02-06,"TROT","CONSTRUCTION DE CHAUSSÉE RIGIDE, CONSTRUCTION DES TROTTOIRS ARCHITECTURAUX, FINI AU JET DE SABLE OU À L'EAU, MISE EN PLACE DE BORDURES, DE DALLES, DE MARCHES DE GRANITE, ET DES BLOCS DE PIERRE DE CALCAIRE POUR LE RÉAMÉNAGEMENT GÉOMÉTRIQUE DE LA RUE SHERBR",2011-06-22,"1 314 975,00","776 615,79","0,590594","58 628,20","0,578565","42 705,64","0,421435","101 333,84","0,130481"
1184,2014-02-07,"CYCL","CONSTRUCTION DE MAILS ET DE SAILLIES, INCLUANT LES TRAVAUX DE FEUX DE SIGNALISATION, LÀ OÙ REQUIS, DANS LA RUE RACHEL, DE L'AVENUE DE L'ESPLANADE À LA RUE BOYER.  ARRONDISSEMENT: LE PLATEAU-MONT-ROYAL. (DÉVELOPPEMENT DU RÉSEAU CYCLABLE - 2011).",2011-09-28,"1 241 915,70","885 107,54","0,712695","77 558,01","0,573395","57 703,11","0,426605","135 261,12","0,152819"
1168,2014-02-11,"PAVA","PLANAGE DE CHAUSSÉE D'ASPHALTE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LA VOIE CAMILLIEN-HOUDE, LES CHEMINS REMEMBRANCE ET CÔTE-SAINTE-CATHERINE ET L'AVENUE DU PARC, ET RÉAMÉNAGEMENT GÉOMÉTRIQUE DE L'INTERSECTION MONT-ROYAL ET CÔTE-SAINTE-CATHERINE, ",2011-06-22,"1 593 885,28","1 234 421,46","0,774473","10 625,63","0,182028","47 748,04","0,817972","58 373,67","0,047288"
1228,2014-02-19,"EGOU","RECONSTRUCTION D¿UN ÉGOUT UNITAIRE (COMBINÉ) DANS LA RUE JARRY ENTRE LA 22E AVENUE ET LE BOULEVARD PIE-IX ET CONSTRUCTION D¿UNE CONDUITE D¿EAU SECONDAIRE DANS LA RUE PAUL-HUET, ENTRE LA 22E AVENUE ET LE BOULEVARD PIE-IX.  ARRONDISSEMENT : VILLERAY-SAINT-M",2012-05-09,"232 650,00","144 880,55","0,622740","-","-","3 901,37","1,000000","3 901,37","0,026928"
200201,2014-02-19,"EGOU","RECONSTRUCTION D'UN ÉGOUT COMBINÉ (UNITAIRE) ET D'UNE CONDUITE D'EAU SECONDAIRE DANS L'AVENUE ÉMILE-LEGRAND, D'UN POINT AU SUD DE L'AVENUE PIERRE-DE-COUBERTIN À LA RUE HOCHELAGA.  ARRONDISSEMENT: MERCIER-HOCHELAGA-MAISONNEUVE.",2012-03-21,"382 520,60","327 821,18","0,857003","778,35","0,099850","7 016,85","0,900150","7 795,20","0,023779"
223302,2014-02-25,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE AU COIN DES RUES ATWATER, CENTRE ET D'ARGENSON.  ARRONDISSEMENT: LE SUD-OUEST.",2012-11-16,"29 786,44","26 539,06","0,890978","2 150,00","1,880094","-1 006,44","-0,880094","1 143,56","0,043090"
258101,2014-02-25,"LAMP","FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE DE RUE SUR LA RUE LAURIER ENTRE LES RUES SAINT-DENIS ET SAINT-HUBERT.  ARRONDISSEMENT: LE PLATEAU MONT-ROYAL.",2012-09-10,"131 137,95","115 185,47","0,878353","1 984,37","0,389360","3 112,12","0,610640","5 096,49","0,044246"
257601,2014-03-03,"TROT","RECONSTRUCTION DE TROTTOIRS, DE BORDURES, DE MAILS CENTRAUX, D'ÎLOTS ET TRAVAUX D'ÉCLAIRAGE, LÀ OÙ REQUIS, SUR LE BOULEVARD RAY LAWSON ENTRE 4E CROISSANT AU BOULEVARD HENRI-BOURASSA.  ARRONDISSEMENT: ANJOU.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-09-24,"779 145,50","559 055,66","0,717524","648,00","0,039366","15 812,85","0,960634","16 460,85","0,029444"
252101,2014-03-06,"PAVA","RECONSTRUCTION DE LA CHAUSSÉE FLEXIBLE, DE TROTTOIRS ET DE BORDURES, LÀ OÙ REQUIS, DANS LE BOULEVARD CHAMPLAIN, DE L'AVENUE DOLLARD À LA RUE RAYMOND.  ARRONDISSEMENT: LASALLE.  (P.R.R 2012 - RUES COLLECTRICES).",2012-08-21,"1 238 587,77","1 029 635,62","0,831298","14 716,44","1,028797","-411,93","-0,028797","14 304,51","0,013893"
