ANNEE,CATEGORIE,GROUPE,NOMBRE,POURCENTAGE
2018,Professionnel(le)s architectes,Femmes,17,"44,74%"
2018,Professionnel(le)s architectes,Autochtones,0,"0,00%"
2018,Professionnel(le)s architectes,Personnes handicapées,0,"0,00%"
2018,Professionnel(le)s  gén.,Minorités visibles,319,"14,84%"
2018,Professionnel(le)s  gén.,Minorités ethniques,141,"6,56%"
2018,Professionnel(le)s  gén.,Femmes,1228,"57,12%"
2018,Professionnel(le)s  gén.,Autochtones,4,"0,19%"
2018,Professionnel(le)s  gén.,Personnes handicapées,13,"0,60%"
2018,Professionnel(le)s  juristes,Minorités visibles,7,"5,43%"
2018,Professionnel(le)s  juristes,Minorités ethniques,8,"6,20%"
2018,Professionnel(le)s  juristes,Femmes,79,"61,24%"
2018,Professionnel(le)s  juristes,Autochtones,0,"0,00%"
2018,Professionnel(le)s  juristes,Personnes handicapées,0,"0,00%"
2018,Professionnel(le)s  scientifiques,Minorités visibles,141,"28,78%"
2018,Professionnel(le)s  scientifiques,Minorités ethniques,46,"9,39%"
2018,Professionnel(le)s  scientifiques,Femmes,136,"27,76%"
2018,Professionnel(le)s  scientifiques,Autochtones,1,"0,20%"
2018,Professionnel(le)s  scientifiques,Personnes handicapées,1,"0,20%"
2019,Cols blancs,Minorités visibles,2122,"24,51 %"
2019,Cols blancs,Minorités ethniques,766,"8,85 %"
2019,Cols blancs,Femmes,4891,"56,50 %"
2019,Cols blancs,Autochtones,24,"0,28 %"
2019,Cols blancs,Personnes handicapées,74,"0,85 %"
2019,Cols bleus,Minorités visibles,547,"11,57 %"
2019,Cols bleus,Minorités ethniques,314,"6,64 %"
2019,Cols bleus,Femmes,800,"16,92 %"
2019,Cols bleus,Autochtones,16,"0,34 %"
2019,Cols bleus,Personnes handicapées,84,"2,58 %"
2019,Personnel policier (syndiqué),Minorités visibles,359,"8,06 %"
2019,Personnel policier (syndiqué),Minorités ethniques,187,"4,20 %"
2019,Personnel policier (syndiqué),Femmes,1511,"33,91 %"
2019,Personnel policier (syndiqué),Autochtones,32,"0,72 %"
2019,Personnel policier (syndiqué),Personnes handicapées,N/A,N/A
2019,Professionnelles et professionnels généraux,Minorités visibles,377,"16,14 %"
2019,Professionnelles et professionnels généraux,Minorités ethniques,172,"7,36 %"
2019,Professionnelles et professionnels généraux,Femmes,1302,"55,74 %"
2019,Professionnelles et professionnels généraux,Autochtones,10,"0,43 %"
2019,Professionnelles et professionnels généraux,Personnes handicapées,17,"0,73 %"
2019,Pompières et pompiers,Minorités visibles,35,"1,55 %"
2019,Pompières et pompiers,Minorités ethniques,44,"1,95 %"
2019,Pompières et pompiers,Femmes,30,"1,33 %"
2019,Pompières et pompiers,Autochtones,12,"0,53 %"
2019,Pompières et pompiers,Personnes handicapées,N/A,N/A
2019,Cadres administratifs,Minorités visibles,157,"8,68 %"
2019,Cadres administratifs,Minorités ethniques,92,"5,09 %"
2019,Cadres administratifs,Femmes,849,"46,96 %"
2019,Cadres administratifs,Autochtones,8,"0,44 %"
2019,Cadres administratifs,Personnes handicapées,8,"0,44 %"
2019,Brigadières et brigadiers scolaires,Minorités visibles,65,"9,73 %"
2019,Brigadières et brigadiers scolaires,Minorités ethniques,36,"5,39 %"
2019,Brigadières et brigadiers scolaires,Femmes,361,"54,04 %"
2019,Brigadières et brigadiers scolaires,Autochtones,2,"0,30 %"
2019,Brigadières et brigadiers scolaires,Personnes handicapées,1,"0,15 %"
2019,Professionnelles et professionnels scientifiques,Minorités visibles,167,"32,18 %"
2019,Professionnelles et professionnels scientifiques,Minorités ethniques,50,"9,63 %"
2019,Professionnelles et professionnels scientifiques,Femmes,145,"27,94 %"
2019,Professionnelles et professionnels scientifiques,Autochtones,2,"0,39 %"
2019,Professionnelles et professionnels scientifiques,Personnes handicapées,1,"0,19 %"
2019,Cadres de direction,Minorités visibles,4,"1,95 %"
2019,Cadres de direction,Minorités ethniques,6,"2,93 %"
2019,Cadres de direction,Autochtones,0,"0,00 %"
2019,Cadres de direction,Personnes handicapées,3,"1,46 %"
2019,Professionnelles et professionnels juristes,Minorités visibles,6,"4,72 %"
2019,Professionnelles et professionnels juristes,Minorités ethniques,7,"5,51 %"
2019,Professionnelles et professionnels juristes,Femmes,79,"62,20 %"
2019,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2019,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2019,Cadres policiers,Minorités visibles,9,"8,41 %"
2019,Cadres policiers,Minorités ethniques,6,"5,61 %"
2019,Cadres policiers,Femmes,19,"17,76 %"
2019,Cadres policiers,Autochtones,1,"0,93 %"
2019,Cadres policiers,Personnes handicapées,0,"0,00 %"
2019,Cadres non civils pompiers,Minorités visibles,2,"2,74 %"
2019,Cadres non civils pompiers,Minorités ethniques,0,"0,00 %"
2019,Cadres non civils pompiers,Femmes,0,"0,00 %"
2019,Cadres non civils pompiers,Autochtones,0,"0,00 %"
2019,Cadres non civils pompiers,Personnes handicapées,0,"0,00 %"
2019,Professionnelles et professionnels architectes,Minorités visibles,2,"5,00 %"
2019,Professionnelles et professionnels architectes,Minorités ethniques,2,"5,00 %"
2019,Professionnelles et professionnels architectes,Femmes,18,"45,00 %"
2019,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2019,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2020,Cols blancs,Minorités visibles,1680,"22,68 %"
2020,Cols blancs,Minorités ethniques,646,"8,72 %"
2020,Cols blancs,Femmes,4407,"59,50 %"
2020,Cols blancs,Autochtones,18,"0,24 %"
2020,Cols blancs,Personnes handicapées,60,"0,81 %"
2020,Cols bleus,Minorités visibles,675,"13,75 %"
2020,Cols bleus,Minorités ethniques,345,"7,03 %"
2020,Cols bleus,Femmes,805,"16,40 %"
2020,Cols bleus,Autochtones,18,"0,37 %"
2020,Cols bleus,Personnes handicapées,58,"1,97 %"
2020,Personnel policier (syndiqué),Minorités visibles,360,"8,21 %"
2020,Personnel policier (syndiqué),Minorités ethniques,185,"4,22 %"
2020,Personnel policier (syndiqué),Femmes,1519,"34,65 %"
2020,Personnel policier (syndiqué),Autochtones,33,"0,75 %"
2020,Personnel policier (syndiqué),Personnes handicapées,N/A,N/A
2020,Professionnelles et professionnels généraux,Minorités visibles,414,"16,98 %"
2020,Professionnelles et professionnels généraux,Minorités ethniques,193,"7,92 %"
2020,Professionnelles et professionnels généraux,Femmes,1376,"56,44 %"
2020,Professionnelles et professionnels généraux,Autochtones,9,"0,37 %"
2020,Professionnelles et professionnels généraux,Personnes handicapées,16,"0,66 %"
2020,Pompières et pompiers,Minorités visibles,40,"1,71 %"
2020,Pompières et pompiers,Minorités ethniques,45,"1,93 %"
2020,Pompières et pompiers,Femmes,34,"1,46 %"
2020,Pompières et pompiers,Autochtones,17,"0,73 %"
2020,Pompières et pompiers,Personnes handicapées,N/A,N/A
2020,Cadres administratifs,Minorités visibles,179,"9,80 %"
2020,Cadres administratifs,Minorités ethniques,101,"5,53 %"
2020,Cadres administratifs,Femmes,867,"47,48 %"
2020,Cadres administratifs,Autochtones,12,"0,66 %"
2020,Cadres administratifs,Personnes handicapées,9,"0,49 %"
2020,Brigadières et brigadiers scolaires,Minorités visibles,81,"11,54 %"
2020,Brigadières et brigadiers scolaires,Minorités ethniques,45,"6,41 %"
2020,Brigadières et brigadiers scolaires,Femmes,373,"53,13 %"
2020,Brigadières et brigadiers scolaires,Autochtones,3,"0,43 %"
2020,Brigadières et brigadiers scolaires,Personnes handicapées,1,"0,14 %"
2020,Professionnelles et professionnels scientifiques,Minorités visibles,170,"31,66 %"
2020,Professionnelles et professionnels scientifiques,Minorités ethniques,54,"10,06 %"
2020,Professionnelles et professionnels scientifiques,Femmes,160,"29,80 %"
2020,Professionnelles et professionnels scientifiques,Autochtones,4,"0,74 %"
2020,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2020,Cadres de direction,Minorités visibles,6,"2,83 %"
2020,Cadres de direction,Minorités ethniques,5,"2,36 %"
2020,Cadres de direction,Femmes,89,"41,98 %"
2020,Cadres de direction,Autochtones,0,"0,00 %"
2020,Cadres de direction,Personnes handicapées,3,"1,42 %"
2020,Professionnelles et professionnels juristes,Minorités visibles,5,"3,70 %"
2020,Professionnelles et professionnels juristes,Minorités ethniques,7,"5,19 %"
2020,Professionnelles et professionnels juristes,Femmes,86,"63,70 %"
2020,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2020,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2020,Cadres policiers,Minorités visibles,10,"8,62 %"
2020,Cadres policiers,Minorités ethniques,7,"6,03 %"
2020,Cadres policiers,Femmes,23,"19,83 %"
2020,Cadres policiers,Autochtones,1,"0,86 %"
2020,Cadres policiers,Personnes handicapées,0,"0,00 %"
2020,Cadres non civils pompiers,Minorités visibles,2,"3,03 %"
2020,Cadres non civils pompiers,Minorités ethniques,0,"0,00 %"
2020,Cadres non civils pompiers,Femmes,0,"0,00 %"
2020,Cadres non civils pompiers,Autochtones,0,"0,00 %"
2020,Cadres non civils pompiers,Personnes handicapées,0,"0,00 %"
2020,Professionnelles et professionnels architectes,Minorités visibles,1,"2,38 %"
2020,Professionnelles et professionnels architectes,Minorités ethniques,2,"4,76 %"
2020,Professionnelles et professionnels architectes,Femmes,18,"42,86 %"
2020,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2020,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2021,Cols blancs,Minorités visibles,1850,"23,68 %"
2021,Cols blancs,Minorités ethniques,718,"9,19 %"
2021,Cols blancs,Femmes,4608,"58,98 %"
2021,Cols blancs,Autochtones,20,"0,26 %"
2021,Cols blancs,Personnes handicapées,77,"0,99 %"
2021,Cols bleus,Minorités visibles,755,"15,28 %"
2021,Cols bleus,Minorités ethniques,352,"7,13 %"
2021,Cols bleus,Femmes,774,"15,67 %"
2021,Cols bleus,Autochtones,17,"0,34 %"
2021,Cols bleus,Personnes handicapées,44,"1,30 %"
2021,Personnel policier (syndiqué),Minorités visibles,387,"8,71 %"
2021,Personnel policier (syndiqué),Minorités ethniques,206,"4,63 %"
2021,Personnel policier (syndiqué),Femmes,1562,"35,14 %"
2021,Personnel policier (syndiqué),Autochtones,36,"0,81 %"
2021,Personnel policier (syndiqué),Personnes handicapées,N/A,N/A
2021,Professionnelles et professionnels généraux,Minorités visibles,471,"18,42 %"
2021,Professionnelles et professionnels généraux,Minorités ethniques,208,"8,13 %"
2021,Professionnelles et professionnels généraux,Femmes,1444,"56,47 %"
2021,Professionnelles et professionnels généraux,Autochtones,9,"0,35 %"
2021,Professionnelles et professionnels généraux,Personnes handicapées,19,"0,74 %"
2021,Pompières et pompiers,Minorités visibles,48,"2,05 %"
2021,Pompières et pompiers,Minorités ethniques,50,"2,13 %"
2021,Pompières et pompiers,Femmes,38,"1,62 %"
2021,Pompières et pompiers,Autochtones,20,"0,85 %"
2021,Pompières et pompiers,Personnes handicapées,N/A,N/A
2021,Cadres administratifs,Minorités visibles,222,"11,80 %"
2021,Cadres administratifs,Minorités ethniques,103,"5,47 %"
2021,Cadres administratifs,Femmes,897,"47,66 %"
2021,Cadres administratifs,Autochtones,12,"0,64 %"
2021,Cadres administratifs,Personnes handicapées,13,"0,69 %"
2021,Brigadières et brigadiers scolaires,Minorités visibles,67,"10,58 %"
2021,Brigadières et brigadiers scolaires,Minorités ethniques,37,"5,85 %"
2021,Brigadières et brigadiers scolaires,Femmes,343,"54,19 %"
2021,Brigadières et brigadiers scolaires,Autochtones,3,"0,47 %"
2021,Brigadières et brigadiers scolaires,Personnes handicapées,2,"0,32 %"
2021,Professionnelles et professionnels scientifiques,Minorités visibles,186,"32,80 %"
2021,Professionnelles et professionnels scientifiques,Minorités ethniques,61,"10,76 %"
2021,Professionnelles et professionnels scientifiques,Femmes,168,"29,63 %"
2021,Professionnelles et professionnels scientifiques,Autochtones,4,"0,71 %"
2021,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2021,Cadres de direction,Minorités visibles,11,"5,14 %"
2021,Cadres de direction,Minorités ethniques,4,"1,87 %"
2021,Cadres de direction,Femmes,92,"42,99 %"
2021,Cadres de direction,Autochtones,2,"0,93 %"
2021,Cadres de direction,Personnes handicapées,3,"1,40 %"
2021,Professionnelles et professionnels juristes,Minorités visibles,6,"4,32 %"
2021,Professionnelles et professionnels juristes,Minorités ethniques,6,"4,32 %"
2021,Professionnelles et professionnels juristes,Femmes,89,"64,03 %"
2021,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2021,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2021,Cadres policiers,Minorités visibles,10,"8,13 %"
2021,Cadres policiers,Minorités ethniques,9,"7,32 %"
2021,Cadres policiers,Femmes,24,"19,51 %"
2021,Cadres policiers,Autochtones,2,"1,63 %"
2021,Cadres policiers,Personnes handicapées,0,"0,00 %"
2021,Cadres non civils pompiers,Minorités visibles,3,"4,76 %"
2021,Cadres non civils pompiers,Minorités ethniques,0,"0,00 %"
2021,Cadres non civils pompiers,Femmes,0,"0,00 %"
2021,Cadres non civils pompiers,Autochtones,0,"0,00 %"
2021,Cadres non civils pompiers,Personnes handicapées,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Minorités visibles,3,"6,98 %"
2021,Professionnelles et professionnels architectes,Minorités ethniques,2,"4,65 %"
2021,Professionnelles et professionnels architectes,Femmes,18,"41,86 %"
2021,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2022,Cols blancs,Minorités visibles,2025,"25,49 %"
2022,Cols blancs,Minorités ethniques,738,"9,29 %"
2022,Cols blancs,Femmes,4702,"59,18 %"
2022,Cols blancs,Autochtones,28,"0,35 %"
2022,Cols blancs,Personnes handicapées,93,"1,17 %"
2022,Cols bleus,Minorités visibles,924,"17,88 %"
2022,Cols bleus,Minorités ethniques,390,"7,54 %"
2022,Cols bleus,Femmes,777,"15,03 %"
2022,Cols bleus,Autochtones,21,"0,41 %"
2022,Cols bleus,Personnes handicapées,42,"1,16 %"
2022,Personnel policier (syndiqué),Minorités visibles,403,"9,14 %"
2022,Personnel policier (syndiqué),Minorités ethniques,206,"4,67 %"
2022,Personnel policier (syndiqué),Femmes,1560,"35,37 %"
2022,Personnel policier (syndiqué),Autochtones,37,"0,84 %"
2022,Personnel policier (syndiqué),Personnes handicapées,N/A,N/A
2022,Professionnelles et professionnels généraux,Minorités visibles,558,"20,37 %"
2022,Professionnelles et professionnels généraux,Minorités ethniques,244,"8,91 %"
2022,Professionnelles et professionnels généraux,Femmes,1554,"56,74 %"
2022,Professionnelles et professionnels généraux,Autochtones,9,"0,33 %"
2022,Professionnelles et professionnels généraux,Personnes handicapées,20,"0,73 %"
2022,Pompières et pompiers,Minorités visibles,57,"2,41 %"
2022,Pompières et pompiers,Minorités ethniques,56,"2,37 %"
2022,Pompières et pompiers,Femmes,39,"1,65 %"
2022,Pompières et pompiers,Autochtones,20,"0,85 %"
2022,Pompières et pompiers,Personnes handicapées,N/A,N/A
2022,Cadres administratifs,Minorités visibles,241,"12,53 %"
2022,Cadres administratifs,Minorités ethniques,121,"6,29 %"
2022,Cadres administratifs,Femmes,925,"48,10 %"
2022,Cadres administratifs,Autochtones,10,"0,52 %"
2022,Cadres administratifs,Personnes handicapées,17,"0,88 %"
2022,Brigadières et brigadiers scolaires,Minorités visibles,59,"9,80 %"
2022,Brigadières et brigadiers scolaires,Minorités ethniques,31,"5,15 %"
2022,Brigadières et brigadiers scolaires,Femmes,306,"50,83 %"
2022,Brigadières et brigadiers scolaires,Autochtones,2,"0,33 %"
2022,Brigadières et brigadiers scolaires,Personnes handicapées,3,"0,50 %"
2022,Professionnelles et professionnels scientifiques,Minorités visibles,187,"32,98 %"
2022,Professionnelles et professionnels scientifiques,Minorités ethniques,56,"9,88 %"
2022,Professionnelles et professionnels scientifiques,Femmes,162,"28,57 %"
2022,Professionnelles et professionnels scientifiques,Autochtones,4,"0,71 %"
2022,Professionnelles et professionnels scientifiques,Personnes handicapées,1,"0,18 %"
2022,Cadres de direction,Minorités visibles,16,"7,05 %"
2022,Cadres de direction,Minorités ethniques,6,"2,64 %"
2022,Cadres de direction,Femmes,94,"41,41 %"
2022,Cadres de direction,Autochtones,2,"0,88 %"
2022,Cadres de direction,Personnes handicapées,3,"1,32 %"
2022,Professionnelles et professionnels juristes,Minorités visibles,13,"9,03 %"
2022,Professionnelles et professionnels juristes,Minorités ethniques,6,"4,17 %"
2022,Professionnelles et professionnels juristes,Femmes,95,"65,97 %"
2022,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2022,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2022,Cadres policiers,Minorités visibles,14,"11,29 %"
2022,Cadres policiers,Minorités ethniques,6,"4,84 %"
2022,Cadres policiers,Femmes,28,"22,58 %"
2022,Cadres policiers,Autochtones,0,"0,00 %"
2022,Cadres policiers,Personnes handicapées,3,"2,42 %"
2022,Cadres non civils pompiers,Minorités visibles,1,"1,49 %"
2022,Cadres non civils pompiers,Minorités ethniques,1,"1,49 %"
2022,Cadres non civils pompiers,Femmes,1,"1,49 %"
2022,Cadres non civils pompiers,Autochtones,1,"1,49 %"
2022,Cadres non civils pompiers,Personnes handicapées,1,"1,49 %"
2022,Professionnelles et professionnels architectes,Minorités visibles,6,"13,04 %"
2022,Professionnelles et professionnels architectes,Minorités ethniques,0,"0,00 %"
2022,Professionnelles et professionnels architectes,Femmes,21,"45,65 %"
2022,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2022,Professionnelles et professionnels architectes,Personnes handicapées,1,"2,17 %"
2023,Cols blancs,Minorités visibles,2155,"26,09 %"
2023,Cols blancs,Minorités ethniques,764,"9,25 %"
2023,Cols blancs,Femmes,4830,"58,47 %"
2023,Cols blancs,Autochtones,30,"0,36 %"
2023,Cols blancs,Personnes handicapées,101,"1,22 %"
2023,Cols bleus,Minorités visibles,967,"18,69 %"
2023,Cols bleus,Minorités ethniques,402,"7,77 %"
2023,Cols bleus,Femmes,748,"14,45 %"
2023,Cols bleus,Autochtones,18,"0,35 %"
2023,Cols bleus,Personnes handicapées,32,"0,89 %"
2023,Personnel policier (syndiqué),Minorités visibles,425,"9,45 %"
2023,Personnel policier (syndiqué),Minorités ethniques,221,"4,92 %"
2023,Personnel policier (syndiqué),Femmes,1587,"35,30 %"
2023,Personnel policier (syndiqué),Autochtones,35,"0,78 %"
2023,Personnel policier (syndiqué),Personnes handicapées,N/A,N/A
2023,Professionnelles et professionnels généraux,Minorités visibles,625,"21,57 %"
2023,Professionnelles et professionnels généraux,Minorités ethniques,258,"8,90 %"
2023,Professionnelles et professionnels généraux,Femmes,1637,"56,49 %"
2023,Professionnelles et professionnels généraux,Autochtones,8,"0,28 %"
2023,Professionnelles et professionnels généraux,Personnes handicapées,23,"0,79 %"
2023,Pompières et pompiers,Minorités visibles,68,"2,91 %"
2023,Pompières et pompiers,Minorités ethniques,65,"2,78 %"
2023,Pompières et pompiers,Femmes,41,"1,76 %"
2023,Pompières et pompiers,Autochtones,23,"0,99 %"
2023,Pompières et pompiers,Personnes handicapées,N/A,N/A
2023,Cadres administratifs,Minorités visibles,296,"14,90 %"
2023,Cadres administratifs,Minorités ethniques,130,"6,55 %"
2023,Cadres administratifs,Femmes,969,"48,79 %"
2023,Cadres administratifs,Autochtones,11,"0,55 %"
2023,Cadres administratifs,Personnes handicapées,17,"0,86 %"
2023,Brigadières et brigadiers scolaires,Minorités visibles,91,"12,33 %"
2023,Brigadières et brigadiers scolaires,Minorités ethniques,38,"5,15 %"
2023,Brigadières et brigadiers scolaires,Femmes,351,"47,56 %"
2023,Brigadières et brigadiers scolaires,Autochtones,1,"0,14 %"
2023,Brigadières et brigadiers scolaires,Personnes handicapées,4,"0,54 %"
2023,Professionnelles et professionnels scientifiques,Minorités visibles,201,"34,96 %"
2023,Professionnelles et professionnels scientifiques,Minorités ethniques,53,"9,22 %"
2023,Professionnelles et professionnels scientifiques,Femmes,163,"28,35 %"
2023,Professionnelles et professionnels scientifiques,Autochtones,5,"0,87 %"
2023,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2023,Cadres de direction,Minorités visibles,19,"8,30 %"
2023,Cadres de direction,Minorités ethniques,8,"3,49 %"
2023,Cadres de direction,Femmes,94,"41,05 %"
2023,Cadres de direction,Autochtones,2,"0,87 %"
2023,Cadres de direction,Personnes handicapées,3,"1,31 %"
2023,Professionnelles et professionnels juristes,Minorités visibles,11,"7,48 %"
2023,Professionnelles et professionnels juristes,Minorités ethniques,6,"4,08 %"
2023,Professionnelles et professionnels juristes,Femmes,102,"69,39 %"
2023,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2023,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2023,Cadres policiers,Minorités visibles,14,"11,57 %"
2023,Cadres policiers,Minorités ethniques,5,"4,13 %"
2023,Cadres policiers,Femmes,27,"22,31 %"
2023,Cadres policiers,Autochtones,0,"0,00 %"
2023,Cadres policiers,Personnes handicapées,4,"3,31 %"
2023,Cadres non civils pompiers,Minorités visibles,1,"1,49 %"
2023,Cadres non civils pompiers,Minorités ethniques,1,"1,49 %"
2023,Cadres non civils pompiers,Femmes,1,"1,49 %"
2023,Cadres non civils pompiers,Autochtones,0,"0,00 %"
2023,Cadres non civils pompiers,Personnes handicapées,1,"1,49 %"
2023,Professionnelles et professionnels architectes,Minorités visibles,5,"10,42 %"
2023,Professionnelles et professionnels architectes,Minorités ethniques,1,"2,08 %"
2023,Professionnelles et professionnels architectes,Femmes,24,"50,00 %"
2023,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2023,Professionnelles et professionnels architectes,Personnes handicapées,1,"2,08 %"
