ANNEE,CATEGORIE,GROUPE,NOMBRE,POURCENTAGE
2020,Professionnelles et professionnels généraux,Autochtones,1,"0,46 %"
2020,Professionnelles et professionnels généraux,Personnes handicapées,0,"0,00 %"
2020,Policières et policiers,Minorités visibles,10,"10,10 %"
2020,Policières et policiers,Minorités ethniques,6,"6,06 %"
2020,Policières et policiers,Femmes,55,"55,56 %"
2020,Policières et policiers,Autochtones,4,"4,04 %"
2020,Policières et policiers,Personnes handicapées,,
2020,Brigadières et brigadiers scolaires,Minorités visibles,61,"18,05 %"
2020,Brigadières et brigadiers scolaires,Minorités ethniques,23,"6,80 %"
2020,Brigadières et brigadiers scolaires,Femmes,184,"54,44 %"
2020,Brigadières et brigadiers scolaires,Autochtones,1,"0,30 %"
2020,Brigadières et brigadiers scolaires,Personnes handicapées,3,"0,89 %"
2020,Cadres administratifs,Minorités visibles,20,"15,04 %"
2020,Cadres administratifs,Minorités ethniques,7,"5,26 %"
2020,Cadres administratifs,Femmes,63,"47,37 %"
2020,Cadres administratifs,Autochtones,2,"1,50 %"
2020,Cadres administratifs,Personnes handicapées,0,"0,00 %"
2020,Pompières et pompiers,Minorités visibles,5,"2,69 %"
2020,Pompières et pompiers,Minorités ethniques,3,"1,61 %"
2020,Pompières et pompiers,Femmes,6,"3,23 %"
2020,Pompières et pompiers,Autochtones,5,"2,69 %"
2020,Pompières et pompiers,Personnes handicapées,,
2020,Professionnelles et professionnels scientifiques,Minorités visibles,11,"24,44 %"
2020,Professionnelles et professionnels scientifiques,Minorités ethniques,6,"13,33 %"
2020,Professionnelles et professionnels scientifiques,Femmes,17,"37,78 %"
2020,Professionnelles et professionnels scientifiques,Autochtones,1,"2,22 %"
2020,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2020,Cadres de direction,Minorités visibles,0,"0,00 %"
2020,Cadres de direction,Minorités ethniques,0,"0,00 %"
2020,Cadres de direction,Femmes,4,"30,77 %"
2020,Cadres de direction,Autochtones,0,"0,00 %"
2020,Cadres de direction,Personnes handicapées,0,"0,00 %"
2020,Professionnelles et professionnels juristes,Minorités visibles,0,"0,00 %"
2020,Professionnelles et professionnels juristes,Minorités ethniques,2,"16,67 %"
2020,Professionnelles et professionnels juristes,Femmes,8,"66,67 %"
2020,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2020,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2020,Professionnelles et professionnels architectes,Minorités visibles,0,"0,00 %"
2020,Professionnelles et professionnels architectes,Minorités ethniques,0,"0,00 %"
2020,Professionnelles et professionnels architectes,Femmes,3,"60,00 %"
2020,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2020,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2020,Cadres non civils pompiers,Minorités visibles,0,S/O
2020,Cadres non civils pompiers,Minorités ethniques,0,S/O
2020,Cadres non civils pompiers,Femmes,0,S/O
2020,Cadres non civils pompiers,Autochtones,0,S/O
2020,Cadres non civils pompiers,Personnes handicapées,0,S/O
2021,Cols blancs,Minorités visibles,365,"23,79 %"
2021,Cols blancs,Minorités ethniques,156,"10,17 %"
2021,Cols blancs,Femmes,856,"55,80 %"
2021,Cols blancs,Autochtones,3,"0,20 %"
2021,Cols blancs,Personnes handicapées,18,"1,17 %"
2021,Cols bleus,Minorités visibles,145,"27,05 %"
2021,Cols bleus,Minorités ethniques,38,"7,09 %"
2021,Cols bleus,Femmes,91,"16,98 %"
2021,Cols bleus,Autochtones,0,"0,00 %"
2021,Cols bleus,Personnes handicapées,1,"0,19 %"
2021,Professionnelles et professionnels généraux,Minorités visibles,73,"25,00 %"
2021,Professionnelles et professionnels généraux,Minorités ethniques,27,"9,25 %"
2021,Professionnelles et professionnels généraux,Femmes,149,"51,03 %"
2021,Professionnelles et professionnels généraux,Autochtones,2,"0,68 %"
2021,Professionnelles et professionnels généraux,Personnes handicapées,4,"1,37 %"
2021,Policières et policiers,Minorités visibles,38,"17,12 %"
2021,Policières et policiers,Minorités ethniques,19,"8,56 %"
2021,Policières et policiers,Femmes,77,"34,68 %"
2021,Policières et policiers,Autochtones,2,"0,90 %"
2021,Policières et policiers,Personnes handicapées,,
2021,Brigadières et brigadiers scolaires,Minorités visibles,39,"19,12 %"
2021,Brigadières et brigadiers scolaires,Minorités ethniques,13,"6,37 %"
2021,Brigadières et brigadiers scolaires,Femmes,111,"54,41 %"
2021,Brigadières et brigadiers scolaires,Autochtones,2,"0,98 %"
2021,Brigadières et brigadiers scolaires,Personnes handicapées,3,"1,47 %"
2021,Cadres administratifs,Minorités visibles,40,"24,69 %"
2021,Cadres administratifs,Minorités ethniques,9,"5,56 %"
2021,Cadres administratifs,Femmes,82,"50,62 %"
2021,Cadres administratifs,Autochtones,1,"0,62 %"
2021,Cadres administratifs,Personnes handicapées,1,"0,62 %"
2021,Pompières et pompiers,Minorités visibles,8,"10,81 %"
2021,Pompières et pompiers,Minorités ethniques,8,"10,81 %"
2021,Pompières et pompiers,Femmes,6,"8,11 %"
2021,Pompières et pompiers,Autochtones,3,"4,05 %"
2021,Pompières et pompiers,Personnes handicapées,,
2021,Professionnelles et professionnels scientifiques,Minorités visibles,13,"25,49 %"
2021,Professionnelles et professionnels scientifiques,Minorités ethniques,7,"13,73 %"
2021,Professionnelles et professionnels scientifiques,Femmes,14,"27,45 %"
2021,Professionnelles et professionnels scientifiques,Autochtones,0,"0,00 %"
2021,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2021,Cadres de direction,Minorités visibles,2,"16,67 %"
2021,Cadres de direction,Minorités ethniques,0,"0,00 %"
2021,Cadres de direction,Femmes,8,"66,67 %"
2021,Cadres de direction,Autochtones,0,"0,00 %"
2021,Cadres de direction,Personnes handicapées,0,"0,00 %"
2021,Professionnelles et professionnels juristes,Minorités visibles,0,"0,00 %"
2021,Professionnelles et professionnels juristes,Minorités ethniques,1,"6,25 %"
2021,Professionnelles et professionnels juristes,Femmes,11,"68,75 %"
2021,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2021,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Minorités visibles,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Minorités ethniques,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Femmes,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2021,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2021,Cadres non civils pompiers,Minorités visibles,0,S/O
2021,Cadres non civils pompiers,Minorités ethniques,0,S/O
2021,Cadres non civils pompiers,Femmes,0,S/O
2021,Cadres non civils pompiers,Autochtones,0,S/O
2021,Cadres non civils pompiers,Personnes handicapées,0,S/O
2022,Cols blancs,Minorités visibles,506,"27,47 %"
2022,Cols blancs,Minorités ethniques,178,"9,66 %"
2022,Cols blancs,Femmes,1043,"56,62 %"
2022,Cols blancs,Autochtones,7,"0,38 %"
2022,Cols blancs,Personnes handicapées,18,"0,98 %"
2022,Cols bleus,Minorités visibles,223,"31,86 %"
2022,Cols bleus,Minorités ethniques,56,"8,00 %"
2022,Cols bleus,Femmes,110,"15,71 %"
2022,Cols bleus,Autochtones,5,"0,71 %"
2022,Cols bleus,Personnes handicapées,3,"0,43 %"
2022,Professionnelles et professionnels généraux,Minorités visibles,90,"28,48 %"
2022,Professionnelles et professionnels généraux,Minorités ethniques,28,"8,86 %"
2022,Professionnelles et professionnels généraux,Femmes,168,"53,16 %"
2022,Professionnelles et professionnels généraux,Autochtones,1,"0,32 %"
2022,Professionnelles et professionnels généraux,Personnes handicapées,3,"0,95 %"
2022,Policières et policiers,Minorités visibles,39,"18,84 %"
2022,Policières et policiers,Minorités ethniques,14,"6,76 %"
2022,Policières et policiers,Femmes,76,"36,71 %"
2022,Policières et policiers,Autochtones,1,"0,48 %"
2022,Policières et policiers,Personnes handicapées,,
2022,Brigadières et brigadiers scolaires,Minorités visibles,16,"9,30 %"
2022,Brigadières et brigadiers scolaires,Minorités ethniques,5,"2,91 %"
2022,Brigadières et brigadiers scolaires,Femmes,94,"54,65 %"
2022,Brigadières et brigadiers scolaires,Autochtones,0,"0,00 %"
2022,Brigadières et brigadiers scolaires,Personnes handicapées,2,"1,16 %"
2022,Cadres administratifs,Minorités visibles,25,"15,53 %"
2022,Cadres administratifs,Minorités ethniques,18,"11,18 %"
2022,Cadres administratifs,Femmes,84,"52,17 %"
2022,Cadres administratifs,Autochtones,0,"0,00 %"
2022,Cadres administratifs,Personnes handicapées,2,"1,24 %"
2022,Pompières et pompiers,Minorités visibles,8,"7,55 %"
2022,Pompières et pompiers,Minorités ethniques,7,"6,60 %"
2022,Pompières et pompiers,Femmes,4,"3,77 %"
2022,Pompières et pompiers,Autochtones,1,"0,94 %"
2022,Pompières et pompiers,Personnes handicapées,,
2022,Professionnelles et professionnels scientifiques,Minorités visibles,8,"22,22 %"
2022,Professionnelles et professionnels scientifiques,Minorités ethniques,2,"5,56 %"
2022,Professionnelles et professionnels scientifiques,Femmes,10,"27,78 %"
2022,Professionnelles et professionnels scientifiques,Autochtones,0,"0,00 %"
2022,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2022,Cadres de direction,Minorités visibles,0,"0,00 %"
2022,Cadres de direction,Minorités ethniques,2,"18,18 %"
2022,Cadres de direction,Femmes,5,"45,45 %"
2022,Cadres de direction,Autochtones,0,"0,00 %"
2022,Cadres de direction,Personnes handicapées,0,"0,00 %"
2022,Professionnelles et professionnels juristes,Minorités visibles,3,"37,50 %"
2022,Professionnelles et professionnels juristes,Minorités ethniques,0,"0,00 %"
2022,Professionnelles et professionnels juristes,Femmes,5,"62,50 %"
2022,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2022,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2022,Professionnelles et professionnels architectes,Minorités visibles,2,"28,57 %"
2022,Professionnelles et professionnels architectes,Minorités ethniques,0,"0,00 %"
2022,Professionnelles et professionnels architectes,Femmes,4,"57,14 %"
2022,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2022,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2022,Cadres non civils pompiers,Minorités visibles,0,S/O
2022,Cadres non civils pompiers,Minorités ethniques,0,S/O
2022,Cadres non civils pompiers,Femmes,0,S/O
2022,Cadres non civils pompiers,Autochtones,0,S/O
2022,Cadres non civils pompiers,Personnes handicapées,0,S/O
2023,Cols blancs,Minorités visibles,475,"26,64 %"
2023,Cols blancs,Minorités ethniques,164,"9,20 %"
2023,Cols blancs,Femmes,945,"53,00 %"
2023,Cols blancs,Autochtones,8,"0,45 %"
2023,Cols blancs,Personnes handicapées,24,"1,35 %"
2023,Cols bleus,Minorités visibles,148,"23,76 %"
2023,Cols bleus,Minorités ethniques,58,"9,31 %"
2023,Cols bleus,Femmes,115,"18,46 %"
2023,Cols bleus,Autochtones,3,"0,48 %"
2023,Cols bleus,Personnes handicapées,1,"0,16 %"
2023,Professionnelles et professionnels généraux,Minorités visibles,57,"21,35 %"
2023,Professionnelles et professionnels généraux,Minorités ethniques,20,"7,49 %"
2023,Professionnelles et professionnels généraux,Femmes,140,"52,43 %"
2023,Professionnelles et professionnels généraux,Autochtones,0,"0,00 %"
2023,Professionnelles et professionnels généraux,Personnes handicapées,2,"0,75 %"
2023,Policières et policiers,Minorités visibles,41,"13,14 %"
2023,Policières et policiers,Minorités ethniques,18,"5,77 %"
2023,Policières et policiers,Femmes,100,"32,05 %"
2023,Policières et policiers,Autochtones,1,"0,32 %"
2023,Policières et policiers,Personnes handicapées,,
2023,Brigadières et brigadiers scolaires,Minorités visibles,54,"21,01 %"
2023,Brigadières et brigadiers scolaires,Minorités ethniques,14,"5,45 %"
2023,Brigadières et brigadiers scolaires,Femmes,107,"41,63 %"
2023,Brigadières et brigadiers scolaires,Autochtones,1,"0,39 %"
2023,Brigadières et brigadiers scolaires,Personnes handicapées,1,"0,39 %"
2023,Cadres administratifs,Minorités visibles,32,"22,07 %"
2023,Cadres administratifs,Minorités ethniques,11,"7,59 %"
2023,Cadres administratifs,Femmes,82,"56,55 %"
2023,Cadres administratifs,Autochtones,1,"0,69 %"
2023,Cadres administratifs,Personnes handicapées,0,"0,00 %"
2023,Pompières et pompiers,Minorités visibles,9,"13,85 %"
2023,Pompières et pompiers,Minorités ethniques,9,"13,85 %"
2023,Pompières et pompiers,Femmes,6,"9,23 %"
2023,Pompières et pompiers,Autochtones,3,"4,62 %"
2023,Pompières et pompiers,Personnes handicapées,,
2023,Professionnelles et professionnels scientifiques,Minorités visibles,18,"37,50 %"
2023,Professionnelles et professionnels scientifiques,Minorités ethniques,2,"4,17 %"
2023,Professionnelles et professionnels scientifiques,Femmes,14,"29,17 %"
2023,Professionnelles et professionnels scientifiques,Autochtones,1,"2,08 %"
2023,Professionnelles et professionnels scientifiques,Personnes handicapées,0,"0,00 %"
2023,Cadres de direction,Minorités visibles,4,"23,53 %"
2023,Cadres de direction,Minorités ethniques,1,"5,88 %"
2023,Cadres de direction,Femmes,9,"52,94 %"
2023,Cadres de direction,Autochtones,0,"0,00 %"
2023,Cadres de direction,Personnes handicapées,0,"0,00 %"
2023,Professionnelles et professionnels juristes,Minorités visibles,1,"8,33 %"
2023,Professionnelles et professionnels juristes,Minorités ethniques,0,"0,00 %"
2023,Professionnelles et professionnels juristes,Femmes,5,"41,67 %"
2023,Professionnelles et professionnels juristes,Autochtones,0,"0,00 %"
2023,Professionnelles et professionnels juristes,Personnes handicapées,0,"0,00 %"
2023,Professionnelles et professionnels architectes,Minorités visibles,0,"0,00 %"
2023,Professionnelles et professionnels architectes,Minorités ethniques,0,"0,00 %"
2023,Professionnelles et professionnels architectes,Femmes,3,"100,00 %"
2023,Professionnelles et professionnels architectes,Autochtones,0,"0,00 %"
2023,Professionnelles et professionnels architectes,Personnes handicapées,0,"0,00 %"
2023,Cadres non civils pompiers,Minorités visibles,0,S/O
2023,Cadres non civils pompiers,Minorités ethniques,0,S/O
2023,Cadres non civils pompiers,Femmes,0,S/O
2023,Cadres non civils pompiers,Autochtones,0,S/O
2023,Cadres non civils pompiers,Personnes handicapées,0,S/O
