C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TED,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration_et_soutien_aux_services,Gestion_des_batiments,TOTAL
6380,Services ambulatoires de psychogériatrie,,,,,3 207 451,,,,,,,3 207 451
6390,Service de pastorale,,11 826 442,747 027,,7 242 924,,228 617,80 940,,,,20 125 950
6430,Encadrement des ressources non institutionnelles (RNI),,282 814,7 498 687,,8 739 988,18 024 285,1 825 990,150 421,23 532 451,,,60 054 636
6460,Services aux revendicateurs de statuts de réfugié,8 688 900,,,,,,,,,,,8 688 900
6510,Santé parentale et infantile,45 350 474,,,3 794 115,,,,,,,,49 144 589
6531,Aide à domicile régulière,3 189 658,6 986 187,1 688 660,,159 786 563,9 278 153,92 109 935,,,,,273 039 157
6532,Aide à domicile continue,,,,,8 455 229,,341 563,,,,,8 796 792
6540,Services dentaires préventifs,,,,16 161 550,,,,,,,,16 161 550
6550,Services dentaires curatifs,,4 261 989,,,,,,,,,,4 261 989
6561,Services psychosociaux à domicile,2 887 678,6 902 858,706 585,,90 171 246,10 915 921,17 894 283,,,,,129 478 569
6562,Services psychosociaux - Autres que SAD,77 298 183,,,,,,,,,,,77 298 183
6564,Psychologie,4 181 701,17 930 665,12 320 842,,2 379 142,,1 840 654,,,,,38 653 004
6565,Services sociaux,,57 553 073,14 277 481,,16 900 618,,1 885 330,,,,,90 616 502
6568,Services psychosociaux (hors territoire),3 151 334,,,,,,,,,,,3 151 334
6590,Santé scolaire,23 698 516,,,3 832 318,,,,,,,,27 530 834
6601,Banque de sang,,31 707 303,,,,,,,,,,31 707 303
6602,Dépistage prénatal de la trisomie 21,,1 850 698,,,,,,,,,,1 850 698
6604,Anatomopathologie,,64 162 474,,,,,,,,,,64 162 474
6605,Cytologie,,19 287 954,,,,,,,,,,19 287 954
6606,Centre de prélèvements,35 195 209,18 465 422,,,,,,,,,,53 660 631
6607,Laboratoires regroupés,,401 558 374,,,,,26 892,,,,,401 585 266
6608,Dépistage néonatal,,442 363,,1 272 508,,,,,,,,1 714 871
6609,Génétique médicale,,17 179 086,,,,,,,,,,17 179 086
6610,Physiologie repiratoire,,19 848 981,,,,,,,,,,19 848 981
6620,Sécurité tranfusionnelle et produits sanguins,,325 958 351,,,,,,,,,,325 958 351
6650,Chambre hyperbare,,790 890,,,,,,,,,,790 890
6670,Services spécialisés en toxicomanie - Usagers admis,,,,,,,,21 401 031,,,,21 401 031
6680,Services externes en toxicomanie,,,,,,,,51 540 107,,,,51 540 107
6690,Unité d'intervention brève de traitement en toxicomanie,,,,,,,,1 516 977,,,,1 516 977
6710,Électrophysiologie,,53 571 536,,,,,,,,,,53 571 536
6750,Hémodynamie et électrophysiologie interventionnelle,,159 942 420,,,,,,,,,,159 942 420
6761,Surveillance continue de l'état de santé de la population,,,,1 096 452,,,,,,,,1 096 452
6762,"Prévention des maladies, des problèmes psychosociaux et des traumatismes",,,,5 339 745,,,,,,,,5 339 745
6763,Promotion de la santé et du bien-être,,,,6 597 043,,,,,,,,6 597 043
6764,Protection de la santé,,,,8 483 853,,,,,,,,8 483 853
6765,Fonctions de soutien,,,,678 386,,,,,,,,678 386
6766,"Direction, coordination et soutien administratif",,,,,,,,,,3 146 802,,3 146 802
6770,Endoscopie,,71 112 026,,,,,,,,,,71 112 026
6780,Médecine nucléaire et TEP,,69 559 952,,,,,,,,,,69 559 952
6791,Hémodialyse traditionnelle en unité de dialyse,,119 072 268,,,,,,,,,,119 072 268
6792,Hémodialyse semi-autonome en unité de dialyse,,11 970 450,,,,,,,,,,11 970 450
6793,Hémodialyse à domicile,,2 763 900,,,,,,,,,,2 763 900
6794,Hémodialyse hors de l'unité de dialyse,,2 795 556,,,,,,,,,,2 795 556
6795,Dialyse péritonéale,,18 588 467,,,,,,,,,,18 588 467
6796,Unité mobile d'hémodialyse,,697 830,,,,,,,,,,697 830
6800,Pharmacie,,765 860 130,31 998 131,,118 303 776,157 127,3 522 733,46 779,,,,919 888 676
6831,Radiologie générale,,108 517 963,,,,,307 463,,,,,108 825 426
6832,Ultrasonographie,,31 809 788,,,,,,,,,,31 809 788
6833,Mammographie,,12 626 246,,,,,,,,,,12 626 246
6834,Tomodensitométrie,,48 450 978,,,,,,,,,,48 450 978
6835,Résonance magnétique,,27 684 594,,,,,,,,,,27 684 594
6836,Angioradiologie (excluant cardiaque),,50 541 680,,,,,,,,,,50 541 680
6837,Lithotripsie,,361 559,,,,,,,,,,361 559
6839,Support à l'imagerie médicale,,94 047 319,,,,,,,,,,94 047 319
6840,Radio-oncologie,,75 033 205,,,,,,,,,,75 033 205
6860,Audiologie et orthophonie,,34 838 971,,,,,1 832 757,,,,,36 671 728
6870,Physiothérapie,,103 554 996,1 895 882,,35 782 912,,5 295 381,,,,,146 529 172
6880,Ergothérapie,,47 104 952,8 825 114,,30 654 698,,5 331 760,,,,,91 916 523
6890,Animation-Loisirs,,1 345 986,5 536 737,,38 645 048,,203 196,,,,,45 730 967
6900,Réinsertion et intégration sociales (santé physique),,,,,1 212 999,,,,,,,1 212 999
6910,Services d'assistance éducative spécialisée à la famille et aux proches - DITED,,,,,,201 048,,,,,,201 048
6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TED,,,,,,89 610,,,,,,89 610
6945,Internat - Déficience intellectuelle et TED,,,,,,23 563 316,,,,,,23 563 316
6946,Internat - Déficience physique,,,,,,,27 772 074,,,,,27 772 074
6960,Centre de jour pour personnes en perte d'autonomie,,,,,37 867 121,,,,,,,37 867 121
6973,Centre de jour - Déficience physique,,,,,,,6 192 573,,,,,6 192 573
6977,Centre de jour en santé mentale - Jeunes (0 - 17 ans),,,572 700,,,,,,,,,572 700
6978,Centre de jour en santé mentale - Adultes (18 - 100 ans),,,4 893 132,,,,,,,,,4 893 132
6984,Foyers de groupe - Déficience physique,,,,,,,462 712,,,,,462 712
6985,Foyers de groupe en santé mentale - Jeunes (0 - 17 ans),,,4 392 333,,,,,,,,,4 392 333
6986,Foyers de groupe en santé mentale - Adultes (18 - 100 ans),,,15 647 541,,,,,,,,,15 647 541
6989,Foyer de groupe - Jeunes en difficulté (LPJ - LSJPA - LSSSS),,,,,,,,,45 840 956,,,45 840 956
7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - DITED,,,,,,28 180 466,,,,,,28 180 466
7002,Centre pour activités de jour - Santé mentale,,,386 085,,,,,,,,,386 085
7011,Atelier de travail - Déficience intellectuelle et TED,,,,,,8 529 621,,,,,,8 529 621
7012,Atelier de travail - Déficience physique,,,,,,,321 833,,,,,321 833
7013,Atelier de travail - Santé mentale,,,2 091 176,,,,,,,,,2 091 176
7022,Support des stages en milieu de travail - Déficience physique,,,,,,,-102,,,,,-102
7023,Support des stages en milieu de travail - Santé mentale,,,507 789,,,,,,,,,507 789
7024,Support des stages individuels - Déficience intellectuelle et TED,,,,,,5 217 237,,,,,,5 217 237
7025,Support des plateaux de travail - Déficience intellectuelle et TED,,,,,,10 495 402,,,,,,10 495 402
7031,Intégration à l'emploi - Déficience intellectuelle et TED,,,,,,354 075,,,,,,354 075
7033,Intégration à l'emploi - Santé mentale,,,1 794 838,,,,,,,,,1 794 838
7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TED),,,89 858,,,83 182 835,,,,,,83 272 693
7042,Ressources résidentielles - Assistance résidentielle continue (déficience physique),,,,,,,7 268 833,,,,,7 268 833
7043,Ressources résidentielles - Assistance résidentielle continue (santé mentale),,,4 312 957,,,,,,,,,4 312 957
7051,Ressources résidentielles avec allocations pour assistance continue - DITED,,,,,,1 196 448,,,,,,1 196 448
7052,Ressources résidentielles avec allocations pour assistance continue - Déficience physique,,,,,,,325 644,,,,,325 644
7053,Ressources résidentielles avec allocations pour assistance continue - Santé mentale,,,77 669,,,,,,,,,77 669
7060,Hémato-oncologie,,78 084 784,,,,,,,,,,78 084 784
7081,Soutien aux familles de personnes ayant une déficience physique,,,,,,,15 792 388,,,,,15 792 388
7082,Soutien aux familles de personnes ayant une déficience intellectuelle,,,,,,10 996 198,,,,,,10 996 198
7083,Soutien aux familles de personnes ayant un trouble envahissant du développement (TED) - Alloc.,,,,,,8 871 041,,,,,,8 871 041
7090,Médecine de jour,,106 964 940,,,,,,,,,,106 964 940
7101,Services aux usagers en milieu naturel - Déficience intellectuelle et TED,,,,,,15 531 344,,,,,,15 531 344
7105,"Adaptation et soutien à la personne, à la famille et aux proches - Santé mentale",,,1 506 213,,,,,,,,,1 506 213
7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",,,,,,,,,563 891,,,563 891
7108,"Adaptation et soutien à la personne, à la famille et aux proches - Déficience physique",,,,,,,1 867 548,,,,,1 867 548
7111,Nutrition à domicile,750 203,2 076 650,,,4 090 444,,1 274 669,,,,,8 191 965
7112,Nutrition - Autres,6 097 345,4 322 711,,811 470,,,,,,,,11 231 526
7120,Intervention communautaire - SAD,,,,6 036 348,4 082 969,,,,,,,10 119 317
7151,Gestion et soutien des services à domicile,6 309 852,6 212 443,301 671,587 516,39 408 036,3 501 879,14 215 433,,,,,70 536 829
7152,Gestion et soutien aux autres programmes,39 881 021,42 693 396,36 073 307,15 359 263,13 644 477,2 412 655,5 370 410,,17 163 400,,,172 597 929
7153,"Gestion et soutien aux programmes - Centre de réadaptation (Toxicomanes, DP)",,,,,,,15 360 857,4 227 854,,,,19 588 711
7154,Gestion et soutien d'une centrale,6 214 910,,,,,,,,,,,6 214 910
7155,Gestion et soutien des services sociaux et santé aux réfugiés,533 075,,,,,,,,,,,533 075
7156,Gestion et soutien à la psychogériatrie ou au centre de jour,,,,,370 816,,,,,,,370 816
7157,Gestion et soutien aux programmes santé publiques,,,,8 430 402,,,,,,,,8 430 402
7158,Gestion et soutien aux programmes (hors territoire),150 273,,126 454,,139 608,,,,618 068,,,1 034 403
7161,Ergothérapie à domicile,2 028 587,5 305 726,,,27 309 753,806 630,22 850 121,,,,,58 300 817
7162,Physiothérapie à domicile,16 619 774,1 406 924,,6 252,15 309 768,38 171,2 843 369,,,,,36 224 258
7180,Soutien aux programmes - CRDI,,,,,,47 053 192,,,,,,47 053 192
7201,Programmes d'intéressement aux étudiants,,,,,,,,,,5 750 839,,5 750 839
7202,Coordination et soutien,,,,,,,,,,25 309 025,,25 309 025
7203,Bibliothèque,,,,,,,,,,9 194 149,,9 194 149
7210,Réseau d'enseignement universitaire,,,,,,,,,,6 975 089,,6 975 089
7301,Direction générale,,,,,,,,,,252 242 437,,252 242 437
7302,Administration financière,,,,,,,,,,215 374 139,,215 374 139
7303,Administration du personnel,,,,,,,,,,340 180 057,,340 180 057
7304,Administration des services professionnnels,,,,,,,,,,96 648 085,,96 648 085
7305,Services de vérification interne,,,,,,,,,,70 461,,70 461
7306,Administration financière et du personnel (non réparti),,,,,,,,,,14 165 135,,14 165 135
7307,Approvisionnement et services,,,,,,,,,,111 399 009,,111 399 009
7320,Administration des services techniques,,,,,,,,,,45 634 553,,45 634 553
7340,Informatique,,,,,,,,,,219 536 336,,219 536 336
7350,Gestion de l'information,,,,,,,,,,9 447 368,,9 447 368
7391,Déplacement des personnes ayant une déficience physique,,,,,,,2 967 348,,,,,2 967 348
7392,Déplacement des personnes présentant une déficience intellectuelle,,,,,,190 991,,,,,,190 991
7395,Déplacement des personnes en hémodialyse,,4 463 201,,,,,,,,,,4 463 201
7400,Déplacement des usagers,,164 293 015,,,,,,,,,,164 293 015
7532,Archives,,,,,,,,,,161 966 861,,161 966 861
7533,Réception - Archives - Télécommunications (non réparti),,,,,,,,,,63 816 397,,63 816 397
7534,Réception,,,,,,,,,,131 508 613,,131 508 613
7535,Télécommunications,,,,,,,,,,94 282 214,,94 282 214
7536,Transcription des dictées médicales,,,,,,,,,,12 897 675,,12 897 675
7551,Alimentation - Internat pour personnes ayant une déficience physique,,,,,,,,,,1 145 731,,1 145 731
7552,Alimentation - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,2 075 914,,2 075 914
7553,Nutrition clinique,,61 660 355,,,,,866 279,,,,,62 526 634
7554,Alimentation - Autres,,,,,,,,,,574 859 164,,574 859 164
7601,Buanderie et lingerie - Internat pour personnes ayant une déficience physique,,,,,,,,,,698 968,,698 968
7602,Buanderie et lingerie - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,752 202,,752 202
7603,Buanderie et lingerie - Autres,,,,,,,,,,619 581,,619 581
7604,Buanderie,,,,,,,,,,106 269 304,,106 269 304
7605,Entretien des vêtements des usagers,,,,,,,,,,13 929 292,,13 929 292
7606,"Cueillette, Distribution et Autres charges",,,,,,,,,,84 217 796,,84 217 796
7644,Hygiène et salubrité - Tâches opérationnnelles,,,,,,,,,,,384 086 752,384 086 752
7645,Hygiène et salubrité - Tâches fonctionnelles,,,,,,,,,,,19 102 051,19 102 051
7646,Hygiène et salubrité - Désinfection suite à des transferts ou départs,,,,,,,,,,,30 759 362,30 759 362
7648,Entretien ménager (hors territoire),,,,,,,,,,,103 284,103 284
7650,Gestion des déchets biomédicaux,,,,,,,,,,,13 618 412,13 618 412
7690,Transport externe des usagers,,1 710 293,1 027 795,,7 898 892,1 120 801,921 543,246 830,15 361 465,,,28 287 618
7701,Fonctionnement des installations - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,1 670 717,1 670 717
7702,Fonctionnement des installations - Internat pour personnes ayant une déficience physique,,,,,,,,,,,398 945,398 945
7703,Fonctionnement des installations - Autres,,,,,,,,,,,587 820 609,587 820 609
7708,Fonctionnement des installations (Hors-territoire),,,,,,,,,,,7 901,7 901
7710,Sécurité,,,,,,,,,,,88 195 286,88 195 286
7801,Entretien du parc immobilier et du mobilier / Équipement général (propriété CHQ ou établissement public),,,,,,,,,,,343 862 370,343 862 370
7802,Entretien et réparation des équipements médicaux,,,,,,,,,,,100 809 900,100 809 900
7805,Entretien et réparation des espaces loués (établissement public),,,,,,,,,,,5 273 979,5 273 979
7806,Maintien d'actifs immobiliers (propriété CHQ ou établissement public),,,,,,,,,,,4 799 966,4 799 966
7807,Entretien et réparation du parc immobilier et du mobilier / Équipement - Autres ,,,,,,,,,,,20 838 140,20 838 140
7910,Besoins spéciaux,,,743 207,,6 295 212,7 671,,,,,,7 046 089
7995,Lutte à une pandémie d'influenza,,,,39 804,,,,,,,,39 804
7999,Autres activités spéciales,704 257,75 267 183,1 797 861,3 118 243,11 537 111,694 643,1 246 499,275 387,,18 714 030,34 105,113 389 319
8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TED",,,,,,4 575 613,,,,,,4 575 613
8002,"Évaluation, expertise et orientation - Déficience physique",,,,,,,2 675 355,,,,,2 675 355
8020,Réadaptation pour adultes - Déficience motrice,,,,,,,84 631 570,,,,,84 631 570
8030,Réadaptation pour enfants - Déficience motrice,,,,,,,50 347 203,,,,,50 347 203
8040,Adaptation / intégration sociales et adaptation professionelle - Déficience motrice,,,,,,,22 035 792,,,,,22 035 792
8050,Services d'adaptation et de réadaptation à la personne - Déficience intellectuelle et TED,,,,,,262 095 313,,,,,,262 095 313
8060,Adaptation / réadaptation - Déficience visuelle,,,,,,,17 762 213,,,,,17 762 213
8070,Adaptation / réadaptation - Déficience auditive,,,,,,,24 787 412,,,,,24 787 412
8080,Adaptation / réadaptation - Déficience du language et de la parole,,,,,,,29 901 087,,,,,29 901 087
8121,Surveillance continue de l'état de santé de la population (Agences : Santé publique),,,,7 650 332,,,,,,,,7 650 332
8122,"Prévention des maladies, des problèmes psychosociaux et des traumatismes (Agences : Santé publique)",,,,11 367 611,,,,,,,,11 367 611
8123,Promotion de la santé et du bien-être (Agences : Santé publique),,,,9 711 332,,,,,,,,9 711 332
8124,Protection de la santé (Agences : Santé publique),,,,12 553 547,,,,,,,,12 553 547
8125,Fonctions de soutien (Agences : Santé publique),,,,3 022 396,,,,,,,,3 022 396
8126,"Direction, coordination et soutien administratif (Agences : Santé publique)",,,,,,,,,,10 826 136,,10 826 136
,TOTAL DES PROGRAMMES,735 799 090,7 380 983 373,1 214 088 889,325 834 816,3 039 055 487,908 080 755,571 881 266,107 075 839,1 134 939 223,2 951 597 423,1 601 381 779,19 970 717 940
