C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,181 866 065,,,,181 866 065
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,50 144 212,,,,50 144 212
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,18 502 971,,,,,,,,,,18 502 971
5505,Unités de vie ouverts pour jeunes mères en difficulté d'adaptation  (LPJ - LSSSS),,,,,,,,,705 417,,,,705 417
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,23 182 972,,,,23 182 972
5512,Ressources intermédiaires - Santé physique,,1 821 868,,,,,,,,,,,1 821 868
5513,Ressources intermédiaires - Santé mentale,,,101 869 227,,,,,,,,,,101 869 227
5514,Ressources intermédiaires - Personnes en perte d'autonomie liée au vieillissement,,,,,317 966 769,,,,,,,,317 966 769
5515,Ressources intermédiaires - Dépendances,,,,,,,,2 251 802,,,,,2 251 802
5516,Ressources intermédiaires - Déficience intellectuelle et TED,,,,,,214 925 900,,,,,,,214 925 900
5517,Ressources intermédiaires - Déficience physique,,,,,,,16 209 423,,,,,,16 209 423
5521,Familles d'accueil - Jeunes en difficulté,,,,,,,,,207 963 758,,,,207 963 758
5523,Familles d'accueil - Santé mentale,,,595 485,,,,,,,,,,595 485
5526,Familles d'accueil - Déficience intellectuelle et TED,,,,,,10 120 916,,,,,,,10 120 916
5527,Familles d'accueil - Déficience physique,,,,,,,353 008,,,,,,353 008
5532,Résidences d'accueil - Santé physique,,42 787,,,,,,,,,,,42 787
5533,Résidences d'accueil - Santé mentale,,,70 138 359,,,,,,,,,,70 138 359
5534,Résidences d'accueil - Personnes en perte d'autonomie liée au vieillissement,,,,,18 667 291,,,,,,,,18 667 291
5535,Résidences d'accueil - Dépendances,,,,,,,,246 145,,,,,246 145
5536,Résidences d'accueil - Déficience intellectuelle et TED,,,,,,132 095 462,,,,,,,132 095 462
5537,Résidences d'accueil - Déficience physique,,,,,,,4 153 038,,,,,,4 153 038
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,6 705 975,,,,6 705 975
5542,Autres ressources - Santé physique,,6 201 406,,,,,,,,,,,6 201 406
5543,Autres ressources - Santé mentale,,,24 696 995,,,,,,,,,,24 696 995
5544,Autres ressources - Personnes en perte d'autonomie liée au vieillissement,,,,,48 816 094,,,,,,,,48 816 094
5545,Autres ressources - Dépendances,,,,,,,,3 729 502,,,,,3 729 502
5546,Autres ressources - Déficience intellectuelle et TED,,,,,,14 858 542,,,,,,,14 858 542
5547,Autres ressources - Déficience physique,,,,,,,5 523 360,,,,,,5 523 360
5552,Supervision et suivi des usagers en RNI - Santé physique,,1 380 272,,,,,,,,,,,1 380 272
5553,Supervision et suivi des usagers en RNI - Santé mentale,,,14 253 759,,,,,,,,,,14 253 759
5554,Supervision et suivi des usagers en RNI - Personnes en perte d'autonomie liée au vieillissement,,,,,22 348 840,,,,,,,,22 348 840
5556,Supervision et suivi des usagers en RNI - Déficience intellectuelle et TED,,,,,,15 808,,,,,,,15 808
5557,Supervision et suivi des usagers en RNI - Déficience physique,,,,,,,99 028,,,,,,99 028
5580,Postulants familles d'accueil de proximité - Jeunes en difficulté,,,,,,,,,19 068 060,,,,19 068 060
5590,Tutelle à un enfant,,,,,,,,,21 628 601,,,,21 628 601
5601,Centre de jour pour jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,2 633 771,,,,2 633 771
5602,Services d'apprentissage aux habitudes de travail (LPJ - LSJPA - LSSSS),,,,,,,,,2 592 438,,,,2 592 438
5603,Programme de qualification des jeunes (PQJ) (LPJ - LSJPA - LSSSS),,,,,,,,,6 859 003,,,,6 859 003
5700,Révision des mesures (LPJ),,,,,,,,,8 441 145,,,,8 441 145
5810,Expertise à la Cour supérieure (LSSSS),,,,,,,,,2 595 948,,,,2 595 948
5820,Médiation familiale (LSSSS),,,,,,,,,208 032,,,,208 032
5830,Recherche d'antécédents et retrouvailles (LSSSS),,,,,,,,,1 619 206,,,,1 619 206
5850,Contentieux (LPJ - LSJPA - LSSSS),,,,,,,,,21 066 126,,,,21 066 126
5860,Santé des jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,6 335 899,,,,6 335 899
5870,Adoption (LSSSS),,,,,,,,,13 807 193,,,,13 807 193
5900,Administration des services à la clientèle (LPJ - LSJPA - LSSSS),,,,,,,,,,,30 652 454,,30 652 454
5910,Services psychosociaux pour les jeunes en difficulté et leur famille,,,,,,,,,133 834 375,,,,133 834 375
5920,Intervention et suivi de crise,,,9 958 138,,,,,,,,,,9 958 138
5930,Services ambulatoires de santé mentale en première ligne,,,129 432 526,,,,,,,,,,129 432 526
5940,Soutien dans la communauté aux personnes souffrant d'un trouble mental grave,,,71 700 262,,,,,,,,,,71 700 262
5950,Formation donnée par le personnel infirmier,268 649,22 110 038,282 739,,1 329 026,,,,,,,,23 990 452
5960,Autres services téléphoniques régionaux,3 024 095,,,,,,,,,,,,3 024 095
5970,Info-social,5 744 805,,,,,,,,,,,,5 744 805
5980,Services infirmiers dans les groupes de médecine de famille ou de cliniques - Réseau,76 781 852,,,,,,,,,,,,76 781 852
5990,Pratique des sages-femmes,16 731 752,,,,,,,,,,,,16 731 752
6000,Administration des soins,,,,,,,,,,,290 279 720,,290 279 720
6010,Unités d'hospitalisation en pédopsychiatrie (0 - 17 ans),,,26 572 709,,,,,,,,,,26 572 709
6020,Unités d'hospitalisation en psychiatrie pour adultes,,,233 892 657,,,,,,,,,,233 892 657
6030,Unités d'hospitalisation en gérontopsychiatrie,,,12 380 569,,,,,,,,,,12 380 569
6050,Soins infirmiers de courte durée aux adultes et aux enfants,,1 700 485 610,,,135 549 220,,3 138 252,,,,,,1 839 173 082
6060,Soins infirmiers aux personnes en perte d'autonomie,,,,,796 276 461,,1 681 688,,,,,,797 958 149
6070,Chirurgie d'un jour,,49 062 936,,,,,,,,,,,49 062 936
6080,Soins infirmiers et d'assistance en unité de réadaptation fonctionnelle intensive,,39 803 705,,,1 241 233,,12 459 843,,,,,,53 504 781
6090,Info-Santé,41 242 731,,,,,,,,,,,,41 242 731
6100,Psychiatrie légale,,,54 211 189,,,,,,,,,,54 211 189
6160,Soins d'assistance aux personnes en pertes d'autonomie,,,,,941 382 416,,612 817,,,,,,941 995 233
6171,Soins infirmiers spécialisés à domicile (santé physique),,10 591 392,,,,,206 501,,,,,,10 797 893
6172,Soins infirmiers à domicile (santé mentale),,,764 082,,,,,,,,,,764 082
6173,Soins infirmiers à domicile réguliers (non répartis),51 437 710,48 140 877,1 156 717,669 271,157 451 383,2 505 275,20 955 001,,,,,,282 316 233
6174,Soins infirmiers à domicile continus,,1 079 110,,,13 164 775,,,,,,,,14 243 884
6178,Soins infirmiers à domicile réguliers (hors-territoire),121 131,90 775,4 453,3 669,534 444,2 019,21 191,,,,,,777 682
6180,Hôtellerie hospitalière,,1 817 985,,,,,,,,,,,1 817 985
6200,Soins spécialisés aux nouveau-nés (néonatologie),,88 944 091,,,,,,,,,,,88 944 091
6240,L'urgence,,602 263 991,51 706 011,,,,,,,,,,653 970 002
6250,Nutrition parentérale totale à domicile,,5 956 479,,,,,,,,,,,5 956 479
6260,Bloc opératoire,,777 922 038,,,,,,,,,,,777 922 038
6270,Unité d'hébergement et de soins de longue durée aux adultes avec diagnostic psychiatrique,,,38 707 703,,,,,,,,,,38 707 703
6280,Hôpital de jour en santé mentale,,,11 906 449,,,,,,,,,,11 906 449
6290,Hôpital de jour gériatrique,,,,,9 849 560,,,,,,,,9 849 560
6302,Consultations externes spécialisées,,184 363 891,,,,,511 518,,,,,,184 875 409
6303,Planification familiale,,5 690 782,,,,,,,,,,,5 690 782
6304,Unité de médecine familiale,31 917 947,,,,,,,,,,,,31 917 947
6307,Services de santé courants,112 069 241,65 422 454,,,,,,,,,,,177 491 695
6308,Services de santé courants (hors territoire),3 978 484,,,,,,,,,,,,3 978 484
6309,Consultation et suivi de la procréation assistée,,4 485 727,,,,,,,,,,,4 485 727
6321,Unité de retraitement des dispositifs médicaux - Déficience motrice,,,,,,,89 875,,,,,,89 875
6322,Unité de retraitement des dispositifs médicaux CLSC et CH,,87 137 517,,,,,39 504,,,,,,87 177 021
6330,Services d'évaluation et de traitement de deuxième et troisième ligne en santé mentale,,,129 939 679,,,,,,,,,,129 939 679
6340,Désintoxication interne en milieu hospitaliler,,,,,,,,1 713 414,,,,,1 713 414
6351,Inhalothérapie à domicile,,12 871 031,,,8 648 872,,1 567 957,,,,,,23 087 860
6352,Inhalothérapie - Autres,,132 958 940,,,,,,,,,,,132 958 940
6360,Centre de soins à la mère et au nouveau-né,,232 214 863,,,,,,,,,,,232 214 863
6370,Enseignement scolaire,,,,,,4 336,282 870,,,,,,287 206
6380,Services ambulatoires de psychogériatrie,,,,,3 426 404,,,,,,,,3 426 404
6390,Service de pastorale,,11 223 985,753 714,,7 242 655,,213 020,81 560,,,,,19 514 934
6430,Encadrement des ressources non institutionnelles (RNI),,206 263,6 899 233,,8 080 448,17 653 788,1 830 145,132 481,24 390 771,,,,59 193 129
6460,Services aux revendicateurs de statuts de réfugié,8 743 963,,,,,,,,,,,,8 743 963
6510,Santé parentale et infantile,47 473 274,,,2 096 915,,,,,,,,,49 570 189
6531,Aide à domicile régulière,2 753 711,8 707 354,1 556 180,,199 629 384,12 550 936,110 617 392,,,,,,335 814 956
6532,Aide à domicile continue,,,,,7 882 565,,978 674,,,,,,8 861 239
6540,Services dentaires préventifs,,,,16 767 232,,,,,,,,,16 767 232
6550,Services dentaires curatifs,,4 843 004,,,,,,,,,,,4 843 004
6561,Services psychosociaux à domicile,3 561 059,8 746 596,590 092,,105 978 768,13 431 279,20 887 003,,,,,,153 194 797
6562,Services psychosociaux - Autres que SAD,81 109 278,,,,,,,,,,,,81 109 278
6564,Psychologie,2 254 321,19 444 444,12 401 720,,2 007 153,,1 704 500,,,,,,37 812 137
6565,Services sociaux,,60 406 301,14 488 636,,18 256 940,,1 920 068,,,,,,95 071 945
6568,Services psychosociaux (hors territoire),1 843 566,,,,,,,,,,,,1 843 566
6590,Santé scolaire,25 561 329,,,2 402 935,,,,,,,,,27 964 264
6601,Banque de sang,,31 705 657,,,,,,,,,,,31 705 657
6602,Dépistage prénatal de la trisomie 21,,2 330 655,,,,,,,,,,,2 330 655
6604,Anatomopathologie,,69 847 707,,,,,,,,,,,69 847 707
6605,Cytologie,,19 373 282,,,,,,,,,,,19 373 282
6606,Centre de prélèvements,37 137 497,19 426 220,,,,,,,,,,,56 563 717
6607,Laboratoires regroupés,,423 263 886,,,,,32 166,,,,,,423 296 052
6608,Dépistage néonatal,,451 423,,1 913 923,,,,,,,,,2 365 346
6609,Génétique médicale,,21 146 644,,,,,,,,,,,21 146 644
6610,Physiologie repiratoire,,21 329 953,,,,,,,,,,,21 329 953
6620,Sécurité tranfusionnelle et produits sanguins,,333 279 090,,,,,,,,,,,333 279 090
6650,Chambre hyperbare,,1 022 890,,,,,,,,,,,1 022 890
6670,Services spécialisés en toxicomanie - Usagers admis,,,,,,,,24 301 464,,,,,24 301 464
6680,Services externes en toxicomanie,,,,,,,,53 998 096,,,,,53 998 096
6690,Unité d'intervention brève de traitement en toxicomanie,,,,,,,,1 470 704,,,,,1 470 704
6710,Électrophysiologie,,55 385 501,,,,,,,,,,,55 385 501
6750,Hémodynamie et électrophysiologie interventionnelle,,162 598 809,,,,,,,,,,,162 598 809
6761,Surveillance continue de l'état de santé de la population,,,,891 081,,,,,,,,,891 081
6762,"Prévention des maladies, des problèmes psychosociaux et des traumatismes",,,,4 730 688,,,,,,,,,4 730 688
6763,Promotion de la santé et du bien-être,,,,5 870 857,,,,,,,,,5 870 857
6764,Protection de la santé,,,,6 312 430,,,,,,,,,6 312 430
6765,Fonctions de soutien,,,,764 375,,,,,,,,,764 375
6766,"Direction, coordination et soutien administratif",,,,,,,,,,2 113 579,,,2 113 579
6770,Endoscopie,,79 213 388,,,,,,,,,,,79 213 388
6780,Médecine nucléaire et TEP,,72 763 691,,,,,,,,,,,72 763 691
6791,Hémodialyse traditionnelle en unité de dialyse,,126 634 842,,,,,,,,,,,126 634 842
6792,Hémodialyse semi-autonome en unité de dialyse,,11 104 182,,,,,,,,,,,11 104 182
6793,Hémodialyse à domicile,,2 913 019,,,,,,,,,,,2 913 019
6794,Hémodialyse hors de l'unité de dialyse,,2 657 688,,,,,,,,,,,2 657 688
6795,Dialyse péritonéale,,20 522 217,,,,,,,,,,,20 522 217
6796,Unité mobile d'hémodialyse,,708 957,,,,,,,,,,,708 957
6800,Pharmacie,,812 202 853,31 440 541,,114 709 177,155 274,3 057 419,53 700,,,,,961 618 963
6831,Radiologie générale,,110 923 458,,,,,241 449,,,,,,111 164 907
6832,Ultrasonographie,,34 796 122,,,,,,,,,,,34 796 122
6833,Mammographie,,13 822 774,,,,,,,,,,,13 822 774
6834,Tomodensitométrie,,51 851 272,,,,,,,,,,,51 851 272
6835,Résonance magnétique,,29 666 284,,,,,,,,,,,29 666 284
6836,Angioradiologie (excluant cardiaque),,51 982 978,,,,,,,,,,,51 982 978
6837,Lithotripsie,,239 970,,,,,,,,,,,239 970
6839,Support à l'imagerie médicale,,103 230 500,,,,,,,,,,,103 230 500
6840,Radio-oncologie,,80 600 105,,,,,,,,,,,80 600 105
6860,Audiologie et orthophonie,,38 565 209,,,,,1 923 988,,,,,,40 489 197
6870,Physiothérapie,,110 605 430,1 318 525,,38 664 872,,5 582 257,,,,,,156 171 084
6880,Ergothérapie,,49 890 022,9 260 867,,33 386 914,,5 573 153,,,,,,98 110 956
6890,Animation-Loisirs,,1 282 161,5 045 070,,39 370 465,,173 534,,,,,,45 871 230
6900,Réinsertion et intégration sociales (santé physique),,1 402 550,,,,,,,,,,,1 402 550
6910,Services d'assistance éducative spécialisée à la famille et aux proches - Déficience intellectuelle et TED,,,,,,209 598,,,,,,,209 598
6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TED,,,,,,204 198,,,,,,,204 198
6945,Internat - Déficience intellectuelle et TED,,,,,,24 150 954,,,,,,,24 150 954
6946,Internat - Déficience physique,,,,,,,28 230 549,,,,,,28 230 549
6960,Centre de jour pour personnes en perte d'autonomie,,,,,38 101 471,,,,,,,,38 101 471
6973,Centre de jour - Déficience physique,,,,,,,6 684 432,,,,,,6 684 432
6977,Centre de jour en santé mentale - Jeunes (0 - 17 ans),,,169 378,,,,,,,,,,169 378
6978,Centre de jour en santé mentale - Adultes (18 - 100 ans),,,5 345 255,,,,,,,,,,5 345 255
6984,Foyers de groupe - Déficience physique,,,,,,,490 718,,,,,,490 718
6985,Foyers de groupe en santé mentale - Jeunes (0 - 17 ans),,,7 499 431,,,,,,,,,,7 499 431
6986,Foyers de groupe en santé mentale - Adultes (18 - 100 ans),,,15 951 014,,,,,,,,,,15 951 014
6988,Foyers de groupe - Perte d'autonomie liée au vieillissement,,,,,52 010,,,,,,,,52 010
6989,Foyer de groupe - Jeunes en difficulté (LPJ - LSJPA - LSSSS),,,,,,,,,46 788 667,,,,46 788 667
7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - Déficience intellectuelle et TED,,,,,,26 080 931,,,,,,,26 080 931
7002,Centre pour activités de jour - Santé mentale,,,97 347,,,,,,,,,,97 347
7011,Atelier de travail - Déficience intellectuelle et TED,,,,,,6 723 645,,,,,,,6 723 645
7012,Atelier de travail - Déficience physique,,,,,,,247 849,,,,,,247 849
7013,Atelier de travail - Santé mentale,,,1 169 477,,,,,,,,,,1 169 477
7022,Support des stages en milieu de travail - Déficience physique,,,,,,,3 635,,,,,,3 635
7023,Support des stages en milieu de travail - Santé mentale,,,381 850,,,,,,,,,,381 850
7024,Support des stages individuels - Déficience intellectuelle et TED,,,,,,5 067 534,,,,,,,5 067 534
7025,Support des plateaux de travail - Déficience intellectuelle et TED,,,,,,7 620 283,,,,,,,7 620 283
7031,Intégration à l'emploi - Déficience intellectuelle et TED,,,,,,340 970,,,,,,,340 970
7033,Intégration à l'emploi - Santé mentale,,,1 765 552,,,,,,,,,,1 765 552
7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TED),,,22 392,,,78 607 523,,,,,,,78 629 915
7042,Ressources résidentielles - Assistance résidentielle continue (déficience physique),,,,,,,7 226 661,,,,,,7 226 661
7043,Ressources résidentielles - Assistance résidentielle continue (santé mentale),,,6 498 501,,,,,,,,,,6 498 501
7051,Ressources résidentielles avec allocations pour assistance continue - Déficience intellectuelle et TED,,,,,,881 409,,,,,,,881 409
7052,Ressources résidentielles avec allocations pour assistance continue - Déficience physique,,,,,,,304 045,,,,,,304 045
7053,Ressources résidentielles avec allocations pour assistance continue - Santé mentale,,,89 903,,,,,,,,,,89 903
7060,Hémato-oncologie,,85 865 956,,,,,,,,,,,85 865 956
7081,Soutien aux familles de personnes ayant une déficience physique,,,,,,,10 274 172,,,,,,10 274 172
7082,Soutien aux familles de personnes ayant une déficience intellectuelle,,,,,,10 764 977,,,,,,,10 764 977
7083,Soutien aux familles de personnes ayant un trouble envahissant du développement (TED) - Allocations,,,,,,10 256 144,,,,,,,10 256 144
7090,Médecine de jour,,119 653 684,,,,,,,,,,,119 653 684
7101,Services aux usagers en milieu naturel - Déficience intellectuelle et TED,,,,,,22 891 066,,,,,,,22 891 066
7105,"Adaptation et soutien à la personne, à la famille et aux proches - Santé mentale",,,1 747 402,,,,,,,,,,1 747 402
7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",,,,,,330 204,,,224 462,,,,554 666
7108,"Adaptation et soutien à la personne, à la famille et aux proches - Déficience physique",,,,,,,3 513 851,,,,,,3 513 851
7111,Nutrition à domicile,1 020 982,2 150 298,,,4 655 668,,1 575 336,,,,,,9 402 284
7112,Nutrition - Autres,6 530 289,4 667 764,,595 519,,,,,,,,,11 793 571
7120,Intervention  communautaire,,,,4 348 604,4 516 268,,,,,,,,8 864 872
7151,Gestion et soutien des services à domicile,5 983 275,6 250 245,247 795,331 538,40 032 513,3 481 611,14 159 312,,,,,,70 486 289
7152,Gestion et soutien aux autres programmes,38 691 381,49 332 468,37 454 845,12 212 258,17 306 379,2 971 957,5 224 221,,17 102 486,,,,180 295 994
7153,"Gestion et soutien aux programmes - Centre de réadaptation (Toxicomanes, DP)",,,,,,,15 782 616,5 366 116,,,,,21 148 732
7154,Gestion et soutien d'une centrale,6 500 007,,,,,,,,,,,,6 500 007
7155,Gestion et soutien des services sociaux et santé aux réfugiés,506 303,,,,,,,,,,,,506 303
7156,Gestion et soutien à la psychogériatrie ou au centre de jour,,,,,353 799,,,,,,,,353 799
7157,Gestion et soutien aux programmes santé publique,,,,11 065 207,,,,,,,,,11 065 207
7158,Gestion et soutien aux programmes (hors territoire),459 837,,149 064,,545 325,,,,122 046,,,,1 276 271
7161,Ergothérapie à domicile,2 811 575,6 340 751,,,30 201 919,1 051 081,23 088 231,,,,,,63 493 556
7162,Physiothérapie à domicile,19 022 696,1 857 972,,,18 673 892,100 588,4 031 828,,,,,,43 686 976
7163,Prêt d'équipement aux usagers des services à domicile,86 647,283 137,34 442,,6 399 821,128 908,1 601 270,,,,,,8 534 224
7180,Soutien aux programmes - CRDI,,,,,,52 512 125,,,,,,,52 512 125
7201,Programmes d'intéressement aux étudiants,,,,,,,,,,,6 181 180,,6 181 180
7202,Coordination et soutien,,,,,,,,,,,30 079 425,,30 079 425
7203,Bibliothèque,,,,,,,,,,,8 631 991,,8 631 991
7210,Réseau d'enseignement universitaire,,,,,,,,,,,6 877 271,,6 877 271
7301,Direction générale,,,,,,,,,,246 594 882,,,246 594 882
7302,Administration financière,,,,,,,,,,215 089 620,,,215 089 620
7303,Administration du personnel,,,,,,,,,,352 416 190,,,352 416 190
7304,Administration des services professionnnels,,,,,,,,,,96 698 083,,,96 698 083
7305,Services de vérification interne,,,,,,,,,,48 820,,,48 820
7306,Administration financière et du personnel (non réparti),,,,,,,,,,9 410 287,,,9 410 287
7307,Approvisionnement et services,,,,,,,,,,111 771 377,,,111 771 377
7320,Administration des services techniques,,,,,,,,,,38 634 694,,,38 634 694
7340,Informatique,,,,,,,,,,202 993 677,,,202 993 677
7350,Gestion de l'information,,,,,,,,,,,11 399 410,,11 399 410
7391,Déplacement des personnes ayant une déficience physique,,,,,,,3 254 786,,,,,,3 254 786
7392,Déplacement des personnes présentant une déficience intellectuelle,,,,,,157 899,,,,,,,157 899
7395,Déplacement des personnes en hémodialyse,,4 640 959,,,,,,,,,,,4 640 959
7400,Déplacement des usagers,,176 504 527,,,,,59 534,,,,,,176 564 061
7532,Archives,,,,,,,,,,,169 028 980,,169 028 980
7533,Réception - Archives - Télécommunications (non réparti),,,,,,,,,,,63 442 869,,63 442 869
7534,Réception,,,,,,,,,,,129 973 801,,129 973 801
7535,Télécommunications,,,,,,,,,,,94 182 191,,94 182 191
7536,Transcription des dictées médicales,,,,,,,,,,,14 691 467,,14 691 467
7551,Alimentation - Internat pour personnes ayant une déficience physique,,,,,,,,,,,1 039 581,,1 039 581
7552,Alimentation - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,2 099 160,,2 099 160
7553,Nutrition clinique,,64 400 519,,,,,957 868,,,,,,65 358 387
7554,Alimentation - Autres,,,,,,,,,,,578 328 496,,578 328 496
7601,Buanderie et lingerie - Internat pour personnes ayant une déficience physique,,,,,,,,,,,717 824,,717 824
7602,Buanderie et lingerie - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,782 021,,782 021
7603,Buanderie et lingerie - Autres,,,,,,,,,,,271 598,,271 598
7604,Buanderie,,,,,,,,,,,104 634 597,,104 634 597
7605,Entretien des vêtements des usagers,,,,,,,,,,,14 303 176,,14 303 176
7606,"Cueillette, Distribution et Autres charges",,,,,,,,,,,83 812 601,,83 812 601
7644,Hygiène et salubrité - Tâches opérationnnelles,,,,,,,,,,,,401 274 682,401 274 682
7645,Hygiène et salubrité - Tâches fonctionnelles,,,,,,,,,,,,18 087 605,18 087 605
7646,Hygiène et salubrité - Désinfection suite à des transferts ou départs,,,,,,,,,,,,33 937 722,33 937 722
7648,Entretien ménager (hors territoire),,,,,,,,,,,,98 461,98 461
7650,Gestion des déchets biomédicaux,,,,,,,,,,,,14 826 524,14 826 524
7690,Transport externe des usagers,,2 089 668,461 619,,8 057 725,1 057 800,1 104 170,281 772,15 072 729,,,,28 125 484
7701,Fonctionnement des installations - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,,2 110 679,2 110 679
7702,Fonctionnement des installations - Internat pour personnes ayant une déficience physique,,,,,,,,,,,,414 636,414 636
7703,Fonctionnement des installations - Autres,,,,,,,,,,,,589 280 430,589 280 430
7708,Fonctionnement des installations (Hors-territoire),,,,,,,,,,,,56 891,56 891
7710,Sécurité,,,,,,,,,,,,89 804 076,89 804 076
7801,Entretien du parc immobilier et du mobilier / Équipement général (propriété CHQ ou établissement public),,,,,,,,,,,,344 561 482,344 561 482
7802,Entretien et réparation des équipements médicaux,,,,,,,,,,,,103 256 639,103 256 639
7805,Entretien et réparation des espaces loués (établissement public),,,,,,,,,,,,5 304 256,5 304 256
7806,Maintien d'actifs immobiliers (propriété CHQ ou établissement public),,,,,,,,,,,,10 248 522,10 248 522
7807,Entretien et réparation du parc immobilier et du mobilier / Équipement - Autres (propriété autre que établissement public et CHQ),,,,,,,,,,,,21 787 498,21 787 498
7910,Besoins spéciaux,,,825 015,,6 539 454,,,,,,,,7 364 468
7995,Lutte à une pandémie d'influenza,,,,102 341,,,,,,,,,102 341
7999,Autres activités spéciales,1 630 369,75 931 764,669 921,2 799 680,12 015 235,909 379,1 319 793,276 467,,12 254 737,3 130 626,14 569 425,125 507 396
8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TED",,,,,,4 442 058,,,,,,,4 442 058
8002,"Évaluation, expertise et orientation - Déficience physique",,,,,,,2 869 777,,,,,,2 869 777
8020,Réadaptation pour adultes - Déficience motrice,,,,,,,89 585 082,,,,,,89 585 082
8030,Réadaptation pour enfants - Déficience motrice,,,,,,,53 124 774,,,,,,53 124 774
8040,Adaptation / intégration sociales et adaptation professionelle - Déficience motrice,,,,,,,22 741 605,,,,,,22 741 605
8050,Services d'adaptation et de réadaptation à la personne - Déficience intellectuelle et TED,,,,,,294 015 009,,,,,,,294 015 009
8060,Adaptation / réadaptation - Déficience visuelle,,,,,,,19 047 890,,,,,,19 047 890
8070,Adaptation / réadaptation - Déficience auditive,,,,,,,27 468 417,,,,,,27 468 417
8080,Adaptation / réadaptation - Déficience du language et de la parole,,,,,,,32 769 465,,,,,,32 769 465
8121,Surveillance continue de l'état de santé de la population (Agences : Santé publique),,,,7 825 793,,,,,,,,,7 825 793
8122,"Prévention des maladies, des problèmes psychosociaux et des traumatismes (Agences : Santé publique)",,,,12 950 424,,,,,,,,,12 950 424
8123,Promotion de la santé et du bien-être (Agences : Santé publique),,,,7 811 988,,,,,,,,,7 811 988
8124,Protection de la santé (Agences : Santé publique),,,,15 001 743,,,,,,,,,15 001 743
8125,Fonctions de soutien (Agences : Santé publique),,,,2 991 600,,,,,,,,,2 991 600
8126,"Direction, coordination et soutien administratif (Agences : Santé publique)",,,,,,,,,,13 210 635,,,13 210 635
