C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
5553,Suivi professionnel des usagers en RI - RTF - Santé mentale,,,17 937 968,,,,,,,,,,17 937 968
5554,Suivi professionnel des usagers en RI - RTF -  Soutien à l'autonomie des personnes âgées,,,,,13 008 186,,,,,,,,13 008 186
5556,Suivi professionnel des usagers en RI - RTF - Déficience intellectuelle et TSA,,,,,,614 080,,,,,,,614 080
5557,Suivi professionnel des usagers en RI - RTF - Déficience physique,,,,,,,120 051,,,,,,120 051
5580,Postulants familles d'accueil de proximité - Jeunes en difficulté,,,,,,,,,10 923 362,,,,10 923 362
5590,Tutelle à un enfant,,,,,,,,,30 862 613,,,,30 862 613
5601,Centre de jour pour jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,2 298 943,,,,2 298 943
5602,Services d'apprentissage aux habitudes de travail (LPJ - LSJPA - LSSSS),,,,,,,,,2 243 673,,,,2 243 673
5603,Programme de qualification des jeunes (PQJ) (LPJ - LSJPA - LSSSS),,,,,,,,,6 873 901,,,,6 873 901
5700,Révision des mesures (LPJ),,,,,,,,,10 462 510,,,,10 462 510
5810,Expertise à la Cour supérieure (LSSSS),,,,,,,,,3 830 078,,,,3 830 078
5820,Médiation familiale (LSSSS),,,,,,,,,146 171,,,,146 171
5830,Recherche d'antécédents et retrouvailles (LSSSS),,,,,,,,,2 190 227,,,,2 190 227
5850,Contentieux (LPJ - LSJPA - LSSSS),,,,,,,,,25 475 435,,,,25 475 435
5860,Santé des jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,6 511 793,,,,6 511 793
5870,Adoption (LSSSS),,,,,,,,,12 515 259,,,,12 515 259
5900,Administration des services à la clientèle (LPJ - LSJPA - LSSSS),,,,,,,,,,,34 592 484,,34 592 484
5910,Services psychosociaux pour les jeunes en difficulté et leur famille,,,,,,,,,151 876 567,,,,151 876 567
5921,Intervention de crise dans le milieu 24/7 - Services sociaux généraux,8 665 817,,,,,,,,,,,,8 665 817
5922,Intervention et suivi de crise - Santé mentale,,,6 200 871,,,,,,,,,,6 200 871
5930,Services ambulatoires de santé mentale en première ligne,,,144 954 809,,,,,,,,,,144 954 809
5940,Soutien dans la communauté aux personnes souffrant d'un trouble mental grave,,,102 960 441,,,,,,,,,,102 960 441
5950,Formation donnée par le personnel infirmier,1 403 321,20 177 545,836 515,,3 399 844,,,,,,,,25 817 226
5960,Autres services téléphoniques régionaux,3 694 175,,,,,,,,,,,,3 694 175
5970,Info-social,14 579 482,,,,,,,,,,,,14 579 482
5980,Services infirmiers dans les groupes de médecine de famille ou de cliniques - Réseau,129 452 457,,,,,,,,,,,,129 452 457
5990,Pratique des sages-femmes,22 075 652,,,,,,,,,,,,22 075 652
6000,Administration des soins,,,,,,,,,,,291 225 226,,291 225 226
6010,Unités d'hospitalisation en pédopsychiatrie (0 - 17 ans),,,29 345 763,,,,,,,,,,29 345 763
6020,Unités d'hospitalisation en psychiatrie pour adultes,,,257 371 858,,,,,,,,,,257 371 858
6030,Unités d'hospitalisation en gérontopsychiatrie,,,13 754 247,,,,,,,,,,13 754 247
6051,Médecine,,537 270 071,,,13 444 906,,3 015 766,,,,,,553 730 742
6052,Chirurgie,,192 447 537,,,1 104 771,,,,,,,,193 552 308
6053,Soins intensifs,,442 542 521,,,,,,,,,,,442 542 521
6055,Pédiatrie,,88 407 750,,,,,,,,,,,88 407 750
6056,Médecine et chirurgie (non répartie),,669 532 780,,,14 413 042,,,,,,,,683 945 822
6057,Unité des grands brûlés,,7 089 508,,,,,,,,,,,7 089 508
6058,Gériatrie active,,,,,110 957 978,,,,,,,,110 957 978
6060,Soins infirmiers aux personnes en perte d'autonomie,,,,,958 321 262,,1 820 812,,,,,,960 142 074
6070,Chirurgie d'un jour,,59 532 011,,,,,,,,,,,59 532 011
6080,Soins infirmiers et d'assistance en unité de réadaptation fonctionnelle intensive,,33 867 177,,,,,22 152 356,,,,,,56 019 533
6090,Info-Santé 8-1-1,41 292 451,,,,,,,,,,,,41 292 451
6100,Psychiatrie légale,,,59 467 916,,,,,,,,,,59 467 916
6160,Soins d'assistance aux personnes en pertes d'autonomie,,,,,1 130 199 558,,711 564,,,,,,1 130 911 122
6171,Soins infirmiers spécialisés à domicile (santé physique),,10 443 625,,,,,,,,,,,10 443 625
6172,Soins infirmiers à domicile (santé mentale),,,1 350 953,,,,,,,,,,1 350 953
6173,Soins infirmiers à domicile réguliers (non répartis),61 725 906,56 063 143,2 946 429,,197 987 225,3 201 648,30 332 010,,,,,,352 256 361
6174,Soins infirmiers à domicile continus,,,,,17 275 173,,,,,,,,17 275 173
6180,Hôtellerie hospitalière,,2 557 299,,,,,,,,,,,2 557 299
6200,Soins spécialisés aux nouveau-nés (néonatologie),,106 556 269,,,,,,,,,,,106 556 269
6240,L'urgence,,660 266 401,65 085 943,,,,,,,,,,725 352 344
6250,Nutrition parentérale totale à domicile,,6 444 021,,,,,,,,,,,6 444 021
6260,Bloc opératoire,,944 624 713,,,,,,,,,,,944 624 713
6270,Unité d'hébergement et de soins de longue durée aux adultes avec diagnostic psychiatrique,,,36 455 741,,,,,,,,,,36 455 741
6280,Hôpital de jour en santé mentale,,,11 437 643,,,,,,,,,,11 437 643
6290,Hôpital de jour gériatrique,,,,,9 533 187,,,,,,,,9 533 187
6302,Consultations externes spécialisées,,211 886 630,,,,,,,,,,,211 886 630
6303,Planification familiale,,4 256 954,,,,,,,,,,,4 256 954
6304,Unité de médecine familiale/Groupe de médecine de famille universitaire,53 099 530,,,,,,,,,,,,53 099 530
6307,Services de santé courants,121 022 602,83 321 357,,,,,,,,,,,204 343 959
6309,Consultation et suivi de la procréation assistée,,2 412 675,,,,,,,,,,,2 412 675
6321,Unité de retraitement des dispositifs médicaux - Déficience motrice,,,,,,,10 857,,,,,,10 857
6322,Unité de retraitement des dispositifs médicaux CLSC et CH,,100 602 045,,,,,,,,,,,100 602 045
6330,Services d'évaluation et de traitement de deuxième et troisième ligne en santé mentale,,,140 857 955,,,,,,,,,,140 857 955
6340,Désintoxication interne en milieu hospitalier,,,,,,,,2 913 252,,,,,2 913 252
6351,Inhalothérapie à domicile,,15 763 515,,,8 552 456,,1 961 945,,,,,,26 277 916
6352,Inhalothérapie - Autres,,151 258 240,,,,,,,,,,,151 258 240
6360,Centre de soins à la mère et au nouveau-né,,257 028 235,,,,,,,,,,,257 028 235
6370,Enseignement scolaire,,,,,,,10 422,,1 233 532,,,,1 243 954
6380,Services ambulatoires de psychogériatrie,,,,,5 749 618,,,,,,,,5 749 618
6390,Service de soins spirituels,,11 201 188,518 408,,5 713 986,,133 605,,,,,,17 567 187
6430,Encadrement des ressources,,366 306,7 993 885,,8 828 629,16 841 446,1 589 883,112 183,25 461 501,,,,61 193 834
6460,Services aux revendicateurs de statuts de réfugié,35 872 892,,,,,,,,,,,,35 872 892
6510,Santé parentale et infantile,45 920 346,,,,,,,,,,,,45 920 346
6531,Aide à domicile régulière,2 925 926,13 745 531,1 446 584,,290 244 275,17 596 283,136 949 665,,,,,,462 908 264
6532,Aide à domicile continue,,,,,8 644 824,,,,,,,,8 644 824
6540,Services dentaires préventifs,,,,18 278 480,,,,,,,,,18 278 480
6550,Services dentaires curatifs,,11 098 474,,,,,,,,,,,11 098 474
6561,Services psychosociaux à domicile,3 490 360,10 734 590,1 720 899,,136 036 487,18 922 212,24 764 952,,,,,,195 669 500
6564,Psychologie,593 583,19 238 050,11 954 198,,2 051 000,,1 893 417,,,,,,35 730 247
6565,Services sociaux,,69 803 592,19 357 819,,22 936 516,,2 507 815,,,,,,114 605 742
6590,Santé scolaire,26 507 562,,,,,,,,,,,,26 507 562
6601,Banque de sang,,32 234 192,,,,,,,,,,,32 234 192
6602,Dépistage prénatal de la trisomie 21,,2 290 029,,,,,,,,,,,2 290 029
6604,Anatomopathologie,,83 606 315,,,,,,,,,,,83 606 315
6605,Cytologie,,18 808 665,,,,,,,,,,,18 808 665
6606,Centre de prélèvements,46 003 728,17 251 438,,,,,,,,,,,63 255 166
6607,Laboratoires regroupés,,456 794 453,,,,,,,,,,,456 794 453
6608,Dépistage néonatal,,,,3 476 044,,,,,,,,,3 476 044
6609,Génétique médicale,,23 897 837,,,,,,,,,,,23 897 837
6610,Physiologie repiratoire,,27 179 735,,,,,,,,,,,27 179 735
6620,Sécurité tranfusionnelle et produits sanguins,,384 289 421,,,,,,,,,,,384 289 421
6650,Chambre hyperbare,,1 199 872,,,,,,,,,,,1 199 872
6670,Services spécialisés en toxicomanie - Usagers admis,,,,,,,,28 334 354,,,,,28 334 354
6680,Services externes en toxicomanie,,,,,,,,55 783 142,,,,,55 783 142
6690,Unité d'intervention brève de traitement en toxicomanie,,,,,,,,1 415 417,,,,,1 415 417
6710,Électrophysiologie,,65 013 075,,,,,,,,,,,65 013 075
6720,"Accueil, analyse, orientation et référence (A A O R) - Services sociaux généraux",30 153 341,,,,,,,,,,,,30 153 341
6730,Consultation sociale et psychologique de courte durée,81 862 811,,,,,,,,,,,,81 862 811
6740,Volet psychosocial en contexte de sécurité civile,652 663,,,,,,,,,,,,652 663
6750,Hémodynamie et électrophysiologie interventionnelle,,174 232 039,,,,,,,,,,,174 232 039
6761,Surveillance continue de l'état de santé de la population,,,,8 836 679,,,,,,,,,8 836 679
6762,"Prévention des maladies, des problèmes psychosociaux et des traumatismes",,,,12 624 925,,,,,,,,,12 624 925
6763,Promotion de la santé et du bien-être,,,,16 850 384,,,,,,,,,16 850 384
6764,Protection de la santé,,,,21 458 076,,,,,,,,,21 458 076
6765,Fonctions de soutien,,,,3 178 305,,,,,,,,,3 178 305
6766,"Direction, coordination et soutien administratif",,,,,,,,,,19 239 548,,,19 239 548
6770,Endoscopie,,100 381 642,,,,,,,,,,,100 381 642
6780,Médecine nucléaire et TEP,,92 290 947,,,,,,,,,,,92 290 947
6791,Hémodialyse traditionnelle en unité de dialyse,,149 085 028,,,,,,,,,,,149 085 028
6792,Hémodialyse semi-autonome en unité de dialyse,,6 296 707,,,,,,,,,,,6 296 707
6793,Hémodialyse à domicile,,4 586 146,,,,,,,,,,,4 586 146
6794,Hémodialyse hors de l'unité de dialyse,,2 969 107,,,,,,,,,,,2 969 107
6795,Dialyse péritonéale,,24 373 030,,,,,,,,,,,24 373 030
6796,Unité mobile d'hémodialyse,,395 281,,,,,,,,,,,395 281
6801,Pharmacie - Déficience motrice,,,,,,,2 248 386,,,,,,2 248 386
6803,Pharmacie - Usagers externes en CH,,599 783 472,8 523 917,,,,,,,,,,608 307 389
6804,Pharmacie - Usagers hospitalisés,,411 591 056,24 841 158,,14 047 543,,1 801 800,110 148,,,,,452 391 706
6805,Pharmacie - usagers hébergés,,1 580 710,2 126 486,,104 447 121,,601 178,,,,,,108 755 495
6806,Pharmacie en CLSC,,9 975 439,,,,,,,,,,,9 975 439
6831,Radiologie générale,,119 298 319,,,,,,,,,,,119 298 319
6832,Ultrasonographie,,40 544 147,,,,,,,,,,,40 544 147
6833,Mammographie,,15 185 180,,,,,,,,,,,15 185 180
6834,Tomodensitométrie,,59 562 874,,,,,,,,,,,59 562 874
6835,Résonance magnétique,,38 865 067,,,,,,,,,,,38 865 067
6836,Angioradiologie (excluant cardiaque),,52 560 196,,,,,,,,,,,52 560 196
6837,Lithotripsie,,367 105,,,,,,,,,,,367 105
6838,Neuro-Angio-Radiologie,,12 807 411,,,,,,,,,,,12 807 411
6839,Support à l'imagerie médicale,,116 615 273,,,,,,,,,,,116 615 273
6840,Radio-oncologie,,89 294 151,,,,,,,,,,,89 294 151
6861,Audiologie,,11 202 894,,,,,,,,,,,11 202 894
6862,Orthophonie,,18 190 070,,,,,2 943 846,,,,,,21 133 916
6863,Audiologie et orthophonie - Autres en CLSC,,528 886,,,,,,,,,,,528 886
6864,Audiologie et orthophonie à domicile,,109 981,,,,,,,,,,,109 981
6865,Orthophonie pour enfants en CLSC,,14 169 930,,,,,,,,,,,14 169 930
6870,Physiothérapie,,124 429 833,1 490 736,,39 674 999,,8 394 659,,,,,,173 990 227
6880,Ergothérapie,,57 201 613,8 668 610,,38 235 979,,7 451 396,,,,,,111 557 598
6890,Animation-Loisirs,,1 567 478,1 807 700,,41 683 875,,928 274,,,,,,45 987 327
6900,Réinsertion et intégration sociales (santé physique),,1 438 696,,,,,,,,,,,1 438 696
6910,Services d'assistance éducative spécialisée à la famille et aux proches - Déficience intellectuelle et TSA,,,,,,193 283,,,,,,,193 283
6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TSA,,,,,,117 297,,,,,,,117 297
6945,Internat - Déficience intellectuelle et TSA,,,,,,28 898 493,,,,,,,28 898 493
6946,Internat - Déficience physique,,,,,,,32 121 756,,,,,,32 121 756
6960,Centre de jour pour personnes en perte d'autonomie,,,,,32 489 373,,,,,,,,32 489 373
6973,Centre de jour - Déficience physique,,,,,,,6 912 226,,,,,,6 912 226
6978,Centre de jour en santé mentale - Adultes (18 - 100 ans),,,3 527 621,,,,,,,,,,3 527 621
6984,Foyers de groupe - Déficience physique,,,,,,,768 448,,,,,,768 448
6985,Foyers de groupe en santé mentale - Jeunes (0 - 17 ans),,,5 493 248,,,,,,,,,,5 493 248
6986,Foyers de groupe en santé mentale - Adultes (18 - 100 ans),,,24 687 588,,,,,,,,,,24 687 588
6989,Foyer de groupe - Jeunes en difficulté (LPJ - LSJPA - LSSSS),,,,,,,,,50 093 661,,,,50 093 661
7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - Déficience intellectuelle et TSA,,,,,,32 554 609,,,,,,,32 554 609
7002,Centre pour activités de jour - Santé mentale,,,83 087,,,,,,,,,,83 087
7011,Atelier de travail - Déficience intellectuelle et TSA,,,,,,4 266 352,,,,,,,4 266 352
7012,Atelier de travail - Déficience physique,,,,,,,57 660,,,,,,57 660
7013,Atelier de travail - Santé mentale,,,1 083 439,,,,,,,,,,1 083 439
7022,Support des stages en milieu de travail - Déficience physique,,,,,,,2 946,,,,,,2 946
7023,Support des stages en milieu de travail - Santé mentale,,,122 837,,,,,,,,,,122 837
7024,Support des stages individuels - Déficience intellectuelle et TSA,,,,,,3 403 013,,,,,,,3 403 013
7025,Support des plateaux de travail - Déficience intellectuelle et TSA,,,,,,12 419 478,,,,,,,12 419 478
7031,Intégration à l'emploi - Déficience intellectuelle et TSA,,,,,,360 625,,,,,,,360 625
7033,Intégration à l'emploi - Santé mentale,,,1 104 603,,,,,,,,,,1 104 603
7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TSA),,,,,,97 512 996,,,,,,,97 512 996
7042,Ressources résidentielles - Assistance résidentielle continue (déficience physique),,,,,,,6 823 925,,,,,,6 823 925
7043,Ressources résidentielles - Assistance résidentielle continue (santé mentale),,,9 062 742,,,,,,,,,,9 062 742
7051,Ressources résidentielles avec allocations pour assistance continue - Déficience intellectuelle et TSA,,,,,,803 854,,,,,,,803 854
7052,Ressources résidentielles avec allocations pour assistance continue - Déficience physique,,,,,,,306 206,,,,,,306 206
7053,Ressources résidentielles avec allocations pour assistance continue - Santé mentale,,,86 511,,,,,,,,,,86 511
7060,Services d'oncologie et d'hémathologie,,108 713 735,,,,,,,,,,,108 713 735
7081,Soutien aux familles de personnes ayant une déficience physique,,,,,,,9 567 951,,,,,,9 567 951
7082,Soutien aux familles de personnes ayant une déficience intellectuelle,,,,,,10 842 236,,,,,,,10 842 236
7083,Soutien aux familles de personnes ayant un TSA - Allocations,,,,,,12 522 472,,,,,,,12 522 472
7090,L'unité de médecine de jour,,137 626 034,,,,,,,,,,,137 626 034
7101,"Adaptation et soutien à la personne, à la famille et aux proches - DI et TSA",,,,,,37 895 933,,,,,,,37 895 933
7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",,,,,,250 522,,,300,,,,250 822
7108,"Adaptation et soutien à la personne, à la famille et aux proches - Déficience physique",,,,,,,4 223 438,,,,,,4 223 438
7111,Nutrition à domicile,1 425 245,2 801 034,,,5 879 513,,2 039 771,,,,,,12 145 562
7112,Nutrition - Autres,10 774 385,6 964 438,,,,,,,,,,,17 738 823
7120,Intervention  communautaire,,,,,7 056 681,,,,,,,,7 056 681
7151,Gestion et soutien des services à domicile,6 666 489,7 719 132,427 291,,50 086 456,4 205 635,16 539 459,,,,,,85 644 461
7152,Gestion et soutien aux autres programmes,41 853 696,59 173 369,47 862 676,,19 457 361,8 802 896,7 162 321,,27 203 686,,,,211 516 005
7153,"Gestion et soutien aux programmes - Centre de réadaptation (Toxicomanes, DP)",,,,,,,12 278 360,6 279 709,,,,,18 558 069
7154,Gestion et soutien d'une centrale,7 688 897,,,,,,,,,,,,7 688 897
7157,Gestion et soutien aux programmes santé publique,,,,12 887 550,,,,,,,,,12 887 550
7158,Gestion et soutien aux programmes (hors territoire),25 222 569,13 092 145,10 900 934,3 561 431,1 991 362,349 118,199 079,1 549 468,3 908 226,578 713,238 392,,61 591 437
7161,Ergothérapie à domicile,3 256 779,7 969 279,,,37 037 467,1 365 585,27 068 100,,,,,,76 697 210
7162,Physiothérapie à domicile,22 613 444,3 437 686,,,24 905 229,164 627,4 878 457,,,,,,55 999 443
7163,Prêt d'équipement aux usagers des services à domicile,146 994,437 467,53 532,,11 270 480,262 763,2 560 990,,,,,,14 732 226
7180,Soutien aux programmes - CRDI,,,,,,49 005 280,,,,,,,49 005 280
7201,Programmes d'intéressement aux étudiants,,,,,,,,,,,6 475 188,,6 475 188
7202,Coordination et soutien,,,,,,,,,,,32 549 002,,32 549 002
7203,Bibliothèque,,,,,,,,,,,10 567 867,,10 567 867
7210,Réseau d'enseignement universitaire,,,,,,,,,,,9 651 990,,9 651 990
7301,Direction générale,,,,,,,,,,227 251 866,,,227 251 866
7302,Administration financière,,,,,,,,,,236 210 786,,,236 210 786
7303,Administration du personnel,,,,,,,,,,414 983 542,,,414 983 542
7304,Administration des services professionnnels,,,,,,,,,,107 235 575,,,107 235 575
7305,Services de vérification interne,,,,,,,,,,333 780,,,333 780
7306,Administration financière et du personnel (non réparti),,,,,,,,,,1 919 089,,,1 919 089
7307,Approvisionnement et services,,,,,,,,,,145 645 984,,,145 645 984
7320,Administration des services techniques,,,,,,,,,,42 945 807,,,42 945 807
7330,Équipe d'un CHU fiduciaire de la formation continue partagée,,,,,,,,,,,3 680 125,,3 680 125
7340,Informatique,,,,,,,,,,341 549 300,,,341 549 300
7350,Gestion de l'information,,,,,,,,,,,9 912 566,,9 912 566
7391,Déplacement des personnes ayant une déficience physique,,,,,,,3 144 179,,,,,,3 144 179
7392,Déplacement des personnes présentant une déficience intellectuelle,,,,,,108 790,,,,,,,108 790
7395,Déplacement des personnes en hémodialyse,,4 369 632,,,,,,,,,,,4 369 632
7400,Déplacement des usagers,,261 207 819,,,,,,,,,,,261 207 819
7532,Archives,,,,,,,,,,,174 520 152,,174 520 152
7533,Réception - Archives - Télécommunications (non réparti),,,,,,,,,,,48 523 728,,48 523 728
7534,Réception,,,,,,,,,,,167 117 220,,167 117 220
7535,Télécommunications,,,,,,,,,,,107 892 072,,107 892 072
7536,Transcription des dictées médicales,,,,,,,,,,,16 223 075,,16 223 075
7551,Alimentation - Internat pour personnes ayant une déficience physique,,,,,,,,,,,182 260,,182 260
7552,Alimentation - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,1 465 686,,1 465 686
7553,Nutrition clinique,,67 865 609,,,,,,,,,,,67 865 609
7554,Alimentation - Autres,,,,,,,,,,,628 042 568,,628 042 568
7601,Buanderie et lingerie - Internat pour personnes ayant une déficience physique,,,,,,,,,,,311 512,,311 512
7602,Buanderie et lingerie - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,477 093,,477 093
7603,Buanderie et lingerie - Autres,,,,,,,,,,,126 827,,126 827
7604,Buanderie,,,,,,,,,,,107 022 086,,107 022 086
7605,Entretien des vêtements des usagers,,,,,,,,,,,15 208 681,,15 208 681
7606,"Cueillette, Distribution et Autres charges",,,,,,,,,,,93 571 726,,93 571 726
7644,Hygiène et salubrité - Tâches opérationnnelles,,,,,,,,,,,,459 220 385,459 220 385
7645,Hygiène et salubrité - Tâches fonctionnelles,,,,,,,,,,,,25 380 469,25 380 469
7646,Hygiène et salubrité - Désinfection suite à des transferts ou départs,,,,,,,,,,,,33 432 242,33 432 242
7650,Gestion des déchets biomédicaux,,,,,,,,,,,,16 183 717,16 183 717
7690,Transport externe des usagers,,2 447 887,627 542,,7 523 674,619 493,1 202 739,241 660,13 718 721,,,,26 381 716
7701,Fonctionnement des installations - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,,709 346,709 346
7702,Fonctionnement des installations - Internat pour personnes ayant une déficience physique,,,,,,,,,,,,816 673,816 673
7703,Fonctionnement des installations - Autres,,,,,,,,,,,,654 135 271,654 135 271
7710,Sécurité,,,,,,,,,,,,107 818 457,107 818 457
7801,Entretien du parc immobilier et du parc d'équipement non médical et mobilier (propriété CHQ ou établissement public),,,,,,,,,,,,392 867 533,392 867 533
7802,Entretien et réparation des équipements médicaux,,,,,,,,,,,,133 072 314,133 072 314
7805,Entretien et réparation des espaces loués (établissement public),,,,,,,,,,,,3 129 002,3 129 002
7806,Maintien d'actifs immobiliers (propriété CHQ ou établissement public),,,,,,,,,,,,6 537 504,6 537 504
7807,Entretien et réparation du parc immobilier et du parc d'équipement non médical et mobilier - Autres ,,,,,,,,,,,,19 969 831,19 969 831
7910,Besoins spéciaux,,,1 684 141,,7 589 512,,,,,,,,9 273 653
7981,Activités spéciales - Services généraux,1 088 067,3 798 870,,,,,,,,,,,4 886 937
7982,Activités spéciales - Santé physique,,29 223 686,,,,,,,,,,,29 223 686
7983,Activités spéciales - Santé mentale,,,925 601,51 000,,,,103 625,,,,,1 080 226
7984,Activités spéciales - Santé publique,,,,851 059,,,,,,,,,851 059
7985,Activités spéciales - Soutien à l'autonomie des personnes âgées,,,,,1 080 229,,,,,,,,1 080 229
7988,Activités spéciales - Dépendances,,,,,,,,587 607,,,,,587 607
7989,Activités spéciales - Jeunes en difficulté,,,,,,,,,1 031 386,,,,1 031 386
7992,Activités spéciales - Administration,,,,,8 506 089,,,,,21 297 544,899 030,,30 702 663
7993,Activités spéciales - Soutien aux services,447 929,,,2 204 096,,,,,,2 398 642,3 135 467,,8 186 134
7994,Activités spéciales - Gestion des bâtiments et des équipements,,,,,,,,,,,,1 305 054,1 305 054
7995,Lutte à une pandémie d'influenza,,,,6 495,,,,,,,,,6 495
8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TSA",,,,,,4 836 693,,,,,,,4 836 693
8002,"Évaluation, expertise et orientation - Déficience physique",,,,,,,4 080 949,,,,,,4 080 949
