C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
6839,Support à l'imagerie médicale,,97 305 931,,,,,,,,,,,97 305 931
6840,Radio-oncologie,,80 337 252,,,,,,,,,,,80 337 252
6860,Audiologie et orthophonie,,36 270 294,,,,,1 909 691,,,,,,38 179 985
6870,Physiothérapie,,108 060 272,1 292 248,,38 409 127,,5 393 956,,,,,,153 155 603
6880,Ergothérapie,,49 333 161,9 044 372,,33 058 509,,5 405 980,,,,,,96 842 021
6890,Animation-Loisirs,,1 315 948,5 492 125,,38 812 798,,181 103,,,,,,45 801 974
6900,Réinsertion et intégration sociales (santé physique),,1 170 919,,,,,,,,,,,1 170 919
6910,Services d'assistance éducative spécialisée à la famille et aux proches - Déficience intellectuelle et TED,,,,,,173 497,,,,,,,173 497
6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TED,,,,,,42 221,,,,,,,42 221
6945,Internat - Déficience intellectuelle et TED,,,,,,23 901 584,,,,,,,23 901 584
6946,Internat - Déficience physique,,,,,,,28 608 835,,,,,,28 608 835
6960,Centre de jour pour personnes en perte d'autonomie,,,,,38 084 488,,,,,,,,38 084 488
6973,Centre de jour - Déficience physique,,,,,,,6 483 896,,,,,,6 483 896
6977,Centre de jour en santé mentale - Jeunes (0 - 17 ans),,,262 841,,,,,,,,,,262 841
6978,Centre de jour en santé mentale - Adultes (18 - 100 ans),,,5 298 827,,,,,,,,,,5 298 827
6984,Foyers de groupe - Déficience physique,,,,,,,513 245,,,,,,513 245
6985,Foyers de groupe en santé mentale - Jeunes (0 - 17 ans),,,5 134 655,,,,,,,,,,5 134 655
6986,Foyers de groupe en santé mentale - Adultes (18 - 100 ans),,,15 213 632,,,,,,,,,,15 213 632
6988,Foyers de groupe - Perte d'autonomie liée au vieillissement,,,,,88 280,,,,,,,,88 280
6989,Foyer de groupe - Jeunes en difficulté (LPJ - LSJPA - LSSSS),,,,,,,,,47 120 004,,,,47 120 004
7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - Déficience intellectuelle et TED,,,,,,27 255 331,,,,,,,27 255 331
7002,Centre pour activités de jour - Santé mentale,,,301 386,,,,,,,,,,301 386
7011,Atelier de travail - Déficience intellectuelle et TED,,,,,,7 225 291,,,,,,,7 225 291
7012,Atelier de travail - Déficience physique,,,,,,,329 347,,,,,,329 347
7013,Atelier de travail - Santé mentale,,,1 109 187,,,,,,,,,,1 109 187
7022,Support des stages en milieu de travail - Déficience physique,,,,,,,-1 054,,,,,,-1 054
7023,Support des stages en milieu de travail - Santé mentale,,,374 495,,,,,,,,,,374 495
7024,Support des stages individuels - Déficience intellectuelle et TED,,,,,,6 008 056,,,,,,,6 008 056
7025,Support des plateaux de travail - Déficience intellectuelle et TED,,,,,,9 047 863,,,,,,,9 047 863
7031,Intégration à l'emploi - Déficience intellectuelle et TED,,,,,,346 416,,,,,,,346 416
7033,Intégration à l'emploi - Santé mentale,,,1 835 887,,,,,,,,,,1 835 887
7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TED),,,24 148,,,83 765 675,,,,,,,83 789 823
7042,Ressources résidentielles - Assistance résidentielle continue (déficience physique),,,,,,,7 460 222,,,,,,7 460 222
7043,Ressources résidentielles - Assistance résidentielle continue (santé mentale),,,6 885 675,,,,,,,,,,6 885 675
7051,Ressources résidentielles avec allocations pour assistance continue - Déficience intellectuelle et TED,,,,,,868 539,,,,,,,868 539
7052,Ressources résidentielles avec allocations pour assistance continue - Déficience physique,,,,,,,298 793,,,,,,298 793
7053,Ressources résidentielles avec allocations pour assistance continue - Santé mentale,,,74 761,,,,,,,,,,74 761
7060,Hémato-oncologie,,83 573 455,,,,,,,,,,,83 573 455
7081,Soutien aux familles de personnes ayant une déficience physique,,,,,,,16 286 248,,,,,,16 286 248
7082,Soutien aux familles de personnes ayant une déficience intellectuelle,,,,,,11 230 370,,,,,,,11 230 370
7083,Soutien aux familles de personnes ayant un trouble envahissant du développement (TED) - Allocations,,,,,,10 070 150,,,,,,,10 070 150
7090,Médecine de jour,,113 131 364,,,,,,,,,,,113 131 364
7101,Services aux usagers en milieu naturel - Déficience intellectuelle et TED,,,,,,20 974 648,,,,,,,20 974 648
7105,"Adaptation et soutien à la personne, à la famille et aux proches - Santé mentale",,,1 664 108,,,,,,,,,,1 664 108
7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",,,,,,355 060,,,285 638,,,,640 698
7108,"Adaptation et soutien à la personne, à la famille et aux proches - Déficience physique",,,,,,,3 255 565,,,,,,3 255 565
7111,Nutrition à domicile,912 966,2 220 679,,,4 460 961,,1 439 485,,,,,,9 034 092
7112,Nutrition - Autres,6 427 399,4 389 537,,750 457,,,,,,,,,11 567 393
7120,Intervention  communautaire,,,,5 322 531,4 135 945,,,,,,,,9 458 476
7151,Gestion et soutien des services à domicile,6 217 665,6 329 231,304 764,465 639,40 688 238,3 622 588,14 470 333,,,,,,72 098 458
7152,Gestion et soutien aux autres programmes,39 817 550,45 018 090,38 701 625,13 289 034,17 389 959,3 079 924,5 627 644,47 246,17 859 381,,,,180 830 453
7153,"Gestion et soutien aux programmes - Centre de réadaptation (Toxicomanes, DP)",,,,,,,15 264 906,5 068 331,,,,,20 333 237
7154,Gestion et soutien d'une centrale,6 346 123,,,,,,,,,,,,6 346 123
7155,Gestion et soutien des services sociaux et santé aux réfugiés,474 314,,,,,,,,,,,,474 314
7156,Gestion et soutien à la psychogériatrie ou au centre de jour,,,,,405 373,,,,,,,,405 373
7157,Gestion et soutien aux programmes santé publiques,,,,10 122 726,,,,,,,,,10 122 726
7158,Gestion et soutien aux programmes (hors territoire),435 079,,130 375,,136 479,,,,848 757,,,,1 550 690
7161,Ergothérapie à domicile,2 371 329,5 686 539,,,29 003 505,893 233,22 713 001,,,,,,60 667 607
7162,Physiothérapie à domicile,17 962 810,1 684 221,,,17 320 096,52 230,3 423 602,,,,,,40 442 958
7163,Prêt d'équipement aux usagers des services à domicile,93 291,234 338,40 935,,5 123 714,92 095,1 329 623,,,,,,6 913 996
7180,Soutien aux programmes - CRDI,,,,,,49 917 204,,,,,,,49 917 204
7201,Programmes d'intéressement aux étudiants,,,,,,,,,,,6 358 691,,6 358 691
7202,Coordination et soutien,,,,,,,,,,,28 999 681,,28 999 681
7203,Bibliothèque,,,,,,,,,,,8 877 264,,8 877 264
7210,Réseau d'enseignement universitaire,,,,,,,,,,,6 734 104,,6 734 104
7301,Direction générale,,,,,,,,,,248 590 556,,,248 590 556
7302,Administration financière,,,,,,,,,,214 378 834,,,214 378 834
7303,Administration du personnel,,,,,,,,,,348 849 525,,,348 849 525
7304,Administration des services professionnnels,,,,,,,,,,96 697 278,,,96 697 278
7305,Services de vérification interne,,,,,,,,,,71 877,,,71 877
7306,Administration financière et du personnel (non réparti),,,,,,,,,,9 877 338,,,9 877 338
7307,Approvisionnement et services,,,,,,,,,,111 211 029,,,111 211 029
7320,Administration des services techniques,,,,,,,,,,39 666 365,,,39 666 365
7340,Informatique,,,,,,,,,,217 850 770,,,217 850 770
7350,Gestion de l'information,,,,,,,,,,,9 973 780,,9 973 780
7391,Déplacement des personnes ayant une déficience physique,,,,,,,3 229 671,,,,,,3 229 671
7392,Déplacement des personnes présentant une déficience intellectuelle,,,,,,188 130,,,,,,,188 130
7395,Déplacement des personnes en hémodialyse,,4 524 054,,,,,,,,,,,4 524 054
7400,Déplacement des usagers,,170 177 813,,,,,,,,,,,170 177 813
7532,Archives,,,,,,,,,,,167 007 894,,167 007 894
7533,Réception - Archives - Télécommunications (non réparti),,,,,,,,,,,65 070 913,,65 070 913
7534,Réception,,,,,,,,,,,134 691 956,,134 691 956
7535,Télécommunications,,,,,,,,,,,94 967 758,,94 967 758
7536,Transcription des dictées médicales,,,,,,,,,,,14 471 375,,14 471 375
7551,Alimentation - Internat pour personnes ayant une déficience physique,,,,,,,,,,,1 223 771,,1 223 771
7552,Alimentation - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,2 072 441,,2 072 441
7553,Nutrition clinique,,63 229 290,,,,,861 436,,,,,,64 090 726
7554,Alimentation - Autres,,,,,,,,,,,574 625 899,,574 625 899
7601,Buanderie et lingerie - Internat pour personnes ayant une déficience physique,,,,,,,,,,,710 323,,710 323
7602,Buanderie et lingerie - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,775 104,,775 104
7603,Buanderie et lingerie - Autres,,,,,,,,,,,314 904,,314 904
7604,Buanderie,,,,,,,,,,,107 376 353,,107 376 353
7605,Entretien des vêtements des usagers,,,,,,,,,,,14 057 500,,14 057 500
7606,"Cueillette, Distribution et Autres charges",,,,,,,,,,,84 423 354,,84 423 354
7644,Hygiène et salubrité - Tâches opérationnnelles,,,,,,,,,,,,391 944 704,391 944 704
7645,Hygiène et salubrité - Tâches fonctionnelles,,,,,,,,,,,,17 694 139,17 694 139
7646,Hygiène et salubrité - Désinfection suite à des transferts ou départs,,,,,,,,,,,,32 828 308,32 828 308
7648,Entretien ménager (hors territoire),,,,,,,,,,,,96 719,96 719
7650,Gestion des déchets biomédicaux,,,,,,,,,,,,14 395 147,14 395 147
7690,Transport externe des usagers,,1 760 870,625 872,,8 014 528,913 761,831 408,259 469,14 972 546,,,,27 378 453
7701,Fonctionnement des installations - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,,1 899 817,1 899 817
7702,Fonctionnement des installations - Internat pour personnes ayant une déficience physique,,,,,,,,,,,,357 785,357 785
7703,Fonctionnement des installations - Autres,,,,,,,,,,,,602 008 340,602 008 340
7708,Fonctionnement des installations (Hors-territoire),,,,,,,,,,,,56 918,56 918
7710,Sécurité,,,,,,,,,,,,87 471 701,87 471 701
7801,Entretien du parc immobilier et du mobilier / Équipement général (propriété CHQ ou établissement public),,,,,,,,,,,,345 631 117,345 631 117
7802,Entretien et réparation des équipements médicaux,,,,,,,,,,,,104 961 009,104 961 009
7805,Entretien et réparation des espaces loués (établissement public),,,,,,,,,,,,4 966 110,4 966 110
7806,Maintien d'actifs immobiliers (propriété CHQ ou établissement public),,,,,,,,,,,,5 339 924,5 339 924
7807,Entretien et réparation du parc immobilier et du mobilier / Équipement - Autres (autre que établissement public et CHQ),,,,,,,,,,,,22 262 353,22 262 353
7910,Besoins spéciaux,,,862 041,,6 346 208,,,,,,,,7 208 249
7995,Lutte à une pandémie d'influenza,,,,37 647,,,,,,,,,37 647
7999,Autres activités spéciales,1 724 549,79 397 995,695 171,2 870 597,11 794 548,853 982,1 242 617,276 876,,15 276 419,2 184 349,48 811,116 365 914
8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TED",,,,,,4 485 752,,,,,,,4 485 752
8002,"Évaluation, expertise et orientation - Déficience physique",,,,,,,2 703 200,,,,,,2 703 200
8020,Réadaptation pour adultes - Déficience motrice,,,,,,,88 224 452,,,,,,88 224 452
8030,Réadaptation pour enfants - Déficience motrice,,,,,,,52 036 966,,,,,,52 036 966
8040,Adaptation / intégration sociales et adaptation professionelle - Déficience motrice,,,,,,,22 843 242,,,,,,22 843 242
8050,Services d'adaptation et de réadaptation à la personne - Déficience intellectuelle et TED,,,,,,276 577 441,,,,,,,276 577 441
8060,Adaptation / réadaptation - Déficience visuelle,,,,,,,18 458 612,,,,,,18 458 612
8070,Adaptation / réadaptation - Déficience auditive,,,,,,,26 371 501,,,,,,26 371 501
8080,Adaptation / réadaptation - Déficience du language et de la parole,,,,,,,31 975 199,,,,,,31 975 199
8121,Surveillance continue de l'état de santé de la population (Agences : Santé publique),,,,7 258 644,,,,,,,,,7 258 644
8122,"Prévention des maladies, des problèmes psychosociaux et des traumatismes (Agences : Santé publique)",,,,11 935 228,,,,,,,,,11 935 228
8123,Promotion de la santé et du bien-être (Agences : Santé publique),,,,8 164 539,,,,,,,,,8 164 539
8124,Protection de la santé (Agences : Santé publique),,,,15 204 572,,,,,,,,,15 204 572
8125,Fonctions de soutien (Agences : Santé publique),,,,2 931 651,,,,,,,,,2 931 651
8126,"Direction, coordination et soutien administratif (Agences : Santé publique)",,,,,,,,,,12 771 995,,,12 771 995
,TOTAL DES PROGRAMMES,740 565 952,7 621 779 469,1 263 020 430,330 704 509,3 193 669 439,976 067 909,603 278 852,113 113 011,1 170 839 482,1 316 716 062,1 651 891 347,1 631 962 902,20 613 609 363
