C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
5532,Résidences d'accueil - Santé physique,,46 171,,,,,,,,,,,46 171
5533,Résidences d'accueil - Santé mentale,,,64 211 318,,,,,,,,,,64 211 318
5534,Résidences d'accueil - Soutien à l'autonomie des personnes âgées,,,,,16 645 477,,,,,,,,16 645 477
5535,Résidences d'accueil - Dépendances,,,,,,,,236 699,,,,,236 699
5536,Résidences d'accueil - Déficience intellectuelle et TSA,,,,,,157 039 254,,,,,,,157 039 254
5537,Résidences d'accueil - Déficience physique,,,,,,,2 718 488,,,,,,2 718 488
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,9 868 483,,,,9 868 483
5542,Autres ressources - Santé physique,,4 062 927,,,,,,,,,,,4 062 927
5543,Autres ressources - Santé mentale,,,21 963 396,,,,,,,,,,21 963 396
5544,Autres ressources - Soutien à l'autonomie des personnes âgées,,,,,62 210 562,,,,,,,,62 210 562
5545,Autres ressources - Dépendances,,,,,,,,3 476 303,,,,,3 476 303
5546,Autres ressources - Déficience intellectuelle et TSA,,,,,,20 259 632,,,,,,,20 259 632
5547,Autres ressources - Déficience physique,,,,,,,7 059 988,,,,,,7 059 988
5552,Suivi professionnel des usagers en RI - RTF - Santé physique,,258 722,,,,,,,,,,,258 722
5553,Suivi professionnel des usagers en RI - RTF - Santé mentale,,,16 502 817,,,,,,,,,,16 502 817
5554,Suivi professionnel des usagers en RI - RTF -  Soutien à l'autonomie des personnes âgées,,,,,15 125 775,,,,,,,,15 125 775
5556,Suivi professionnel des usagers en RI - RTF - Déficience intellectuelle et TSA,,,,,,552 871,,,,,,,552 871
5557,Suivi professionnel des usagers en RI - RTF - Déficience physique,,,,,,,100 011,,,,,,100 011
5580,Postulants familles d'accueil de proximité - Jeunes en difficulté,,,,,,,,,8 936 033,,,,8 936 033
5590,Tutelle à un enfant,,,,,,,,,28 028 225,,,,28 028 225
5601,Centre de jour pour jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,2 037 601,,,,2 037 601
5602,Services d'apprentissage aux habitudes de travail (LPJ - LSJPA - LSSSS),,,,,,,,,2 214 901,,,,2 214 901
5603,Programme de qualification des jeunes (PQJ) (LPJ - LSJPA - LSSSS),,,,,,,,,6 943 186,,,,6 943 186
5700,Révision des mesures (LPJ),,,,,,,,,9 508 411,,,,9 508 411
5810,Expertise à la Cour supérieure (LSSSS),,,,,,,,,3 462 901,,,,3 462 901
5820,Médiation familiale (LSSSS),,,,,,,,,177 500,,,,177 500
5830,Recherche d'antécédents et retrouvailles (LSSSS),,,,,,,,,1 701 581,,,,1 701 581
5850,Contentieux (LPJ - LSJPA - LSSSS),,,,,,,,,22 081 690,,,,22 081 690
5860,Santé des jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,6 348 410,,,,6 348 410
5870,Adoption (LSSSS),,,,,,,,,12 807 566,,,,12 807 566
5900,Administration des services à la clientèle (LPJ - LSJPA - LSSSS),,,,,,,,,,,35 849 982,,35 849 982
5910,Services psychosociaux pour les jeunes en difficulté et leur famille,,,,,,,,,144 119 627,,,,144 119 627
5921,Intervention de crise dans le milieu 24/7 - Services sociaux généraux,8 745 549,,,,,,,,,,,,8 745 549
5922,Intervention et suivi de crise - Santé mentale,,,5 582 959,,,,,,,,,,5 582 959
5930,Services ambulatoires de santé mentale en première ligne,,,138 384 663,,,,,,,,,,138 384 663
5940,Soutien dans la communauté aux personnes souffrant d'un trouble mental grave,,,87 992 761,,,,,,,,,,87 992 761
5950,Formation donnée par le personnel infirmier,1 051 877,20 532 906,365 297,,2 567 487,,,,,,,,24 517 566
5960,Autres services téléphoniques régionaux,3 818 271,,,,,,,,,,,,3 818 271
5970,Info-social,13 176 178,,,,,,,,,,,,13 176 178
5980,Services infirmiers dans les groupes de médecine de famille ou de cliniques - Réseau,110 486 135,,,,,,,,,,,,110 486 135
5990,Pratique des sages-femmes,21 268 786,,,,,,,,,,,,21 268 786
6000,Administration des soins,,,,,,,,,,,279 480 496,,279 480 496
6010,Unités d'hospitalisation en pédopsychiatrie (0 - 17 ans),,,26 712 198,,,,,,,,,,26 712 198
6020,Unités d'hospitalisation en psychiatrie pour adultes,,,245 403 137,,,,,,,,,,245 403 137
6030,Unités d'hospitalisation en gérontopsychiatrie,,,12 908 440,,,,,,,,,,12 908 440
6051,Médecine,,454 099 222,,,9 723 513,,2 812 738,,,,,,466 635 473
6052,Chirurgie,,145 845 577,,,550 218,,,,,,,,146 395 795
6053,Soins intensifs,,416 002 917,,,,,,,,,,,416 002 917
6055,Pédiatrie,,85 709 236,,,,,,,,,,,85 709 236
6056,Médecine et chirurgie (non répartie),,731 540 518,,,10 537 426,,,,,,,,742 077 944
6057,Unité des grands brûlés,,7 321 844,,,,,,,,,,,7 321 844
6058,Gériatrie active,,,,,107 431 058,,,,,,,,107 431 058
6060,Soins infirmiers aux personnes en perte d'autonomie,,,,,910 940 032,,1 617 560,,,,,,912 557 592
6070,Chirurgie d'un jour,,54 156 037,,,,,,,,,,,54 156 037
6080,Soins infirmiers et d'assistance en unité de réadaptation fonctionnelle intensive,,33 495 412,,,,,16 686 176,,,,,,50 181 588
6090,Info-Santé 8-1-1,41 046 771,,,,,,,,,,,,41 046 771
6100,Psychiatrie légale,,,54 890 548,,,,,,,,,,54 890 548
6160,Soins d'assistance aux personnes en pertes d'autonomie,,,,,1 079 511 464,,651 002,,,,,,1 080 162 466
6171,Soins infirmiers spécialisés à domicile (santé physique),,10 167 690,,,,,,,,,,,10 167 690
6172,Soins infirmiers à domicile (santé mentale),,,2 664 551,,,,,,,,,,2 664 551
6173,Soins infirmiers à domicile réguliers (non répartis),56 879 179,52 708 656,3 309 128,,176 403 131,3 633 357,27 936 806,,,,,,320 870 257
6174,Soins infirmiers à domicile continus,,,,,17 229 811,,,,,,,,17 229 811
6180,Hôtellerie hospitalière,,2 362 723,,,,,,,,,,,2 362 723
6200,Soins spécialisés aux nouveau-nés (néonatologie),,101 453 765,,,,,,,,,,,101 453 765
6240,L'urgence,,626 031 823,60 996 412,,,,,,,,,,687 028 235
6250,Nutrition parentérale totale à domicile,,7 058 135,,,,,,,,,,,7 058 135
6260,Bloc opératoire,,891 528 991,,,,,,,,,,,891 528 991
6270,Unité d'hébergement et de soins de longue durée aux adultes avec diagnostic psychiatrique,,,35 066 278,,,,,,,,,,35 066 278
6280,Hôpital de jour en santé mentale,,,11 869 464,,,,,,,,,,11 869 464
6290,Hôpital de jour gériatrique,,,,,9 786 702,,,,,,,,9 786 702
6302,Consultations externes spécialisées,,199 506 821,,,,,,,,,,,199 506 821
6303,Planification familiale,,4 218 578,,,,,,,,,,,4 218 578
6304,Unité de médecine familiale/Groupe de médecine de famille universitaire,42 544 505,,,,,,,,,,,,42 544 505
6307,Services de santé courants,121 110 700,80 576 135,,,,,,,,,,,201 686 835
6309,Consultation et suivi de la procréation assistée,,2 991 756,,,,,,,,,,,2 991 756
6321,Unité de retraitement des dispositifs médicaux - Déficience motrice,,,,,,,37 657,,,,,,37 657
6322,Unité de retraitement des dispositifs médicaux CLSC et CH,,96 042 324,,,,,,,,,,,96 042 324
6330,Services d'évaluation et de traitement de deuxième et troisième ligne en santé mentale,,,131 705 484,,,,,,,,,,131 705 484
6340,Désintoxication interne en milieu hospitalier,,,,,,,,2 211 546,,,,,2 211 546
6351,Inhalothérapie à domicile,,15 037 358,,,8 155 134,,1 737 833,,,,,,24 930 324
6352,Inhalothérapie - Autres,,142 493 257,,,,,,,,,,,142 493 257
6360,Centre de soins à la mère et au nouveau-né,,246 007 569,,,,,,,,,,,246 007 569
6370,Enseignement scolaire,,,,,,,22 164,,1 383 186,,,,1 405 350
6380,Services ambulatoires de psychogériatrie,,,,,4 906 118,,,,,,,,4 906 118
6390,Service de soins spirituels,,11 015 033,482 265,,5 835 665,,252 976,3 307,,,,,17 589 246
6430,Encadrement des ressources,,333 786,7 451 904,,8 506 848,15 555 357,1 754 948,81 255,20 269 983,,,,53 954 080
6460,Services aux revendicateurs de statuts de réfugié,42 075 793,,,,,,,,,,,,42 075 793
6510,Santé parentale et infantile,48 345 291,,,,,,,,,,,,48 345 291
6531,Aide à domicile régulière,2 568 622,12 443 791,1 517 528,,243 970 335,14 328 087,123 735 691,,,,,,398 564 054
6532,Aide à domicile continue,,,,,8 838 020,,,,,,,,8 838 020
6540,Services dentaires préventifs,,,,17 589 181,,,,,,,,,17 589 181
6550,Services dentaires curatifs,,10 623 357,,,,,,,,,,,10 623 357
6561,Services psychosociaux à domicile,3 287 124,10 320 272,1 462 929,,123 725 290,16 451 566,22 399 989,,,,,,177 647 170
6564,Psychologie,1 209 861,18 518 857,11 356 742,,2 395 126,,1 750 578,,,,,,35 231 164
6565,Services sociaux,,69 092 384,16 621 766,,19 852 115,,1 449 488,,,,,,107 015 754
6590,Santé scolaire,26 781 351,,,,,,,,,,,,26 781 351
6601,Banque de sang,,32 250 896,,,,,,,,,,,32 250 896
6602,Dépistage prénatal de la trisomie 21,,2 541 539,,,,,,,,,,,2 541 539
6604,Anatomopathologie,,78 203 736,,,,,,,,,,,78 203 736
6605,Cytologie,,18 396 537,,,,,,,,,,,18 396 537
6606,Centre de prélèvements,44 872 947,17 684 452,,,,,,,,,,,62 557 399
6607,Laboratoires regroupés,,445 382 911,,,,,,,,,,,445 382 911
6608,Dépistage néonatal,,469 257,,2 139 049,,,,,,,,,2 608 306
6609,Génétique médicale,,23 060 294,,,,,,,,,,,23 060 294
6610,Physiologie repiratoire,,24 002 574,,,,,,,,,,,24 002 574
6620,Sécurité tranfusionnelle et produits sanguins,,392 794 214,,,,,,,,,,,392 794 214
6650,Chambre hyperbare,,1 227 920,,,,,,,,,,,1 227 920
6670,Services spécialisés en toxicomanie - Usagers admis,,,,,,,,27 641 787,,,,,27 641 787
6680,Services externes en toxicomanie,,,,,,,,53 425 857,,,,,53 425 857
6690,Unité d'intervention brève de traitement en toxicomanie,,,,,,,,1 526 530,,,,,1 526 530
6710,Électrophysiologie,,60 128 462,,,,,,,,,,,60 128 462
6720,"Accueil, analyse, orientation et référence (A A O R) - Services sociaux généraux",31 267 937,,,,,,,,,,,,31 267 937
6730,Consultation sociale et psychologique de courte durée,72 170 421,,,,,,,,,,,,72 170 421
6740,Volet psychosocial en contexte de sécurité civile,708 325,,,,,,,,,,,,708 325
6750,Hémodynamie et électrophysiologie interventionnelle,,155 753 620,,,,,,,,,,,155 753 620
6761,Surveillance continue de l'état de santé de la population,,,,11 791 668,,,,,,,,,11 791 668
6762,"Prévention des maladies, des problèmes psychosociaux et des traumatismes",,,,11 953 920,,,,,,,,,11 953 920
6763,Promotion de la santé et du bien-être,,,,15 517 979,,,,,,,,,15 517 979
6764,Protection de la santé,,,,19 370 960,,,,,,,,,19 370 960
6765,Fonctions de soutien,,,,2 792 822,,,,,,,,,2 792 822
6766,"Direction, coordination et soutien administratif",,,,,,,,,,17 314 189,,,17 314 189
6770,Endoscopie,,90 635 384,,,,,,,,,,,90 635 384
6780,Médecine nucléaire et TEP,,86 031 981,,,,,,,,,,,86 031 981
6791,Hémodialyse traditionnelle en unité de dialyse,,135 729 343,,,,,,,,,,,135 729 343
6792,Hémodialyse semi-autonome en unité de dialyse,,12 796 889,,,,,,,,,,,12 796 889
6793,Hémodialyse à domicile,,4 781 100,,,,,,,,,,,4 781 100
6794,Hémodialyse hors de l'unité de dialyse,,2 734 126,,,,,,,,,,,2 734 126
6795,Dialyse péritonéale,,23 069 295,,,,,,,,,,,23 069 295
6796,Unité mobile d'hémodialyse,,688 151,,,,,,,,,,,688 151
6801,Pharmacie - Déficience motrice,,,,,,,1 605 037,,,,,,1 605 037
6803,Pharmacie - Usagers externes en CH,,483 041 397,6 407 903,,,,,,,,,,489 449 300
6804,Pharmacie - Usagers hospitalisés,,400 489 292,22 835 454,,10 564 314,,1 576 959,76 791,,,,,435 542 809
6805,Pharmacie - usagers hébergés,,1 519 360,2 611 414,,100 461 334,,298 908,,,,,,104 891 016
6806,Pharmacie en CLSC,,8 386 624,,,,,,,,,,,8 386 624
6831,Radiologie générale,,117 250 975,,,,,,,,,,,117 250 975
6832,Ultrasonographie,,39 173 892,,,,,,,,,,,39 173 892
6833,Mammographie,,14 025 189,,,,,,,,,,,14 025 189
6834,Tomodensitométrie,,55 720 164,,,,,,,,,,,55 720 164
6835,Résonance magnétique,,36 604 839,,,,,,,,,,,36 604 839
6836,Angioradiologie (excluant cardiaque),,48 649 706,,,,,,,,,,,48 649 706
6837,Lithotripsie,,242 899,,,,,,,,,,,242 899
6838,Neuro-Angio-Radiologie,,11 467 907,,,,,,,,,,,11 467 907
6839,Support à l'imagerie médicale,,108 064 439,,,,,,,,,,,108 064 439
6840,Radio-oncologie,,84 568 216,,,,,,,,,,,84 568 216
6861,Audiologie,,10 705 606,,,,,,,,,,,10 705 606
6862,Orthophonie,,17 627 476,,,,,2 599 246,,,,,,20 226 722
6863,Audiologie et orthophonie - Autres en CLSC,,444 180,,,,,,,,,,,444 180
6864,Audiologie et orthophonie à domicile,,109 598,,,,,,,,,,,109 598
6865,Orthophonie pour enfants en CLSC,,12 799 440,,,,,,,,,,,12 799 440
6870,Physiothérapie,,116 836 158,4 267 083,,40 291 078,,6 242 358,,,,,,167 636 677
6880,Ergothérapie,,55 030 241,9 279 882,,38 620 420,,6 158 696,,,,,,109 089 239
6890,Animation-Loisirs,,1 616 254,1 802 217,,42 223 592,,601 052,,,,,,46 243 115
6900,Réinsertion et intégration sociales (santé physique),,1 346 441,,,,,,,,,,,1 346 441
6910,Services d'assistance éducative spécialisée à la famille et aux proches - Déficience intellectuelle et TSA,,,,,,203 813,,,,,,,203 813
6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TSA,,,,,,127 292,,,,,,,127 292
6945,Internat - Déficience intellectuelle et TSA,,,,,,29 427 575,,,,,,,29 427 575
6946,Internat - Déficience physique,,215 352,,,,,28 544 463,,,,,,28 759 815
6960,Centre de jour pour personnes en perte d'autonomie,,,,,32 758 775,,,,,,,,32 758 775
6973,Centre de jour - Déficience physique,,,,,,,6 562 552,,,,,,6 562 552
6978,Centre de jour en santé mentale - Adultes (18 - 100 ans),,,3 586 440,,,,,,,,,,3 586 440
6984,Foyers de groupe - Déficience physique,,,,,,,538 155,,,,,,538 155
6985,Foyers de groupe en santé mentale - Jeunes (0 - 17 ans),,,6 053 037,,,,,,,,,,6 053 037
6986,Foyers de groupe en santé mentale - Adultes (18 - 100 ans),,,23 701 160,,,,,,,,,,23 701 160
6989,Foyer de groupe - Jeunes en difficulté (LPJ - LSJPA - LSSSS),,,,,,,,,48 226 313,,,,48 226 313
7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - Déficience intellectuelle et TSA,,,,,,32 345 346,,,,,,,32 345 346
7002,Centre pour activités de jour - Santé mentale,,,76 478,,,,,,,,,,76 478
7011,Atelier de travail - Déficience intellectuelle et TSA,,,,,,4 201 802,,,,,,,4 201 802
7012,Atelier de travail - Déficience physique,,,,,,,75 067,,,,,,75 067
7013,Atelier de travail - Santé mentale,,,1 061 959,,,,,,,,,,1 061 959
7022,Support des stages en milieu de travail - Déficience physique,,,,,,,2 729,,,,,,2 729
7023,Support des stages en milieu de travail - Santé mentale,,,128 133,,,,,,,,,,128 133
7024,Support des stages individuels - Déficience intellectuelle et TSA,,,,,,4 313 128,,,,,,,4 313 128
7025,Support des plateaux de travail - Déficience intellectuelle et TSA,,,,,,11 176 042,,,,,,,11 176 042
7031,Intégration à l'emploi - Déficience intellectuelle et TSA,,,,,,127 514,,,,,,,127 514
7033,Intégration à l'emploi - Santé mentale,,,1 447 708,,,,,,,,,,1 447 708
7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TSA),,,,,,89 212 285,,,,,,,89 212 285
7042,Ressources résidentielles - Assistance résidentielle continue (déficience physique),,,,,,,6 596 376,,,,,,6 596 376
7043,Ressources résidentielles - Assistance résidentielle continue (santé mentale),,,7 234 645,,,,,,,,,,7 234 645
7051,Ressources résidentielles avec allocations pour assistance continue - Déficience intellectuelle et TSA,,,,,,843 068,,,,,,,843 068
7052,Ressources résidentielles avec allocations pour assistance continue - Déficience physique,,,,,,,324 427,,,,,,324 427
7053,Ressources résidentielles avec allocations pour assistance continue - Santé mentale,,,91 892,,,,,,,,,,91 892
7060,Services d'oncologie et d'hémathologie,,102 160 085,,,,,,,,,,,102 160 085
7081,Soutien aux familles de personnes ayant une déficience physique,,,,,,,9 862 337,,,,,,9 862 337
7082,Soutien aux familles de personnes ayant une déficience intellectuelle,,,,,,10 756 791,,,,,,,10 756 791
7083,Soutien aux familles de personnes ayant un TSA - Allocations,,,,,,11 616 480,,,,,,,11 616 480
7090,L'unité de médecine de jour,,126 875 455,,,,,,,,,,,126 875 455
7101,"Adaptation et soutien à la personne, à la famille et aux proches - DI et TSA",,,,,,30 468 912,,,,,,,30 468 912
7105,"Adaptation et soutien à la personne, à la famille et aux proches - Santé mentale",,,1 583 811,,,,,,,,,,1 583 811
7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",,,,,,186 359,,,11 522,,,,197 881
7108,"Adaptation et soutien à la personne, à la famille et aux proches - Déficience physique",,,,,,,3 047 559,,,,,,3 047 559
7111,Nutrition à domicile,1 349 298,2 716 092,,,5 530 171,,1 790 558,,,,,,11 386 119
7112,Nutrition - Autres,9 330 713,5 949 905,,,,,,,,,,,15 280 618
7120,Intervention  communautaire,,,,,6 647 261,,,,,,,,6 647 261
7151,Gestion et soutien des services à domicile,6 296 518,7 621 660,589 001,,46 001 604,3 923 444,15 528 178,,,,,,79 960 405
7152,Gestion et soutien aux autres programmes,42 832 112,53 550 074,44 922 261,,17 102 323,5 697 213,6 351 888,,25 131 336,,,,195 587 207
7153,"Gestion et soutien aux programmes - Centre de réadaptation (Toxicomanes, DP)",,,,,,,11 119 655,5 610 781,,,,,16 730 436
7154,Gestion et soutien d'une centrale,6 759 421,,,,,,,,,,,,6 759 421
7157,Gestion et soutien aux programmes santé publique,,,,13 628 315,,,,,,,,,13 628 315
7158,Gestion et soutien aux programmes (hors territoire),18 257 644,7 558 485,6 784 141,2 801 938,1 994 355,289 336,151 767,1 009 715,6 786 542,1 878,1 561 662,,47 197 463
7161,Ergothérapie à domicile,3 177 731,7 640 464,,,33 768 506,1 284 200,25 634 443,,,,,,71 505 344
7162,Physiothérapie à domicile,21 504 534,2 701 943,,,21 604 940,127 016,4 384 554,,,,,,50 322 987
7163,Prêt d'équipement aux usagers des services à domicile,133 472,420 615,52 029,,8 895 122,182 426,2 099 025,,,,,,11 782 689
7180,Soutien aux programmes - CRDI,,,,,,51 940 574,,,,,,,51 940 574
7201,Programmes d'intéressement aux étudiants,,,,,,,,,,,6 535 569,,6 535 569
7202,Coordination et soutien,,,,,,,,,,,30 502 993,,30 502 993
7203,Bibliothèque,,,,,,,,,,,10 086 632,,10 086 632
7210,Réseau d'enseignement universitaire,,,,,,,,,,,8 933 143,,8 933 143
7301,Direction générale,,,,,,,,,,220 881 403,,,220 881 403
7302,Administration financière,,,,,,,,,,231 487 009,,,231 487 009
7303,Administration du personnel,,,,,,,,,,392 183 071,,,392 183 071
7304,Administration des services professionnnels,,,,,,,,,,100 320 799,,,100 320 799
7305,Services de vérification interne,,,,,,,,,,209 991,,,209 991
7306,Administration financière et du personnel (non réparti),,,,,,,,,,2 575 655,,,2 575 655
7307,Approvisionnement et services,,,,,,,,,,137 527 934,,,137 527 934
7320,Administration des services techniques,,,,,,,,,,43 055 471,,,43 055 471
7330,Équipe d'un CHU fiduciaire de la formation continue partagée,,,,,,,,,,,2 263 146,,2 263 146
7340,Informatique,,,,,,,,,,332 008 878,,,332 008 878
7350,Gestion de l'information,,,,,,,,,,,9 126 300,,9 126 300
7391,Déplacement des personnes ayant une déficience physique,,,,,,,3 120 710,,,,,,3 120 710
7392,Déplacement des personnes présentant une déficience intellectuelle,,,,,,120 081,,,,,,,120 081
7395,Déplacement des personnes en hémodialyse,,4 144 651,,,,,,,,,,,4 144 651
7400,Déplacement des usagers,,239 017 667,,,,,,,,,,,239 017 667
7532,Archives,,,,,,,,,,,169 164 031,,169 164 031
7533,Réception - Archives - Télécommunications (non réparti),,,,,,,,,,,49 704 169,,49 704 169
7534,Réception,,,,,,,,,,,155 120 834,,155 120 834
7535,Télécommunications,,,,,,,,,,,103 050 363,,103 050 363
7536,Transcription des dictées médicales,,,,,,,,,,,15 568 934,,15 568 934
7551,Alimentation - Internat pour personnes ayant une déficience physique,,,,,,,,,,,254 385,,254 385
7552,Alimentation - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,1 429 404,,1 429 404
7553,Nutrition clinique,,66 449 988,,,,,,,,,,,66 449 988
7554,Alimentation - Autres,,,,,,,,,,,605 007 798,,605 007 798
7601,Buanderie et lingerie - Internat pour personnes ayant une déficience physique,,,,,,,,,,,350 312,,350 312
7602,Buanderie et lingerie - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,584 629,,584 629
7603,Buanderie et lingerie - Autres,,,,,,,,,,,1 302 474,,1 302 474
7604,Buanderie,,,,,,,,,,,105 201 498,,105 201 498
7605,Entretien des vêtements des usagers,,,,,,,,,,,14 138 365,,14 138 365
7606,"Cueillette, Distribution et Autres charges",,,,,,,,,,,88 775 850,,88 775 850
7644,Hygiène et salubrité - Tâches opérationnnelles,,,,,,,,,,,,441 839 444,441 839 444
7645,Hygiène et salubrité - Tâches fonctionnelles,,,,,,,,,,,,20 735 182,20 735 182
7646,Hygiène et salubrité - Désinfection suite à des transferts ou départs,,,,,,,,,,,,37 237 251,37 237 251
7650,Gestion des déchets biomédicaux,,,,,,,,,,,,15 211 673,15 211 673
7690,Transport externe des usagers,,2 160 142,525 858,,7 678 732,640 801,1 270 893,269 948,13 827 770,,,,26 374 145
7701,Fonctionnement des installations - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,,662 048,662 048
7702,Fonctionnement des installations - Internat pour personnes ayant une déficience physique,,,,,,,,,,,,841 450,841 450
7703,Fonctionnement des installations - Autres,,,,,,,,,,,,624 250 907,624 250 907
7710,Sécurité,,,,,,,,,,,,106 297 298,106 297 298
7801,Entretien du parc immobilier et du parc d'équipement non médical et mobilier (propriété CHQ ou établissement public),,,,,,,,,,,,376 770 411,376 770 411
7802,Entretien et réparation des équipements médicaux,,,,,,,,,,,,121 749 626,121 749 626
7805,Entretien et réparation des espaces loués (établissement public),,,,,,,,,,,,2 695 246,2 695 246
7806,Maintien d'actifs immobiliers (propriété CHQ ou établissement public),,,,,,,,,,,,6 411 191,6 411 191
7807,Entretien et réparation du parc immobilier et du parc d'équipement non médical et mobilier - Autres ,,,,,,,,,,,,21 134 291,21 134 291
7910,Besoins spéciaux,,,1 721 640,,6 453 207,,,,,,,,8 174 847
7981,Activités spéciales - Services généraux,1 312 850,1 045 911,,,,,,,,,,,2 358 761
7982,Activités spéciales - Santé physique,,32 735 523,,,,,,,,,,,32 735 523
7983,Activités spéciales - Santé mentale,,,1 187 879,51 000,,,,139 843,,,,,1 378 722
7984,Activités spéciales - Santé publique,,,,934 466,,,,,,,,,934 466
7985,Activités spéciales - Soutien à l'autonomie des personnes âgées,,,,,884 770,,,,,,,,884 770
7988,Activités spéciales - Dépendances,,,,,,,,662 992,,,,,662 992
7989,Activités spéciales - Jeunes en difficulté,,,,,,,,,421 890,,,,421 890
7992,Activités spéciales - Administration,,,,,8 095 281,,,,,20 371 270,140 521,,28 607 072
7993,Activités spéciales - Soutien aux services,406 066,,,2 228 685,-21 921,,,,,1 996 244,4 743 853,,9 352 927
7994,Activités spéciales - Gestion des bâtiments et des équipements,,,,,,,,,,,,1 220 528,1 220 528
7995,Lutte à une pandémie d'influenza,,,,66 820,,,,,,,,,66 820
8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TSA",,,,,,4 549 657,,,,,,,4 549 657
