C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
5810,Expertise à la Cour supérieure (LSSSS),,,,,,,,,2 211 184,,,,2 211 184
5820,Médiation familiale (LSSSS),,,,,,,,,372 487,,,,372 487
5830,Recherche d'antécédents et retrouvailles (LSSSS),,,,,,,,,1 690 001,,,,1 690 001
5850,Contentieux (LPJ - LSJPA - LSSSS),,,,,,,,,20 670 073,,,,20 670 073
5860,Santé des jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,6 018 004,,,,6 018 004
5870,Adoption (LSSSS),,,,,,,,,14 081 522,,,,14 081 522
5900,Administration des services à la clientèle (LPJ - LSJPA - LSSSS),,,,,,,,,,,29 654 837,,29 654 837
5910,Services psychosociaux pour les jeunes en difficulté et leur famille,,,,,,,,,136 278 172,,,,136 278 172
5920,Intervention et suivi de crise,,,10 244 444,,,,,,,,,,10 244 444
5930,Services ambulatoires de santé mentale en première ligne,,,127 436 725,,,,,,,,,,127 436 725
5940,Soutien dans la communauté aux personnes souffrant d'un trouble mental grave,,,72 843 279,,,,,,,,,,72 843 279
5950,Formation donnée par le personnel infirmier,311 083,19 451 978,1 443 247,,1 647 690,,,,,,,,22 853 998
5960,Autres services téléphoniques régionaux,3 202 902,,,,,,,,,,,,3 202 902
5970,Info-social,8 561 393,,,,,,,,,,,,8 561 393
5980,Services infirmiers dans les groupes de médecine de famille ou de cliniques - Réseau,90 359 464,,,,,,,,,,,,90 359 464
5990,Pratique des sages-femmes,18 037 074,,,,,,,,,,,,18 037 074
6000,Administration des soins,,,,,,,,,,,264 109 682,,264 109 682
6010,Unités d'hospitalisation en pédopsychiatrie (0 - 17 ans),,,26 532 314,,,,,,,,,,26 532 314
6020,Unités d'hospitalisation en psychiatrie pour adultes,,,234 546 234,,,,,,,,,,234 546 234
6030,Unités d'hospitalisation en gérontopsychiatrie,,,10 976 672,,,,,,,,,,10 976 672
6051,Médecine,,410 751 775,,,17 463 476,,3 152 603,,,,,,431 367 854
6052,Chirurgie,,144 708 104,,,2 536 926,,,,,,,,147 245 030
6053,Soins intensifs,,389 956 943,,,,,,,,,,,389 956 943
6055,Pédiatrie,,83 223 057,,,,,,,,,,,83 223 057
6056,Médecine et chirurgie (non répartie),,674 883 167,,,16 847 777,,,,,,,,691 730 944
6057,Unité des grands brûlés,,6 787 649,,,,,,,,,,,6 787 649
6058,Gériatrie active,,,,,100 089 549,,,,,,,,100 089 549
6060,Soins infirmiers aux personnes en perte d'autonomie,,,,,806 666 754,,1 752 998,,,,,,808 419 752
6070,Chirurgie d'un jour,,51 092 211,,,,,,,,,,,51 092 211
6080,Soins infirmiers et d'assistance en unité de réadaptation fonctionnelle intensive,,40 970 643,,,,,14 465 162,,,,,,55 435 805
6090,Info-Santé 8-1-1,41 615 690,,,,,,,,,,,,41 615 690
6100,Psychiatrie légale,,,54 409 620,,,,,,,,,,54 409 620
6160,Soins d'assistance aux personnes en pertes d'autonomie,,,,,950 875 263,,646 955,,,,,,951 522 218
6171,Soins infirmiers spécialisés à domicile (santé physique),,10 841 105,,,,,,,,,,,10 841 105
6172,Soins infirmiers à domicile (santé mentale),,,2 663 954,,,,,,,,,,2 663 954
6173,Soins infirmiers à domicile réguliers (non répartis),53 191 670,51 104 315,1 474 522,385 100,156 042 023,2 412 422,22 367 488,,,,,,286 977 540
6174,Soins infirmiers à domicile continus,,,,,17 657 000,,,,,,,,17 657 000
6178,Soins infirmiers à domicile réguliers (hors-territoire),91 355,69 700,4 197,3 624,473 056,254,14 447,,,,,,656 633
6180,Hôtellerie hospitalière,,1 843 478,,,,,,,,,,,1 843 478
6200,Soins spécialisés aux nouveau-nés (néonatologie),,94 118 488,,,,,,,,,,,94 118 488
6240,L'urgence,,598 038 845,59 775 231,,,,,,,,,,657 814 076
6250,Nutrition parentérale totale à domicile,,6 248 959,,,,,,,,,,,6 248 959
6260,Bloc opératoire,,799 782 704,,,,,,,,,,,799 782 704
6270,Unité d'hébergement et de soins de longue durée aux adultes avec diagnostic psychiatrique,,,37 362 539,,,,,,,,,,37 362 539
6280,Hôpital de jour en santé mentale,,,12 869 568,,,,,,,,,,12 869 568
6290,Hôpital de jour gériatrique,,,,,9 282 530,,,,,,,,9 282 530
6302,Consultations externes spécialisées,,183 779 728,,,,,,,,,,,183 779 728
6303,Planification familiale,,4 473 424,,,,,,,,,,,4 473 424
6304,Unité de médecine familiale/Groupe de médecine de famille universitaire /UM F/G M F-U,31 115 498,,,,,,,,,,,,31 115 498
6307,Services de santé courants,111 256 403,72 919 600,,,,,,,,,,,184 176 003
6308,Services de santé courants (hors territoire),5 567 086,,,,,,,,,,,,5 567 086
6309,Consultation et suivi de la procréation assistée,,5 789 773,,,,,,,,,,,5 789 773
6321,Unité de retraitement des dispositifs médicaux - Déficience motrice,,,,,,,117 151,,,,,,117 151
6322,Unité de retraitement des dispositifs médicaux CLSC et CH,,88 911 630,,,,,,,,,,,88 911 630
6330,Services d'évaluation et de traitement de deuxième et troisième ligne en santé mentale,,,124 905 500,,,,,,,,,,124 905 500
6340,Désintoxication interne en milieu hospitaliler,,,,,,,,1 708 578,,,,,1 708 578
6351,Inhalothérapie à domicile,,13 646 167,,,8 084 820,,1 661 123,,,,,,23 392 110
6352,Inhalothérapie - Autres,,135 324 925,,,,,,,,,,,135 324 925
6360,Centre de soins à la mère et au nouveau-né,,231 789 021,,,,,,,,,,,231 789 021
6370,Enseignement scolaire,,,,,,1 433 539,66 181,,,,,,1 499 720
6380,Services ambulatoires de psychogériatrie,,,,,4 083 907,,,,,,,,4 083 907
6390,Service de soins spirituels,,12 213 161,507 647,,5 684 986,,187 843,,,,,,18 593 637
6430,Encadrement des ressources,,192 771,8 426 693,,8 001 486,12 796 632,1 765 364,151 960,21 405 046,,,,52 739 951
6460,Services aux revendicateurs de statuts de réfugié,10 935 661,,,,,,,,,,,,10 935 661
6510,Santé parentale et infantile,47 228 434,,,,,,,,,,,,47 228 434
6531,Aide à domicile régulière,2 172 900,9 017 313,1 584 354,,193 868 277,13 586 054,110 564 506,,,,,,330 793 404
6532,Aide à domicile continue,,,,,9 032 901,,,,,,,,9 032 901
6540,Services dentaires préventifs,,,,16 763 144,,,,,,,,,16 763 144
6550,Services dentaires curatifs,,4 660 660,,,,,,,,,,,4 660 660
6561,Services psychosociaux à domicile,3 977 796,8 896 804,771 898,,107 954 945,13 902 181,20 919 311,,,,,,156 422 935
6562,Services psychosociaux - Autres que SAD,82 299 926,,,,,,,,,,,,82 299 926
6564,Psychologie,1 630 825,17 762 871,13 327 019,,1 896 665,,1 503 792,,,,,,36 121 172
6565,Services sociaux,,64 617 159,12 512 401,,19 153 930,,1 774 957,,,,,,98 058 447
6568,Services psychosociaux (hors territoire),1 930 122,,,,,,,,,,,,1 930 122
6590,Santé scolaire,27 230 368,,,,,,,,,,,,27 230 368
6601,Banque de sang,,32 837 911,,,,,,,,,,,32 837 911
6602,Dépistage prénatal de la trisomie 21,,2 162 978,,,,,,,,,,,2 162 978
6604,Anatomopathologie,,73 211 231,,,,,,,,,,,73 211 231
6605,Cytologie,,18 998 645,,,,,,,,,,,18 998 645
6606,Centre de prélèvements,38 489 251,18 265 422,,,,,,,,,,,56 754 673
6607,Laboratoires regroupés,,428 814 266,,,,,,,,,,,428 814 266
6608,Dépistage néonatal,,479 492,,1 952 293,,,,,,,,,2 431 785
6609,Génétique médicale,,22 298 133,,,,,,,,,,,22 298 133
6610,Physiologie repiratoire,,22 118 847,,,,,,,,,,,22 118 847
6620,Sécurité tranfusionnelle et produits sanguins,,349 868 951,,,,,,,,,,,349 868 951
6650,Chambre hyperbare,,1 115 763,,,,,,,,,,,1 115 763
6670,Services spécialisés en toxicomanie - Usagers admis,,,,,,,,25 297 557,,,,,25 297 557
6680,Services externes en toxicomanie,,,,,,,,52 033 450,,,,,52 033 450
6690,Unité d'intervention brève de traitement en toxicomanie,,,,,,,,1 519 161,,,,,1 519 161
6710,Électrophysiologie,,56 641 783,,,,,,,,,,,56 641 783
6750,Hémodynamie et électrophysiologie interventionnelle,,152 091 100,,,,,,,,,,,152 091 100
6761,Surveillance continue de l'état de santé de la population,,,,6 530 544,,,,,,,,,6 530 544
6762,"Prévention des maladies, des problèmes psychosociaux et des traumatismes",,,,15 455 537,,,,,,,,,15 455 537
6763,Promotion de la santé et du bien-être,,,,12 158 326,,,,,,,,,12 158 326
6764,Protection de la santé,,,,16 857 993,,,,,,,,,16 857 993
6765,Fonctions de soutien,,,,2 838 168,,,,,,,,,2 838 168
6766,"Direction, coordination et soutien administratif",,,,,,,,,,12 734 528,,,12 734 528
6770,Endoscopie,,82 256 193,,,,,,,,,,,82 256 193
6780,Médecine nucléaire et TEP,,75 705 108,,,,,,,,,,,75 705 108
6791,Hémodialyse traditionnelle en unité de dialyse,,127 915 531,,,,,,,,,,,127 915 531
6792,Hémodialyse semi-autonome en unité de dialyse,,11 105 438,,,,,,,,,,,11 105 438
6793,Hémodialyse à domicile,,3 015 814,,,,,,,,,,,3 015 814
6794,Hémodialyse hors de l'unité de dialyse,,2 789 405,,,,,,,,,,,2 789 405
6795,Dialyse péritonéale,,20 760 496,,,,,,,,,,,20 760 496
6796,Unité mobile d'hémodialyse,,729 894,,,,,,,,,,,729 894
6801,Pharmacie - Déficience motrice,,,,,,,2 078 350,,,,,,2 078 350
6803,Pharmacie - Usagers externes en CH,,445 178 246,4 816 294,,,,,,,,,,449 994 540
6804,Pharmacie - Usagers hospitalisés,,362 325 634,20 510 933,,11 660 042,,1 544 216,,,,,,396 040 825
6805,Pharmacie - usagers hébergés,,1 433 193,3 811 509,,102 438 026,,263 255,,,,,,107 945 983
6806,Pharmacie en CLSC,,5 790 604,,,,,,,,,,,5 790 604
6831,Radiologie générale,,112 653 484,,,,,,,,,,,112 653 484
6832,Ultrasonographie,,36 904 584,,,,,,,,,,,36 904 584
6833,Mammographie,,13 762 325,,,,,,,,,,,13 762 325
6834,Tomodensitométrie,,53 336 324,,,,,,,,,,,53 336 324
6835,Résonance magnétique,,31 200 562,,,,,,,,,,,31 200 562
6836,Angioradiologie (excluant cardiaque),,55 424 728,,,,,,,,,,,55 424 728
6837,Lithotripsie,,184 235,,,,,,,,,,,184 235
6839,Support à l'imagerie médicale,,102 284 317,,,,,,,,,,,102 284 317
6840,Radio-oncologie,,83 070 066,,,,,,,,,,,83 070 066
6861,Audiologie,,9 586 534,,,,,,,,,,,9 586 534
6862,Orthophonie,,16 973 813,,,,,2 375 186,,,,,,19 348 999
6863,Audiologie et orthophonie - Autres en CLSC,,440 298,,,,,,,,,,,440 298
6864,Audiologie et orthophonie à domicile,,97 797,,,,,,,,,,,97 797
6865,Orthophonie pour enfants en CLSC,,11 190 337,,,,,,,,,,,11 190 337
6870,Physiothérapie,,111 674 999,1 830 488,,38 590 169,,5 834 569,,,,,,157 930 226
6880,Ergothérapie,,51 722 751,8 616 347,,35 998 676,,5 931 047,,,,,,102 268 821
6890,Animation-Loisirs,,1 150 363,2 392 444,,41 725 686,,471 256,,,,,,45 739 749
6900,Réinsertion et intégration sociales (santé physique),,1 122 369,,,,,,,,,,,1 122 369
6910,Services d'assistance éducative spécialisée à la famille et aux proches - Déficience intellectuelle et TED,,,,,,216 300,,,,,,,216 300
6920,Services de soutien spécialisé aux partenaires - Déficience intellectuelle et TED,,,,,,148 367,,,,,,,148 367
6945,Internat - Déficience intellectuelle et TED,,,,,,22 874 636,,,,,,,22 874 636
6946,Internat - Déficience physique,,,,,,,25 895 579,,,,,,25 895 579
6960,Centre de jour pour personnes en perte d'autonomie,,,,,34 973 678,,,,,,,,34 973 678
6973,Centre de jour - Déficience physique,,,,,,,6 418 415,,,,,,6 418 415
6977,Centre de jour en santé mentale - Jeunes (0 - 17 ans),,,1 162 096,,,,,,,,,,1 162 096
6978,Centre de jour en santé mentale - Adultes (18 - 100 ans),,,4 639 644,,,,,,,,,,4 639 644
6984,Foyers de groupe - Déficience physique,,,,,,,560 471,,,,,,560 471
6985,Foyers de groupe en santé mentale - Jeunes (0 - 17 ans),,,6 576 044,,,,,,,,,,6 576 044
6986,Foyers de groupe en santé mentale - Adultes (18 - 100 ans),,,16 975 749,,,,,,,,,,16 975 749
6988,Foyers de groupe - Perte d'autonomie liée au vieillissement,,,,,953,,,,,,,,953
6989,Foyer de groupe - Jeunes en difficulté (LPJ - LSJPA - LSSSS),,,,,,,,,46 498 085,,,,46 498 085
7001,Services d'adaptation et de réadaptation en contexte d'intégration communautaire - Déficience intellectuelle et TED,,,,,,26 831 479,,,,,,,26 831 479
7011,Atelier de travail - Déficience intellectuelle et TED,,,,,,4 697 396,,,,,,,4 697 396
7012,Atelier de travail - Déficience physique,,,,,,,33 377,,,,,,33 377
7013,Atelier de travail - Santé mentale,,,1 138 348,,,,,,,,,,1 138 348
7022,Support des stages en milieu de travail - Déficience physique,,,,,,,4 370,,,,,,4 370
7023,Support des stages en milieu de travail - Santé mentale,,,334 831,,,,,,,,,,334 831
7024,Support des stages individuels - Déficience intellectuelle et TED,,,,,,4 058 395,,,,,,,4 058 395
7025,Support des plateaux de travail - Déficience intellectuelle et TED,,,,,,7 540 068,,,,,,,7 540 068
7031,Intégration à l'emploi - Déficience intellectuelle et TED,,,,,,238 641,,,,,,,238 641
7033,Intégration à l'emploi - Santé mentale,,,1 538 362,,,,,,,,,,1 538 362
7041,Ressources résidentielles - Assistance résidentielle continue (déficience intellectuelle et TED),,,,,,76 001 080,,,,,,,76 001 080
7042,Ressources résidentielles - Assistance résidentielle continue (déficience physique),,,,,,,6 892 041,,,,,,6 892 041
7043,Ressources résidentielles - Assistance résidentielle continue (santé mentale),,,6 536 350,,,,,,,,,,6 536 350
7051,Ressources résidentielles avec allocations pour assistance continue - Déficience intellectuelle et TED,,,,,,826 090,,,,,,,826 090
7052,Ressources résidentielles avec allocations pour assistance continue - Déficience physique,,,,,,,318 801,,,,,,318 801
7053,Ressources résidentielles avec allocations pour assistance continue - Santé mentale,,,90 802,,,,,,,,,,90 802
7060,Services d'oncologie et d'hémathologie,,93 207 911,,,,,,,,,,,93 207 911
7081,Soutien aux familles de personnes ayant une déficience physique,,,,,,,9 914 296,,,,,,9 914 296
7082,Soutien aux familles de personnes ayant une déficience intellectuelle,,,,,,10 670 255,,,,,,,10 670 255
7083,Soutien aux familles de personnes ayant un TSA - Allocations,,,,,,10 693 952,,,,,,,10 693 952
7090,L'unité de médecine de jour,,121 320 440,,,,,,,,,,,121 320 440
7101,"Adaptation et soutien à la personne, à la famille et aux proches - DI et TSA",,,,,,23 641 360,,,,,,,23 641 360
7105,"Adaptation et soutien à la personne, à la famille et aux proches - Santé mentale",,,1 914 594,,,,,,,,,,1 914 594
7107,"Adaptation et soutien à la personne, à la famille et aux proches - Jeunes multiproblématiques",,,,,,317 296,,,259 285,,,,576 581
7108,"Adaptation et soutien à la personne, à la famille et aux proches - Déficience physique",,,,,,,3 387 290,,,,,,3 387 290
7111,Nutrition à domicile,1 246 109,2 290 909,,,4 813 586,,1 602 383,,,,,,9 952 987
7112,Nutrition - Autres,7 707 491,5 078 550,,,,,,,,,,,12 786 041
7120,Intervention  communautaire,,,,,8 623 597,,,,,,,,8 623 597
7151,Gestion et soutien des services à domicile,5 886 485,6 694 930,379 306,,38 510 794,3 540 767,13 581 208,,,,,,68 593 491
7152,Gestion et soutien aux autres programmes,43 737 889,49 383 903,36 822 854,26 468,15 432 861,4 735 463,5 223 609,,17 558 682,,,,172 921 730
7153,"Gestion et soutien aux programmes - Centre de réadaptation (Toxicomanes, DP)",,,,,,,11 931 884,4 934 330,,,,,16 866 214
7154,Gestion et soutien d'une centrale,5 470 083,,,,,,,,,,,,5 470 083
7157,Gestion et soutien aux programmes santé publique,,,,13 789 005,,,,,,,,,13 789 005
7158,Gestion et soutien aux programmes (hors territoire),11 312 911,5 997 862,3 159 138,4 527 511,3 144 724,239 824,183 688,171 542,9 325 879,,,,38 063 078
7161,Ergothérapie à domicile,3 134 940,6 680 618,,,29 194 898,1 091 381,23 605 334,,,,,,63 707 171
7162,Physiothérapie à domicile,19 830 101,2 253 267,,,19 466 409,81 393,4 038 610,,,,,,45 669 779
7163,Prêt d'équipement aux usagers des services à domicile,97 281,319 415,56 131,,7 230 881,153 339,1 726 718,,,,,,9 583 765
7180,Soutien aux programmes - CRDI,,,,,,49 348 705,,,,,,,49 348 705
7201,Programmes d'intéressement aux étudiants,,,,,,,,,,,5 619 687,,5 619 687
7202,Coordination et soutien,,,,,,,,,,,28 092 124,,28 092 124
7203,Bibliothèque,,,,,,,,,,,10 525 931,,10 525 931
7210,Réseau d'enseignement universitaire,,,,,,,,,,,6 342 664,,6 342 664
7301,Direction générale,,,,,,,,,,206 124 749,,,206 124 749
7302,Administration financière,,,,,,,,,,219 655 782,,,219 655 782
7303,Administration du personnel,,,,,,,,,,329 474 403,,,329 474 403
7304,Administration des services professionnnels,,,,,,,,,,85 164 834,,,85 164 834
7305,Services de vérification interne,,,,,,,,,,99 396,,,99 396
7306,Administration financière et du personnel (non réparti),,,,,,,,,,2 455 604,,,2 455 604
7307,Approvisionnement et services,,,,,,,,,,114 805 984,,,114 805 984
7320,Administration des services techniques,,,,,,,,,,39 302 428,,,39 302 428
7340,Informatique,,,,,,,,,,305 604 869,,,305 604 869
7350,Gestion de l'information,,,,,,,,,,,9 069 849,,9 069 849
7391,Déplacement des personnes ayant une déficience physique,,,,,,,3 472 025,,,,,,3 472 025
7392,Déplacement des personnes présentant une déficience intellectuelle,,,,,,155 893,,,,,,,155 893
7395,Déplacement des personnes en hémodialyse,,4 576 533,,,,,,,,,,,4 576 533
7400,Déplacement des usagers,,178 031 399,,,,,,,,,,,178 031 399
7532,Archives,,,,,,,,,,,166 711 365,,166 711 365
7533,Réception - Archives - Télécommunications (non réparti),,,,,,,,,,,60 220 674,,60 220 674
7534,Réception,,,,,,,,,,,135 412 655,,135 412 655
7535,Télécommunications,,,,,,,,,,,92 839 981,,92 839 981
7536,Transcription des dictées médicales,,,,,,,,,,,14 839 339,,14 839 339
7551,Alimentation - Internat pour personnes ayant une déficience physique,,,,,,,,,,,568 200,,568 200
7552,Alimentation - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,2 005 263,,2 005 263
7553,Nutrition clinique,,70 026 330,,,,,,,,,,,70 026 330
7554,Alimentation - Autres,,,,,,,,,,,574 192 778,,574 192 778
7601,Buanderie et lingerie - Internat pour personnes ayant une déficience physique,,,,,,,,,,,581 340,,581 340
7602,Buanderie et lingerie - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,735 399,,735 399
7603,Buanderie et lingerie - Autres,,,,,,,,,,,1 087 045,,1 087 045
7604,Buanderie,,,,,,,,,,,103 658 168,,103 658 168
7605,Entretien des vêtements des usagers,,,,,,,,,,,14 374 221,,14 374 221
7606,"Cueillette, Distribution et Autres charges",,,,,,,,,,,82 297 624,,82 297 624
7644,Hygiène et salubrité - Tâches opérationnnelles,,,,,,,,,,,,411 066 554,411 066 554
7645,Hygiène et salubrité - Tâches fonctionnelles,,,,,,,,,,,,16 978 301,16 978 301
7646,Hygiène et salubrité - Désinfection suite à des transferts ou départs,,,,,,,,,,,,31 179 624,31 179 624
7648,Entretien ménager (hors territoire),,,,,,,,,,,,99 622,99 622
7650,Gestion des déchets biomédicaux,,,,,,,,,,,,14 184 902,14 184 902
7690,Transport externe des usagers,,2 807 162,439 256,,7 061 792,662 587,864 179,223 822,12 564 344,,,,24 623 141
7701,Fonctionnement des installations - Internat pour personnes ayant une déficience intellectuelle,,,,,,,,,,,,1 712 924,1 712 924
7702,Fonctionnement des installations - Internat pour personnes ayant une déficience physique,,,,,,,,,,,,797 938,797 938
7703,Fonctionnement des installations - Autres,,,,,,,,,,,,603 010 981,603 010 981
7708,Fonctionnement des installations (Hors-territoire),,,,,,,,,,,,10 546,10 546
7710,Sécurité,,,,,,,,,,,,90 150 791,90 150 791
7801,Entretien du parc immobilier et du parc d'équipement non médical et mobilier (propriété CHQ ou établissement public),,,,,,,,,,,,334 905 534,334 905 534
7802,Entretien et réparation des équipements médicaux,,,,,,,,,,,,107 124 832,107 124 832
7805,Entretien et réparation des espaces loués (établissement public),,,,,,,,,,,,4 345 447,4 345 447
7806,Maintien d'actifs immobiliers (propriété CHQ ou établissement public),,,,,,,,,,,,5 190 526,5 190 526
7807,Entretien et réparation du parc immobilier et du parc d'équipement non médical et mobilier - Autres,,,,,,,,,,,,19 903 604,19 903 604
7910,Besoins spéciaux,,,1 250 262,,5 594 656,,,,,,,,6 844 918
7981,Activités spéciales - Services généraux,799 727,54 800 267,,,,,,,,,,,55 599 994
7982,Activités spéciales - Santé physique,,23 265 147,,,,,467 647,,,,,,23 732 794
7983,Activités spéciales - Santé mentale,,,620 671,51 000,,,,140 693,,,,,812 364
7984,Activités spéciales - Santé publique,19 059,,,851 845,,,,,,,,,870 904
7985,Activités spéciales - Soutien à l'autonomie des personnes âgées,,,,,1 083 245,,,,,,,,1 083 245
7989,Activités spéciales - Jeunes en difficulté,,,,,,,,,4 240,,,,4 240
7992,Activités spéciales - Administration,,17 588,,,8 476 844,,,,,4 494 701,1 113 608,18 216 051,32 318 792
7993,Activités spéciales - Soutien aux services,574 783,,,2 044 833,63 380,,,,,1 609 953,1 677 434,,5 970 383
7994,Activités spéciales - Gestion des bâtiments et des équipements,,,,,,,,,,,,518 742,518 742
7995,Lutte à une pandémie d'influenza,,,,162 144,,,,,,,,,162 144
8001,"Accueil, évaluation et orientation - Déficience intellectuelle et TED",,,,,,4 580 653,,,,,,,4 580 653
