ï»¿C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
6180,Hotellerie hospitaliere,,1 956 096,,,,,,,,,,,1 956 096
6200,Soins specialises aux nouveau nes,,124 283 955,,,,,,,,,,,124 283 955
6240,L'urgence,,782 855 447,85 809 220,,,,,,,,,,868 664 667
6250,Nutrition parenterale totale a dom.,,9 188 493,,,,,,,,,,,9 188 493
6260,Bloc operatoire,,1 022 971 658,,,,,,,,,,,1 022 971 658
6270,Unite heb.et SLD aux adul.diag.psy.,,,44 858 065,,,,,,,,,,44 858 065
6280,Hopital de jour en sante mentale,,,10 757 218,,,,,,,,,,10 757 218
6290,Hopital de jour geriatrique,,,,,8 262 738,,,,,,,,8 262 738
6302,Consultations externes specialisees,,236 755 745,,,,,,,,,,,236 755 745
6303,Planification familiale,,4 250 278,,,,,,,,,,,4 250 278
6304,GMF U (UMF),65 940 150,,,,,,,,,,,,65 940 150
6307,Services de sante courants,142 196 657,88 391 267,,,,,,,,,,,230 587 924
6309,Consultation/suivi procreation ass.,,3 919 950,,,,,,,,,,,3 919 950
6321,Unite retraitement dis.med. Def.m.,,,,,,,5 454,,,,,,5 454
6322,Unite retraitement dis.med. CLSC CH,,106 431 196,,,,,,,,,,,106 431 196
6330,Serv. d'eval./trait.de 2e3e L en SM,,,175 337 380,,,,,,,,,,175 337 380
6340,Desintoxication interne en CH,,,,,,,,3 123 107,,,,,3 123 107
6351,Inhalotherapie a domicile,,20 442 406,,,9 653 589,,2 919 115,,,,,,33 015 109
6352,Inhalotherapie  autres,,170 695 009,,,,,,,,,,,170 695 009
6360,Centre de soins mere et nouveau ne,,297 604 256,,,,,,,,,,,297 604 256
6370,Enseignement scolaire,,,,,,,1 021,,1 416 722,,,,1 417 743
6380,Services ambul. de psychogeriatrie,,,,,7 637 860,,,,,,,,7 637 860
6390,Service de soins spirituels,,10 819 787,423 494,,5 855 797,,97 088,,,,,,17 196 166
6430,Encadrement des ressources,,747 814,9 075 569,,12 984 417,20 144 029,1 782 686,749 778,28 365 460,,,,73 849 752
6460,Serv. revendicateurs statut refugie,29 605 703,,,,,,,,,,,,29 605 703
6510,Sante parentale et infantile,56 528 465,,,,,,,,,,,,56 528 465
6531,Aide a domicile reguliere,5 598 453,24 616 279,1 940 337,,517 765 599,45 150 838,210 083 321,,,,,,805 154 828
6532,Aide a domicile continue,,,,,12 284 018,,,,,,,,12 284 018
6541,Services dentaires preventifs SPUB,,,,10 917 127,,,,,,,,,10 917 127
6542,Services dentaires preventifs SAPA,,,,,3 321 495,,,,,,,,3 321 495
6551,Services dentaires curatifs  SPH,,10 861 300,,,,,,,,,,,10 861 300
6552,Services dentaires curatifs  SAPA,,,,,909 076,,,,,,,,909 076
6561,Services psychosociaux a domicile,4 590 501,14 837 182,1 832 033,,184 922 384,33 770 224,35 131 297,,,,,,275 083 621
6564,Psychologie,486 775,22 254 473,12 502 596,,1 412 077,,80 317,,,,,,36 736 238
6565,Services sociaux,,77 468 074,18 148 455,,36 478 727,,1 262 277,,,,,,133 357 533
6570,Aire ouverte,953 309,1 475 493,1 907 617,264 882,,,,765,5 030 385,,,,9 632 451
6590,Sante scolaire,23 314 740,,,,,,,,,,,,23 314 740
6601,Banque de sang,,36 149 504,,,,,,,,,,,36 149 504
6602,Depistage prenatal  trisomie 21,,3 740 070,,,,,,,,,,,3 740 070
6604,Anatomopathologie,,89 854 486,,,,,,,,,,,89 854 486
6605,Cytologie,,19 438 262,,,,,,,,,,,19 438 262
6606,Centre de prelevements,58 745 885,15 483 000,,,,,,,,,,,74 228 885
6607,Laboratoires regroupes,,599 977 800,,,,,,,,,,,599 977 800
6608,Depistage neonatal,,,,3 673 895,,,,,,,,,3 673 895
6609,Genetique medicale,,24 456 368,,,,,,,,,,,24 456 368
6610,Physiologie respiratoire,,28 788 237,,,,,,,,,,,28 788 237
6620,Securite transfusionnelle et produi,,341 112 686,,,,,,,,,,,341 112 686
6650,Chambre hyperbare,,1 308 544,,,,,,,,,,,1 308 544
6670,Services specialises toxico. admis,,,,,,,,30 363 379,,,,,30 363 379
6680,Services externes en toxicomanie,,,,,,,,76 375 922,,,,,76 375 922
6690,Unite d'intervent. breve en toxico.,,,,,,,,1 253 047,,,,,1 253 047
6710,electrophysiologie,,72 625 371,,,,,,,,,,,72 625 371
6720,AAOR  Services sociaux generaux,39 397 247,,,,,,,,,,,,39 397 247
6730,Consul. sociale & psychosociale c.d,54 534 380,,,,,,,,,,,,54 534 380
6740,Volet psychosocial securite civile,4 943 333,,,,,,,,,,,,4 943 333
6750,Hemodynamie/electrophysiologie int.,,200 281 373,,,,,,,,,,,200 281 373
6761,Surv.cont.de l'etat de sante pop.,,,,10 949 400,,,,,,,,,10 949 400
6762,Prev.mal. prob.psy.et des traumati.,,,,21 600 610,,,,,,,,,21 600 610
6763,Promotion de la sante et bien etre,,,,25 854 913,,,,,,,,,25 854 913
6764,Protection de la sante,,,,60 476 777,,,,,,,,,60 476 777
6765,Fonctions de soutien,,,,2 384 215,,,,,,,,,2 384 215
6766,Direction coord.et soutien adminis.,,,,,,,,,,28 522 022,,,28 522 022
6770,Endoscopie,,122 391 431,,,,,,,,,,,122 391 431
6780,Medecine nucleaire et TEP,,104 340 679,,,,,,,,,,,104 340 679
6791,Hemodialyse traditionnelle en unite,,181 295 294,,,,,,,,,,,181 295 294
6792,Hemodialyses semi auto en unite,,3 105 646,,,,,,,,,,,3 105 646
6793,Hemodialyse a domicile,,5 227 549,,,,,,,,,,,5 227 549
6794,Hemodialyse hors de l'unite de dia.,,3 163 031,,,,,,,,,,,3 163 031
6795,Dialyse peritoneale,,29 478 488,,,,,,,,,,,29 478 488
6796,Unite mobile d'hemodialyse,,95 052,,,,,,,,,,,95 052
6801,Pharmacie Deficience motrice,,,,,,,2 231 142,,,,,,2 231 142
6803,Pharmacie  Usagers externes en CH,,962 785 747,8 520 149,,,,,,,,,,971 305 896
6804,Pharmacie  Usagers hospitalises,,493 238 067,27 960 474,,15 405 199,,1 348 156,110 964,,,,,538 062 860
6805,Pharmacie  Usagers heberges,,2 577 678,2 438 976,,118 512 647,,261 482,,,,,,123 790 783
6806,Pharmacie en CLSC,,13 636 247,,,,,,,,,,,13 636 247
6831,Radiologie generale,,122 719 955,,,,,,,,,,,122 719 955
6832,Ultrasonographie,,43 774 529,,,,,,,,,,,43 774 529
6833,Mammographie,,16 953 939,,,,,,,,,,,16 953 939
6834,Tomodensitometrie,,71 272 742,,,,,,,,,,,71 272 742
6835,Resonance magnetique,,50 218 970,,,,,,,,,,,50 218 970
6836,Angioradiologie(excluant cardiaque),,55 225 253,,,,,,,,,,,55 225 253
6837,Lithotripsie,,214 070,,,,,,,,,,,214 070
6838,Neuro Angio Radiologie,,18 815 776,,,,,,,,,,,18 815 776
6839,Support a l'imagerie medicale,,136 913 289,,,,,,,,,,,136 913 289
6840,Radio oncologie,,104 959 738,,,,,,,,,,,104 959 738
6861,Audiologie,,13 811 400,,,,,,,,,,,13 811 400
6862,Orthophonie,,19 098 199,,,,,2 378 127,,,,,,21 476 326
6863,Audio./ortho.  autres en CLSC,,372 610,,,,,,,,,,,372 610
6864,Audiologie/orthophonie a domicile,,175 527,,,,,,,,,,,175 527
6865,Orthophonie pour enfants en CLSC,,23 476 367,,,,,,,,,,,23 476 367
6870,Physiotherapie,,138 072 794,1 480 371,,42 384 360,,6 188 430,,,,,,188 125 954
6880,Ergotherapie,,59 647 796,8 535 207,,37 768 817,,5 363 989,,,,,,111 315 809
6890,Animation  Loisirs,,1 735 334,1 718 036,,45 800 818,,994 832,,,,,,50 249 020
6900,Reinsertion/integration social. SPH,,1 451 050,,,,,,,,,,,1 451 050
6910,Serv.assist.famille/proches DI/TSA,,,,,,43 988,,,,,,,43 988
6920,Serv.soutien partenaires  DI/TSA,,,,,,167 303,,,,,,,167 303
6945,Internat  DI et TSA,,,,,,29 555 393,,,,,,,29 555 393
6946,Internat  Deficience physique,,,,,,,9 294 139,,,,,,9 294 139
6960,Centre jour pers. en perte d'auto.,,,,,17 889 765,,,,,,,,17 889 765
6973,Centre de jour Deficience physique,,,,,,,6 231 635,,,,,,6 231 635
6978,Centre de jour s.m. adul. 18 100ans,,,2 768 442,,,,,,,,,,2 768 442
6984,Foyers de groupe Deficience phys.,,,,,,,3 098 922,,,,,,3 098 922
6985,Foyers de groupe SM jeunes 0 17 ans,,,6 018 193,,,,,,,,,,6 018 193
6986,Foyers de groupe SM adul. 18 100ans,,,27 686 733,,,,,,,,,,27 686 733
6989,Foyers groupe Jeunes en difficulte,,,,,,,,,60 305 983,,,,60 305 983
7001,Adapt.read.int.communautaire DI/TSA,,,,,,27 011 826,,,,,,,27 011 826
7011,At. de travail DI et TSA.,,,,,,4 104 613,,,,,,,4 104 613
7012,At. de travail Deficience physique,,,,,,,11 087,,,,,,11 087
7013,Atelier de travail  sante mentale,,,1 003 700,,,,,,,,,,1 003 700
7022,Supp. stages milieu trav. def. phy.,,,,,,,199 027,,,,,,199 027
7023,Supp.stages milieu trav. sant.ment.,,,116 406,,,,,,,,,,116 406
7024,Support stages individuels  DI/TSA,,,,,,2 796 250,,,,,,,2 796 250
7025,Support plateaux travail  DI/TSA,,,,,,8 796 024,,,,,,,8 796 024
7031,Integr. a l'emploi DI et TSA,,,,,,277 602,,,,,,,277 602
7033,Integration a l'emploi  sant.ment.,,,851 687,,,,,,,,,,851 687
7041,Assis. residentiel. continue DI TSA,,,,,,143 807 608,,,,,,,143 807 608
7042,Assist. residentielle continue (DP),,,,,,,11 926 712,,,,,,11 926 712
7043,Assist.resident.continue sant.ment.,,,12 711 077,,,,,,,,,,12 711 077
7051,Ress.resid.all.pr.assist.res.DI TSA,,,,,,1 110 685,,,,,,,1 110 685
7052,Ress.resid. all. pr ass.res. (DP),,,,,,,437 894,,,,,,437 894
7053,Ress.resid. all.ass.res.sant.ment.,,,97 116,,,,,,,,,,97 116
7060,Services d'oncologie/d'hematologie,,137 284 227,,,,,,,,,,,137 284 227
7081,Soutien fam. pers.def.phys. alloc.,,,,,,,10 417 453,,,,,,10 417 453
7082,Soutien fam. pers.def.intel. alloc.,,,,,,13 281 367,,,,,,,13 281 367
7083,Soutien fam. pers. ayant TSA alloc.,,,,,,18 230 984,,,,,,,18 230 984
7090,L'unite de medecine de jour,,170 210 065,,,,,,,,,,,170 210 065
7101,Serv. aux usag. en mil.natu. DI/TSA,,,,,,57 634 986,,,,,,,57 634 986
7105,Adapt&soutien a la pers sant.ment.,,,144 806,,,,,,,,,,144 806
7108,Adapt&soutien a la personne DP,,,,,,,7 080 281,,,,,,7 080 281
7111,Nutrition a domicile,2 201 291,3 716 539,,,8 180 894,,2 867 456,,,,,,16 966 180
7112,Nutrition  Autres en CLSC,9 635 958,5 742 887,,,,,,,,,,,15 378 845
7120,Intervention commun. Serv. a dom.,,,,,7 769 141,,,,,,,,7 769 141
7151,Gestion et soutien des services a d,8 627 374,11 278 193,921 281,,69 554 876,7 334 420,23 165 298,,,,,,120 881 443
7152,Gestion et soutien aux autres progr,93 527 409,78 756 018,61 062 331,,36 086 201,12 430 322,6 993 914,2 581 349,41 263 275,906 507,,557 893,334 165 219
7153,Gestion et soutien aux programmes ,,,,,,,18 013 289,6 435 316,,,,,24 448 605
7154,Gestion et soutien d'une centrale,9 004 866,,,,,,,,,,,,9 004 866
7157,Gestion et sout.programme sante pub,,,,14 925 908,,,,,,,,,14 925 908
7161,Ergotherapie a domicile,4 045 836,10 489 328,,,45 392 518,2 543 132,32 124 560,,,,,,94 595 374
7162,Physiotherapie a domicile,29 563 377,4 450 619,,,37 649 555,244 125,6 641 167,,,,,,78 548 844
7163,Pret d'equipement aux usagers des s,273 529,713 144,63 504,,18 658 914,459 227,3 504 539,,,,,,23 672 857
7164,Ergotherapie  Autres en CLSC,,,,,,1 422 378,2 953 705,,5 707 728,,,,10 083 811
7166,Physiotherapie  Autres en CLSC,,,,,,312 614,1 813 982,,1 562 461,,,,3 689 057
7180,Soutien aux programmes  CRDI,,,,,,44 902 072,,,,,,,44 902 072
7201,Prog.d'interessement aux etudiants,,,,,,,,,,,35 688 101,,35 688 101
7202,Coordination et soutien,,,,,,,,,,,35 001 803,,35 001 803
7203,Bibliotheque,,,,,,,,,,,11 340 016,,11 340 016
7210,Reseau d'enseignement universitaire,,,,,,,,,,,9 694 260,,9 694 260
7301,Direction generale,,,,,,,,,,269 977 779,,,269 977 779
7302,Administration financiere,,,,,,,,,,254 615 227,,,254 615 227
7303,Administration du personnel,,,,,,,,,,521 821 127,,,521 821 127
7304,Adm. des serv. profess.,,,,,,,,,,124 511 430,,,124 511 430
7305,Service de la verification interne,,,,,,,,,,816 153,,,816 153
7306,Adm. financiere & du pers. non rep.,,,,,,,,,,2 628 682,,,2 628 682
7307,Approvisionnement et services,,,,,,,,,,177 259 338,,,177 259 338
7320,Administration services techniques,,,,,,,,,,57 695 037,,,57 695 037
7330,equipe d'un CHU fiduc. de FCP,,,,,,,,,,,5 005 506,,5 005 506
7340,Informatique,,,,,,,,,,448 906 227,,,448 906 227
7350,Gestion de l'information,,,,,,,,,,,12 678 570,,12 678 570
7391,Deplac. des pers. ayant def. phys.,,,,,,,2 224 290,,,,,,2 224 290
7392,Deplac. des pers. def.intellec.,,,,,,121 494,,,,,,,121 494
7395,Deplacement pers. en hemodialyse,,5 863 250,,,,,,,,,,,5 863 250
7400,Deplacement des usagers,,251 661 679,,,,,,,,,,,251 661 679
7532,Archives,,,,,,,,,,,185 672 490,,185 672 490
7533,Recep. Archives Telecommunic.(n.r.),,,,,,,,,,,52 449 974,,52 449 974
7534,Reception,,,,,,,,,,,202 211 759,,202 211 759
7535,Telecommunications,,,,,,,,,,,122 876 447,,122 876 447
7536,Transcription des dictees medicales,,,,,,,,,,,18 982 884,,18 982 884
7553,Nutrition clinique,,80 479 173,,,,,,,,,,,80 479 173
7554,Alimentation  Autres,,,,,,,,,,,712 500 615,,712 500 615
7601,Buanderie et lingerie internat D.P.,,,,,,,,,,,386 915,,386 915
7602,Buanderie et lingerie int.pers.D.I.,,,,,,,,,,,307 958,,307 958
7603,Buanderie et lingerie  Autres,,,,,,,,,,,108 018,,108 018
7604,Buanderie,,,,,,,,,,,118 404 523,,118 404 523
7605,Entretien des vetements des usagers,,,,,,,,,,,16 716 179,,16 716 179
7606,Cueillette distribution et autres,,,,,,,,,,,100 874 898,,100 874 898
7644,Hygiene salubrite taches operation.,,,,,,,,,,,,534 982 793,534 982 793
7645,Hygiene salubrite taches fonction.,,,,,,,,,,,,32 567 697,32 567 697
7646,Hyg sal.Desinfect.suite transf.dep,,,,,,,,,,,,35 685 167,35 685 167
7650,Gestion des dechets biomedicaux,,,,,,,,,,,,17 361 765,17 361 765
7690,Transport externe des usagers,,3 673 834,518 344,,5 911 716,567 728,1 530 180,131 231,15 261 564,,,,27 594 596
7701,Fonct. inst. internat pr pers. DI,,,,,,,,,,,,103 411,103 411
7702,Fonct. instal. internat pr pers.DP,,,,,,,,,,,,392 223,392 223
7703,Fonctionnement des instal. Autres,,,,,,,,,,,,607 946 827,607 946 827
7710,Securite,,,,,,,,,,,,134 787 881,134 787 881
7801,Entretien immo/equip/mob.CHQ e pub.,,,,,,,,,,,,454 846 518,454 846 518
7802,Entretien/reparation equi. medicaux,,,,,,,,,,,,154 257 974,154 257 974
7805,Entretien/reparation espaces loues,,,,,,,,,,,,3 389 014,3 389 014
7806,Maintien d'actifs immobiliers,,,,,,,,,,,,6 443 640,6 443 640
7807,Entretien/rep. Autres que CHQ et eP,,,,,,,,,,,,25 551 920,25 551 920
7910,Besoins speciaux,,,2 113 278,,8 273 561,,,,,,,,10 386 839
7941,Serv.d'aides tech. Defi. motrice,,,,,,,89 276 223,,,,,,89 276 223
7942,Serv. d'aides tech.  Defi. visuel,,,,,,,5 237 409,,,,,,5 237 409
7943,Serv. d'aides tech.  Defi. audi.,,,,,,,4 991 319,,,,,,4 991 319
7981,Act.speciales  Services generaux,2 325 685,1 790 858,,,,,,,,,,,4 116 543
7982,Act. speciales  Sante physique,,35 026 464,,,,,,,,,,,35 026 464
7983,Act. speciales  Sante mentale,,,1 073 774,51 000,,,,5 887,,,,,1 130 661
7984,Act. speciales  Sante publique,,,,690 683,,,,,,,,,690 683
7985,Act.spec.  Soutien a l'aut. des PA,,,,,5 638 203,,,,,,,,5 638 203
7986,Actvivites speciales  DITSA,,,,,,68 607,,,,,,,68 607
7988,Act. speciales  Dependances,,,,,,,,1 668 015,,,,,1 668 015
7989,Act.spec.  Jeunes en difficulte,,,,,,,,,1 342 332,,,,1 342 332
7992,Activites speciales Administration,,,,,,,,,,27 214 004,,,27 214 004
7993,Act. spec.  Soutien aux services,445 813,,,2 901 846,,,,,,1 070 252,2 049 984,,6 467 895
7994,Act.spec. Gestion batiments+ equip.,,,,,,,,,,,,392 885,392 885
7995,Lutte a une pandemie,,,,45 746 833,,,,,,,,,45 746 833
8001,Accueil/eval./Orientation DI et TSA,,,,,,4 311 130,,,,,,,4 311 130
8002,eval./expertise/orientation  DP,,,,,,,5 001 720,,,,,,5 001 720
8020,Readaptation pour adultes  Deficie,,2 154 921,,,,,119 200 044,,,,,,121 354 965
8030,Readaptation pour enfants  Deficie,,,,,,,65 354 156,,,,,,65 354 156
8040,Adaptation/integration sociales et,,24 090,,,,,24 437 695,,,,,,24 461 785
8050,Serv.adapt.readapt.personne DI/TSA,,,,,,323 206 526,,,,,,,323 206 526
8060,Adapt./readap. Deficience visuelle,,,,,,,19 677 104,,,,,,19 677 104
8070,Adap./readap.  Deficience auditive,,,,,,,27 892 281,,,,,,27 892 281
8080,Adap./readap. Def. langage & parole,,,,,,,50 113 549,,,,,,50 113 549
8090,URFI en CRDP,,,,,,,38 998 427,,,,,,38 998 427
Total general,,1 320 634 334,10 541 130 561,1 753 457 033,503 023 813,5 349 120 879,1 347 262 718,997 584 902,174 138 321,1 801 346 598,1 915 943 785,2 084 237 419,2 009 267 608,29 797 147 972
