titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
"Jardin communautaire Cabrini-annexe","https://montreal.ca/lieux/jardin-communautaire-cabrini-annexe","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-22","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Cabrini-annexe","Rue Cabrini et boulevard Rosemont",,,"Montréal",45.579703548249,-73.561461627264,300003.5,5048868
"Jardin communautaire Jacques-Charbonneau","https://montreal.ca/lieux/jardin-communautaire-jacques-charbonneau","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-22","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Jacques-Charbonneau","6605 Rue Cabrini",,"H1T2J8","Montréal",45.581703967098,-73.566286917776,299627.2,5049090.7
"Jardin communautaire de l'Institut universitaire en santé mentale de Montréal","https://montreal.ca/lieux/jardin-communautaire-de-linstitut-universitaire-en-sante-mentale-de-montreal-0","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-25","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," Horaire []","","","","","","Jardin communautaire de l'Institut universitaire en santé mentale de Montréal","Rue de Marseille et rue du Trianon",,"H1N3V2","Montréal",45.589697330475,-73.532867381326,302235.5,5049977.4
"Jardin communautaire Maisonneuve","https://montreal.ca/lieux/jardin-communautaire-maisonneuve","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-25","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Maisonneuve","Avenue Létourneux et rue de Rouen",,"H1V2N8","Montréal",45.554196270122,-73.542403727607,301489.3,5046032.4
"Jardin communautaire Marseille","https://montreal.ca/lieux/jardin-communautaire-marseille","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-25","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Marseille","Rue Du Quesne et rue de Marseille",,"H1N1K8","Montréal",45.576425219137,-73.541516237852,301559.9,5048502.7
"Jardin communautaire Monsabré","https://montreal.ca/lieux/jardin-communautaire-monsabre","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-25","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Monsabré","Rue Monsabré et rue de Toulouse",,,"Montréal",45.5696205424,-73.535292573081,302045.3,5047746.3
"Jardin communautaire Pierre-Bernard","https://montreal.ca/lieux/jardin-communautaire-pierre-bernard","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-26","2024-05-01","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Pierre-Bernard","Boulevard Pierre-Bernard et rue Bisaillon",,"H1L6L3","Montréal",45.607297761312,-73.529566022399,302493.8,5051933.2
"Jardin communautaire des 50 citoyens","https://montreal.ca/lieux/jardin-communautaire-des-50-citoyens","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire des 50 citoyens","Rue Alexandre-DeSève entre rue la Fontaine et rue Ontario E.",,,"Montréal",45.523067349571,-73.558725100011,300212.5,5042573.8
"Jardin communautaire Centre-Sud","https://montreal.ca/lieux/jardin-communautaire-centre-sud","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Centre-Sud","Rue Alexandre-DeSève et rue La Fontaine",,,"Montréal",45.523493565941,-73.557614750121,300299.3,5042621.1
"Jardin communautaire Faubourg Saint-Laurent","https://montreal.ca/lieux/jardin-communautaire-faubourg-saint-laurent","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Faubourg Saint-Laurent","Rue Saint-Dominique","entre la rue Ontario Est et le boulevard De Maisonneuve Est",,"Montréal",45.511435971404,-73.565403042318,299689.8,5041281.6
"Jardin communautaire Georges-Vanier","https://montreal.ca/lieux/jardin-communautaire-georges-vanier","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Georges-Vanier","Rues Saint-Jacques et Jean-D'Estrées",,,"Montréal",45.49486906686,-73.566202391167,299625.8,5039440.6
"Jardin communautaire Panet","https://montreal.ca/lieux/jardin-communautaire-panet","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Panet","Rue Panet, entre les rues La Fontaine et Ontario Est",,,"Montréal",45.522704009379,-73.560385952658,300082.7,5042533.5
"Jardin communautaire Saint-André","https://montreal.ca/lieux/jardin-communautaire-saint-andre","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Saint-André","Rue Labrecque, entre les rues Ontario Est et Sherbrooke Est",,,"Montréal",45.519740749007,-73.564599598976,299753.3,5042204.5
"Jardin communautaire Sainte-Catherine","https://montreal.ca/lieux/jardin-communautaire-sainte-catherine","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Sainte-Catherine","Rue Saint-Thimothée","entre le boulevard De Maisonneuve Est et la rue Robin",,"Montréal",45.51840073731,-73.56020377609,300096.6,5042055.3
"Jardin communautaire Sainte-Marie","https://montreal.ca/lieux/jardin-communautaire-sainte-marie","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Sainte-Marie","Rue La Fontaine, entre les rues Fullum et Dufresne",,,"Montréal",45.529338155127,-73.551271039247,300795.2,5043270.3
"Jardin communautaire Saint-Eusèbe","https://montreal.ca/lieux/jardin-communautaire-saint-eusebe","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Saint-Eusèbe","Rues Dufresne et Larivière",,,"Montréal",45.53206571153,-73.556570132837,300381.5,5043573.7
"Jardin communautaire Versailles","https://montreal.ca/lieux/jardin-communautaire-versailles","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.","2021-01-29","2024-05-17","Ville-Marie","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Versailles","Rue Saint-Antoine Ouest et rue de Versailles",,,"Montréal",45.493816902121,-73.570187419258,299314.2,5039323.9
"Jardin communautaire Babylone","https://montreal.ca/lieux/jardin-communautaire-babylone","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Pour obtenir un jardinet, inscrivez-vous sur la liste d’attente.","2021-02-01","2024-06-04","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Babylone","Avenue Ball",,,"Montréal",45.532271783625,-73.630637208782,294596.5,5043603.3
"Jardin communautaire de Lille","https://montreal.ca/lieux/jardin-communautaire-de-lille","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Pour obtenir un jardinet, inscrivez-vous sur la liste d’attente.","2021-02-01","2024-06-04","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire de Lille","9400, avenue Bruchésie",,"H1Z2P4","Montréal",45.570172199403,-73.637673196315,294054.2,5047816.2
"Jardin communautaire De Normanville","https://montreal.ca/lieux/jardin-communautaire-de-normanville","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Pour obtenir un jardinet, inscrivez-vous sur la liste d’attente.","2021-02-01","2024-06-04","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire De Normanville","7955, rue De Normanville","Entre les rues Jarry et Tillemont",,"Montréal",45.548431773754,-73.620333084161,295404,5045398
"Jardin communautaire Le Goupillier","https://montreal.ca/lieux/jardin-communautaire-le-goupillier","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Pour obtenir un jardinet, inscrivez-vous sur la liste d’attente.","2021-02-01","2024-06-04","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Le Goupillier","9661, boulevard Pie-IX","Au coin du boulevard Pie-IX et de la rue J-B-Martineau","H1Z3W9","Montréal",45.583190555135985,-73.62830023757182,294788.1,5049261.7
"Jardin communautaire Le Michelois","https://montreal.ca/lieux/jardin-communautaire-le-michelois","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Pour obtenir un jardinet, inscrivez-vous sur la liste d’attente.","2021-02-01","2024-06-04","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Le Michelois","8615, boulevard Saint-Michel",,,"Montréal",45.568544571226,-73.619221019859,295494.2,5047633
"Jardin communautaire Villeray","https://montreal.ca/lieux/jardin-communautaire-villeray","Les participants élisent un comité qui voit au bon fonctionnement du jardin communautaire, du début à la fin de la saison.Pour obtenir un jardinet, inscrivez-vous sur la liste d’attente.","2021-02-01","2024-06-04","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Jardin communautaire","","","","Environnement,Culture et sports",""," ","","","","","","Jardin communautaire Villeray","8000, avenue Christophe-Colomb",,"H2R2W1","Montréal",45.54729036506,-73.623535357468,295153.8,5045271.5
"Parc Serge-Garant","https://montreal.ca/lieux/parc-serge-garant","En plus d’un lieu de détente, le parc est devenu un lieu d’exposition permanent en plein air, et ce, en plein coeur du Village.","2021-06-01","2021-06-01","Ville-Marie","Parc et jardins","Parc","","","Adapté aux poussettes","Culture et sports",""," ","","","","","","Parc Serge-Garant","1415, rue Beaudry",,"H2L 2H3","Montréal",45.519123,-73.556075,300419.2,5042135.3
"Nouveau parc riverain de Lachine","https://montreal.ca/lieux/nouveau-parc-riverain-de-lachine","Cette presqu’île est accessible aux piétons et aux cyclistes seulement.  De nombreux supports à vélo sont installés dans le parc et une station Bixi se trouve à proximité en saison. Venez y pique-niquer ou tout simplement admirer le coucher de soleil au bout de la pointe. Une belle invitation à la contemplation.","2021-06-03","2023-11-15","Lachine","Parc et jardins","Parc","Vélo","Aire de pique-nique,Rampe de mise à l'eau,Support à vélo,Toilettes","Adapté aux poussettes","Culture et sports",""," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","Baignade interditeIl est interdit d’amarrer une embarcation ou d’accoster une embarcation à un quai, sauf aux endroits prévus à cette finIl est interdit de se trouver sur un quai, sauf aux endroits prévus à cette finPour utiliser la rampe de mise à l’eau, vous devez prévoir le portage de votre embarcation du stationnement le plus près (plus de 700 mètres du parc René-Lévesque)","","","","Nouveau parc riverain de Lachine","1800, chemin des Iroquois",,"H8S4J5","Montréal",45.42955,-73.676149,291016.8,5032194.7
"Parc Gédéon-De Catalogne","https://montreal.ca/lieux/parc-gedeon-de-catalogne","Ce parc de détente est aussi un site de compostage collectif.","2021-06-07","2024-06-12","Le Sud-Ouest","Parc et jardins","Parc","","Bacs bruns publics","","Culture et sports",""," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Gédéon-De Catalogne","Square Sir-George-Étienne-Cartier",,"H4C3R3","Montréal",45.471961140444,-73.583113498514,298301.4,5036896.1
"Parc York-De Roberval","https://montreal.ca/lieux/parc-york-de-roberval","Ce petit parc de détente est aussi un site de compostage collectif.","2021-06-07","2021-06-07","Le Sud-Ouest","Parc et jardins","Parc","","","","Culture et sports",""," ","","","","","","Parc York-De Roberval","Angle des rues York et De Roberval",,,"Montréal",45.464445745025,-73.582821138195,298323.4,5036060.8
"Parc 40e Avenue / 41e Avenue","https://montreal.ca/lieux/parc-40e-avenue-41e-avenue","Le parc 40e Avenue / 41e Avenue est également un endroit parfait pour profiter des attraits de la nature.","2019-07-30","2024-06-25","Lachine","Parc et jardins","Parc","","","","Culture et sports",""," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc 40e Avenue / 41e Avenue","41e Avenue",,"H8T 1A2","Montréal",45.440407235933,-73.702291846275,288974.2,5033406
"Parc Villeray","https://montreal.ca/lieux/parc-villeray","Le parc Villeray est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2022-01-12","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Parc","","Aire de pique-nique,Douches,Fontaine d'eau potable,Table à langer,Toilettes,Vestiaire","","Culture et sports",""," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Villeray","8000, rue De Normanville",,"H2R 2V6","Montréal",45.548362938305,-73.621509075165,295312.2,5045390.5
"Parc Villeray Ouest","https://montreal.ca/lieux/parc-villeray-ouest","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2022-01-20","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Parc","","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants","","Culture et sports",""," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Villeray Ouest","7750, avenue Christophe-Colomb",,"A1B 2C3","Montréal",45.546069417436,-73.620649159329,295378.9,5045135.5
"Parc Shaughnessy","https://montreal.ca/lieux/parc-shaughnessy","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-07-30","2022-01-20","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Parc","","Aire de pique-nique,Module de jeu pour enfants","","Culture et sports",""," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Shaughnessy","7634, 17e Avenue",,"H2A 2S4","Montréal",45.565547802153,-73.601150980617,296904.2,5047298
"Parc Philippe-Lalonde","https://montreal.ca/lieux/parc-philippe-lalonde","Éclairé à l’énergie solaire et muni d’un escalier et d’une rampe d’accès universel, cet espace vert répond aux impératifs environnementaux et aux enjeux d’accessibilité universelle. Les citoyens peuvent s’exercer sur un module d’escalade pour enfants et adultes constitué de 26 poteaux avec quatre parcours permettant de tester force motrice, coordination et équilibre. Ils peuvent aussi profiter des chaises longues pour une pause bien méritée ou des tables de pique-nique pour casser la croûte dans ce lieu enchanteur.Philippe-LalondeLe parc est nommé en l’honneur de M. Philippe-Lalonde (1899-1974). Ayant étudié à l’école supérieure de Saint-Henri, il est champion provincial de boxe,  gardien de but réserviste pour le club de hockey Les Canadiens et élu député libéral dans Montréal-Saint-Henri de 1952 à 1962. Il est également nommé adjoint parlementaire du premier ministre Jean Lesage en 1962.","2021-06-11","2021-06-25","Le Sud-Ouest","Parc et jardins","Parc","Vélo","Circuit d'entraînement","","Culture et sports",""," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Philippe-Lalonde","Rue Philippe-Lalonde",,,"Montréal",45.4673030028,-73.592632945219,297556.5,5036379.2
"Parc Victoria-Girard","https://montreal.ca/lieux/parc-victoria-girard","Profitez des attraits de la nature ou pratiquez des loisirs en plein air.","2019-08-29","2021-06-10","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","","Aire de pique-nique,Module de jeu pour enfants","","Culture et sports",""," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Victoria-Girard","1881, rue Jean-Leduc",,"H1A 5G7","Montréal",45.654278,-73.506988,304255.4,5057153.9
"Place Shamrock","https://montreal.ca/lieux/place-shamrock","Située entre le boulevard Saint-Laurent et l’avenue Casgrain, dans la Petite Italie, cette rue partagée trace un lien entre deux lieux phares de Montréal : le boulevard Saint-Laurent et le marché Jean-Talon. Naturellement achalandée, la place multifonctionnelle et colorée est devenue un espace de détente et de rencontre agréable, parfait pour casser la croûte, discuter entre amis ou se divertir.ObjectifOffrir un lieu public attrayant et animé aux résidents et à la clientèle commerciale du secteurInstallationsEspace public verdi, sécuritaire, accessible et multifonctionnelGrande tablée proposant 110 places assisesÎlot de cuisine pour laver et préparer les alimentsMobilier ludique pour les enfantsPlace multifonctionnelle pour l’animation et les spectaclesSystème d’éclairage sécurisant les déplacements à la nuit tombée tout en créant de l’ambianceZones ombragées et verdissementEspaces piétonniers sécuritaires","2019-08-30","2022-05-18","Rosemont–La Petite-Patrie","Sportifs et récréatifs","Rue piétonne","","Aire de pique-nique,Fontaine d'eau potable","","Entretien et circulation",""," ","","","","","","Place Shamrock","70, avenue Shamrock",,"H2S 1A6","Montréal",45.534655273494,-73.616242390126,295721.2,5043866.5
"Place Roy","https://montreal.ca/lieux/place-roy","La place Roy est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-08-30","2024-06-25","Le Plateau-Mont-Royal","Parc et jardins","Place","","Aire de pique-nique","","Culture et sports",""," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Place Roy","880, rue Roy Est",,"H2L 1E6","Montréal",45.521421,-73.570148,299320,5042391.6
"Place Roland-Proulx","https://montreal.ca/lieux/place-roland-proulx","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air: 2 courts de tennis sont disponibles.","2019-08-30","2021-04-14","Le Sud-Ouest","Parc et jardins","Place","","","","Culture et sports",""," ","","","","","","Place Roland-Proulx","50, square Sir-George-Étienne-Cartier",,"H4C 2Z9","Montréal",45.471947,-73.584603,298185,5036894.6
