Annee_financiere,Programme,Region_administrative_des_lieux_physiques_de_l_entreprise,Nom_du_client,Forme_juridique,Cout_du_projet,Montant_approuve,Montant_revise
"2015-2016","Programme NovaScience","06 Montréal","COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","Pers. morale sans but lucratif","","32 644.0","32 644.0"
"2015-2016","Programme NovaScience","07 Outaouais","COMMISSION SCOLAIRE WESTERN QUÉBEC","Pers. morale sans but lucratif","","21 264.0","21 264.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COLLÈGE FRANÇOIS-DE-LAVAL","Pers. morale sans but lucratif","","23 021.0","23 021.0"
"2015-2016","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","COLLÈGE D'ALMA","Pers. morale sans but lucratif","","30 994.0","25 656.0"
"2015-2016","Programme NovaScience","16 Montérégie","COMMISSION SCOLAIRE DES HAUTES-RIVIÈRES","Pers. morale sans but lucratif","","27 972.0","27 972.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DE CHARLEVOIX","Pers. morale sans but lucratif","","8 295.0","8 295.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DES DÉCOUVREURS","Pers. morale sans but lucratif","","30 260.0","33 260.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DE LA CAPITALE","Pers. morale sans but lucratif","","24 007.0","24 007.0"
"2015-2016","Programme NovaScience","05 Estrie","COMMISSION SCOLAIRE DE LA REGION-DE- SHERBROOKE","Pers. morale sans but lucratif","","25 880.0","25 880.0"
"2015-2016","Programme NovaScience","06 Montréal","COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","Pers. morale sans but lucratif","","28 776.0","22 722.0"
"2015-2016","Programme NovaScience","05 Estrie","TECHNOSCIENCE ESTRIE","Pers. morale sans but lucratif","","10 000.0","10 000.0"
"2015-2016","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE CHICOUTIMI","Pers. morale sans but lucratif","","67 000.0","67 000.0"
"2015-2016","Programme NovaScience","06 Montréal","PAVILLON ARTS IV","Pers. morale sans but lucratif","","22 000.0","25 500.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","UNIVERSITÉ LAVAL - FACULTÉ DES SCIENCES ET GÉNIE","Pers. morale sans but lucratif","","40 982.0","37 048.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","RÉSEAU QUÉBÉCOIS DES CFER","Pers. morale sans but lucratif","","33 513.0","33 513.0"
"2015-2016","Programme NovaScience","04 Mauricie","CORPORATION DE DÉVELOPPEMENT CULTUREL DE TROIS-RIVIÈRES","Pers. morale sans but lucratif","","35 252.0","34 024.0"
"2015-2016","Programme NovaScience","06 Montréal","ROBOTIQUE FIRST QUÉBEC","Pers. morale sans but lucratif","","44 800.0","44 800.0"
"2015-2016","Programme NovaScience","07 Outaouais","TECHNOSCIENCE OUTAOUAIS","Pers. morale sans but lucratif","","15 660.0","9 859.0"
"2015-2016","Programme NovaScience","06 Montréal","ALLÔ PROF!","Pers. morale sans but lucratif","","70 000.0","70 000.0"
"2015-2016","Programme NovaScience","06 Montréal","VÉLO QUÉBEC ÉDITIONS","Pers. morale sans but lucratif","","19 745.0","18 444.0"
"2015-2016","Programme NovaScience","06 Montréal","COMITÉ SECTORIEL DE MAIN-D'OEUVRE EN TECHNOLOGIES DE L'INFORMATION ET DES COMMUNICATIONS","Pers. morale sans but lucratif","","35 000.0","31 925.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","GROUPE D'ÉDUCATION ET D'ÉCOSURVEILLANCE DE L'EAU (G3E)","Pers. morale sans but lucratif","","70 000.0","70 000.0"
"2015-2016","Programme NovaScience","06 Montréal","ASSOCIATION POUR L'ENSEIGNEMENT DE LA SCIENCE ET DE LA TECHNOLOGIE AU QUÉBEC (AESTQ)","Pers. morale sans but lucratif","","29 000.0","29 000.0"
"2015-2016","Programme NovaScience","06 Montréal","LES SCIENTIFINES","Pers. morale sans but lucratif","","6 410.0","6 410.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","57 260.0","45 808.0"
"2015-2016","Programme NovaScience","12 Chaudière-Appalaches","CORPORATION DE L'OBSERVATOIRE MONT COSMOS","Pers. morale sans but lucratif","","31 631.0","31 631.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","TECHNOSCIENCE EST-DU-QUÉBEC","Pers. morale sans but lucratif","","24 079.0","24 079.0"
"2015-2016","Programme NovaScience","06 Montréal","ACFAS INC.","Pers. morale sans but lucratif","","31 875.0","31 875.0"
"2015-2016","Programme NovaScience","06 Montréal","Prix du Québec-BOYER, MARCEL (LG)","Autre","","30 000.0","30 000.0"
"2015-2016","Programme NovaScience","16 Montérégie","Prix du Québec-FALCO, TONY (LB)","Autre","","30 000.0","30 000.0"
"2015-2016","Programme NovaScience","06 Montréal","Prix du Québec-CHRÉTIEN, MICHEL (WP)","Autre","","30 000.0","30 000.0"
"2015-2016","Programme NovaScience","06 Montréal","Prix du Québec-DEMERS, PIERRE (MV)","Autre","","30 000.0","30 000.0"
"2015-2016","Programme NovaScience","05 Estrie","Prix du Québec-PAULTRE, PATRICK (AF)","Autre","","30 000.0","30 000.0"
"2015-2016","Programme NovaScience","06 Montréal","Prix du Québec-LÉVESQUE, BENOÎT (MAB)","Autre","","30 000.0","30 000.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","ASSOCIATION QUÉBÉCOISE AUTOCHTONE EN SCIENCE ET EN INGÉNIERIE","Pers. morale sans but lucratif","","9 365.0","9 365.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMPÉTENCES QUÉBEC","Pers. morale sans but lucratif","","26 514.0","26 514.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","33 319.0","33 319.0"
"2015-2016","Programme NovaScience","16 Montérégie","ALLIANCE POUR L'ENSEIGNEMENT DE LA SCIENCE ET DE LA TECHNOLOGIE (AEST)","Pers. morale sans but lucratif","","35 000.0","35 000.0"
"2015-2016","Programme NovaScience","06 Montréal","PUBLICATIONS BLD INC.","Société par actions","","189 819.0","189 819.0"
"2015-2016","Programme NovaScience","06 Montréal","VÉLO QUÉBEC ÉDITIONS","Pers. morale sans but lucratif","","147 739.0","147 739.0"
"2015-2016","Programme NovaScience","06 Montréal","LES SCIENTIFINES","Pers. morale sans but lucratif","","36 000.0","36 000.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","Prix chapeau les filles","Pers. morale sans but lucratif","","31 000.0","31 000.0"
"2015-2016","Programme NovaScience","06 Montréal","REGROUPEMENT DES COLLÈGES DU MONTRÉAL MÉTROPOLITAIN (R.C.M.M.)","Pers. morale sans but lucratif","","80 000.0","80 000.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE DÉVELOPPEMENT ET DE RECHERCHE EN INTELLIGENCE NUMÉRIQUE (CDRIN)","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE DÉVELOPPEMENT ET DE RECHERCHE EN INTELLIGENCE NUMÉRIQUE (CDRIN)","Pers. morale sans but lucratif","","20 000.0","19 525.0"
"2015-2016","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE TECHNOLOGIE MINÉRALE ET DE PLASTURGIE INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","14 Lanaudière","CÉGEP RÉGIONAL DE LANAUDIÈRE À TERREBONNE","Pers. morale sans but lucratif","","19 762.0","19 762.0"
"2015-2016","Programme NovaScience","06 Montréal","CENTRE DES TECHNOLOGIES DE L'EAU","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COREM","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","15 Laurentides","INSTITUT DU VÉHICULE INNOVANT","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","15 Laurentides","CENTRE D'INNOVATION EN MICROÉLECTRONIQUE DU QUÉBEC (CIMEQ) INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE ROBOTIQUE ET DE VISION INDUSTRIELLES INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE ROBOTIQUE ET DE VISION INDUSTRIELLES INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","06 Montréal","INSTITUT DE TECHNOLOGIE DES EMBALLAGES ET DU GÉNIE ALIMENTAIRE (ITEGA)","Pers. morale sans but lucratif","","14 478.0","3 423.91"
"2015-2016","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE ROBOTIQUE ET DE VISION INDUSTRIELLES INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","INNOVATION MARITIME","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","09 Côte-Nord","CENTRE D'EXPÉRIMENTATION ET DE DÉVELOPPEMENT EN FORÊT BORÉALE (CEDFOB)","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","04 Mauricie","CENTRE NATIONAL EN ÉLECTROCHIMIE ET EN TECHNOLOGIES ENVIRONNEMENTALES INC","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","04 Mauricie","CENTRE NATIONAL EN ÉLECTROCHIMIE ET EN TECHNOLOGIES ENVIRONNEMENTALES INC","Pers. morale sans but lucratif","","20 000.0","1 219.68"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","BIOPTERRE - CENTRE DE DÉVELOPPEMENT DES BIOPRODUITS","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","16 Montérégie","CENTRE TECHNOLOGIQUE EN AEROSPATIALE C.T.A.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE DÉVELOPPEMENT BIOALIMENTAIRE DU QUÉBEC INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","RÉSEAU TECHNOSCIENCE","Pers. morale sans but lucratif","","320 000.0","321 425.0"
"2016-2017","Programme NovaScience","09 Côte-Nord","TECHNOSCIENCE CÔTE-NORD","Pers. morale sans but lucratif","","104 412.0","104 412.0"
"2016-2017","Programme NovaScience","06 Montréal","ASSOCIATION POUR LE DÉVELOPPEMENT DE LA RECHERCHE ET DE L'INNOVATION DU QUÉBEC","Pers. morale sans but lucratif","","190 000.0","190 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","QUÉBEC NUMÉRIQUE","Pers. morale sans but lucratif","","10 000.0","10 000.0"
"2016-2017","Programme NovaScience","06 Montréal","COMMISSION SCOLAIRE MARGUERITE- BOURGEOYS","Pers. morale sans but lucratif","","8 270.0","8 270.0"
"2016-2017","Programme NovaScience","14 Lanaudière","COMMISSION SCOLAIRE DES AFFLUENTS","Pers. morale sans but lucratif","","17 550.0","17 550.0"
"2016-2017","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","13 350.0","13 350.0"
"2016-2017","Programme NovaScience","13 Laval","CENTRE D'INTERPRÉTATION DES BIOSCIENCES ARMAND-FRAPPIER","Pers. morale sans but lucratif","","44 900.0","44 900.0"
"2016-2017","Programme NovaScience","04 Mauricie","CORPORATION DE DÉVELOPPEMENT CULTUREL DE TROIS-RIVIÈRES","Pers. morale sans but lucratif","","34 913.0","34 913.0"
"2016-2017","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","COMMISSION SCOLAIRE RENÉ-LÉVESQUE","Pers. morale sans but lucratif","","17 942.0","17 942.0"
"2016-2017","Programme NovaScience","06 Montréal","PAVILLON ARTS IV","Pers. morale sans but lucratif","","22 000.0","25 000.0"
"2016-2017","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE CHICOUTIMI","Pers. morale sans but lucratif","","47 000.0","47 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","STRATÉGIES SAINT-LAURENT","Pers. morale sans but lucratif","","24 175.0","24 175.0"
"2016-2017","Programme NovaScience","16 Montérégie","COMMISSION SCOLAIRE MARIE-VICTORIN","Pers. morale sans but lucratif","","30 400.0","25 308.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","COMMISSION SCOLAIRE DE KAMOURASKA- RIVIÈRE-DU-LOUP","Pers. morale sans but lucratif","","22 760.0","14 797.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","GROUPE D'ÉDUCATION ET D'ÉCOSURVEILLANCE DE L'EAU (G3E)","Pers. morale sans but lucratif","","44 016.0","44 016.0"
"2016-2017","Programme NovaScience","12 Chaudière-Appalaches","ZAPIENS COMMUNICATION SCIENTIFIQUE INC.","Société par actions","","12 452.0","12 452.0"
"2016-2017","Programme NovaScience","06 Montréal","AÉRO MONTRÉAL","Pers. morale sans but lucratif","","36 445.0","36 445.0"
"2016-2017","Programme NovaScience","06 Montréal","SOCIÉTÉ DE FORMATION À DISTANCE DES COMMISSIONS SCOLAIRES DU QUÉBEC","Pers. morale sans but lucratif","","22 660.0","22 660.0"
"2016-2017","Programme NovaScience","05 Estrie","COMMISSION SCOLAIRE DE LA REGION-DE- SHERBROOKE","Pers. morale sans but lucratif","","27 048.0","27 048.0"
"2016-2017","Programme NovaScience","06 Montréal","ALLÔ PROF!","Pers. morale sans but lucratif","","41 125.0","41 125.0"
"2016-2017","Programme NovaScience","06 Montréal","ASSOCIATION POUR L'ENSEIGNEMENT DE LA SCIENCE ET DE LA TECHNOLOGIE AU QUÉBEC (AESTQ)","Pers. morale sans but lucratif","","35 434.0","35 434.0"
"2016-2017","Programme NovaScience","16 Montérégie","LA FONDATION JEUNESSE DE RICHELIEU","Pers. morale sans but lucratif","","40 125.0","40 125.0"
"2016-2017","Programme NovaScience","06 Montréal","Prix du Québec-DROUET, MICHEL G.","Autre","","30 000.0","30 000.0"
"2016-2017","Programme NovaScience","16 Montérégie","Prix du Québec-LÉVESQUE, CAROLE (MAB)","Autre","","30 000.0","30 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","Prix du Québec-LECLERC, MARIO (MV)","Autre","","30 000.0","30 000.0"
"2016-2017","Programme NovaScience","06 Montréal","Prix du Québec-EVANS, ALAN (WP)","Autre","","30 000.0","30 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","Prix du Québec-RICHARD, DENIS (AF)","Autre","","30 000.0","30 000.0"
"2016-2017","Programme NovaScience","06 Montréal","Prix du Québec-HALL, JOHN ANTHONY (LG)","Autre","","30 000.0","30 000.0"
"2016-2017","Programme NovaScience","06 Montréal","ACFAS INC.","Pers. morale sans but lucratif","","50 000.0","50 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","COMPÉTENCES QUÉBEC","Pers. morale sans but lucratif","","53 028.0","53 028.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","66 638.0","68 638.0"
"2016-2017","Programme NovaScience","06 Montréal","REGROUPEMENT DES COLLÈGES DU MONTRÉAL MÉTROPOLITAIN (R.C.M.M.)","Pers. morale sans but lucratif","","175 000.0","175 000.0"
"2016-2017","Programme NovaScience","06 Montréal","VÉLO QUÉBEC ÉDITIONS","Pers. morale sans but lucratif","","295 478.0","295 478.0"
"2016-2017","Programme NovaScience","06 Montréal","PUBLICATIONS BLD INC.","Société par actions","","379 638.0","379 638.0"
"2016-2017","Programme NovaScience","06 Montréal","LES SCIENTIFINES","Pers. morale sans but lucratif","","72 000.0","72 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","Prix chapeau les filles","Pers. morale sans but lucratif","","31 000.0","31 000.0"
"2016-2017","Programme NovaScience","16 Montérégie","ALLIANCE POUR L'ENSEIGNEMENT DE LA SCIENCE ET DE LA TECHNOLOGIE (AEST)","Pers. morale sans but lucratif","","70 000.0","105 000.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","UNIVERSITÉ DU QUÉBEC À RIMOUSKI","Pers. morale sans but lucratif","","134 000.0","134 000.0"
"2016-2017","Programme NovaScience","06 Montréal","COMMUNAUTIQUE","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","QUÉBEC INTERNATIONAL, CORPORATION DE DÉVELOPPEMENT ÉCONOMIQUE POUR LA RÉGION DE QUÉBEC","Pers. morale sans but lucratif","","70 000.0","70 000.0"
"2016-2017","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE - CAMPUS PRINCIPAL","Pers. morale sans but lucratif","","47 265.0","47 265.0"
"2016-2017","Programme NovaScience","06 Montréal","VESTECHPRO CENTRE DE RECHERCHE ET D'INNOVATION EN HABILLEMENT","Pers. morale sans but lucratif","","21 000.0","21 000.0"
"2016-2017","Programme NovaScience","04 Mauricie","COLLÈGE LAFLÈCHE","Pers. morale sans but lucratif","","68 984.0","68 984.0"
"2016-2017","Programme NovaScience","06 Montréal","ASSOCIATION POUR LE DÉVELOPPEMENT DE LA RECHERCHE ET DE L'INNOVATION DU QUÉBEC","Pers. morale sans but lucratif","","300 000.0","300 000.0"
"2016-2017","Programme NovaScience","06 Montréal","CENTRE D'ÉTUDES DES PROCÉDÉS CHIMIQUES DU QUÉBEC","Pers. morale sans but lucratif","","20 000.0","10 000.0"
"2016-2017","Programme NovaScience","06 Montréal","OURANOS INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
