"rescode","resgroupe","rescodetitre","restitre","resentreefonction","resnom","resprenom","resestvacant"
"39117","Responsable","242A","Inspecteur destr. mauvaises herbes","2004-07-05","Pedneault","Gervais","non"
"39117","Responsable","243A","Inspecteur municipal et de voirie","2004-07-05","Pedneault","Gervais","non"
"39117","Responsable","244A","Resp. règl. rel. install. septiques","2004-07-05","Pedneault","Gervais","non"
"39117","Responsable","246A","Resp. émission permis/certif. mun.","2004-07-05","Pedneault","Gervais","non"
"39117","Direction","304A","Responsable des loisirs","2013-06-25","Boucher","Élisabeth","non"
"39135","Conseiller","004B","Conseillère n° 4","2021-11-07","Hébert","Nadia","non"
"39135","Conseiller","006B","Conseillère n° 6","2021-11-07","Quirion","Claudia","non"
"39135","Conseiller","002A","Conseiller n° 2","2021-11-07","Pepin","Jacques","non"
"39135","Conseiller","005B","Conseillère n° 5","2021-11-07","Turgeon","Joséane","non"
"39135","Mairie","000A","Maire","2022-05-22","Normand","Marcel","non"
"39135","Responsable","243A","Inspecteur municipal et de voirie","2023-03-02","","","oui"
"39135","Direction","340B","Directrice services administratifs","2023-02-28","","","oui"
"39135","Direction","209A","Directeur général","2023-09-05","Saint-Fort","Karl Péguy","non"
"39135","Responsable","205A","Greffier-trésorier","2023-09-05","Saint-Fort","Karl Péguy","non"
"39135","Conseiller","001A","Conseiller n° 1","2017-10-06","Dupuis","Guy","non"
"39135","Conseiller","003A","Conseiller n° 3","2017-10-06","Morissette","Éric","non"
"39135","Direction","305B","Directeur des travaux publics","2023-03-01","Verville","Yvan","non"
"39135","Responsable","247A","Inspecteur municipal","2023-03-01","Habel","Philippe","non"
"39135","Responsable","246A","Resp. émission permis/certif. mun.","2017-06-26","Habel","Philippe","non"
"40010","Conseiller","003A","Conseiller n° 3","2021-11-15","Giguère","Onil","non"
"40010","Conseiller","004A","Conseiller n° 4","2021-11-15","Dumoulin","Pauline","non"
"40010","Direction","305A","Responsable des travaux publics","2020-09-01","Guillemette","Dany","non"
"40010","Conseiller","005A","Conseiller n° 5","2022-10-04","Therrien","Marie-Pier","non"
"40010","Mairie","000A","Maire","1997-11-02","Therrien","Pierre","non"
"40010","Conseiller","002A","Conseiller n° 2","2017-11-05","Viau","Richard","non"
"40010","Présidence","307A","Président comité consult. urbanisme","2017-11-05","Dupont","Claude","non"
"40010","Conseiller","001A","Conseiller n° 1","2021-11-15","Dupont","Claude","non"
"40010","Conseiller","006A","Conseiller n° 6","2017-11-05","Picard","Francis","non"
"40010","Responsable","205B","Greffière-trésorière","1997-09-15","Ducharme","Maryse","non"
"40010","Direction","209B","Directrice générale","2004-11-01","Ducharme","Maryse","non"
"40010","Direction","223A","Coordonnateur mesures d'urgence","1997-11-02","Therrien","Pierre","non"
"40017","Responsable","205A","Greffier-trésorier","2021-02-03","Boisvert","Marcel","non"
"40017","Direction","209A","Directeur général","2021-02-03","Boisvert","Marcel","non"
"40017","Direction","223A","Coordonnateur mesures d'urgence","2021-02-03","Boisvert","Marcel","non"
"40017","Responsable","203B","Adjoint administratif","2021-03-01","Letarte","Nathalie","non"
"40017","Direction","310A","Directeur du dév. économique","2021-03-01","Mercier","Kim","non"
"40017","Conseiller","004B","Conseillère n° 4","2021-10-01","Rodrigue","Geneviève","non"
"40017","Conseiller","001A","Conseiller n° 1","2021-11-07","Bilodeau","Jasmin","non"
"40017","Conseiller","003A","Conseiller n° 3","2021-10-01","Drouin","Ghislain","non"
"40017","Conseiller","007A","Conseiller n° 7","2023-10-27","Parenteau","Véronique","non"
"40017","Mairie","000A","Maire","2018-09-28","Dion","Jocelyn","non"
"40017","Conseiller","002A","Conseiller n° 2","2017-11-05","Grimard","Donald","non"
"40017","Mairie","111A","Maire suppléant","2018-07-18","Grimard","Donald","non"
"40017","Conseiller","006A","Conseiller n° 6","2017-10-06","Dubé","Richard","non"
"40017","Direction","304A","Responsable des loisirs","1900-01-01","","","oui"
"40017","Direction","305A","Responsable des travaux publics","2020-01-31","Bissonnette","Denis","non"
"01042","Responsable","206B","Greffière-trésorière adjointe","2024-06-06","Goodwin","Jessica","non"
"01042","Mairie","000B","Mairesse","2021-10-01","Davies","Diana-Joy","non"
"01042","Conseiller","006B","Conseillère n° 6","2021-10-01","Clark","Nancy","non"
"01042","Conseiller","001B","Conseillère n° 1","2021-10-01","Boudreau","Marlene","non"
"01042","Conseiller","002B","Conseillère n° 2","2021-10-01","Burke","Kathy","non"
"01042","Conseiller","003B","Conseillère n° 3","2021-10-01","Clark","Johanne","non"
"01042","Conseiller","005B","Conseillère n° 5","2021-10-01","Matthews","Miranda","non"
"01042","Conseiller","004B","Conseillère n° 4","2021-10-01","Keating","Katrina","non"
"01042","Direction","209A","Directeur général","2024-01-22","Lemieux","Carole","non"
"01042","Responsable","205A","Greffier-trésorier","2024-02-12","Lemieux","Carole","non"
"01042","Responsable","203C","Adjointe administrative","2023-07-10","Paradis","Marianne","non"
"02010","Conseiller","003B","Conseillère n° 3","2021-11-07","Langlais Marcoux","Dorine","non"
"02010","Direction","209B","Directrice générale","2022-11-07","Lachance","Karine","non"
"02010","Responsable","205B","Greffière-trésorière","2022-11-07","Lachance","Karine","non"
"02010","Direction","223B","Coordonnatrice mesures d'urgence","2022-11-07","Lachance","Karine","non"
"02010","Mairie","000A","Maire","2017-10-06","Blondin","Roberto","non"
"02010","Conseiller","001B","Conseillère n° 1","2009-11-01","Lelièvre","Nadine","non"
"02010","Conseiller","002A","Conseiller n° 2","2017-11-05","Lebreux","Patrick","non"
"02010","Conseiller","004A","Conseiller n° 4","2000-11-10","Vallée","Roland","non"
"02010","Conseiller","005A","Conseiller n° 5","2017-11-05","Couture","Jeannot","non"
"02010","Conseiller","006A","Conseiller n° 6","2012-05-27","Roussy","Jacques","non"
"02010","Direction","210B","Directrice générale adjointe","1992-02-10","Shannon","Hélène","non"
"02010","Responsable","206B","Greffière-trésorière adjointe","1992-02-10","Shannon","Hélène","non"
"02010","Responsable","243A","Inspecteur municipal et de voirie","1985-08-05","Desbois","René","non"
"02010","Responsable","244A","Resp. règl. rel. install. septiques","1985-08-05","Desbois","René","non"
"02010","Responsable","246A","Resp. émission permis/certif. mun.","1985-08-05","Desbois","René","non"
"02010","Présidence","307A","Président comité consult. urbanisme","2018-09-12","Bourget","Jocelyn","non"
"02047","Direction","223A","Coordonnateur mesures d'urgence","2022-10-17","Ritchie","Yan","non"
"02047","Direction","209A","Directeur général","2022-10-17","Ritchie","Yan","non"
"02047","Responsable","205A","Greffier-trésorier","2022-10-17","Ritchie","Yan","non"
"02047","Responsable","247B","Inspectrice municipale","2022-05-30","Allain","Jinny","non"
"02047","Conseiller","002B","Conseillère n° 2","2021-11-07","Castilloux","Jo-Annie","non"
"02047","Conseiller","001A","Conseiller n° 1","2021-11-07","Beaudin","François","non"
"02047","Mairie","000A","Maire","2013-11-03","Grenier","Henri","non"
"02047","Conseiller","003A","Conseiller n° 3","2017-11-05","Langlois","Denis","non"
"02047","Conseiller","004A","Conseiller n° 4","2017-11-05","Blais","Marc-Aurèle","non"
"02047","Conseiller","005B","Conseillère n° 5","2017-11-05","Allain","Marie-Ève","non"
"02047","Conseiller","006B","Conseillère n° 6","2017-11-05","Blais","Sylvie","non"
"02047","Responsable","206B","Greffière-trésorière adjointe","2018-11-12","Castilloux-Allain","Mélissa","non"
"02047","Direction","304B","Directeur des loisirs","2017-10-16","Huard","Éric","non"
"02047","Direction","305B","Directeur des travaux publics","2011-01-10","Blais","Alain","non"
"02047","Présidence","307A","Président comité consult. urbanisme","2019-01-08","Huard","Paul-Henri","non"
"15025","Conseiller","003A","Conseiller n° 3","2021-11-07","","","oui"
"15025","Conseiller","006A","Conseiller n° 6","2021-11-07","","","oui"
"15025","Conseiller","004A","Conseiller n° 4","2021-10-01","Gaudreault Néron","Jonathan","non"
"15025","Conseiller","005B","Conseillère n° 5","2021-10-01","Boudreault","Marie-Paule","non"
"15025","Conseiller","001B","Conseillère n° 1","2021-10-01","Lavoie","Lina","non"
"15025","Mairie","000A","Maire","2017-11-05","Girard","Alexandre","non"
"15025","Conseiller","002B","Conseillère n° 2","2017-11-10","Simard","Danye","non"
"15025","Responsable","205B","Greffière-trésorière","2008-05-27","Pedneault","Marcelle","non"
"15025","Direction","209B","Directrice générale","2008-05-27","Pedneault","Marcelle","non"
"15025","Direction","215A","Directeur/Chef brigade des pompiers","2011-08-09","Boies","Daniel","non"
"15025","Responsable","246A","Resp. émission permis/certif. mun.","2017-01-01","Gingras","Justin","non"
"15025","Responsable","247A","Inspecteur municipal","2017-01-01","Gingras","Justin","non"
"15025","Présidence","307A","Président comité consult. urbanisme","2013-11-04","Girqrd","Alexandre","non"
"15030","Conseiller","004A","Conseiller n° 4","2021-11-07","Harvey","Danick","non"
"15030","Conseiller","005A","Conseiller n° 5","2021-11-07","Simard","Rémi","non"
"15030","Conseiller","006A","Conseiller n° 6","2021-10-01","Dufour","James","non"
"15030","Mairie","000B","Mairesse","2013-11-03","Gagnon","Claire","non"
"15030","Conseiller","001A","Conseiller n° 1","2013-11-03","Thivierge","Thomas-Louis","non"
"15030","Conseiller","002A","Conseiller n° 2","2019-09-30","Lavoie","Marco","non"
"15030","Conseiller","003B","Conseillère n° 3","2009-11-01","Gravel","Monique","non"
"15030","Présidence","307A","Président comité consult. urbanisme","2013-11-03","Guay","Cajetan","non"
"15030","Responsable","205B","Greffière-trésorière","1980-12-05","Gaudreault","Suzanne","non"
"15030","Responsable","206B","Greffière-trésorière adjointe","2010-05-31","Tremblay","Émilie","non"
"15030","Direction","209B","Directrice générale","2004-11-01","Gaudreault","Suzanne","non"
"15030","Direction","223B","Coordonnatrice mesures d'urgence","1980-12-05","Gaudreault","Suzanne","non"
"15030","Direction","215A","Directeur/Chef brigade des pompiers","1993-11-02","Boies","Daniel","non"
"15030","Responsable","242A","Inspecteur destr. mauvaises herbes","1992-05-05","Boies","Daniel","non"
"15030","Responsable","243A","Inspecteur municipal et de voirie","1988-12-02","Boies","Daniel","non"
"15058","Conseiller","005A","Conseiller n° 5","2021-10-01","Tremblay","Dany","non"
"15058","Conseiller","002A","Conseiller n° 2","2021-11-07","Kowalew","Michel","non"
"15058","Conseiller","001B","Conseillère n° 1","2021-11-07","Tremblay","Martine","non"
"15058","Conseiller","003B","Conseillère n° 3","2021-11-07","Bouchard","Joannie","non"
"15058","Mairie","000A","Maire","2009-11-01","Tremblay","Sylvain","non"
"15058","Conseiller","004A","Conseiller n° 4","2009-11-01","Poulin","Claude","non"
"15058","Mairie","111A","Maire suppléant","2013-10-14","Poulin","Claude","non"
"15058","Conseiller","006A","Conseiller n° 6","2009-11-01","Harvey","Gilles","non"
"15058","Responsable","205B","Greffière-trésorière","1980-10-01","Foster","Sylvie","non"
"15058","Direction","209B","Directrice générale","1980-10-01","Foster","Sylvie","non"
"15058","Direction","223A","Coordonnateur mesures d'urgence","2001-04-25","Bouchard","Gérald","non"
"15058","Responsable","242A","Inspecteur destr. mauvaises herbes","2001-04-25","Bouchard","Gérald","non"
"15058","Responsable","246A","Resp. émission permis/certif. mun.","2001-04-25","Bouchard","Gérald","non"
"15058","Responsable","206A","Greffier-trésorier adjoint","1980-11-10","Bouchard","Gérald","non"
"15058","Direction","215A","Directeur/Chef brigade des pompiers","2008-05-03","Chamberland","Carl","non"
"15058","Responsable","243A","Inspecteur municipal et de voirie","2013-06-25","Fortin","Sylvain","non"
"15058","Direction","305A","Responsable des travaux publics","1994-01-03","Fortin","Sylvain","non"
"15058","Direction","304A","Responsable des loisirs","2014-05-26","Martel","Alexandre","non"
"15058","Présidence","307A","Président comité consult. urbanisme","2015-03-02","Dufour","Vincent","non"
"15065","Conseiller","003B","Conseillère n° 3","2021-10-01","Ouellet","Odette","non"
"15065","Mairie","000A","Maire","2013-11-03","Kenny","Donald","non"
"15065","Conseiller","001A","Conseiller n° 1","2017-10-06","Dallaire","Albert","non"
"15065","Conseiller","002A","Conseiller n° 2","2018-10-06","Gaudreault","Daniel","non"
"15065","Conseiller","004A","Conseiller n° 4","2009-11-01","Poitras","Guillaume","non"
"15065","Conseiller","005B","Conseillère n° 5","2018-11-04","Foster","Manon","non"
"15065","Conseiller","006A","Conseiller n° 6","2009-11-01","Poitras","Yvan","non"
"15065","Responsable","205B","Greffière-trésorière","2013-10-12","Bouchard","Mariève","non"
"15065","Direction","209B","Directrice générale","2018-09-01","Bouchard","Mariève","non"
"15065","Direction","223B","Coordonnatrice mesures d'urgence","2018-09-01","Bouchard","Mariève","non"
"15065","Direction","304A","Responsable des loisirs","2018-09-01","Bouchard","Mariève","non"
