"arrcod","arrnom","arrville","arrcode","arradr1","arradr2","arradr3","arradr4","arrcodp","arrtel","arrfax","arrcourriel","arrregion","arrmrc","arrhorsmrcautoch","arrcm","arrgentile","arradrinternet","arrdateconsti","arrdateproelec","president","directeur","con01","con02","con03","con04","con05","con06","con07","con08","con09","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75"
"REL06","Saint-Hubert","Longueuil","58227","4250, chemin de la Savane","Longueuil","4250, chemin de la Savane","Longueuil","J3Y9G4","4504637100","4504637400","311@ville.longueuil.qc.ca","Montérégie (16)","","non","Communauté métropolitaine de Montréal (663)","Longueuillois, oise","www.longueuil.ca","2002-01-01","2025-11-02","Alvaro Cueto","","Jacques Lemire","Geneviève Héon","Affine Lwalalika","Alvaro Cueto","Nathalie Delisle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM05","Outremont","Montréal","66023","543, chemin de la Côte-Sainte-Catherine","Outrement","543, chemin de la Côte-Sainte-Catherine","Montréal","H2V4R2","5144956280","5144956290","secretariat.outremont@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.outremont.ville.montreal.qc.ca","2002-01-01","2025-11-02","","","Mindy Pollak","Valérie Patreau","Marie Potvin","Caroline Braun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM09","Anjou","Montréal","66023","7701, boulevard Louis-H.-La Fontaine","Anjou","7701, boulevard Louis-H.-La Fontaine","Montréal","H1K4B9","5144938000","5144938009","anjou@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/anjou","2002-01-01","2025-11-02","","","Andrée Hénault","Marie Josée Dubé","Richard Leblanc","Kristine Marsolais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM12","Verdun","Montréal","66023","4555, rue de Verdun","Verdun","4555, rue de Verdun","Montréal","H4G1M4","5147657078","5147657006","mario.gerbeau@montreal.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/verdun","2002-01-01","2025-11-02","","","Véronique Tremblay","Cécile-Audrey Beauregard","Enrique Machado","Sterling Downey","Benoit Gratton","Kaïla A. Munro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM14","Saint-Léonard","Montréal","66023","8400, boulevard Lacordaire","Saint-Léonard","8400, boulevard Lacordaire","Montréal","H1R3B1","5143288500","5143288416","sbeaudoin@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/st-leonard","2002-01-01","2025-11-02","","","Angela Gentile","Arij El Korbi","Dominic Perri","Suzanne De Larochelliere","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM15","Saint-Laurent","Montréal","66023","777, boulevard Marcel-Laurin","Saint-Laurent","777, boulevard Marcel-Laurin","Montréal","H4M2M7","5148556000","5148556049","saint-laurent@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/saint-laurent","2002-01-01","2025-11-02","","Isabelle Bastien","Vana Nazarian","Jacques Cohen","Aref Salem","Annie Gagnier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM16","Montréal-Nord","Montréal","66023","4243, rue Charleroi","Montréal-Nord","4243, rue Charleroi","Montréal-Nord","H1H5R5","5143284000","5143284282","rachel.laperriere@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","mtlnord.ville.montreal.qc.ca","2002-01-01","2025-11-02","","","Abdelhaq Sari","Jean Marc Poirier","Chantal Rossi","Philippe Thermidor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM17","LaSalle","Montréal","66023","55, avenue Dupras","LaSalle","55, avenue Dupras","LaSalle","H8R4A8","5143676000","5143676600","lasalle@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/lasalle","2002-01-01","2025-11-02","","","Richard Deschamps","Daniela Romano","Benoit Auger","Laura Palestini","Michel Noël","Josée Troilo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM19","Ville-Marie","Montréal","66023","800, boulevard De Maisonneuve E.","Montréal","800, boulevard De Maisonneuve E.","Montréal","H2L4L8","5148727791","5148725607","adufort@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/villemarie","2002-01-01","2025-11-02","","","Serge Sasseville","Robert Beaudry","Sophie Mauzerolle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM20","Le Sud-Ouest","Montréal","66023","815, rue Bel-Air","Montréal","815, rue Bel-Air","Montréal","H4C2K4","5147657078","5148724583","le-sud-ouest@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/sud-ouest","2002-01-01","2025-11-02","","","Craig Sauvé","Tan Shan Li","Alain Vaillancourt","Anne-Marie Sigouin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM21","Le Plateau-Mont-Royal","Montréal","66023","201, avenue Laurier E., 5e Ét.","Montréal","201, avenue Laurier E., 5e Ét.","Montréal","H2T3E6","5147657078","5148684074","le-plateau-mont-royal@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/plateau","2002-01-01","2025-11-02","","","Marie Plourde","Marie Sterlin","Marianne Giguère","Laurence Parent","Alex Norris","Maeva Vilain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM22","Mercier--Hochelaga-Maisonneuve","Montréal","66023","6854, rue Sherbrooke E.","Montréal","6854, rue Sherbrooke E.","Montréal","H1N1E1","5148727275","0000000000","magellan.rioux@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.arrondissement.com/Mercier_Hochelaga_Maisonneuve/","2002-01-01","2025-11-02","","","Julien Hénault-Ratelle","Alia Hassan-Cournol","Éric Alan Caldwell","Alba Zuniga Ramos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM23","Ahuntsic-Cartierville","Montréal","66023","555, rue Chabanel O., Bur. 600","Montréal","555, rue Chabanel O., Bur. 600","Montréal","H2N2H8","5147657078","5148683297","ahuntsic-cartierville@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/ahuntsic-cartierville","2002-01-01","2025-11-02","","","Jérôme Normand","Julie Roy","Nathalie Goulet","Effie Giannou","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM24","Rosemont--La Petite-Patrie","Montréal","66023","5650, rue D'Iberville, 2e Ét.","Montréal","5650, rue D'Iberville, 2e Ét.","Montréal","H2G2B3","5148683566","5148683804","communications.rpp@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/rpp","2002-01-01","2025-11-02","","","Josefina Blanco","Ericka Alneus","Dominique Ollivier","Jocelyn Pauzé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM25","Villeray--Saint-Michel--Parc-Extension","Montréal","66023","405, avenue Ogilvy, Bur. 200","Montréal","405, avenue Ogilvy, Bur. 200","Montréal","H3N1M3","5148729862","5148729872","ldeslauriers@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/vsp","2002-01-01","2025-11-02","","","Josué Corvil","Sylvain Ouellet","Martine Musau Muele","Mary Deros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM27","Lachine","Montréal","66023","1800, boulevard Saint-Joseph E.","Lachine","1800, boulevard Saint-Joseph E.","Lachine","H8S2N4","5146343471","5146343472","lachine@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","lachine.ville.montreal.qc.ca","2002-01-01","2025-11-02","","","Vicki Grondin","Micheline Rouleau","Younes Boukala","Michèle Flannery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM31","Pierrefonds-Roxboro","Montréal","66023","13665, boulevard de Pierrefonds","Pierrefonds","13665, boulevard de Pierrefonds","Pierrefonds","H9A2Z4","5147657078","5146241300","pierrefonds-roxboro@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/pierrefonds-roxboro","2006-01-01","2025-11-02","","","Benoit Langevin","Louise Leroux","Catherine Clément-Talbot","Chahi (Sharkie) Tarakjian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM32","L'Île-Bizard--Sainte-Geneviève","Montréal","66023","350, montée de l'Église","L'Île-Bizard","350, montée de l'Église","L'Île-Bizard","H9C1G9","5146206448","5146208198","communications.ibsg@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","https://montreal.ca/lile-bizard-sainte-genevieve","2006-01-01","2025-11-02","","Poste vacant","Danielle Myrand","Alain Wilson","Richard Bélanger","Suzanne Marceau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM33","Rivière-des-Prairies--Pointe-aux-Trembles","Montréal","66023","12090, rue Notre-Dame E.","Montréal","12090, rue Notre-Dame E.","Montréal","H1B2Z1","5148684349","5148684312","charles-herve.aka@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca","2006-01-01","2025-11-02","","","Lisa Christensen","Daphney Colin","Virginie Journeau","Marie-Claude Baril","Giovanni Rapanà","Nathalie Pierre-Antoine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM34","Côte-des-Neiges--Notre-Dame-de-Grâce","Montréal","66023","5160, boulevard Décarie (Montréal), Bur. 600","Montréal","5160, boulevard Décarie (Montréal), Bur. 600","Montréal","H3X2H9","5148684012","5148683572","cdnndg@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/cdn-ndg","2006-01-01","2025-11-02","","","Stephanie Valenzuela","Magda Popeanu","Sonny Moroz","Peter Mcqueen","Despina Sourias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ01","La Cité-Limoilou","Québec","23027","399, rue Saint-Joseph E.","Québec","399, rue Saint-Joseph E.","Québec","G1K8E2","4186416101","4186416582","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2025-11-02","Suzanne Verreault","","Mélissa Coulombe-Leduc","Catherine Vallières-Roland","Pierre-Luc Lachance","Jackie Smith","Claude Villeneuve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ02","Les Rivières","Québec","23027","330, rue Chabot","Québec","330, rue Chabot","Québec","G1M3J5","4186416002","4186476514","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2025-11-02","Dominique Tanguay","","Alicia Despins","Patricia Boudreault-Bruyère","Véronique Dallaire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ03","Sainte-Foy--Sillery--Cap-Rouge","Québec","23027","1130, route de l'Église","Québec","1130, route de l'Église","Québec","G1V4X6","4186416003","4186416558","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2025-11-02","Remy Normand","","Maude Mercier Larouche","David Weiser","Anne Corriveau","Louis Martin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ04","Charlesbourg","Québec","23027","160, 76e Rue E.","Québec","160, 76e Rue E.","Québec","G1H7H5","4186416401","4186416595","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2025-11-02","Vincent Dufresne","","Claude Lavoie","Marie-Pierre Boucher","Eric Ralph Mercier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ05","Beauport","Québec","23027","10, rue Hugues-Pommier","Québec","10, rue Hugues-Pommier","Québec","G1E4T9","4186416005","4186416571","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2025-11-02","Melançon Stevens","","Jean-François Gosselin","Stevens Mélançon","Isabelle Roy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ06","La Haute-Saint-Charles","Québec","23027","3490, route de l'Aéroport","Québec","3490, route de l'Aéroport","Québec","G3K1X5","4186416007","4186416628","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2025-11-02","Raymond Dion","","Steeve Verret","Marie-Josée Asselin","Bianca Dussault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES01","Chicoutimi","Saguenay","94068","150, boulevard du Saguenay E.","Saguenay","C.P. 8060","Chicoutimi","G7H5B8","4186983355","4186983129","arrondissementdechicoutimi@ville.saguenay.qc.ca","Saguenay--Lac-Saint-Jean (02)","","non","","Saguenéen, enne*","www.ville.saguenay.qc.ca","2002-02-18","2025-11-02","Jacques Cleary","","Serge Gaudreault","Mireille Jean","Michel Potvin","Jacques Cleary","Marc Bouchard","Michel Tremblay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES02","Jonquière","Saguenay","94068","2354, rue Saint-Dominique","Saguenay","2354, rue Saint-Dominique C.P. 2000","Saguenay","G7X7W7","4186983356","4185462058","arrondissementdejonquiere@ville.saguenay.qc.ca","Saguenay--Lac-Saint-Jean (02)","","non","","Saguenéen, enne*","www.ville.saguenay.qc.ca","2002-02-18","2025-11-02","Carl Dufour","","Jimmy Bouchard","Claude Bouchard","Michel Thiffault","Kevin Armstrong","Carl Dufour","Jean-Marc Crevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES03","La Baie","Saguenay","94068","422, rue Victoria","Saguenay","422, rue Victoria","Saguenay","G7B3M4","4186983357","4186975059","arrondissementdelabaie@ville.saguenay.qc.ca","Saguenay--Lac-Saint-Jean (02)","","non","","Saguenéen, enne*","www.ville.saguenay.qc.ca","2002-02-18","2025-11-02","Raynald Simard","","Raynald Simard","Jean Tremblay","Martin Harvey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
