"mrccod","mrcnom","mrcadr1","mrcadr2","mrcadr3","mrcadr4","mrccodp","mrctel","mrcfax","mrccourriel","mrcweb","president","prefet","tres","sectres","amenage","urbanisme"
"AR690","Le Haut-Saint-Laurent","10, rue King, Bur. 400","Huntingdon","10, rue King, Bur. 400","Huntingdon","J0S1H0","4502645411","4502646885","mrchsl@mrchsl.com","www.mrchsl.com","","Louise Lebrun","","Pierre Caza","Alexandre Racicot",""
"AR700","Beauharnois-Salaberry","2, rue Ellice","Beauharnois","2, rue Ellice","Beauharnois","J6N1W6","4502250870","4502250872","info@mrcbhs.ca","mrcbhs.ca","","Miguel Lemieux","","Linda Phaneuf","Marc-André Gagnon",""
"AR710","Vaudreuil-Soulanges","280, boulevard Harwood","Vaudreuil-Dorion","280, boulevard Harwood","Vaudreuil-Dorion","J7V1Y5","4504555753","4504550145","info@mrcvs.ca","www.mrcvs.ca","","Patrick Bousez","","Marie-Hélène Rivest","",""
"AR720","Deux-Montagnes","1, place de la Gare, Bur. 301","Saint-Eustache","1, place de la Gare, Bur. 301","Saint-Eustache","J7R0B4","4504911818","4504913040","info@mrc2m.qc.ca","www.mrc2m.qc.ca","","Denis Martin","","Isabelle Jalbert","Isabelle Jalbert",""
"AR730","Thérèse-De Blainville","201, boulevard du Curé Labelle, Bur. 304","Sainte-Thérèse ","201, boulevard du Curé-Labelle, Bur. 304","Sainte-Thérèse","J7E2X6","4506215546","4506212628","reception@mrc-tdb.org","www.mrc-tdb.org","","Eric Westram","","Kamal El-Batal","Catherine Marcotty",""
"AR750","La Rivière-du-Nord","349, rue Labelle","Saint-Jérôme","349, rue Labelle","Saint-Jérôme","J7Z5L2","4504369321","0000000000","info@mrcrdn.qc.ca","www.mrcrdn.qc.ca","","Xavier-Antoine Lalande","","Guillaume Laurin-Taillefer","",""
"AR760","Argenteuil","430, rue Grace","Lachute","430, rue Grace","Lachute","J8H1M6","4505622474","4505621911","mrc@argenteuil.qc.ca","www.argenteuil.qc.ca","","Scott Pearce","","Eric Pelletier","Éric Morency",""
"AR770","Les Pays-d'en-Haut","1014, rue Valiquette","Sainte-Adèle","1014, rue Valiquette","Sainte-Adèle","J8B2M3","4502296637","4502295203","info@mrcpdh.org","www.lespaysdenhaut.com","","André Genest","","Philippe Leclerc","Catherine Bruyère",""
"AR780","Les Laurentides","1255, chemin des Lacs","Mont-Blanc","1255, chemin des Lacs","Mont-Blanc","J0T2G0","8194255555","8196886590","npelletier@mrclaurentides.qc.ca","www.mrclaurentides.qc.ca","","Marc L'Heureux","","Nancy Pelletier","Jean-Pierre Dontigny",""
"AR790","Antoine-Labelle","425, rue du Pont","Mont-Laurier","425, rue du Pont","Mont-Laurier","J9L2R6","8196233485","8196235052","administration@mrc-antoine-labelle.qc.ca","www.mrcal.ca","","Daniel Bourdon","","Mylène Mayer","Jocelyn Campeau",""
"AR800","Papineau","266, rue Viger","Papineauville","266, rue Viger","Papineauville","J0V1R0","8194276243","0000000000","info@mrc-papineau.com","www.mrcpapineau.com","","Benoit Lauzon","","Roxanne Lauzon","Arnaud Holleville",""
"AR820","Les Collines-de-l'Outaouais","216, chemin d'Old Chelsea","Chelsea","216, chemin d'Old Chelsea","Chelsea","J9B1J4","8198270516","0000000000","info@mrcdescollines.com","www.mrcdescollinesdeloutaouais.qc.ca","","Marc Carriere","","","Benedikt Kuhn",""
"AR830","La Vallée-de-la-Gatineau","7, rue de la Polyvalente","Gracefield","C.P. 307","Gracefield","J0X1W0","8194633241","8194633632","info@mrcvg.qc.ca","www.mrcvg.qc.ca","","Chantal Lamarche","","Joanie Courchaine","Antoni Dion",""
"AR840","Pontiac","602, route 301 N.","Campbell's Bay","602, route 301 N.","Campbell's Bay","J0X1K0","8196485689","8196485810","mrc@mrcpontiac.qc.ca","www.mrcpontiac.qc.ca","","Jane Toller","","Kim Lesage","Alexandre Savoie-Perron",""
"AR850","Témiscamingue","21, rue Notre-Dame-de-Lourdes, Bur. 209","Ville-Marie","21, rue Notre-Dame-de-Lourdes, Bur. 209","Ville-Marie","J9V1X8","8196292829","8196293472","mrct@mrctemiscamingue.qc.ca","www.mrctemiscamingue.org","","Claire Bolduc","","Lyne Gironne","Daniel Dufault",""
"AR870","Abitibi-Ouest","11, 5e Avenue E.","La Sarre","11, 5e Avenue E.","La Sarre","J9Z1K7","8193395671","8193395400","mrcao@mrcao.qc.ca","www.mrcao.qc.ca","","Jaclin Bégin","","Normand Lagrange","Normand Grenier",""
"AR880","Abitibi","582, 10e Avenue O.","Amos","582, 10e Avenue O.","Amos","J9T1X3","8197325356","8197329607","mrc@mrcabitibi.qc.ca","www.mrcabitibi.qc.ca","","Sébastien D'Astous","","Christine Meunier","Mélanie Falardeau",""
"AR890","La Vallée-de-l'Or","42, place Hammond","Val-d'Or","42, place Hammond","Val-d'Or","J9P3A9","8198257733","8198254137","info@mrcvo.qc.ca","www.mrcvo.qc.ca","","Céline Brindamour","Marie-Christine Gilbert","Christian Riopel","Mario Sylvain",""
"AR910","Le Domaine-du-Roy","901, boulevard Saint-Joseph","Roberval","901, boulevard Saint-Joseph","Roberval","G8H2L8","4182755044","4182754049","prefet@mrcdomaineduroy.ca","domaineduroy.ca","","Yanick Baillargeon","","Steeve Gagnon","Danny Bouchard",""
"AR920","Maria-Chapdelaine","173, boulevard Saint-Michel","Dolbeau-Mistassini","173, boulevard Saint-Michel","Dolbeau-Mistassini","G8L4N9","4182762131","4182767043","portail@mrcmaria.qc.ca","www.mrcdemaria-chapdelaine.ca","","Luc Simard","","Marie-Claude Fortin","",""
"AR930","Lac-Saint-Jean-Est","625, rue Bergeron O.","Alma","625, rue Bergeron O.","Alma","G8B1V3","4186683023","4186685112","info@mrclac.qc.ca","www.mrclacsaintjeanest.qc.ca","","Louis Ouellet","","Cynthia Tardif","Nathalie Audet",""
"AR942","Le Fjord-du-Saguenay","3110, boulevard Martel","Saint-Honoré","3110, boulevard Martel","Saint-Honoré","G0V1L0","4186731705","4186737205","reception@mrc-fjord.qc.ca","www.mrc-fjord.qc.ca","","Gérald Savard","","Peggy Lemieux","Steeve Lemyre",""
"AR950","La Haute-Côte-Nord","26, rue de la Rivière, Bur. 101","Les Escoumins","26, rue de la Rivière, Bur. 101","Les Escoumins","G0T1K0","4182332102","4182333010","info@mrchcn.qc.ca","www.mrchcn.qc.ca","","Micheline Anctil","","Élise Guignard","Kévin Bédard",""
"AR960","Manicouagan","768, rue Bossé","Baie-Comeau","768, rue Bossé","Baie-Comeau","G5C1L6","4185899594","4185896383","info@mrcmanicouagan.qc.ca","www.mrcmanicouagan.qc.ca","","Marcel Furlong","","Lise Fortin","Jacinthe Maloney",""
"AR971","Sept-Rivières","1166, boulevard Laure","Sept-Îles","1166, boulevard Laure","Sept-Îles","G4S1C4","4189621900","4189623365","info@mrc.septrivieres.qc.ca","www.mrc.septrivieres.qc.ca","","Denis Miousse","","Elisabeth Chevalier","Philippe Gagnon",""
"AR972","Caniapiscau","100, rue le Carrefour","Fermont","C.P. 2025","Fermont","G0G1J0","4182875339","4182873420","mrc@caniapiscau.ca","www.caniapiscau.ca","","Martin St-Laurent","","Jimmy Morneau","Jimmy Morneau",""
"AR981","Minganie","1303, rue de la Digue","Havre-Saint-Pierre","1303, rue de la Digue","Havre-Saint-Pierre","G0G1P0","4185382732","4185383711","info@mrc.minganie.org","www.mrc.minganie.org","","Meggie Richard","","Nathalie de Grandpré","",""
"AR982","Le Golfe-du-Saint-Laurent","29, chemin d'Aylmer, Bur. 400","Bristol","C.P. 77","Chevery","G0G1G0","4187872020","4187870052","info@mrcgsl.ca","www.mrcgsl.ca/","","Randy Jones","","","",""
