Date,ACT_Total_RSS01,ACT_Total_RSS02,ACT_Total_RSS03,ACT_Total_RSS04,ACT_Total_RSS05,ACT_Total_RSS06,ACT_Total_RSS07,ACT_Total_RSS08,ACT_Total_RSS09,ACT_Total_RSS10,ACT_Total_RSS11,ACT_Total_RSS12,ACT_Total_RSS13,ACT_Total_RSS14,ACT_Total_RSS15,ACT_Total_RSS16,ACT_Total_RSS17,ACT_Total_RSS18,ACT_Total_RSS99
2024-08-04,18,46,120,60,56,305,17,9,22,8,9,60,35,22,55,269,2,8,1121
2024-08-03,19,45,109,60,53,283,16,8,21,7,9,56,31,20,56,258,2,8,1061
2024-08-02,16,44,108,57,52,279,17,7,20,7,10,53,29,21,57,254,2,8,1041
2024-08-01,15,47,110,62,56,270,20,5,20,7,10,53,27,25,57,256,2,8,1050
2024-07-31,16,48,105,63,54,258,20,5,20,7,10,60,30,25,57,259,2,8,1047
2024-07-30,14,45,99,63,53,255,19,6,21,7,10,55,29,26,56,238,2,8,1006
2024-07-29,15,42,103,58,54,253,19,6,21,7,11,49,31,25,55,240,2,8,999
2024-07-28,15,42,103,53,56,237,18,5,19,7,11,50,31,25,51,240,2,8,973
2024-07-27,15,41,101,52,57,226,20,5,20,7,11,49,29,26,49,232,2,8,950
2024-07-26,16,36,97,47,58,222,19,4,20,7,10,49,28,25,48,228,2,8,924
2024-07-25,18,43,93,52,63,216,17,5,21,7,10,47,28,26,48,225,2,8,929
2024-07-24,16,41,89,54,63,211,17,7,22,8,10,46,27,26,47,228,2,8,922
2024-07-23,15,38,91,55,64,216,18,6,21,8,13,47,31,29,48,222,2,8,932
2024-07-22,16,36,93,52,68,227,20,7,20,7,12,50,30,30,48,221,2,8,947
2024-07-21,19,33,90,55,65,225,17,7,21,7,11,51,29,31,43,215,2,8,929
2024-07-20,20,32,89,50,66,220,17,7,20,7,12,52,27,32,43,207,2,8,911
2024-07-19,19,34,86,47,66,212,17,6,21,7,11,50,28,33,44,205,2,8,896
2024-07-18,21,30,84,52,63,220,15,6,21,7,10,51,26,34,44,207,2,8,901
2024-07-17,20,27,82,50,66,226,16,8,20,7,10,52,32,34,41,200,2,8,901
2024-07-16,19,24,78,45,66,226,16,9,18,7,7,53,31,37,40,186,2,8,872
2024-07-15,20,23,80,47,73,217,14,9,18,8,6,52,30,37,44,183,2,8,871
2024-07-14,22,24,82,42,69,216,14,7,19,9,5,52,30,42,45,164,2,8,852
2024-07-13,23,26,80,44,65,198,15,8,19,9,3,53,29,41,46,157,2,8,826
2024-07-12,22,25,84,46,61,196,15,7,17,9,3,53,29,43,49,158,2,8,827
2024-07-11,23,23,87,49,62,198,14,7,20,9,4,57,29,47,50,151,2,8,840
2024-07-10,24,21,91,49,59,196,14,7,20,6,4,56,27,46,47,144,2,8,821
2024-07-09,24,27,86,44,63,178,13,7,22,5,4,59,29,46,46,136,2,8,799
2024-07-08,27,23,92,46,62,177,14,5,22,6,4,59,29,47,46,128,3,8,798
2024-07-07,28,22,96,46,63,172,14,5,21,6,6,58,27,50,38,126,2,8,788
2024-07-06,26,16,95,42,61,162,14,5,20,6,5,57,27,48,34,123,2,8,751
2024-07-05,29,18,90,40,59,154,13,5,20,6,4,57,25,47,35,117,2,8,729
2024-07-04,30,19,90,42,54,154,11,4,20,5,4,57,27,44,34,123,2,8,728
2024-07-03,32,21,83,43,50,145,11,5,20,5,4,57,28,43,35,127,2,8,719
2024-07-02,35,20,79,47,48,142,11,6,21,5,4,57,31,36,32,131,2,8,715
2024-07-01,31,20,76,50,50,138,12,6,19,6,4,64,27,37,34,129,2,8,713
2024-06-30,31,19,77,43,48,135,12,6,19,6,3,65,29,37,26,129,3,8,696
2024-06-29,30,18,74,43,45,128,12,7,20,6,3,66,30,34,25,131,2,8,682
2024-06-28,32,22,74,43,43,127,13,5,21,5,3,66,32,34,25,132,2,8,687
2024-06-27,29,21,72,44,37,134,13,5,22,5,4,67,36,39,26,138,2,8,702
2024-06-26,27,19,68,41,36,134,15,5,25,6,5,66,40,26,24,133,2,8,680
2024-06-25,27,19,71,40,37,131,14,5,25,6,5,63,42,20,25,132,3,8,673
2024-06-24,25,19,73,37,34,131,15,4,24,6,5,64,42,23,28,127,3,8,668
2024-06-23,26,22,69,33,33,131,15,3,24,6,4,62,40,22,25,119,3,8,645
2024-06-22,21,21,70,34,33,133,16,3,24,6,4,59,38,24,24,110,3,8,631
2024-06-21,21,18,70,33,32,128,14,3,24,6,4,55,36,22,23,106,3,8,606
2024-06-20,20,19,78,34,33,132,14,4,24,6,4,52,35,22,21,94,2,8,602
2024-06-19,20,16,77,37,33,128,15,4,23,6,4,53,38,19,23,89,2,8,595
2024-06-18,20,15,82,42,32,136,15,4,23,7,5,50,35,18,26,83,2,8,603
2024-06-17,17,14,85,41,30,131,15,5,23,6,5,44,38,16,25,76,2,8,581
2024-06-16,18,14,81,45,31,134,15,5,23,6,5,45,35,18,24,70,2,8,579
2024-06-15,19,15,78,46,31,128,15,5,23,6,6,44,32,17,23,70,2,8,568
2024-06-14,19,14,78,48,31,129,16,6,23,6,7,41,32,18,24,67,2,8,569
2024-06-13,18,15,75,52,31,124,16,4,24,6,8,37,29,17,27,67,2,8,560
2024-06-12,18,14,78,52,29,125,14,4,23,6,9,39,23,16,29,71,2,8,560
2024-06-11,19,15,78,42,29,128,15,5,23,6,10,38,22,16,31,72,3,8,560
2024-06-10,19,17,83,39,30,127,15,5,24,7,10,35,21,16,26,78,3,8,563
2024-06-09,20,14,77,35,32,123,17,5,24,8,10,36,17,16,23,75,3,8,543
2024-06-08,19,14,74,35,33,118,16,3,24,8,9,32,16,16,22,76,2,8,525
2024-06-07,17,13,73,34,33,117,14,3,24,8,9,32,14,15,21,77,2,8,514
2024-06-06,16,13,77,36,35,119,13,3,25,8,7,29,12,18,20,78,2,8,519
2024-06-05,17,12,84,32,39,123,12,3,26,8,7,31,14,19,18,81,2,8,536
2024-06-04,17,12,86,26,41,128,11,3,27,8,8,32,14,18,15,84,2,8,540
2024-06-03,16,9,87,20,40,132,10,3,27,6,11,36,14,20,16,83,2,8,540
2024-06-02,15,10,90,14,39,133,10,3,27,6,11,35,14,18,18,82,2,8,535
2024-06-01,15,9,88,12,39,131,11,3,27,6,11,35,14,17,15,78,2,8,521
2024-05-31,15,8,83,10,38,128,11,3,27,6,8,34,13,16,17,76,2,8,503
2024-05-30,16,7,86,11,38,131,12,3,28,6,9,35,13,14,15,77,3,8,512
2024-05-29,19,7,92,18,38,131,11,3,28,6,9,36,15,12,18,72,3,9,527
2024-05-28,21,8,97,19,38,129,12,3,28,6,8,34,15,12,18,73,3,9,533
2024-05-27,22,10,97,20,38,128,11,4,28,6,8,36,15,14,19,76,3,8,543
2024-05-26,22,9,102,23,40,125,11,4,27,6,8,33,15,16,17,77,3,8,546
2024-05-25,21,9,100,22,42,126,11,4,27,6,9,35,15,14,16,72,3,8,540
2024-05-24,23,8,97,19,41,125,11,4,28,7,12,35,14,16,19,71,3,8,541
2024-05-23,24,8,102,21,41,127,12,4,29,7,13,40,15,16,21,81,3,8,572
2024-05-22,24,8,100,18,42,124,10,3,29,6,13,37,15,16,22,84,2,8,561
2024-05-21,24,10,99,18,43,127,10,3,29,7,13,38,16,16,21,90,2,8,574
2024-05-20,23,9,97,19,41,127,10,3,30,7,12,31,12,16,23,90,2,8,560
2024-05-19,23,9,94,20,43,122,9,3,30,8,9,29,12,16,25,87,2,8,549
2024-05-18,22,8,90,20,41,112,9,3,29,8,9,25,12,16,25,85,2,8,524
2024-05-17,22,6,95,20,40,116,10,3,27,9,7,21,11,17,25,86,2,8,525
2024-05-16,19,6,94,17,41,114,9,3,27,8,9,17,11,20,25,87,2,8,517
2024-05-15,19,7,86,17,43,115,10,3,29,9,9,13,10,18,25,89,2,8,512
2024-05-14,21,7,75,17,44,119,10,3,29,9,9,14,9,16,25,93,2,8,510
2024-05-13,24,6,75,17,45,119,10,3,31,7,8,12,10,16,21,97,2,8,511
2024-05-12,24,7,67,15,44,125,10,3,30,7,7,12,10,16,20,98,2,8,505
2024-05-11,24,7,51,15,42,126,10,4,27,7,6,12,11,16,21,94,2,8,483
2024-05-10,23,7,50,15,42,126,10,4,27,7,6,12,8,14,21,92,2,8,474
2024-05-09,23,6,48,18,45,127,10,4,25,7,5,13,9,14,21,93,2,8,478
2024-05-08,21,5,45,18,46,127,10,3,25,7,5,15,8,12,23,88,2,8,468
2024-05-07,23,6,40,15,47,129,10,4,24,8,6,14,8,12,24,91,2,8,471
2024-05-06,22,6,38,13,47,130,10,4,24,9,6,15,8,13,25,91,2,8,471
2024-05-05,21,7,35,12,46,133,11,5,24,9,6,12,10,11,18,91,2,8,461
2024-05-04,20,7,35,12,45,134,11,5,24,9,5,11,10,10,19,87,2,8,454
2024-05-03,17,7,34,9,45,133,12,5,22,9,4,12,11,11,19,86,2,8,446
2024-05-02,16,8,34,8,46,136,12,5,23,9,4,11,11,12,19,84,2,8,448
2024-05-01,17,8,36,8,47,134,12,5,24,9,6,11,10,12,21,81,2,8,451
2024-04-30,16,7,35,8,46,137,12,5,24,8,6,10,9,12,19,82,2,8,446
2024-04-29,18,7,35,8,48,134,12,4,24,8,4,9,9,13,17,81,2,8,441
2024-04-28,18,10,30,9,47,131,12,4,23,8,5,9,10,12,18,82,2,8,438
2024-04-27,17,11,30,8,47,126,13,4,23,8,5,8,11,11,18,79,2,8,429
2024-04-26,13,12,30,8,47,127,12,4,22,8,4,7,11,12,18,82,2,8,427
2024-04-25,14,12,34,9,47,130,12,4,23,7,4,7,10,12,19,80,2,8,434
2024-04-24,15,13,34,10,47,133,12,4,23,7,6,8,8,12,19,70,2,8,431
2024-04-23,15,13,36,11,37,132,12,4,23,6,6,11,8,13,21,72,2,8,430
2024-04-22,16,15,36,11,35,133,12,4,23,6,6,8,8,13,22,71,2,8,429
2024-04-21,18,15,31,10,31,135,13,4,25,6,6,8,9,13,21,70,2,8,425
2024-04-20,18,15,29,10,29,128,13,4,25,6,6,8,10,13,21,72,2,8,417
2024-04-19,17,14,32,11,29,122,13,4,25,7,6,8,10,13,23,77,2,8,421
2024-04-18,17,15,34,10,29,126,12,4,25,7,6,7,10,15,23,80,2,8,430
2024-04-17,18,17,32,11,31,128,14,4,24,6,7,7,10,17,27,83,2,8,446
2024-04-16,17,17,30,12,32,129,14,4,22,6,10,8,10,21,27,87,3,8,457
2024-04-15,15,20,31,12,34,132,16,5,22,6,11,10,11,20,26,87,3,8,469
2024-04-14,14,20,29,13,34,134,16,5,24,7,11,12,12,21,25,87,3,8,475
2024-04-13,15,20,30,13,34,132,16,5,24,7,10,12,12,22,25,85,2,8,472
2024-04-12,15,21,27,13,34,137,16,5,24,8,10,11,13,22,26,86,2,8,478
2024-04-11,13,21,28,15,37,143,15,5,23,8,9,11,13,20,27,88,2,8,486
2024-04-10,13,21,29,16,37,143,16,4,24,8,8,11,13,21,28,89,2,8,491
2024-04-09,14,23,29,16,36,141,16,5,24,8,9,12,13,20,30,90,2,8,496
2024-04-08,16,22,31,15,37,141,17,6,24,8,9,11,14,20,30,91,2,8,502
2024-04-07,17,23,32,17,37,147,15,6,24,7,9,11,14,20,30,92,2,8,511
2024-04-06,17,23,28,15,36,147,15,5,24,8,9,12,14,21,30,94,2,8,508
2024-04-05,17,24,30,15,36,149,16,5,24,8,9,12,14,21,29,96,2,8,515
2024-04-04,19,26,30,19,36,151,16,5,24,8,5,10,13,22,29,98,2,8,521
2024-04-03,16,26,32,20,36,158,18,5,24,8,4,10,15,20,30,99,2,8,531
2024-04-02,18,25,36,19,36,158,18,5,24,8,4,8,14,20,33,100,2,8,536
2024-04-01,19,24,37,19,36,162,19,5,24,8,5,9,15,22,36,100,2,8,550
2024-03-31,18,26,37,20,36,159,18,5,25,8,5,11,15,23,37,98,2,8,551
2024-03-30,19,25,35,17,36,156,18,5,25,8,4,12,15,23,36,98,2,8,542
2024-03-29,19,21,33,17,37,155,16,5,25,8,4,12,15,22,35,97,2,8,531
2024-03-28,20,23,33,16,38,159,16,5,25,9,6,12,16,20,37,102,3,8,548
2024-03-27,22,20,35,16,41,165,17,5,26,9,5,14,17,21,35,108,3,8,567
2024-03-26,24,20,33,18,42,168,17,5,27,8,6,17,16,19,37,117,3,8,585
2024-03-25,22,20,32,16,46,173,18,5,30,7,6,19,18,22,37,117,2,8,598
2024-03-24,19,20,31,17,43,171,18,5,30,7,7,18,18,20,40,125,2,8,599
2024-03-23,21,21,31,21,42,166,19,5,29,8,6,20,18,19,38,129,3,8,604
2024-03-22,20,22,35,21,42,171,17,5,29,8,5,18,20,17,37,133,3,8,611
2024-03-21,21,22,38,23,43,173,17,5,29,7,4,17,21,17,34,137,3,8,619
2024-03-20,22,22,36,25,44,175,17,5,29,6,5,19,22,18,34,141,3,8,631
2024-03-19,21,24,36,27,46,189,16,5,30,6,4,21,22,16,36,143,3,8,653
2024-03-18,21,25,36,29,47,192,17,6,30,6,4,22,25,19,39,149,3,8,678
2024-03-17,22,25,39,30,47,196,16,6,31,6,3,19,26,19,40,153,3,8,689
2024-03-16,23,24,39,29,47,191,16,7,30,6,4,19,27,18,43,152,3,8,686
2024-03-15,22,24,40,26,46,198,16,7,30,7,2,19,28,19,43,152,3,8,690
2024-03-14,22,22,40,29,46,212,16,7,30,7,2,19,30,20,43,165,3,8,721
2024-03-13,22,22,42,29,47,220,16,6,31,7,2,21,30,22,41,168,3,8,737
2024-03-12,22,22,45,29,48,220,18,6,31,7,2,21,30,23,42,176,3,8,753
2024-03-11,21,23,48,27,48,222,19,7,31,6,3,22,30,20,44,185,3,8,767
2024-03-10,19,24,49,28,48,221,20,7,31,7,3,26,30,21,42,191,4,8,779
2024-03-09,18,23,47,30,46,220,21,7,31,7,4,26,30,21,43,188,4,8,774
2024-03-08,19,22,49,30,46,220,23,7,32,7,4,27,28,22,46,191,4,8,785
2024-03-07,19,25,52,28,49,230,25,7,32,7,5,24,28,20,48,190,4,8,801
2024-03-06,22,27,55,28,53,233,25,7,33,7,5,26,29,20,47,194,4,8,823
2024-03-05,24,27,58,35,56,235,24,8,33,6,5,30,28,19,51,197,4,8,848
2024-03-04,21,24,60,37,58,239,24,10,33,6,5,35,27,20,52,200,4,8,863
2024-03-03,24,28,62,40,60,240,22,10,33,6,4,32,26,21,52,202,4,8,874
2024-03-02,22,29,62,38,61,243,21,11,34,6,3,30,25,21,53,202,4,8,873
2024-03-01,22,31,60,41,61,241,20,11,33,5,3,30,26,22,52,202,4,8,872
2024-02-29,22,31,60,40,63,249,21,12,33,5,4,30,28,25,52,206,4,8,893
2024-02-28,21,31,58,44,65,252,22,12,35,5,5,30,31,25,50,214,4,8,912
2024-02-27,21,31,61,44,65,255,23,10,35,5,4,30,29,25,50,222,4,8,922
2024-02-26,20,33,65,49,64,268,25,8,37,5,5,31,31,28,52,224,4,8,957
2024-02-25,21,31,60,49,62,276,24,9,38,5,4,34,32,28,51,221,4,8,957
2024-02-24,22,29,60,43,62,274,24,10,37,5,5,34,31,28,52,224,4,8,952
2024-02-23,21,29,61,44,63,274,27,9,36,5,5,33,33,23,52,225,4,8,952
2024-02-22,23,30,66,47,64,286,29,9,36,5,5,33,37,27,52,226,4,8,987
2024-02-21,26,32,73,49,64,299,31,10,36,5,7,35,35,27,54,234,4,8,1029
2024-02-20,26,33,81,52,66,303,32,11,36,5,8,34,37,30,55,233,4,8,1054
2024-02-19,28,33,83,57,68,316,36,11,39,5,7,35,39,30,56,247,4,8,1102
2024-02-18,30,36,83,61,73,325,36,12,40,5,10,41,41,30,58,240,4,8,1133
2024-02-17,31,38,85,62,73,320,35,12,40,5,10,39,39,29,60,242,4,8,1132
2024-02-16,29,35,88,62,70,321,36,11,40,5,10,39,42,29,62,259,4,8,1150
2024-02-15,31,38,87,61,70,326,38,12,40,6,9,41,41,33,64,267,3,8,1175
2024-02-14,28,42,86,65,71,332,37,12,41,6,9,45,42,34,64,272,3,8,1197
2024-02-13,30,41,86,65,76,346,38,11,41,6,8,43,41,34,65,268,3,8,1210
2024-02-12,34,45,87,64,75,355,38,11,41,6,10,41,45,36,64,265,3,8,1228
2024-02-11,37,45,91,66,77,366,39,12,40,6,9,42,46,35,63,267,3,8,1252
2024-02-10,35,46,86,63,77,369,38,12,39,6,9,45,46,38,66,264,3,8,1250
2024-02-09,37,48,85,60,79,374,40,12,39,6,9,43,42,42,63,265,3,8,1255
2024-02-08,40,48,88,60,79,393,39,13,39,6,11,42,43,42,68,277,3,8,1299
2024-02-07,40,44,88,64,81,397,42,13,41,6,14,41,43,39,72,289,3,8,1325
2024-02-06,40,43,96,65,77,421,43,13,41,7,16,40,44,39,68,291,2,8,1354
2024-02-05,42,42,97,67,79,422,42,17,46,7,16,41,46,37,71,297,2,8,1379
2024-02-04,41,38,91,66,84,429,44,17,46,7,18,41,48,34,70,300,2,8,1384
2024-02-03,41,35,92,65,85,429,43,17,47,6,18,44,50,34,72,300,2,8,1388
2024-02-02,41,30,97,65,85,439,45,16,45,6,20,44,47,35,72,299,2,8,1396
2024-02-01,44,28,104,70,95,450,43,18,46,7,21,48,52,37,73,314,3,8,1461
2024-01-31,48,27,106,74,95,467,44,16,45,7,20,47,55,36,73,318,3,8,1489
2024-01-30,52,31,109,74,97,483,44,19,44,6,20,54,58,43,76,319,3,9,1541
2024-01-29,55,33,114,72,98,504,46,17,44,6,20,55,63,43,80,324,3,9,1586
2024-01-28,56,35,128,74,96,521,51,17,45,6,20,55,70,42,80,324,3,9,1632
2024-01-27,54,35,127,75,92,517,51,17,45,6,21,55,69,41,82,322,3,9,1621
2024-01-26,53,35,120,79,94,518,51,16,45,7,21,55,70,40,83,322,3,9,1621
2024-01-25,54,37,135,86,100,528,52,16,46,7,22,52,72,44,85,343,3,9,1691
2024-01-24,54,40,149,95,103,551,55,18,50,7,21,54,75,46,83,353,3,9,1766
2024-01-23,56,37,149,101,110,572,53,19,52,6,21,57,81,47,88,356,3,9,1817
2024-01-22,60,39,155,107,111,593,52,17,53,7,20,57,79,49,89,366,3,9,1866
2024-01-21,61,45,153,115,111,597,52,17,56,8,19,58,82,49,91,370,3,9,1896
2024-01-20,63,42,150,111,111,593,50,15,57,8,19,56,83,50,95,364,4,9,1880
2024-01-19,64,41,154,110,110,600,51,16,55,8,19,57,84,50,103,359,4,9,1894
2024-01-18,65,41,164,117,117,634,53,18,54,7,21,59,86,54,106,367,3,9,1975
2024-01-17,62,41,162,120,125,653,54,19,58,7,19,59,86,54,121,375,3,9,2027
2024-01-16,61,42,173,121,128,680,55,20,58,7,20,57,89,59,123,382,3,9,2087
2024-01-15,60,42,167,125,135,700,55,19,59,6,24,62,92,62,120,375,3,9,2115
2024-01-14,64,49,173,122,138,705,60,20,59,6,24,63,98,58,127,378,3,9,2156
2024-01-13,64,51,171,119,134,713,59,21,59,6,26,63,99,59,127,377,3,9,2160
2024-01-12,66,51,169,115,140,716,60,20,58,6,23,64,102,56,128,380,3,9,2166
2024-01-11,67,56,175,129,140,729,65,23,55,6,22,68,105,51,133,395,3,9,2231
2024-01-10,65,54,186,127,139,739,66,22,56,6,20,74,104,55,130,396,3,9,2251
2024-01-09,65,59,191,128,136,758,65,22,56,6,19,76,106,61,139,407,3,9,2306
2024-01-08,69,57,204,138,148,773,66,21,55,6,20,79,108,60,145,414,4,9,2376
2024-01-07,72,59,202,141,144,780,71,19,55,6,21,85,105,60,146,413,4,9,2392
2024-01-06,71,60,197,147,142,762,71,20,54,6,22,84,104,60,144,418,4,9,2375
2024-01-05,76,62,198,152,142,757,74,19,55,6,23,79,104,60,143,424,3,9,2386
2024-01-04,86,63,205,164,140,787,74,26,60,6,22,82,105,65,157,426,2,9,2479
2024-01-03,83,64,208,167,143,817,73,25,56,6,21,86,103,73,158,429,2,9,2523
2024-01-02,87,67,207,164,152,815,74,22,57,6,22,86,95,78,161,418,1,9,2521
2024-01-01,83,58,200,158,151,809,72,21,60,6,20,84,92,72,164,419,2,9,2480
2023-12-31,76,53,204,158,151,802,73,22,59,6,17,78,89,75,162,410,1,9,2445
2023-12-30,70,54,193,159,155,783,71,22,56,6,18,74,88,76,166,424,1,9,2425
2023-12-29,72,57,186,158,152,787,69,24,53,7,19,74,83,72,163,425,1,9,2411
2023-12-28,72,51,182,168,157,801,71,26,46,7,21,72,89,74,162,429,1,9,2438
2023-12-27,72,51,180,165,159,805,76,23,44,7,20,76,91,72,166,426,1,10,2444
2023-12-26,72,50,183,154,158,787,79,25,44,7,18,70,88,76,163,423,1,11,2409
2023-12-25,67,50,181,146,153,779,78,24,44,8,16,70,87,74,154,409,1,11,2352
2023-12-24,62,52,177,129,153,775,73,24,44,9,15,67,89,71,149,399,1,10,2299
2023-12-23,64,51,182,132,157,766,72,22,42,7,15,72,90,74,149,401,1,9,2306
2023-12-22,62,48,181,130,146,771,73,23,39,8,15,71,88,70,150,414,1,9,2299
2023-12-21,62,51,186,127,150,793,78,26,39,8,19,78,78,74,149,407,1,9,2335
2023-12-20,63,51,206,130,155,792,88,26,44,8,21,87,82,72,150,420,1,9,2405
2023-12-19,73,48,212,129,156,790,86,26,44,8,21,97,83,73,154,431,1,9,2441
2023-12-18,71,47,216,121,156,797,84,27,45,8,20,99,80,75,152,438,1,9,2446
2023-12-17,73,48,220,122,153,809,89,27,47,9,20,99,82,70,147,436,1,9,2461
2023-12-16,69,45,216,118,146,788,87,25,45,9,18,97,86,67,144,438,1,10,2409
2023-12-15,67,43,210,118,139,785,87,22,45,8,17,97,81,64,142,432,1,9,2367
2023-12-14,68,41,214,113,145,794,83,23,46,9,14,104,76,70,150,425,1,9,2385
2023-12-13,71,40,216,108,153,809,84,24,43,11,14,109,72,63,147,437,1,9,2411
2023-12-12,75,42,224,117,150,807,84,26,44,9,14,105,77,61,151,456,1,9,2452
2023-12-11,72,46,224,120,149,784,85,24,47,11,12,104,81,57,150,454,1,9,2430
2023-12-10,71,48,220,115,150,760,81,20,51,11,14,103,84,57,142,434,1,9,2371
2023-12-09,65,49,216,114,141,748,78,18,50,10,14,102,80,59,140,428,1,9,2322
2023-12-08,69,45,212,113,137,742,78,18,50,10,12,96,81,52,135,425,1,9,2285
2023-12-07,69,52,228,126,145,752,79,17,51,8,11,102,85,50,130,450,1,9,2365
2023-12-06,73,50,234,126,145,744,78,17,56,8,11,98,84,48,134,456,2,9,2373
2023-12-05,75,51,244,133,145,731,77,20,58,8,13,107,81,51,137,459,2,9,2401
2023-12-04,74,54,244,131,141,725,79,23,55,8,13,110,76,50,132,465,1,9,2390
2023-12-03,70,57,244,129,140,714,73,24,56,7,13,99,78,49,131,464,1,10,2359
2023-12-02,71,55,245,122,136,686,76,24,55,9,12,96,79,49,128,454,1,10,2308
2023-12-01,72,55,240,129,131,665,77,26,52,10,15,95,76,50,125,453,1,10,2282
2023-11-30,70,57,253,149,123,656,79,24,53,9,13,94,77,54,134,447,1,10,2303
2023-11-29,74,54,253,142,123,651,81,24,52,10,12,92,80,49,142,452,2,10,2303
2023-11-28,74,56,244,140,127,642,81,25,51,10,16,101,88,50,142,439,1,11,2298
2023-11-27,71,57,237,139,126,632,83,25,51,9,18,99,90,47,141,440,1,11,2277
2023-11-26,67,57,237,140,118,614,86,23,52,9,19,95,89,43,142,441,1,10,2243
2023-11-25,64,55,227,142,117,599,83,22,50,9,17,89,86,46,143,435,1,9,2194
2023-11-24,62,55,219,143,113,582,81,24,51,9,16,90,81,43,146,413,1,10,2139
2023-11-23,63,61,224,146,119,595,86,25,49,8,17,95,81,45,152,413,2,10,2191
2023-11-22,67,61,214,153,116,576,83,30,53,8,17,99,81,42,149,412,3,9,2173
2023-11-21,65,62,223,154,118,571,85,30,56,6,20,99,82,47,144,417,2,11,2192
2023-11-20,67,64,231,157,119,564,83,33,56,5,21,99,86,51,143,416,3,11,2209
2023-11-19,67,69,223,163,120,558,85,37,56,4,23,99,83,46,143,404,2,11,2193
2023-11-18,72,65,214,156,120,544,86,36,50,3,24,94,81,43,142,397,3,11,2141
2023-11-17,68,67,206,152,113,538,86,35,46,3,25,89,82,42,140,400,3,11,2106
2023-11-16,71,70,211,151,111,532,89,35,44,3,24,95,82,42,143,391,3,10,2107
2023-11-15,68,74,223,155,110,537,88,32,47,3,27,99,86,38,146,406,2,10,2151
2023-11-14,68,77,225,162,109,534,86,29,47,5,29,97,87,42,153,403,2,10,2165
2023-11-13,76,75,212,154,108,518,90,32,46,4,29,100,87,38,153,413,2,9,2146
2023-11-12,76,78,211,152,100,515,89,33,45,4,28,94,85,43,152,403,2,10,2120
2023-11-11,67,77,190,155,101,505,88,30,41,2,30,93,86,43,146,396,2,10,2062
2023-11-10,69,78,184,153,97,512,86,28,39,2,30,87,86,44,136,388,3,10,2032
2023-11-09,69,81,181,141,101,523,86,29,37,1,27,84,84,49,138,386,3,11,2031
2023-11-08,73,78,185,138,104,514,92,29,36,1,25,77,92,50,139,395,3,11,2042
2023-11-07,73,78,195,146,104,511,92,32,36,1,24,78,94,55,133,399,2,11,2064
2023-11-06,76,71,202,155,101,511,87,30,38,1,25,78,94,56,134,414,2,12,2087
2023-11-05,72,69,193,154,105,519,84,30,40,1,26,77,92,54,132,412,1,13,2074
2023-11-04,74,73,182,154,107,500,83,28,37,2,26,75,88,54,129,400,1,13,2026
2023-11-03,72,65,172,152,106,503,82,29,34,2,23,75,81,53,123,396,1,12,1981
2023-11-02,77,68,185,153,103,511,82,28,31,2,23,78,88,49,129,403,1,11,2022
2023-11-01,78,59,188,148,101,521,77,33,33,2,26,80,83,51,135,409,1,10,2035
