FOURNISSEUR,RÉPARTITION,SERVICE,DIRECTION,NO DE DOSSIER,OBJET,NO DÉCISION,DATE SIGNATURE,MONTANT
BLACK THEATER WORKSHOP,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1125373001,"APPROUVER LE PROJET DE RENOUVELLEMENT DU BAIL PAR LEQUEL LA VILLE LOUE À L’ORGANISME BLACK THEATER WORKSHOP, POUR UNE DURÉE DE 5 ANS , À COMPTER DU 1ER DÉCEMBRE 2012, DES LOCAUX AU 3680, RUE JEANNE-MANCE, À DES FINS ADMINISTRATIVES, MOYENNANT UN LOYER TOTAL DE 63 888,80 $",CM12 0928,2012-10-25,63889
"FIRMES D'ARCHITECTES MARTIN, MARCOTTE-BEINAKER, S.E.N.C, DUPRAS LEDOUX INC., DDAI, NCK",100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1120738006,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS AUX FIRMES LES ARCHITECTES MARTIN, MARCOTTE-BEINAKER ARCHITECTES, S.E.N.C., DUPRAS LEDOUX INC., DELISLE DESPAUX & ASSOCIÉS INC., NICOLET, CHARTRAND, KNOLL LIMITÉE, POUR LA MISE AUX NORMES DE L'ARÉNA RODRIGUE-GILBERT (0763) DE L'ARRONDISSEMENT DE RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES POUR UNE SOMME MAXIMALE DE 1 478 155,44 $ TAXES INCLUSES - APPEL D'OFFRES PUBLIC 12-12018 - (10 SOUM.) / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CM12 0930,2012-11-09,1478155
UNIVERSITÉ MC GILL,100% VILLE,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES TRANSPORTS,1120779003,"APPROUVER UNE CONVENTION DE SERVICES PROFESSIONNELS ENTRE LA VILLE DE MONTRÉAL ET L'INSTITUTION ROYALE POUR L'AVANCEMENT DES SCIENCES / UNIVERSITÉ MC GILL POUR FINANCER UN PROGRAMME DE RECHERCHE SUR UN PROJET EXPÉRIMENTAL D'OPTIMISATION DES FOSSES DE PLANTATION POUR LA GESTION DES EAUX DE SURFACE ET L'IRRIGATION DES ARBRES URBAINS DANS LE QUARTIER VERT D'HOCHELAGA MAISONNEUVE, POUR UNE SOMME MAXIMALE DE 170 000$ TAXES INCLUSES.",CM12 0931,2012-10-25,170000
CTI CONSTRUCTION INC.,100% VILLE,ARRONDISSEMENT DE MONTRÉAL-NORD,DIRECTION DES TRAVAUX PUBLICS,1124383010,"ACCORDER UN CONTRAT À CTI CONSTRUCTION INC. POUR LA RECONSTRUCTION DE CONDUITES D'ÉGOUT UNITAIRES ET DE CONDUITES D'EAU SECONDAIRES SUR LE BOULEVARD INDUSTRIEL, DE L'AVENUE DES RÉCOLLETS AU BOULEVARD PIE-IX, ET SUR L'AVENUE AUDOIN, DE LA RUE PRIEUR À LA RUE MONSELET, À L'ARRONDISSEMENT DE MONTRÉAL-NORD. DÉPENSE TOTALE DE 1 274 240,91 $, TAXES INCLUSES (CONTRAT : 1 222 502,16 $ + INCIDENCES : 51 738,75 $) - APPEL D'OFFRES PUBLIC 881 - 7 SOUMISSIONNAIRES.",CM12 0933,2012-10-25,1222503
INNOVATIVE INTERFACES CANADA INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1121608002,"APPROUVER LE PROJET D'AVENANT NO 2 POUR AMENDER LA CONVENTION INITIALE AFIN DE PERMETTRE À LA VILLE DE MONTRÉAL D'ACQUÉRIR AUPRÈS DE LA FIRME INNOVATIVE INTERFACES CANADA INC. L'ABONNEMENT DU PRODUIT ENCORE DISCOVERY, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 857 999,33 $ À 1 942 723,26 $. AUGMENTER LE BUDGET D'HONORAIRES PRÉVU À L'ANNEXE D DE LA CONVENTION INITIALE D'UNE SOMME DE 84 723,93 $ (TAXES INCLUSES).",CM12 1001,2012-11-20,84724
LA CIE DE CONSTRUCTION RELÈVE INC.,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1120652005,"ACCORDER UN CONTRAT À LA CIE DE CONSTRUCTION RELÈVE INC. POUR L'EXÉCUTION DE TRAVAUX D'ACCESSIBILITÉ UNIVERSELLE À LA PISCINE INTÉRIEURE SOPHIE-BARAT (0864) SITUÉE AU 10 851 AVENUE SAINT-CHARLES DANS L'ARRONDISSEMENT D'AHUNTSIC–CARTIERVILLE - DÉPENSE TOTALE DE 669 157,52 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5606 (4 SOUM.).",CM12 1002,2012-11-20,639157
"FIRMES D'ARCHITECTES FABG ET D'INGÉNIEURS PETROPOULOS, BOMIS ET ASSOC. ET AECOM.",67.12% VILLE & 32.88% ARRONDISSEMENT ANJOU,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1120738007,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS AUX FIRMES «LES ARCHITECTES FABG, PETROPOULOS BOMIS ET ASSOCIÉS INC. ET AECOM CONSULTANTS INC.» POUR LA MISE AUX NORMES DE L'ARÉNA CHAUMONT DE L'ARRONDISSEMENT D'ANJOU POUR UNE SOMME MAXIMALE DE 997 339,37 $ TAXES INCLUSES - APPEL D'OFFRES PUBLIC 12-12018 - (10 SOUM.) / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CM12 1003,2012-11-20,997339
CENTRE DE TRANSITION LE SEXTANT INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,ESPACE POUR LA VIE,1125034002,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ À « CENTRE DE TRANSITION LE SEXTANT INC.» POUR L'ENTRETIEN MÉNAGER DU PLANÉTARIUM POUR UNE PÉRIODE DE VINGT (20) MOIS, AU PRIX TOTAL DE 955 000 $.",CM12 1095,2012-12-20,955000
LÉCUYER & FILS LTÉE,ENTENTES CADRES RÉPARTITION EN FONCTION DE LA CONSOMMATION,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DE L'APPROVISIONNEMENT,1124338001,"AUTORISER LA PROLONGATION POUR UNE PÉRIODE ADDITIONNELLE DE 12 MOIS SE TERMINANT LE 31 DÉCEMBRE 2013, DES ENTENTES-CADRES CONCLUES AVEC LÉCUYER & FILS LTÉE, RÉAL HUOT INC. ET WOLSELEY CANADA INC., POUR LA FOURNITURE SUR DEMANDE DE PIÈCES EN FONTE POUR AQUEDUC ET ÉGOUT, TUBES EN CUIVRE, TUYAUX ET RACCORDS EN PVC POUR ÉGOUT (CM09 0010), SUITE À L'APPEL D'OFFRES PUBLIC # 08-10712.",CM12 1096,2012-12-20,0
RÉAL HUOT INC.,ENTENTES CADRES RÉPARTITION EN FONCTION DE LA CONSOMMATION,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DE L'APPROVISIONNEMENT,1124338001,"AUTORISER LA PROLONGATION POUR UNE PÉRIODE ADDITIONNELLE DE 12 MOIS SE TERMINANT LE 31 DÉCEMBRE 2013, DES ENTENTES-CADRES CONCLUES AVEC LÉCUYER & FILS LTÉE, RÉAL HUOT INC. ET WOLSELEY CANADA INC., POUR LA FOURNITURE SUR DEMANDE DE PIÈCES EN FONTE POUR AQUEDUC ET ÉGOUT, TUBES EN CUIVRE, TUYAUX ET RACCORDS EN PVC POUR ÉGOUT (CM09 0010), SUITE À L'APPEL D'OFFRES PUBLIC # 08-10712.",CM12 1096,2012-12-20,0
WOLSELEY CANADA INC.,ENTENTES CADRES RÉPARTITION EN FONCTION DE LA CONSOMMATION,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DE L'APPROVISIONNEMENT,1124338001,"AUTORISER LA PROLONGATION POUR UNE PÉRIODE ADDITIONNELLE DE 12 MOIS SE TERMINANT LE 31 DÉCEMBRE 2013, DES ENTENTES-CADRES CONCLUES AVEC LÉCUYER & FILS LTÉE, RÉAL HUOT INC. ET WOLSELEY CANADA INC., POUR LA FOURNITURE SUR DEMANDE DE PIÈCES EN FONTE POUR AQUEDUC ET ÉGOUT, TUBES EN CUIVRE, TUYAUX ET RACCORDS EN PVC POUR ÉGOUT (CM09 0010), SUITE À L'APPEL D'OFFRES PUBLIC # 08-10712.",CM12 1096,2012-12-20,0
CÉLEB CONSTRUCTION LTÉE,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1121681001,"ACCORDER UN CONTRAT À CÉLEB CONSTRUCTION LTÉE POUR L'EXÉCUTION DES TRAVAUX D'ENVELOPPE PHASE II ET AUTRES TRAVAUX ÉLECTROMÉCANIQUES DE L'ÉDIFICE DE L'ÉPERON DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE LA POINTE-À-CALLIÈRE (2452) AINSI QU'À L'ÉDIFICE DE L'ANCIENNE DOUANE (0021) - DÉPENSE TOTALE DE 3 392 500 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC NO 5594 - SIX SOUMISSIONNAIRES.",CM12 1098,2012-12-20,3392500
SOCONEX ENTREPRENEUR GÉNÉRAL INC.,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1120660008,"ACCORDER UN CONTRAT À LA FIRME SOCONEX ENTREPRENEUR GÉNÉRAL INC. POUR LA PREMIÈRE PHASE DES TRAVAUX DE RÉFECTION DU BÉTON DES HALLES DU MARCHÉ JEAN-TALON (292) - DÉPENSE TOTALE DE 629 054,43 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5619 - 6 SOUMISSIONNAIRES.",CM12 1110,2012-12-21,573840
SYSTÈMES URBAINS INC.,100% VILLE,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1126013055,"ACCORDER UN CONTRAT À SYSTÈMES URBAINS INC., POUR LES TRAVAUX DE MISE AUX NORMES DES FEUX DE CIRCULATION DE DIVERSES INTERSECTIONS (7 INTERSECTIONS). ARRONDISSEMENT : SAINT-LÉONARD - DÉPENSE TOTALE DE 768 379,62 $ (CONTRAT : 517 379,62 $ + INCIDENCES : 251 000,00 $), TAXES INCLUSES - APPEL D'OFFRES PUBLIC 219501 - 4 SOUMISSIONNAIRES",CM13 0042,2013-01-30,517380
MARIEVILLE CONSTRUCTION INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,ESPACE POUR LA VIE,1125991004,"ACCORDER UN CONTRAT À CONSTRUCTION MARIEVILLE INC., POUR LE RÉAMÉNAGEMENT DU RESTAURANT DU JARDIN BOTANIQUE DE MONTRÉAL - DÉPENSE TOTALE DE 1 030 885,74 $ (CONTRAT : 984 895,74$, INCIDENCES : 45 990,00$), TAXES INCLUSES - APPEL D'OFFRES PUBLIC # 600886 - (10) SOUMISSIONNAIRES, 10 SOUMISSIONNAIRES CONFORMES",CM13 0048,2013-01-31,984895
DÉVELOPPEMENT OLYMBEC INC.,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1124565008,"APPROUVER LA DEUXIÈME CONVENTION DE RENOUVELLEMENT DE BAIL PAR LEQUEL LA VILLE LOUE, DE DÉVELOPPEMENT OLYMBEC INC., UN ESPACE À BUREAUX SITUÉ AU 465, RUE ST-JEAN, POUR L'UNITÉ CENTRE DE LA DIRECTION DE LA GESTION STRATÉGIQUE DES RÉSEAUX D'EAU DU SERVICE DE L'EAU POUR UN TERME DE 5 ANS, SOIT DU 1ER JANVIER 2013 AU 31 DÉCEMBRE 2017. LA DÉPENSE TOTALE POUR LE TERME, INCLUANT LES TAXES, EST DE 890 205,42 $. BÂTIMENT 8146.",CM13 0049,2013-01-31,890205
ONDEL INC.,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1121029011,"ACCORDER UN CONTRAT À ONDEL INC.POUR REMPLACER LES DEUX TRANSFORMATEURS CONTENANT DES BPC ET POUR DES TRAVAUX CONNEXES AU COMPLEXE SPORTIF CLAUDE-ROBILLARD - DÉPENSE TOTALE DE 678 103,29 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5624 - 10 SOUMISSIONNAIRES.",CM13 0118,2013-02-27,648620
INNOVATIVE INTERFACES INC.,100% VILLE,SERVICE DES TECHNOLOGIES DE L’INFORMATION,DIRECTION,1126075003,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À INNOVATIVE INTERFACES CANADA INC., POUR LA FOURNITURE DE LICENCES ET DE COMPOSANTES ET L'ENTRETIEN ANNUEL DE LA SUITE MILLENNIUM, POUR UNE DURÉE DE TROIS (3) ANS D'ENTRETIEN, SOIT POUR UNE SOMME MAXIMALE DE 756 682,24 $, TAXES INCLUSES, DANS LE CADRE DE L'IMPLANTATION DU SYSTÈME DE GESTION DE BIBLIOTHÈQUE MILLENNIUM / APPROUVER UN PROJET DE CONVENTION À CETTE FIN",CM13 0123,2013-02-28,801732
SOCIÉTÉ D'ANIMATION DE LA PROMENADE BELLERIVE,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1123703004,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ À L'ORGANISME, À BUT NON LUCRATIF, SOCIÉTÉ D'ANIMATION DE LA PROMENADE BELLERIVE (SAPB), POUR LES SERVICES D'ACCUEIL AU CHALET D'ACCUEIL SITUÉ DANS LE PARC DE LA PROMENADE-BELLERIVE, POUR UNE PÉRIODE DE DEUX ANS, DU 1ER JANVIER 2013 AU 31 DÉCEMBRE 2014, POUR UNE SOMME DE 153 134 $, TOUTES TAXES INCLUSES. - APPROUVER, À CETTE FIN, UN PROJET DE CONVENTION.",CM13 0124,2013-02-28,153134
GROUPE DE SÉCURITÉ GARDA,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,ESPACE POUR LA VIE,1135034001,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 944 668,08$, TAXES INCLUSES, POUR LA PROLONGATION DU CONTRAT OCTROYÉ À ‘GROUPE DE SÉCURITÉ GARDA INC.’ (CM11 0082), RELATIVEMENT AUX SERVICES DE GARDIENNAGE AU BIODÔME, SOIT DU 6 MARS 2013 AU 5 MARS 2014, ET CE, CONFORMÉMENT À L’ART. 15 DU CAHIER DES CHARGES RÉGISSANT CE CONTRAT (SOUMISSION 10-11391), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 517 046,49 $ À 2 461 714,57 $. APPROUVER LE PROJET D’ADDENDA # 1 AFIN D’INCLURE AUDIT CONTRAT LES INSTALLATIONS DU PLANÉTARIUM RIO TINTO ALCAN. AUTORISER LA CESSION DUDIT CONTRAT DE ""GROUPE DE SÉCURITÉ GARDA INC."" À ""GROUPE DE SÉCURITÉ GARDA SENC."".",CM13 0125,2013-02-28,944668
ACCEO SOLUTIONS INC.,DÉPENSES MIXTES D'ADMINISTRATION GÉNÉRALE. 48% VILLE EN 2012,SERVICE DES TECHNOLOGIES DE L’INFORMATION,DIRECTION,1120998001,"AUTORISER UNE DÉPENSE DE 28 787,46 $, TAXES INCLUSES, POUR L'ENTRETIEN DU PROGICIEL LUDIK À LA SOCIÉTÉ GRICS POUR LA PÉRIODE DU 1ER JANVIER AU 13 FÉVRIER 2012 / APPROUVER UN PROJET DE QUITTANCE À CETTE FIN / APPROUVER UN PROJET DE CONTRAT DE GRÉ À GRÉ ENTRE LA VILLE ET ACCEO SOLUTIONS INC. POUR LE RENOUVELLEMENT DE L'ENTRETIEN DE LA SOLUTION LUDIK POUR UNE SOMME MAXIMALE DE 720 263,20 $, TAXES INCLUSES, POUR LA PÉRIODE DU 14 FÉVRIER 2012 AU 31 DÉCEMBRE 2014",CM13 0129,2013-03-04,720263
NORDIC STRUCTURES BOIS INC.,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1131670001,"ACCORDER UN CONTRAT À LA FIRME NORDIC STRUCTURES BOIS INC. POUR LA CONCEPTION, LA FABRICATION, LA LIVRAISON ET L'INSTALLATION DE LA STRUCTURE DE TOIT DE LONGUE PORTÉE EN BOIS DU CENTRE DE SOCCER INTÉRIEUR AU CESM POUR UNE SOMME MAXIMALE DE 8 332 442,73 $ TAXES INCLUSES - APPEL D'OFFRES 5615 - UNE SOUMISSION. CONTRAT 13728.",CM13 0130,2013-02-28,8332442
