FOURNISSEUR,RÉPARTITION,SERVICE,DIRECTION,NO DE DOSSIER,OBJET,NO DÉCISION,DATE SIGNATURE,MONTANT
AON PARIZEAU,100% AGGLO,SERVICE DE L’EAU,DIRECTION DE L'ÉPURATION DES EAUX USÉES,1123334025,"RETENIR LES SERVICES DE AON PARIZEAU INC., COURTIER D'ASSURANCES, AUX FINS D'OBTENTION DE DEUX CAUTIONNEMENTS D'UNE DURÉE DE TROIS ANS AUPRÈS DE LA COMPAGNIE TRAVELLERS GARANTIE DU CANADA EN GUISE DE GARANTIE POUR LE SITE D'ENFOUISSEMENT DE LA CARRIÈRE DEMIX ET DU SYSTÈME D'INCINÉRATION DE LA STATION D'ÉPURATION DES EAUX USÉES JEAN-R.-MARCOTTE AFIN DE SE CONFORMER AU RÈGLEMENT SUR L’ENFOUISSEMENT ET L’INCINÉRATION DE MATIÈRES RÉSIDUELLES (L.R.Q. C. Q-2, R.6.02, A. 140 ET SS) - MONTANT DE LA DÉPENSE : 22 500,00 $, EXEMPTS DE TAXES.",CG12 0264,2012-08-27,22500
GESTION 500 PLACE D'ARMES INC.,100% AGGLO,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1115840001,"APPROUVER LA CINQUIÈME CONVENTION DE RENOUVELLEMENT DU BAIL PAR LEQUEL LA VILLE LOUE DE GESTION PLACE D'ARMES INC. POUR UNE PÉRIODE DE QUATRE ANS, À COMPTER DU 1ER JANVIER 2012, UN ESPACE SUR LE TOIT D'UN ÉDIFICE POUR LES BESOINS CORPORATIFS DE RADIOCOMMUNICATION DE LA VILLE, MOYENNANT UN LOYER TOTAL DE 110 376 $, TAXES INCLUSES. BÂTIMENT 4107.",CG12 0266,2012-08-27,110376
MARTIN ET LÉVESQUE INC.,100% AGGLO,SERVICE DE POLICE DE MONTRÉAL,DIRECTION DES OPÉRATIONS,1123997004,"CONCLURE AVEC LA FIRME ""MARTIN ET LÉVESQUE INC."", UNE ENTENTE-CADRE D'UNE DURÉE DE 36 MOIS, POUR LA FOURNITURE D'IMPERMÉABLES HAUTE VISIBILITÉ (HV) POUR LES BRIGADIERS SCOLAIRES DU SPVM, SUITE À L'APPEL D'OFFRES PUBLIC #12-12006 POUR UN MONTANT DE 373 760.73$, TAXES INCLUSES - 1 SOUMISSIONNAIRE",CG12 0267,2012-08-27,373760
LINDE CANADA LTÉE.,100% AGGLO,SERVICE DE POLICE DE MONTRÉAL,DIRECTION DES OPÉRATIONS,1123997007,"CONCLURE AVEC LINDE CANADA LTÉE., UNE ENTENTE-CADRE D'UNE DURÉE DE 36 MOIS, POUR LA FOURNITURE DE GANTS DE SIGNALISATION EN CUIR BLANC POUR LE PERSONNEL POLICIER DU SPVM - APPEL D'OFFRES PUBLIC #12-12194 - (1 SOUMISSIONNAIRE - 1 CONFORME) - 423 027,23 $ TAXES INCLUSES.",CG12 0268,2012-08-27,423027
CSPQ,ENTENTE CADRE. RÉPARTITION SELON UTILISATION,SERVICE DES TECHNOLOGIES DE L’INFORMATION,DIRECTION,1123190003,CONCLURE UNE ENTENTE CADRE DE GRÉ À GRÉ AVEC LE CENTRE DE SERVICES PARTAGÉS DU QUÉBEC (CSPQ) POUR LA FOURNITURE DE SERVICES CELLULAIRES (VOIX ET TRANSMISSION DE DONNÉES) POUR LA PÉRIODE DU 1ER SEPTEMBRE 2012 AU 31 AOÛT 2015.,CG12 0269,2012-08-27,7050136
BELL MOBILITÉ RADIO INC.,100% AGGLO,SERVICE DES TECHNOLOGIES DE L’INFORMATION,DIRECTION,1122691001,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 250 344,98 $ TAXES INCLUSES, POUR LA MISE À NIVEAU DE LA PASSERELLE DATARADIO-IP DE L'INFRASTRUCTURE RADIO DU SYSTÈME DE GESTION DES INTERVENTIONS AU SERVICE DE SÉCURITÉ INCENDIE DE MONTRÉAL DANS LE CADRE DU CONTRAT ACCORDÉ À BELL MOBILITÉ RADIO INC. (CG08 0014), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 853 539,58 $ À 2 103 884,56 $, TAXES INCLUSES.",CG12 0270,2012-08-27,250345
TRIMAX SÉCURITÉ INC.,100% AGGLO,SERVICE DE L’EAU,DIRECTION DE L'ÉPURATION DES EAUX USÉES,1123438005,"RÉSILIER LE CONTRAT 040-025-AE DE LA FIRME AGENCE DE SÉCURITÉ SÉCUR-ACTION INC ET ACCORDER UN CONTRAT À LA FIRME TRIMAX SÉCURITÉ INC. POUR LES SERVICES DE GARDIENNAGE À LA STATION D'ÉPURATION DES EAUX USÉES JEAN-R.-MARCOTTE D'UNE DURÉE DE 36 MOIS AU MONTANT DE 1 234 031,40$ TOUTES TAXES INCLUSES - APPEL D'OFFRES PUBLIC 040-026-AE - 4 SOUMISSIONNAIRES.",CG12 0271,2012-08-27,1234031
PIE IX DODGE CHRYSLER 2000 INC.,100% AGGLO,SERVICE DE POLICE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN,1124472010,"OCTROYER À ""PIE IX DODGE CHRYSLER 2000 INC."", PLUS BAS SOUMISSIONNAIRE CONFORME, LE CONTRAT POUR LA FOURNITURE DE CENT QUARANTE-CINQ VÉHICULES DODGE CHARGER 2013 - APPEL D'OFFRES PUBLIC 12-12081 - 8 SOUMISSIONNAIRES - AUTORISER UNE DÉPENSE DE 3 994 294,74 $ - ACHAT DE VÉHICULES IDENTIFIÉS",CG12 0272,2012-08-27,3994295
CONSTRUCTION GARNIER LTÉE,100% AGGLO,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1124002002,"ACCORDER UN CONTRAT À CONSTRUCTION GARNIER LTÉE POUR LA CONSTRUCTION D'UN ÉGOUT SANITAIRE ET RECONSTRUCTION D’UN ÉGOUT UNITAIRE (COMBINÉ), D’UNE CONDUITE D’EAU SECONDAIRE, D’UNE CONDUITE D’EAU DE 1200 MM DE DIAMÈTRE ET DE CHAMBRES DE VANNE DANS LA RUE BRENNAN, DE LA RUE ANN À LA RUE DUKE. LOT 7 - PROJET BONAVENTURE. ─ ARRONDISSEMENTS : VILLE-MARIE ET LE SUD-OUEST. DÉPENSE TOTALE DE 3 100 001,23 $, TAXES INCLUSES ( CONTRAT: 2 892 001,23 $ + INCIDENCES: 208 000,00 $ ) - APPEL D'OFFRES PUBLIC 214702 - 9 SOUMISSIONNAIRES.",CG12 0273,2012-08-27,2892001
LES ENTREPRISES BENTECH (9129-2201 QUÉBEC INC.),100% AGGLO,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1124822004,"ACCORDER UN CONTRAT À LES ENTREPRISES BENTECH (9129-2201 QUÉBEC INC.) POUR LA RECONSTRUCTION D'UN ÉGOUT UNITAIRE ET D'UNE CONDUITE D'EAU SECONDAIRE DANS L'AVENUE COLONIALE, DE LA RUE SHERBROOKE À LA RUE PRINCE-ARTHUR. ARRONDISSEMENT: LE PLATEAU-MONT-ROYAL. DÉPENSE TOTALE DE 1 430 890,30 $ ( CONTRAT: 1 294 890,30 $ + INCIDENCES: 136 000 $ ) - APPEL D'OFFRES PUBLICS 229401 - 7 SOUMISSIONNAIRES.",CG12 0274,2012-08-27,1294890
AGENCE MÉTROPOLITAINE DE TRANSPORT,100% AGGLO,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES TRANSPORTS,1120566001,APPROUVER LE PROJET D'ENTENTE ENTRE LA VILLE DE MONTRÉAL ET L'AGENCE MÉTROPOLITAINE DE TRANSPORT RELATIVE AU PROLONGEMENT DE LA RUE MARC-CANTIN COMME MESURE PRÉFÉRENTIELLE AUX AUTOBUS. ARRONDISSEMENT: LE SUD-OUEST,CG12 0275,2012-08-27,0
LES CONSTRUCTIONS ET PAVAGES JESKAR INC.,100% AGGLO,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1126013028,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 128 772,00 TAXES INCLUSES, POUR LA CONSTRUCTION ET RECONSTRUCTION DE TROTTOIRS, DE BORDURES, DE MAILS CENTRAUX, D’ÎLOTS, DE CHAUSSÉE FLEXIBLE, DE BASES, DE CONDUITS SOUTERRAINS ET INSTALLATION DE FEUX DE CIRCULATION ET D’ÉCLAIRAGE, LÀ OÙ REQUIS, SUR DIFFÉRENTES INTERSECTIONS POUR L'AMÉNAGEMENT D'UNE PISTE CYCLABLE DANS LA 90E AVENUE, LES RUES BÉDARD, HARDY, CORDNER ET SENKUS, DANS LE CADRE DU CONTRAT ACCORDÉ À LES CONSTRUCTIONS ET PAVAGES JESKAR INC. (RÉSOLUTION CG11 0301) MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 840 192,94 $ TAXES INCLUSES À 963 216,19 $ TAXES INCLUSES, INCLUANT 5 748,75 $ TAXES INCLUSES POUR LES FRAIS INCIDENTS.",CG12 0276,2012-08-28,128772
LES EXCAVATIONS SUPER INC.,100% AGGLO,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1121246014,"ACCORDER UN CONTRAT À L'ENTREPRISE LES EXCAVATIONS SUPER INC POUR LE RÉAMÉNAGEMENT DES JARDINS DU CHÂTEAU RAMEZAY, INCLUANT LA MISE EN OEUVRE D'UN NOUVEAU CONCEPT D'ÉCLAIRAGE - DÉPENSE TOTALE DE 708 364,38 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC NO. 6284 - (3 SOUMISSIONNAIRES)",CG12 0277,2012-08-28,708364
TGA MONTRÉAL INC.,100% AGGLO,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1124822007,"ACCORDER UN CONTRAT À TGA MONTRÉAL INC., POUR LA RECONSTRUCTION D'UN ÉGOUT UNITAIRE, D'UNE CONDUITE D'EAU SECONDAIRE ET TRAVAUX CONNEXES DANS LA RUELLE DES FORTIFICATIONS, DE LA CÔTE-PLACE-D'ARMES AU BOULEVARD SAINT-LAURENT. ARRONDISSEMENT VILLE-MARIE. DÉPENSE TOTALE DE 1 885 750,50 $ (CONTRAT: 1 676 750,50 $ + INCIDENCES: 209 000 $) TAXES INCLUSES. APPEL D'OFFRES PUBLIC 1222 - 1 SOUMISSIONNAIRE.",CG12 0278,2012-08-28,1676750
LES PAVAGES DORVAL INC.,"3.46% AGGLO, 96.54% VILLE","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1126013012,"ACCORDER UN CONTRAT À LES PAVAGES DORVAL INC.,POUR LE PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX , LÀ OU REQUIS, SUR DIVERSES RUES DE LA VILLE DE MONTRÉAL.- (P.R.R. 2012 – RÉSEAU ARTÉRIEL ET CENTRE-VILLE). DÉPENSE TOTALE DE 2 191 601,16 $ (CONTRAT: 2 066 101,16$ + INCIDENCES: 125 500 $) TAXES INCLUSES. APPEL D'OFFRES PUBLIC 263001 - 4 SOUMISSIONNAIRES.",CG12 0279,2012-08-28,2066101
LES ENTREPRISES QMD INC.,100% AGGLO,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1121029010,"ACCORDER UN CONTRAT À LES ENTREPRISES QMD INC., POUR EFFECTUER DES TRAVAUX DE RÉFECTION DU TUNNEL PIÉTONNIER CHAMP-DE-MARS (0014) - DÉPENSE TOTALE DE 963 306,54 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5596 - 7 SOUMISSIONNAIRES.",CG12 0280,2012-08-28,883031
BP ASPHALTE INC,"6.23% AGGLO, 93.77% VILLE","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1126013008,"ACCORDER UN CONTRAT À BP ASPHALTE INC. POUR LA RECONSTRUCTION DE TROTTOIRS DANS LE BOUL. ÉDOUARD-MONTPETIT ET L’AVENUE MCEACHRAN, LÀ OÙ REQUIS, DANS LES LIMITES DÉCRITES AUX BORDEREAUX DE SOUMISSION ─ ARRONDISSEMENTS : OUTREMONT ET CÔTE-DES-NEIGES - NOTRE-DAME-DE-GRÂCE (PRR 2012- COLLECTRICES). DÉPENSE TOTALE DE 655 066,09 $ (CONTRAT: 616 566,09 $ + INCIDENCES: 38 500,00 $) TAXES INCLUSES. APPEL D'OFFRES PUBLIC 256301 - 5 SOUMISSIONNAIRES.",CG12 0282,2012-08-28,616566
SOCIÉTÉ DU PARC JEAN-DRAPEAU,100% AGGLO,SOCIÉTÉ DU PARC JEAN-DRAPEAU,DIRECTION,1124711001,"APPROUVER LA MODIFICATION À L'ENTENTE INTERVENUE LE 27 OCTOBRE 2011 (CG11 0354). AUTORISER À LA SOCIÉTÉ DU PARC JEAN-DRAPEAU UNE DÉPENSE N'EXCÉDANT PAS 5 650 000 $ AFIN DE RÉALISER DES TRAVAUX SUR LES INFRASTRUCTURES DU RÉSEAU ROUTIER (2 653 550 $) ET SUR LES INFRASTRUCTURES DES EAUX (2 996 450 $) DE LA VILLE. AUTORISER UN VIREMENT BUDGÉTAIRE TOTALISANT 2 653 550 $ EN PROVENANCE DU SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT À LA SOCIÉTÉ DU PARC JEAN-DRAPEAU RELATIVEMENT À LA RÉALISATION DES TRAVAUX SUR LE RÉSEAU ROUTIER. AUTORISER LE REPORT EN 2013 DE TOUT SOLDE NON UTILISÉ DU BUDGET DE 5 650 000 $.",CG12 0283,2012-08-28,5650000
COMPAGNIE KELENY INC.,100% AGGLO,SERVICE DE POLICE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN,1124837003,"ACCORDER UN CONTRAT À LA FIRME COMPAGNIE KELENY INC POUR LA FOURNITURE DE SERVICES PROFESSIONNELS D’INTERPRÉTARIAT JUDICIAIRE ET DE TRADUCTION LÉGALISÉE, RÉSERVÉS À L’USAGE EXCLUSIF DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL (SPVM) POUR UNE PÉRIODE DE 48 MOIS, SOIT DU 1ER JUILLET 2012 AU 30 JUIN 2016 POUR LA SOMME MAXIMALE DE 258 693.75 $ TAXES INCLUSES – APPEL D’OFFRES PUBLIC NUMÉRO 12-11810 – (1 SOUMISSIONNAIRE).",CG12 0285,2012-08-28,258694
FONDATION HYDRO-QUÉBEC,100% AGGLO,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1120504002,APPROUVER LA CONVENTION DE FINANCEMENT ET L'ENTENTE DE CONSERVATION ENTRE LA FONDATION HYDRO-QUÉBEC POUR L'ENVIRONNEMENT ET LA VILLE DE MONTRÉAL POUR PERMETTRE LA RÉALISATION DES PHASES 4 ET 5 DU «PROJET DE RESTAURATION ET DE VALORISATION DE LA BIODIVERSITÉ EN MILIEU URBAIN» EN 2012 ET 2013 - ACCORDER UN BUDGET ADDITIONNEL DE DÉPENSES ÉQUIVALENT AU REVENU ADDITIONNEL DE 50 000 $ EN 2013.,CG12 0288,2012-08-28,50000
LA VILLE DE LONGUEUI,100% AGGLO,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1125915009,"A) AUTORISER UNE DÉPENSE DE 1 113 516 $ POUR LE FINANCEMENT D’UN CONTRAT D'EXPLOITATION DE DEUX SERVICES DE NAVETTES FLUVIALES POUR LES SAISONS 2011, 2012 ET 2013. B) APPROUVER UNE ENTENTE AVEC LA VILLE DE LONGUEUIL CONCERNANT LE FINANCEMENT DES SERVICES DE NAVETTES ENTRE MONTRÉAL ET LONGUEUIL POUR LES ANNÉES 2011, 2012 ET 2013. C) AJUSTER LA BASE BUDGÉTAIRE DE LA DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT DU SERVICE DE LA CULTURE, DU PATRIMOINE, DES SPORTS ET DE LA VIE COMMUNAUTAIRE ET MANDATER CETTE DERNIÈRE POUR GÉRER CES NAVETTES FLUVIALES.",CG12 0289,2012-08-28,1113516
GÉNIVAR INC.,100% AGGLO,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1121035010,"AUTORISER LA CESSION DES ENTENTES-CADRES POUR LES SERVICES PROFESSIONNELS CONCLUES AVEC LE SYNDIC DE L'ACTIF D’ÉNERGÉNIE INC. EN FAVEUR DE LA FIRME GÉNIVAR INC. POUR LE RESTE DE L’ENTENTE, SELON LES MÊMES CONDITIONS / APPROUVER UN PROJET DE CONVENTION À CET EFFET.",CG12 0290,2012-08-28,3208873
