nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"Anjou; PERRON, Paul-Yvon",Conseiller d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"Côte-des-Neiges–Notre-Dame-de-Grâce; APPLEBAUM, Michael","Conseiller de la ville - CM
Maire d’arrondissement - CA (41 025 $ réduit à 24 402 $4)
Président du CE - CM 
Membre du conseil d'agglomération - CG (10 551 $ réduit à 0 $4)",,"50 728 $
24 402 $
65 385 $
0 $","X


X","X
X
",140 515 $ ,15 310 $ 
"Côte-des-Neiges–Notre-Dame-de-Grâce; CLARKE, Susan","Conseillère de la ville - CM
Présidente CCU - CM (fin 5 déc. 2012, 3 382 $/année)
Membre CSP - CG
Membre CDEEMF - CMM (début 14 juin 2012, max2 7 500 $/année)"," 
 
Max1
Max2","50 728 $
3 142 $
5 275 $
6 373 $","X


","
X
X
X",65 518 $ ,15 310 $
"Côte-des-Neiges–Notre-Dame-de-Grâce; FOTOPULOS, Helen","Conseillère de la ville - CM
Membre du CE - CM
Membre du conseil - CMM
Présidente CACMM - CMM "," 
 
Max2","50 728 $
40 020 $
10 000 $
15 000 $","X

X
","
X

X",115 748 $ ,15 310 $ 
"Côte-des-Neiges–Notre-Dame-de-Grâce; McQUEEN, Peter","Conseiller de la ville - CM
Membre CFA - CM",,"50 728 $
5 636 $","X
",X,56 364 $ ,15 310 $ 
"Côte-des-Neiges–Notre-Dame-de-Grâce; PEREZ, Lionel","Conseiller de la ville - CM
Vice-président CEC - CM 
Membre CTTP - CM
Membre CDEEMF - CMM "," 
 
Max2","50 728 $
11 273 $
5 636 $
7 500 $","X


","
X
X
X",75 137 $ ,15 310 $ 
"Côte-des-Neiges–Notre-Dame-de-Grâce; ROTRAND, Marvin","Conseiller de la ville - CM
Leader de la majorité - CM
Vice-président CPC - CM 
Vice-président CASTM - STM
Vice-président CASTM - STM
Président CSAC - STM
Membre CF, CGE - STM","Max3 
Max3  ","50 728 $
28 182 $
11 273 $
21 779 $
5 445 $
3 000 $
3 500 $","X


X


","
X
X

X
X
X",,15 310 $ 
"Lachine; CLOUTIER, Jean-François",Conseiller d’arrondissement - CA,,36 694 $,X,,36 694 $,15 310 $ 
"Lachine; COWELL-POITRAS, Jane","Conseillère de la ville - CM
Conseillère associée - CM 
Mairesse suppléante - CM (fin 30 sept. 2012, 1 692 $/quadrimestre)",,"50 728 $
16 909 $
3 807 $","X

","X
X",71 444 $ ,15 310 $ 
"Lachine; DAUPHIN, Claude","Conseiller de la ville - CM
Maire d’arrondissement - CM
Membre du conseil d'agglomération - CG ",,"50 728 $
11 273 $
10 551 $","X

X","X
",72 552 $ ,15 310 $ 
"Lachine; POULIN, Lise","Conseillère d'arrondissement - CA
Membre CEC - CM 
Membre CDSDM - CM",,"36 694 $
5 636 $
5 636 $","X

","X
X",47 966 $ ,15 310 $ 
"LaSalle; BARBE, Manon","Conseillère de la ville - CM
Mairesse d'arrondissement - CM
Membre du CE - CM
Membre CCPS - CM (fin 20 fév. 2012, 5 636 $/année) 
Membre CPC - CM (début 21 fév. 2012, 5 636 $/année) 
Membre du conseil d'agglomération - CG
Membre CT - CMM "," 
 
Max2","50 728 $
16 909 $
40 020 $
785 $
4 851 $
10 551 $
7 500 $","X




X
","
X
X
X
X

X",131 344 $ ,15 310 $ 
"LaSalle; BLACKHURST, Ross","Conseiller d’arrondissement - CA
Membre CPC - CM ",,"40 583 $
5 636 $","X
",X,46 219 $ ,15 310 $ 
"LaSalle; CESARI, Vincenzo","Conseiller d’arrondissement - CA
Membre CCPS - CM",,"40 583 $
5 636 $","X
",X,46 219 $ ,15 310 $ 
"LaSalle; DESCHAMPS, Richard","Conseiller de la ville et membre CA Ville-Marie - CM
Vice-président du CE - CM
Membre du conseil d'agglomération - CG",,"67 234 $
56 366 $
10 551 $","X

X","X
",134 151 $,15 310 $ 
"LaSalle; FARINACCI, Alvaro","Conseiller de la ville - CM
Membre CDEUH - CM 
Membre du conseil - CMM
Vice-président CLS - CMM"," 
 
Max2","50 728 $
5 636 $
10 000 $
12 500 $","X

X
","X

X",78 864 $ ,15 310 $ 
"LaSalle; PALESTINI, Laura-Ann","Conseillère d’arrondissement - CA
Présidente CCU - CM",,"40 583 $
3 382 $","X
",X,43 965 $ ,15 310 $ 
"LaSalle; TROILO, Josée","Conseillère d’arrondissement - CA
Membre CCPS - CM",,"40 583 $
5 636 $","X
",X,46 219 $ ,15 310 $ 
"Le Plateau-Mont-Royal; BERGERON, Richard","Conseiller de la ville - CM
Membre CEC - CM (fin 22 janv. 2012, 5 636 $/année) 
Membre CDEUH - CM (début 23 janv. 2012, 5 636 $/année)",,"50 728 $
339 $
5 297 $","X

","X
X",56 364 $ ,15 310 $ 
"Le Plateau-Mont-Royal; BOILEAU, Carl",Conseiller d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"Le Plateau-Mont-Royal; DUPLESSIS, Josée","Conseillère de la ville - CM
Membre CEEDDGP - CM ",,"50 728 $
5 636 $","X
",X,56 364 $,15 310 $ 
"Le Plateau-Mont-Royal; FERRANDEZ, Luc","Conseiller de la ville - CM
Maire d’arrondissement - CM",,"50 728 $
24 801 $","X
",X,75 529 $ ,15 310 $ 
"Le Plateau-Mont-Royal; HUGGINS, Piper",Conseillère d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"Le Plateau-Mont-Royal; NORRIS, Alex","Conseiller de la ville - CM
Membre CTTP - CM ",,"50 728 $
5 636 $","X
",X,56 364 $,15 310 $ 
"Le Plateau-Mont-Royal; RYAN, Richard","Conseiller d’arrondissement - CM
Membre CCPS - CM
Président CCU - CM 
Maire suppl. d'arr. - CA",,"29 309 $
5 636 $
3 382 $
6 193 $","X


","X
X
X",44 520 $ ,15 310 $ 
"Le Sud-Ouest; BÉLANGER, Daniel","Conseiller de la ville - CM
Membre CEC - CM 
Membre CDEUH - CM 
Membre CLS - CMM "," 
 
Max2","50 728 $
5 636 $
5 636 $
7 500 $","X


","X
X
X",69 500 $,15 310 $ 
"Le Sud-Ouest; DORAIS, Benoit","Conseiller de la ville - CM
Maire d'arrondissement - CM
Membre du conseil d'agglomération - CG",,"50 728 $
16 909 $
10 551 $","X

X","X
",78 188 $,15 310 $ 
"Le Sud-Ouest; FOURNIER, Véronique","Conseillère de la ville - CM
Membre CTTP - CM (fin 20 fév. 2012, 5 636 $/année) 
Vice-présidente CFA - CM (début 21 fév. 2012, 11 273 $/année)
Membre CDEUH - CM 
Présidente CCU - CM ",,"50 728 $
785 $
9 702 $
5 636 $
3 382 $","X



","X
X
X
X",70 233 $ ,15 310 $ 
"Le Sud-Ouest; ROY, Huguette","Conseillère d'arrondissement - CM
Membre CDSDM - CM ",,"29 309 $
5 636 $","X
",X,34 945 $,15 310 $ 
"Le Sud-Ouest; THIÉBAUT, Sophie","Conseillère d'arrondissement - CM
Membre CDSDM - CM ",,"29 309 $
5 636 $","X
",X,34 945 $,15 310 $ 
"L'Île-Bizard–Sainte-Geneviève; BÉLANGER, Richard","Conseiller de la ville - CM
Maire d’arrondissement - CM
Conseiller associé - CM 
Président CEEDDGP - CM
Membre du conseil d’agglomération - CG 
Membre du conseil - CMM
Membre CENV - CMM"," 
 
Max2","50 728 $
11 273 $
16 909 $
16 909 $
10 551 $
10 000 $
7 500 $","X



X
X
","X
X
X


X",123 870 $,15 310 $ 
"L'Île-Bizard–Sainte-Geneviève; DUGAS, Éric",Conseiller d’arrondissement - CM ,,29 309 $,X,,29 309 $,14 655 $
"L'Île-Bizard–Sainte-Geneviève; GIBB, Diane",Conseillère d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"L'Île-Bizard–Sainte-Geneviève; LITTLE, Christopher",Conseiller d’arrondissement - CM ,,29 309 $,X,,29 309 $,14 655 $
"L'Île-Bizard–Sainte-Geneviève; ROBERT, François","Conseiller d’arrondissement - CM
Membre CTTP - CM 
Président CCU - CM ",,"29 309 $
5 636 $
3 382 $","X

","X
X",38327,15 310 $ 
"Mercier–Hochelaga-Maisonneuve; BLANCHARD, Laurent","Conseiller de la ville - CM
Président CEC - CM 
Président CCU - CM
Maire suppléant d’arr. - CA (juil. - oct. 2012, 791 $/quadrimestre)",,"50 728 $
16 909 $
3 382 $
791 $","X


","X
X
X",71 810 $,15 310 $ 
"Mercier–Hochelaga-Maisonneuve; HAREL, Louise","Conseillère de la ville - CM
Chef de l'opposition - CM 
Mairesse suppl. d'arr. - CA (mars - juin 2012, 791 $/quadrimestre)",,"50 728 $
40 020 $
791 $","X

","X
X",91 539 $,15 310 $ 
"Mercier–Hochelaga-Maisonneuve; MÉNARD, Réal","Conseiller de la ville - CM
Maire d'arrondissement - CM
Vice-président CSP - CG
Membre suppléant CCU - CA (148 $/présence)"," 

Max1
","50 728 $
24 801 $
10 551 $
0 $","X


","X
X
X",86 080 $,15 310 $ 
"Mercier–Hochelaga-Maisonneuve; PRIMEAU, Gaëtan","Conseiller de la ville - CM
Membre CEC - CM
Membre régulier CCU - CA",,"50 728 $
5 636 $
1 477 $","X

","X
X",57 841 $ ,15 310 $ 
"Mercier–Hochelaga-Maisonneuve; THÉRIAULT, Lyn","Conseillère de la ville - CM
Vice-présidente CDSDM - CM 
Membre CPC - CM (début 21 fév. 2012, 5 636 $/année)
Mairesse suppl. d’arr. - CA (nov. 2011 - fév. 2012, 791 $/quadrimestre)",,"50 728 $
11 273 $
4 851 $
396 $","X


","X
X
X",67 248 $,15 310 $ 
"Montréal-Nord; DEGUIRE, Gilles","Conseiller de la ville - CM
Maire d'arrondissement - CM
Membre du CE - CM 
Membre du conseil d’agglomération - CG",,"50 728 $
16 909 $
40 020 $
10 551 $","X


X","X
X
",118 208 $ ,15 310 $ 
"Montréal-Nord; GIBEAU, Jean-Marc","Conseiller de la ville - CM
Président CCU - CM 
Membre CSP - CG 
Président CCU - CA 
Membre du conseil - CMM "," 

Max1

","50 728 $
3 382 $
5 275 $
2 000 $
10 000 $","X



X","
X
X
X
",71 385 $ ,15 310 $ 
"Montréal-Nord; RICOURT, Monica","Conseillère d’arrondissement - CM
Membre CASTM - STM 
Présidente CAPA, CSAC/SCDES - STM 
Membre CRH, CMAPME - STM","

Max3 
Max3 ","29 309 $
21 779 $
6 000 $
3 500 $","X
X

","

X
X",60 588 $,14 655 $
"Montréal-Nord; ROSSI, Chantal","Conseillère d’arrondissement - CM
Membre CCPS - CM 
Membre CEEDDGP - CM",,"29 309 $
5 636 $
5 636 $","X

","X
X",40 581 $,15 310 $ 
"Montréal-Nord; TETI-TOMASSI, Clementina","Conseillère de la ville - CM
Membre CLS - CMM "," 
Max2","50 728 $
7 500 $","X
",X,58 228 $,15 310 $ 
"Outremont; CINQ-MARS, Marie","Conseillère de la ville - CM
Mairesse d’arrondissement - CM
Conseillère associée - CM 
Membre du conseil d’agglomération - CG",,"50 728 $
11 273 $
16 909 $
10 551 $",,,,15 310 $ 
"Outremont; FORGET, Céline",Conseillère d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"Outremont; MOFFAT, Louis","Conseiller d’arrondissement - CM
Président CCU - CM",,"29 309 $
3 382 $","X
",X,32 691 $,15 310 $ 
"Outremont; NUNES, Ana","Conseillère d’arrondissement - CM
Membre CDSDM - CM",,"29 309 $
5 636 $","X
",X,34 945 $,15 310 $ 
"Outremont; POTVIN, Marie","Conseillère d’arrondissement - CM
Membre CDEUH - CM (fin 20 fév. 2012, 5 636 $/année)
Membre CEC - CM (début 21 fév. 2012, 5 636 $/année)
Membre CFA - CM ",,"29 309 $
785 $
4 851 $
5 636 $","X


","
X
X
X",40 581 $,15 310 $ 
"Pierrefonds-Roxboro; BEIS, Dimitrios (Jim)",Conseiller d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"Pierrefonds-Roxboro; CLÉMENT-TALBOT, Catherine","Conseillère d’arrondissement - CM
Présidente CCU - CM ",,"29 309 $
3 382 $","X
","
X",32 691 $,15 310 $ 
"Pierrefonds-Roxboro; DUBOIS, Christian G.","Conseiller de la ville - CM
Membre CEC - CM 
Membre du conseil - CMM 
Membre CACMM - CMM "," 


Max2","50 728 $
5 636 $
10 000 $
7 500 $","X

X
","
X

X",73 864 $,15 310 $ 
"Pierrefonds-Roxboro; WARD, Bertrand A.","Conseiller de la ville - CM
Membre CEC - CM (fin 20 fév. 2012, 5 636 $/année) 
Membre CDEUH - CM (début 21 fév. 2012, 5 636 $/année)
Membre CTTP - CM 
Membre CFA - CM 
Vice-président CT - CMM"," 



Max2","50 728 $
785 $
4 851 $
5 636 $
5 636 $
12 500 $","X




","
X
X
X
X
X",80 136 $,15 310 $ 
"Pierrefonds-Roxboro; WORTH, Monique","Conseillère de la ville - CM
Maire d’arrondissement - CM
Membre du conseil d’agglomération - CG",,"50 728 $
16 909 $
10 551 $","X

X","
X
",78 188 $,15 310 $ 
"Rivière-des-Prairies–Pointe-aux-Trembles; BLANCHET, Mario","Conseiller d’arrondissement - CM
Président CCU - CM ",,"29 309 $
3 382 $","X
","
X",32 691 $,15 310 $ 
"Rivière-des-Prairies–Pointe-aux-Trembles; BOURGEOIS, Caroline","Conseillère de la ville - CM
Membre CPC - CM (fin 20 fév. 2012, 5 636 $/année)
Membre CTTP - CM (début 21 fév. 2012, 5 636 $/année)",,"50 728 $
785 $
4 851 $","X

","
X
X",56 364 $,15 310 $ 
"Rivière-des-Prairies–Pointe-aux-Trembles; CALDERONE, Maria 
(démission 30 juin 2012)","Conseillère de la ville - CM (fin 30 juin 2012, 50 728 $/année)
Présidente CDSDM - CM (fin 30 juin 2012, 16 909 $/année)
Membre CENV - CMM (fin 10 sept. 2012, max2 7 500 $/année)",,"25 225 $
8 408 $
2 235 $","X

","
X
X",35 868 $,7 613 $
"Rivière-des-Prairies–Pointe-aux-Trembles; DÉCARIE, Suzanne","Conseillère de la ville - CM
Membre CEEDDGP - CM ",,"50 728 $
5 636 $","X
","
X",56 364 $ ,15 310 $ 
"Rivière-des-Prairies–Pointe-aux-Trembles; DÉZIEL, Gilles","Conseiller d’arrondissement - CM
Membre CCPS - CM ",,"29 309 $
5 636 $","X
","
X",34 945 $,15 310 $ 
"Rivière-des-Prairies–Pointe-aux-Trembles; RAPANÀ, Giovanni","Conseiller d'arrondissement - CM
Membre CEEDDGP - CM ",,"29 309 $
5 636 $","X
","
X",34 945 $,15 310 $ 
"Rivière-des-Prairies–Pointe-aux-Trembles; ROULEAU, Chantal","Conseillère de la ville - CM 
Mairesse d'arrondissement - CM
Vice-présidente CEEDDGP - CM ",,"50 728 $
24 801 $
11 273 $","X

","
X
X",86 802 $,15 310 $ 
"Rosemont–La Petite-Patrie; AYOTTE, Élaine","Conseillère de la ville - CM
Vice-présidente CCPS - CM 
Membre du conseil d'agglomération - CG",,"50 728 $
11 273 $
10 551 $","X

X","
X
",72 552 $,15 310 $ 
"Rosemont–La Petite-Patrie; CROTEAU, François William","Conseiller de la ville - CM
Maire d’arrondissement - CM
Président CCU - CM 
Membre du conseil d’agglomération - CG (début 18 juin 2012, 10 551 $/année)",,"50 728 $
24 801 $
3 382 $
5 679 $","X


X","
X
X
",84 590 $,15 310 $ 
"Rosemont–La Petite-Patrie; DUCHESNE, Érika","Conseillère de la ville - CM (début 4 mai 2012, 50 728 $/année)",,33 541 $,X,,33 541 $,10 081 $
"Rosemont–La Petite-Patrie; GADOURY, Marc-André","Conseiller de la ville - CM
Membre CPC - CM (fin 22 janv. 2012, 5 636 $/année)
Membre CEC - CM (début 23 janv. 2012, 5 636 $/année)",,"50 728 $
339 $
5 297 $","X

","
X
X",56 364 $,15 310 $ 
"Rosemont–La Petite-Patrie; LAMPRON, Pierre 
(démission 24 janvier 2012)","Conseiller de la ville - CM (fin 24 janv. 2012, 50 728 $/année)
Vice-président CFA - CM (fin 24 janv. 2012, 11 273 $/année)",,"3 326 $
739 $","X
","
X",4 065 $,1 004 $ 
"Rosemont–La Petite-Patrie; LIMOGES, François","Conseiller de la ville - CM
Membre CDEUH - CM (fin 22 janv. 2012, 5 636 $/année)
Membre CPC - CM (début 23 janv. 2012, 5 636 $/année)",,"50 728 $
339 $
5 297 $","X

","
X
X",56 364 $,15 310 $ 
"Saint-Laurent; BIRON, Michèle D.","Conseillère d’arrondissement - CA
Présidente CCPS - CM 
Présidente CCU - CM ",,"40 583 $
16 909 $
3 382 $","X

","
X
X",60 874 $,15 310 $ 
"Saint-Laurent; COHEN, Maurice","Conseiller d’arrondissement - CA
Membre CTTP - CM 
Membre CDSDM - CM",,"40 583 $
5 636 $
5 636 $","X

","
X
X",51 855 $,15 310 $ 
"Saint-Laurent; DeSOUSA, Alan","Conseiller de la ville - CM
Maire d’arrondissement - CM
Vice-président du CE - CM
Membre du conseil d’agglomération - CG
Membre du conseil - CMM (10 000 $ réduit à 5 961 $4)
Membre du comité exécutif - CMM (25 000 $ réduit à 0 $4)",,"50 728 $
16 909 $
56 366 $
10 551 $
5 961 $
0 $","X


X
X
","
X
X


X",140 515 $,15 310 $ 
"Saint-Laurent; MIELE, Francesco","Conseiller de la ville - CM
Membre CASTM - STM 
Président CGE - STM 
Membre CV, CAPA - STM ","

Max3
Max3","50 728 $
21 779 $
3 000 $
3 500 $","X
X

","

X
X",79 007 $,15 310 $ 
"Saint-Laurent; SALEM, Aref","Conseiller de la ville - CM 
Conseiller associé - CM
Membre CDEUH - CM 
Membre CDSDM - CM 
Membre CT - CMM "," 



Max2","50 728 $
16 909 $
5 636 $
5 636 $
7 500 $","X



","
X
X
X
X",86 409 $,15 310 $ 
"Saint-Léonard; BATTISTA, Mario","Conseiller d’arrondissement - CA
Membre CDSDM - CM 
Président CCU - CM ",,"39 594 $
5 636 $
3 382 $","X

","
X
X",48 612 $,15 310 $ 
"Saint-Léonard; BISSONNET, Michel","Conseiller de la ville - CM 
Maire d’arrondissement - CM 
Membre du CE - CM
Membre du conseil d'agglomération - CG
Membre du conseil - CMM ",,"50 728 $
16 909 $
40 020 $
10 551 $
10 000 $","X


X
X","
X
X

",128 208 $,15 310 $ 
"Saint-Léonard; PERRI, Dominic","Conseiller de la ville - CM
Membre CDEUH - CM 
Membre CEEDDGP - CM 
Membre CT- CMM (max2 7 500 $, réduit4 à max7 5 895 $) 
Membre CASTM - STM
Président Conseil des associés  Transgesco - STM (max3 3 000 $, réduit4 à max7 2 358 $)
Membre CF, CO, CMAPME, CMAPME/SCTI - STM (max3 7 000 $, réduit4 à max7 5 503 $)"," 
 
 
Max7
 
Max7
Max7","50 728 $
5 636 $
5 636 $
5 895 $
21 779 $
2 358 $
5 503 $","X



X

","
X
X
X

X
X",97 535 $,15 310 $ 
"Saint-Léonard; TREMBLAY, Lili-Anne","Conseillère d’arrondissement - CA
Membre CFA - CM ",,"39 594 $
5 636 $","X
","
X",45 230 $,15 310 $ 
"Saint-Léonard; ZAMBITO, Robert L.","Conseiller de la ville - CM
Membre CSP - CG
Membre CACMM - CMM ","
Max1
Max2","50 728 $
5 275 $
7 500 $","X

","
X
X",63 503 $,15 310 $ 
"Verdun; BEAUPRÉ, Paul","Conseiller d’arrondissement - CA
Président CENVI - CA
Maire suppl. d’arr. - CA (mai - août 2012, 137 $/mois)",,"36 294 $
2 110 $
548 $","X

","
X
X",38 952 $,15 310 $ 
"Verdun; CHAMPOUX, Andrée","Conseillère d’arrondissement - CA
Membre CCPS - CM 
Présidente CSLC - CA",,"36 294 $
5 636 $
2 110 $","X

","
X
X",44 040 $,15 310 $ 
"Verdun; GUY, Ann","Conseillère d’arrondissement - CA
Membre CTTP - CM 
Présidente CUHP - CA",,"36 294 $
5 636 $
2 110 $","X

","
X
X",44 040 $,15 310 $ 
"Verdun; MAROTTE, Ginette","Conseillère de la ville - CM
Conseillère associée - CM
Membre CPC - CM (fin 20 fév. 2012, 5 636 $/année)
Membre CCPS - CM (début 21 fév. 2012, 5 636 $/année)
Membre CEC - CM 
Membre CEEDDGP - CM
Présidente CDEL - CA
Mairesse suppl. d’arr. - CA (sept. - déc. 2012, 137 $/mois)
Vice-présidente CENV - CMM"," 






Max2","50 728 $
16 909 $
785 $
4 851 $
5 636 $
5 636 $
2 110 $
548 $
12 500 $","X







","
X
X
X
X
X
X
X
X",99 703 $,15 310 $ 
"Verdun; SAVARD, André","Conseiller d’arrondissement - CA
Membre CFA - CM
Président CTPCSP - CA",,"36 294 $
5 636 $
2 110 $","X

","
X
X",44 040 $,15 310 $ 
"Verdun; TASSÉ, Alain","Conseiller de la ville - CM
Conseiller associé - CM
Président CDC - CA
Maire suppl. d’arr. - CA (janv. - avril 2012, 137 $/mois)
Membre CLS - CMM "," 



Max2","50 728 $
16 909 $
2 110 $
548 $
7 500 $","X



","
X
X
X
X",77 795 $,15 310 $ 
"Verdun; TRUDEL, Claude","Conseiller de la ville - CM
Maire d’arrondissement - CM
Membre du CE - CM
Membre CPC - CM 
Membre du conseil d’agglomération - CG
Président CSP - CG"," 




Max1","50 728 $
16 909 $
40 020 $
5 636 $
10 551 $
15 825 $","X



X
","
X
X
X

X",139 669 $,15 310 $ 
"Ville-Marie; FORCILLO, Sammy","Conseiller de la ville - CM
Président CFA - CM 
Président CCU - CM 
Maire suppl. d'arr. - CA (fin 30 juin 2012, 3 000 $/année) 
Président CCU - CA 
Membre du conseil - CMM
Membre du comité exécutif - CMM",,"50 728 $
16 909 $
3 382 $
1 492 $
2 000 $
10 000 $
25 000 $","X




X
","
X
X
X
X

X",109 511 $,15 310 $ 
"Ville-Marie; MAINVILLE, Pierre","Conseiller de la ville - CM
Membre du conseil d'agglomération - CG (fin 18 juin 2012, 10 551 $/année)",,"50 728 $
4 901 $","X
X",,55 629 $,15 310 $ 
"Ville-Marie; ROBILLARD, François","Conseiller de la ville - CM
Membre CFA - CM
Vice-président CCU - CA ",,"50 728 $
5 636 $
1 000 $","X

","
X
X",57 364 $,15 310 $ 
"Villeray–Saint-Michel–Parc-Extension; BENJAMIN, Frantz","Conseiller de la ville - CM
Conseiller associé - CM
Membre CPC - CM 
Membre CSP - CG"," 


Max1","50 728 $
16 909 $
5 636 $
5 275 $","X


","
X
X
X",78 548 $,15 310 $ 
"Villeray–Saint-Michel–Parc-Extension; DEROS, Mary","Conseillère de la ville - CM
Membre du CE - CM 
Présidente CCU - CM ",,"50 728 $
40 020 $
3 382 $","X

","
X
X",94 130 $,15 310 $ 
"Villeray–Saint-Michel–Parc-Extension; LEFEBVRE, Elsie","Conseillère de la ville - CM
Vice-présidente du conseil - CM
Vice-présidente CTTP - CM ",,"50 728 $
11 273 $
11 273 $","X

","
X
X",73 274 $,15 310 $ 
"Villeray–Saint-Michel–Parc-Extension; SAMSON, Anie","Conseillère de la ville - CM
Maire d’arrondissement - CM
Leader de l'opposition - CM
Vice-présidente CPC - CM",,"50 728 $
24 801 $
16 909 $
11 273 $","X


","
X
X
X",103 711 $ ,15 310 $ 
"Villeray–Saint-Michel–Parc-Extension; VENNERI, Frank","Conseiller de la ville - CM
Membre du conseil - CMM
Membre CENV - CMM "," 

Max2","50 728 $
10 000 $
7 500 $","X
X
","

X",68 228 $ ,15 310 $ 
