nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du conseil d’agglomération - CG,,11 120 $,X,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Président CSADM - CG,Max1,16 680 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du conseil - CMM,,10 000 $,X,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CENV - CMM ,Max2,12 500 $,,X,,
"POPEANU, Magda",Conseillère de la ville - CM,,53 469 $,X,,56 781 $,16 216 $
Côte-des-Neiges–Notre-Dame-de-Grâce,"Présidente CCU - CM (fin 5 déc. 2016, 3 565 $/année)",,3 312 $,,X,,
"ROTRAND, Marvin",Conseiller de la ville - CM,,53 469 $,X,,85 851$,16 216 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CASTM - STM ,,22 106 $,X,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CASTM - STM,,5 526 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Président CSA - STM,Max3,3 000 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre CF - STM,Max3,1 750 $,,X,,
"SEARLE, Jeremy",Conseiller de la ville - CM,,53 469 $,X,,53 469 $,16 216 $
Côte-des-Neiges–Notre-Dame-de-Grâce,,,,,,,
"CLOUTIER, Jean-François",Conseiller de la ville - CM,,53 469 $,X,,57 034 $,16 216 $
Lachine,Président CCU - CM ,,3 565 $,,X,,
"DAUPHIN, Claude",Conseiller de la ville - CM,,53 469 $,X,,117 031 $,16 216 $
Lachine,Maire d’arrondissement - CM,,11 882 $,,X,,
Lachine,Membre du conseil d'agglomération - CG ,,11 120 $,X,,,
Lachine,Membre CSADM - CG,Max1,5 560 $,,X,,
Lachine,Membre du conseil - CMM,,10 000 $,X,,,
Lachine,Membre du comité exécutif - CMM,,25 000 $,,X,,
Lachine,Membre CDEEMF - CMM (max2 7 500 $ réduit à 0 $5),,0 $,,X,,
"RACICOT, Daniel",Conseiller d’arrondissement - CA,,38 676 $,X,,38 676 $,16 216 $
Lachine,,,,,,,
"SYMONYIK, Kimberley",Conseillère d’arrondissement - CA,,38 676 $,X,,38 676 $,16 216 $
Lachine,,,,,,,
"VODANOVIC, Maja",Conseillère d’arrondissement - CA,,38 676 $,X,,44 616 $,16 216 $
Lachine,Membre CEEDDGP - CM,,5 940 $,,X,,
"BARBE, Manon",Conseillère de la ville - CM,,53 469 $,X,,93 911 $,16 216 $
LaSalle,Mairesse d'arrondissement - CM,,17 822 $,,X,,
LaSalle,Membre CIG - CM,,5 940 $,,X,,
LaSalle,Membre du conseil d'agglomération - CG,,11 120 $,X,,,
LaSalle,Membre CSADM - CG,Max1,5 560 $,,X,,
"BLANCHET, Nancy",Conseillère d’arrondissement - CA,,42 775 $,X,,46 340 $,16 216 $
LaSalle,Présidente CCU - CM,,3 565 $,,X,,
"DECLOS, Serge",Conseiller d’arrondissement - CA,,42 775 $,X,,42 775 $,16 216 $
LaSalle,,,,,,,
"DESCHAMPS, Richard",Conseiller de la ville - CM,,53 469 $,X,,71 291 $,16 216 $
LaSalle,Président CDEUH - CM (17 822 $ réduit à 11 882 $6),,11 882 $,,X,,
LaSalle,Membre CEC - CM,,5 940 $,,X,,
"PALESTINI, Laura-Ann",Conseillère d’arrondissement - CA,,42 775 $,X,,48 715 $ ,16 216 $
LaSalle,Membre CFA - CM,,5 940 $,,X,,
"TROILO, Josée",Conseillère d’arrondissement - CA,,42 775 $,X,,42 775 $,16 216 $
LaSalle,,,,,,,
"VALLÉE, Monique",Conseillère de la ville - CM,,53 469 $,X,,114 270 $,16 216 $
LaSalle,Membre du CE - CM ,,42 181 $,,X,,
LaSalle,Membre du conseil d'agglomération - CG,,11 120 $,X,,,
LaSalle,Membre CLS - CMM,Max2,7 500 $,,X,,
"FERRANDEZ, Luc",Conseiller de la ville - CM,,53 469 $,X,,103 310 $,16 216 $
Le Plateau-Mont-Royal,Maire d’arrondissement - CM,,26 139 $,,X,,
Le Plateau-Mont-Royal,Chef de l’opposition - CM (42 181 $ réduit à 23 702 $4),,23 702 $,,X,,
"GIGUÈRE, Marianne",Conseillère d’arrondissement - CM,,30 892 $,X,,42 774 $,16 216 $
Le Plateau-Mont-Royal,Vice-présidente CTTP - CM,,11 882 $,,X,,
"GOSSELIN, Christine",Conseillère d’arrondissement - CM ,,30 892 $,X,,49 301 $,16 216 $
Le Plateau-Mont-Royal,Vice-présidente CCPS - CM ,,11 882 $,,X,,
Le Plateau-Mont-Royal,Mairesse suppl. d'arr. - CA ,,6 527 $,,X,,
"MAINVILLE, Louise",Conseillère de la ville - CM,,53 469 $,X,,59 409 $,16 216 $
Le Plateau-Mont-Royal,Membre CEC - CM ,,5 940 $,,X,,
"NORRIS, Alex",Conseiller de la ville - CM,,53 469 $,X,,64 589 $,16 216 $
Le Plateau-Mont-Royal,Vice-président CSP - CG ,Max1,11 120 $,,X,,
"PLOURDE, Marie",Conseillère d’arrondissement - CM,,30 892 $,X,,60 063 $,16 216 $
Le Plateau-Mont-Royal,Présidente CCU - CM ,,3 565 $,,X,,
Le Plateau-Mont-Royal,Membre CASTM - STM,,22 106 $,X,,,
Le Plateau-Mont-Royal,Membre CGEDD - STM,Max3,1 750 $,,X,,
Le Plateau-Mont-Royal,Membre CSAC/SCAU - STM,Max3,1 750 $,,X,,
"RYAN, Richard",Conseiller de la ville - CM,,53 469 $,X,,64 589 $,16 216 $
Le Plateau-Mont-Royal,Membre du conseil d'agglomération - CG ,,11 120 $,X,,,
"DORAIS, Benoit",Conseiller de la ville - CM,,53 469 $,X,,107 733 $,16 216 $
Le Sud-Ouest,Maire d'arrondissement - CM,,17 822 $,,X,,
Le Sud-Ouest,Président CDSDM - CM,,17 822 $,,X,,
Le Sud-Ouest,Vice-président CIG - CM (11 882 $ réduit à 0 $6),,0 $,,X,,
Le Sud-Ouest,Membre du conseil d'agglomération - CG ,,11 120 $,X,,,
Le Sud-Ouest,Membre CLS - CMM,Max2,7 500 $,,X,,
"SAUVÉ, Craig",Conseiller de la ville - CM,,53 469 $,X,,65 349 $,16 216 $
Le Sud-Ouest,Membre CTTP - CM,,5 940 $,,X,,
Le Sud-Ouest,Membre CPC - CM ,,5 940 $,,X,,
"SIGOUIN, Anne-Marie",Conseillère de la ville - CM,,53 469 $,X,,62 974 $,16 216 $
Le Sud-Ouest,Membre CCPS - CM ,,5 940 $,,X,,
Le Sud-Ouest,Présidente CCU - CM ,,3 565 $,,X,,
"THIÉBAUT, Sophie",Conseillère d'arrondissement - CM,,30 892 $,X,,36 832 $,16 216 $
Le Sud-Ouest,Membre CDSDM - CM ,,5 940 $,,X,,
"VAILLANCOURT, Alain",Conseiller d’arrondissement - CM,,30 892 $,X,,30 892 $,15 446 $
Le Sud-Ouest,,,,,,,
"CÔTÉ, Stéphane",Conseiller d’arrondissement - CM,,30 892 $,X,,34 048 $,16 216 $
L'Île-Bizard–Sainte-Geneviève,"Président CCU - CM  (fin 19 nov. 2016, 3 565 $/année)",,3 156 $,,X,,
"DUGAS, Éric",Conseiller d’arrondissement - CM ,,30 892 $,X,,30 892 $,15 446 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LAROCQUE, Christian",Conseiller d’arrondissement - CM ,,30 892 $,X,,30 892 $,15 446 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LÉVESQUE-RENÉ, Jean-Dominic",Conseiller d’arrondissement - CM ,,30 892 $,X,,30 892 $,15 446 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"MARINACCI, Normand",Conseiller de la ville - CM,,53 469 $,X,,71 291 $,16 216 $
L'Île-Bizard–Sainte-Geneviève,Maire d’arrondissement - CM ,,11 882 $,,X,,
L'Île-Bizard–Sainte-Geneviève,Membre CPC - CM ,,5 940 $,,X,,
"BOIVIN ROY, Karine",Conseillère de la ville et membre CA Ville-Marie - CM ,,70 866 $,X,,106 969 $,16 216 $
Mercier–Hochelaga-Maisonneuve,Conseillère associée - CM,,17 822 $,,X,,
Mercier–Hochelaga-Maisonneuve,Vice-présidente CEC - CM,,11 882 $,,X,,
Mercier–Hochelaga-Maisonneuve,Présidente CCU - CM ,,3 565 $,,X,,
Mercier–Hochelaga-Maisonneuve,Présidente CCU - CA ,,2 000 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Mairesse suppl. d’arr. - CA (avril - juil. 2016, 834 $/quadrimestre)",,834 $,,X,,
"CALDWELL, Éric Alan",Conseiller de la ville - CM ,,53 469 $,X,,68 914 $,16 216 $
Mercier–Hochelaga-Maisonneuve,Membre CIG - CM ,,5 940 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CDEUH - CM ,,5 940 $,,X,,
Mercier–Hochelaga-Maisonneuve,Président CCU - CM ,,3 565 $,,X,,
"CELZI, Richard",Conseiller de la ville - CM,,53 469 $,X,,74 026 $,16 216 $
Mercier–Hochelaga-Maisonneuve,Membre CEC - CM,,5 940 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CSP - CG ,Max1,5 560 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre régulier CCU - CA,,1 557 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CACMM - CMM,Max2,7 500 $,,X,,
"LAVIGNE LALONDE, Laurence",Conseillère de la ville - CM ,,53 469 $,X,,65 977 $,16 216 $
Mercier–Hochelaga-Maisonneuve,Vice-présidente CDEUH - CM ,,11 882 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Mairesse suppl. d’arr. - CA (déc. 2015 - mars 2016, 834 $/quadrimestre) ",,626 $,,X,,
"MÉNARD, Réal",Conseiller de la ville - CM,,53 469 $,X,,129 289 $,16 216 $
Mercier–Hochelaga-Maisonneuve,Maire d'arrondissement - CM,,26 139 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre du CE - CM,,42 181 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CENV - CMM,Max2,7 500 $,,X,,
"BLACK, Christine","Conseillère de la ville - CM (début 3 mai 2016, 53 469 $/année)",,35 500 $,X,,47 333 $,10 766 $
Montréal-Nord (Assermentée le 3 mai 2016),"Mairesse d'arrondissement - CM (début 3 mai 2016, 17 822 $/année)",,11 833 $,,X,,
"DEGUIRE, Gilles","Conseiller de la ville - CM (fin 6 janv. 2016, 53 469 $/année)",,877 $,X,,2 016 $,266 $
Montréal-Nord (Démission le 6 janvier 2016),"Maire d'arrondissement - CM (fin 6 janv. 2016, 17 822 $/année)",,292 $,,X,,
Montréal-Nord ,"Membre du conseil d'agglomération - CG (fin 6 janv. 2016, 11 120 $/année)",,182 $,X,,,
Montréal-Nord,"Membre CSADM - CG (fin 6 janv. 2016, max1 5 560 $/année)",,0 $,,X,,
Montréal-Nord,"Président CCU - CM (fin 6 janv. 2016, 3 565 $/année)",,58 $,,X,,
Montréal-Nord,"Président CCU - CA (fin 6 janv. 2016, 2 000 $/année)",,33 $,,X,,
Montréal-Nord,"Membre du conseil - CMM (fin 6 janv. 2016, 10 000 $/année)",,164 $,X,,,
Montréal-Nord,"Membre du comité exécutif - CMM (fin 6 janv. 2016, 25 000 $/année)",,410 $,,X,,
Montréal-Nord,"Membre CACMM - CMM (fin 6 janv. 2016, max2 7 500 $/année réduit à 0 $5)",,0 $,,X,,
"GIBEAU, Jean-Marc",Conseiller de la ville et membre CA Ville-Marie - CM,,70 866 $,X,,103 235 $,16 216 $
Montréal-Nord,Conseiller associé - CM,,17 822 $,,X,,
Montréal-Nord,Membre CPC - CM,,5 940 $,,X,,
Montréal-Nord,Membre CIG - CM,,5 940 $,,X,,
Montréal-Nord,"Président CCU - CM (début 11 janv. 2016, 3 565 $/année réduit à 2 742 $/année 4)",,2 667 $,,X,,
Montréal-Nord,"Président CCU - CA (début 11 janv. 2016, 2 000 $/année réduit à 0 $4)",,0 $,,X,,
"Lo BIANCO, Sylvia",Conseillère d’arrondissement - CM,,30 892 $,X,,48 714 $,16 216 $
Montréal-Nord,Vice-présidente CDSDM - CM,,11 882 $,,X,,
Montréal-Nord,Membre CDEUH - CM,,5 940 $,,X,,
"RICOURT, Monica",Conseillère d’arrondissement - CM,,30 892 $,X,,42 392 $,16 216 $
Montréal-Nord,Membre CTTP - CM,,5 940 $,,X,,
Montréal-Nord,Membre CSP - CG,Max1,5 560 $,,X,,
"ROSSI, Chantal",Conseillère de la ville - CM,,53 469 $,X,,83 026 $,16 216 $
Montréal-Nord,Conseillère associée - CM ,,17 822 $,,X,,
Montréal-Nord,Membre CDSDM - CM,,5 940 $,,X,,
Montréal-Nord,"Mairesse suppl. d'arr. - CA (6 janv. - 3 mai 2016, 17 822 $/année)",,5 795 $,,X,,
"CINQ-MARS, Marie",Conseillère de la ville - CM,,53 469 $,X,,87 231 $,16 216 $
Outremont,Mairesse d’arrondissement - CM,,11 882 $,,X,,
Outremont,Membre CCPS - CM,,5 940 $,,X,,
Outremont,Membre CEC - CM,,5 940 $,,X,,
Outremont,Membre du conseil - CMM,,10 000 $,X,,,
"FORGET, Céline",Conseillère d’arrondissement - CM ,,30 892 $,X,,30 892 $,15 446 $
Outremont,,,,,,,
"GREMAUD, Jacqueline",Conseillère d’arrondissement - CM ,,30 892 $,X,,34 457 $,16 216 $
Outremont,Présidente CCU - CM ,,3 565 $,,X,,
"POLLAK, Mindy",Conseillère d’arrondissement - CM ,,30 892 $,X,,30 892 $,15 446 $
Outremont,,,,,,,
"POTVIN, Marie",Conseillère d’arrondissement - CM ,,30 892 $,X,,42 772 $,16 216 $
Outremont,Membre CEEDDGP - CM ,,5 940 $,,X,,
Outremont,Membre CDEUH - CM ,,5 940 $,,X,,
"BEIS, Dimitrios (Jim)",Conseiller de la ville - CM,,53 469 $,X,,132 092 $,16 216 $
Pierrefonds-Roxboro,Maire d’arrondissement - CM,,17 822 $,,X,,
Pierrefonds-Roxboro,Membre du CE - CM ,,42 181 $,,X,,
Pierrefonds-Roxboro,Membre du conseil d'agglomération - CG,,11 120 $,X,,,
Pierrefonds-Roxboro,Membre CACMM - CMM,Max2,7 500 $,,X,,
"CLÉMENT-TALBOT, Catherine",Conseillère de la ville - CM,,53 469 $,X,,95 084 $,16 216 $
Pierrefonds-Roxboro,Membre CEEDDGP - CM ,,5 940 $,,X,,
Pierrefonds-Roxboro,Présidente CCU - CM,,3 565 $,,X,,
Pierrefonds-Roxboro,Membre CPC - CM,,5 940 $,,X,,
Pierrefonds-Roxboro,Membre CFA - CM ,,5 940 $,,X,,
Pierrefonds-Roxboro,Présidente CSSR - CA ,,2 730 $,,X,,
Pierrefonds-Roxboro,Membre du conseil - CMM,,10 000 $,X,,,
Pierrefonds-Roxboro,Membre CENV - CMM,Max2,7 500 $,,X,,
"GIGNAC, Yves",Conseiller d’arrondissement - CM,,30 892 $,X,,36 832 $,16 216 $
Pierrefonds-Roxboro,Membre CFA - CM,,5 940 $,,X,,
"McINTYRE, Justine",Conseillère de la ville - CM,,53 469 $,X,,65 349 $,16 216 $
Pierrefonds-Roxboro,Membre CFA - CM ,,5 940 $,,X,,
Pierrefonds-Roxboro,Membre CDSDM - CM ,,5 940 $,,X,,
"TROTTIER, Roger",Conseiller d’arrondissement - CM ,,30 892 $,X,,30 892 $,15 446 $
Pierrefonds-Roxboro,,,,,,,
"DÉCARIE, Suzanne",Conseillère de la ville - CM,,53 469 $,X,,80 771 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Conseillère associée - CM ,,17 822 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CTTP - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Présidente CCI - CA ,,3 540 $,,X,,
"DÉZIEL, Gilles",Conseiller d’arrondissement - CM,,30 892 $,X,,42 392 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CEEDDGP - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CSP - CG,Max1,5 560 $,,X,,
"GUAY, Richard",Conseiller de la ville - CM ,,53 469 $,X,,86 736 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Conseiller associé - CM ,,17 822 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CFA - CM,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CDEUH - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Président CCU - CM ,,3 565 $,,X,,
"GUEDES, Manuel",Conseiller d’arrondissement - CM ,,30 892 $,X,,42 772 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CEC - CM,,5 940 $,,X,,
"PIERRE-ANTOINE, Nathalie",Conseillère d’arrondissement - CM,,30 892 $,X,,62 438 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CASTM - STM,,22 106 $,X,,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CRH, CGEDD - STM ",Max3,3 500 $,,X,,
"RAPANÀ, Giovanni",Conseiller de la ville - CM ,,53 469 $,X,,72 849 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CDSDM - CM ,,5 940 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CLS - CMM,Max2,7 500 $,,X,,
"ROULEAU, Chantal",Conseillère de la ville - CM ,,53 469 $,X,,148 836 $,16 216 $
Rivière-des-Prairies–Pointe-aux-Trembles,Mairesse d'arrondissement - CM,,26 139 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre du CE - CM ,,42 181 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre du conseil d'agglomération - CG ,,11 120 $,X,,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre du conseil - CMM,,10 000 $,X,,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CDEEMF - CMM (max2 7 500 $ réduit à max2 5 927 $4),Max2,5 927 $,,X,,
"CROTEAU, François William",Conseiller de la ville - CM,,53 469 $,X,,83 173 $,16 216 $
Rosemont–La Petite-Patrie,Maire d’arrondissement - CM,,26 139 $,,X,,
Rosemont–La Petite-Patrie,Président CCU - CM ,,3 565 $,,X,,
"DUCHESNE, Érika",Conseillère de la ville - CM,,53 469 $,X,,65 351 $,16 216 $
Rosemont–La Petite-Patrie,Vice-présidente CIG - CM ,,11 882 $,,X,,
"GADOURY, Marc-André",Conseiller de la ville - CM,,53 469 $,X,,65 349 $,16 216 $
Rosemont–La Petite-Patrie,Membre CEC - CM ,,5 940 $,,X,,
Rosemont–La Petite-Patrie,Membre CTTP - CM ,,5 940 $,,X,,
"LAVOIE, Guillaume",Conseiller de la ville - CM,,53 469 $,X,,65 351 $,16 216 $
Rosemont–La Petite-Patrie,Vice-président CFA - CM ,,11 882 $,,X,,
"LIMOGES, François",Conseiller de la ville - CM,,53 469 $,X,,65 351 $,16 216 $
Rosemont–La Petite-Patrie,Vice-président CPC - CM ,,11 882 $,,X,,
"BIRON, Michèle D.",Conseillère d’arrondissement - CA,,42 775 $,X,,64 162 $,16 216 $
Saint-Laurent,Présidente CCPS - CM,,17 822 $,,X,,
Saint-Laurent,Président CCU - CM ,,3 565 $,,X,,
"COHEN, Maurice",Conseiller d’arrondissement - CA,,42 775 $,X,,54 655 $,16 216 $
Saint-Laurent,Membre CTTP - CM ,,5 940 $,,X,,
Saint-Laurent,Membre CDEUH - CM,,5 940 $,,X,,
"DeSOUSA, Alan",Conseiller de la ville - CM,,53 469 $,X,,143 550 $,16 216 $
Saint-Laurent,Maire d’arrondissement - CM,,26 139 $,,X,,
Saint-Laurent,Président CFA - CM ,,17 822 $,,X,,
Saint-Laurent,Membre du conseil d'agglomération - CG,,11 120 $,X,,,
Saint-Laurent,Membre du conseil - CMM ,,10 000 $,X,,,
Saint-Laurent,Membre du comité exécutif - CMM,,25 000 $,,X,,
"MIELE, Francesco",Conseiller de la ville - CM,,53 469 $,X,,124 911 $,16 216 $
Saint-Laurent,Leader de la majorité - CM,,29 704 $ ,,X,,
Saint-Laurent,Vice-président CPC - CM ,,11 882 $,,X,,
Saint-Laurent,Membre CASTM - STM ,,22 106 $,X,,,
Saint-Laurent,Président CGEDD - STM ,Max3,3 000 $,,X,,
Saint-Laurent,"Membre CSA, CV - STM",Max3,3 000 $,,X,,
Saint-Laurent,Membre Transgesco - STM ,Max3,1 750 $,,X,,
"SALEM, Aref",Conseiller de la ville - CM ,,53 469 $,X,,124 270 $,16 216 $
Saint-Laurent,Membre du CE - CM ,,42 181 $,,X,,
Saint-Laurent,Membre du conseil d'agglomération - CG ,,11 120 $,X,,,
Saint-Laurent,Membre du conseil - CMM,,10 000 $,X,,,
Saint-Laurent,Membre CT - CMM,Max2,7 500 $,,X,,
"BATTISTA, Mario",Conseiller d’arrondissement - CA,,41 733 $,X,,41 733 $,16 216 $
Saint-Léonard,,,,,,,
"BISSONNET, Michel",Conseiller de la ville - CM ,,53 469 $,X,,96 613 $,16 216 $
Saint-Léonard,Maire d’arrondissement - CM ,,17 822 $,,X,,
Saint-Léonard,Président CTTP - CM,,17 822 $,,X,,
Saint-Léonard,Membre CT - CMM,Max2,7 500 $,,X,,
"LATTANZIO, Patricia",Conseillère de la ville - CM ,,53 469 $,X,,53 469 $,16 216 $
Saint-Léonard,,,,,,,
"PERRI, Dominic",Conseiller de la ville - CM,,53 469 $,X,,89 856 $,16 216 $
Saint-Léonard,Vice-président CEEDDGP - CM,,11 882 $,,X,,
Saint-Léonard,Membre CFA - CM,,5 940 $,,X,,
Saint-Léonard,Président CCU - CM ,,3 565 $,,X,,
Saint-Léonard,Président CACMM - CMM,Max2,15 000 $,,X,,
"TREMBLAY, Lili-Anne",Conseillère d’arrondissement - CA,,41 733 $,X,,59 553 $,16 216 $
Saint-Léonard,Membre CEC - CM ,,5 940 $,,X,,
Saint-Léonard,Membre CDEUH - CM,,5 940 $,,X,,
Saint-Léonard,Membre CIG - CM,,5 940 $,,X,,
"BRUNET, Marie-Eve",Conseillère d’arrondissement - CA,,38 253 $,X,,56 273 $,16 216 $
Verdun,Membre CEEDDGP - CM,,5 940 $,,X,,
Verdun,Membre CDSDM - CM,,5 940 $,,X,,
Verdun,Membre CSP - CG,Max1,5 560 $,,X,,
Verdun,"Mairesse suppl. d’arr. - CA (janv. - avril 2016, 145 $/mois)",,580 $,,X,,
"DOWNEY, Sterling",Conseiller de la ville - CM ,,53 469 $,X,,59 409 $,16 216 $
Verdun,Membre CDSDM - CM,,5 940 $,,X,,
"GAGNON, Luc",Conseiller d’arrondissement - CA,,38 253 $,X,,38 253 $,16 216 $
Verdun,,,,,,,
"GAUTHIER, Manon",Conseillère de la ville - CM,,53 469 $,X,,135 030 $,16 216 $
