nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
Ahuntsic-Cartierville,Maire d’arrondissement - CM,,25 321 $,,X,,
,"Membre CEC - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Président CCU - CM (fin 31 oct. 2013, 3 453 $/année)",,2 876 $,,X,,
,"Membre du conseil - CMM (fin 4 fév. 2013, 10 000 $/année)",,833 $,X,,,
"THUILLIER, Émilie",Conseillère de la ville - CM,,51 794 $,X,,109 344 $,15 662 $
Ahuntsic-Cartierville,Vice-présidente du CE - CM,,57 550 $,,X,,
"BEAUDRY, Gilles",Conseiller d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
Anjou,,,,,,,
"Di GENOVA ZAMMIT, Michèle",Conseillère d’arrondissement - CM,,29 925 $,X,,39 132 $,15 662 $
Anjou,Membre CEEDDGP - CM ,,5 754 $,,X,,
,Présidente CCU - CM,,3 453 $,,X,,
"HÉNAULT, Andrée",Conseillère de la ville - CM,,51 794 $,X,,70 048 $,15 662 $
Anjou,Membre CFA - CM ,,5 754 $,,X,,
,Vice-présidente CDEEMF - CMM,Max2,12 500 $,,X,,
"MIRANDA, Luis",Conseiller de la ville - CM,,51 794 $,X,,104 465 $,15 662 $
Anjou,Maire d’arrondissement - CM,,11 510 $,,X,,
,Président CTTP - CM ,,17 264 $,,X,,
,Membre du conseil d'agglomération - CG,,10 772 $,X,,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Membre du comité exécutif - CMM (fin 14 fév. 2013, 25 000 $/année)",,3 125 $,,X,,
"PERRON, Paul-Yvon",Conseiller d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
Anjou,,,,,,,
"CLARKE, Susan",Conseillère de la ville - CM,,51 794 $,X,,73 425 $,15 662 $
Côte-des-Neiges–Notre-Dame-de-Grâce,"Présidente CCU - CM (fin 7 déc. 2013, 3 453 $/année)",,3 226 $,,X,,
,"Membre du conseil d’agglomération - CG (début 28 juin 2013, 10 772 $/année)",,5 519 $,X,,,
,Membre CSP - CG,Max1,5 386 $,,X,,
,Membre CDEEMF - CMM,Max2,7 500 $,,X,,
"FOTOPULOS, Helen",Conseillère de la ville - CM,,51 794 $,X,,64 921 $,15 662 $
Côte-des-Neiges–Notre-Dame-de-Grâce,"Vice-présidente du conseil - CM (début 29 janv. 2013, 11 510 $/année)",,10 627 $,,X,,
,"Membre du conseil - CMM (fin 14 fév. 2013, 10 000 $/année)",,1 250 $,X,,,
,"Présidente CACMM - CMM (fin 14 fév. 2013, max2 15 000 $/année)",,1 250 $,,X,,
"McQUEEN, Peter",Conseiller de la ville - CM,,51 794 $,X,,64 747 $,15 662 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre CFA - CM,,5 754 $,,X,,
,"Membre CLS - CMM (début 14 fév. 2013, max2 7 500 $/année)",Max2,7 199 $,,,,
"PEREZ, Lionel",Conseiller de la ville - CM,,51 794 $,X,,122 530 $,15 662 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Maire d’arrondissement - CA,,41 887 $,,X,,
,"Président CEC - CM (début 29 janv. 2013, 17 264 $/année)",,15 940 $,,X,,
,"Vice-président CEC - CM (fin 28 janv. 2013, 11 510 $/année)",,883 $,,X,,
,"Membre CTTP - CM (fin 28 janv. 2013, 5 754 $/année)",,441 $,,X,,
,Membre du conseil d’agglomération - CG ,,10 772 $,X,,,
,"Membre CDEEMF - CMM (fin 14 fév. 2013, max2 7 500 $/année)",,813 $,,X,,
"ROTRAND, Marvin",Conseiller de la ville - CM,,51 794 $,X,,121 958 $,15 662 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CPC - CM,,11 510 $,,X,,
,"Conseiller associé - CM (début 28 juin 2013, 17 264 $/année)",,8 845 $,,X,,
,"Membre CFA - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,Membre du conseil d’agglomération - CG,,10 772 $,X,,,
,Vice-président CASTM - STM,,21 779 $,X,,,
,Vice-président CASTM - STM,,5 445 $,,X,,
,Président CSAC - STM,Max3,3 000 $,,X,,
,"Membre CF, CGE - STM",Max3,3 500 $,,X,,
"BLANCHET, Bernard",Conseiller d’arrondissement - CA,,37 465 $,X,,90 257 $,15 662 $
Lachine,Président CDEUH - CM ,,17 264 $,,X,,
,"Président CCU - CM (fin 13 nov. 2013, 3 453 $/année)",,2 999 $,,X,,
,Membre CASTM - STM ,,21 779 $,X,,,
,"Président CO, CMAPME, CMAPME/SCTI - STM",Max3,9 000 $,,X,,
,Membre - conseil des associés de la société Transgesco - STM,Max3,1 750 $,,X,,
"CLOUTIER, Jean-François",Conseiller d’arrondissement - CA,,37 465 $,X,,37 465 $,15 662 $
Lachine,,,,,,,
"COWELL-POITRAS, Jane",Conseillère de la ville - CM,,51 794 $,X,,75 247 $,15 662 $
Lachine,Mairesse suppléante - CM ,,5 181 $,,X,,
,Membre du conseil d'agglomération - CG,,10 772 $,X,,,
,Membre CENV - CMM ,Max2,7 500 $,,X,,
"DAUPHIN, Claude",Conseiller de la ville - CM,,51 794 $,X,,94 948 $,15 662 $
Lachine,Maire d’arrondissement - CM,,11 510 $,,X,,
,"Vice-président CTTP - CM (début 29 janv. 2013, 11 510 $/année)",,10 627 $,,X,,
,"Membre CPC - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,Membre du conseil d'agglomération - CG ,,10 772 $,X,,,
,"Membre du conseil - CMM (début 5 juil. 2013, 10 000 $/année)",,4 932 $,X,,,
"POULIN, Lise",Conseillère d'arrondissement - CA,,37 465 $,X,,48 973 $,15 662 $
Lachine,Membre CEC - CM ,,5 754 $,,X,,
,Membre CDSDM - CM,,5 754 $,,X,,
"BARBE, Manon",Conseillère de la ville - CM,,51 794 $,X,,69 828 $,15 662 $
LaSalle,Mairesse d'arrondissement - CM,,17 264 $,,X,,
,"Membre CPC - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
,"Membre CT - CMM (fin 14 fév. 2013, max2 7 500 $/année)",,313 $,,X,,
"BLACKHURST, Ross","Conseiller d’arrondissement - CA (fin 12 mars 2013, 41 435 $/année)",,8 060 $,X,,8 517 $,3 047 $
(décès 12 mars 2013),"Membre CPC - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
LaSalle,,,,,,,
"CESARI, Vincenzo",Conseiller d’arrondissement - CA,,41 435 $,X,,47 189 $,15 662 $
LaSalle,Membre CCPS - CM,,5 754 $,,X,,
"DESCHAMPS, Richard",Conseiller de la ville - CM ,,51 794 $,X,,123 708 $,15 662 $
LaSalle,Membre du CE - CM ,,40 860 $,,X,,
,"Membre du conseil - CMM (début 4 fév. 2013, 10 000 $/année)",,9 068 $,X,,,
,"Membre du comité exécutif - CMM (début 14 fév. 2013, 25 000 $/année)",,21 986 $,,X,,
"FARINACCI, Alvaro",Conseiller de la ville - CM,,51 794 $,X,,70 881 $,15 662 $
LaSalle,Membre CDEUH - CM ,,5 754 $,,X,,
,"Membre du conseil - CMM (fin 4 fév. 2013, 10 000 $/année)",,833 $,X,,,
,Vice-président CLS - CMM,Max2,12 500 $,,X,,
"PALESTINI, Laura-Ann",Conseillère d’arrondissement - CA,,41 435 $,X,,44 888 $ ,15 662 $
LaSalle,Présidente CCU - CM,,3 453 $,,X,,
"TROILO, Josée",Conseillère d’arrondissement - CA,,41 435 $,X,,41 892 $,15 662 $
LaSalle,"Membre CCPS - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
"BERGERON, Richard",Conseiller de la ville et membre CA Ville-Marie - CM,,68 646 $,X,,99 778 $,15 662 $
Le Plateau-Mont-Royal,"Chef de l’opposition - CM (début 9 mai 2013, 40 860 $/année réduit à 20 214 $4)",,20 214 $,,X,,
,Membre CDEUH - CM (5 754 $ réduit à 2 018 $4),,2 018 $,,X,,
,"Membre du conseil - CMM (début 4 fév. 2013, 10 000 $/année réduit à 2 779 $4)",,2 779 $,X,,,
,"Membre CASTM - STM (début 31 janv. 2013, 21 779 $/année réduit à 6 121 $4)",,6 121 $,X,,,
,"Membre CGE, CO, CMAPME - STM (début 31 janv. 2013, max3 5 250 $/année réduit à 0 $4)",Max3,0 $,,X,,
"BOILEAU, Carl",Conseiller d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
Le Plateau-Mont-Royal,,,,,,,
"DUPLESSIS, Josée",Conseillère de la ville - CM,,51 794 $,X,,130 217 $,15 662 $
Le Plateau-Mont-Royal,"Présidente du CE - CM (début 4 juil. 2013, 66 758 $/année)",,33 105 $,,X,,
,"Membre du CE - CM (fin 3 juil. 2013, 40 860 $/année)",,20 598 $,,X,,
,"Membre CEEDDGP - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
,Membre du conseil d’agglomération - CG,,10 772 $,X,,,
,"Membre du conseil - CMM (début 4 fév. 2013, 10 000 $/année)",,9 068 $,X,,,
,"Membre CACMM - CMM (début 14 fév. 2013, max2 7 500 $/année réduit à max2 4 423 $/année4)",Max2,4 423 $,,X,,
"FERRANDEZ, Luc",Conseiller de la ville - CM,,51 794 $,X,,82 501 $,15 662 $
Le Plateau-Mont-Royal,Maire d’arrondissement - CM,,25 321 $,,X,,
,"Membre CSP - CG (début 31 janv. 2013, max1 5 386 $/année)",Max1,5 386 $,,X,,
"HUGGINS, Piper",Conseillère d’arrondissement - CM,,29 925 $,X,,35 238 $,15 608 $
Le Plateau-Mont-Royal,"Membre CEEDDGP - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
"NORRIS, Alex",Conseiller de la ville - CM,,51 794 $,X,,57 548 $,15 662 $
Le Plateau-Mont-Royal,Membre CTTP - CM ,,5 754 $,,X,,
"RYAN, Richard",Conseiller d’arrondissement - CM,,29 925 $,X,,45 218 $,15 662 $
Le Plateau-Mont-Royal,Membre CCPS - CM,,5 754 $,,X,,
,"Président CCU - CM (fin 6 déc. 2013, 3 453 $/année)",,3 216 $,,X,,
,Maire suppl. d'arr. - CA,,6 323 $,,X,,
"BÉLANGER, Daniel",Conseiller de la ville - CM,,51 794 $,X,,70 814 $,15 662 $
Le Sud-Ouest,Membre CEC - CM ,,5 754 $,,X,,
,Membre CDEUH - CM ,,5 754 $,,X,,
,"Membre CDEEMF - CMM (début 14 fév. 2013, max2 7 500 $/année)",Max2,7 199 $,,X,,
,"Membre CLS - CMM (fin 13 fév. 2013, max2 7 500 $/année)",,313 $,,X,,
"DORAIS, Benoit",Conseiller de la ville - CM,,51 794 $,X,,137 380 $,15 662 $
Le Sud-Ouest,Maire d'arrondissement - CM,,17 264 $,,X,,
,Vice-président du CE - CM ,,57 550 $,,X,,
,Membre du conseil d'agglomération - CG,,10 772 $,X,,,
"FOURNIER, Véronique",Conseillère de la ville et membre CA Ville-Marie - CM ,,68 646 $,X,,89 363 $,15 662 $
Le Sud-Ouest,"Vice-présidente CDEUH - CM (début 29 janv. 2013, 11 510 $/année)",,10 627 $,,X,,
,"Membre CFA - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Vice-présidente CFA - CM (fin 28 janv. 2013, 11 510 $/année)",,883 $,,X,,
,"Membre CDEUH - CM (fin 28 janv. 2013, 5 754 $/année)",,441 $,,X,,
,Présidente CCU - CM ,,3 453 $,,X,,
"ROY, Huguette",Conseillère d'arrondissement - CM,,29 925 $,X,,40 992 $,15 662 $
Le Sud-Ouest,Membre CDSDM - CM ,,5 754 $,,X,,
,"Membre CEEDDGP - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
"THIÉBAUT, Sophie",Conseillère d'arrondissement - CM,,29 925 $,X,,35 679 $,15 662 $
Le Sud-Ouest,Membre CDSDM - CM ,,5 754 $,,X,,
"BÉLANGER, Richard",Conseiller de la ville - CM,,51 794 $,X,,126 104 $,15 662 $
L'Île-Bizard–Sainte-Geneviève,Maire d’arrondissement - CM,,11 510 $,,X,,
,Conseiller associé - CM ,,17 264 $,,X,,
,Président CEEDDGP - CM,,17 264 $,,X,,
,Membre du conseil d’agglomération - CG ,,10 772 $,X,,,
,Membre du conseil - CMM,,10 000 $,X,,,
,Membre CENV - CMM,Max2,7 500 $,,X,,
"DUGAS, Éric",Conseiller d’arrondissement - CM ,,29 925 $,X,,29 925 $,14 963 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"GIBB, Diane",Conseillère d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LITTLE, Christopher",Conseiller d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"ROBERT, François",Conseiller d’arrondissement - CM,,29 925 $,X,,39 132 $,15 662 $
L'Île-Bizard–Sainte-Geneviève,Membre CTTP - CM ,,5 754 $,,X,,
,Président CCU - CM ,,3 453 $,,X,,
"HAREL, Louise",Conseillère de la ville - CM,,51 794 $,X,,97 985 $,15 662 $
Mercier–Hochelaga-Maisonneuve,"Chef de l'opposition - CM (fin 8 mai 2013, 40 860 $/année)",,14 329 $,,X,,
,"Mairesse suppl. d’arr. - CA (juil. - oct. 2013, 808 $/quadrimestre)",,808 $,,X,,
,"Membre du conseil - CMM (début 4 fév. 2013, 10 000 $/année)",,9 068 $,X,,,
,"Membre du comité exécutif - CMM (début 14 fév. 2013, 25 000 $/année)",,21 986 $,,X,,
"MÉNARD, Réal",Conseiller de la ville - CM,,51 794 $,X,,127 043 $,15 662 $
Mercier–Hochelaga-Maisonneuve,Maire d'arrondissement - CM,,25 321 $,,X,,
,Membre du CE - CM ,,40 860 $,,X,,
,"Vice-président CSP - CG (fin 31 janv. 2013, max1 10 772 $/année)",,0 $,,X,,
,Membre suppléant CCU - CA (151 $/présence),,0 $,,X,,
,"Membre du conseil - CMM (début 4 fév. 2013, 10 000 $/année)",,9 068 $,X,,,
"PRIMEAU, Gaëtan",Conseiller de la ville - CM,,51 794 $,X,,90 003 $,15 662 $
Mercier–Hochelaga-Maisonneuve,Membre CEC - CM,,5 754 $,,X,,
,Président CCU - CM,,3 453 $,,X,,
,"Vice-président CFA - CM (début 29 janv. 2013, 11 510 $/année)",,10 627 $,,X,,
,Membre du conseil d’agglomération - CG ,,10 772 $,X,,,
,"Maire suppl. d’arr. - CA (nov. 2012 - fév. 2013, 808 $/quadrimestre)",,404 $,,X,,
,"Membre CT - CMM (début 14 fév. 2013, max2 7 500 $/année)",Max2,7 199 $,,X,,
"THÉRIAULT, Lyn",Conseillère de la ville - CM,,51 794 $,X,,82 322 $,15 662 $
Mercier–Hochelaga-Maisonneuve,Membre CPC - CM ,,5 754 $,,X,,
,"Vice-présidente CDSDM - CM (fin 29 janv. 2013, 11 510 $/année)",,914 $,,X,,
,Membre du conseil d’agglomération - CG ,,10 772 $,X,,,
,"Vice-présidente CSP - CG (début 31 janv. 2013, max1 10 772 $/année)",Max1,10 772 $,,X,,
,Membre régulier CCU - CA ,,1 508 $,,X,,
,"Mairesse suppl. d’arr. - CA (mars - juin 2013, 808 $/quadrimestre)",,808 $,,X,,
"DEGUIRE, Gilles",Conseiller de la ville - CM,,51 794 $,X,,69 058 $,15 662 $
Montréal-Nord,Maire d'arrondissement - CM,,17 264 $,,X,,
"GIBEAU, Jean-Marc",Conseiller de la ville - CM,,51 794 $,X,,82 393 $,15 662 $
Montréal-Nord,"Membre CPC - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Président CCU - CM (fin 11 nov. 2013, 3 453 $/année)",,2 980 $,,X,,
,"Leader de la majorité - CM (fin 3 mai 2013, 28 774 $/année)",,9 696 $,,X,,
,Membre du conseil d’agglomération - CG (10 772 $ réduit à 10 051 $4),,10 051 $,X,,,
,"Membre CSP - CG (fin 31 janv. 2013, max1 5 386 $/année)",,0 $,,X,,
,"Président CCU - CA (fin 11 nov. 2013, 2 000 $/année)",,1 726 $,,X,,
,"Membre du conseil - CMM (fin 4 fév. 2013, 10 000 $/année)",,833 $,X,,,
"RICOURT, Monica",Conseillère d’arrondissement - CM,,29 925 $,X,,64 840 $,14 655 $
Montréal-Nord,"Membre CSP - CG (début 31 janv. 2013, max1 5 386 $/année)",Max1,5 386 $,,X,,
,Membre CASTM - STM ,,21 779 $,X,,,
,"Présidente CAPA, CSAC/SCDES - STM ",Max3,6 000 $,,X,,
,Membre CRH - STM,Max3,1 750 $,,X,,
"ROSSI, Chantal",Conseillère d’arrondissement - CM,,29 925 $,X,,41 433 $,15 662 $
Montréal-Nord,Membre CCPS - CM ,,5 754 $,,X,,
,Membre CEEDDGP - CM,,5 754 $,,X,,
"TETI-TOMASSI, Clementina",Conseillère de la ville - CM,,51 794 $,X,,52 107 $,15 662 $
Montréal-Nord,"Membre CLS - CMM (fin 14 fév. 2013, max2 7 500 $/année)",,313 $,,X,,
"CINQ-MARS, Marie",Conseillère de la ville - CM,,51 794 $,X,,63 304 $,15 662 $
Outremont,Mairesse d’arrondissement - CM,,11 510 $,,X,,
"FORGET, Céline",Conseillère d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
Outremont,,,,,,,
"MOFFAT, Louis",Conseiller d’arrondissement - CM,,29 925 $,X,,33 123 $,15 662 $
Outremont,"Président CCU - CM (fin 4 déc. 2013, 3 453 $/année)",,3 198 $,,X,,
"NUNES, Ana",Conseillère d’arrondissement - CM,,29 925 $,X,,36 136 $,15 662 $
Outremont,Membre CCPS - CM ,,5 754 $,,X,,
,"Membre CDSDM - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
"POTVIN, Marie",Conseillère d’arrondissement - CM,,29 925 $,X,,36 136 $,15 662 $
Outremont,Membre CEC - CM ,,5 754 $,,X,,
,"Membre CFA - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
"BEIS, Dimitrios (Jim)",Conseiller d’arrondissement - CM,,29 925 $,X,,29 925 $,14 963 $
Pierrefonds-Roxboro,,,,,,,
"CLÉMENT-TALBOT, Catherine",Conseillère d’arrondissement - CM,,29 925 $,X,,33 378 $,15 662 $
Pierrefonds-Roxboro,Présidente CCU - CM ,,3 453 $,,X,,
"DUBOIS, Christian G.",Conseiller de la ville - CM,,51 794 $,X,,121 605 $,15 662 $
Pierrefonds-Roxboro,Membre du CE - CM ,,40 860 $,,X,,
,"Membre CEC - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
,Membre du conseil d’agglomération - CG,,10 772 $,X,,,
,"Président CSP - CG (début 31 janv. 2013, max1 16 158 $/année)",Max1,16 158 $,,X,,
,"Membre du conseil - CMM (fin 14 fév. 2013, 10 000 $/année)",,1 251 $,X,,,
,"Membre CACMM - CMM (fin 14 fév. 2013, max2 7 500 $/année)",,313 $,,X,,
"WARD, Bertrand A.",Conseiller de la ville - CM,,51 794 $,X,,71 791 $,15 662 $
Pierrefonds-Roxboro,Membre CTTP - CM ,,5 754 $,,X,,
,Membre CFA - CM,,5 754 $,,X,,
,"Membre CDEUH - CM (fin 29 janv. 2013, 5 754 $/année)",,457 $,,X,,
,"Membre CT - CMM (début 14 fév. 2013, max2 7 500 $/année)",Max2,7 199 $,,X,,
,"Vice-président CT - CMM (fin 14 fév. 2013, max2 12 500 $/année)",,833 $,,X,,
"WORTH, Monique",Conseillère de la ville - CM,,51 794 $,X,,69 058 $,15 662 $
Pierrefonds-Roxboro,Maire d’arrondissement - CM,,17 264 $,,X,,
"BLANCHET, Mario",Conseiller d’arrondissement - CM,,29 925 $,X,,38 398 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CDEUH - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Président CCU - CM (fin 30 nov. 2013, 3 453 $/année)",,3 160 $,,X,,
"BOURGEOIS, Caroline",Conseillère de la ville - CM,,51 794 $,X,,97 528 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre du CE - CM (début 28 juin 2013, 40 860 $/année)",,20 934 $,,X,,
,"Vice-présidente CPC - CM (début 29 janv. 2013, 11 510 $/année)",,10 627 $,,X,,
,"Membre CDSDM - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Membre CTTP - CM (fin 28 janv. 2013, 5 754 $/année)",,441 $,,X,,
,"Conseillère associée - CM (fin 27 juin 2013, 17 264 $/année)",,8 419 $,,X,,
"DÉCARIE, Suzanne",Conseillère de la ville - CM,,51 794 $,X,,75 374 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,"Présidente CDSDM - CM (début 29 janv. 2013, 17 264 $/année)",,15 940 $,,X,,
,"Membre CEEDDGP - CM (fin 28 janv. 2013, 5 754 $/année)",,441 $,,X,,
,"Membre CENV - CMM (début 14 fév. 2013, max2 7 500 $/année)",Max2,7 199 $,,X,,
"DÉZIEL, Gilles",Conseiller d’arrondissement - CM,,29 925 $,X,,40 992 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 754 $,,X,,
,"Membre CTTP - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
"LECLERC, Cindy",Conseillère de la ville - CM ,,51 794 $,X,,62 420 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CTTP - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Membre CPC - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
"RAPANÀ, Giovanni",Conseiller d'arrondissement - CM,,29 925 $,X,,35 679 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CEEDDGP - CM ,,5 754 $,,X,,
"ROULEAU, Chantal",Conseillère de la ville - CM ,,51 794 $,X,,102 783 $,15 662 $
Rivière-des-Prairies–Pointe-aux-Trembles,Mairesse d'arrondissement - CM,,25 321 $,,X,,
,"Présidente CCPS - CM (début 29 janv. 2013, 17 264 $/année)",,15 940 $,,X,,
,"Vice-présidente CEC - CM (début 29 janv. 2013, 11 510 $/année réduit à 0 $6)",,0 $,,X,,
,"Conseillère associée - CM (début 28 juin 2013, 17 264 $/année)",,8 845 $,,X,,
,"Vice-présidente CEEDDGP - CM (fin 28 janv. 2013, 11 510 $/année)",,883 $,,X,,
"AYOTTE, Élaine",Conseillère de la ville - CM,,51 794 $,X,,107 363 $,15 662 $
Rosemont–La Petite-Patrie,Membre du CE - CM ,,40 860 $,,X,,
,"Vice-présidente CCPS - CM (fin 14 fév. 2013, 11 510 $/année)",,914 $,,X,,
,"Présidente CACMM - CMM (début 14 fév. 2013, max2 15 000 $/année)",Max2,13 795 $,,X,,
"CROTEAU, François William",Conseiller de la ville - CM,,51 794 $,X,,96 208 $,15 662 $
Rosemont–La Petite-Patrie,Maire d’arrondissement - CM,,25 321 $,,X,,
,"Membre CTTP - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Président CCU - CM (fin 14 nov. 2013, 3 453 $/année)",,3 008 $,,X,,
,Membre du conseil d’agglomération - CG ,,10 772 $,X,,,
"DUCHESNE, Érika",Conseillère de la ville - CM,,51 794 $,X,,80 654 $,15 662 $
Rosemont–La Petite-Patrie,Conseillère associée - CM,,17 264 $,,X,,
,"Vice-présidente CT - CMM (début 14 fév. 2013, max2 12 500 $/année)",Max2,11 596 $,,X,,
"GADOURY, Marc-André",Conseiller de la ville - CM,,51 794 $,X,,74 071 $,15 662 $
Rosemont–La Petite-Patrie,Membre CEC - CM ,,5 754 $,,X,,
,"Leader de l'opposition - CM (début 9 mai 2013, 17 264 $/année)",,11 210 $,,X,,
,"Membre CPC - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
"LIMOGES, François",Conseiller de la ville - CM,,51 794 $,X,,62 862 $,15 662 $
Rosemont–La Petite-Patrie,"Vice-président CCPS - CM (début 29 janv. 2013, 11 510 $/année)",,10 627 $,,X,,
,"Membre CPC - CM (fin 28 janv. 2013, 5 754 $/année)",,441 $,,X,,
"BIRON, Michèle D.",Conseillère d’arrondissement - CA,,41 435 $,X,,48 104 $,15 662 $
Saint-Laurent,"Membre CFA - CM (début 30 janv. 2013, 5 754 $/année)",,5 297 $,,X,,
,"Présidente CCPS - CM (fin 29 janv. 2013, 17 264 $/année)",,1 372 $,,X,,
"COHEN, Maurice",Conseiller d’arrondissement - CA,,41 435 $,X,,56 396 $,15 662 $
Saint-Laurent,Membre CTTP - CM ,,5 754 $,,X,,
,Membre CDSDM - CM,,5 754 $,,X,,
,Président CCU - CM,,3 453 $,,X,,
"DeSOUSA, Alan",Conseiller de la ville - CM,,51 794 $,X,,78 746 $,15 662 $
Saint-Laurent,Maire d’arrondissement - CM,,17 264 $,,X,,
