nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
Côte-des-Neiges–Notre-Dame-de-Grâce,Maire d’arrondissement - CA,,42 771 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du CE - CM,,41 722 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du conseil d’agglomération - CG (10 999 $ réduit à 9 256 $4),,9 256 $,X,,,
"McQUEEN, Peter",Conseiller de la ville - CM,,52 887 $,X,,55 575 $,15 976 $
Côte-des-Neiges–Notre-Dame-de-Grâce,"Membre CDEUH - CM (fin 16 juin 2015, 5 875 $/année)",,2 688 $,,X,,
"PEREZ, Lionel",Conseiller de la ville - CM,,52 887 $,X,,146 636 $,15 976 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du CE - CM ,,41 722 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,"Vice-président CIG - CM (fin 24 mars 2015, 11 753 $/année)",,2 673 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du conseil d’agglomération - CG,,10 999 $,X,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Président CSADM - CG,Max1,16 499 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du conseil - CMM,,10 000 $,X,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CENV - CMM (max2 12 500 $ réduit à max2 11 856 $4) ,Max2,11 856 $,,X,,
"POPEANU, Magda",Conseillère de la ville - CM,,52 887 $,X,,56 413 $,15 976 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Présidente CCU - CM ,,3 526 $,,X,,
"ROTRAND, Marvin",Conseiller de la ville - CM,,52 887 $,X,,84 861$,15 976 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CASTM - STM ,,21 779 $,X,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CASTM - STM,,5 445 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Président CSAC - STM,Max3,3 000 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre CSA - STM,Max3,1 750 $,,X,,
"SEARLE, Jeremy",Conseiller de la ville - CM,,52 887 $,X,,52 887 $,15 976 $
Côte-des-Neiges–Notre-Dame-de-Grâce,,,,,,,
"CLOUTIER, Jean-François",Conseiller de la ville - CM,,52 887 $,X,,63 157 $,15 976 $
Lachine,"Membre CEC - CM (fin 27 juil. 2015, 5 875 $/année)",,3 348 $,,X,,
Lachine,"Membre CCPS - CM (fin 30 juil. 2015, 5 875 $/année)",,3 396 $,,X,,
Lachine,Président CCU - CM ,,3 526 $,,X,,
"DAUPHIN, Claude",Conseiller de la ville - CM,,52 887 $,X,,116 139 $,15 976 $
Lachine,Maire d’arrondissement - CM,,11 753 $,,X,,
Lachine,Membre du conseil d'agglomération - CG ,,10 999 $,X,,,
Lachine,Membre CSADM - CG,Max1,5 500 $,,X,,
Lachine,Membre du conseil - CMM,,10 000 $,X,,,
Lachine,Membre du comité exécutif - CMM,,25 000 $,,X,,
Lachine,Membre CDEEMF - CMM (max2 7 500 $ réduit à 0 $5),,0 $,,X,,
"RACICOT, Daniel",Conseiller d’arrondissement - CA,,38 255 $,X,,38 255 $,15 976 $
Lachine,,,,,,,
"SYMONYIK, Kimberley",Conseillère d’arrondissement - CA,,38 255 $,X,,38 255 $,15 976 $
Lachine,,,,,,,
"VODANOVIC, Maja",Conseillère d’arrondissement - CA,,38 255 $,X,,44 130 $,15 976 $
Lachine,Membre CEEDDGP - CM,,5 875 $,,X,,
"BARBE, Manon",Conseillère de la ville - CM,,52 887 $,X,,92 889 $,15 976 $
LaSalle,Mairesse d'arrondissement - CM,,17 628 $,,X,,
LaSalle,Membre CIG - CM,,5 875 $,,X,,
LaSalle,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
LaSalle,Membre CSADM - CG,Max1,5 500 $,,X,,
"BLANCHET, Nancy",Conseillère d’arrondissement - CA,,42 309 $,X,,45 835 $,15 976 $
LaSalle,Présidente CCU - CM,,3 526 $,,X,,
"DECLOS, Serge",Conseiller d’arrondissement - CA,,42 309 $,X,,42 309 $,15 976 $
LaSalle,,,,,,,
"DESCHAMPS, Richard",Conseiller de la ville - CM,,52 887 $,X,,66 827 $,15 976 $
LaSalle,"Président CDEUH - CM (début 18 août 2015, 17 628 $/année réduit à 11 753 $/année6)",,4 379 $,,X,,
LaSalle,"Membre CDEUH - CM (fin 17 août 2015, 5 875 $/année) ",,3 686 $,,X,,
LaSalle,Membre CEC - CM,,5 875 $,,X,,
"PALESTINI, Laura-Ann",Conseillère d’arrondissement - CA,,42 309 $,X,,48 184 $ ,15 976 $
LaSalle,Membre CFA - CM,,5 875 $,,X,,
"TROILO, Josée",Conseillère d’arrondissement - CA,,42 309 $,X,,42 309 $,15 976 $
LaSalle,,,,,,,
"VALLÉE, Monique",Conseillère de la ville - CM,,52 887 $,X,,113 108 $,15 976 $
LaSalle,Membre du CE - CM ,,41 722 $,,X,,
LaSalle,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
LaSalle,Membre CLS - CMM,Max2,7 500 $,,X,,
"FERRANDEZ, Luc",Conseiller de la ville - CM,,52 887 $,X,,101 783 $,15 976 $
Le Plateau-Mont-Royal,Maire d’arrondissement - CM,,25 855 $,,X,,
Le Plateau-Mont-Royal,Chef de l’opposition - CM (41 722 $ réduit à 23 041 $4),,23 041 $,,X,,
"GIGUÈRE, Marianne",Conseillère d’arrondissement - CM,,30 556 $,X,,39 652 $,15 976 $
Le Plateau-Mont-Royal,"Vice-présidente CTTP - CM (début 16 juin 2015, 11 753 $/année)",,6 408 $,,X,,
Le Plateau-Mont-Royal,"Membre CEC - CM (fin 16 juin 2015, 5 875 $/année)",,2 688 $,,X,,
"GOSSELIN, Christine",Conseillère d’arrondissement - CM ,,30 556 $,X,,43 420 $,15 976 $
Le Plateau-Mont-Royal,"Vice-présidente CCPS - CM (début 16 juin 2015, 11 753 $/année)",,6 408 $,,X,,
Le Plateau-Mont-Royal,Mairesse suppl. d'arr. - CA ,,6 456 $,,X,,
"MAINVILLE, Louise",Conseillère de la ville - CM,,52 887 $,X,,61 467 $,15 976 $
Le Plateau-Mont-Royal,"Membre CEC - CM (début 16 juin 2015, 5 875 $/année)",,3 203 $,,X,,
Le Plateau-Mont-Royal,"Vice-présidente CDEUH - CM (fin 16 juin 2015, 11 753 $/année)",,5 377 $,,X,,
"NORRIS, Alex",Conseiller de la ville - CM,,52 887 $,X,,69 263 $,15 976 $
Le Plateau-Mont-Royal,"Vice-président CTTP - CM (fin 16 juin 2015, 11 753 $/année)",,5 377 $,,X,,
Le Plateau-Mont-Royal,Vice-président CSP - CG (début 18 juin 2015),Max1,10 999 $,,X,,
"PLOURDE, Marie",Conseillère d’arrondissement - CM,,30 556 $,X,,57 331 $,15 976 $
Le Plateau-Mont-Royal,"Présidente CCU - CM (fin 2 déc. 2015, 3 526 $/année)",,3 246 $,,X,,
Le Plateau-Mont-Royal,Membre CASTM - STM,,21 779 $,X,,,
Le Plateau-Mont-Royal,Membre CGEDD - STM,Max3,1 750 $,,X,,
"RYAN, Richard",Conseiller de la ville - CM,,52 887 $,X,,64 200 $,15 976 $
Le Plateau-Mont-Royal,"Vice-président CCPS - CM (fin 16 juin 2015, 11 753 $/année)",,5 377 $,,X,,
Le Plateau-Mont-Royal,"Membre du conseil d'agglomération - CG (début 18 juin 2015, 10 999 $/année)",,5 936 $,X,,,
"DORAIS, Benoit",Conseiller de la ville - CM,,52 887 $,X,,106 642 $,15 976 $
Le Sud-Ouest,Maire d'arrondissement - CM,,17 628 $,,X,,
Le Sud-Ouest,Président CDSDM - CM,,17 628 $,,X,,
Le Sud-Ouest,Vice-président CIG - CM (11 753 $ réduit à 0 $6),,0 $,,X,,
Le Sud-Ouest,Membre du conseil d'agglomération - CG ,,10 999 $,X,,,
Le Sud-Ouest,Membre CLS - CMM,Max2,7 500 $,,X,,
"SAUVÉ, Craig",Conseiller de la ville - CM,,52 887 $,X,,61 965 $,15 976 $
Le Sud-Ouest,Membre CTTP - CM,,5 875 $,,X,,
Le Sud-Ouest,"Membre CPC - CM (début 16 juin 2015, 5 875 $/année)",,3 203 $,,X,,
"SIGOUIN, Anne-Marie",Conseillère de la ville - CM,,52 887 $,X,,62 018 $,15 976 $
Le Sud-Ouest,Membre CCPS - CM ,,5 875 $,,X,,
Le Sud-Ouest,"Présidente CCU - CM (fin 3 déc. 2015, 3 526 $/année)",,3 256 $,,X,,
"THIÉBAUT, Sophie",Conseillère d'arrondissement - CM,,30 556 $,X,,36 431 $,15 976 $
Le Sud-Ouest,Membre CDSDM - CM ,,5 875 $,,X,,
"VAILLANCOURT, Alain",Conseiller d’arrondissement - CM,,30 556 $,X,,30 556 $,15 278 $
Le Sud-Ouest,,,,,,,
"CÔTÉ, Stéphane",Conseiller d’arrondissement - CM,,30 556 $,X,,34 082 $,15 976 $
L'Île-Bizard–Sainte-Geneviève,Président CCU - CM ,,3 526 $,,X,,
"DUGAS, Éric",Conseiller d’arrondissement - CM ,,30 556 $,X,,30 556 $,15 278 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LAROCQUE, Christian",Conseiller d’arrondissement - CM ,,30 556 $,X,,30 556 $,15 278 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LÉVESQUE-RENÉ, Jean-Dominic",Conseiller d’arrondissement - CM ,,30 556 $,X,,30 556 $,15 278 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"MARINACCI, Normand",Conseiller de la ville - CM,,52 887 $,X,,70 515 $,15 976 $
L'Île-Bizard–Sainte-Geneviève,Maire d’arrondissement - CM ,,11 753 $,,X,,
L'Île-Bizard–Sainte-Geneviève,Membre CPC - CM ,,5 875 $,,X,,
"BOIVIN ROY, Karine",Conseillère de la ville et membre CA Ville-Marie - CM ,,70 095 $,X,,105 621 $,15 976 $
Mercier–Hochelaga-Maisonneuve,Conseillère associée - CM,,17 628 $,,X,,
Mercier–Hochelaga-Maisonneuve,Vice-présidente CEC - CM,,11 753 $,,X,,
Mercier–Hochelaga-Maisonneuve,Présidente CCU - CM ,,3 526 $,,X,,
Mercier–Hochelaga-Maisonneuve,Présidente CCU - CA ,,2 000 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Mairesse suppl. d’arr. - CA (déc. 2014 - mars 2015, 825 $/quadrimestre)",,619 $,,X,,
"CALDWELL, Éric Alan",Conseiller de la ville - CM ,,52 887 $,X,,69 287 $,15 976 $
Mercier–Hochelaga-Maisonneuve,"Membre CIG - CM (début 16 juin 2015, 5 875 $/année)",,3 203 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Membre CDEUH - CM (début 16 juin 2015, 5 875 $/année)",,3 203 $,,X,,
Mercier–Hochelaga-Maisonneuve,Président CCU - CM ,,3 526 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Membre du conseil d'agglomération - CG (fin 18 juin 2015, 10 999 $/année)",,5 093 $,X,,,
Mercier–Hochelaga-Maisonneuve,"Membre CSADM - CG (fin 18 juin 2015, max1 5 500 $/année)",,550 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Maire suppl. d’arr. - CA (août - nov. 2015, 825 $/quadrimestre)",,825 $,,X,,
"CELZI, Richard",Conseiller de la ville - CM,,52 887 $,X,,77 829 $,15 976 $
Mercier–Hochelaga-Maisonneuve,"Membre CFA - CM (fin 18 août 2015, 5 875 $/année)",,3 702 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CEC - CM,,5 875 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CSP - CG (début 20 août 2015),Max1,5 500 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Maire suppl. d’arr. - CA (avril - juil. 2015, 825 $/quadrimestre)",,825 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre régulier CCU ,,1 540 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CACMM - CMM,Max2,7 500 $,,X,,
"LAVIGNE LALONDE, Laurence",Conseillère de la ville - CM ,,52 887 $,X,,62 189 $,15 976 $
Mercier–Hochelaga-Maisonneuve,"Vice-présidente CDEUH - CM (début 16 juin 2015, 11 753 $/année) ",,6 408 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Membre CFA - CM (fin 16 juin 2015, 5 875 $/année)",,2 688 $,,X,,
Mercier–Hochelaga-Maisonneuve,"Mairesse suppl. d’arr. - CA (déc. 2015 - mars 2016, 825 $/quadrimestre) ",,206 $,,X,,
"MÉNARD, Réal",Conseiller de la ville - CM,,52 887 $,X,,127 964 $,15 976 $
Mercier–Hochelaga-Maisonneuve,Maire d'arrondissement - CM,,25 855 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre du CE - CM,,41 722 $,,X,,
Mercier–Hochelaga-Maisonneuve,Membre CENV - CMM,Max2,7 500 $,,X,,
"DEGUIRE, Gilles",Conseiller de la ville - CM,,52 887 $,X,,122 393 $,15 976 $
Montréal-Nord,Maire d'arrondissement - CM,,17 628 $,,X,,
Montréal-Nord,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
Montréal-Nord,Membre CSADM - CG,Max1,5 500 $,,X,,
Montréal-Nord,"Président CCU - CM (début 7 déc. 2015, 3 526 $/année)",,242 $,,X,,
Montréal-Nord,"Président CCU - CA (début 7 déc. 2015, 2 000 $/année)",,137 $,,X,,
Montréal-Nord,Membre du conseil - CMM,,10 000 $,X,,,
Montréal-Nord,Membre du comité exécutif - CMM,,25 000 $,,X,,
Montréal-Nord,Membre CACMM - CMM (max2 7 500 $ réduit à 0 $5),,0 $,,X,,
"GIBEAU, Jean-Marc",Conseiller de la ville et membre CA Ville-Marie - CM,,70 095 $,X,,101 625 $,15 976 $
Montréal-Nord,Conseiller associé - CM,,17 628 $,,X,,
Montréal-Nord,Membre CPC - CM,,5 875 $,,X,,
Montréal-Nord,Membre CIG - CM,,5 875 $,,X,,
Montréal-Nord,"Président CCU - CM (fin 6 déc. 2015, 3 526 $/année réduit à 2 310 $/année 4)",,2 152 $,,X,,
Montréal-Nord,"Président CCU - CA (fin 6 déc. 2015, 2 000 $/année réduit à 0 $4)",,0 $,,X,,
"Lo BIANCO, Sylvia",Conseillère d’arrondissement - CM,,30 556 $,X,,48 184 $,15 976 $
Montréal-Nord,Vice-présidente CDSDM - CM,,11 753 $,,X,,
Montréal-Nord,Membre CDEUH - CM,,5 875 $,,X,,
"RICOURT, Monica",Conseillère d’arrondissement - CM,,30 556 $,X,,41 931 $,15 976 $
Montréal-Nord,Membre CTTP - CM,,5 875 $,,X,,
Montréal-Nord,Membre CSP - CG,Max1,5 500 $,,X,,
"ROSSI, Chantal",Conseillère de la ville - CM,,52 887 $,X,,76 390 $,15 976 $
Montréal-Nord,Conseillère associée - CM ,,17 628 $,,X,,
Montréal-Nord,Membre CDSDM - CM,,5 875 $,,X,,
"CINQ-MARS, Marie",Conseillère de la ville - CM,,52 887 $,X,,86 390 $,15 976 $
Outremont,Mairesse d’arrondissement - CM,,11 753 $,,X,,
Outremont,Membre CCPS - CM,,5 875 $,,X,,
Outremont,Membre CEC - CM,,5 875 $,,X,,
Outremont,Membre du conseil - CMM,,10 000 $,X,,,
"FORGET, Céline",Conseillère d’arrondissement - CM ,,30 556 $,X,,30 556 $,15 278 $
Outremont,,,,,,,
"GREMAUD, Jacqueline",Conseillère d’arrondissement - CM ,,30 556 $,X,,34 082 $,15 976 $
Outremont,Présidente CCU - CM ,,3 526 $,,X,,
"POLLAK, Mindy",Conseillère d’arrondissement - CM ,,30 556 $,X,,30 556 $,15 278 $
Outremont,,,,,,,
"POTVIN, Marie","Conseillère d’arrondissement - CM (début 1er avril 2015, 30 556 $/année)",,23 022 $,X,,30 152 $,11 933 $
Outremont,"Membre CEEDDGP - CM (début 25 mai 2015, 5 875 $/année)",,3 557 $,,X,,
(Assermentée le 1er avril 2015),"Membre CDEUH - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
,"Membre CCPS - CM (25 mai - 18 août 2015, 5 875 $/année) ",,1 384 $,,X,,
"BEIS, Dimitrios (Jim)",Conseiller de la ville - CM,,52 887 $,X,,130 736 $,15 976 $
Pierrefonds-Roxboro,Maire d’arrondissement - CM,,17 628 $,,X,,
Pierrefonds-Roxboro,Membre du CE - CM ,,41 722 $,,X,,
Pierrefonds-Roxboro,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
Pierrefonds-Roxboro,Membre CACMM - CMM,Max2,7 500 $,,X,,
"CLÉMENT-TALBOT, Catherine",Conseillère de la ville - CM,,52 887 $,X,,92 202 $,15 976 $
Pierrefonds-Roxboro,Membre CEEDDGP - CM ,,5 875 $,,X,,
Pierrefonds-Roxboro,Présidente CCU - CM,,3 526 $,,X,,
Pierrefonds-Roxboro,Membre CPC - CM,,5 875 $,,X,,
Pierrefonds-Roxboro,"Membre CFA - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
Pierrefonds-Roxboro,"Membre CSP - CG (fin 20 août 2015, max1 5 500 $/année) ",,1 650 $,,X,,
Pierrefonds-Roxboro,Membre du conseil - CMM,,10 000 $,X,,,
Pierrefonds-Roxboro,Membre CENV - CMM,Max2,7 500 $,,X,,
Pierrefonds-Roxboro,Présidente CSSR - CA,,2 700 $,,X,,
"GIGNAC, Yves",Conseiller d’arrondissement - CM,,30 556 $,X,,36 431 $,15 976 $
Pierrefonds-Roxboro,Membre CFA - CM,,5 875 $,,X,,
"McINTYRE, Justine",Conseillère de la ville - CM,,52 887 $,X,,62 287 $,15 976 $
Pierrefonds-Roxboro,Membre CFA - CM ,,5 875 $,,X,,
Pierrefonds-Roxboro,"Membre CIG - CM (fin 24 mars 2015, 5 875 $/année)",,1 336 $,,X,,
Pierrefonds-Roxboro,"Membre CDSDM - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
"TROTTIER, Roger",Conseiller d’arrondissement - CM ,,30 556 $,X,,30 556 $,15 278 $
Pierrefonds-Roxboro,,,,,,,
"DÉCARIE, Suzanne",Conseillère de la ville - CM,,52 887 $,X,,79 891 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,Conseillère associée - CM ,,17 628 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CTTP - CM ,,5 875 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Présidente CCI - CA,,3 501 $,,X,,
"DÉZIEL, Gilles",Conseiller d’arrondissement - CM,,30 556 $,X,,41 931 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CEEDDGP - CM ,,5 875 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CSP - CG,Max1,5 500 $,,X,,
"GUAY, Richard",Conseiller de la ville - CM ,,52 887 $,X,,85 807 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,Conseiller associé - CM ,,17 628 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CFA - CM,,5 875 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CDEUH - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CDSDM - CM (fin 18 août 2015, 5 875 $/année)",,3 702 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Président CCU - CM ,,3 526 $,,X,,
"GUEDES, Manuel",Conseiller d’arrondissement - CM ,,30 556 $,X,,42 306 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 875 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CEC - CM,,5 875 $,,X,,
"PIERRE-ANTOINE, Nathalie",Conseillère d’arrondissement - CM,,30 556 $,X,,63 460 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 875 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CASTM - STM,,21 779 $,X,,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CSAC, CRH, CGEDD - STM ",Max3,5 250 $,,X,,
"RAPANÀ, Giovanni",Conseiller de la ville - CM ,,52 887 $,X,,75 873 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,"Président CDEUH - CM (fin 18 août 2015, 17 628 $/année)",,11 108 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CPC - CM (fin 25 mai 2015, 5 875 $/année réduit à 0 $6)",,0 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CCPS - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,"Membre CDSDM - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CLS - CMM,Max2,7 500 $,,X,,
"ROULEAU, Chantal",Conseillère de la ville - CM ,,52 887 $,X,,146 636 $,15 976 $
Rivière-des-Prairies–Pointe-aux-Trembles,Mairesse d'arrondissement - CM,,25 855 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre du CE - CM ,,41 722 $,,X,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre du conseil d'agglomération - CG ,,10 999 $,X,,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre du conseil - CMM,,10 000 $,X,,,
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CDEEMF - CMM (max2 7 500 $ réduit à max2 5 173 $4),Max2,5 173 $,,X,,
"CROTEAU, François William",Conseiller de la ville - CM,,52 887 $,X,,82 046 $,15 976 $
Rosemont–La Petite-Patrie,Maire d’arrondissement - CM,,25 855 $,,X,,
Rosemont–La Petite-Patrie,"Président CCU - CM (fin 8 déc. 2015, 3 526 $/année)",,3 304 $,,X,,
"DUCHESNE, Érika",Conseillère de la ville - CM,,52 887 $,X,,64 672 $,15 976 $
Rosemont–La Petite-Patrie,"Vice-présidente CIG - CM (début 16 juin 2015, 11 753 $/année)",,6 408 $,,X,,
Rosemont–La Petite-Patrie,"Vice-présidente du conseil - CM (fin 16 juin 2015, 11 753 $/année)",,5 377 $,,X,,
"GADOURY, Marc-André",Conseiller de la ville - CM,,52 887 $,X,,70 482 $,15 976 $
Rosemont–La Petite-Patrie,"Leader de l'opposition - CM (fin 6 août 2015, 17 628 $/année)",,10 529 $,,X,,
Rosemont–La Petite-Patrie,"Membre CPC - CM (fin 16 juin 2015, 5 875 $/année)",,2 688 $,,X,,
Rosemont–La Petite-Patrie,"Membre CEC - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
Rosemont–La Petite-Patrie,"Membre CTTP - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
"LAVOIE, Guillaume",Conseiller de la ville - CM,,52 887 $,X,,64 640 $,15 976 $
Rosemont–La Petite-Patrie,Vice-président CFA - CM ,,11 753 $,,X,,
"LIMOGES, François",Conseiller de la ville - CM,,52 887 $,X,,62 595 $,15 976 $
Rosemont–La Petite-Patrie,"Vice-président CPC - CM (début 16 juin 2015, 11 753 $/année)",,6 408 $,,X,,
Rosemont–La Petite-Patrie,"Vice-président CSP - CG (fin 18 juin 2015, max1 10 999 $/année)",,3 300 $,,X,,
"BIRON, Michèle D.",Conseillère d’arrondissement - CA,,42 309 $,X,,59 937 $,15 976 $
Saint-Laurent,Présidente CCPS - CM,,17 628 $,,X,,
Saint-Laurent,"Membre CEEDDGP - CM (fin 25 mai 2015, 5 875 $/année réduit à 0 $6)",,0 $,,X,,
