nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"GIGUÈRE, Marianne",Conseillère d’arrondissement - CM,,30 134 $,X,,35 928 $,15 787 $
Le Plateau-Mont-Royal,Membre CEC - CM,,5 794 $,,X,,
"GOSSELIN, Christine",Conseillère d’arrondissement - CM ,,30 134 $,X,,36 501 $,15 787 $
Le Plateau-Mont-Royal,Mairesse suppl. d'arr. - CA ,,6 367 $,,X,,
"MAINVILLE, Louise",Conseillère de la ville - CM,,52 157 $,X,,63 748 $,15 787 $
Le Plateau-Mont-Royal,Vice-présidente CDEUH - CM,,11 591 $,,X,,
"NORRIS, Alex",Conseiller de la ville - CM,,52 157 $,X,,63 748 $,15 787 $
Le Plateau-Mont-Royal,Vice-président CTTP - CM ,,11 591 $,,X,,
"PLOURDE, Marie",Conseillère d’arrondissement - CM,,30 134 $,X,,55 390 $,15 787 $
Le Plateau-Mont-Royal,Présidente CCU - CM,,3 477 $,,X,,
,Membre CASTM - STM,,21 779 $,X,,,
"RYAN, Richard",Conseiller de la ville - CM,,52 157 $,X,,63 748 $,15 787 $
Le Plateau-Mont-Royal,Vice-président CCPS - CM,,11 591 $,,X,,
"DORAIS, Benoit",Conseiller de la ville - CM,,52 157 $,X,,105 123 $,15 787 $
Le Sud-Ouest,Maire d'arrondissement - CM,,17 385 $,,X,,
,Président CDSDM - CM,,17 385 $,,X,,
,"Vice-président CIG - CM (début 25 mars 2014, 11 591 $/année réduit à 0 $6)",,0 $,,X,,
,Membre du conseil d'agglomération - CG ,,10 847 $,X,,,
,"Membre CLS - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"SAUVÉ, Craig",Conseiller de la ville - CM,,52 157 $,X,,57 951 $,15 787 $
Le Sud-Ouest,Membre CTTP - CM,,5 794 $,,X,,
"SIGOUIN, Anne-Marie",Conseillère de la ville - CM,,52 157 $,X,,61 152 $,15 787 $
Le Sud-Ouest,Membre CCPS - CM ,,5 794 $,,X,,
,"Présidente CCU - CM (fin 2 déc. 2014, 3 477 $/année)",,3 201 $,,X,,
"THIÉBAUT, Sophie",Conseillère d'arrondissement - CM,,30 134 $,X,,35 928 $,15 787 $
Le Sud-Ouest,Membre CDSDM - CM ,,5 794 $,,X,,
"VAILLANCOURT, Alain",Conseiller d’arrondissement - CM,,30 134 $,X,,30 134 $,15 067 $
Le Sud-Ouest,,,,,,,
"CÔTÉ, Stéphane",Conseiller d’arrondissement - CM,,30 134 $,X,,33 611 $,15 787 $
L'Île-Bizard–Sainte-Geneviève,Président CCU - CM ,,3 477 $,,X,,
"DUGAS, Éric",Conseiller d’arrondissement - CM ,,30 134 $,X,,30 134 $,15 067 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LAROCQUE, Christian",Conseiller d’arrondissement - CM ,,30 134 $,X,,30 134 $,15 067 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"LÉVESQUE-RENÉ, Jean-Dominic",Conseiller d’arrondissement - CM ,,30 134 $,X,,30 134 $,15 067 $
L'Île-Bizard–Sainte-Geneviève,,,,,,,
"MARINACCI, Normand",Conseiller de la ville - CM,,52 157 $,X,,69 542 $,15 787 $
L'Île-Bizard–Sainte-Geneviève,Maire d’arrondissement - CM ,,11 591 $,,X,,
,Membre CPC - CM ,,5 794 $,,X,,
"BOIVIN ROY, Karine",Conseillère de la ville et membre CA Ville-Marie - CM ,,69 127 $,X,,100 944 $,15 787 $
Mercier–Hochelaga-Maisonneuve,Conseillère associée - CM,,17 385 $,,X,,
,"Vice-présidente CEC - CM (début 25 mars 2014, 11 591 $/année)",,8 955 $,,X,,
,Présidente CCU - CM,,3 477 $,,X,,
,Présidente CCU - CA ,,2 000 $,,X,,
"CALDWELL, Éric Alan",Conseiller de la ville - CM ,,52 157 $,X,,72 719 $,15 787 $
Mercier–Hochelaga-Maisonneuve,Président CCU - CM,,3 477 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,"Membre CSADM - CG (début 18 sept. 2014, max1 5 424 $/année)",Max1,5 424 $,,X,,
,"Maire suppl. d’arr. - CA (avril - juil. 2014, 814 $/quadrimestre)",,814 $,,X,,
"CELZI, Richard",Conseiller de la ville - CM,,52 157 $,X,,73 224 $,15 787 $
Mercier–Hochelaga-Maisonneuve,Membre CFA - CM ,,5 794 $,,X,,
,Membre CEC - CM,,5 794 $,,X,,
,Membre régulier CCU - CA,,1 519 $,,X,,
,"Maire suppl. d’arr. - CA (déc. 2013 - mars 2014, 814 $/quadrimestre)",,611 $,,X,,
,"Membre CACMM - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"LAVIGNE LALONDE, Laurence",Conseillère de la ville - CM ,,52 157 $,X,,58 765 $,15 787 $
Mercier–Hochelaga-Maisonneuve,Membre CFA - CM,,5 794 $,,X,,
,"Mairesse suppl. d’arr. - CA (août - nov. 2014, 814 $/quadrimestre)",,814 $,,X,,
"MÉNARD, Réal",Conseiller de la ville - CM,,52 157 $,X,,126 150 $,15 787 $
Mercier–Hochelaga-Maisonneuve,Maire d'arrondissement - CM,,25 498 $,,X,,
,Membre du CE - CM,,41 146 $,,X,,
,"Membre CENV - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"DEGUIRE, Gilles",Conseiller de la ville - CM,,52 157 $,X,,119 306 $,15 787 $
Montréal-Nord,Maire d'arrondissement - CM,,17 385 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,"Membre CSADM - CG (début 27 mars 2014, max1 5 424 $/année)",Max1,5 424 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Membre du comité exécutif - CMM (début 23 janv. 2014, 25 000 $/année)",,23 493 $,,X,,
,"Membre CACMM - CMM (début 23 janv. 2014, max2 7 500 $/année réduit à 0 $5)",,0 $,,X,,
"GIBEAU, Jean-Marc",Conseiller de la ville et membre CA Ville-Marie - CM,,69 127 $,X,,102 601 $,15 787 $
Montréal-Nord,Conseiller associé - CM,,17 385 $,,X,,
,Membre CPC - CM,,5 794 $,,X,,
,"Membre CIG - CM (début 26 mars 2014, 5 794 $/année)",,4 461 $,,X,,
,"Vice-président CEC - CM (fin 25 mars 2014, 11 591 $/année)",,2 668 $,,X,,
,Président CCU - CM (3 477 $ réduit à 2 706 $4),,2 706 $,,X,,
,Président CCU - CA (2 000 $ réduit à 460 $4),,460 $,,X,,
"Lo BIANCO, Sylvia",Conseillère d’arrondissement - CM,,30 134 $,X,,47 519 $,15 787 $
Montréal-Nord,Vice-présidente CDSDM - CM,,11 591 $,,X,,
,Membre CDEUH - CM ,,5 794 $,,X,,
,"Membre CEC - CM (fin 29 avril 2014, 5 794 $/année réduit à 0 $6)",,0 $,,X,,
"RICOURT, Monica",Conseillère d’arrondissement - CM,,30 134 $,X,,41 352 $,15 787 $
Montréal-Nord,Membre CTTP - CM,,5 794 $,,X,,
,Membre CSP - CG,Max1,5 424 $,,X,,
"ROSSI, Chantal",Conseillère de la ville - CM,,52 157 $,X,,75 336 $,15 787 $
Montréal-Nord,Conseillère associée - CM ,,17 385 $,,X,,
,Membre CDSDM - CM,,5 794 $,,X,,
"CARDYN, Lucie",Conseillère d’arrondissement - CM,,30 134 $,X,,30 134 $,15 067 $
Outremont,,,,,,,
"CINQ-MARS, Marie",Conseillère de la ville - CM,,52 157 $,X,,84 018 $,15 787 $
Outremont,Mairesse d’arrondissement - CM,,11 591 $,,X,,
,Membre CCPS - CM,,5 794 $,,X,,
,"Membre CEC - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
"FORGET, Céline",Conseillère d’arrondissement - CM ,,30 134 $,X,,30 134 $,15 067 $
Outremont,,,,,,,
"GREMAUD, Jacqueline",Conseillère d’arrondissement - CM ,,30 134 $,X,,33 611 $,15 787 $
Outremont,Présidente CCU - CM,,3 477 $,,X,,
"POLLAK, Mindy",Conseillère d’arrondissement - CM ,,30 134 $,X,,30 134 $,15 067 $
Outremont,,,,,,,
"BEIS, Dimitrios (Jim)",Conseiller de la ville - CM,,52 157 $,X,,128 884 $,15 787 $
Pierrefonds-Roxboro,Maire d’arrondissement - CM,,17 385 $,,X,,
,Membre du CE - CM ,,41 146 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,"Membre CACMM - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"CLÉMENT-TALBOT, Catherine",Conseillère de la ville - CM,,52 157 $,X,,88 677 $,15 787 $
Pierrefonds-Roxboro,Membre CEEDDGP - CM ,,5 794 $,,X,,
,Présidente CCU - CM,,3 477 $,,X,,
,"Membre CPC - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
,Membre CSP - CG ,Max1,5 424 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Membre CENV - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"GIGNAC, Yves",Conseiller d’arrondissement - CM,,30 134 $,X,,37 261 $,15 787 $
Pierrefonds-Roxboro,Membre CFA - CM ,,5 794 $,,X,,
,"Membre CDEUH - CM (fin 25 mars 2014, 5 794 $/année)",,1 333 $,,X,,
"McINTYRE, Justine",Conseillère de la ville - CM,,52 157 $,X,,62 427 $,15 787 $
Pierrefonds-Roxboro,Membre CFA - CM ,,5 794 $,,X,,
,"Membre CIG - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
"TROTTIER, Roger",Conseiller d’arrondissement - CM ,,30 134 $,X,,30 134 $,15 067 $
Pierrefonds-Roxboro,,,,,,,
"DÉCARIE, Suzanne",Conseillère de la ville - CM,,52 157 $,X,,78 534 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Conseillère associée - CM ,,17 385 $,,X,,
,Membre CTTP - CM ,,5 794 $,,X,,
,"Présidente CCI - CA (fin 4 déc. 2014, 3 453 $/année)",,3 198 $,,X,,
"DÉZIEL, Gilles",Conseiller d’arrondissement - CM,,30 134 $,X,,41 352 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CEEDDGP - CM ,,5 794 $,,X,,
,Membre CSP - CG,Max1,5 424 $,,X,,
"GUAY, Richard",Conseiller de la ville - CM ,,52 157 $,X,,83 289 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Conseiller associé - CM ,,17 385 $,,X,,
,Membre CDSDM - CM ,,5 794 $,,X,,
,Président CCU - CM,,3 477 $,,X,,
,"Membre CFA - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
"GUEDES, Manuel",Conseiller d’arrondissement - CM ,,30 134 $,X,,41 182 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 794 $,,X,,
,"Membre CEC - CM (début 29 avril 2014, 5 794 $/année)",,3 921 $,,X,,
,"Membre CFA - CM (fin 25 mars 2014, 5 794 $/année)",,1 333 $,,X,,
"PIERRE-ANTOINE, Nathalie",Conseillère d’arrondissement - CM,,30 134 $,X,,62 957 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Membre CCPS - CM ,,5 794 $,,X,,
,Membre CASTM - STM,,21 779 $,X,,,
,"Membre CSAC, CRH, CGEDD - STM ",Max3,5 250 $,,X,,
"RAPANÀ, Giovanni",Conseiller de la ville - CM ,,52 157 $,X,,76 891 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Président CDEUH - CM ,,17 385 $,,X,,
,Membre CPC - CM (5 794 réduit à 0 $6),,0 $,,X,,
,"Membre CLS - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"ROULEAU, Chantal",Conseillère de la ville - CM ,,52 157 $,X,,144 897 $,15 787 $
Rivière-des-Prairies–Pointe-aux-Trembles,Mairesse d'arrondissement - CM,,25 498 $,,X,,
,Membre du CE - CM ,,41 146 $,,X,,
,Membre du conseil d'agglomération - CG ,,10 847 $,X,,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Membre CDEEMF - CMM (début 23 janv. 2014, max2 7 500 $/année réduit à max2 5 249 $/année4)",Max2,5 249 $,,X,,
"CROTEAU, François William",Conseiller de la ville - CM,,52 157 $,X,,81 132 $,15 787 $
Rosemont–La Petite-Patrie,Maire d’arrondissement - CM,,25 498 $,,X,,
,Président CCU - CM ,,3 477 $,,X,,
"DUCHESNE, Érika",Conseillère de la ville - CM,,52 157 $,X,,63 748 $,15 787 $
Rosemont–La Petite-Patrie,Vice-présidente du conseil - CM,,11 591 $,,X,,
"GADOURY, Marc-André",Conseiller de la ville - CM,,52 157 $,X,,75 336 $,15 787 $
Rosemont–La Petite-Patrie,Leader de l'opposition - CM ,,17 385 $,,X,,
,Membre CPC - CM,,5 794 $,,X,,
"LAVOIE, Guillaume",Conseiller de la ville - CM,,52 157 $,X,,63 748 $,15 787 $
Rosemont–La Petite-Patrie,Vice-président CFA - CM ,,11 591 $,,X,,
"LIMOGES, François",Conseiller de la ville - CM,,52 157 $,X,,63 004 $,15 787 $
Rosemont–La Petite-Patrie,Vice-président CSP - CG ,Max1,10 847 $,,X,,
"BIRON, Michèle D.",Conseillère d’arrondissement - CA,,41 726 $,X,,62 588 $,15 787 $
Saint-Laurent,Présidente CCPS - CM,,17 385 $,,X,,
,Membre CEEDDGP - CM (5 794 $ réduit à 0 $6),,0 $,,X,,
,Présidente CCU - CM,,3 477 $,,X,,
"COHEN, Maurice",Conseiller d’arrondissement - CA,,41 726 $,X,,53 314 $,15 787 $
Saint-Laurent,Membre CTTP - CM ,,5 794 $,,X,,
,Membre CDEUH - CM,,5 794 $,,X,,
"DeSOUSA, Alan",Conseiller de la ville - CM,,52 157 $,X,,131 267 $,15 787 $
Saint-Laurent,Maire d’arrondissement - CM,,17 385 $,,X,,
,Président CFA - CM ,,17 385 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,Membre du conseil - CMM ,,10 000 $,X,,,
,"Membre du comité exécutif - CMM (début 23 janv. 2014, 25 000 $/année)",,23 493 $,,X,,
"MIELE, Francesco",Conseiller de la ville - CM,,52 157 $,X,,121 002 $,15 787 $
Saint-Laurent,Leader de la majorité - CM,,28 975 $ ,,X,,
,Vice-président CPC - CM ,,11 591 $,,X,,
,Membre CASTM - STM ,,21 779 $,X,,,
,Président CGEDD - STM ,Max3,3 000 $,,X,,
,Vice-président CV - STM,Max3,1 750 $,,X,,
,Membre Transgesco - STM ,Max3,1 750 $,,X,,
"SALEM, Aref",Conseiller de la ville - CM ,,52 157 $,X,,121 499 $,15 787 $
Saint-Laurent,Membre du CE - CM ,,41 146 $,,X,,
,Membre du conseil d'agglomération - CG ,,10 847 $,X,,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Membre CT - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"BATTISTA, Mario",Conseiller d’arrondissement - CA,,40 709 $,X,,40 709 $,15 787 $
Saint-Léonard,,,,,,,
"BISSONNET, Michel",Conseiller de la ville - CM ,,52 157 $,X,,94 276 $,15 787 $
Saint-Léonard,Maire d’arrondissement - CM ,,17 385 $,,X,,
,Président CTTP - CM,,17 385 $,,X,,
,"Membre CPC - CM (fin 25 mars 2014, 5 794 $/année réduit à 0 $6)",,0 $,,X,,
,"Membre CT - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"MOSCHELLA, Domenico",Conseiller de la ville - CM,,52 157 $,X,,52 157 $,15 787 $
Saint-Léonard,,,,,,,
"PERRI, Dominic",Conseiller de la ville - CM,,52 157 $,X,,87 416 $,15 787 $
Saint-Léonard,Vice-président CEEDDGP - CM,,11 591 $,,X,,
,Membre CFA - CM,,5 794 $,,X,,
,Président CCU - CM ,,3 477 $,,X,,
,"Président CACMM - CMM (début 23 janv. 2014, max2 15 000 $/année)",Max2,14 397 $,,X,,
"TREMBLAY, Lili-Anne",Conseillère d’arrondissement - CA,,40 709 $,X,,56 773 $,15 787 $
Saint-Léonard,Membre CEC - CM ,,5 794 $,,X,,
,Membre CDEUH - CM,,5 794 $,,X,,
,"Membre CIG - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
"BRUNET, Marie-Eve",Conseillère d’arrondissement - CA,,37 315 $,X,,56 448 $,15 787 $
Verdun,Membre CEEDDGP - CM,,5 794 $,,X,,
,Membre CDSDM - CM,,5 794 $,,X,,
,"Membre CSP - CG (début 27 fév. 2014, max1 5 424 $/année)",Max1,5 424 $,,X,,
,"Présidente CCSP - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
"DOWNEY, Sterling",Conseiller de la ville - CM ,,52 157 $,X,,60 072 $,15 787 $
Verdun,Membre CDSDM - CM ,,5 794 $,,X,,
,"Président CDC - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
"GAGNON, Luc",Conseiller d’arrondissement - CA,,37 315 $,X,,39 436 $,15 787 $
Verdun,"Président CUHP - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
"GAUTHIER, Manon",Conseillère de la ville - CM,,52 157 $,X,,122 512 $,15 787 $
Verdun,Membre du CE - CM ,,41 146 $,,X,,
,"Membre CIG - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
,"Présidente CCC - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
,"Mairesse suppl. d’arr. - CA (mai - août 2014, 141 $/mois)",,564 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Vice-président CLS - CMM (début 23 janv. 2014, max2 12 500 $/année)",Max2,12 048 $,,X,,
,"Membre CDEEMF - CMM (début 23 janv. 2014, max2 7 500 $/année réduit à 0 $5)",,0 $,,X,,
"L’HEUREUX, Pierre",Conseiller d’arrondissement - CA,,37 315 $,X,,51 024 $,15 787 $
Verdun,Membre CTTP - CM ,,5 794 $,,X,,
,Membre CCPS - CM,,5 794 $,,X,,
,"Président CSL - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
"MAUGER, Marie-Andrée",Conseillère d’arrondissement - CA,,37 315 $,X,,40 000 $,15 787 $
Verdun,"Présidente CDD - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
,"Mairesse suppl. d’arr. - CA (janv. - avril 2014, 141 $/mois)",,564 $,,X,,
"PARENTEAU, Jean-François",Conseiller de la ville - CM,,52 157 $,X,,100 576 $,15 787 $
Verdun,Maire d’arrondissement - CM ,,17 385 $,,X,,
,Conseiller associé - CM,,17 385 $,,X,,
,"Président CTP - CA (début 9 janv. 2014, 2 169 $/année)",,2 121 $,,X,,
,"Président CDEL - CA (début 9 janv. 2014, 2 169 $/année réduit à 0 $8)",,0 $,,X,,
,Membre CASTM - STM (21 779 $ réduit à 11 528 $4),,11 528 $,X,,,
,Président CSA - STM (max3 3 000 $ réduit à 0 $4),,0 $,,X,,
,"Membre CF, Transgesco - STM (max3 3 500 $ réduit à 0 $4)",,0 $,,X,,
"BERGERON, Richard",Conseiller de la ville - CM,,52 157 $,X,,106 735 $,15 787 $
Ville-Marie,Chef de l’opposition - CM,,41 146 $,,X,,
,"Président CIG - CM (début 25 mars 2014, 17 385 $/année)",,13 432 $,,X,,
