id,Nom,Description Long Français,* Arrondissement ou pôle,* Gratuit / Payant,* Intérêts / Type d'événement,* Intérieur / Extérieur,Dates de présentation de l'événement/activité,Lieux
265,(Pour archives) Les Ruelles enchantées,,Mercier–Hochelaga-Maisonneuve,Gratuit,Famille et jeunesse/Théâtre et variété/Événements de quartier,Extérieur,27 juin au 20 août,Ruelles de Mercier Hochelaga-Maisonneuve
367,(Pour archives) Quartiers improvisés,"Un rendez-vous en plein-air où, chaque mois, on convie les citoyens dans un lieu différent de l'arrondissement où ils assistent à un spectacle d'improvisation sur des thèmes reliés au quartier visité.",Ville-Marie,Gratuit,Famille et jeunesse/Histoire et patrimoine/Théâtre et variété/Événements de quartier,Extérieur,31 décembre 2016 au 30 décembre 2017 (dates à confirmer),Divers lieux du quartier
9,100 % Montréal,"Qui sont vraiment les Montréalais ? Que pensent-ils ? Devant nous, 100 citoyens représentent 100 % de la population. Hommes, femmes ou trans, adultes, enfants ou ados, ils cartographient Montréal dans un exercice d’autoreprésentation vibrant et jubilatoire.Dans ce coup de sonde des maîtres du théâtre documentaire, le collectif Rimini Protokoll permet aux Montréalais de s’observer tels qu’ils sont. Qui évite de payer ses impôts ? Qui est contre le port du voile dans l’espace public ? Qui a déjà trompé son ou sa partenaire ? Sans filtre et sans faux-fuyant, les courageux participants de 100 % Montréal répondent à toutes les questions, des plus banales aux plus graves. Se déplaçant sur la scène comme dans un diagramme organique — jamais des statistiques n’auront été aussi vivantes ! – ils incarnent l’opinion publique de manière sensible, donnant à voir ses mouvements imprévisibles avec fracas. Un regard franc sur les identités multiples de notre ville. Un spectacle de Rimini ProtokollConception et mise en scène : Helgard Haug + Stefan Kaegi + Daniel Wetzel Scénographie : Marc Jungreithmeier + Marscha Mazur Interprétation : 100 Montréalais",Ville-Marie/Quartier des spectacles,Payant,Théâtre et variété/Arts visuels,Intérieur,Du 25 au 28 mai 2017,Théâtre Jean-Duceppe
115,100e LNH - Original 6,,,,,,À venir,
880,10e anniversaire de la Déclaration des Nations Unies sur les droits des peuples autochtones,"Montréal célèbre la richesse et la vitalité des cultures autochtones à travers le monde! Dans le cadre des 10 ans de la Déclaration des Nations Unies sur les droits des peuples autochtones (UNDRIP), de multiples activités festives et éducatives sont organisées au Vieux-Port et au Palais des congrès. Autant d’occasions pour découvrir et échanger sur les réalités autochtones. Cet événement est organisé par l’Assemblée des Premières Nations Québec-Labrador (APNQL), avec la Ville de Montréal et la Commission canadienne pour l’UNESCO. Il s’adresse à tous les citoyens, curieux ou sensibilisés, autochtones ou allochtones. Mardi 12 septembre, 17h15, Palais des congrès : Soirée d’ouverture (inscriptions obligatoires sur www.undrip10.org/billets)Mercredi 13 septembre, 13h45, Palais des congrès : 2 tables ronde sur la réconciliation (inscriptions obligatoires sur www.undrip10.org/billets)Mercredi 13 septembre, 18h-21h30, performances artistiques au Quai Jacques CartierLA VOIX DES NATIONS : UN TOUR DU MONDE MUSICAL EN PLEIN COEUR DE MONTRÉALCélébrez avec nous le 10e anniversaire de la Déclaration des Nations Unies sur les droits des peuples autochtones et laissez-vous envoûter par les percussions, les danses et les chants autochtones du monde entier. Un spectacle grandiose – animé par Charles Bender et Nadine St-Louis – pour célébrer la diversité et découvrir les cultures autochtones!",Ville-Marie/Vieux-Montréal,Gratuit,Danse/Famille et jeunesse/Musique/Histoire et patrimoine/Événements autochtones,Intérieur/Extérieur,12 et 13 septembre,Palais des congrès et Vieux-Port de Montréal
767,3-2-1 Coupez !,"Tous les jours entre 20h et 22h15Le 22 juillet, à 19h et 21h45** Les heures sont sujettes à changement **3-2-1 coupez ! : Tournage du nouveau film du grand réalisateur Chris DubinskyLe film«Lord Crystal: Exoplanètes, comtesses et tourments»En 3022, un Dandy déconfit par la crise financière du Bug de 2945, vagabonde de station spatiale en station spéciale, afin d’oublier son passé. Et si le passé n’était en fait... que le futur?Le réalisateurLe Néerlandais Chris Dubinsky (Varso-vies sur Mars, Fusées et soumissions (Patte d’Ours d’or) débarque à Montréal après un voyage spatio-temporel depuis 3022. Il vient tourner à notre époque afin de dénicher quelques centaines de figurants non rénumérés ayant comme «look» l’homme et la femme de la rue de 2017, des passants en somme.La réputation du réalisateur n’est plus à faire: congédiements, abus de pouvoir et changements de dernière minute, les cinéphiles le proclament depuis 10 ans déjà: le véritable spectacle de ses films, c’est de le voir dans la rue en tournage et non en salle. L’équipeL’équipe de tournage est composée principalement d’humains, mais également de 35% «d’êtres des autres planètes» comme le stipule l’entente sur le libre-travail interplanétaire de la convention de 2091.«Chris est un tyran. Toujours flamboyant, toujours irritant.» - Hollywoood Reporter« Chris est LE réalisateur qui m’a donné envie de tout lâcher. Détestable: un euphémisme. Il est dangereux, arrêtez-le.» -Viggo MortensenLe Théâtre du Futur est un Théâtre Institutionnel Auto-Proclamé. Il naît quelque part en 2011 lorsque Guillaume Tremblay, Olivier Morin et le multi-instrumentiste Navet Confit croisent leurs faisceaux d’amour pour la création du futuriste «Clotaire Rapaille, l’Opéra Rock». L’année suivante, ils pondent «L’Assassinat du Président». A suivi « Épopée Nord », « La Vague Parfaite » (un opéra Surf 100% lyrique) et la « Trilogie du Futur », spectacle-fleuve de 5h30. Leur but : conquérir la planète, minimum, en commençant par la rue. CRÉDITS DU SPECTACLETextes : Mathieu Quesnel et Guillaume TremblayMise en scène : Mathieu QuesnelConception sonore : Navet ConfitConception scénique : Alexandre PaquetDistribution : Martin Skorek, Sarianne Cormier, Francis-William Rhéaume, Guillaume TremblayCrédit photo : Mathieu Quesnel et Julio Charbono",,Gratuit,Famille et jeunesse/Humour/Théâtre et variété,Extérieur,du 17 au 22 juillet,PISTE MAUVE | Rue Émery
391,375 ans dans mon quartier,"Dans le cadre du 375e de Montréal, nous souhaitons inviter les Montréalais à fêter notre vitalité culturelle et artistique dans l’arrondissement Le Sud-Ouest. Nous célébrerons des moments importants de l’histoire de nos quartiers au cours d’une fin de semaine de festivités autour du legs de l’arrondissement. Du 26 au 28 mai, les citoyens pourront suivre des visites guidées et prendre part à un événement spécial lié à l’illumination du pont Jacques-Quartier. Les activités proposées seront complémentaires et cohérentes, pour ce qui est des dates, des espaces publics et des disciplines artistiques, avec les autres projets de quartier soumis par les organismes du milieu ainsi qu’avec le projet à grand déploiement.",Le Sud-Ouest,Gratuit,Famille et jeunesse/Histoire et patrimoine/Événements de quartier,Extérieur,26 au 28 mai,à confirmer
187,375 Berceuses pour Montréal,"375 BERCEUSES POUR MONTRÉAL est une installation sonore participative qui invite à un voyage à bord d'une chaise berçante. Dans un espace-temps suspendu, en contraste avec l'agitation urbaine, ce projet va à la rencontre des citoyens et de leurs berceuses tout en activant la mémoire de sept lieux historiques de l'arrondissement Ville-Marie. Posée dans différents parcs et squares, l'installation permettra de recueillir et de partager 375 chants pour dresser un portrait de Montréal d'aujourd'hui à travers le patrimoine collectif de ses habitants.",Ville-Marie/Centre-ville,Gratuit,Musique/Histoire et patrimoine/Famille et jeunesse/Événements de quartier,Extérieur,28 juillet et 19 août,Square Dorchester
859,375 Berceuses pour Montréal,"375 BERCEUSES POUR MONTRÉAL est une installation sonore participative qui invite à un voyage à bord d'une chaise berçante. Dans un espace-temps suspendu, en contraste avec l'agitation urbaine, ce projet va à la rencontre des citoyens et de leurs berceuses tout en activant la mémoire de sept lieux historiques de l'arrondissement Ville-Marie. Posée dans différents parcs et squares, l'installation permettra de recueillir et de partager 375 chants pour dresser un portrait de Montréal d'aujourd'hui à travers le patrimoine collectif de ses habitants.",Ville-Marie,Gratuit,Famille et jeunesse/Musique/Histoire et patrimoine/Événements de quartier,Extérieur,29 juillet et 18 août,Place De La Dauversière
860,375 Berceuses pour Montréal,"375 BERCEUSES POUR MONTRÉAL est une installation sonore participative qui invite à un voyage à bord d'une chaise berçante. Dans un espace-temps suspendu, en contraste avec l'agitation urbaine, ce projet va à la rencontre des citoyens et de leurs berceuses tout en activant la mémoire de sept lieux historiques de l'arrondissement Ville-Marie. Posée dans différents parcs et squares, l'installation permettra de recueillir et de partager 375 chants pour dresser un portrait de Montréal d'aujourd'hui à travers le patrimoine collectif de ses habitants.",Ville-Marie/Centre-ville/Quartier des spectacles,Gratuit,Famille et jeunesse/Musique/Histoire et patrimoine/Événements de quartier,Extérieur,11 août,Place de la Paix
861,375 Berceuses pour Montréal,"375 BERCEUSES POUR MONTRÉAL est une installation sonore participative qui invite à un voyage à bord d'une chaise berçante. Dans un espace-temps suspendu, en contraste avec l'agitation urbaine, ce projet va à la rencontre des citoyens et de leurs berceuses tout en activant la mémoire de sept lieux historiques de l'arrondissement Ville-Marie. Posée dans différents parcs et squares, l'installation permettra de recueillir et de partager 375 chants pour dresser un portrait de Montréal d'aujourd'hui à travers le patrimoine collectif de ses habitants.",Ville-Marie/Centre-ville,Gratuit,Famille et jeunesse/Musique/Histoire et patrimoine/Événements de quartier,Extérieur,12 août,Place Sun-Yat-Sen
387,375 raisons de célébrer!,"Journée complète de festivités qui mettra en valeur toutes les caractéristiques de l'Île-Bizard-Sainte-Geneviève, grâce à des prestations de différents genres musicaux, ainsi que celles d’une aire de fête extérieure pour toute la famille.",L’Île-Bizard–Sainte-Geneviève,Gratuit,Danse/Famille et jeunesse/Musique/Événements de quartier,Intérieur/Extérieur,3 juin,"Bibliothèque de L’Île-Bizard, le jardin de la bibliothèque et le parc Eugène-Dostie"
382,375 visions de Saint-Laurent,"Faire connaître les citoyens de Saint-Laurent grâce à des photos ainsi qu’à des témoignages écrits, audio ou en ligne. Célébrer le dévoilement graduel des photos grâce à une programmation d’animations et d’activités.",Saint-Laurent,Gratuit,Arts visuels/Famille et jeunesse/Histoire et patrimoine/Littérature/Événements de quartier,Extérieur,"21 juin, 10 jours durant l'été","Arrondissement de Saint-Laurent, particulièrement la future place publique"
330,"375e en Famille ! ""Chasse aux trésors""",,Outremont,Gratuit,Famille et jeunesse/Musique/Histoire et patrimoine/Théâtre et variété/Événements de quartier/Danse/Sports et loisirs,Extérieur,1er octobre,Outremont
675,38e concours photo Montréal à l’œil – Ça c’est Montréal!,"Le Centre d’histoire de Montréal lance la 38e édition du concours photographique Montréal à l’œil intitulé Ça c’est Montréal ! Le tout est organisé en collaboration avec Tourisme Montréal, la Ville de Montréal et Photo Service. Pour une deuxième année, le Conseil jeunesse de Montréal offre un prix spécial destiné aux 12 à 30 ans. Que ce soit une icône, un emblème ou tout simplement une scène du quotidien, les photographies qui seront primées exprimeront ce qui est l’essence même de Montréal, qui nous permet de nous exclamer en les voyants : «Ça c’est Montréal !».",Ville-Marie,Gratuit,Arts visuels/Histoire et patrimoine,Intérieur,Du 4 au 20 avril,Hall d'honneur de l'hôtel de ville
511,À la recherche d'Expo 67,"Cette importante exposition de nouvelles œuvres d’artistes québécois et canadiens explore les avenues les plus novatrices, expérimentales et influentes d’Expo 67 et les ramifications sociales, politiques et culturelles de l’événement originel. À la recherche d’Expo 67 comprend 19 œuvres qui se veulent un dialogue avec l’esprit de 1967, défiant certaines de ses présomptions tout en mettant en valeur son indéniable inventivité. Explorant les résonances entre ce qu’a été Expo 67 et ce qu’il en reste en 2017, les projets portent, entre autres, sur le pavillon du Canada, le pavillon du Québec, les pavillons de la France, des Indiens du Canada et celui des États-Unis d’Amérique, le Kaléidoscope, ainsi que sur les riches expérimentations sonores de 1967 et enfin, sur l’histoire et l’état actuel du site.Co-commissaires : Lesley Johnstone et Monika Kin Gagnon",Ville-Marie,Payant,Arts visuels/Histoire et patrimoine,Intérieur,du 21 juin au 1er octobre,Musée d'art contemporain de Montréal
40,À nous la rue !,"Montréal devient un théâtre à ciel ouvert lors du plus grand événement de théâtre de rue en Amérique du Nord.En juillet 2017, pas moins d'une cinquantaine de troupes de théâtre de rue, parmi les meilleures de la planète, convergent vers Montréal pour présenter quelque 800 spectacles. Des centaines d'artistes provenant de huit pays (France, Espagne, Pologne, États-Unis, Australie, Royaume-Uni, Pays-Bas, Canada), dont ceux d'une vingtaine de troupes du Québec prendront part à cet imposant événement de théâtre de rue, le plus grand jamais tenu en Amérique du Nord !Ces courtes représentations théâtrales, clownesques, acrobatiques, mêlant images poétiques, moment de beauté, tantôt drôles, tantôt émouvants, parfois minimalistes et souvent grandioses, seront jouées parmi les gens, dans la rue. Les trottoirs et le bitume deviendont des scènes, et le simple lampadaire se fera projecteur pour accueillir ce grand déferlement de féérie, de créativité et d'émerveillement.Cette grande messe universelle des arts de la rue laissera d'impérissables souvenirs à quiconque s'aventurera dans les rues de Montréal.",Ville-Marie/Centre-ville/Quartier des spectacles,Gratuit,Théâtre et variété/Cirque,Extérieur,7 au 30 juillet 2017,Quartier des spectacles
753,À nous la scène,"11 spectacles en salle pour tous les goûts11 spectacles de théâtre classique, de théâtre hilarant, lyrique, touchant et éclaté, interactif et créatif, de mime et de cirque présentés sur plusieurs scènes de Montréal.Économisez en créant votre PASSEPORT TRIO ou QUATUOR et profitez de ce grand éventail de spectacles unique en son genre. Cet été, à vous la scène !Faites votre sélection parmi les pièces ci-dessous et appelez dès maintenant au 1-855-770-3434 pour réserver.",,,,,20 juin au 6 août,
271,"À RDP/PAT, Fêtons Montréal! / Découvrons les récits de nos ainées/ainés",,Rivière-des-Prairies–Pointe-aux-Trembles,Gratuit,Musique/Histoire et patrimoine/Événements de quartier/Arts visuels,Intérieur,14 juin au 27 août,Maison Pierre-Chatrand et  Bibliothèque de Rivière-des-Prairies
283,"À RDP/PAT, Fêtons Montréal! / Des Filles du Roy à nos jours.",,Rivière-des-Prairies–Pointe-aux-Trembles,Gratuit,Danse/Famille et jeunesse/Musique/Théâtre et variété/Histoire et patrimoine/Événements de quartier,Extérieur,16 septembre,L'église et le parc St-Joseph
284,"À RDP/PAT, Fêtons Montréal! / Naviguons sur la Skawanoti",,Rivière-des-Prairies–Pointe-aux-Trembles,Gratuit,Arts visuels/Famille et jeunesse/Histoire et patrimoine/Sports et loisirs/Théâtre et variété/Événements de quartier,Intérieur/Extérieur,"15, 16, 22, 23 juillet, 5, 6, 19, 20, 27 août",Départ Maison Pierre-Chatrand et arrivée Parc Aimé-Léonard
279,"À RDP/PAT, Fêtons Montréal! / Rivière-des-Prairies danse son héritage",,Rivière-des-Prairies–Pointe-aux-Trembles,Gratuit,Danse/Famille et jeunesse/Musique/Histoire et patrimoine/Événements de quartier,Extérieur,19 août,Parc Alexis-Carrel
336,Ahuntsic-Cartierville : 375 ans d'histoire revue et patinée,,Ahuntsic-Cartierville,Gratuit,Famille et jeunesse/Histoire et patrimoine/Musique/Événements de quartier/Sports et loisirs,Intérieur,8 et 9 avril,Aréna Ahuntsic
262,Aime comme Montréal à la BANQ,,Ville-Marie,Gratuit,Arts visuels,Intérieur,Du 16 mars au 16 avril 2017,Bibliothèque et Archives nationales du Québec
321,Aime comme Montréal à la Place des arts,,Ville-Marie,Gratuit,Arts visuels,Intérieur,Du 21 avril au 21 mai 2017,Place des Arts - Espace culturel Georges-Émile-Lapalme
12,Aime comme Montréal au MBAM,"La diversité culturelle est l'un des aspects les plus importants de la signature de Montréal. À l'occasion du 375e anniversaire de Montréal, Aime comme Montréal propose un regard intimiste et authentique de la diversité culturelle à travers un photoreportage de 60 couples interculturels montréalais inspirants.À travers un livre et une exposition déployée dans des lieux phares de Montréal, Aime comme Montréal invite à une célébration de la diversité montréalaise. L'exposition présente 30 oeuvres de ce photoreportage.Des duos engagés, composés de natifs, d'immigrants, de membres des communautés culturelles et des Autochtones livrent, en images et en mots, leurs parcours croisés et leurs visions du monde et particulièrement de leur ville. Tout en racontant leurs vécus de réfugiés, de militants ou encore leurs histoires insolites, ils se confient sur leurs préoccupations identitaires et sur le bien-être que leur procure leur relation composée de différences culturelles et parfois religieuses.Des scènes de leur quotidien, captées à travers les saisons et les quartiers de Montréal, sont révélées à travers l'oeil du réputé photojournaliste Jacques Nadeau (Le Devoir) et du talentueux photographe Mikael Theimer (Portraits de Montréal).En plus de satisfaire la curiosité humaine, les histoires compilées dans le cadre de ce projet déboulonnent les idées reçues et invitent au dialogue interculturel. Si Aime comme Montréal peut rapprocher, ce projet aura accompli ce pourquoi il a été imaginé : s'ouvrir à l'Autre et mieux vivre ensemble.",Ville-Marie,Payant,Arts visuels/Littérature,Intérieur,Du 18 janvier au 19 février 2017,Musée des beaux-arts de Montréal
261,Aime comme Montréal dans le métro,,Ahuntsic-Cartierville/Anjou/Côte-des-Neiges–Notre-Dame-de-Grâce/Lachine/LaSalle/Le Plateau-Mont-Royal/Le Sud-Ouest/L’Île-Bizard–Sainte-Geneviève/Mercier–Hochelaga-Maisonneuve/Montréal-Nord/Outremont/Pierrefonds-Roxboro/Rivière-des-Prairies–Pointe-aux-Trembles/Rosemont–La Petite-Patrie/Saint-Laurent/Saint-Léonard/Verdun/Ville-Marie/Villeray–Saint-Michel–Parc-Extension,Gratuit,Arts visuels,Intérieur,Février 2017,dans le réseau de la STM
390,"Anjou en couleur, tout un monde au bout de la ligne (verte) !","Un véritable voyage autour du monde à travers la collectivité angevine! Une journée pour célébrer les Montréalais de toutes origines, afin de créer des ponts et de partager leurs cultures au moyen de la musique, des arts et des découvertes culinaires.",Anjou,Gratuit,Arts visuels/Famille et jeunesse/Musique/Gastronomie/Événements de quartier,Extérieur,5 juillet,Place Anjou
10,Another Brick in The Wall - L'opéra,"À l’occasion du 375e anniversaire de Montréal, l’Opéra de Montréal présente en première mondiale Another Brick In The Wall – l’opéra, d’après l’œuvre légendaire The Wall, de Roger Waters. Un spectacle événement réunissant sur scène huit solistes dont, le réputé baryton québécois Étienne Dupuis, 48 choristes et 70 musiciens. Trois artistes d’exception participent à la création de cet opéra : Julien Bilodeau compose cette nouvelle vision lyrique de l’œuvre culte du groupe Pink Floyd, Dominic Champagne met en scène ce monument de la musique des années 80, et Alain Trudel dirige l’Orchestre Métropolitain. La création de cet opéra sur une scène montréalaise est très significative, car c’est après un concert au Stade olympique de Montréal en 1977 que Roger Waters a eu l’idée de ce projet. D’abord un album concept (1979) et ensuite un film (1982), The Wall est un drame psychologique inspiré de sa vie.  L’œuvre met en scène Pink, le personnage central, dont l’aliénation et l’isolement illustrent la difficulté de toute sa génération confrontée à la désillusion. À la suite au décès de son père pendant la Seconde Guerre mondiale et à des abus continus de la part de ses enseignants et de sa mère, Pink s’isole du monde qui l’entoure. La désintégration de son mariage constitue la dernière brique dans le mur métaphorique qu’il se construit. Lorsque sa survie en dépendra, Pink réussira-t-il à démolir son mur intérieur ? C’est dans l’art total qu’est l’opéra que ces sentiments trouveront toute leur expression.Et c’est à un événement lyrique mémorable que nous convie l’Opéra pour célébrer le 375e anniversaire de Montréal.",Ville-Marie/Quartier des spectacles,Payant,Musique,Intérieur,Du 11 au 27 mars 2017,Salle Wilfrid-Pelletier de la Place des arts
790,AquamenS,"du 8 au 14 juillet entre 19h et 22h30du 15 au 17 juillet entre 22h et 22h30** Les heures sont sujettes à changement **Vous ne rêvez pas : la tête prisonnière d’un bocal où nagent des poissons rouges, deux hommes-aquarium arpentent les rues pour un échange des plus insolites et poétiques.Si deux hommes avec la tête coincée dans des aquariums vous approchent dans les rues de Montréal, ne vous inquiétez pas : vous voilà participant à un acte théâtral aussi comique que déconcertant, imaginé par la compagnie française Machtiern. S’exprimant à travers la poésie, les rêves et l’humour burlesque, ces artistes aquatiques s’interrogent sur notre aptitude à entrer en contact avec nos semblables lorsque des barrières se dressent. Faites le premier pas, venez à leur rencontre.Distribution : Christophe BRIAND / Jean-François DUCLOS / Morgan MANINI / François MARSOLLIER /",Ville-Marie,Gratuit,Famille et jeunesse/Humour/Théâtre et variété,Extérieur,du 8 au 17 juillet,Déambulation - rue Saint-Denis | Quartier latin
769,Aquaphonie,"Tous les jours entre 18h et 20h30** Les heures sont sujettes à changement **Allô? À l'eau? Eau là-là! Eau secours!! Fuite clownesque en éclaboussure majeure!Aquaphonie est une ode, en poésie et en tendresse, à la magie de l’eau et à ses insondables mystères : océans, mares, égouts, flaques, jets et fuites!De rigoles en rigolades et tout en fantaisie, plongez dans les aventures de trois clowns aquanautes. Que faire quand fuit notre bien le plus précieux? Naïfs, gauches et attachants, ces trois clowns en panique font jaillir des torrents de solutions toutes plus inefficaces les unes que les autres et se laissent emporter au courant de leur imaginaire.Plongeons acrobatiques, pêche, nage, voyage en voiliers, jeux dans la mare aux grenouilles, douche, lavage et essorage et bouée de canard, l’eau porte en elle une vague déferlante de plaisir qu’aucun barrage n’arrêtera! Célébration aquatique pour petits et grands, ce spectacle ne laissera personne à sec. Parapluie recommandé!Toxique Trottoir investit l’espace public pour y créer des spectacles et des interventions festives qui rassemblent les citoyens au cœur d’aventures collectives. Dirigé depuis 2004 par trois femmes de théâtre, Toxique Trottoir propose un regard décalé et humoristique sur des enjeux sociaux contemporains.CRÉDITS DU SPECTACLEIdée originale : Toxique TrottoirÉcriture : Toxique Trottoir et Soizick HébertJeu : Marie-Hélène Côté, Dominique Marier, Muriel de ZangronizMise en scène : Soizick HébertScénographie : Thierry Vigneault et Fanny Mc CraeMusique : Frédérick DesrochesCrédit photo : Dominique Marier",Ville-Marie,Gratuit,Famille et jeunesse/Humour/Théâtre et variété,Extérieur,du 17 au 25 juillet,PISTE AZUR | rue Saint-Denis
178,Archifête 375,,Ville-Marie,Gratuit,Histoire et patrimoine/Événements de quartier,Intérieur,4 mars et plusieurs autres dates à surveiller,À la Maison de l'architecture du Québec et dans plusieurs édifices de Ville-Marie
346,Archives à voix haute - L'héritage d'hier vivant aujourd'hui,"Communément appelé la « ville aux cent clochers », Montréal garde la trace de la présence religieuse partout sur son territoire. « Archives à voix haute », c'est l’opportunité de se laisser surprendre à redécouvrir ce qui nous entoure, par la saveur des mots d'autrefois et la beauté des images d'antan.Il y aura une représentation à 11h30 et une autre à 14h. Nombres de places limitées. Veuillez confirmer votre présence : tcarm.mtl@gmail.com",Ville-Marie,Gratuit,Arts visuels/Histoire et patrimoine/Événements de quartier,Intérieur,14 octobre,Musée Pointe-à-Callière
84,"Art, sciences et nature : La présence et l’identité autochtone",,Mercier–Hochelaga-Maisonneuve/Ville-Marie,Payant,Science et technologie/Arts visuels/Histoire et patrimoine,Intérieur,,"Espace pour la vie, MBAM et Centre des sciences"
