nom,ville,adresse_principale,telephone,telephone_numero_poste,arrdondissement,accessibilite,long,lat
"Bibliothèque Jacqueline-De Repentigny","Montréal","5955, avenue Bannantyne","5147657172",,"Mercier–Hochelaga-Maisonneuve","Stationnement accessible",-73.579007,45.448625
"Bibliothèque interculturelle","Montréal","6767, chemin de la Côte-des-Neiges","5148684715",,"Anjou","Toilettes accessibles",-73.636934,45.503324
"Bibliothèque Hochelaga","Montréal","1870, rue Davidson","5148723666",,"Verdun","Adapté aux poussettes",-73.544566,45.542153
"Bibliothèque Henri-Bourassa","Montréal","5400, boulevard Henri-Bourassa Est","5143284000","4125","Côte-des-Neiges–Notre-Dame-de-Grâce","Rampe d'accès",-73.625023,45.604607
"Bibliothèque Frontenac","Montréal","2550, rue Ontario Est","5148727888",,"Montréal-Nord","Places de stationnement réservées (vignette)",-73.551399,45.532827
"Bibliothèque du Vieux-Saint-Laurent","Montréal","1380, rue de l'Église","5148556130",,"Le Sud-Ouest","Stationnement accessible",-73.6764,45.512818
"Bibliothèque du Plateau-Mont-Royal","Montréal","465, avenue du Mont-Royal Est","5148722270",,"Ville-Marie","Toilettes accessibles",-73.582684,45.524952
"Bibliothèque du Haut-Anjou","Montréal","7070, rue Jarry Est","5144938271",,"Saint-Laurent","Ascenseur",-73.575707,45.601156
"Bibliothèque du Boisé","Montréal","2727, boulevard Thimens","5148556130",,"Le Plateau-Mont-Royal","Entrée de plain-pied",-73.704747,45.504489
"Bibliothèque de Saint-Léonard","Montréal","8420, boulevard Lacordaire","5143288500",,"Ahuntsic-Cartierville","Entrée de plain-pied",-73.598376,45.58577
"Bibliothèque de Rivière-des-Prairies","Montréal","9001, boulevard Perras","5148729425",,"Saint-Léonard","Accessible en fauteuil roulant avec assistance",-73.578922,45.650106
"Bibliothèque Serge-Bouchard","Montréal","14001, rue Notre-Dame Est","5148726987",,"Rosemont–La Petite-Patrie","Adapté aux poussettes",-73.494899,45.667876
"Bibliothèque de L'Île-des-Sœurs","Montréal","260, rue Elgar","5147657266",,"Villeray–Saint-Michel–Parc-Extension","Rampe d'accès",-73.5474710438433,45.45708820893512
"Bibliothèque de La Petite-Patrie","Montréal","6707, avenue De Lorimier","5148721733",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Stationnement accessible",-73.598139,45.54742
"Bibliothèque Julio-Jean-Pierre (MCC)","Montréal","12002, boulevard Rolland","5143284000","5626","Verdun","Toilettes accessibles",-73.62235,45.615812
"Bibliothèque de Cartierville","Montréal","5900, rue de Salaberry","5148726989",,"Montréal-Nord","Zone de débarcadère pour transport adapté",-73.713117,45.526951
"Bibliothèque d'Ahuntsic","Montréal","10300, rue Lajeunesse","5148720568",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Rampe d'accès",-73.662956,45.553373
"Bibliothèque Benny","Montréal","6400, avenue de Monkland","5148724147",,"Ahuntsic-Cartierville","Toilettes accessibles",-73.630973995251,45.466297169481
"Centre communautaire Gerry-Robertson","Montréal","9665, boulevard Gouin Ouest",,,"Côte-des-Neiges–Notre-Dame-de-Grâce","Rampe d'accès",-73.783267,45.504773
"Centre communautaire intergénérationnel (CCI)","Montréal","999, avenue McEachran","5144956211",,"Montréal-Nord","Stationnement accessible",-73.619499,45.520019
"Centre Roger-Rousseau","Montréal","7501, avenue Rondeau","5144938234",,"Outremont","Adapté aux poussettes",-73.549869,45.61682
"Centre Jean-Claude-Malépart","Montréal","2633, rue Ontario Est","5148680893",,"Lachine","Entrée de plain-pied",-73.552098870277,45.534002846799
"Centre du Plateau","Montréal","2275, boulevard Saint-Joseph Est","5148726830",,"Ville-Marie","Toilettes accessibles",-73.575971,45.539769
"Centre communautaire Roussin","Montréal","12125, rue Notre-Dame Est","5146454519",,"Rivière-des-Prairies–Pointe-aux-Trembles","Stationnement accessible",-73.490423540563,45.640411161301
"Centre communautaire Marcel-Giroux","Montréal","4501, avenue Bannantyne","5147657150",,"Verdun","Accessible en fauteuil roulant avec assistance",-73.57681,45.459358
"Centre communautaire Elgar","Montréal","260, rue Elgar","5147657270",,"Verdun","Ascenseur",-73.552312,45.455735
"Centre communautaire de Rivière-des-Prairies","Montréal","9140, boulevard Perras","5148729815",,"Rivière-des-Prairies–Pointe-aux-Trembles","Entrée de plain-pied",-73.577394,45.650296
"Centre communautaire d'Anjou","Montréal","7800, boulevard Métropolitain Est","5144938222",,"Anjou","Stationnement accessible",-73.563697,45.606541
"Centre culturel de Pierrefonds","Montréal","13850, boulevard Gouin Ouest",,,"Pierrefonds-Roxboro","Adapté aux poussettes",-73.84891,45.496618
"Galerie d’Outremont","Montréal","41, avenue Saint-Just","5144957419",,"Outremont","Entrée de plain-pied",-73.608452,45.517934
"Maison culturelle et communautaire de Montréal-Nord","Montréal","12004, boulevard Rolland","5143284000","5630","Montréal-Nord","Stationnement accessible",-73.62235,45.615812
"L’Entrepôt - maison de la culture de Lachine","Montréal","2901, boulevard Saint-Joseph","5146392247",,"Lachine","Zone de débarcadère",-73.68961,45.433338
"Salle Pauline-Julien","Montréal","15615, Gouin Boulevard Ouest","5146261616",,"L'Île-Bizard–Sainte-Geneviève","Zone de débarcadère pour transport adapté",-73.869064,45.483577
"Théâtre Mirella et Lino Saputo","Montréal","8370, boulevard Lacordaire","5149558370",,"Saint-Léonard","Stationnement accessible",-73.596896718012,45.585745173472
"Salle de diffusion de Parc-Extension","Montréal","421, rue Saint-Roch","5148728124",,"Villeray–Saint-Michel–Parc-Extension","Stationnement accessible",-73.628874949423,45.531428834242
"Quai 5160 – Maison de la culture de Verdun","Montréal","5160, boulevard LaSalle","5148724995",,"Verdun","Accessible en fauteuil roulant",-73.563987662722,45.453875751695
"Maison de la culture de Rosemont–La Petite-Patrie","Montréal","6707, avenue De Lorimier","5148721730",,"Rosemont–La Petite-Patrie","Bouton-poussoir à l'entrée de la toilette accessible",-73.598139,45.54742
"Maison de la culture Mercier","Montréal","8105, rue Hochelaga","5148728755",,"Mercier–Hochelaga-Maisonneuve","Places de stationnement réservées (vignette)",-73.523843,45.595475
"Maison de la culture Marie-Uguay","Montréal","6052, boulevard Monk","5148722044",,"Le Sud-Ouest","Porte à ouverture automatique",-73.595584157413,45.457710041642
"Maison de la culture Maisonneuve","Montréal","4200, rue Ontario Est","5148722200",,"Mercier–Hochelaga-Maisonneuve","Stationnement accessible",-73.540236,45.5512
"Maison de la culture Janine-Sutto","Montréal","2550, rue Ontario Est","5148727882",,"Ville-Marie","Toilettes accessibles",-73.551399,45.532827
"Maison de la culture du Plateau-Mont-Royal","Montréal","465, avenue du Mont-Royal Est","5148722266",,"Le Plateau-Mont-Royal","Ascenseur",-73.582684,45.524952
"Maison de la culture de Pointe-aux-Trembles","Montréal","14001, rue Notre-Dame Est","5148722240",,"Rivière-des-Prairies–Pointe-aux-Trembles","Rampe d'accès",-73.494899,45.667876
"Maison de la culture Notre-Dame-de-Grâce – Botrel","Montréal","3755, rue Botrel","5148722157",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Stationnement accessible",-73.61437,45.475571
"Maison de la culture de Côte-des-Neiges","Montréal","5290, chemin de la Côte-des-Neiges","5148726889",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Entrée de plain-pied",-73.622245,45.4959
"Maison de la culture Claude-Léveillée","Montréal","911, rue Jean-Talon Est","5148726131",,"Villeray–Saint-Michel–Parc-Extension","Adapté aux poussettes",-73.613258,45.541562
"Maison de la culture Ahuntsic","Montréal","10300, rue Lajeunesse","5148728749",,"Ahuntsic-Cartierville","Entrée de plain-pied",-73.662956,45.553373
"Galerie Port-Maurice","Montréal","8420, boulevard Lacordaire","5143288500",,"Saint-Léonard","Rampe d'accès",-73.598376,45.58577
"Centre d'exposition Lethbridge","Montréal","2727, boulevard Thimens","5148556130","4443","Saint-Laurent","Rampe d'accès",-73.704747,45.504489
"Centre des loisirs de Saint-Laurent","Montréal","1375, rue Grenet","5148556110",,"Saint-Laurent","Signalisation accessible",-73.690617,45.514224
"Gymnase du Collège Reine-Marie","Montréal","9300, boulevard Saint-Michel","5148726689",,"Villeray–Saint-Michel–Parc-Extension","Barre d'appui",-73.633012,45.572774
"Complexe sportif de Saint-Laurent","Montréal","2385, boulevard Thimens","5148556110",,"Saint-Laurent","Rampe d'accès",-73.703017,45.507608
"Complexe sportif Claude-Robillard","Montréal","1000, avenue Émile-Journault","5148726900",,"Ahuntsic-Cartierville","Signalisation accessible",-73.636015,45.552694
"Centre Gadbois","Montréal","5485, chemin de la Côte-Saint-Paul","5148722786",,"Le Sud-Ouest","Toilette accessible en cabine",-73.59552,45.466947
"Centre sportif Trenholme","Montréal","6800, rue Sherbrooke Ouest","5144814634",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Zone de débarcadère",,
"Centre sportif Côte-des-Neiges","Montréal","4880, avenue Van Horne","5143429988",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Rampe d'accès",-73.638062,45.492694
"Maison de l'environnement de Verdun","Montréal","673, 1re Avenue","5147658378",,"Verdun","Porte à ouverture automatique",-73.573435063721,45.458842822691
"Maison Nivard-De Saint-Dizier, musée et site archéologique","Montréal","7244, boulevard LaSalle","5147657284",,"Rosemont–La Petite-Patrie","Ascenseur",-73.582882536873,45.437477344109
"Musée de Lachine","Montréal","1, chemin du Musée","5143676423",,"Rivière-des-Prairies–Pointe-aux-Trembles","Zone de débarcadère",-73.666455,45.429888
"Parc Roger-Rousseau","Montréal","7501, avenue Rondeau","5144938234",,"Saint-Laurent",,-73.549869,45.61682
"Parc Nicolas-Tillemont","Montréal","7833, avenue des Érables",,,"Villeray–Saint-Michel–Parc-Extension",,-73.612411022186,45.554688931291
"Parc Hébert","Montréal","7505, boulevard Provencher","5148720311",,"Saint-Léonard",,-73.606883502989,45.589822035129
"Parc Ferland","Montréal","6020, boulevard Lavoisier","5148720311",,"Saint-Léonard",,-73.599250848475,45.596508720344
"Parc De Normanville","Montréal","7480, rue De Normanville",,,"Villeray–Saint-Michel–Parc-Extension","Sentier d'accès",-73.616128,45.546088
"Parc Champdoré","Montréal","2400, rue Champdoré",,,"Villeray–Saint-Michel–Parc-Extension",,-73.635534412243,45.568498642788
"Piscine Saint-Roch","Montréal","400, avenue Ball","5148727177",,"Villeray–Saint-Michel–Parc-Extension",,-73.63075196743,45.531984926263
"Piscine Villeray","Montréal","7355, avenue Christophe-Colomb","5142738535",,"Villeray–Saint-Michel–Parc-Extension",,-73.614610433578,45.544008708807
"Piscine du centre Jean-Claude-Malépart","Montréal","2633, rue Ontario Est","5145216884",,"Ville-Marie",,-73.552098870277,45.534002846799
"Bureau Accès Montréal – Villeray–Saint-Michel–Parc-Extension","Montréal","405, avenue Ogilvy","5148720311",,"Villeray–Saint-Michel–Parc-Extension",,-73.625092506409,45.530538141651
"Bureau Accès Montréal – Ville-Marie","Montréal","800, boulevard De Maisonneuve Est",,,"Ville-Marie",,-73.558973737118,45.515993766217
"Bureau Accès Montréal – Verdun","Montréal","4555, rue de Verdun","5148720311",,"Verdun",,-73.573132753372,45.459235124433
"Bureau Accès Montréal – Pointe-aux-Trembles","Montréal","12090, rue Notre-Dame Est","5148720311",,"Rivière-des-Prairies–Pointe-aux-Trembles",,-73.489377,45.640558
"Bureau Accès Montréal – Rivière-des-Prairies","Montréal","8910, boulevard Maurice-Duplessis","5148720311",,"Rivière-des-Prairies–Pointe-aux-Trembles",,-73.57605099678,45.64135909971
"Bureau Accès Montréal – Rosemont–La Petite-Patrie","Montréal","5650, rue D'Iberville","5148720311",,"Rosemont–La Petite-Patrie",,-73.581678271294,45.544331812485
"Bureau Accès Montréal – Pierrefonds-Roxboro","Montréal","13665, boulevard de Pierrefonds","311",,"Pierrefonds-Roxboro","Adapté aux poussettes",-73.848064541817,45.495337872826
"Bureau Accès Montréal – Le Plateau-Mont-Royal","Montréal","201, avenue Laurier Est","5148720311",,"Le Plateau-Mont-Royal","Rampe d'accès",-73.591157197952,45.525122703195
"Bureau Accès Montréal – Montréal-Nord","Montréal","4243, rue de Charleroi","5148720311",,"Montréal-Nord","Sentier d'accès",-73.620419,45.602659
"Bureau Accès Montréal – Mercier–Hochelaga-Maisonneuve","Montréal","6854, rue Sherbrooke Est","5148720311",,"Mercier–Hochelaga-Maisonneuve","Toilettes accessibles",-73.541359305382,45.584926652413
"Bureau Accès Montréal – Saint-Léonard","Montréal","8400, boulevard Lacordaire","5148720311",,"Saint-Léonard","Adapté aux poussettes",-73.596822023392,45.586315724311
"Comptoir des permis – Anjou","Montréal","7171, rue Bombardier","5144935115",,"Anjou","Accessible en fauteuil roulant",-73.586608,45.607577
"Comptoir des permis – Lachine","Montréal","1800, boulevard Saint-Joseph","5146392140",,"Lachine","Adapté aux poussettes",-73.680997,45.433316
"Comptoir des permis – Le Plateau-Mont-Royal","Montréal","201, avenue Laurier Est","5148720311",,"Le Plateau-Mont-Royal","Accessible en fauteuil roulant avec assistance",-73.591167,45.525128
"Comptoir des permis – Le Sud-Ouest","Montréal","815, rue Bel-Air",,,"Le Sud-Ouest","Adapté aux poussettes",-73.58325075145142,45.48271820721347
"Comptoir des permis – Pierrefonds-Roxboro","Montréal","13665, boulevard de Pierrefonds","311",,"Pierrefonds-Roxboro","Zone de débarcadère",-73.84834,45.495477
"Comptoir des permis – Rivière-des-Prairies–Pointe-aux-Trembles","Montréal","12090, rue Notre-Dame Est","5148684343",,"Rivière-des-Prairies–Pointe-aux-Trembles","Zone de débarcadère pour transport adapté",-73.488946,45.640688
"Comptoir des permis – Rosemont–La Petite-Patrie","Montréal","5650, rue D'Iberville","5148720311",,"Rosemont–La Petite-Patrie","Sentier d'accès",-73.581674,45.544332
"Comptoir des permis – Saint-Léonard","Montréal","8400, boulevard Lacordaire","5148720311",,"Saint-Léonard","Toilettes accessibles",-73.597127,45.585482
"Comptoir des permis – Verdun","Montréal","4555, rue de Verdun","5147657083",,"Verdun","Accessible en fauteuil roulant avec assistance",-73.57386,45.459114
"Comptoir des permis – Ville-Marie","Montréal","800, boulevard De Maisonneuve Est","5148720311",,"Ville-Marie","Adapté aux poussettes",-73.559733,45.516518
"Comptoir des permis – Villeray–Saint-Michel–Parc Extension","Montréal","405, avenue Ogilvy","5148683509",,"Villeray–Saint-Michel–Parc-Extension","Ascenseur",-73.625216,45.530724
"Bureau Accès Montréal – Côte-des-Neiges–Notre-Dame-de-Grâce","Montréal","5160, boulevard Décarie","5148720311",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Équipement adapté",-73.630852,45.483864
"Bureau Accès Montréal – Anjou","Montréal","7701, boulevard Louis-H.-La Fontaine","5148720311",,"Anjou","Places de stationnement réservées (vignette)",-73.557753,45.602383
"Bureau Accès Montréal – Lachine","Montréal","1800, boulevard Saint-Joseph","5148720311",,"Lachine","Stationnement accessible",-73.680997,45.433316
"Piscine Lévesque","Montréal","955, rue Marie-Anne Est","5148722823",,"Le Plateau-Mont-Royal","Stationnement accessible",-73.577898,45.526249
"Piscine du centre du Plateau","Montréal","2275, boulevard Saint-Joseph Est","5148721178",,"Le Plateau-Mont-Royal","Toilettes accessibles",-73.575971,45.539769
"Piscine du Centre sportif de Notre-Dame-de-Grâce","Montréal","6445, avenue de Monkland","5144814634",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Toilettes accessibles",-73.632712,45.46651
"Piscine du Centre sportif Côte-des-Neiges","Montréal","4880, avenue Van Horne","5143429988",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Accessible en fauteuil roulant",-73.63831624118,45.492818895307
"Piscine du Complexe sportif de l'école secondaire d'Anjou","Montréal","5515, avenue de l'Aréna","5144938200",,"Anjou","Stationnement accessible",-73.540687986112,45.602617349317
"Piscine du complexe sportif Claude-Robillard","Montréal","1000, avenue Émile-Journault","5148726900",,"Ahuntsic-Cartierville","Adapté aux poussettes",-73.63323879772682,45.55142388962415
"Maison du citoyen","Montréal","12090, rue Notre-Dame Est","311",,"Ville-Marie","Toilettes accessibles",-73.489377,45.640558
"La STATION - Maison intergénérationnelle","Montréal","201, rue Berlioz, Verdun","5147664301",,"Verdun","Ascenseur",-73.544614,45.460121
"Mairie d'arrondissement de Verdun","Montréal","4555, rue de Verdun",,,"Mercier–Hochelaga-Maisonneuve",,-73.573331,45.458965
"Mairie d'arrondissement de LaSalle","Montréal","55, avenue Dupras",,,"Lachine",,-73.661233,45.42832
"Mairie d'arrondissement de Saint-Léonard","Montréal","8400, boulevard Lacordaire","5148720311",,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.596704006195,45.586387054102
"Mairie d'arrondissement de Pierrefonds-Roxboro","Montréal","13665, boulevard de Pierrefonds",,,"Villeray–Saint-Michel–Parc-Extension",,-73.848159,45.495489
"Mairie d'arrondissement de Lachine","Montréal","1800, boulevard Saint-Joseph",,,"Lachine",,-73.680909276009,45.433104704638
"Centre culturel de Notre-Dame-de-Grâce","Montréal","6400, avenue de Monkland","5148720777",,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.6309910554,45.466322991253
"Mairie d'arrondissement de Villeray–Saint-Michel–Parc-Extension","Montréal","405, avenue Ogilvy","5148720755",,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.625038862228,45.530673426984
"Maison du Brasseur","Montréal","2901, boulevard Saint-Joseph","5146392247",,,,-73.689913,45.433365
"Vieille-Brasserie-Dawes","Montréal","2801, boulevard Saint-Joseph","5146392247",,,,-73.688774478495,45.433437937707
"Mairie d'arrondissement de Montréal-Nord","Montréal","4243, rue de Charleroi","311",,"Montréal-Nord","Entrée de plain-pied",-73.638189475976,45.594436418002
"Mairie d'arrondissement de Saint-Laurent","Saint-Laurent","777, boulevard Marcel-Laurin",,,"Saint-Laurent",,-73.682695627213,45.507264222938
"YMCA Cartierville","Montréal","11885, Boulevard Laurentien","5143131047",,"Ahuntsic-Cartierville",,-73.711066,45.525394
"Parc Le Prévost","Montréal","7275, avenue Christophe-Colomb",,,"Villeray–Saint-Michel–Parc-Extension",,-73.613719940186,45.54352780687
"Centre communautaire Marcel-Morin","Montréal","14068, boulevard Gouin Ouest",,,"Pierrefonds-Roxboro",,-73.850751,45.495477
"Maison de la culture Notre-Dame-de-Grâce – Monkland","Montréal","6400, avenue de Monkland","5148720777",,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.630945,45.466598
"Benny Fab","Montréal","6400, avenue de Monkland","5148723500",,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.630945,45.466598
"Pavillon d'accueil du parc Frédéric-Back","Montréal","2345, rue Jarry Est","5143768648",,"Villeray–Saint-Michel–Parc-Extension","Toilettes accessibles",-73.616115399949,45.558694317881
"Maison Pitfield du parc-nature du Bois-de-Liesse","Montréal","9432, boulevard Gouin Ouest",,,"Saint-Laurent","Accessible en fauteuil roulant avec assistance",-73.763487209406,45.506492212206
"Complexe sportif St-Jean-Vianney","Montréal","12640, boulevard Gouin Est","5148728014",,"Rivière-des-Prairies–Pointe-aux-Trembles","Ascenseur",-73.519722205955,45.691600408871
"Chalet du parc de la Savane et Centre communautaire","Montréal","5111, rue Paré",,,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.653987687073,45.498316567921
"Pavillon du parc Coubertin","Montréal","4755, rue Valéry",,,"Saint-Léonard","Stationnement accessible",-73.610104322433,45.583856668192
"Pavillon du parc Delorme","Montréal","6060, rue de Honfleur","5148720311",,"Saint-Léonard","Adapté aux poussettes",-73.588021438561,45.590859067162
"Pavillon du parc Ferland","Montréal","6020, boulevard Lavoisier","5148720311",,"Saint-Léonard","Entrée de plain-pied",-73.598664443932,45.596849968701
"Pavillon du parc Giuseppe-Garibaldi","Montréal","7125, rue Liénart","5148720311",,"Saint-Léonard","Rampe d'accès",-73.570340316735,45.586939860758
"Pavillon du parc Ladauversière","Montréal","7560, boulevard Lacordaire","5148720311",,"Saint-Léonard","Sentier d'accès",-73.583515327416,45.580707608924
"Pavillon Hexagonal","Montréal","5555 Rue Jean-Talon Est",,,"Saint-Léonard","Signalisation accessible",-73.582592647515,45.580842773532
"Pavillon du parc Luigi-Pirandello","Montréal","4550, rue de Compiègne",,,"Saint-Léonard","Stationnement accessible",-73.604350727044,45.578559949825
"Pavillon du parc Pie-XII","Montréal","5200, boulevard Lavoisier",,,"Saint-Léonard","Adapté aux poussettes",-73.608470600091,45.588876973987
"Pavillon du parc Wilfrid-Bastien","Montréal","8255, boulevard Lacordaire","5148720311",,"Saint-Léonard","Ascenseur",-73.594888303646,45.586111156377
"Chalet du parc Champdoré","Montréal","2400, rue Champdoré",,,"Villeray–Saint-Michel–Parc-Extension","Zone de débarcadère",-73.63580122852,45.569192701683
"Chalet du parc De Normanville","Montréal","7480, rue De Normanville",,,"Villeray–Saint-Michel–Parc-Extension","Adapté aux poussettes",-73.616152446709,45.546137582189
"Chalet du parc de Turin","Montréal","7205, rue Chambord",,,"Villeray–Saint-Michel–Parc-Extension","Stationnement accessible",-73.610348146401,45.545215645689
"Chalet du parc Nicolas-Tillemont","Montréal","7833, avenue des Érables",,,"Villeray–Saint-Michel–Parc-Extension","Entrée de plain-pied",-73.612054031335,45.554870177118
"Chalet du parc Gary-Longhi","Montréal","7645, 20e Avenue",,,"Villeray–Saint-Michel–Parc-Extension","Entrée de plain-pied",-73.598798554383,45.567906595003
"Centre récréatif et communautaire de LaSalle","Montréal","8700, rue Hardy","5143676637",,"LaSalle",,-73.63600374301711,45.43346208570492
"Terrain de soccer du complexe sportif de Saint-Laurent","Montréal","2385, boulevard Thimens","5148556110",,"Saint-Laurent",,-73.70334608136008,45.50777614600824
"Pavillon du parc Hébert","Montréal","7505, boulevard Provencher",,,"Saint-Léonard",,-73.607020602623,45.589403435265
"Pavillon du parc Gilbert-Layton","Montréal","6975, avenue Chester",,,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.650414598222,45.465826773887
"Pavillon du parc Notre-Dame-de-Grâce","Montréal","3500, avenue Girouard",,,"Côte-des-Neiges–Notre-Dame-de-Grâce",,-73.614756849626,45.472945797702
"Piscine du Complexe sportif Marie-Victorin","Montréal","7000, rue Marie-Victorin","5148687698",,"Rivière-des-Prairies–Pointe-aux-Trembles",,-73.608935336737,45.619547954978
"Fabricathèque du Sud-Ouest","Montréal","4707, rue Notre-Dame Ouest","5148722879",,"Le Sud-Ouest",,-73.589229830649,45.472462234683
"Chalet du parc Armand-Bombardier","Montréal","12535, boulevard Armand-Bombardier",,,"Rivière-des-Prairies–Pointe-aux-Trembles",,-73.597084854908,45.639412435267
"Chalet du parc Sir-Wilfrid-Laurier","Montréal","1115, avenue Laurier Est",,,"Le Plateau-Mont-Royal","Ascenseur",-73.585624694824,45.531455993652
"Centre de loisirs Saint-Denis","Montréal","5115, rue Rivard","5142747358",,"Le Plateau-Mont-Royal","Accessible en fauteuil roulant",-73.589367627661,45.527870579975
"Pavillon multifonctionnel de l'esplanade Tranquille","Montréal","Au cœur du Quartier des spectacles",,,"Ville-Marie","Adapté aux poussettes",-73.564957380295,45.509595055481
"Comptoir de la géomatique","Montréal","801 rue Brennan","5148723521",,"Ville-Marie",,-73.553492,45.496046
"Salle d’exposition Goncourt","Montréal","7500, avenue Goncourt","5144938260",,"Anjou",,-73.558411,45.602902
"Chalet du parc Raymond-Préfontaine","Montréal","3150, rue Hochelaga",,,"Mercier–Hochelaga-Maisonneuve","Rampe d'accès",-73.55271810164734,45.541693890364144
"L'Artère fabricathèque","Montréal","14001, rue Notre-Dame Est","5148724203",,"Rivière-des-Prairies–Pointe-aux-Trembles","Toilette accessible individuelle",-73.494866249335,45.668123472045
"Centre culturel et communautaire de Cartierville","Montréal","12225, rue Grenet","5148726356",,"Ahuntsic-Cartierville","Places de stationnement réservées (vignette)",-73.715802,45.530181
"Mixlab de la bibliothèque du Boisé","Montréal","2727, boulevard Thimens","5148556130",,"Saint-Laurent","Places de stationnement réservées (vignette)",-73.701383,45.507869
