No de dossier ,No de Resolution,Date,Objet,Montant
1115287009,CE11 2101,2011-12-14,"1- de ratifier la dépense de 5 460,21 $ relative au déplacement, du 15 au 19 novembre 2011, de M.  Gérald Tremblay, maire de Montréal, à Séoul, en Corée du Sud, dans le cadre de l'Assemblée générale du Réseau des villes créatives UNESCO, et à Busan, afin de prendre part à des échanges bilatéraux;  ","5460,21"
1113072002,CE12 0064,2012-01-18,"1-  d’autoriser une dépense estimée à 2 076,42 $  relative à la participation de Mme Jocelyn Ann Campbell, membre du comité exécutif, responsable du développement social et communautaire, de la famille et des aînés, au 4e Colloque international « Le droit de vieillir. Citoyenneté, intégration et participation politique des personnes âgées », qui aura lieu au Palais des Congrès de Dijon (France), du 22 au 28 janvier 2012 ;  ","2076,42"
1120942001,CE12 0094,2012-01-25,"1- d'autoriser le déplacement de M. Claude Dauphin, maire de l'arrondissement de Lachine et 2e vice président de la Fédération canadienne des municipalités (FCM), pour participer à la conférence et au salon sur les collectivités durables 2012 ainsi qu'à une rencontre des Officiers à Ottawa (Ontario), du 7 au 11 février 2012; 2- d'accorder une avance de fonds de 2 159,10 $ à M. Dauphin; ","2159,1"
1120701001,CE12 0164,2012-02-08,"1-  d'autoriser le déplacement de Mme Helen Fotopulos, membre du comité exécutif, responsable de la culture, du design, du patrimoine et de la condition féminine, à Neuville sur Vanne, en France, du 13 au 17 février 2012, afin de participer aux célébrations du 400e anniversaire de naissance de Paul Chomedey, Sieur de Maisonneuve; 2-  d’autoriser une dépense de 3 294,42 $ à cette fin;  ","3294,42"
1120942003,CE12 0234,2012-02-22,"1-  d'autoriser le déplacement de messieurs Claude Dauphin, maire de l'arrondissement de Lachine et 2e vice-président de la Fédération canadienne des municipalités (FCM), et Michel Bissonnet, membre du comité exécutif et maire de l'arrondissement de Saint-Léonard, à Kitchener (Ontario), du 7 au 10 mars 2012, afin de prendre part aux réunions du conseil national d'administration de la FCM; 2-  d’accorder une avance de fonds aux montants de 1 430,36 $ à monsieur Claude Dauphin et de 1 407,11 $ à monsieur Michel Bissonnet;","2837,47"
1121143001,CE12 0235,2012-02-22,"1-  d'autoriser le déplacement de monsieur Michel Bissonnet, membre du comité exécutif, responsable des affaires gouvernementales, à Québec, le 24 février 2012, afin d'assister à la Table Québec municipalités (TQM); 2-  d’autoriser une dépense de 445,43 $ à cette fin;  ","445,43"
1120983001,CE12 0236,2012-02-22,"1-  d’autoriser le déplacement, du 4 au 11 mars 2012, de monsieur Richard Deschamps, vice-président du comité exécutif, responsable du développement économique, afin de diriger une délégation économique de Montréal dans le cadre du Marché international des professionnels de l'immobilier (MIPIM), à Cannes du 5 au 9 mars 2011, ainsi qu'à participer à une journée de prospection d'investissements à Paris;  2-  d’accorder une avance de fonds au montant de 4 645 $ à monsieur Richard Deschamps;  ",4645
1125287001,CE12 0581,2012-04-25,"1-  de ratifier la dépense de 5 948,71 $ relative au déplacement de M. Gérald Tremblay, maire de Montréal, à Paris et à Bruxelles, du 27 février au 3 mars 2012, dans le cadre d'une mission économique à Paris et afin d’assister à la réunion du bureau exécutif de l'Association internationale des maires francophones (AIMF) à Bruxelles; ","5948,71"
1125287002,CE12 0582,2012-04-25,"1-  de ratifier la dépense de 4 427,30 $ relative au déplacement de M. Gérald Tremblay, maire de Montréal, à Chicago, du 7 au 9 mars 2012, afin d’assister à la 4e Table ronde de l'Organisation de coopération et de développement économique (OCDE) des maires et des ministres; ","4427,3"
1120701002,CE12 0683,2012-05-09,"1-  d'autoriser la dépense estimée à 755,11 $, relative à la participation de madame Marie Cinq Mars, mairesse de l'arrondissement d'Outremont et conseillère associée à la culture, au patrimoine et à la condition féminine, à la 25e édition du Colloque Les Arts et la Ville « Culture locale, passeport mondial, un enjeu d'avenir pour les collectivités », au Centre de congrès de Rouyn Noranda, du 15 au 18 mai 2012;  ","755,11"
1124538001,CE12 0684,2012-05-09,"1-  d'autoriser le déplacement de M. Alan DeSousa, vice-président du comité exécutif, à Québec, du 26 au 28 juin 2012, afin de participer au Conseil d'administration de l'Alliance des villes des Grands Lacs et du Saint-Laurent; 2-  d'accorder une avance de fonds au montant de 1 382 $ à M. Alan DeSousa; ",1382
1120942004,CE12 0685,2012-05-09,"1-  d'autoriser le déplacement de MM. Claude Dauphin, maire de l'arrondissement de Lachine, Michel Bissonnet, membre du comité exécutif, et Maurice Cohen, conseiller d'arrondissement de Saint Laurent, au 75e Congrès annuel et salon professionnel de la Fédération canadienne des municipalités (FCM) du 31 mai au 4 juin 2012, afin de participer à titre de membres du Conseil d'administration de la FCM à l'Assemblée générale de Saskatoon; 2-  d'autoriser leur participation aux réunions de la FCM de 2012-2013 à titre de membres du Conseil d'administration et d'assumer les coûts reliés à leur participation aux différentes réunions de l'année. Le montant estimé pour leur déplacement à Saskatoon : 10 393,34 $ (3 personnes); 3-  d'accorder des avances de fonds aux montants de 3 597,01 $ à M. Claude Dauphin, de 3 276,97 $ à M. Michel Bissonnet et de 3 519,36 $ à M. Maurice Cohen; ","10393,34"
1121143002,CE12 0687,2012-05-09,"1-  d'autoriser une dépense estimée à 1392,30 $, relative au déplacement de monsieur Michel Bissonnet, membre du comité exécutif, afin d'assister aux Assises annuelles de l’Union des municipalités du Québec, à Gatineau, du 10 au 11 mai 2012; ","1392,3"
1125287003,CE12 0723,2012-05-16,"1-  de ratifier la dépense de 1 269,52 $ relative au déplacement de M. Gérald Tremblay, maire de Montréal, à New York, le 23 avril 2012, dans le cadre de la réunion politique des autorités locales et régionales, préparatoire à la Conférence des Nations Unies sur le développement durable (Rio+20); ","1269,52"
1124538002,CE12 0904,2012-06-06,"1-  d'autoriser le déplacement de M. Alan DeSousa,  vice-président du comité exécutif, à Belo Horizonte, au Brésil, du 12 au 18 juin 2012, afin de participer au Congrès mondial de l'International Council for Local Environmental Initiatives (ICLEI); 2-  d'accorder une avance de fonds au montant de 3 088,33 $ à monsieur Alan DeSousa;  ","3088,33"
1125287004,CE12 1084,2012-06-27,"1-  de ratifier la dépense de 6 095,05 $ relative au déplacement, de M. Gérald Tremblay, maire de Montréal, aux Émirats Arabes Unis et au Qatar, du 29 avril au 4 mai 2012, à l'occasion d'une mission économique;  ","6095,05"
1123445001,CE12 1469,2012-09-05,"1-  d’autoriser la dépense relative au déplacement de M. Richard Deschamps, vice-président du comité exécutif, responsable des grands projets, du développement économique, des infrastructures, de la voirie, des services aux citoyens, du matériel roulant et des ateliers, à Regina (Sasketchewan), du 9 au 10 septembre 2012, afin de prendre part au « 2012 National Infrastructure Summit »; 2-  d'accorder une avance de fonds au montant de 1 800 $ à M. Richard Deschamps;  ",1800
1120701003,CE12 1518,2012-09-12,"1-  d'autoriser la dépense relative au déplacement de Mme Helen Fotopulos, membre du comité exécutif et responsable de la culture, du patrimoine et de la condition féminine, à l'occasion d'une double mission en Europe : à Göteborg (Suède), du 14 au 18 septembre 2012, afin de signer une entente en vue d'accueillir à Montréal, en 2017, le Sommet mondial de l'architecture, du design et de l'urbanisme et à Barcelone (Espagne), du 19 au 24 septembre 2012, pour y représenter Montréal au titre de ville étrangère invitée à La Mercè. Montant estimé : 6 058,15 $;  ","6058,15"
1121143003,CE12 1567,2012-09-19,"1-  d’autoriser le déplacement de monsieur Michel Bissonnet, membre du comité exécutif, au Centre des congrès de Québec, les 26 et 27 septembre 2012, afin d'assister aux 71es Assises annuelles de la Fédération Québécoise des Municipalités (FQM);  ","563,5"
1124310002,CE12 1602,2012-09-26,"1-  d'autoriser une dépense estimée à 3 560 $, relative au déplacement de Mme Manon Barbe, membre du comité exécutif, responsable des sports, des loisirs et des événements sportifs internationaux, au 5e Sommet de l'Union mondiale des Villes olympiques (UMVO), à Lausanne, en Suisse, du 28 septembre au 3 octobre 2012 ;  ",3560
1124538003,CE12 1638,2012-10-03,"1- d'autoriser le déplacement de  M. Alan DeSousa, vice-président du comité exécutif, afin de prendre part au Sommet sur les villes et la biodiversité qui se tiendra à Hyderabad en Inde, du 12 au 18 octobre 2012; 2- d'accorder une avance de fonds au montant de 2 733,44 $ à monsieur DeSousa; ","2733,44"
1120942005,CE12 1808,2012-10-31,"1- d'autoriser la dépense relative au déplacement, du 20 au 23 novembre 2012, de MM. Claude Dauphin, maire de l'arrondissement de Lachine et 1er vice-président de la Fédération canadienne des municipalités (FCM), Michel Bissonnet, membre du comité exécutif et maire de l'arrondissement de Saint-Léonard, et Maurice Cohen, conseiller de l'arrondissement de Saint-Laurent, afin de prendre part aux réunions du conseil national d'administration de la FCM à Ottawa (Ontario); 2- d'accorder des avances de fonds de 1 340,60 $ à M. Dauphin, de 947,90 $ à M. Bissonnet et de 1 560,20 $ à M. Maurice Cohen; .","3848,7"
1125287005,CE12 1920,2012-11-28,"1- de ratifier une dépense de 5 485,32 $ relative au déplacement, du 7 au 14 septembre 2012, de M. Gérald Tremblay, maire de Montréal, en Israël et en Cisjordanie dans le cadre d'une mission économique; ","5485,32"
1125287006,CE12 1921,2012-11-28,"1- de ratifier une dépense de 470,48 $ relative à l'annulation du déplacement de M. Gérald Tremblay, à titre de maire de Montréal, pour une mission à Lyon dans le cadre des Entretiens Jacques-Cartier du 15 au 23 novembre 2012;  ","470,48"
1130942001,CE13 0100,2013-01-30,"1- d'autoriser la dépense relative au déplacement, du 12 au 16 février 2013, de M. Claude Dauphin, maire de l'arrondissement de Lachine et 1er vice-président de la Fédération canadienne des municipalités (FCM), et de Mme Josée Duplessis, membre du comité exécutif responsable du développement durable, de l'environnement, des grands parcs et des espaces verts, pour participer à la conférence et au salon sur les collectivités durables 2013 de la FCM, à Windsor (Ontario) ; 2- d'accorder des avances de fonds au montant de 2 519,40 $ à M. Dauphin et de 2 453,89 $ à Mme Duplessis ; ","4973,29"
1130942002,CE13 0193,2013-02-20,"1- d’autoriser la dépense relative au déplacement, du 6 au 10 mars 2013, de M. Claude Dauphin, maire de l'arrondissement de Lachine et 1er vice-président de la Fédération canadienne des municipalités (FCM), de M. Michel Bissonnet, membre du comité exécutif et maire de l'arrondissement de Saint-Léonard, et de M. Maurice Cohen, conseiller de l'arrondissement de Saint-Laurent, afin de prendre part aux réunions du Conseil national d'administration de la FCM à Prince George (Colombie-Britannique); 2- d'accorder des avances de fonds de 2 105,95 $ à M. Dauphin, de 2 043,41 $ à M. Bissonnet et de 2 148,46 $ à M. Maurice Cohen;  ","6297,82"
1134310001,CE13 0227,2013-02-27,"1- d'autoriser le déplacement de M. Alain Tassé, membre du comité exécutif, du 6 au 17 mars 2013, afin de se joindre à une délégation économique de Montréal dans le cadre du Marché international des professionnels de l'immobilier (MIPIM), à Cannes (France), et de participer à un événement de la Délégation générale du Québec à Paris (France); 2- d'accorder une avance de fonds au montant de 2 841,89 $ à M. Alain Tassé;  ","2841,89"
1130701001,CE13 0272,2013-03-06,"1- d'autoriser la dépense relative au déplacement, du 11 au 17 mars 2013, de Mme Élaine Ayotte, membre du comité exécutif responsable de la culture, du patrimoine et du design, à Lyon et à Saint-Étienne (France) pour participer à des visites culturelles et prendre part à la «Biennale internationale design Saint-Étienne 2013»;
2- d'accorder une avance de fonds au montant de 1 214,95 $ à Mme Élaine Ayotte;  ","1214,95"
1130942003,CE13 0523,2013-04-24,"1- d'autoriser la dépense relative au déplacement, à Vancouver, de MM. Claude Dauphin, maire de l'arrondissement de Lachine, Michel Bissonnet, maire de l'arrondissement de Saint-Léonard et membre du comité exécutif, et Maurice Cohen, conseiller de l'arrondissement de Saint-Laurent, afin d’assister au 76e Congrès annuel et salon professionnel de la FCM qui aura lieu du 31 mai au 3 juin 2013; 2- d'appuyer l'élection de M. Claude Dauphin, maire de l'arrondissement de Lachine, à titre de président et membre du Conseil national d'administration ainsi que de MM. Michel Bissonnet et Maurice Cohen à titre de membres du Conseil national d'administration de la FCM pour l'année 2013-2014 et d'assumer les coûts reliés à leur participation aux différentes réunions; 3- d'accorder des avances de fonds aux montants de 3 272,87 $ à M. Dauphin, 3 272,87 $ à M. Michel Bissonnet et 3 272,87 $ à M. Maurice Cohen; 4- d’imputer cette dépense conformément aux informations financières inscrites au dossier décisionnel.","9818,61"
1130701002,CE13 0641,2013-05-15,"1- d'autoriser une dépense estimée à 557,30 $, relative au déplacement, du 21 au 22 mai 2013, de Mme Élaine Ayotte, membre du comité exécutif responsable de la culture, du patrimoine et du design, pour participer au conseil d'administration et aux activités entourant la 26e édition du colloque «Les Arts et la Ville», à Gatineau (Québec);  ","557,3"
1131143001,CE13 0642,2013-05-15,"1- d’autoriser une dépense estimée à 596,96 $, relative au déplacement de monsieur Michel Bissonnet, membre du comité exécutif, responsable des affaires gouvernementales, à Québec, les 16 et 17 mai 2013, afin d'assister à la Table Québec-municipalités (TQM);  ","596,96"
1131143002,CE13 0762,2013-05-29,"1-  d’autoriser une dépense additionnelle estimée à 606,49 $, relative à la participation de M. Michel Bissonnet, maire de l'arrondissement de Saint-Léonard et membre du comité exécutif, au 76e Congrès annuel et salon professionnel de la Fédération canadienne des municipalités (FCM) et au Caucus des maires des grandes villes (CMGV), du 29 mai au 3 juin 2013,  à Vancouver;  ","606,49"
1134302001,CE13 0823,2013-06-05,"1- d'autoriser le déplacement de Mme Josée Duplessis, membre du comité exécutif, afin de participer au conseil d'administration et au congrès de l'Alliance des villes des Grands Lacs et du Saint-Laurent qui se tiendra à Marquette, dans l’état du Michigan (États-Unis) du 19 au 21 juin 2013; 2- d'accorder une avance de fonds de 2 043,21 $ à Mme Duplessis;  ","2043,21"
1130843002,CE13 0833,2013-06-05,"1- d'autoriser une dépense estimée à 579,16 $, relative à la participation de Mme Élaine Ayotte, membre du comité exécutif responsable de la culture, du patrimoine et du design, à l'Assemblée générale des Nations Unies au nom de la Commission Culture de Cités et Gouvernements Locaux Unis (CGLU) qui se déroulera à New York (États-Unis), le 12 juin 2013;  ","579,16"
1130843001,CE13 0936,2013-06-19,"1- d'autoriser le déplacement de Mme Élaine Ayotte, membre du comité exécutif responsable de la culture, du patrimoine et du design, du 26 au 30 juin 2013, afin d’assister à la 10e rencontre de la Commission Culture de Cités et Gouvernements Locaux Unis (CGLU) qui se déroulera à Lille, en France; 2- d'accorder une avance de fonds au montant de 2 156,88 $ à Mme Ayotte;  ","2156,88"
1131294002,CE13 0975,2013-06-26,"1- de ratifier la dépense relative au déplacement de M. Michael Applebaum, maire de Montréal, à New York, du 26 avril au 29 avril 2013, dans le cadre d'une mission économique organisée en collaboration avec Montréal International;  ","1714,36"
1131294001,CE13 0985,2013-06-26,"1- de ratifier la dépense relative au déplacement, du 11 au 18 mai 2013, de M. Michael Applebaum, ex maire de Montréal, qui a pris part à une mission en Allemagne, au Danemark et en Suède;  ","9108,38"
1131143003,CE13 1221,2013-08-14,"1- d’autoriser la dépense relative au déplacement de M. Michel Bissonnet, membre du comité exécutif
et maire de l'arrondissement de Saint-Léonard, à Saint-Jean (Terre-Neuve-et-Labrador), du 4 au 7
septembre 2013, afin d'assister aux réunions du conseil d'administration de la Fédération canadienne
des municipalités (FCM); 2- d'accorder une avance de fonds au montant de 2 065,88 $ à M. Michel Bissonnet; ","2065,88"
1130942005,CE13 1726,2013-11-20,"1- d’autoriser la dépense relative au déplacement de MM. Michel Bissonnet, maire de l'arrondissement de Saint-Léonard et Maurice Cohen, conseiller d'arrondissement de Saint-Laurent, à Ottawa (Ontario), du 25 au 29 novembre 2013, afin d'assister aux réunions du conseil d'administration de laFédération canadienne des municipalités (FCM). 2- d'accorder une avance de fonds de 1 689,20 $ à M. Michel Bissonnet et de 1 574,20 $ à M. MauriceCohen;","3263,4"
1133445001,CE13 1747,2013-11-27,"1- d'autoriser une dépense de 479,70 $, taxes incluses, relative au déplacement de MM. Denis Coderre, maire de Montréal, et de Lionel Perez, membre du comité exécutif responsable des infrastructures, de la Commission des services électriques, de la gouvernance et de la démocratie ainsi que des relations gouvernementales, les 2 et 3 écembre 2013, à Québec, pour prendre part aux audiences  publiques de la Commission de l'agriculture, des pêcheries, de l'énergie et des ressources naturelles et aux audiences publiques de la Commission des institutions","479,7"
1130843003,CE13 1820,2013-12-11,"1- de ratifier la dépense de 101,18 $ relative au déplacement, les 24 et 25 novembre 2013, du maire de Montréal, M. Denis Coderre, à La Pocatière à l'occasion du dévoilement des nouvelles voitures AZUR du métro de Montréal;  ","101,18"
1144302001,CE14 0041,2014-01-15,"1- d'autoriser une dépense de 931,30 $ relative au déplacement de Mme Chantal Rouleau, membre du comité exécutif responsable de l’eau et des infrastructures de l’eau, les 16 et 17 janvier 2014, à Windsor (Ontario), afin de participer à la rencontre biannuelle de l’Alliance des villes des grands lacs et du Saint-Laurent; ","931,3"
1144310001,CE14 0042,2014-01-15,"1- d'autoriser une dépense de 468,36 $ relative au déplacement à Québec de MM. Denis Coderre, maire de Montréal et Pierre Desrochers, président du comité exécutif, les 20 et 21 janvier 2014, afin d'assister à une séance de travail organisée par la Régie des rentes du Québec dans le cadre de la réforme des systèmes de retraite;  ","468,36"
1143233001,CE14 0138,2014-01-29,"1- d'autoriser la dépense relative au déplacement de M. Harout Chitilian, vice-président du comité exécutif, responsable de la réforme administrative, de la Ville intelligente, des technologies de l'information et de la jeunesse, le 31 janvier 2014, à Toronto (Ontario), afin d'échanger avec le directeur général et des responsables de la performance organisationnelle pour un montant estimé à 780 $; ",780
1140843001,CE14 0237,2014-02-19,"1- de ratifier la dépense de 118,42 $ relative au déplacement de M. Denis Coderre, maire de Montréal, à Rimouski les 16 et 17 janvier 2014, dans le cadre de la tournée des régions du Québec;  ","118,42"
1140843002,CE14 0238,2014-01-19,"1- de ratifier la dépense de 121,87 $ relative au déplacement de M. Denis Coderre, maire de Montréal, à Trois-Rivières les 19 et 20 janvier 2014, dans le cadre de la tournée des régions du Québec; ","121,87"
1140942002,CE14 0272,2014-02-26,"1- d'autoriser la dépense relative au déplacement de MM. Michel Bissonnet, maire de l'arrondissement de Saint-Léonard, et Maurice Cohen, conseiller d'arrondissement de Saint-Laurent, à Thunder Bay (Ontario), du 5 au 8 mars 2014, afin d'assister aux réunions du conseil d'administration de la Fédération canadienne des municipalités (FCM); 2- d'accorder des avances de fonds de 1 751,90 $ à M. Bissonnet et de 1 751,90 $ à M. Cohen;  ","3503,8"
1140942003,CE14 0347,2014-03-12,"1- d'autoriser la dépense relative au déplacement de MM. Denis Coderre, maire de Montréal, Lionel Perez, membre du comité exécutif, et de Mme Anie Samson, vice-présidente du comité exécutif, à Québec, du 20 au 21 mars 2014, afin d'assister au Sommet municipal de l'Union des municipalités (UMQ) - Montant estimé à 1 122,85 $;  ","1122,85"
1140843003,CE14 0348,2014-03-12,"1- de ratifier la dépense relative au déplacement, à Sherbrooke, les 10 et 11 février 2014, de M. Denis Coderre, maire de Montréal, dans le cadre de la tournée des régions du Québec - Montant : 163,26 $; ","163,26"
1140843004,CE14 0349,2014-03-12,"1- de ratifier la dépense de 125,53 $ relative au déplacement du maire de Montréal, M. Denis Coderre, à Québec les 11 et 12 février 2014, dans le cadre d'une conférence de presse au cours de laquelle le ministre des Affaires municipales, des Régions et de l'Occupation du territoire et ministre des Transports a présenté les grandes lignes du projet de loi 73 concernant l'inspecteur général de la Ville de Montréal; ","125,53"
1144834001,CE14 0352,2014-03-12,"1- d'autoriser une dépense estimée à 7 323,49 $, relative au déplacement, du 12 au 15 mars 2014, de M. Denis Coderre, maire de Montréal, de M. Gilles Deguire, maire de Montréal-Nord, de Mmes Monica Ricourt et Nathalie Pierre-Antoine, conseillères d'arrondissement, afin de prendre part à une mission en Haïti ;  ","7323,49"
1140843005,CE14 0576,2014-04-16,"1- de ratifier la dépense de 219,98 $ relative au déplacement de M. Denis Coderre, maire de Montréal, les 25 et 26 février 2014 à Ottawa (Ontario), afin d'assister au Caucus des maires des grandes villes (CMGV) de la Fédération canadienne des municipalités (FCM); ","219,98"
1140843006,CE14 0577,2014-04-16,"1- de ratifier la dépense de 135,67 $ relative au déplacement de M. Denis Coderre, maire de Montréal, les 3 et 4 mars 2014, à Chicoutimi, dans le cadre de la tournée des régions du Québec; ","135,67"
