Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Grands_defis_de_societe,Type_de_destinataire,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQS,,2018-2019,s. o.,S. O.,5241,CIUSSS de l'Ouest-de-l'Ile-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1195710,0,1195710,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5242,CIUSSS de la Capitale-Nationale,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,638058,0,638058,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5244,Centre hospitalier universitaire Sainte Justine,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1701958,0,1701958,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5245,Centre universitaire de santé McGill [CUSM],CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,4982260,0,4982260,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5246,Centre hospitalier de l'Université de Montréal [CHUM],CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,3960786,0,3960786,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5248,CIUSSS de l'Estrie - CHUS,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,2459963,0,2459963,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,"FRADETTE, JULIE",20066,CHU de Québec - Université Laval,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,360000,0,360000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,"TURECKI, GUSTAVO",20067,Centre de recherche de l'IUSM Douglas,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,499500,0,499500,,Établissement reconnu,,,,,,
FRQS,,2018-2019,2012-2013,"COSSETTE, SYLVIE",26674,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,400000,0,400000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,2013-2014,"BELLEVILLE, SYLVIE",27239,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,CANADA,Québec,Subventions de recherche,Fonds d'innovation Pfizer-FRQS,PFI,Fonds d'innovation Pfizer-FRQS sur la maladie d'Alzheimer et les maladies apparentées / Volet 1,PFA1,100000,0,100000,,Établissement reconnu,Vieillissement,,,Fondements biomédicaux de la santé humaine,,Alzheimer's disease // Biomarkers // Neuroimaging // Cognitives fonctions // Population cohorts  // Clinical cohorts
FRQS,,2018-2019,2013-2014,"FON, EDWARD A.",28821,Université McGill,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,225000,0,225000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,2013-2014,"HEBERT, MARIE-JOSEE",29011,Centre hospitalier de l'Université de Montréal [CHUM],CANADA,Québec,Subventions de recherche,Recherches en partenariat - IRSC,IRS,Recherches en partenariat / IRSC,PIS,100000,27000,127000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,2013-2014,"COUTURIER, YVES",29053,Université de Sherbrooke,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux de connaissances,RECO,499048,0,499048,,Établissement reconnu,,,,,,
FRQS,,2018-2019,2014-2015,S. O.,30641,CHU de Québec - Université Laval,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,6069999,0,6069999,,Établissement reconnu,,,,,,
FRQS,,2018-2019,2015-2016,"DANCAUSE, KELSEY",30712,Université du Québec à Montréal [UQAM],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,62908,0,62908,,Établissement reconnu,Santé des populations,,,Santé publique,,Maternal and child health // Pregnancy // Developmental origins of disease // Prenatal stress // Health behaviors // Obesity
FRQS,,2018-2019,2015-2016,"JOLY, YANN",30719,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,65564,0,65564,,Établissement reconnu,Génétique humaine,,,Droits et justice,,médecine personalisée // science libre  // médecine de précision // biobanques  // données génétiques // politiques de santé 
FRQS,,2018-2019,2015-2016,"JABADO, NADA",30750,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers de mérite,CHA,100000,18900,118900,,Établissement reconnu,Cancer,,,Évolution et traitement des maladies,,tumeurs cerebrales // epigenetique // transcriptome // genomique // modeles animaux // chromatine
FRQS,,2018-2019,2015-2016,"SELLAM, ADNANE",30753,Université Laval,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,73033,0,73033,,Établissement reconnu,Maladies infectieuses et immunitaires,,,Fondements biomédicaux de la santé humaine,,Candida albicans // Biologie des systèmes // Thérapie antifongique // Biologie de l'hypoxie // Régulation transcriptionnelle // Croissance et division cellulaire
FRQS,,2018-2019,2015-2016,"DUMAIS, ALEXANDRE",30758,Institut Philippe-Pinel de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,32635,0,32635,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,schizophrénie // violence // thérapie // impulsivité // imagerie // réalité virtuelle
FRQS,,2018-2019,2015-2016,"TEMCHEFF, CAROLINE",30771,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,78345,0,78345,,Établissement reconnu,Services de santé,,,Populations,,conduct problems // youth // mental health // longitudinal // medical service usage // trajectories
FRQS,,2018-2019,2015-2016,"DUBÉ, EVE",30772,Institut national de santé publique du Québec [INSPQ],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,70710,0,70710,,Établissement reconnu,Santé des populations,,,Santé publique,,Vaccination // Acceptabilité // Hésitation à la vaccination // Recherche qualitative // Déterminants socioculturels // Santé publique
FRQS,,2018-2019,2015-2016,"HEINONEN, KRISTA",30776,Institut national de la recherche scientifique [INRS],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,73033,0,73033,,Établissement reconnu,Maladies infectieuses et immunitaires,,,Fondements biomédicaux de la santé humaine,,hématopoïèse // cellules souches hématopoïétiques // différenciation myéloïde // signalisation Wnt // greffe de cellules hématopoïétiques // leucémie
FRQS,,2018-2019,2015-2016,"TRUDEL, DOMINIQUE",30781,Centre hospitalier de l'Université de Montréal [CHUM],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,33708,0,33708,,Établissement reconnu,Cancer,,,Évolution et traitement des maladies,,Cancer de la prostate // Pronostic // Protéomique // Carcinome intracanalaire // Génomique // Histologie
FRQS,,2018-2019,2015-2016,"VASILIADIS, HELEN-MARIA",30782,Université de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,38342,0,38342,,Établissement reconnu,Santé des populations,,,Populations,,Santé mentale et Suicide // Soins et services de santé // Qualité de vie perçue par le patient // Économie de la santé // Indicateurs de performance du système  // Services de qualité (lignes directrices)
FRQS,,2018-2019,2015-2016,"AARDEMA, FREDERIKUS",30784,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,85316,0,85316,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Santé publique,,Obsessive-Compulsive Disorder // Cognitive-Behavioral Treatment // Insight // Cognition // Self-Themes // Cognitive Access
FRQS,,2018-2019,2015-2016,"FORTIN, MARIE-CHANTAL",30794,Centre hospitalier de l'Université de Montréal [CHUM],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,39377,0,39377,,Établissement reconnu,Services de santé,,,Gestion du système de santé ,,Transplantation // Participation des patients // Programmes d'échange // Priorités de recherche // Éthique // Soins centrés sur le patient
FRQS,,2018-2019,2015-2016,"DUCHESNE, SIMON",30801,Université Laval,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,73033,0,73033,,Établissement reconnu,Vieillissement,,,Évolution et traitement des maladies,,Neuroimagerie // IRM // Apprentissage machine // Maladie d'Alzheimer // Démences // Phénotypes
FRQS,,2018-2019,2015-2016,"BOUCHARD, LUIGI",30802,Université de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,76684,0,76684,,Établissement reconnu,Génétique humaine,,,Fondements biomédicaux de la santé humaine,,Épigénétique/méthylation de l'ADN // Programmation foetale // Grossesse et ses complications // Épigénétique/microARN // Lipides sanguins/HDL // Traitement de la maladie coronarienne
FRQS,,2018-2019,2015-2016,"SUARTHANA, EVA",30819,CIUSSS du Nord-de-l'Île-de-Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière FRQ - IRSST en santé et en sécurité du travail,CBI,Bourses de carrière FRQ-IRSST en santé et en sécurité du travail,CBIR,68220,0,68220,,Établissement reconnu,Santé des populations,,,Santé publique,,Prévention secondaire // Les symptômes respiratoires // La fonction respiratoire // Des agents sensibilisants // Modèles pronostiques // Cohorte
FRQS,,2018-2019,2015-2016,"LANOVAZ, MARC",30827,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,60252,0,60252,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Évolution et traitement des maladies,,Interventions comportementales // Comportements problématiques // Autostimulation // Réadaptation // Technologie mobile // Trouble du spectre de l'autisme
FRQS,,2018-2019,2015-2016,"CHAUDHRI, NADIA",30829,Université Concordia,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,75024,0,75024,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,Addiction // Alcohol dependence // Learning // Behavioural neuroscience // Amygdala // Glutamate
FRQS,,2018-2019,2015-2016,"STEVENS, LOUIS-MATHIEU",30840,Centre hospitalier de l'Université de Montréal [CHUM],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,37538,0,37538,,Établissement reconnu,Santé circulatoire et respiratoire,,,Évolution et traitement des maladies,,Bases de données cliniques // Biostatistiques // Chirurgie cardiaque adulte // Épidémiologie clinique // Essai clinique randomisé // Imagerie diagnostique
FRQS,,2018-2019,2015-2016,"GENDRON, LOUIS",30851,Université de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,39173,0,39173,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements et avancement des connaissances,,récepteurs opioïdergiques // enképhalines // traffic intracellulaire // récepteur delta opioïde // récepteur mu opioïde // douleur
FRQS,,2018-2019,2015-2016,"WONG, TAK PAN",30852,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,40666,0,40666,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,depressive disorder // hippocampus // maternal care // NMDA receptor // schizophrenia // synaptic plasticity
FRQS,,2018-2019,2015-2016,"JEAN, STEVE",30853,Université de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,8219,0,8219,,Établissement reconnu,Cancer,,,Fondements et avancement des connaissances,,Autophagie // Triage endocytique // Transport membranaire // Cancer // GTPases de la famille Rab // Phosphoinositide
FRQS,,2018-2019,2015-2016,"FRASNELLI, JOHANNES",30859,Université du Québec à Trois-Rivières [UQTR],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,65564,0,65564,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,odorat // traumatisme crânio-cérébral // plasticité neuronale // neuro-imagerie // maladies neurodégéneratives
FRQS,,2018-2019,2015-2016,"TURCOTTE, SIMON",30861,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,35393,0,35393,,Établissement reconnu,Cancer,,,Évolution et traitement des maladies,,Cancers de l’appareil digestif // Immunologie du cancer // Immunothérapie du cancer // Antigènes tumoraux // Biologie des lymphocytes T // Biomarqueurs
FRQS,,2018-2019,2015-2016,"TURCOT, KATIA",30892,Université Laval,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,68219,0,68219,,Établissement reconnu,Appareil locomoteur et arthrite,,,Fondements et avancement des connaissances,,Analyse biomécanique // Amputation du membre inférieur // Évolution fonctionnelle // Analyse tridimensionnelle // Prothèse // Tâches quodiennes clés
FRQS,,2018-2019,2015-2016,"MORIN, SUZANNE",30895,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,40832,0,40832,,Établissement reconnu,Appareil locomoteur et arthrite,,,Évolution et traitement des maladies,,ostéoporose // fractures // vieillissement // indicateurs de qualité // épidémiologie // pharmacothérapie
FRQS,,2018-2019,2015-2016,"LANDREVILLE, SOLANGE",30903,Université Laval,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,70710,0,70710,,Établissement reconnu,Cancer,,,Fondements biomédicaux de la santé humaine,,mélanome uvéal // microenvironnement métastatique // épigénétique // hypoxie // glycolyse aérobique // chimiorésistance
FRQS,,2018-2019,2015-2016,"PLANTE, ISABELLE",30910,Institut national de la recherche scientifique [INRS],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,73033,0,73033,,Établissement reconnu,Cancer,,,Fondements biomédicaux de la santé humaine,,Cancer du sein // Cellules myoépithéliales // Développement // Perturbateurs endocriniens // Jonctions lacunaires // Interactions cellulaires
FRQS,,2018-2019,2015-2016,"DIVANGAHI, MAZIAR",30915,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,75024,0,75024,,Établissement reconnu,Maladies infectieuses et immunitaires,,,Évolution et traitement des maladies,,Innate Immunity // Adaptive Immunity // Macrophages // Influenza Virus // Tuberculsois // Eicosanoids
FRQS,,2018-2019,2015-2016,"BARTHÉLEMY, DOROTHY",30921,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,85316,0,85316,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,réflexes spinaux // voie corticospinale // voie vestibulospinale // équilibre // réactions posturales // contrôle moteur
FRQS,,2018-2019,2015-2016,"KLEINMAN, CLAUDIA",30931,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,62908,0,62908,,Établissement reconnu,Génétique humaine,,,Fondements biomédicaux de la santé humaine,,cancer // genomics // neurological disorders // brain development // epigenetics // next-generation sequencing
FRQS,,2018-2019,2015-2016,"LÉCUYER, ERIC",30934,Institut de recherches cliniques de Montréal [IRCM],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,76684,0,76684,,Établissement reconnu,Génétique humaine,,,Fondements biomédicaux de la santé humaine,,Génétique moléculaire // Localisation des ARN // Mécanismes de régulation // Génomique Fonctionnelle // Stabilité génomique // Drosophile et celllules humaines
FRQS,,2018-2019,2015-2016,"HUDSON, MARIE",30945,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,19957,0,19957,,Établissement reconnu,Maladies infectieuses et immunitaires,,,Fondements biomédicaux de la santé humaine,,Sclerodermie // Polyarthritie rhumatoide // Myosite inflammatoire // Pathophysiologie // Epigenetique // Cibles therapeutiques
FRQS,,2018-2019,2015-2016,"GAUTHIER, MARC ANDRE",30947,Institut national de la recherche scientifique [INRS],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,70710,0,70710,,Établissement reconnu,Cancer,,,Évolution et traitement des maladies,,leukemia // celiac disease // bacterial infection // protein drug // peptide drug // polymer
FRQS,,2018-2019,2015-2016,"SHAH, JAI",30948,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,30260,0,30260,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Évolution et traitement des maladies,,Schizophrenia and psychosis // Prevention and early intervention // High-risk // Youth mental health // Vulnerability-stress models
FRQS,,2018-2019,2015-2016,"SROUR, MYRIAM",30953,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,36848,0,36848,,Établissement reconnu,Génétique humaine,,,Fondements biomédicaux de la santé humaine,,neurogenetics // cerebral malformations // whole exome sequencing // schizencephaly // focal cortical dysplasia // somatic mutations
FRQS,,2018-2019,2015-2016,"BÉRARD, ANICK",30962,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers de mérite,CHA,100000,18900,118900,,Établissement reconnu,"Santé de la mère, des enfants et des adolescents ",,,Santé publique,,Pregnancy // Medication use // Mental Health // HIV drug use // Birth defects // In-vitro fecondation
FRQS,,2018-2019,2015-2016,"BOUCOIRAN, ISABELLE",30979,Centre hospitalier universitaire Sainte Justine,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,27809,0,27809,,Établissement reconnu,"Santé de la mère, des enfants et des adolescents ",,,Évolution et traitement des maladies,,HIV // Preterm birth // Antiretroviral therapy  // Perinatal outcomes // Preeclampsia // Protease inhibitor
FRQS,,2018-2019,2015-2016,"DUCHARME, SIMON",30987,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,31486,0,31486,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Évolution et traitement des maladies,,Neuropsychiatrie // Démence fronto-temporale // Démence // Neuroimagerie // Biomarqueur // Épaisseur corticale
FRQS,,2018-2019,2015-2016,"DALLAIRE, FRÉDÉRIC",30989,Université de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,32635,0,32635,,Établissement reconnu,Santé circulatoire et respiratoire,,,Évolution et traitement des maladies,,Tétralogie de Fallot // Cardiopathies congénitales // Chirurgie cardiaque // Insuffisance cardiaque // Utilisation des services de santé // Pédiatrie
FRQS,,2018-2019,2015-2016,"RACINE, ÉRIC",30998,Institut de recherches cliniques de Montréal [IRCM],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,38342,0,38342,,Établissement reconnu,Enjeux fondamentaux et finalités de la vie humaine,,,Culture,,Éthique // Neurologie // Santé mentale // Neurosciences // Recherche qualitative // Société
FRQS,,2018-2019,2015-2016,"SMITH, BENJAMIN",31001,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,33708,0,33708,,Établissement reconnu,Santé circulatoire et respiratoire,,,Évolution et traitement des maladies,,maladie pulmonaire obstructive chronique // la capacité d'effort // hyperinflation pulmonaire dynamique // l'insuffisance cardiaque  // volume de plasma // peptide natriurétique
FRQS,,2018-2019,2015-2016,"SEPHTON, CHANTELLE",31002,Université Laval,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,70710,0,70710,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,l'ARN // TDP-43 // souris transgéniques // neurodégénérescence // FUS // protéines liant l'ARN
FRQS,,2018-2019,2015-2016,"PICHÉ, MATHIEU",31010,Université du Québec à Trois-Rivières [UQTR],CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,65564,0,65564,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,Douleur // Analgésie // cerveau // moelle épinière // Syndrome de l'intestin irritable // neurophysiologie
FRQS,,2018-2019,2015-2016,"GAGNON, CYNTHIA",31011,Université de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,86477,0,86477,,Établissement reconnu,Génétique humaine,,,Évolution et traitement des maladies,,Maladies neuromusculaires // Participation sociale // Dystrophie myotonique // Application des connaissances // Clinimétrie // Aptitudes motrices
FRQS,,2018-2019,2015-2016,"LEBEL, ALEXANDRE",31022,Université Laval,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,60252,0,60252,,Établissement reconnu,Environnement,,,Santé publique,,Obésité // Approche multiniveau // Variation spatiales // Parcours de vie // Inégalités sociales // Variation temporelles
FRQS,,2018-2019,2015-2016,"KAUFMANN, DANIEL",31035,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers,CB,34027,0,34027,,Établissement reconnu,Maladies infectieuses et immunitaires,,,Fondements biomédicaux de la santé humaine,,VIH // Immunorégulation // Inflammation chronique // Lymphocytes T CD4+ // Epuisement immunitaire // Vaccin anti-VIH
FRQS,,2018-2019,2015-2016,"RUTHAZER, EDWARD",31036,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers de mérite,CHA,100000,18900,118900,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Fondements biomédicaux de la santé humaine,,système visuel // physiologie synaptique // rétino-tectale // imagerie vital // développement // plasticité
FRQS,,2018-2019,2015-2016,"NGUYEN, DANG KHOA",31040,Université de Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,20186,0,20186,,Établissement reconnu,"Neurosciences, santé mentale et toxicomanies",,,Évolution et traitement des maladies,,Épilepsie // Chirurgie d'épilepsie // Spectroscopie proche infrarouge // Neurophysiologie // Imagerie de l'épilepsie // Insula
FRQS,,2018-2019,2015-2016,"AHMAD KHAN, FAIZ",31057,Université McGill,CANADA,Québec,Bourses de carrière et subventions salariales,Bourses de carrière,BC,Chercheurs-boursiers cliniciens,CC,33708,0,33708,,Établissement reconnu,Santé circulatoire et respiratoire,,,Santé publique,,tuberculose // santé autochtone // santé mondiale // dépistage de la tuberculose // épidémiologie // maladies interstitielles pulmonaires
