NUMEROTATION,TYPE_DE_SOINS,CODE_INTERVENTION,NOMBRE_DE_CAS-FEM,NOMBRE_DE_CAS-MASC,NOMBRE_DE_CAS-TOTAL,SEJOUR_MOYEN-FEM,SEJOUR_MOYEN-MASC,SEJOUR_MOYEN-TOTAL,NOMBRE_DE_CAS_SEUL-FEM,NOMBRE_DE_CAS_SEUL-MASC,NOMBRE_DE_CAS_SEUL-TOTAL,SEJOUR_MOYEN_SEUL-FEM,SEJOUR_MOYEN_SEUL-MASC,SEJOUR_MOYEN_SEUL-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2,NOTE_3
11,Soins physiques et psychiatriques de courte durée,1AB54,3,4,7,5.3,2.5,3.7,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
12,Soins physiques et psychiatriques de courte durée,1AB55,2,0,2,24.5,0,24.5,1,0,1,5,0,5,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
13,Soins physiques et psychiatriques de courte durée,1AB86,19,29,48,19.7,10.7,14.2,1,3,4,7,11,10,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
14,Soins physiques et psychiatriques de courte durée,1AB87,2,7,9,10.5,21.9,19.3,0,2,2,0,7,7,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
15,Soins physiques et psychiatriques de courte durée,1AC27,7,4,11,26.6,15.2,22.5,1,4,5,8,15.2,13.8,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
16,Soins physiques et psychiatriques de courte durée,1AC50,1,0,1,62,0,62,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
17,Soins physiques et psychiatriques de courte durée,1AC52,366,445,811,37.2,36.3,36.7,66,74,140,10.4,8.9,9.6,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
18,Soins physiques et psychiatriques de courte durée,1AC53,25,30,55,42.4,53.9,48.7,2,3,5,16.5,1.3,7.4,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
19,Soins physiques et psychiatriques de courte durée,1AC54,83,96,179,16.4,21.7,19.2,32,39,71,4.7,10.2,7.7,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
20,Soins physiques et psychiatriques de courte durée,1AC55,52,50,102,38,56,46.8,2,3,5,2,9.7,6.6,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
21,Soins physiques et psychiatriques de courte durée,1AC87,28,37,65,33.8,16.8,24.1,3,2,5,10.3,17,13,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
22,Soins physiques et psychiatriques de courte durée,1AE09,0,4,4,0,3.5,3.5,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
23,Soins physiques et psychiatriques de courte durée,1AE27,0,3,3,0,17.3,17.3,0,2,2,0,12.5,12.5,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
24,Soins physiques et psychiatriques de courte durée,1AE53,18,23,41,11,8.3,9.5,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
25,Soins physiques et psychiatriques de courte durée,1AE54,0,1,1,0,14,14,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
26,Soins physiques et psychiatriques de courte durée,1AE59,0,2,2,0,4,4,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
27,Soins physiques et psychiatriques de courte durée,1AE87,1,2,3,13,11.5,12,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
28,Soins physiques et psychiatriques de courte durée,1AF27,0,16,16,0,36.1,36.1,0,16,16,0,36.1,36.1,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
29,Soins physiques et psychiatriques de courte durée,1AF52,3,2,5,10.3,4,7.8,1,1,2,3,4,3.5,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
30,Soins physiques et psychiatriques de courte durée,1AF53,0,1,1,0,5,5,0,1,1,0,5,5,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
31,Soins physiques et psychiatriques de courte durée,1AF54,0,3,3,0,3.3,3.3,0,2,2,0,4,4,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
32,Soins physiques et psychiatriques de courte durée,1AF87,109,109,218,12,8.9,10.5,7,13,20,4.9,4.8,4.8,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
33,Soins physiques et psychiatriques de courte durée,1AG27,0,1,1,0,2,2,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
34,Soins physiques et psychiatriques de courte durée,1AG87,5,3,8,25.6,32.3,28.1,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
35,Soins physiques et psychiatriques de courte durée,1AJ27,1,0,1,19,0,19,1,0,1,19,0,19,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
36,Soins physiques et psychiatriques de courte durée,1AJ87,78,79,157,20.7,24.7,22.7,3,5,8,8.3,7.6,7.9,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
37,Soins physiques et psychiatriques de courte durée,1AK87,31,21,52,17.4,12.6,15.5,6,4,10,8,7.2,7.7,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
38,Soins physiques et psychiatriques de courte durée,1AN09,2822,1536,4358,30.9,35.5,32.5,959,607,1566,68.5,71.3,69.6,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
39,Soins physiques et psychiatriques de courte durée,1AN27,393,360,753,28.7,25,26.9,168,157,325,24.8,19.6,22.3,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
40,Soins physiques et psychiatriques de courte durée,1AN35,85,137,222,4.1,5,4.7,0,1,1,0,10,10,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
41,Soins physiques et psychiatriques de courte durée,1AN52,75,91,166,31.5,33.9,32.8,3,4,7,7.7,14.2,11.4,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
42,Soins physiques et psychiatriques de courte durée,1AN53,143,175,318,16,16.5,16.3,1,5,6,1,2.8,2.5,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
43,Soins physiques et psychiatriques de courte durée,1AN54,2,0,2,29,0,29,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
44,Soins physiques et psychiatriques de courte durée,1AN55,81,69,150,4.1,3.6,3.9,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
45,Soins physiques et psychiatriques de courte durée,1AN56,1,5,6,19,8.4,10.2,0,1,1,0,7,7,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
46,Soins physiques et psychiatriques de courte durée,1AN59,6,3,9,12,5,9.7,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
47,Soins physiques et psychiatriques de courte durée,1AN73,4,3,7,5.8,12.7,8.7,0,1,1,0,2,2,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
48,Soins physiques et psychiatriques de courte durée,1AN87,394,446,840,14.9,15.8,15.4,15,25,40,7.5,11.8,10.2,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
49,Soins physiques et psychiatriques de courte durée,1AP27,1,10,11,48,29,30.7,0,0,0,0,0,0,S02 - Fréquence des interventions selon le sexe,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES,CANCELLED : INTERVENTION ANNULÉE ALORS QUE L'USAGER S'EST PRÉSENTÉ POUR SA CHIRURGIE
