NUMEROTATION,TYPE_DE_SOINS,CODE_INTERVENTION,NOM_INTERVENTION,NOMBRE_DE_CAS-FEM,NOMBRE_DE_CAS-MASC,NOMBRE_DE_CAS-TOTAL,SEJOUR_MOYEN-FEM,SEJOUR_MOYEN-MASC,SEJOUR_MOYEN-TOTAL,NOMBRE_DE_CAS_SEUL-FEM,NOMBRE_DE_CAS_SEUL-MASC,NOMBRE_DE_CAS_SEUL-TOTAL,SEJOUR_MOYEN_SEUL-FEM,SEJOUR_MOYEN_SEUL-MASC,SEJOUR_MOYEN_SEUL-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2,NOTE_3
21,"Soins physiques et psychiatriques de courte durée","1.AC.55","Retr disp ventric céréb                                                                             ",69,51,120,40.3,40.2,40.3,2,1,3,10.5,24.0,15.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
22,"Soins physiques et psychiatriques de courte durée","1.AC.59","Destruct ventric céréb                                                                              ",0,1,1,0.0,5.0,5.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
23,"Soins physiques et psychiatriques de courte durée","1.AC.87","Exc prt ventric céréb                                                                               ",39,36,75,13.2,23.1,17.9,0,1,1,0.0,3.0,3.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
24,"Soins physiques et psychiatriques de courte durée","1.AE.27","Radioth thalamus                                                                                    ",0,1,1,0.0,4.0,4.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
25,"Soins physiques et psychiatriques de courte durée","1.AE.53","Impl disp  thalamus                                                                                 ",16,40,56,4.8,5.8,5.5,1,2,3,2.0,2.0,2.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
26,"Soins physiques et psychiatriques de courte durée","1.AE.55","Retr disp thalamus                                                                                  ",0,1,1,0.0,30.0,30.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
27,"Soins physiques et psychiatriques de courte durée","1.AE.59","Destruct thalamus                                                                                   ",2,8,10,4.0,3.3,3.4,2,2,4,4.0,2.5,3.3,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
28,"Soins physiques et psychiatriques de courte durée","1.AE.87","Exc prt thalamus                                                                                    ",1,2,3,5.0,9.5,8.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
29,"Soins physiques et psychiatriques de courte durée","1.AF.27","Radioth pituitaire                                                                                  ",1,0,1,26.0,0.0,26.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
30,"Soins physiques et psychiatriques de courte durée","1.AF.52","Drain pituitaire                                                                                    ",2,3,5,9.5,4.3,6.4,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
31,"Soins physiques et psychiatriques de courte durée","1.AF.53","Implantation appareil interne région pituitaire                                                     ",0,2,2,0.0,3.5,3.5,0,1,1,0.0,2.0,2.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
32,"Soins physiques et psychiatriques de courte durée","1.AF.55","Ret app région pituitaire                                                                           ",0,1,1,0.0,5.0,5.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
33,"Soins physiques et psychiatriques de courte durée","1.AF.87","Exc prt pituitaire                                                                                  ",129,141,270,8.4,6.8,7.6,8,10,18,5.3,5.0,5.1,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
34,"Soins physiques et psychiatriques de courte durée","1.AG.87","Exc prt épiphyse                                                                                    ",1,2,3,3.0,5.0,4.3,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
35,"Soins physiques et psychiatriques de courte durée","1.AJ.27","Radioth cervelet                                                                                    ",1,3,4,34.0,55.7,50.3,0,1,1,0.0,3.0,3.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
36,"Soins physiques et psychiatriques de courte durée","1.AJ.87","Exc prt cervelet                                                                                    ",51,58,109,11.5,14.1,12.9,1,2,3,3.0,4.0,3.7,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
37,"Soins physiques et psychiatriques de courte durée","1.AK.87","Exc prt angle pcb                                                                                   ",40,36,76,13.6,9.8,11.8,5,2,7,4.4,4.5,4.4,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
38,"Soins physiques et psychiatriques de courte durée","1.AN.09","Stimulat cerveau                                                                                    ",3008,1658,4666,39.2,47.9,42.3,1195,803,1998,59.6,85.1,69.9,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
39,"Soins physiques et psychiatriques de courte durée","1.AN.26","Brachyth cerveau                                                                                    ",1,0,1,13.0,0.0,13.0,1,0,1,13.0,0.0,13.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
40,"Soins physiques et psychiatriques de courte durée","1.AN.27","Radioth cerveau                                                                                     ",221,152,373,25.4,26.1,25.7,53,47,100,21.6,19.9,20.8,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
41,"Soins physiques et psychiatriques de courte durée","1.AN.35","Pharm tx cerveau                                                                                    ",77,120,197,3.4,4.8,4.3,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
42,"Soins physiques et psychiatriques de courte durée","1.AN.52","Drain cerveau                                                                                       ",61,76,137,29.2,32.1,30.8,0,4,4,0.0,18.3,18.3,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
43,"Soins physiques et psychiatriques de courte durée","1.AN.53","Impl disp  cerveau                                                                                  ",81,134,215,22.2,25.2,24.1,1,3,4,2.0,3.3,3.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
44,"Soins physiques et psychiatriques de courte durée","1.AN.54","Gest app int cerveau                                                                                ",0,3,3,0.0,21.3,21.3,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
45,"Soins physiques et psychiatriques de courte durée","1.AN.55","Retr disp cerveau                                                                                   ",13,18,31,23.5,22.3,22.8,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
46,"Soins physiques et psychiatriques de courte durée","1.AN.56","Retr crps étrang cerveau                                                                            ",1,2,3,6.0,17.5,13.7,0,1,1,0.0,9.0,9.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
47,"Soins physiques et psychiatriques de courte durée","1.AN.59","Destruct cerveau                                                                                    ",3,8,11,9.3,7.0,7.6,0,2,2,0.0,13.5,13.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
48,"Soins physiques et psychiatriques de courte durée","1.AN.70","Incis cerveau                                                                                       ",7,1,8,4.0,14.0,5.3,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
49,"Soins physiques et psychiatriques de courte durée","1.AN.73","Réduct cerveau                                                                                      ",9,9,18,19.8,15.7,17.7,0,2,2,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
50,"Soins physiques et psychiatriques de courte durée","1.AN.87","Exc prt cerveau                                                                                     ",434,540,974,9.9,10.7,10.4,23,30,53,8.4,4.2,6.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
51,"Soins physiques et psychiatriques de courte durée","1.AP.27","Radioth tronc céréb                                                                                 ",3,0,3,19.0,0.0,19.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
52,"Soins physiques et psychiatriques de courte durée","1.AP.52","Drain tronc céréb                                                                                   ",5,2,7,13.8,31.0,18.7,1,1,2,3.0,30.0,16.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
53,"Soins physiques et psychiatriques de courte durée","1.AP.55","Retr disp tronc céréb                                                                               ",2,0,2,14.5,0.0,14.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
54,"Soins physiques et psychiatriques de courte durée","1.AP.72","Libérat tronc céréb                                                                                 ",35,27,62,13.8,11.5,12.8,2,0,2,5.0,0.0,5.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
55,"Soins physiques et psychiatriques de courte durée","1.AP.87","Exc prt tronc céréb                                                                                 ",15,5,20,12.4,22.6,14.9,2,0,2,6.5,0.0,6.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
56,"Soins physiques et psychiatriques de courte durée","1.AW.27","Radioth moel épin                                                                                   ",19,23,42,54.9,16.9,34.1,6,7,13,16.3,12.7,14.4,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
57,"Soins physiques et psychiatriques de courte durée","1.AW.59","Destruct moel épin                                                                                  ",1,13,14,4.0,9.0,8.6,1,5,6,4.0,3.4,3.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
