NUMEROTATION,TYPE_DE_SOINS,CODE_INTERVENTION,NOMBRE_DE_CAS-FEM,NOMBRE_DE_CAS-MASC,NOMBRE_DE_CAS-TOTAL,SEJOUR_MOYEN-FEM,SEJOUR_MOYEN-MASC,SEJOUR_MOYEN-TOTAL,NOMBRE_DE_CAS_SEUL-FEM,NOMBRE_DE_CAS_SEUL-MASC,NOMBRE_DE_CAS_SEUL-TOTAL,SEJOUR_MOYEN_SEUL-FEM,SEJOUR_MOYEN_SEUL-MASC,SEJOUR_MOYEN_SEUL-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2,NOTE_3
11,Soins physiques et psychiatriques de courte durée,1.AB.86,29,25,54,8.9,10.9,9.8,1,1,2,5,3,4,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
12,Soins physiques et psychiatriques de courte durée,1.AB.87,1,6,7,5,16.3,14.7,0,1,1,0,2,2,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
13,Soins physiques et psychiatriques de courte durée,1.AC.27,3,6,9,33.7,2,12.6,1,1,2,6,8,7,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
14,Soins physiques et psychiatriques de courte durée,1.AC.35,1,2,3,75,11.5,32.7,0,1,1,0,1,1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
15,Soins physiques et psychiatriques de courte durée,1.AC.50,0,1,1,0,2,2,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
16,Soins physiques et psychiatriques de courte durée,1.AC.52,421,465,886,23.8,31.4,27.8,82,87,169,6.2,5.4,5.8,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
17,Soins physiques et psychiatriques de courte durée,1.AC.53,13,17,30,45.6,27.6,35.4,0,1,1,0,1,1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
18,Soins physiques et psychiatriques de courte durée,1.AC.54,91,111,202,17.1,21.4,19.5,45,42,87,11.2,5.3,8.3,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
19,Soins physiques et psychiatriques de courte durée,1.AC.55,58,63,121,32.8,39.1,36.1,1,1,2,1,16,8.5,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
20,Soins physiques et psychiatriques de courte durée,1.AC.59,1,7,8,19,63.9,58.3,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
21,Soins physiques et psychiatriques de courte durée,1.AC.87,28,25,53,24.9,16.8,21,2,0,2,3.5,0,3.5,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
22,Soins physiques et psychiatriques de courte durée,1.AE.27,1,1,2,2,50,26,0,1,1,0,50,50,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
23,Soins physiques et psychiatriques de courte durée,1.AE.53,17,21,38,7.9,7.3,7.6,0,1,1,0,3,3,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
24,Soins physiques et psychiatriques de courte durée,1.AE.55,0,1,1,0,12,12,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
25,Soins physiques et psychiatriques de courte durée,1.AE.59,3,7,10,7,4,4.9,1,1,2,4,5,4.5,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
26,Soins physiques et psychiatriques de courte durée,1.AE.87,0,3,3,0,9,9,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
27,Soins physiques et psychiatriques de courte durée,1.AF.27,0,2,2,0,37,37,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
28,Soins physiques et psychiatriques de courte durée,1.AF.52,9,8,17,9.9,9.6,9.8,4,2,6,4.3,8,5.5,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
29,Soins physiques et psychiatriques de courte durée,1.AF.53,0,2,2,0,8,8,0,2,2,0,8,8,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
30,Soins physiques et psychiatriques de courte durée,1.AF.54,1,0,1,1,0,1,1,0,1,1,0,1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
31,Soins physiques et psychiatriques de courte durée,1.AF.87,115,129,244,6.8,7.8,7.3,17,11,28,6.5,5.4,6,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
32,Soins physiques et psychiatriques de courte durée,1.AG.87,1,3,4,34,31.3,32,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
33,Soins physiques et psychiatriques de courte durée,1.AJ.27,1,4,5,2,27,22,0,3,3,0,21.3,21.3,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
34,Soins physiques et psychiatriques de courte durée,1.AJ.87,48,58,106,8.6,16.2,12.8,3,5,8,5,8.8,7.4,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
35,Soins physiques et psychiatriques de courte durée,1.AK.87,37,33,70,10.6,6,8.4,7,6,13,5,5.3,5.2,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
36,Soins physiques et psychiatriques de courte durée,1.AN.09,3176,1795,4971,48,49.8,48.6,1522,691,2213,71.2,75.1,72.4,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
37,Soins physiques et psychiatriques de courte durée,1.AN.27,329,311,640,21.1,18.6,19.9,102,90,192,21.8,19.2,20.6,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
38,Soins physiques et psychiatriques de courte durée,1.AN.35,79,119,198,4.4,5.5,5.1,0,1,1,0,1,1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
39,Soins physiques et psychiatriques de courte durée,1.AN.52,50,89,139,25,24.4,24.7,0,10,10,0,10,10,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
40,Soins physiques et psychiatriques de courte durée,1.AN.53,142,164,306,12.4,23.5,18.3,0,2,2,0,8,8,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
41,Soins physiques et psychiatriques de courte durée,1.AN.54,3,1,4,26.7,56,34,0,1,1,0,56,56,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
42,Soins physiques et psychiatriques de courte durée,1.AN.55,80,53,133,4.3,7.6,5.6,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
43,Soins physiques et psychiatriques de courte durée,1.AN.56,3,2,5,42,8.5,28.6,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
44,Soins physiques et psychiatriques de courte durée,1.AN.59,3,3,6,18.3,34.7,26.5,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
45,Soins physiques et psychiatriques de courte durée,1.AN.70,1,0,1,4,0,4,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
46,Soins physiques et psychiatriques de courte durée,1.AN.73,12,8,20,5.3,4.1,4.8,1,1,2,2,1,1.5,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
47,Soins physiques et psychiatriques de courte durée,1.AN.87,505,481,986,12.4,11.1,11.7,41,34,75,9.9,10.4,10.1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
48,Soins physiques et psychiatriques de courte durée,1.AP.27,1,1,2,30,28,29,0,1,1,0,28,28,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
49,Soins physiques et psychiatriques de courte durée,1.AP.52,3,7,10,85.3,9.7,32.4,0,2,2,0,22,22,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
50,Soins physiques et psychiatriques de courte durée,1.AP.53,1,0,1,14,0,14,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
51,Soins physiques et psychiatriques de courte durée,1.AP.72,39,26,65,14.1,15.3,14.6,4,1,5,4.8,2,4.2,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
52,Soins physiques et psychiatriques de courte durée,1.AP.87,16,13,29,16.8,86.5,48,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
53,Soins physiques et psychiatriques de courte durée,1.AW.27,12,17,29,17.4,18.8,18.2,4,5,9,13.8,21,17.8,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
54,Soins physiques et psychiatriques de courte durée,1.AW.59,9,11,20,5.1,4.5,4.8,6,4,10,4.8,4.5,4.7,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
55,Soins physiques et psychiatriques de courte durée,1.AW.72,145,196,341,11.3,8.2,9.5,5,9,14,4.4,3.4,3.8,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
56,Soins physiques et psychiatriques de courte durée,1.AW.87,27,39,66,15.4,12.8,13.9,2,2,4,6.5,5.5,6,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
57,Soins physiques et psychiatriques de courte durée,1.AX.11,33,19,52,10.9,14.1,12.1,11,4,15,5.8,4,5.3,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
58,Soins physiques et psychiatriques de courte durée,1.AX.13,2,4,6,2.5,14.5,10.5,0,0,0,0,0,0,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
59,Soins physiques et psychiatriques de courte durée,1.AX.35,4221,4312,8533,11.7,12.9,12.3,347,204,551,10.8,10.4,10.6,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
60,Soins physiques et psychiatriques de courte durée,1.AX.52,120,177,297,21.9,25.2,23.9,22,38,60,8.7,14.5,12.4,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
61,Soins physiques et psychiatriques de courte durée,1.AX.53,44,77,121,8.5,13.6,11.8,14,27,41,2.9,1.7,2.1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
62,Soins physiques et psychiatriques de courte durée,1.AX.54,10,13,23,4.8,20.2,13.5,3,5,8,1.7,3.4,2.8,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
63,Soins physiques et psychiatriques de courte durée,1.AX.55,7,20,27,4.6,3.1,3.5,1,5,6,1,1,1,Titre du rapport « S02 - Fréquence des interventions selon le sexe »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,"Les données avec sexe """"indéterminé"""" sont incluses dans les totaux seulement.""""",Les interventions qui constituent des abandons sont exclues.,Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie.
